Value,SIBERIA_2024_ESRI_Annual_LULC_2024_41VNF_M_R,SIBERIA_2024_GLC_FCS30D_2022_41VNF_M_R,SIBERIA_2024_GSW_Yearly_2021_41VNF_M_R,SIBERIA_2024_GWL_FCS30D_2022_41VNF_M_R,SIBERIA_2024_WorldCover_2021_41VNF_M_R
275,Water,Cropland,Water,Non_Wetland,Grassland
276,Water,Cropland,Water,Non_Wetland,Wetland
277,Water,Cropland,Water,Non_Wetland,Water
278,Water,Cropland,Water,Non_Wetland,Forest
279,Water,Wetland,NULL,Wetland,NULL
280,Water,Wetland,NULL,Wetland,Grassland
281,Water,Wetland,NULL,Wetland,Wetland
282,Water,Wetland,NULL,Wetland,Water
283,Water,Wetland,NULL,Wetland,Forest
284,Water,Wetland,Non_Water,Wetland,Grassland
285,Water,Wetland,Non_Water,Wetland,Wetland
286,Water,Wetland,Non_Water,Wetland,Water
287,Water,Wetland,Non_Water,Wetland,Forest
288,Water,Wetland,Water,Wetland,NULL
289,Water,Wetland,Water,Wetland,Grassland
290,Water,Wetland,Water,Wetland,Cropland
291,Water,Wetland,Water,Wetland,Wetland
292,Water,Wetland,Water,Wetland,Bareland
293,Water,Wetland,Water,Wetland,Water
294,Water,Wetland,Water,Wetland,Forest
295,Water,Bareland,NULL,Non_Wetland,Grassland
296,Water,Bareland,NULL,Non_Wetland,Wetland
297,Water,Bareland,NULL,Non_Wetland,Water
298,Water,Bareland,NULL,Non_Wetland,Forest
299,Water,Bareland,Non_Water,Non_Wetland,NULL
300,Water,Bareland,Non_Water,Non_Wetland,Grassland
301,Water,Bareland,Non_Water,Non_Wetland,Wetland
302,Water,Bareland,Non_Water,Non_Wetland,Water
303,Water,Bareland,Non_Water,Non_Wetland,Forest
304,Water,Bareland,Water,Non_Wetland,Grassland
305,Water,Bareland,Water,Non_Wetland,Wetland
306,Water,Bareland,Water,Non_Wetland,Water
307,Water,Bareland,Water,Non_Wetland,Forest
308,Water,Built-up,NULL,Non_Wetland,Grassland
309,Water,Built-up,Water,Non_Wetland,Water
310,Water,Built-up,Water,Non_Wetland,Forest
311,Water,Water,NULL,Water,NULL
312,Water,Water,NULL,Water,Grassland
313,Water,Water,NULL,Water,Wetland
314,Water,Water,NULL,Water,Water
315,Water,Water,NULL,Water,Forest
316,Water,Water,Non_Water,Water,Grassland
317,Water,Water,Non_Water,Water,Wetland
318,Water,Water,Non_Water,Water,Water
319,Water,Water,Non_Water,Water,Forest
320,Water,Water,Water,Water,NULL
321,Water,Water,Water,Water,Grassland
322,Water,Water,Water,Water,Cropland
323,Water,Water,Water,Water,Wetland
324,Water,Water,Water,Water,Water
325,Water,Water,Water,Water,Forest
326,Water,Forest,NULL,Non_Wetland,NULL
327,Water,Forest,NULL,Non_Wetland,Grassland
328,Water,Forest,NULL,Non_Wetland,Wetland
329,Water,Forest,NULL,Non_Wetland,Water
330,Water,Forest,NULL,Non_Wetland,Forest
331,Water,Forest,Non_Water,Non_Wetland,Grassland
332,Water,Forest,Non_Water,Non_Wetland,Wetland
333,Water,Forest,Non_Water,Non_Wetland,Water
334,Water,Forest,Non_Water,Non_Wetland,Forest
335,Water,Forest,Water,Non_Wetland,NULL
336,Water,Forest,Water,Non_Wetland,Grassland
337,Water,Forest,Water,Non_Wetland,Wetland
338,Water,Forest,Water,Non_Wetland,Water
339,Water,Forest,Water,Non_Wetland,Forest
340,Permanent_ice_and_snow,Cropland,NULL,Non_Wetland,Grassland
341,Permanent_ice_and_snow,Cropland,NULL,Non_Wetland,Forest
342,Permanent_ice_and_snow,Wetland,NULL,Wetland,Grassland
343,Permanent_ice_and_snow,Wetland,NULL,Wetland,Wetland
344,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Wetland
345,Permanent_ice_and_snow,Wetland,Water,Wetland,Forest
346,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Grassland
347,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Grassland
348,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Forest
349,Permanent_ice_and_snow,Forest,Water,Non_Wetland,Grassland
350,Forest,NULL,NULL,Non_Wetland,NULL
351,Forest,NULL,NULL,Non_Wetland,Grassland
352,Forest,NULL,NULL,Non_Wetland,Cropland
353,Forest,NULL,NULL,Non_Wetland,Wetland
354,Forest,NULL,NULL,Non_Wetland,Built-up
355,Forest,NULL,NULL,Non_Wetland,Water
356,Forest,NULL,NULL,Non_Wetland,Forest
357,Forest,NULL,Non_Water,Non_Wetland,Grassland
358,Forest,NULL,Non_Water,Non_Wetland,Wetland
359,Forest,NULL,Non_Water,Non_Wetland,Water
360,Forest,NULL,Non_Water,Non_Wetland,Forest
361,Forest,NULL,Water,Non_Wetland,Grassland
362,Forest,NULL,Water,Non_Wetland,Wetland
363,Forest,NULL,Water,Non_Wetland,Water
364,Forest,NULL,Water,Non_Wetland,Forest
365,Forest,Shrubland,NULL,Non_Wetland,NULL
366,Forest,Shrubland,NULL,Non_Wetland,Grassland
367,Forest,Shrubland,NULL,Non_Wetland,Cropland
368,Forest,Shrubland,NULL,Non_Wetland,Wetland
369,Forest,Shrubland,NULL,Non_Wetland,Built-up
370,Forest,Shrubland,NULL,Non_Wetland,Forest
371,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
372,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
373,Forest,Shrubland,Non_Water,Non_Wetland,Forest
374,Forest,Shrubland,Water,Non_Wetland,Forest
375,Forest,Grassland,NULL,Non_Wetland,Grassland
376,Forest,Grassland,NULL,Non_Wetland,Wetland
377,Forest,Grassland,NULL,Non_Wetland,Forest
378,Forest,Cropland,NULL,Non_Wetland,NULL
379,Forest,Cropland,NULL,Non_Wetland,Grassland
380,Forest,Cropland,NULL,Non_Wetland,Cropland
381,Forest,Cropland,NULL,Non_Wetland,Wetland
382,Forest,Cropland,NULL,Non_Wetland,Bareland
383,Forest,Cropland,NULL,Non_Wetland,Built-up
384,Forest,Cropland,NULL,Non_Wetland,Water
385,Forest,Cropland,NULL,Non_Wetland,Forest
386,Forest,Cropland,Non_Water,Non_Wetland,Grassland
387,Forest,Cropland,Non_Water,Non_Wetland,Wetland
388,Forest,Cropland,Non_Water,Non_Wetland,Water
389,Forest,Cropland,Non_Water,Non_Wetland,Forest
390,Forest,Cropland,Water,Non_Wetland,Grassland
391,Forest,Cropland,Water,Non_Wetland,Water
392,Forest,Cropland,Water,Non_Wetland,Forest
393,Forest,Wetland,NULL,Wetland,NULL
394,Forest,Wetland,NULL,Wetland,Grassland
395,Forest,Wetland,NULL,Wetland,Cropland
396,Forest,Wetland,NULL,Wetland,Wetland
397,Forest,Wetland,NULL,Wetland,Built-up
398,Forest,Wetland,NULL,Wetland,Water
399,Forest,Wetland,NULL,Wetland,Forest
400,Forest,Wetland,Non_Water,Wetland,NULL
401,Forest,Wetland,Non_Water,Wetland,Grassland
402,Forest,Wetland,Non_Water,Wetland,Cropland
403,Forest,Wetland,Non_Water,Wetland,Wetland
404,Forest,Wetland,Non_Water,Wetland,Water
405,Forest,Wetland,Non_Water,Wetland,Forest
406,Forest,Wetland,Water,Wetland,Grassland
407,Forest,Wetland,Water,Wetland,Wetland
408,Forest,Wetland,Water,Wetland,Water
409,Forest,Wetland,Water,Wetland,Forest
410,Forest,Bareland,NULL,Non_Wetland,NULL
411,Forest,Bareland,NULL,Non_Wetland,Grassland
412,Forest,Bareland,NULL,Non_Wetland,Cropland
413,Forest,Bareland,NULL,Non_Wetland,Wetland
414,Forest,Bareland,NULL,Non_Wetland,Built-up
415,Forest,Bareland,NULL,Non_Wetland,Water
416,Forest,Bareland,NULL,Non_Wetland,Forest
417,Forest,Bareland,Non_Water,Non_Wetland,Grassland
418,Forest,Bareland,Non_Water,Non_Wetland,Wetland
419,Forest,Bareland,Non_Water,Non_Wetland,Forest
420,Forest,Bareland,Water,Non_Wetland,Grassland
421,Forest,Bareland,Water,Non_Wetland,Wetland
422,Forest,Bareland,Water,Non_Wetland,Forest
423,Forest,Built-up,NULL,Non_Wetland,Grassland
424,Forest,Built-up,NULL,Non_Wetland,Cropland
425,Forest,Built-up,NULL,Non_Wetland,Wetland
426,Forest,Built-up,NULL,Non_Wetland,Built-up
427,Forest,Built-up,NULL,Non_Wetland,Forest
428,Forest,Built-up,Non_Water,Non_Wetland,Forest
429,Forest,Built-up,Water,Non_Wetland,Bareland
430,Forest,Water,NULL,Water,NULL
431,Forest,Water,NULL,Water,Grassland
432,Forest,Water,NULL,Water,Wetland
433,Forest,Water,NULL,Water,Water
434,Forest,Water,NULL,Water,Forest
435,Forest,Water,Non_Water,Water,Grassland
436,Forest,Water,Non_Water,Water,Water
437,Forest,Water,Non_Water,Water,Forest
438,Forest,Water,Water,Water,NULL
439,Forest,Water,Water,Water,Grassland
440,Forest,Water,Water,Water,Wetland
441,Forest,Water,Water,Water,Water
442,Forest,Water,Water,Water,Forest
443,Forest,Forest,NULL,Non_Wetland,NULL
444,Forest,Forest,NULL,Non_Wetland,Grassland
445,Forest,Forest,NULL,Non_Wetland,Cropland
446,Forest,Forest,NULL,Non_Wetland,Wetland
447,Forest,Forest,NULL,Non_Wetland,Built-up
448,Forest,Forest,NULL,Non_Wetland,Water
449,Forest,Forest,NULL,Non_Wetland,Forest
450,Forest,Forest,Non_Water,Non_Wetland,NULL
451,Forest,Forest,Non_Water,Non_Wetland,Grassland
452,Forest,Forest,Non_Water,Non_Wetland,Wetland
453,Forest,Forest,Non_Water,Non_Wetland,Water
454,Forest,Forest,Non_Water,Non_Wetland,Forest
455,Forest,Forest,Water,Non_Wetland,Grassland
456,Forest,Forest,Water,Non_Wetland,Wetland
457,Forest,Forest,Water,Non_Wetland,Water
458,Forest,Forest,Water,Non_Wetland,Forest
