Value,SIBERIA_2024_ESA_CALU_2024_42WWE_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_42WWE_M_R,SIBERIA_2024_GLC_FCS30D_2022_42WWE_M_R,SIBERIA_2024_GSW_Yearly_2021_42WWE_M_R,SIBERIA_2024_GWL_FCS30D_2022_42WWE_M_R,SIBERIA_2024_WorldCover_2021_42WWE_M_R
193,NULL,Wetland,Forest,Water,Non_Wetland,Wetland
194,NULL,Bareland,Wetland,NULL,NULL,Lichens_and_Mosses
195,NULL,Bareland,Wetland,NULL,Wetland,Wetland
196,NULL,Bareland,Wetland,NULL,Wetland,Lichens_and_Mosses
197,NULL,Bareland,Wetland,NULL,Wetland,Bareland
198,NULL,Bareland,Wetland,NULL,Wetland,Water
199,NULL,Bareland,Wetland,Non_Water,Wetland,Bareland
200,NULL,Bareland,Wetland,Non_Water,Wetland,Water
201,NULL,Bareland,Wetland,Water,Wetland,Wetland
202,NULL,Bareland,Wetland,Water,Wetland,Lichens_and_Mosses
203,NULL,Bareland,Wetland,Water,Wetland,Bareland
204,NULL,Bareland,Wetland,Water,Wetland,Water
205,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
206,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
207,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
208,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Water
209,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
210,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
211,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Water
212,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
213,NULL,Bareland,Bareland,NULL,Non_Wetland,Wetland
214,NULL,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
215,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
216,NULL,Bareland,Bareland,NULL,Non_Wetland,Water
217,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
218,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland
219,NULL,Bareland,Bareland,Water,Non_Wetland,Water
220,NULL,Bareland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
221,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
222,NULL,Bareland,Built-up,NULL,Non_Wetland,Water
223,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
224,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
225,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Water
226,NULL,Bareland,Built-up,Water,Non_Wetland,Bareland
227,NULL,Bareland,Built-up,Water,Non_Wetland,Water
228,NULL,Bareland,Water,NULL,Water,Lichens_and_Mosses
229,NULL,Bareland,Water,NULL,Water,Bareland
230,NULL,Bareland,Water,NULL,Water,Water
231,NULL,Bareland,Water,Non_Water,Water,Bareland
232,NULL,Bareland,Water,Non_Water,Water,Water
233,NULL,Bareland,Water,Water,Water,Lichens_and_Mosses
234,NULL,Bareland,Water,Water,Water,Bareland
235,NULL,Bareland,Water,Water,Water,Water
236,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland
237,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland
238,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
239,NULL,Built-up,Wetland,NULL,Wetland,Wetland
240,NULL,Built-up,Wetland,NULL,Wetland,Built-up
241,NULL,Built-up,Wetland,NULL,Wetland,Water
242,NULL,Built-up,Wetland,NULL,Wetland,Permanent_ice_and_snow
243,NULL,Built-up,Wetland,Non_Water,Wetland,Wetland
244,NULL,Built-up,Wetland,Non_Water,Wetland,Built-up
245,NULL,Built-up,Wetland,Non_Water,Wetland,Water
246,NULL,Built-up,Wetland,Water,Wetland,Bareland
247,NULL,Built-up,Wetland,Water,Wetland,Built-up
248,NULL,Built-up,Wetland,Water,Wetland,Water
249,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
250,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
251,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
252,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland
253,NULL,Built-up,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
254,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
255,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Wetland
256,NULL,Built-up,Bareland,Water,Non_Wetland,Built-up
257,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
258,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland
259,NULL,Built-up,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
260,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
261,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
262,NULL,Built-up,Built-up,NULL,Non_Wetland,Water
263,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
264,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland
265,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up
266,NULL,Built-up,Water,Water,Water,Bareland
267,NULL,Built-up,Water,Water,Water,Built-up
268,NULL,Built-up,Water,Water,Water,Water
269,NULL,Water,Shrubland,NULL,Non_Wetland,Water
270,NULL,Water,Shrubland,Water,Non_Wetland,Wetland
271,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
272,NULL,Water,Grassland,NULL,Non_Wetland,Wetland
273,NULL,Water,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
274,NULL,Water,Grassland,NULL,Non_Wetland,Water
275,NULL,Water,Grassland,Water,Non_Wetland,Wetland
276,NULL,Water,Grassland,Water,Non_Wetland,Water
277,NULL,Water,Wetland,NULL,NULL,Water
278,NULL,Water,Wetland,NULL,Wetland,Grassland
279,NULL,Water,Wetland,NULL,Wetland,Wetland
280,NULL,Water,Wetland,NULL,Wetland,Lichens_and_Mosses
281,NULL,Water,Wetland,NULL,Wetland,Bareland
282,NULL,Water,Wetland,NULL,Wetland,Water
283,NULL,Water,Wetland,Non_Water,Wetland,Grassland
284,NULL,Water,Wetland,Non_Water,Wetland,Wetland
285,NULL,Water,Wetland,Non_Water,Wetland,Lichens_and_Mosses
286,NULL,Water,Wetland,Non_Water,Wetland,Water
287,NULL,Water,Wetland,Water,NULL,Water
288,NULL,Water,Wetland,Water,Wetland,Grassland
289,NULL,Water,Wetland,Water,Wetland,Wetland
290,NULL,Water,Wetland,Water,Wetland,Lichens_and_Mosses
291,NULL,Water,Wetland,Water,Wetland,Bareland
292,NULL,Water,Wetland,Water,Wetland,Water
293,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
294,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
295,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
296,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
297,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Water
298,NULL,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
299,NULL,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
300,NULL,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
301,NULL,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
302,NULL,Water,Lichens_and_Mosses,Water,Non_Wetland,Grassland
303,NULL,Water,Lichens_and_Mosses,Water,Non_Wetland,Wetland
304,NULL,Water,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
305,NULL,Water,Lichens_and_Mosses,Water,Non_Wetland,Bareland
306,NULL,Water,Lichens_and_Mosses,Water,Non_Wetland,Water
307,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
308,NULL,Water,Bareland,NULL,Non_Wetland,Wetland
309,NULL,Water,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
310,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
311,NULL,Water,Bareland,NULL,Non_Wetland,Water
312,NULL,Water,Bareland,Non_Water,Non_Wetland,Grassland
313,NULL,Water,Bareland,Non_Water,Non_Wetland,Bareland
314,NULL,Water,Bareland,Non_Water,Non_Wetland,Water
315,NULL,Water,Bareland,Water,Non_Wetland,Grassland
316,NULL,Water,Bareland,Water,Non_Wetland,Wetland
317,NULL,Water,Bareland,Water,Non_Wetland,Lichens_and_Mosses
318,NULL,Water,Bareland,Water,Non_Wetland,Bareland
319,NULL,Water,Bareland,Water,Non_Wetland,Water
320,NULL,Water,Built-up,NULL,Non_Wetland,Bareland
321,NULL,Water,Built-up,NULL,Non_Wetland,Water
322,NULL,Water,Built-up,Non_Water,Non_Wetland,Water
323,NULL,Water,Built-up,Water,Non_Wetland,Lichens_and_Mosses
324,NULL,Water,Built-up,Water,Non_Wetland,Bareland
325,NULL,Water,Built-up,Water,Non_Wetland,Water
326,NULL,Water,Water,NULL,Water,Grassland
327,NULL,Water,Water,NULL,Water,Wetland
328,NULL,Water,Water,NULL,Water,Lichens_and_Mosses
329,NULL,Water,Water,NULL,Water,Water
330,NULL,Water,Water,Non_Water,Water,Wetland
331,NULL,Water,Water,Non_Water,Water,Water
332,NULL,Water,Water,Water,NULL,Water
333,NULL,Water,Water,Water,Water,Grassland
334,NULL,Water,Water,Water,Water,Wetland
335,NULL,Water,Water,Water,Water,Lichens_and_Mosses
336,NULL,Water,Water,Water,Water,Bareland
337,NULL,Water,Water,Water,Water,Water
338,NULL,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Grassland
339,NULL,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Wetland
340,NULL,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
341,NULL,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Water
342,NULL,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Grassland
343,NULL,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Wetland
344,NULL,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
345,NULL,Permanent_ice_and_snow,Grassland,Non_Water,Non_Wetland,Wetland
346,NULL,Permanent_ice_and_snow,Grassland,Water,Non_Wetland,Wetland
347,NULL,Permanent_ice_and_snow,Wetland,NULL,Wetland,Grassland
348,NULL,Permanent_ice_and_snow,Wetland,NULL,Wetland,Wetland
349,NULL,Permanent_ice_and_snow,Wetland,NULL,Wetland,Lichens_and_Mosses
350,NULL,Permanent_ice_and_snow,Wetland,NULL,Wetland,Bareland
351,NULL,Permanent_ice_and_snow,Wetland,NULL,Wetland,Water
352,NULL,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Wetland
353,NULL,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Lichens_and_Mosses
354,NULL,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Bareland
355,NULL,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Water
356,NULL,Permanent_ice_and_snow,Wetland,Water,Wetland,Grassland
357,NULL,Permanent_ice_and_snow,Wetland,Water,Wetland,Wetland
358,NULL,Permanent_ice_and_snow,Wetland,Water,Wetland,Lichens_and_Mosses
359,NULL,Permanent_ice_and_snow,Wetland,Water,Wetland,Bareland
360,NULL,Permanent_ice_and_snow,Wetland,Water,Wetland,Water
361,NULL,Permanent_ice_and_snow,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
362,NULL,Permanent_ice_and_snow,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
363,NULL,Permanent_ice_and_snow,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
364,NULL,Permanent_ice_and_snow,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
365,NULL,Permanent_ice_and_snow,Lichens_and_Mosses,NULL,Non_Wetland,Water
366,NULL,Permanent_ice_and_snow,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
367,NULL,Permanent_ice_and_snow,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
368,NULL,Permanent_ice_and_snow,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
369,NULL,Permanent_ice_and_snow,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
370,NULL,Permanent_ice_and_snow,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
371,NULL,Permanent_ice_and_snow,Lichens_and_Mosses,Water,Non_Wetland,Grassland
372,NULL,Permanent_ice_and_snow,Lichens_and_Mosses,Water,Non_Wetland,Wetland
373,NULL,Permanent_ice_and_snow,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
374,NULL,Permanent_ice_and_snow,Lichens_and_Mosses,Water,Non_Wetland,Bareland
375,NULL,Permanent_ice_and_snow,Lichens_and_Mosses,Water,Non_Wetland,Water
376,NULL,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Grassland
377,NULL,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Wetland
378,NULL,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
379,NULL,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Bareland
380,NULL,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Water
381,NULL,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Grassland
382,NULL,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Wetland
383,NULL,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
384,NULL,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Bareland
385,NULL,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Water
386,NULL,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Grassland
387,NULL,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Wetland
388,NULL,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Lichens_and_Mosses
389,NULL,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Bareland
390,NULL,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Water
391,NULL,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Grassland
392,NULL,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Wetland
393,NULL,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
