Value,SIBERIA_2024_ESA_CALU_2024_42WVC_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_42WVC_M_R,SIBERIA_2024_GLC_FCS30D_2022_42WVC_M_R,SIBERIA_2024_GSW_Yearly_2021_42WVC_M_R,SIBERIA_2024_GWL_FCS30D_2022_42WVC_M_R,SIBERIA_2024_WorldCover_2021_42WVC_M_R
109,NULL,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
110,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
111,NULL,NULL,Bareland,Water,Non_Wetland,Water
112,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
113,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
114,NULL,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
115,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
116,NULL,NULL,Built-up,NULL,Non_Wetland,Water
117,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
118,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland
119,NULL,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
120,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
121,NULL,NULL,Built-up,Non_Water,Non_Wetland,Water
122,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
123,NULL,NULL,Built-up,Water,Non_Wetland,Wetland
124,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
125,NULL,NULL,Built-up,Water,Non_Wetland,Built-up
126,NULL,NULL,Built-up,Water,Non_Wetland,Water
127,NULL,NULL,Water,NULL,NULL,NULL
128,NULL,NULL,Water,NULL,NULL,Wetland
129,NULL,NULL,Water,NULL,NULL,Lichens_and_Mosses
130,NULL,NULL,Water,NULL,NULL,Bareland
131,NULL,NULL,Water,NULL,NULL,Water
132,NULL,NULL,Water,NULL,Water,Grassland
133,NULL,NULL,Water,NULL,Water,Wetland
134,NULL,NULL,Water,NULL,Water,Lichens_and_Mosses
135,NULL,NULL,Water,NULL,Water,Bareland
136,NULL,NULL,Water,NULL,Water,Water
137,NULL,NULL,Water,NULL,Water,Forest
138,NULL,NULL,Water,Non_Water,NULL,Bareland
139,NULL,NULL,Water,Non_Water,NULL,Water
140,NULL,NULL,Water,Non_Water,Water,Grassland
141,NULL,NULL,Water,Non_Water,Water,Wetland
142,NULL,NULL,Water,Non_Water,Water,Lichens_and_Mosses
143,NULL,NULL,Water,Non_Water,Water,Bareland
144,NULL,NULL,Water,Non_Water,Water,Water
145,NULL,NULL,Water,Water,NULL,Grassland
146,NULL,NULL,Water,Water,NULL,Wetland
147,NULL,NULL,Water,Water,NULL,Bareland
148,NULL,NULL,Water,Water,NULL,Water
149,NULL,NULL,Water,Water,NULL,Permanent_ice_and_snow
150,NULL,NULL,Water,Water,Water,Grassland
151,NULL,NULL,Water,Water,Water,Wetland
152,NULL,NULL,Water,Water,Water,Lichens_and_Mosses
153,NULL,NULL,Water,Water,Water,Bareland
154,NULL,NULL,Water,Water,Water,Water
155,NULL,NULL,Water,Water,Water,Forest
156,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
157,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
158,NULL,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
159,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
160,NULL,NULL,Forest,NULL,Non_Wetland,Water
161,NULL,NULL,Forest,NULL,Non_Wetland,Forest
162,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
163,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
164,NULL,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
165,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland
166,NULL,NULL,Forest,Non_Water,Non_Wetland,Water
167,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
168,NULL,NULL,Forest,Water,Non_Wetland,Grassland
169,NULL,NULL,Forest,Water,Non_Wetland,Wetland
170,NULL,NULL,Forest,Water,Non_Wetland,Lichens_and_Mosses
171,NULL,NULL,Forest,Water,Non_Wetland,Bareland
172,NULL,NULL,Forest,Water,Non_Wetland,Water
173,NULL,NULL,Forest,Water,Non_Wetland,Forest
174,Shrubland,NULL,NULL,NULL,Non_Wetland,Grassland
175,Shrubland,NULL,NULL,NULL,Non_Wetland,Wetland
176,Shrubland,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
177,Shrubland,NULL,NULL,NULL,Non_Wetland,Bareland
178,Shrubland,NULL,NULL,NULL,Non_Wetland,Water
179,Shrubland,NULL,NULL,NULL,Non_Wetland,Forest
180,Shrubland,NULL,NULL,Non_Water,Non_Wetland,Grassland
181,Shrubland,NULL,NULL,Non_Water,Non_Wetland,Wetland
182,Shrubland,NULL,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
183,Shrubland,NULL,NULL,Non_Water,Non_Wetland,Bareland
184,Shrubland,NULL,NULL,Non_Water,Non_Wetland,Water
185,Shrubland,NULL,NULL,Non_Water,Non_Wetland,Forest
186,Shrubland,NULL,NULL,Water,Non_Wetland,Grassland
187,Shrubland,NULL,NULL,Water,Non_Wetland,Wetland
188,Shrubland,NULL,NULL,Water,Non_Wetland,Bareland
189,Shrubland,NULL,NULL,Water,Non_Wetland,Water
190,Shrubland,NULL,NULL,Water,Non_Wetland,Forest
191,Shrubland,NULL,Shrubland,NULL,Non_Wetland,Grassland
192,Shrubland,NULL,Shrubland,NULL,Non_Wetland,Wetland
193,Shrubland,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
194,Shrubland,NULL,Shrubland,NULL,Non_Wetland,Bareland
195,Shrubland,NULL,Shrubland,NULL,Non_Wetland,Water
196,Shrubland,NULL,Shrubland,NULL,Non_Wetland,Forest
197,Shrubland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
198,Shrubland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
199,Shrubland,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
200,Shrubland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
201,Shrubland,NULL,Shrubland,Non_Water,Non_Wetland,Water
202,Shrubland,NULL,Shrubland,Non_Water,Non_Wetland,Permanent_ice_and_snow
203,Shrubland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
204,Shrubland,NULL,Shrubland,Water,Non_Wetland,Grassland
205,Shrubland,NULL,Shrubland,Water,Non_Wetland,Wetland
206,Shrubland,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
207,Shrubland,NULL,Shrubland,Water,Non_Wetland,Bareland
208,Shrubland,NULL,Shrubland,Water,Non_Wetland,Water
209,Shrubland,NULL,Shrubland,Water,Non_Wetland,Forest
210,Shrubland,NULL,Grassland,NULL,Non_Wetland,Grassland
211,Shrubland,NULL,Grassland,NULL,Non_Wetland,Wetland
212,Shrubland,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
213,Shrubland,NULL,Grassland,NULL,Non_Wetland,Bareland
214,Shrubland,NULL,Grassland,NULL,Non_Wetland,Built-up
215,Shrubland,NULL,Grassland,NULL,Non_Wetland,Water
216,Shrubland,NULL,Grassland,NULL,Non_Wetland,Forest
217,Shrubland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
218,Shrubland,NULL,Grassland,Non_Water,Non_Wetland,Wetland
219,Shrubland,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
220,Shrubland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
221,Shrubland,NULL,Grassland,Non_Water,Non_Wetland,Water
222,Shrubland,NULL,Grassland,Non_Water,Non_Wetland,Forest
223,Shrubland,NULL,Grassland,Water,Non_Wetland,Grassland
224,Shrubland,NULL,Grassland,Water,Non_Wetland,Wetland
225,Shrubland,NULL,Grassland,Water,Non_Wetland,Water
226,Shrubland,NULL,Wetland,NULL,NULL,Grassland
227,Shrubland,NULL,Wetland,NULL,NULL,Wetland
228,Shrubland,NULL,Wetland,NULL,NULL,Water
229,Shrubland,NULL,Wetland,NULL,Wetland,Grassland
230,Shrubland,NULL,Wetland,NULL,Wetland,Wetland
231,Shrubland,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
232,Shrubland,NULL,Wetland,NULL,Wetland,Bareland
233,Shrubland,NULL,Wetland,NULL,Wetland,Water
234,Shrubland,NULL,Wetland,NULL,Wetland,Permanent_ice_and_snow
235,Shrubland,NULL,Wetland,NULL,Wetland,Forest
236,Shrubland,NULL,Wetland,Non_Water,NULL,Wetland
237,Shrubland,NULL,Wetland,Non_Water,NULL,Water
238,Shrubland,NULL,Wetland,Non_Water,Wetland,Grassland
239,Shrubland,NULL,Wetland,Non_Water,Wetland,Wetland
240,Shrubland,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
241,Shrubland,NULL,Wetland,Non_Water,Wetland,Bareland
242,Shrubland,NULL,Wetland,Non_Water,Wetland,Water
243,Shrubland,NULL,Wetland,Non_Water,Wetland,Permanent_ice_and_snow
244,Shrubland,NULL,Wetland,Non_Water,Wetland,Forest
245,Shrubland,NULL,Wetland,Water,NULL,Grassland
246,Shrubland,NULL,Wetland,Water,NULL,Wetland
247,Shrubland,NULL,Wetland,Water,NULL,Water
248,Shrubland,NULL,Wetland,Water,Wetland,Grassland
249,Shrubland,NULL,Wetland,Water,Wetland,Wetland
250,Shrubland,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
251,Shrubland,NULL,Wetland,Water,Wetland,Bareland
252,Shrubland,NULL,Wetland,Water,Wetland,Water
253,Shrubland,NULL,Wetland,Water,Wetland,Permanent_ice_and_snow
254,Shrubland,NULL,Wetland,Water,Wetland,Forest
255,Shrubland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
256,Shrubland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
257,Shrubland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
258,Shrubland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
259,Shrubland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
260,Shrubland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
261,Shrubland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Permanent_ice_and_snow
262,Shrubland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
263,Shrubland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
264,Shrubland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
265,Shrubland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
266,Shrubland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
267,Shrubland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
268,Shrubland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
269,Shrubland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
270,Shrubland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
271,Shrubland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
272,Shrubland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
273,Shrubland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
274,Shrubland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Permanent_ice_and_snow
275,Shrubland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Forest
276,Shrubland,NULL,Bareland,NULL,Non_Wetland,Grassland
277,Shrubland,NULL,Bareland,NULL,Non_Wetland,Wetland
278,Shrubland,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
279,Shrubland,NULL,Bareland,NULL,Non_Wetland,Bareland
280,Shrubland,NULL,Bareland,NULL,Non_Wetland,Built-up
281,Shrubland,NULL,Bareland,NULL,Non_Wetland,Water
282,Shrubland,NULL,Bareland,NULL,Non_Wetland,Forest
283,Shrubland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
284,Shrubland,NULL,Bareland,Non_Water,Non_Wetland,Wetland
285,Shrubland,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
286,Shrubland,NULL,Bareland,Non_Water,Non_Wetland,Bareland
287,Shrubland,NULL,Bareland,Non_Water,Non_Wetland,Water
288,Shrubland,NULL,Bareland,Non_Water,Non_Wetland,Forest
289,Shrubland,NULL,Bareland,Water,Non_Wetland,Grassland
290,Shrubland,NULL,Bareland,Water,Non_Wetland,Wetland
291,Shrubland,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
292,Shrubland,NULL,Bareland,Water,Non_Wetland,Bareland
293,Shrubland,NULL,Bareland,Water,Non_Wetland,Water
294,Shrubland,NULL,Bareland,Water,Non_Wetland,Permanent_ice_and_snow
295,Shrubland,NULL,Bareland,Water,Non_Wetland,Forest
296,Shrubland,NULL,Built-up,NULL,Non_Wetland,Grassland
297,Shrubland,NULL,Built-up,NULL,Non_Wetland,Wetland
298,Shrubland,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
299,Shrubland,NULL,Built-up,NULL,Non_Wetland,Bareland
300,Shrubland,NULL,Built-up,NULL,Non_Wetland,Built-up
301,Shrubland,NULL,Built-up,NULL,Non_Wetland,Water
302,Shrubland,NULL,Built-up,NULL,Non_Wetland,Forest
303,Shrubland,NULL,Built-up,Non_Water,Non_Wetland,Grassland
304,Shrubland,NULL,Built-up,Non_Water,Non_Wetland,Wetland
305,Shrubland,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
306,Shrubland,NULL,Built-up,Non_Water,Non_Wetland,Bareland
307,Shrubland,NULL,Built-up,Non_Water,Non_Wetland,Water
308,Shrubland,NULL,Built-up,Water,Non_Wetland,Grassland
309,Shrubland,NULL,Built-up,Water,Non_Wetland,Wetland
310,Shrubland,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
311,Shrubland,NULL,Built-up,Water,Non_Wetland,Bareland
312,Shrubland,NULL,Built-up,Water,Non_Wetland,Water
313,Shrubland,NULL,Water,NULL,NULL,Wetland
314,Shrubland,NULL,Water,NULL,NULL,Water
315,Shrubland,NULL,Water,NULL,Water,Grassland
316,Shrubland,NULL,Water,NULL,Water,Wetland
317,Shrubland,NULL,Water,NULL,Water,Lichens_and_Mosses
318,Shrubland,NULL,Water,NULL,Water,Bareland
319,Shrubland,NULL,Water,NULL,Water,Water
320,Shrubland,NULL,Water,NULL,Water,Forest
321,Shrubland,NULL,Water,Non_Water,NULL,Water
322,Shrubland,NULL,Water,Non_Water,Water,Grassland
323,Shrubland,NULL,Water,Non_Water,Water,Wetland
324,Shrubland,NULL,Water,Non_Water,Water,Lichens_and_Mosses
325,Shrubland,NULL,Water,Non_Water,Water,Bareland
326,Shrubland,NULL,Water,Non_Water,Water,Water
327,Shrubland,NULL,Water,Non_Water,Water,Forest
328,Shrubland,NULL,Water,Water,NULL,Grassland
329,Shrubland,NULL,Water,Water,NULL,Wetland
330,Shrubland,NULL,Water,Water,NULL,Water
331,Shrubland,NULL,Water,Water,Water,Grassland
332,Shrubland,NULL,Water,Water,Water,Wetland
333,Shrubland,NULL,Water,Water,Water,Lichens_and_Mosses
334,Shrubland,NULL,Water,Water,Water,Bareland
335,Shrubland,NULL,Water,Water,Water,Water
336,Shrubland,NULL,Water,Water,Water,Permanent_ice_and_snow
337,Shrubland,NULL,Water,Water,Water,Forest
338,Shrubland,NULL,Forest,NULL,Non_Wetland,Grassland
339,Shrubland,NULL,Forest,NULL,Non_Wetland,Wetland
340,Shrubland,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
341,Shrubland,NULL,Forest,NULL,Non_Wetland,Bareland
342,Shrubland,NULL,Forest,NULL,Non_Wetland,Water
343,Shrubland,NULL,Forest,NULL,Non_Wetland,Forest
344,Shrubland,NULL,Forest,Non_Water,Non_Wetland,Grassland
345,Shrubland,NULL,Forest,Non_Water,Non_Wetland,Wetland
346,Shrubland,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
347,Shrubland,NULL,Forest,Non_Water,Non_Wetland,Bareland
348,Shrubland,NULL,Forest,Non_Water,Non_Wetland,Water
349,Shrubland,NULL,Forest,Non_Water,Non_Wetland,Forest
350,Shrubland,NULL,Forest,Water,Non_Wetland,Grassland
351,Shrubland,NULL,Forest,Water,Non_Wetland,Wetland
352,Shrubland,NULL,Forest,Water,Non_Wetland,Lichens_and_Mosses
353,Shrubland,NULL,Forest,Water,Non_Wetland,Bareland
354,Shrubland,NULL,Forest,Water,Non_Wetland,Water
355,Shrubland,NULL,Forest,Water,Non_Wetland,Permanent_ice_and_snow
356,Shrubland,NULL,Forest,Water,Non_Wetland,Forest
357,Wetland,NULL,NULL,NULL,Non_Wetland,Grassland
358,Wetland,NULL,NULL,NULL,Non_Wetland,Wetland
359,Wetland,NULL,NULL,NULL,Non_Wetland,Lichens_and_Mosses
360,Wetland,NULL,NULL,NULL,Non_Wetland,Bareland
361,Wetland,NULL,NULL,NULL,Non_Wetland,Water
362,Wetland,NULL,NULL,NULL,Non_Wetland,Forest
363,Wetland,NULL,NULL,Non_Water,Non_Wetland,Grassland
364,Wetland,NULL,NULL,Non_Water,Non_Wetland,Wetland
365,Wetland,NULL,NULL,Non_Water,Non_Wetland,Bareland
366,Wetland,NULL,NULL,Non_Water,Non_Wetland,Water
367,Wetland,NULL,NULL,Water,Non_Wetland,Grassland
368,Wetland,NULL,NULL,Water,Non_Wetland,Wetland
369,Wetland,NULL,NULL,Water,Non_Wetland,Lichens_and_Mosses
370,Wetland,NULL,NULL,Water,Non_Wetland,Bareland
371,Wetland,NULL,NULL,Water,Non_Wetland,Water
372,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland
373,Wetland,NULL,Shrubland,NULL,Non_Wetland,Wetland
374,Wetland,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
375,Wetland,NULL,Shrubland,NULL,Non_Wetland,Bareland
376,Wetland,NULL,Shrubland,NULL,Non_Wetland,Water
377,Wetland,NULL,Shrubland,NULL,Non_Wetland,Forest
378,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
379,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
380,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
381,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
382,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Water
383,Wetland,NULL,Shrubland,Water,Non_Wetland,Grassland
384,Wetland,NULL,Shrubland,Water,Non_Wetland,Wetland
385,Wetland,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
386,Wetland,NULL,Shrubland,Water,Non_Wetland,Bareland
387,Wetland,NULL,Shrubland,Water,Non_Wetland,Water
388,Wetland,NULL,Shrubland,Water,Non_Wetland,Permanent_ice_and_snow
389,Wetland,NULL,Shrubland,Water,Non_Wetland,Forest
390,Wetland,NULL,Grassland,NULL,Non_Wetland,Grassland
391,Wetland,NULL,Grassland,NULL,Non_Wetland,Wetland
392,Wetland,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
393,Wetland,NULL,Grassland,NULL,Non_Wetland,Bareland
394,Wetland,NULL,Grassland,NULL,Non_Wetland,Water
395,Wetland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
396,Wetland,NULL,Grassland,Non_Water,Non_Wetland,Wetland
397,Wetland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
398,Wetland,NULL,Grassland,Non_Water,Non_Wetland,Water
399,Wetland,NULL,Grassland,Water,Non_Wetland,Grassland
400,Wetland,NULL,Grassland,Water,Non_Wetland,Wetland
401,Wetland,NULL,Grassland,Water,Non_Wetland,Lichens_and_Mosses
402,Wetland,NULL,Grassland,Water,Non_Wetland,Water
403,Wetland,NULL,Wetland,NULL,NULL,Grassland
404,Wetland,NULL,Wetland,NULL,NULL,Wetland
405,Wetland,NULL,Wetland,NULL,NULL,Lichens_and_Mosses
406,Wetland,NULL,Wetland,NULL,NULL,Bareland
407,Wetland,NULL,Wetland,NULL,NULL,Water
408,Wetland,NULL,Wetland,NULL,Wetland,Grassland
