Value,SIBERIA_2024_ESRI_Annual_LULC_2024_44WNS_M_R,SIBERIA_2024_GLC_FCS30D_2022_44WNS_M_R,SIBERIA_2024_GSW_Yearly_2021_44WNS_M_R,SIBERIA_2024_GWL_FCS30D_2022_44WNS_M_R,SIBERIA_2024_WorldCover_2021_44WNS_M_R
260,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
261,Wetland,Bareland,Non_Water,Non_Wetland,Water
262,Wetland,Bareland,Non_Water,Non_Wetland,Forest
263,Wetland,Bareland,Water,Non_Wetland,Grassland
264,Wetland,Bareland,Water,Non_Wetland,Wetland
265,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
266,Wetland,Bareland,Water,Non_Wetland,Bareland
267,Wetland,Bareland,Water,Non_Wetland,Water
268,Wetland,Bareland,Water,Non_Wetland,Forest
269,Wetland,Built-up,NULL,Non_Wetland,Grassland
270,Wetland,Built-up,NULL,Non_Wetland,Wetland
271,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
272,Wetland,Built-up,NULL,Non_Wetland,Built-up
273,Wetland,Built-up,NULL,Non_Wetland,Water
274,Wetland,Built-up,NULL,Non_Wetland,Forest
275,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
276,Wetland,Built-up,Non_Water,Non_Wetland,Forest
277,Wetland,Built-up,Water,Non_Wetland,Grassland
278,Wetland,Built-up,Water,Non_Wetland,Wetland
279,Wetland,Built-up,Water,Non_Wetland,Forest
280,Wetland,Water,NULL,Water,Grassland
281,Wetland,Water,NULL,Water,Wetland
282,Wetland,Water,NULL,Water,Lichens_and_Mosses
283,Wetland,Water,NULL,Water,Water
284,Wetland,Water,NULL,Water,Forest
285,Wetland,Water,Non_Water,Water,Grassland
286,Wetland,Water,Non_Water,Water,Wetland
287,Wetland,Water,Non_Water,Water,Lichens_and_Mosses
288,Wetland,Water,Non_Water,Water,Water
289,Wetland,Water,Non_Water,Water,Forest
290,Wetland,Water,Water,Water,Grassland
291,Wetland,Water,Water,Water,Wetland
292,Wetland,Water,Water,Water,Lichens_and_Mosses
293,Wetland,Water,Water,Water,Bareland
294,Wetland,Water,Water,Water,Water
295,Wetland,Water,Water,Water,Forest
296,Wetland,Forest,NULL,Non_Wetland,NULL
297,Wetland,Forest,NULL,Non_Wetland,Grassland
298,Wetland,Forest,NULL,Non_Wetland,Wetland
299,Wetland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
300,Wetland,Forest,NULL,Non_Wetland,Built-up
301,Wetland,Forest,NULL,Non_Wetland,Water
302,Wetland,Forest,NULL,Non_Wetland,Forest
303,Wetland,Forest,Non_Water,Non_Wetland,Grassland
304,Wetland,Forest,Non_Water,Non_Wetland,Wetland
305,Wetland,Forest,Non_Water,Non_Wetland,Water
306,Wetland,Forest,Non_Water,Non_Wetland,Forest
307,Wetland,Forest,Water,Non_Wetland,Grassland
308,Wetland,Forest,Water,Non_Wetland,Wetland
309,Wetland,Forest,Water,Non_Wetland,Lichens_and_Mosses
310,Wetland,Forest,Water,Non_Wetland,Water
311,Wetland,Forest,Water,Non_Wetland,Forest
312,Bareland,NULL,NULL,Non_Wetland,Water
313,Bareland,NULL,NULL,Non_Wetland,Forest
314,Bareland,Shrubland,Water,Non_Wetland,Grassland
315,Bareland,Cropland,NULL,Non_Wetland,Grassland
316,Bareland,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
317,Bareland,Cropland,Water,Non_Wetland,Bareland
318,Bareland,Wetland,NULL,Wetland,Grassland
319,Bareland,Wetland,NULL,Wetland,Wetland
320,Bareland,Wetland,NULL,Wetland,Lichens_and_Mosses
321,Bareland,Wetland,NULL,Wetland,Bareland
322,Bareland,Wetland,NULL,Wetland,Water
323,Bareland,Wetland,NULL,Wetland,Forest
324,Bareland,Wetland,Non_Water,Wetland,Grassland
325,Bareland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
326,Bareland,Wetland,Non_Water,Wetland,Bareland
327,Bareland,Wetland,Non_Water,Wetland,Water
328,Bareland,Wetland,Water,Wetland,NULL
329,Bareland,Wetland,Water,Wetland,Grassland
330,Bareland,Wetland,Water,Wetland,Wetland
331,Bareland,Wetland,Water,Wetland,Lichens_and_Mosses
332,Bareland,Wetland,Water,Wetland,Bareland
333,Bareland,Wetland,Water,Wetland,Water
334,Bareland,Wetland,Water,Wetland,Forest
335,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
336,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
337,Bareland,Bareland,NULL,Non_Wetland,Grassland
338,Bareland,Bareland,NULL,Non_Wetland,Wetland
339,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
340,Bareland,Bareland,NULL,Non_Wetland,Bareland
341,Bareland,Bareland,NULL,Non_Wetland,Built-up
342,Bareland,Bareland,NULL,Non_Wetland,Water
343,Bareland,Bareland,NULL,Non_Wetland,Forest
344,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
345,Bareland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
346,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
347,Bareland,Bareland,Non_Water,Non_Wetland,Water
348,Bareland,Bareland,Non_Water,Non_Wetland,Forest
349,Bareland,Bareland,Water,Non_Wetland,Grassland
350,Bareland,Bareland,Water,Non_Wetland,Wetland
351,Bareland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
352,Bareland,Bareland,Water,Non_Wetland,Bareland
353,Bareland,Bareland,Water,Non_Wetland,Water
354,Bareland,Built-up,Water,Non_Wetland,Bareland
355,Bareland,Water,NULL,Water,Lichens_and_Mosses
356,Bareland,Water,NULL,Water,Bareland
357,Bareland,Water,Non_Water,Water,Forest
358,Bareland,Water,Water,Water,Grassland
359,Bareland,Water,Water,Water,Lichens_and_Mosses
360,Bareland,Water,Water,Water,Bareland
361,Bareland,Water,Water,Water,Water
362,Bareland,Water,Water,Water,Forest
363,Bareland,Forest,NULL,Non_Wetland,Grassland
364,Bareland,Forest,NULL,Non_Wetland,Wetland
365,Bareland,Forest,NULL,Non_Wetland,Forest
366,Bareland,Forest,Water,Non_Wetland,Water
367,Built-up,NULL,NULL,Non_Wetland,Grassland
368,Built-up,NULL,NULL,Non_Wetland,Forest
369,Built-up,Shrubland,NULL,Non_Wetland,NULL
370,Built-up,Shrubland,NULL,Non_Wetland,Grassland
371,Built-up,Shrubland,NULL,Non_Wetland,Wetland
372,Built-up,Shrubland,NULL,Non_Wetland,Forest
373,Built-up,Grassland,NULL,Non_Wetland,Grassland
374,Built-up,Grassland,NULL,Non_Wetland,Built-up
375,Built-up,Grassland,NULL,Non_Wetland,Forest
376,Built-up,Wetland,NULL,Wetland,NULL
377,Built-up,Wetland,NULL,Wetland,Grassland
378,Built-up,Wetland,NULL,Wetland,Wetland
379,Built-up,Wetland,NULL,Wetland,Forest
380,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
381,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
382,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Forest
383,Built-up,Bareland,NULL,Non_Wetland,Grassland
384,Built-up,Bareland,NULL,Non_Wetland,Wetland
385,Built-up,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
386,Built-up,Bareland,NULL,Non_Wetland,Bareland
387,Built-up,Bareland,NULL,Non_Wetland,Built-up
388,Built-up,Bareland,NULL,Non_Wetland,Water
389,Built-up,Bareland,NULL,Non_Wetland,Forest
390,Built-up,Bareland,Non_Water,Non_Wetland,Forest
391,Built-up,Bareland,Water,Non_Wetland,Wetland
392,Built-up,Bareland,Water,Non_Wetland,Bareland
393,Built-up,Bareland,Water,Non_Wetland,Forest
394,Built-up,Built-up,NULL,Non_Wetland,Grassland
395,Built-up,Built-up,NULL,Non_Wetland,Wetland
396,Built-up,Built-up,NULL,Non_Wetland,Bareland
397,Built-up,Built-up,NULL,Non_Wetland,Built-up
398,Built-up,Built-up,NULL,Non_Wetland,Forest
399,Built-up,Water,NULL,Water,Water
400,Built-up,Water,NULL,Water,Forest
401,Built-up,Water,Water,Water,Forest
402,Built-up,Forest,NULL,Non_Wetland,NULL
403,Built-up,Forest,NULL,Non_Wetland,Grassland
404,Built-up,Forest,NULL,Non_Wetland,Wetland
405,Built-up,Forest,NULL,Non_Wetland,Built-up
406,Built-up,Forest,NULL,Non_Wetland,Forest
407,Water,NULL,NULL,Non_Wetland,Grassland
408,Water,NULL,NULL,Non_Wetland,Wetland
409,Water,NULL,NULL,Non_Wetland,Bareland
410,Water,NULL,NULL,Non_Wetland,Water
411,Water,NULL,NULL,Non_Wetland,Forest
412,Water,NULL,Non_Water,Non_Wetland,Grassland
413,Water,NULL,Non_Water,Non_Wetland,Wetland
414,Water,NULL,Non_Water,Non_Wetland,Water
415,Water,NULL,Non_Water,Non_Wetland,Forest
416,Water,NULL,Water,Non_Wetland,Grassland
417,Water,NULL,Water,Non_Wetland,Wetland
418,Water,NULL,Water,Non_Wetland,Water
419,Water,NULL,Water,Non_Wetland,Forest
420,Water,Shrubland,NULL,Non_Wetland,Grassland
421,Water,Shrubland,NULL,Non_Wetland,Wetland
422,Water,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
423,Water,Shrubland,NULL,Non_Wetland,Bareland
424,Water,Shrubland,NULL,Non_Wetland,Water
425,Water,Shrubland,NULL,Non_Wetland,Forest
426,Water,Shrubland,Non_Water,Non_Wetland,Grassland
427,Water,Shrubland,Non_Water,Non_Wetland,Wetland
428,Water,Shrubland,Non_Water,Non_Wetland,Water
429,Water,Shrubland,Non_Water,Non_Wetland,Forest
430,Water,Shrubland,Water,Non_Wetland,Grassland
431,Water,Shrubland,Water,Non_Wetland,Wetland
432,Water,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
433,Water,Shrubland,Water,Non_Wetland,Bareland
434,Water,Shrubland,Water,Non_Wetland,Water
435,Water,Shrubland,Water,Non_Wetland,Forest
436,Water,Grassland,NULL,Non_Wetland,Grassland
437,Water,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
438,Water,Grassland,NULL,Non_Wetland,Water
439,Water,Grassland,NULL,Non_Wetland,Forest
440,Water,Grassland,Non_Water,Non_Wetland,Grassland
441,Water,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
442,Water,Grassland,Non_Water,Non_Wetland,Water
443,Water,Grassland,Water,Non_Wetland,Grassland
444,Water,Grassland,Water,Non_Wetland,Wetland
445,Water,Grassland,Water,Non_Wetland,Bareland
446,Water,Grassland,Water,Non_Wetland,Water
447,Water,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
448,Water,Cropland,Water,Non_Wetland,Grassland
449,Water,Cropland,Water,Non_Wetland,Bareland
450,Water,Cropland,Water,Non_Wetland,Water
451,Water,Wetland,NULL,Wetland,Grassland
452,Water,Wetland,NULL,Wetland,Wetland
453,Water,Wetland,NULL,Wetland,Lichens_and_Mosses
454,Water,Wetland,NULL,Wetland,Bareland
455,Water,Wetland,NULL,Wetland,Water
456,Water,Wetland,NULL,Wetland,Forest
457,Water,Wetland,Non_Water,Wetland,Grassland
458,Water,Wetland,Non_Water,Wetland,Wetland
459,Water,Wetland,Non_Water,Wetland,Lichens_and_Mosses
460,Water,Wetland,Non_Water,Wetland,Bareland
461,Water,Wetland,Non_Water,Wetland,Water
462,Water,Wetland,Non_Water,Wetland,Forest
463,Water,Wetland,Water,Wetland,Grassland
464,Water,Wetland,Water,Wetland,Wetland
465,Water,Wetland,Water,Wetland,Lichens_and_Mosses
466,Water,Wetland,Water,Wetland,Bareland
467,Water,Wetland,Water,Wetland,Water
468,Water,Wetland,Water,Wetland,Forest
469,Water,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
470,Water,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
471,Water,Lichens_and_Mosses,NULL,Non_Wetland,Water
472,Water,Lichens_and_Mosses,NULL,Non_Wetland,Forest
473,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
474,Water,Lichens_and_Mosses,Water,Non_Wetland,Grassland
475,Water,Lichens_and_Mosses,Water,Non_Wetland,Wetland
476,Water,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
477,Water,Lichens_and_Mosses,Water,Non_Wetland,Bareland
478,Water,Bareland,NULL,Non_Wetland,Grassland
479,Water,Bareland,NULL,Non_Wetland,Wetland
480,Water,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
481,Water,Bareland,NULL,Non_Wetland,Bareland
482,Water,Bareland,NULL,Non_Wetland,Water
483,Water,Bareland,NULL,Non_Wetland,Forest
484,Water,Bareland,Non_Water,Non_Wetland,Grassland
