Value,SIBERIA_2024_ESRI_Annual_LULC_2024_44WPA_M_R,SIBERIA_2024_GLC_FCS30D_2022_44WPA_M_R,SIBERIA_2024_GSW_Yearly_2021_44WPA_M_R,SIBERIA_2024_GWL_FCS30D_2022_44WPA_M_R,SIBERIA_2024_WorldCover_2021_44WPA_M_R
170,Wetland,NULL,NULL,Non_Wetland,Water
171,Wetland,NULL,NULL,Non_Wetland,Forest
172,Wetland,NULL,Non_Water,Non_Wetland,Grassland
173,Wetland,NULL,Non_Water,Non_Wetland,Wetland
174,Wetland,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
175,Wetland,NULL,Non_Water,Non_Wetland,Bareland
176,Wetland,NULL,Non_Water,Non_Wetland,Water
177,Wetland,NULL,Non_Water,Non_Wetland,Forest
178,Wetland,NULL,Water,Non_Wetland,Grassland
179,Wetland,NULL,Water,Non_Wetland,Wetland
180,Wetland,NULL,Water,Non_Wetland,Lichens_and_Mosses
181,Wetland,NULL,Water,Non_Wetland,Bareland
182,Wetland,NULL,Water,Non_Wetland,Water
183,Wetland,NULL,Water,Non_Wetland,Forest
184,Wetland,Shrubland,NULL,Non_Wetland,Grassland
185,Wetland,Shrubland,NULL,Non_Wetland,Wetland
186,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
187,Wetland,Shrubland,NULL,Non_Wetland,Bareland
188,Wetland,Shrubland,NULL,Non_Wetland,Water
189,Wetland,Shrubland,NULL,Non_Wetland,Permanent_ice_and_snow
190,Wetland,Shrubland,NULL,Non_Wetland,Forest
191,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
192,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
193,Wetland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
194,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland
195,Wetland,Shrubland,Non_Water,Non_Wetland,Water
196,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
197,Wetland,Shrubland,Water,Non_Wetland,Grassland
198,Wetland,Shrubland,Water,Non_Wetland,Wetland
199,Wetland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
200,Wetland,Shrubland,Water,Non_Wetland,Bareland
201,Wetland,Shrubland,Water,Non_Wetland,Water
202,Wetland,Shrubland,Water,Non_Wetland,Forest
203,Wetland,Grassland,NULL,Non_Wetland,Grassland
204,Wetland,Grassland,NULL,Non_Wetland,Wetland
205,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
206,Wetland,Grassland,NULL,Non_Wetland,Bareland
207,Wetland,Grassland,NULL,Non_Wetland,Built-up
208,Wetland,Grassland,NULL,Non_Wetland,Water
209,Wetland,Grassland,NULL,Non_Wetland,Forest
210,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
211,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
212,Wetland,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
213,Wetland,Grassland,Non_Water,Non_Wetland,Bareland
214,Wetland,Grassland,Non_Water,Non_Wetland,Water
215,Wetland,Grassland,Non_Water,Non_Wetland,Forest
216,Wetland,Grassland,Water,Non_Wetland,Grassland
217,Wetland,Grassland,Water,Non_Wetland,Wetland
218,Wetland,Grassland,Water,Non_Wetland,Lichens_and_Mosses
219,Wetland,Grassland,Water,Non_Wetland,Bareland
220,Wetland,Grassland,Water,Non_Wetland,Water
221,Wetland,Grassland,Water,Non_Wetland,Forest
222,Wetland,Wetland,NULL,Wetland,Grassland
223,Wetland,Wetland,NULL,Wetland,Wetland
224,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
225,Wetland,Wetland,NULL,Wetland,Bareland
226,Wetland,Wetland,NULL,Wetland,Water
227,Wetland,Wetland,NULL,Wetland,Forest
228,Wetland,Wetland,Non_Water,Wetland,Grassland
229,Wetland,Wetland,Non_Water,Wetland,Wetland
230,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
231,Wetland,Wetland,Non_Water,Wetland,Bareland
232,Wetland,Wetland,Non_Water,Wetland,Water
233,Wetland,Wetland,Non_Water,Wetland,Forest
234,Wetland,Wetland,Water,Wetland,Grassland
235,Wetland,Wetland,Water,Wetland,Wetland
236,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
237,Wetland,Wetland,Water,Wetland,Bareland
238,Wetland,Wetland,Water,Wetland,Water
239,Wetland,Wetland,Water,Wetland,Forest
240,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
241,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
242,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
243,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
244,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
245,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
246,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
247,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
248,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
249,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
250,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
251,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
252,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
253,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
254,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
255,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
256,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
257,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Forest
258,Wetland,Bareland,NULL,Non_Wetland,Grassland
259,Wetland,Bareland,NULL,Non_Wetland,Wetland
260,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
261,Wetland,Bareland,NULL,Non_Wetland,Bareland
262,Wetland,Bareland,NULL,Non_Wetland,Built-up
263,Wetland,Bareland,NULL,Non_Wetland,Water
264,Wetland,Bareland,NULL,Non_Wetland,Forest
265,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
266,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
267,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
268,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
269,Wetland,Bareland,Non_Water,Non_Wetland,Built-up
270,Wetland,Bareland,Non_Water,Non_Wetland,Water
271,Wetland,Bareland,Non_Water,Non_Wetland,Forest
272,Wetland,Bareland,Water,Non_Wetland,Grassland
273,Wetland,Bareland,Water,Non_Wetland,Wetland
274,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
275,Wetland,Bareland,Water,Non_Wetland,Bareland
276,Wetland,Bareland,Water,Non_Wetland,Water
277,Wetland,Bareland,Water,Non_Wetland,Forest
278,Wetland,Built-up,NULL,Non_Wetland,Grassland
279,Wetland,Built-up,NULL,Non_Wetland,Wetland
280,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
281,Wetland,Built-up,NULL,Non_Wetland,Bareland
282,Wetland,Built-up,NULL,Non_Wetland,Built-up
283,Wetland,Built-up,NULL,Non_Wetland,Water
284,Wetland,Built-up,NULL,Non_Wetland,Forest
285,Wetland,Built-up,Non_Water,Non_Wetland,Grassland
286,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
287,Wetland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
288,Wetland,Built-up,Non_Water,Non_Wetland,Bareland
289,Wetland,Built-up,Non_Water,Non_Wetland,Water
290,Wetland,Built-up,Non_Water,Non_Wetland,Forest
291,Wetland,Built-up,Water,Non_Wetland,Grassland
292,Wetland,Built-up,Water,Non_Wetland,Wetland
293,Wetland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
294,Wetland,Built-up,Water,Non_Wetland,Bareland
295,Wetland,Built-up,Water,Non_Wetland,Water
296,Wetland,Built-up,Water,Non_Wetland,Forest
297,Wetland,Water,NULL,Water,Grassland
298,Wetland,Water,NULL,Water,Wetland
299,Wetland,Water,NULL,Water,Lichens_and_Mosses
300,Wetland,Water,NULL,Water,Bareland
301,Wetland,Water,NULL,Water,Water
302,Wetland,Water,NULL,Water,Permanent_ice_and_snow
303,Wetland,Water,NULL,Water,Forest
304,Wetland,Water,Non_Water,Water,Grassland
305,Wetland,Water,Non_Water,Water,Wetland
306,Wetland,Water,Non_Water,Water,Lichens_and_Mosses
307,Wetland,Water,Non_Water,Water,Bareland
308,Wetland,Water,Non_Water,Water,Water
309,Wetland,Water,Non_Water,Water,Forest
310,Wetland,Water,Water,Water,Grassland
311,Wetland,Water,Water,Water,Wetland
312,Wetland,Water,Water,Water,Lichens_and_Mosses
313,Wetland,Water,Water,Water,Bareland
314,Wetland,Water,Water,Water,Water
315,Wetland,Water,Water,Water,Forest
316,Wetland,Forest,NULL,Non_Wetland,Grassland
317,Wetland,Forest,NULL,Non_Wetland,Wetland
318,Wetland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
319,Wetland,Forest,NULL,Non_Wetland,Bareland
320,Wetland,Forest,NULL,Non_Wetland,Built-up
321,Wetland,Forest,NULL,Non_Wetland,Water
322,Wetland,Forest,NULL,Non_Wetland,Forest
323,Wetland,Forest,Non_Water,Non_Wetland,Grassland
324,Wetland,Forest,Non_Water,Non_Wetland,Wetland
325,Wetland,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
326,Wetland,Forest,Non_Water,Non_Wetland,Bareland
327,Wetland,Forest,Non_Water,Non_Wetland,Water
328,Wetland,Forest,Non_Water,Non_Wetland,Forest
329,Wetland,Forest,Water,Non_Wetland,Grassland
330,Wetland,Forest,Water,Non_Wetland,Wetland
331,Wetland,Forest,Water,Non_Wetland,Lichens_and_Mosses
332,Wetland,Forest,Water,Non_Wetland,Bareland
333,Wetland,Forest,Water,Non_Wetland,Water
334,Wetland,Forest,Water,Non_Wetland,Forest
335,Bareland,NULL,NULL,Non_Wetland,Grassland
336,Bareland,NULL,NULL,Non_Wetland,Wetland
337,Bareland,NULL,NULL,Non_Wetland,Lichens_and_Mosses
338,Bareland,NULL,NULL,Non_Wetland,Bareland
339,Bareland,NULL,Water,Non_Wetland,Lichens_and_Mosses
340,Bareland,NULL,Water,Non_Wetland,Bareland
341,Bareland,NULL,Water,Non_Wetland,Water
342,Bareland,Shrubland,NULL,Non_Wetland,Grassland
343,Bareland,Shrubland,NULL,Non_Wetland,Wetland
344,Bareland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
345,Bareland,Shrubland,NULL,Non_Wetland,Bareland
346,Bareland,Shrubland,NULL,Non_Wetland,Water
347,Bareland,Shrubland,Non_Water,Non_Wetland,Wetland
348,Bareland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
349,Bareland,Shrubland,Non_Water,Non_Wetland,Bareland
350,Bareland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
351,Bareland,Shrubland,Water,Non_Wetland,Bareland
352,Bareland,Shrubland,Water,Non_Wetland,Water
353,Bareland,Grassland,NULL,Non_Wetland,Grassland
354,Bareland,Grassland,NULL,Non_Wetland,Wetland
355,Bareland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
356,Bareland,Grassland,NULL,Non_Wetland,Bareland
357,Bareland,Grassland,NULL,Non_Wetland,Water
358,Bareland,Grassland,NULL,Non_Wetland,Forest
359,Bareland,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
360,Bareland,Grassland,Non_Water,Non_Wetland,Bareland
361,Bareland,Grassland,Water,Non_Wetland,Bareland
362,Bareland,Wetland,NULL,Wetland,Grassland
363,Bareland,Wetland,NULL,Wetland,Lichens_and_Mosses
364,Bareland,Wetland,NULL,Wetland,Bareland
365,Bareland,Wetland,NULL,Wetland,Water
366,Bareland,Wetland,NULL,Wetland,Forest
367,Bareland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
368,Bareland,Wetland,Non_Water,Wetland,Bareland
369,Bareland,Wetland,Non_Water,Wetland,Water
370,Bareland,Wetland,Water,Wetland,Wetland
371,Bareland,Wetland,Water,Wetland,Lichens_and_Mosses
372,Bareland,Wetland,Water,Wetland,Bareland
373,Bareland,Wetland,Water,Wetland,Water
374,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
375,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
376,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
377,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Water
378,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
379,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Water
380,Bareland,Bareland,NULL,Non_Wetland,Grassland
381,Bareland,Bareland,NULL,Non_Wetland,Wetland
382,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
383,Bareland,Bareland,NULL,Non_Wetland,Bareland
384,Bareland,Bareland,NULL,Non_Wetland,Built-up
385,Bareland,Bareland,NULL,Non_Wetland,Water
386,Bareland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
387,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
388,Bareland,Bareland,Non_Water,Non_Wetland,Water
389,Bareland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
390,Bareland,Bareland,Water,Non_Wetland,Bareland
391,Bareland,Bareland,Water,Non_Wetland,Water
392,Bareland,Built-up,NULL,Non_Wetland,Grassland
393,Bareland,Built-up,NULL,Non_Wetland,Wetland
394,Bareland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
395,Bareland,Built-up,NULL,Non_Wetland,Bareland
396,Bareland,Built-up,NULL,Non_Wetland,Built-up
397,Bareland,Built-up,NULL,Non_Wetland,Water
398,Bareland,Built-up,NULL,Non_Wetland,Forest
399,Bareland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
400,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
401,Bareland,Built-up,Non_Water,Non_Wetland,Water
402,Bareland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
403,Bareland,Built-up,Water,Non_Wetland,Bareland
404,Bareland,Built-up,Water,Non_Wetland,Water
405,Bareland,Water,NULL,Water,Lichens_and_Mosses
406,Bareland,Water,NULL,Water,Bareland
407,Bareland,Water,NULL,Water,Water
408,Bareland,Water,Non_Water,Water,Lichens_and_Mosses
409,Bareland,Water,Non_Water,Water,Bareland
410,Bareland,Water,Non_Water,Water,Water
411,Bareland,Water,Water,Water,Wetland
412,Bareland,Water,Water,Water,Lichens_and_Mosses
413,Bareland,Water,Water,Water,Bareland
414,Bareland,Water,Water,Water,Water
415,Bareland,Water,Water,Water,Forest
416,Bareland,Forest,NULL,Non_Wetland,Grassland
417,Bareland,Forest,NULL,Non_Wetland,Wetland
418,Bareland,Forest,NULL,Non_Wetland,Water
419,Bareland,Forest,NULL,Non_Wetland,Forest
420,Bareland,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
421,Bareland,Forest,Non_Water,Non_Wetland,Bareland
422,Bareland,Forest,Non_Water,Non_Wetland,Water
423,Bareland,Forest,Water,Non_Wetland,Bareland
424,Built-up,NULL,NULL,Non_Wetland,Grassland
425,Built-up,NULL,NULL,Non_Wetland,Wetland
426,Built-up,NULL,NULL,Non_Wetland,Lichens_and_Mosses
427,Built-up,NULL,NULL,Non_Wetland,Bareland
428,Built-up,NULL,NULL,Non_Wetland,Water
429,Built-up,NULL,NULL,Non_Wetland,Forest
430,Built-up,Shrubland,NULL,Non_Wetland,Grassland
431,Built-up,Shrubland,NULL,Non_Wetland,Wetland
432,Built-up,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
433,Built-up,Shrubland,NULL,Non_Wetland,Bareland
434,Built-up,Shrubland,NULL,Non_Wetland,Built-up
435,Built-up,Shrubland,NULL,Non_Wetland,Water
436,Built-up,Shrubland,NULL,Non_Wetland,Forest
437,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
438,Built-up,Shrubland,Non_Water,Non_Wetland,Wetland
439,Built-up,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
440,Built-up,Shrubland,Non_Water,Non_Wetland,Bareland
441,Built-up,Shrubland,Non_Water,Non_Wetland,Forest
442,Built-up,Shrubland,Water,Non_Wetland,Wetland
443,Built-up,Shrubland,Water,Non_Wetland,Bareland
444,Built-up,Grassland,NULL,Non_Wetland,Grassland
445,Built-up,Grassland,NULL,Non_Wetland,Wetland
446,Built-up,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
447,Built-up,Grassland,NULL,Non_Wetland,Bareland
448,Built-up,Grassland,NULL,Non_Wetland,Built-up
449,Built-up,Grassland,NULL,Non_Wetland,Forest
450,Built-up,Grassland,Non_Water,Non_Wetland,Grassland
451,Built-up,Grassland,Non_Water,Non_Wetland,Wetland
452,Built-up,Grassland,Non_Water,Non_Wetland,Bareland
453,Built-up,Grassland,Water,Non_Wetland,Lichens_and_Mosses
454,Built-up,Grassland,Water,Non_Wetland,Bareland
455,Built-up,Grassland,Water,Non_Wetland,Water
456,Built-up,Grassland,Water,Non_Wetland,Forest
457,Built-up,Wetland,NULL,Wetland,Wetland
458,Built-up,Wetland,NULL,Wetland,Bareland
459,Built-up,Wetland,Water,Wetland,Bareland
460,Built-up,Wetland,Water,Wetland,Built-up
461,Built-up,Wetland,Water,Wetland,Forest
462,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
463,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
464,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
465,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
466,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
