Value,SIBERIA_2024_ESRI_Annual_LULC_2024_42WXV_M_R,SIBERIA_2024_GLC_FCS30D_2022_42WXV_M_R,SIBERIA_2024_GSW_Yearly_2021_42WXV_M_R,SIBERIA_2024_GWL_FCS30D_2022_42WXV_M_R,SIBERIA_2024_WorldCover_2021_42WXV_M_R
148,Wetland,Grassland,Non_Water,Non_Wetland,Forest
149,Wetland,Grassland,Water,Non_Wetland,Grassland
150,Wetland,Grassland,Water,Non_Wetland,Wetland
151,Wetland,Grassland,Water,Non_Wetland,Lichens_and_Mosses
152,Wetland,Grassland,Water,Non_Wetland,Bareland
153,Wetland,Grassland,Water,Non_Wetland,Water
154,Wetland,Grassland,Water,Non_Wetland,Forest
155,Wetland,Wetland,NULL,NULL,Grassland
156,Wetland,Wetland,NULL,NULL,Wetland
157,Wetland,Wetland,NULL,NULL,Water
158,Wetland,Wetland,NULL,NULL,Forest
159,Wetland,Wetland,NULL,Wetland,Grassland
160,Wetland,Wetland,NULL,Wetland,Wetland
161,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
162,Wetland,Wetland,NULL,Wetland,Bareland
163,Wetland,Wetland,NULL,Wetland,Built-up
164,Wetland,Wetland,NULL,Wetland,Water
165,Wetland,Wetland,NULL,Wetland,Permanent_ice_and_snow
166,Wetland,Wetland,NULL,Wetland,Forest
167,Wetland,Wetland,Non_Water,NULL,Wetland
168,Wetland,Wetland,Non_Water,NULL,Water
169,Wetland,Wetland,Non_Water,NULL,Forest
170,Wetland,Wetland,Non_Water,Wetland,Grassland
171,Wetland,Wetland,Non_Water,Wetland,Wetland
172,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
173,Wetland,Wetland,Non_Water,Wetland,Bareland
174,Wetland,Wetland,Non_Water,Wetland,Water
175,Wetland,Wetland,Non_Water,Wetland,Forest
176,Wetland,Wetland,Water,NULL,Grassland
177,Wetland,Wetland,Water,NULL,Wetland
178,Wetland,Wetland,Water,NULL,Water
179,Wetland,Wetland,Water,NULL,Forest
180,Wetland,Wetland,Water,Wetland,Grassland
181,Wetland,Wetland,Water,Wetland,Wetland
182,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
183,Wetland,Wetland,Water,Wetland,Bareland
184,Wetland,Wetland,Water,Wetland,Water
185,Wetland,Wetland,Water,Wetland,Forest
186,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
187,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
188,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
189,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
190,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
191,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
192,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
193,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
194,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
195,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
196,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
197,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
198,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
199,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
200,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
201,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
202,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
203,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Forest
204,Wetland,Bareland,NULL,Non_Wetland,Grassland
205,Wetland,Bareland,NULL,Non_Wetland,Wetland
206,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
207,Wetland,Bareland,NULL,Non_Wetland,Bareland
208,Wetland,Bareland,NULL,Non_Wetland,Built-up
209,Wetland,Bareland,NULL,Non_Wetland,Water
210,Wetland,Bareland,NULL,Non_Wetland,Forest
211,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
212,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
213,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
214,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
215,Wetland,Bareland,Non_Water,Non_Wetland,Water
216,Wetland,Bareland,Non_Water,Non_Wetland,Forest
217,Wetland,Bareland,Water,Non_Wetland,Grassland
218,Wetland,Bareland,Water,Non_Wetland,Wetland
219,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
220,Wetland,Bareland,Water,Non_Wetland,Bareland
221,Wetland,Bareland,Water,Non_Wetland,Water
222,Wetland,Bareland,Water,Non_Wetland,Forest
223,Wetland,Built-up,NULL,Non_Wetland,Grassland
224,Wetland,Built-up,NULL,Non_Wetland,Wetland
225,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
226,Wetland,Built-up,NULL,Non_Wetland,Bareland
227,Wetland,Built-up,NULL,Non_Wetland,Built-up
228,Wetland,Built-up,NULL,Non_Wetland,Water
229,Wetland,Built-up,NULL,Non_Wetland,Forest
230,Wetland,Built-up,Non_Water,Non_Wetland,Grassland
231,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
232,Wetland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
233,Wetland,Built-up,Non_Water,Non_Wetland,Bareland
234,Wetland,Built-up,Non_Water,Non_Wetland,Water
235,Wetland,Built-up,Water,Non_Wetland,Grassland
236,Wetland,Built-up,Water,Non_Wetland,Wetland
237,Wetland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
238,Wetland,Built-up,Water,Non_Wetland,Bareland
239,Wetland,Built-up,Water,Non_Wetland,Water
240,Wetland,Water,NULL,NULL,Wetland
241,Wetland,Water,NULL,NULL,Water
242,Wetland,Water,NULL,NULL,Forest
243,Wetland,Water,NULL,Water,Grassland
244,Wetland,Water,NULL,Water,Wetland
245,Wetland,Water,NULL,Water,Lichens_and_Mosses
246,Wetland,Water,NULL,Water,Bareland
247,Wetland,Water,NULL,Water,Water
248,Wetland,Water,NULL,Water,Permanent_ice_and_snow
249,Wetland,Water,NULL,Water,Forest
250,Wetland,Water,Non_Water,NULL,Wetland
251,Wetland,Water,Non_Water,Water,Grassland
252,Wetland,Water,Non_Water,Water,Wetland
253,Wetland,Water,Non_Water,Water,Lichens_and_Mosses
254,Wetland,Water,Non_Water,Water,Bareland
255,Wetland,Water,Non_Water,Water,Water
256,Wetland,Water,Non_Water,Water,Forest
257,Wetland,Water,Water,NULL,Grassland
258,Wetland,Water,Water,NULL,Wetland
259,Wetland,Water,Water,NULL,Water
260,Wetland,Water,Water,Water,Grassland
261,Wetland,Water,Water,Water,Wetland
262,Wetland,Water,Water,Water,Lichens_and_Mosses
263,Wetland,Water,Water,Water,Bareland
264,Wetland,Water,Water,Water,Built-up
265,Wetland,Water,Water,Water,Water
266,Wetland,Water,Water,Water,Forest
267,Wetland,Forest,NULL,Non_Wetland,Grassland
268,Wetland,Forest,NULL,Non_Wetland,Wetland
269,Wetland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
270,Wetland,Forest,NULL,Non_Wetland,Bareland
271,Wetland,Forest,NULL,Non_Wetland,Water
272,Wetland,Forest,NULL,Non_Wetland,Forest
273,Wetland,Forest,Non_Water,Non_Wetland,Grassland
274,Wetland,Forest,Non_Water,Non_Wetland,Wetland
275,Wetland,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
276,Wetland,Forest,Non_Water,Non_Wetland,Bareland
277,Wetland,Forest,Non_Water,Non_Wetland,Water
278,Wetland,Forest,Non_Water,Non_Wetland,Forest
279,Wetland,Forest,Water,Non_Wetland,Grassland
280,Wetland,Forest,Water,Non_Wetland,Wetland
281,Wetland,Forest,Water,Non_Wetland,Lichens_and_Mosses
282,Wetland,Forest,Water,Non_Wetland,Bareland
283,Wetland,Forest,Water,Non_Wetland,Water
284,Wetland,Forest,Water,Non_Wetland,Forest
285,Bareland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
286,Bareland,Grassland,NULL,Non_Wetland,Grassland
287,Bareland,Grassland,NULL,Non_Wetland,Wetland
288,Bareland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
289,Bareland,Grassland,NULL,Non_Wetland,Bareland
290,Bareland,Grassland,Non_Water,Non_Wetland,Bareland
291,Bareland,Grassland,Non_Water,Non_Wetland,Water
292,Bareland,Grassland,Water,Non_Wetland,Wetland
293,Bareland,Grassland,Water,Non_Wetland,Water
294,Bareland,Wetland,NULL,Wetland,Grassland
295,Bareland,Wetland,NULL,Wetland,Wetland
296,Bareland,Wetland,NULL,Wetland,Lichens_and_Mosses
297,Bareland,Wetland,NULL,Wetland,Bareland
298,Bareland,Wetland,NULL,Wetland,Water
299,Bareland,Wetland,NULL,Wetland,Forest
300,Bareland,Wetland,Non_Water,NULL,Wetland
301,Bareland,Wetland,Non_Water,Wetland,Grassland
302,Bareland,Wetland,Non_Water,Wetland,Wetland
303,Bareland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
304,Bareland,Wetland,Non_Water,Wetland,Bareland
305,Bareland,Wetland,Non_Water,Wetland,Water
306,Bareland,Wetland,Water,Wetland,Grassland
307,Bareland,Wetland,Water,Wetland,Wetland
308,Bareland,Wetland,Water,Wetland,Lichens_and_Mosses
309,Bareland,Wetland,Water,Wetland,Bareland
310,Bareland,Wetland,Water,Wetland,Water
311,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
312,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
313,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
314,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
315,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Water
316,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
317,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
318,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
319,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
320,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
321,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
322,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
323,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Water
324,Bareland,Bareland,NULL,Non_Wetland,Grassland
325,Bareland,Bareland,NULL,Non_Wetland,Wetland
326,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
327,Bareland,Bareland,NULL,Non_Wetland,Bareland
328,Bareland,Bareland,NULL,Non_Wetland,Built-up
329,Bareland,Bareland,NULL,Non_Wetland,Water
330,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
331,Bareland,Bareland,Non_Water,Non_Wetland,Wetland
332,Bareland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
333,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
334,Bareland,Bareland,Non_Water,Non_Wetland,Water
335,Bareland,Bareland,Water,Non_Wetland,Grassland
336,Bareland,Bareland,Water,Non_Wetland,Wetland
337,Bareland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
338,Bareland,Bareland,Water,Non_Wetland,Bareland
339,Bareland,Bareland,Water,Non_Wetland,Water
340,Bareland,Built-up,NULL,Non_Wetland,Grassland
341,Bareland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
342,Bareland,Built-up,NULL,Non_Wetland,Bareland
343,Bareland,Built-up,NULL,Non_Wetland,Built-up
344,Bareland,Built-up,NULL,Non_Wetland,Water
345,Bareland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
346,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
347,Bareland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
348,Bareland,Built-up,Water,Non_Wetland,Bareland
349,Bareland,Built-up,Water,Non_Wetland,Water
350,Bareland,Water,NULL,NULL,Forest
351,Bareland,Water,NULL,Water,Wetland
352,Bareland,Water,NULL,Water,Lichens_and_Mosses
353,Bareland,Water,NULL,Water,Bareland
354,Bareland,Water,NULL,Water,Forest
355,Bareland,Water,Non_Water,Water,Wetland
356,Bareland,Water,Non_Water,Water,Lichens_and_Mosses
357,Bareland,Water,Non_Water,Water,Bareland
358,Bareland,Water,Non_Water,Water,Water
359,Bareland,Water,Water,Water,Wetland
360,Bareland,Water,Water,Water,Lichens_and_Mosses
361,Bareland,Water,Water,Water,Bareland
362,Bareland,Water,Water,Water,Water
363,Bareland,Water,Water,Water,Forest
364,Bareland,Forest,NULL,Non_Wetland,Grassland
365,Bareland,Forest,NULL,Non_Wetland,Wetland
366,Bareland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
367,Bareland,Forest,NULL,Non_Wetland,Bareland
368,Bareland,Forest,NULL,Non_Wetland,Water
369,Bareland,Forest,Non_Water,Non_Wetland,Grassland
370,Bareland,Forest,Non_Water,Non_Wetland,Wetland
371,Bareland,Forest,Non_Water,Non_Wetland,Forest
372,Bareland,Forest,Water,Non_Wetland,Grassland
373,Bareland,Forest,Water,Non_Wetland,Lichens_and_Mosses
374,Bareland,Forest,Water,Non_Wetland,Bareland
375,Bareland,Forest,Water,Non_Wetland,Water
376,Built-up,Shrubland,NULL,Non_Wetland,Bareland
377,Built-up,Grassland,NULL,Non_Wetland,Grassland
378,Built-up,Grassland,NULL,Non_Wetland,Wetland
379,Built-up,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
380,Built-up,Grassland,NULL,Non_Wetland,Bareland
381,Built-up,Grassland,NULL,Non_Wetland,Built-up
382,Built-up,Grassland,NULL,Non_Wetland,Forest
383,Built-up,Wetland,NULL,Wetland,Grassland
384,Built-up,Wetland,NULL,Wetland,Wetland
385,Built-up,Wetland,NULL,Wetland,Lichens_and_Mosses
386,Built-up,Wetland,NULL,Wetland,Bareland
387,Built-up,Wetland,NULL,Wetland,Built-up
388,Built-up,Wetland,NULL,Wetland,Water
389,Built-up,Wetland,Water,Wetland,Wetland
390,Built-up,Wetland,Water,Wetland,Water
391,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
392,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
393,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
394,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
395,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
396,Built-up,Lichens_and_Mosses,Water,Non_Wetland,Grassland
397,Built-up,Lichens_and_Mosses,Water,Non_Wetland,Wetland
398,Built-up,Lichens_and_Mosses,Water,Non_Wetland,Bareland
399,Built-up,Bareland,NULL,Non_Wetland,Grassland
400,Built-up,Bareland,NULL,Non_Wetland,Wetland
401,Built-up,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
402,Built-up,Bareland,NULL,Non_Wetland,Bareland
403,Built-up,Bareland,NULL,Non_Wetland,Built-up
404,Built-up,Bareland,NULL,Non_Wetland,Water
405,Built-up,Bareland,NULL,Non_Wetland,Forest
406,Built-up,Bareland,Non_Water,Non_Wetland,Grassland
407,Built-up,Bareland,Non_Water,Non_Wetland,Wetland
408,Built-up,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
409,Built-up,Bareland,Non_Water,Non_Wetland,Bareland
410,Built-up,Bareland,Non_Water,Non_Wetland,Built-up
411,Built-up,Bareland,Water,Non_Wetland,Grassland
412,Built-up,Bareland,Water,Non_Wetland,Lichens_and_Mosses
413,Built-up,Bareland,Water,Non_Wetland,Bareland
414,Built-up,Bareland,Water,Non_Wetland,Water
415,Built-up,Built-up,NULL,Non_Wetland,Grassland
416,Built-up,Built-up,NULL,Non_Wetland,Wetland
417,Built-up,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
418,Built-up,Built-up,NULL,Non_Wetland,Bareland
419,Built-up,Built-up,NULL,Non_Wetland,Built-up
420,Built-up,Built-up,NULL,Non_Wetland,Water
421,Built-up,Built-up,NULL,Non_Wetland,Forest
422,Built-up,Built-up,Non_Water,Non_Wetland,Grassland
423,Built-up,Built-up,Non_Water,Non_Wetland,Bareland
424,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
425,Built-up,Built-up,Water,Non_Wetland,Grassland
426,Built-up,Built-up,Water,Non_Wetland,Bareland
427,Built-up,Built-up,Water,Non_Wetland,Built-up
428,Built-up,Water,NULL,Water,Wetland
429,Built-up,Water,NULL,Water,Bareland
430,Built-up,Water,Water,Water,Built-up
431,Built-up,Water,Water,Water,Water
432,Built-up,Forest,NULL,Non_Wetland,Grassland
433,Built-up,Forest,NULL,Non_Wetland,Wetland
434,Built-up,Forest,NULL,Non_Wetland,Built-up
435,Water,NULL,NULL,Non_Wetland,Wetland
436,Water,NULL,NULL,Non_Wetland,Water
437,Water,NULL,NULL,Non_Wetland,Forest
438,Water,NULL,Non_Water,Non_Wetland,Wetland
439,Water,NULL,Non_Water,Non_Wetland,Water
440,Water,NULL,Water,Non_Wetland,Wetland
441,Water,NULL,Water,Non_Wetland,Water
442,Water,Shrubland,NULL,Non_Wetland,Wetland
443,Water,Shrubland,NULL,Non_Wetland,Water
444,Water,Shrubland,Non_Water,Non_Wetland,Wetland
445,Water,Shrubland,Water,Non_Wetland,Wetland
446,Water,Shrubland,Water,Non_Wetland,Water
447,Water,Grassland,NULL,Non_Wetland,Grassland
448,Water,Grassland,NULL,Non_Wetland,Wetland
449,Water,Grassland,NULL,Non_Wetland,Bareland
450,Water,Grassland,NULL,Non_Wetland,Water
451,Water,Grassland,NULL,Non_Wetland,Forest
452,Water,Grassland,Non_Water,Non_Wetland,Grassland
453,Water,Grassland,Non_Water,Non_Wetland,Wetland
454,Water,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
455,Water,Grassland,Non_Water,Non_Wetland,Water
456,Water,Grassland,Water,Non_Wetland,Grassland
457,Water,Grassland,Water,Non_Wetland,Wetland
458,Water,Grassland,Water,Non_Wetland,Lichens_and_Mosses
459,Water,Grassland,Water,Non_Wetland,Bareland
460,Water,Grassland,Water,Non_Wetland,Water
461,Water,Wetland,NULL,NULL,Grassland
462,Water,Wetland,NULL,NULL,Wetland
463,Water,Wetland,NULL,NULL,Lichens_and_Mosses
464,Water,Wetland,NULL,NULL,Bareland
465,Water,Wetland,NULL,NULL,Water
466,Water,Wetland,NULL,NULL,Forest
467,Water,Wetland,NULL,Wetland,NULL
468,Water,Wetland,NULL,Wetland,Grassland
469,Water,Wetland,NULL,Wetland,Wetland
470,Water,Wetland,NULL,Wetland,Lichens_and_Mosses
471,Water,Wetland,NULL,Wetland,Bareland
472,Water,Wetland,NULL,Wetland,Water
473,Water,Wetland,NULL,Wetland,Forest
474,Water,Wetland,Non_Water,NULL,Wetland
475,Water,Wetland,Non_Water,NULL,Water
476,Water,Wetland,Non_Water,NULL,Forest
477,Water,Wetland,Non_Water,Wetland,Grassland
478,Water,Wetland,Non_Water,Wetland,Wetland
