Value,SIBERIA_2024_ESRI_Annual_LULC_2024_44VPN_M_R,SIBERIA_2024_GLC_FCS30D_2022_44VPN_M_R,SIBERIA_2024_GSW_Yearly_2021_44VPN_M_R,SIBERIA_2024_GWL_FCS30D_2022_44VPN_M_R,SIBERIA_2024_WorldCover_2021_44VPN_M_R
275,Water,Grassland,Water,Non_Wetland,Grassland
276,Water,Wetland,NULL,Wetland,NULL
277,Water,Wetland,NULL,Wetland,Grassland
278,Water,Wetland,NULL,Wetland,Wetland
279,Water,Wetland,NULL,Wetland,Lichens_and_Mosses
280,Water,Wetland,NULL,Wetland,Bareland
281,Water,Wetland,NULL,Wetland,Water
282,Water,Wetland,NULL,Wetland,Forest
283,Water,Wetland,Non_Water,Wetland,Grassland
284,Water,Wetland,Non_Water,Wetland,Wetland
285,Water,Wetland,Non_Water,Wetland,Lichens_and_Mosses
286,Water,Wetland,Non_Water,Wetland,Bareland
287,Water,Wetland,Non_Water,Wetland,Water
288,Water,Wetland,Non_Water,Wetland,Forest
289,Water,Wetland,Water,Wetland,NULL
290,Water,Wetland,Water,Wetland,Grassland
291,Water,Wetland,Water,Wetland,Wetland
292,Water,Wetland,Water,Wetland,Lichens_and_Mosses
293,Water,Wetland,Water,Wetland,Bareland
294,Water,Wetland,Water,Wetland,Water
295,Water,Wetland,Water,Wetland,Forest
296,Water,Lichens_and_Mosses,NULL,Non_Wetland,Forest
297,Water,Lichens_and_Mosses,Water,Non_Wetland,Water
298,Water,Bareland,NULL,Non_Wetland,Grassland
299,Water,Bareland,NULL,Non_Wetland,Wetland
300,Water,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
301,Water,Bareland,NULL,Non_Wetland,Bareland
302,Water,Bareland,NULL,Non_Wetland,Water
303,Water,Bareland,NULL,Non_Wetland,Forest
304,Water,Bareland,Non_Water,Non_Wetland,Wetland
305,Water,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
306,Water,Bareland,Non_Water,Non_Wetland,Bareland
307,Water,Bareland,Non_Water,Non_Wetland,Water
308,Water,Bareland,Non_Water,Non_Wetland,Forest
309,Water,Bareland,Water,Non_Wetland,Grassland
310,Water,Bareland,Water,Non_Wetland,Wetland
311,Water,Bareland,Water,Non_Wetland,Lichens_and_Mosses
312,Water,Bareland,Water,Non_Wetland,Bareland
313,Water,Bareland,Water,Non_Wetland,Water
314,Water,Bareland,Water,Non_Wetland,Forest
315,Water,Built-up,NULL,Non_Wetland,Water
316,Water,Built-up,NULL,Non_Wetland,Forest
317,Water,Built-up,Non_Water,Non_Wetland,Water
318,Water,Built-up,Water,Non_Wetland,Lichens_and_Mosses
319,Water,Built-up,Water,Non_Wetland,Water
320,Water,Water,NULL,Water,Grassland
321,Water,Water,NULL,Water,Wetland
322,Water,Water,NULL,Water,Lichens_and_Mosses
323,Water,Water,NULL,Water,Bareland
324,Water,Water,NULL,Water,Water
325,Water,Water,NULL,Water,Forest
326,Water,Water,Non_Water,Water,Grassland
327,Water,Water,Non_Water,Water,Wetland
328,Water,Water,Non_Water,Water,Bareland
329,Water,Water,Non_Water,Water,Water
330,Water,Water,Non_Water,Water,Forest
331,Water,Water,Water,Water,NULL
332,Water,Water,Water,Water,Grassland
333,Water,Water,Water,Water,Wetland
334,Water,Water,Water,Water,Lichens_and_Mosses
335,Water,Water,Water,Water,Bareland
336,Water,Water,Water,Water,Water
337,Water,Water,Water,Water,Forest
338,Water,Forest,NULL,Non_Wetland,NULL
339,Water,Forest,NULL,Non_Wetland,Grassland
340,Water,Forest,NULL,Non_Wetland,Wetland
341,Water,Forest,NULL,Non_Wetland,Water
342,Water,Forest,NULL,Non_Wetland,Forest
343,Water,Forest,Non_Water,Non_Wetland,Wetland
344,Water,Forest,Non_Water,Non_Wetland,Water
345,Water,Forest,Non_Water,Non_Wetland,Forest
346,Water,Forest,Water,Non_Wetland,Grassland
347,Water,Forest,Water,Non_Wetland,Wetland
348,Water,Forest,Water,Non_Wetland,Bareland
349,Water,Forest,Water,Non_Wetland,Water
350,Water,Forest,Water,Non_Wetland,Forest
351,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,NULL
352,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Grassland
353,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Wetland
354,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Bareland
355,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Water
356,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Forest
357,Permanent_ice_and_snow,NULL,Non_Water,Non_Wetland,Water
358,Permanent_ice_and_snow,NULL,Non_Water,Non_Wetland,Forest
359,Permanent_ice_and_snow,NULL,Water,Non_Wetland,Grassland
360,Permanent_ice_and_snow,NULL,Water,Non_Wetland,Wetland
361,Permanent_ice_and_snow,NULL,Water,Non_Wetland,Water
362,Permanent_ice_and_snow,NULL,Water,Non_Wetland,Forest
363,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,NULL
364,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Grassland
365,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Wetland
366,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Water
367,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Forest
368,Permanent_ice_and_snow,Shrubland,Water,Non_Wetland,Grassland
369,Permanent_ice_and_snow,Shrubland,Water,Non_Wetland,Wetland
370,Permanent_ice_and_snow,Shrubland,Water,Non_Wetland,Water
371,Permanent_ice_and_snow,Shrubland,Water,Non_Wetland,Forest
372,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Grassland
373,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Forest
374,Permanent_ice_and_snow,Cropland,NULL,Non_Wetland,Forest
375,Permanent_ice_and_snow,Wetland,NULL,Wetland,NULL
376,Permanent_ice_and_snow,Wetland,NULL,Wetland,Grassland
377,Permanent_ice_and_snow,Wetland,NULL,Wetland,Wetland
378,Permanent_ice_and_snow,Wetland,NULL,Wetland,Lichens_and_Mosses
379,Permanent_ice_and_snow,Wetland,NULL,Wetland,Bareland
380,Permanent_ice_and_snow,Wetland,NULL,Wetland,Water
381,Permanent_ice_and_snow,Wetland,NULL,Wetland,Forest
382,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,NULL
383,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Grassland
384,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Wetland
385,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Lichens_and_Mosses
386,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Bareland
387,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Water
388,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Forest
389,Permanent_ice_and_snow,Wetland,Water,Wetland,Grassland
390,Permanent_ice_and_snow,Wetland,Water,Wetland,Wetland
391,Permanent_ice_and_snow,Wetland,Water,Wetland,Lichens_and_Mosses
392,Permanent_ice_and_snow,Wetland,Water,Wetland,Bareland
393,Permanent_ice_and_snow,Wetland,Water,Wetland,Water
394,Permanent_ice_and_snow,Wetland,Water,Wetland,Forest
395,Permanent_ice_and_snow,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
396,Permanent_ice_and_snow,Lichens_and_Mosses,NULL,Non_Wetland,Forest
397,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,NULL
398,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Grassland
399,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Wetland
400,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
401,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Bareland
402,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Water
403,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Forest
404,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Grassland
405,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Wetland
406,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Water
407,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Forest
408,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Grassland
409,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Wetland
410,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Lichens_and_Mosses
411,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Bareland
412,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Water
413,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Forest
414,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Grassland
415,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
416,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Bareland
417,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Water
418,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Forest
419,Permanent_ice_and_snow,Built-up,Water,Non_Wetland,Lichens_and_Mosses
420,Permanent_ice_and_snow,Built-up,Water,Non_Wetland,Forest
421,Permanent_ice_and_snow,Water,NULL,Water,Grassland
422,Permanent_ice_and_snow,Water,NULL,Water,Wetland
423,Permanent_ice_and_snow,Water,NULL,Water,Water
424,Permanent_ice_and_snow,Water,NULL,Water,Forest
425,Permanent_ice_and_snow,Water,Non_Water,Water,Wetland
426,Permanent_ice_and_snow,Water,Non_Water,Water,Water
427,Permanent_ice_and_snow,Water,Non_Water,Water,Forest
428,Permanent_ice_and_snow,Water,Water,Water,NULL
429,Permanent_ice_and_snow,Water,Water,Water,Grassland
430,Permanent_ice_and_snow,Water,Water,Water,Wetland
431,Permanent_ice_and_snow,Water,Water,Water,Water
432,Permanent_ice_and_snow,Water,Water,Water,Forest
433,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,NULL
434,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Grassland
435,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Wetland
436,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Lichens_and_Mosses
437,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Built-up
438,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Water
439,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Forest
440,Permanent_ice_and_snow,Forest,Non_Water,Non_Wetland,Grassland
441,Permanent_ice_and_snow,Forest,Non_Water,Non_Wetland,Wetland
442,Permanent_ice_and_snow,Forest,Non_Water,Non_Wetland,Water
443,Permanent_ice_and_snow,Forest,Non_Water,Non_Wetland,Forest
444,Permanent_ice_and_snow,Forest,Water,Non_Wetland,Water
445,Permanent_ice_and_snow,Forest,Water,Non_Wetland,Forest
446,Forest,NULL,NULL,Non_Wetland,NULL
447,Forest,NULL,NULL,Non_Wetland,Grassland
448,Forest,NULL,NULL,Non_Wetland,Wetland
449,Forest,NULL,NULL,Non_Wetland,Bareland
450,Forest,NULL,NULL,Non_Wetland,Water
451,Forest,NULL,NULL,Non_Wetland,Forest
452,Forest,NULL,Non_Water,Non_Wetland,Wetland
453,Forest,NULL,Non_Water,Non_Wetland,Bareland
454,Forest,NULL,Non_Water,Non_Wetland,Water
455,Forest,NULL,Non_Water,Non_Wetland,Forest
456,Forest,NULL,Water,Non_Wetland,Grassland
457,Forest,NULL,Water,Non_Wetland,Wetland
458,Forest,NULL,Water,Non_Wetland,Water
459,Forest,NULL,Water,Non_Wetland,Forest
460,Forest,Shrubland,NULL,Non_Wetland,NULL
461,Forest,Shrubland,NULL,Non_Wetland,Grassland
462,Forest,Shrubland,NULL,Non_Wetland,Wetland
463,Forest,Shrubland,NULL,Non_Wetland,Water
464,Forest,Shrubland,NULL,Non_Wetland,Forest
465,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
466,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
467,Forest,Shrubland,Non_Water,Non_Wetland,Water
468,Forest,Shrubland,Non_Water,Non_Wetland,Forest
469,Forest,Shrubland,Water,Non_Wetland,Grassland
470,Forest,Shrubland,Water,Non_Wetland,Bareland
471,Forest,Shrubland,Water,Non_Wetland,Water
472,Forest,Shrubland,Water,Non_Wetland,Forest
473,Forest,Grassland,NULL,Non_Wetland,NULL
474,Forest,Grassland,NULL,Non_Wetland,Grassland
475,Forest,Grassland,NULL,Non_Wetland,Wetland
476,Forest,Grassland,NULL,Non_Wetland,Forest
477,Forest,Grassland,Non_Water,Non_Wetland,Forest
478,Forest,Grassland,Water,Non_Wetland,Forest
479,Forest,Cropland,NULL,Non_Wetland,NULL
480,Forest,Cropland,NULL,Non_Wetland,Grassland
481,Forest,Cropland,NULL,Non_Wetland,Wetland
