Value,SIBERIA_2024_ESRI_Annual_LULC_2024_45WVN_M_R,SIBERIA_2024_GLC_FCS30D_2022_45WVN_M_R,SIBERIA_2024_GSW_Yearly_2021_45WVN_M_R,SIBERIA_2024_GWL_FCS30D_2022_45WVN_M_R,SIBERIA_2024_WorldCover_2021_45WVN_M_R
264,Bareland,Wetland,NULL,Wetland,Water
265,Bareland,Wetland,NULL,Wetland,Forest
266,Bareland,Wetland,Non_Water,Wetland,Wetland
267,Bareland,Wetland,Non_Water,Wetland,Forest
268,Bareland,Wetland,Water,Wetland,Grassland
269,Bareland,Wetland,Water,Wetland,Wetland
270,Bareland,Wetland,Water,Wetland,Forest
271,Bareland,Bareland,NULL,Non_Wetland,Forest
272,Bareland,Bareland,Non_Water,Non_Wetland,Wetland
273,Bareland,Bareland,Non_Water,Non_Wetland,Forest
274,Bareland,Built-up,NULL,Non_Wetland,Forest
275,Bareland,Water,NULL,Water,Wetland
276,Bareland,Water,NULL,Water,Water
277,Bareland,Water,NULL,Water,Forest
278,Bareland,Water,Non_Water,Water,Forest
279,Bareland,Water,Water,Water,Grassland
280,Bareland,Water,Water,Water,Wetland
281,Bareland,Water,Water,Water,Water
282,Bareland,Water,Water,Water,Forest
283,Bareland,Forest,NULL,Non_Wetland,Grassland
284,Bareland,Forest,NULL,Non_Wetland,Wetland
285,Bareland,Forest,NULL,Non_Wetland,Water
286,Bareland,Forest,NULL,Non_Wetland,Forest
287,Bareland,Forest,Non_Water,Non_Wetland,Forest
288,Bareland,Forest,Water,Non_Wetland,Wetland
289,Bareland,Forest,Water,Non_Wetland,Water
290,Bareland,Forest,Water,Non_Wetland,Forest
291,Built-up,NULL,NULL,Non_Wetland,Grassland
292,Built-up,NULL,NULL,Non_Wetland,Forest
293,Built-up,Shrubland,NULL,Non_Wetland,Grassland
294,Built-up,Shrubland,NULL,Non_Wetland,Built-up
295,Built-up,Shrubland,NULL,Non_Wetland,Forest
296,Built-up,Grassland,NULL,Non_Wetland,Grassland
297,Built-up,Grassland,NULL,Non_Wetland,Forest
298,Built-up,Wetland,NULL,Wetland,Grassland
299,Built-up,Wetland,NULL,Wetland,Wetland
300,Built-up,Wetland,NULL,Wetland,Forest
301,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Forest
302,Built-up,Bareland,NULL,Non_Wetland,Grassland
303,Built-up,Bareland,NULL,Non_Wetland,Built-up
304,Built-up,Bareland,NULL,Non_Wetland,Forest
305,Built-up,Built-up,NULL,Non_Wetland,Grassland
306,Built-up,Built-up,NULL,Non_Wetland,Built-up
307,Built-up,Built-up,NULL,Non_Wetland,Forest
308,Built-up,Forest,NULL,Non_Wetland,Grassland
309,Built-up,Forest,NULL,Non_Wetland,Forest
310,Water,NULL,NULL,Non_Wetland,Grassland
311,Water,NULL,NULL,Non_Wetland,Wetland
312,Water,NULL,NULL,Non_Wetland,Lichens_and_Mosses
313,Water,NULL,NULL,Non_Wetland,Water
314,Water,NULL,NULL,Non_Wetland,Forest
315,Water,NULL,Non_Water,Non_Wetland,Grassland
316,Water,NULL,Non_Water,Non_Wetland,Wetland
317,Water,NULL,Non_Water,Non_Wetland,Water
318,Water,NULL,Non_Water,Non_Wetland,Forest
319,Water,NULL,Water,Non_Wetland,Grassland
320,Water,NULL,Water,Non_Wetland,Wetland
321,Water,NULL,Water,Non_Wetland,Water
322,Water,NULL,Water,Non_Wetland,Forest
323,Water,Shrubland,NULL,Non_Wetland,Grassland
324,Water,Shrubland,NULL,Non_Wetland,Wetland
325,Water,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
326,Water,Shrubland,NULL,Non_Wetland,Water
327,Water,Shrubland,NULL,Non_Wetland,Forest
328,Water,Shrubland,Non_Water,Non_Wetland,Grassland
329,Water,Shrubland,Non_Water,Non_Wetland,Wetland
330,Water,Shrubland,Non_Water,Non_Wetland,Water
331,Water,Shrubland,Non_Water,Non_Wetland,Forest
332,Water,Shrubland,Water,Non_Wetland,Grassland
333,Water,Shrubland,Water,Non_Wetland,Wetland
334,Water,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
335,Water,Shrubland,Water,Non_Wetland,Water
336,Water,Shrubland,Water,Non_Wetland,Forest
337,Water,Grassland,NULL,Non_Wetland,Grassland
338,Water,Grassland,NULL,Non_Wetland,Wetland
339,Water,Grassland,NULL,Non_Wetland,Water
340,Water,Grassland,NULL,Non_Wetland,Forest
341,Water,Grassland,Non_Water,Non_Wetland,Wetland
342,Water,Grassland,Water,Non_Wetland,Grassland
343,Water,Grassland,Water,Non_Wetland,Wetland
344,Water,Grassland,Water,Non_Wetland,Water
345,Water,Grassland,Water,Non_Wetland,Forest
346,Water,Wetland,NULL,Wetland,Grassland
347,Water,Wetland,NULL,Wetland,Wetland
348,Water,Wetland,NULL,Wetland,Lichens_and_Mosses
349,Water,Wetland,NULL,Wetland,Water
350,Water,Wetland,NULL,Wetland,Forest
351,Water,Wetland,Non_Water,Wetland,Grassland
352,Water,Wetland,Non_Water,Wetland,Wetland
353,Water,Wetland,Non_Water,Wetland,Water
354,Water,Wetland,Non_Water,Wetland,Forest
355,Water,Wetland,Water,Wetland,Grassland
356,Water,Wetland,Water,Wetland,Wetland
357,Water,Wetland,Water,Wetland,Lichens_and_Mosses
358,Water,Wetland,Water,Wetland,Bareland
359,Water,Wetland,Water,Wetland,Water
360,Water,Wetland,Water,Wetland,Forest
361,Water,Bareland,NULL,Non_Wetland,Grassland
362,Water,Bareland,NULL,Non_Wetland,Wetland
363,Water,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
364,Water,Bareland,NULL,Non_Wetland,Bareland
365,Water,Bareland,NULL,Non_Wetland,Water
366,Water,Bareland,NULL,Non_Wetland,Forest
367,Water,Bareland,Non_Water,Non_Wetland,Wetland
368,Water,Bareland,Non_Water,Non_Wetland,Water
369,Water,Bareland,Non_Water,Non_Wetland,Forest
370,Water,Bareland,Water,Non_Wetland,Grassland
371,Water,Bareland,Water,Non_Wetland,Wetland
372,Water,Bareland,Water,Non_Wetland,Lichens_and_Mosses
373,Water,Bareland,Water,Non_Wetland,Water
374,Water,Bareland,Water,Non_Wetland,Forest
375,Water,Built-up,NULL,Non_Wetland,Grassland
376,Water,Built-up,NULL,Non_Wetland,Wetland
377,Water,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
378,Water,Built-up,NULL,Non_Wetland,Water
379,Water,Built-up,NULL,Non_Wetland,Forest
380,Water,Built-up,Non_Water,Non_Wetland,Grassland
381,Water,Built-up,Non_Water,Non_Wetland,Wetland
382,Water,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
383,Water,Built-up,Non_Water,Non_Wetland,Forest
384,Water,Built-up,Water,Non_Wetland,Wetland
385,Water,Built-up,Water,Non_Wetland,Lichens_and_Mosses
386,Water,Built-up,Water,Non_Wetland,Water
387,Water,Built-up,Water,Non_Wetland,Forest
388,Water,Water,NULL,Water,Grassland
389,Water,Water,NULL,Water,Wetland
390,Water,Water,NULL,Water,Lichens_and_Mosses
391,Water,Water,NULL,Water,Bareland
392,Water,Water,NULL,Water,Water
393,Water,Water,NULL,Water,Forest
394,Water,Water,Non_Water,Water,Grassland
395,Water,Water,Non_Water,Water,Wetland
396,Water,Water,Non_Water,Water,Water
397,Water,Water,Non_Water,Water,Forest
398,Water,Water,Water,Water,Grassland
399,Water,Water,Water,Water,Wetland
400,Water,Water,Water,Water,Lichens_and_Mosses
401,Water,Water,Water,Water,Bareland
402,Water,Water,Water,Water,Water
403,Water,Water,Water,Water,Forest
404,Water,Forest,NULL,Non_Wetland,Grassland
405,Water,Forest,NULL,Non_Wetland,Wetland
406,Water,Forest,NULL,Non_Wetland,Lichens_and_Mosses
407,Water,Forest,NULL,Non_Wetland,Water
408,Water,Forest,NULL,Non_Wetland,Forest
409,Water,Forest,Non_Water,Non_Wetland,Grassland
410,Water,Forest,Non_Water,Non_Wetland,Wetland
411,Water,Forest,Non_Water,Non_Wetland,Water
412,Water,Forest,Non_Water,Non_Wetland,Forest
413,Water,Forest,Water,Non_Wetland,Grassland
414,Water,Forest,Water,Non_Wetland,Wetland
415,Water,Forest,Water,Non_Wetland,Water
416,Water,Forest,Water,Non_Wetland,Forest
417,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Grassland
418,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Wetland
419,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Lichens_and_Mosses
420,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Water
421,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Forest
422,Permanent_ice_and_snow,NULL,Non_Water,Non_Wetland,Wetland
423,Permanent_ice_and_snow,NULL,Water,Non_Wetland,Wetland
424,Permanent_ice_and_snow,NULL,Water,Non_Wetland,Forest
425,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Grassland
426,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Wetland
427,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
428,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Water
429,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Forest
430,Permanent_ice_and_snow,Shrubland,Non_Water,Non_Wetland,Wetland
431,Permanent_ice_and_snow,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
432,Permanent_ice_and_snow,Shrubland,Non_Water,Non_Wetland,Forest
433,Permanent_ice_and_snow,Shrubland,Water,Non_Wetland,Wetland
434,Permanent_ice_and_snow,Shrubland,Water,Non_Wetland,Water
435,Permanent_ice_and_snow,Shrubland,Water,Non_Wetland,Forest
436,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Grassland
437,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Forest
438,Permanent_ice_and_snow,Grassland,Non_Water,Non_Wetland,Forest
439,Permanent_ice_and_snow,Grassland,Water,Non_Wetland,Grassland
440,Permanent_ice_and_snow,Grassland,Water,Non_Wetland,Wetland
441,Permanent_ice_and_snow,Grassland,Water,Non_Wetland,Forest
442,Permanent_ice_and_snow,Wetland,NULL,Wetland,Grassland
443,Permanent_ice_and_snow,Wetland,NULL,Wetland,Wetland
444,Permanent_ice_and_snow,Wetland,NULL,Wetland,Lichens_and_Mosses
445,Permanent_ice_and_snow,Wetland,NULL,Wetland,Water
446,Permanent_ice_and_snow,Wetland,NULL,Wetland,Forest
447,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Grassland
448,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Wetland
449,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Forest
450,Permanent_ice_and_snow,Wetland,Water,Wetland,Grassland
451,Permanent_ice_and_snow,Wetland,Water,Wetland,Wetland
452,Permanent_ice_and_snow,Wetland,Water,Wetland,Water
453,Permanent_ice_and_snow,Wetland,Water,Wetland,Forest
454,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Grassland
455,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Wetland
456,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
457,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Water
458,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Forest
459,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Grassland
460,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Wetland
461,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Forest
462,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Wetland
463,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Water
464,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Forest
465,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Wetland
466,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Forest
467,Permanent_ice_and_snow,Built-up,Non_Water,Non_Wetland,Wetland
468,Permanent_ice_and_snow,Built-up,Water,Non_Wetland,Wetland
469,Permanent_ice_and_snow,Water,NULL,Water,Grassland
470,Permanent_ice_and_snow,Water,NULL,Water,Wetland
471,Permanent_ice_and_snow,Water,NULL,Water,Water
472,Permanent_ice_and_snow,Water,NULL,Water,Forest
473,Permanent_ice_and_snow,Water,Non_Water,Water,Wetland
474,Permanent_ice_and_snow,Water,Non_Water,Water,Water
475,Permanent_ice_and_snow,Water,Non_Water,Water,Forest
476,Permanent_ice_and_snow,Water,Water,Water,Grassland
477,Permanent_ice_and_snow,Water,Water,Water,Wetland
478,Permanent_ice_and_snow,Water,Water,Water,Water
479,Permanent_ice_and_snow,Water,Water,Water,Forest
480,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Grassland
