Value,SIBERIA_2024_ESRI_Annual_LULC_2024_42VVM_M_R,SIBERIA_2024_GLC_FCS30D_2022_42VVM_M_R,SIBERIA_2024_GSW_Yearly_2021_42VVM_M_R,SIBERIA_2024_GWL_FCS30D_2022_42VVM_M_R,SIBERIA_2024_WorldCover_2021_42VVM_M_R
263,Wetland,NULL,Water,Non_Wetland,Wetland
264,Wetland,NULL,Water,Non_Wetland,Lichens_and_Mosses
265,Wetland,NULL,Water,Non_Wetland,Water
266,Wetland,NULL,Water,Non_Wetland,Forest
267,Wetland,Shrubland,NULL,Non_Wetland,NULL
268,Wetland,Shrubland,NULL,Non_Wetland,Grassland
269,Wetland,Shrubland,NULL,Non_Wetland,Cropland
270,Wetland,Shrubland,NULL,Non_Wetland,Wetland
271,Wetland,Shrubland,NULL,Non_Wetland,Bareland
272,Wetland,Shrubland,NULL,Non_Wetland,Water
273,Wetland,Shrubland,NULL,Non_Wetland,Forest
274,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
275,Wetland,Shrubland,Non_Water,Non_Wetland,Cropland
276,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
277,Wetland,Shrubland,Non_Water,Non_Wetland,Water
278,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
279,Wetland,Shrubland,Water,Non_Wetland,Grassland
280,Wetland,Shrubland,Water,Non_Wetland,Wetland
281,Wetland,Shrubland,Water,Non_Wetland,Water
282,Wetland,Shrubland,Water,Non_Wetland,Forest
283,Wetland,Grassland,NULL,Non_Wetland,Grassland
284,Wetland,Grassland,NULL,Non_Wetland,Cropland
285,Wetland,Grassland,NULL,Non_Wetland,Wetland
286,Wetland,Grassland,NULL,Non_Wetland,Bareland
287,Wetland,Grassland,NULL,Non_Wetland,Forest
288,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
289,Wetland,Grassland,Non_Water,Non_Wetland,Cropland
290,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
291,Wetland,Grassland,Non_Water,Non_Wetland,Forest
292,Wetland,Grassland,Water,Non_Wetland,Grassland
293,Wetland,Grassland,Water,Non_Wetland,Wetland
294,Wetland,Cropland,NULL,Non_Wetland,NULL
295,Wetland,Cropland,NULL,Non_Wetland,Grassland
296,Wetland,Cropland,NULL,Non_Wetland,Cropland
297,Wetland,Cropland,NULL,Non_Wetland,Wetland
298,Wetland,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
299,Wetland,Cropland,NULL,Non_Wetland,Bareland
300,Wetland,Cropland,NULL,Non_Wetland,Built-up
301,Wetland,Cropland,NULL,Non_Wetland,Water
302,Wetland,Cropland,NULL,Non_Wetland,Forest
303,Wetland,Cropland,Non_Water,Non_Wetland,Grassland
304,Wetland,Cropland,Non_Water,Non_Wetland,Cropland
305,Wetland,Cropland,Non_Water,Non_Wetland,Wetland
306,Wetland,Cropland,Non_Water,Non_Wetland,Lichens_and_Mosses
307,Wetland,Cropland,Non_Water,Non_Wetland,Bareland
308,Wetland,Cropland,Non_Water,Non_Wetland,Water
309,Wetland,Cropland,Non_Water,Non_Wetland,Forest
310,Wetland,Cropland,Water,Non_Wetland,Grassland
311,Wetland,Cropland,Water,Non_Wetland,Cropland
312,Wetland,Cropland,Water,Non_Wetland,Wetland
313,Wetland,Cropland,Water,Non_Wetland,Bareland
314,Wetland,Cropland,Water,Non_Wetland,Water
315,Wetland,Cropland,Water,Non_Wetland,Forest
316,Wetland,Wetland,NULL,Wetland,NULL
317,Wetland,Wetland,NULL,Wetland,Grassland
318,Wetland,Wetland,NULL,Wetland,Cropland
319,Wetland,Wetland,NULL,Wetland,Wetland
320,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
321,Wetland,Wetland,NULL,Wetland,Bareland
322,Wetland,Wetland,NULL,Wetland,Built-up
323,Wetland,Wetland,NULL,Wetland,Water
324,Wetland,Wetland,NULL,Wetland,Forest
325,Wetland,Wetland,Non_Water,Wetland,NULL
326,Wetland,Wetland,Non_Water,Wetland,Grassland
327,Wetland,Wetland,Non_Water,Wetland,Cropland
328,Wetland,Wetland,Non_Water,Wetland,Wetland
329,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
330,Wetland,Wetland,Non_Water,Wetland,Bareland
331,Wetland,Wetland,Non_Water,Wetland,Water
332,Wetland,Wetland,Non_Water,Wetland,Forest
333,Wetland,Wetland,Water,Wetland,NULL
334,Wetland,Wetland,Water,Wetland,Grassland
335,Wetland,Wetland,Water,Wetland,Cropland
336,Wetland,Wetland,Water,Wetland,Wetland
337,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
338,Wetland,Wetland,Water,Wetland,Bareland
339,Wetland,Wetland,Water,Wetland,Water
340,Wetland,Wetland,Water,Wetland,Forest
341,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
342,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
343,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
344,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
345,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
346,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
347,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
348,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
349,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
350,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
351,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
352,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
353,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
354,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
355,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
356,Wetland,Bareland,NULL,Non_Wetland,NULL
357,Wetland,Bareland,NULL,Non_Wetland,Grassland
358,Wetland,Bareland,NULL,Non_Wetland,Cropland
359,Wetland,Bareland,NULL,Non_Wetland,Wetland
360,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
361,Wetland,Bareland,NULL,Non_Wetland,Bareland
362,Wetland,Bareland,NULL,Non_Wetland,Built-up
363,Wetland,Bareland,NULL,Non_Wetland,Water
364,Wetland,Bareland,NULL,Non_Wetland,Forest
365,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
366,Wetland,Bareland,Non_Water,Non_Wetland,Cropland
367,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
368,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
369,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
370,Wetland,Bareland,Non_Water,Non_Wetland,Built-up
371,Wetland,Bareland,Non_Water,Non_Wetland,Water
372,Wetland,Bareland,Non_Water,Non_Wetland,Forest
373,Wetland,Bareland,Water,Non_Wetland,Grassland
374,Wetland,Bareland,Water,Non_Wetland,Cropland
375,Wetland,Bareland,Water,Non_Wetland,Wetland
376,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
377,Wetland,Bareland,Water,Non_Wetland,Bareland
378,Wetland,Bareland,Water,Non_Wetland,Water
379,Wetland,Bareland,Water,Non_Wetland,Forest
380,Wetland,Built-up,NULL,Non_Wetland,NULL
381,Wetland,Built-up,NULL,Non_Wetland,Grassland
382,Wetland,Built-up,NULL,Non_Wetland,Cropland
383,Wetland,Built-up,NULL,Non_Wetland,Wetland
384,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
385,Wetland,Built-up,NULL,Non_Wetland,Bareland
386,Wetland,Built-up,NULL,Non_Wetland,Built-up
387,Wetland,Built-up,NULL,Non_Wetland,Water
388,Wetland,Built-up,NULL,Non_Wetland,Forest
389,Wetland,Built-up,Non_Water,Non_Wetland,Grassland
390,Wetland,Built-up,Non_Water,Non_Wetland,Cropland
391,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
392,Wetland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
393,Wetland,Built-up,Non_Water,Non_Wetland,Bareland
394,Wetland,Built-up,Non_Water,Non_Wetland,Built-up
395,Wetland,Built-up,Non_Water,Non_Wetland,Water
396,Wetland,Built-up,Water,Non_Wetland,Grassland
397,Wetland,Built-up,Water,Non_Wetland,Cropland
398,Wetland,Built-up,Water,Non_Wetland,Wetland
399,Wetland,Built-up,Water,Non_Wetland,Bareland
400,Wetland,Built-up,Water,Non_Wetland,Built-up
401,Wetland,Built-up,Water,Non_Wetland,Water
402,Wetland,Built-up,Water,Non_Wetland,Forest
403,Wetland,Water,NULL,Water,NULL
404,Wetland,Water,NULL,Water,Grassland
405,Wetland,Water,NULL,Water,Cropland
406,Wetland,Water,NULL,Water,Wetland
407,Wetland,Water,NULL,Water,Lichens_and_Mosses
408,Wetland,Water,NULL,Water,Bareland
409,Wetland,Water,NULL,Water,Water
410,Wetland,Water,NULL,Water,Forest
411,Wetland,Water,Non_Water,Water,Grassland
412,Wetland,Water,Non_Water,Water,Cropland
413,Wetland,Water,Non_Water,Water,Wetland
414,Wetland,Water,Non_Water,Water,Lichens_and_Mosses
415,Wetland,Water,Non_Water,Water,Bareland
416,Wetland,Water,Non_Water,Water,Water
417,Wetland,Water,Non_Water,Water,Forest
418,Wetland,Water,Water,Water,NULL
419,Wetland,Water,Water,Water,Grassland
420,Wetland,Water,Water,Water,Cropland
421,Wetland,Water,Water,Water,Wetland
422,Wetland,Water,Water,Water,Lichens_and_Mosses
423,Wetland,Water,Water,Water,Bareland
424,Wetland,Water,Water,Water,Water
425,Wetland,Water,Water,Water,Forest
426,Wetland,Forest,NULL,Non_Wetland,NULL
427,Wetland,Forest,NULL,Non_Wetland,Grassland
428,Wetland,Forest,NULL,Non_Wetland,Cropland
429,Wetland,Forest,NULL,Non_Wetland,Wetland
430,Wetland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
431,Wetland,Forest,NULL,Non_Wetland,Bareland
432,Wetland,Forest,NULL,Non_Wetland,Water
433,Wetland,Forest,NULL,Non_Wetland,Forest
434,Wetland,Forest,Non_Water,Non_Wetland,NULL
435,Wetland,Forest,Non_Water,Non_Wetland,Grassland
436,Wetland,Forest,Non_Water,Non_Wetland,Cropland
437,Wetland,Forest,Non_Water,Non_Wetland,Wetland
438,Wetland,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
439,Wetland,Forest,Non_Water,Non_Wetland,Bareland
440,Wetland,Forest,Non_Water,Non_Wetland,Water
441,Wetland,Forest,Non_Water,Non_Wetland,Forest
442,Wetland,Forest,Water,Non_Wetland,NULL
443,Wetland,Forest,Water,Non_Wetland,Grassland
444,Wetland,Forest,Water,Non_Wetland,Cropland
445,Wetland,Forest,Water,Non_Wetland,Wetland
446,Wetland,Forest,Water,Non_Wetland,Lichens_and_Mosses
447,Wetland,Forest,Water,Non_Wetland,Bareland
448,Wetland,Forest,Water,Non_Wetland,Water
449,Wetland,Forest,Water,Non_Wetland,Forest
450,Bareland,NULL,NULL,Non_Wetland,Grassland
451,Bareland,NULL,NULL,Non_Wetland,Bareland
452,Bareland,NULL,NULL,Non_Wetland,Forest
453,Bareland,NULL,Water,Non_Wetland,Bareland
454,Bareland,NULL,Water,Non_Wetland,Water
455,Bareland,Shrubland,NULL,Non_Wetland,Bareland
456,Bareland,Grassland,NULL,Non_Wetland,Grassland
457,Bareland,Grassland,NULL,Non_Wetland,Bareland
458,Bareland,Grassland,NULL,Non_Wetland,Forest
459,Bareland,Grassland,Non_Water,Non_Wetland,Bareland
460,Bareland,Cropland,NULL,Non_Wetland,Grassland
461,Bareland,Cropland,NULL,Non_Wetland,Bareland
462,Bareland,Cropland,NULL,Non_Wetland,Water
463,Bareland,Cropland,NULL,Non_Wetland,Forest
464,Bareland,Cropland,Non_Water,Non_Wetland,Bareland
465,Bareland,Cropland,Water,Non_Wetland,Bareland
466,Bareland,Cropland,Water,Non_Wetland,Water
467,Bareland,Wetland,NULL,Wetland,NULL
468,Bareland,Wetland,NULL,Wetland,Grassland
469,Bareland,Wetland,NULL,Wetland,Wetland
470,Bareland,Wetland,NULL,Wetland,Bareland
471,Bareland,Wetland,NULL,Wetland,Water
472,Bareland,Wetland,NULL,Wetland,Forest
473,Bareland,Wetland,Non_Water,Wetland,Grassland
474,Bareland,Wetland,Non_Water,Wetland,Wetland
475,Bareland,Wetland,Non_Water,Wetland,Bareland
476,Bareland,Wetland,Non_Water,Wetland,Water
477,Bareland,Wetland,Water,Wetland,Grassland
478,Bareland,Wetland,Water,Wetland,Wetland
479,Bareland,Wetland,Water,Wetland,Bareland
480,Bareland,Wetland,Water,Wetland,Water
481,Bareland,Wetland,Water,Wetland,Forest
