Value,SIBERIA_2024_ESRI_Annual_LULC_2024_45VUK_M_R,SIBERIA_2024_GLC_FCS30D_2022_45VUK_M_R,SIBERIA_2024_GSW_Yearly_2021_45VUK_M_R,SIBERIA_2024_GWL_FCS30D_2022_45VUK_M_R,SIBERIA_2024_WorldCover_2021_45VUK_M_R
269,Bareland,NULL,Non_Water,Non_Wetland,Forest
270,Bareland,NULL,Water,Non_Wetland,Lichens_and_Mosses
271,Bareland,NULL,Water,Non_Wetland,Water
272,Bareland,NULL,Water,Non_Wetland,Forest
273,Bareland,Shrubland,NULL,Non_Wetland,Bareland
274,Bareland,Shrubland,NULL,Non_Wetland,Forest
275,Bareland,Shrubland,Water,Non_Wetland,Bareland
276,Bareland,Shrubland,Water,Non_Wetland,Water
277,Bareland,Grassland,NULL,Non_Wetland,Grassland
278,Bareland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
279,Bareland,Grassland,NULL,Non_Wetland,Bareland
280,Bareland,Grassland,NULL,Non_Wetland,Forest
281,Bareland,Wetland,NULL,Wetland,Grassland
282,Bareland,Wetland,NULL,Wetland,Wetland
283,Bareland,Wetland,NULL,Wetland,Water
284,Bareland,Wetland,NULL,Wetland,Forest
285,Bareland,Wetland,Non_Water,Wetland,Wetland
286,Bareland,Wetland,Non_Water,Wetland,Water
287,Bareland,Wetland,Non_Water,Wetland,Forest
288,Bareland,Wetland,Water,Wetland,Wetland
289,Bareland,Wetland,Water,Wetland,Water
290,Bareland,Wetland,Water,Wetland,Forest
291,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
292,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Water
293,Bareland,Bareland,NULL,Non_Wetland,Grassland
294,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
295,Bareland,Bareland,NULL,Non_Wetland,Bareland
296,Bareland,Bareland,NULL,Non_Wetland,Water
297,Bareland,Bareland,NULL,Non_Wetland,Forest
298,Bareland,Bareland,Non_Water,Non_Wetland,Water
299,Bareland,Bareland,Non_Water,Non_Wetland,Forest
300,Bareland,Bareland,Water,Non_Wetland,Grassland
301,Bareland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
302,Bareland,Bareland,Water,Non_Wetland,Bareland
303,Bareland,Bareland,Water,Non_Wetland,Water
304,Bareland,Bareland,Water,Non_Wetland,Forest
305,Bareland,Built-up,NULL,Non_Wetland,Bareland
306,Bareland,Built-up,NULL,Non_Wetland,Forest
307,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
308,Bareland,Water,NULL,Water,Wetland
309,Bareland,Water,NULL,Water,Water
310,Bareland,Water,NULL,Water,Forest
311,Bareland,Water,Non_Water,Water,Water
312,Bareland,Water,Non_Water,Water,Forest
313,Bareland,Water,Water,Water,Grassland
314,Bareland,Water,Water,Water,Wetland
315,Bareland,Water,Water,Water,Bareland
316,Bareland,Water,Water,Water,Water
317,Bareland,Water,Water,Water,Forest
318,Bareland,Forest,NULL,Non_Wetland,Grassland
319,Bareland,Forest,NULL,Non_Wetland,Wetland
320,Bareland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
321,Bareland,Forest,NULL,Non_Wetland,Water
322,Bareland,Forest,NULL,Non_Wetland,Forest
323,Bareland,Forest,Non_Water,Non_Wetland,Water
324,Bareland,Forest,Non_Water,Non_Wetland,Forest
325,Bareland,Forest,Water,Non_Wetland,Wetland
326,Bareland,Forest,Water,Non_Wetland,Water
327,Bareland,Forest,Water,Non_Wetland,Forest
328,Water,NULL,NULL,Non_Wetland,Grassland
329,Water,NULL,NULL,Non_Wetland,Wetland
330,Water,NULL,NULL,Non_Wetland,Lichens_and_Mosses
331,Water,NULL,NULL,Non_Wetland,Bareland
332,Water,NULL,NULL,Non_Wetland,Water
333,Water,NULL,NULL,Non_Wetland,Forest
334,Water,NULL,Non_Water,Non_Wetland,Grassland
335,Water,NULL,Non_Water,Non_Wetland,Wetland
336,Water,NULL,Non_Water,Non_Wetland,Water
337,Water,NULL,Non_Water,Non_Wetland,Forest
338,Water,NULL,Water,Non_Wetland,Grassland
339,Water,NULL,Water,Non_Wetland,Wetland
340,Water,NULL,Water,Non_Wetland,Lichens_and_Mosses
341,Water,NULL,Water,Non_Wetland,Water
342,Water,NULL,Water,Non_Wetland,Forest
343,Water,Shrubland,NULL,Non_Wetland,Grassland
344,Water,Shrubland,NULL,Non_Wetland,Wetland
345,Water,Shrubland,NULL,Non_Wetland,Water
346,Water,Shrubland,NULL,Non_Wetland,Forest
347,Water,Shrubland,Non_Water,Non_Wetland,Grassland
348,Water,Shrubland,Non_Water,Non_Wetland,Wetland
349,Water,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
350,Water,Shrubland,Non_Water,Non_Wetland,Water
351,Water,Shrubland,Non_Water,Non_Wetland,Forest
352,Water,Shrubland,Water,Non_Wetland,Grassland
353,Water,Shrubland,Water,Non_Wetland,Wetland
354,Water,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
355,Water,Shrubland,Water,Non_Wetland,Bareland
356,Water,Shrubland,Water,Non_Wetland,Water
357,Water,Shrubland,Water,Non_Wetland,Forest
358,Water,Grassland,NULL,Non_Wetland,Grassland
359,Water,Grassland,NULL,Non_Wetland,Bareland
360,Water,Grassland,NULL,Non_Wetland,Water
361,Water,Grassland,NULL,Non_Wetland,Forest
362,Water,Grassland,Water,Non_Wetland,Grassland
363,Water,Grassland,Water,Non_Wetland,Water
364,Water,Grassland,Water,Non_Wetland,Forest
365,Water,Cropland,NULL,Non_Wetland,Forest
366,Water,Wetland,NULL,Wetland,NULL
367,Water,Wetland,NULL,Wetland,Grassland
368,Water,Wetland,NULL,Wetland,Wetland
369,Water,Wetland,NULL,Wetland,Lichens_and_Mosses
370,Water,Wetland,NULL,Wetland,Bareland
371,Water,Wetland,NULL,Wetland,Water
372,Water,Wetland,NULL,Wetland,Forest
373,Water,Wetland,Non_Water,Wetland,Grassland
374,Water,Wetland,Non_Water,Wetland,Wetland
375,Water,Wetland,Non_Water,Wetland,Lichens_and_Mosses
376,Water,Wetland,Non_Water,Wetland,Bareland
377,Water,Wetland,Non_Water,Wetland,Water
378,Water,Wetland,Non_Water,Wetland,Forest
379,Water,Wetland,Water,Wetland,NULL
380,Water,Wetland,Water,Wetland,Grassland
381,Water,Wetland,Water,Wetland,Wetland
382,Water,Wetland,Water,Wetland,Lichens_and_Mosses
383,Water,Wetland,Water,Wetland,Bareland
384,Water,Wetland,Water,Wetland,Water
385,Water,Wetland,Water,Wetland,Forest
386,Water,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
387,Water,Bareland,NULL,Non_Wetland,Grassland
388,Water,Bareland,NULL,Non_Wetland,Wetland
389,Water,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
390,Water,Bareland,NULL,Non_Wetland,Bareland
391,Water,Bareland,NULL,Non_Wetland,Water
392,Water,Bareland,NULL,Non_Wetland,Forest
393,Water,Bareland,Non_Water,Non_Wetland,Grassland
394,Water,Bareland,Non_Water,Non_Wetland,Wetland
395,Water,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
396,Water,Bareland,Non_Water,Non_Wetland,Bareland
397,Water,Bareland,Non_Water,Non_Wetland,Water
398,Water,Bareland,Non_Water,Non_Wetland,Forest
399,Water,Bareland,Water,Non_Wetland,Grassland
400,Water,Bareland,Water,Non_Wetland,Wetland
401,Water,Bareland,Water,Non_Wetland,Lichens_and_Mosses
402,Water,Bareland,Water,Non_Wetland,Bareland
403,Water,Bareland,Water,Non_Wetland,Water
404,Water,Bareland,Water,Non_Wetland,Forest
405,Water,Built-up,NULL,Non_Wetland,Grassland
406,Water,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
407,Water,Built-up,NULL,Non_Wetland,Bareland
408,Water,Built-up,NULL,Non_Wetland,Water
409,Water,Built-up,NULL,Non_Wetland,Forest
410,Water,Built-up,Non_Water,Non_Wetland,Grassland
411,Water,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
412,Water,Built-up,Non_Water,Non_Wetland,Water
413,Water,Built-up,Non_Water,Non_Wetland,Forest
414,Water,Built-up,Water,Non_Wetland,Grassland
415,Water,Built-up,Water,Non_Wetland,Lichens_and_Mosses
416,Water,Built-up,Water,Non_Wetland,Bareland
417,Water,Built-up,Water,Non_Wetland,Water
418,Water,Built-up,Water,Non_Wetland,Forest
419,Water,Water,NULL,Water,Grassland
420,Water,Water,NULL,Water,Wetland
421,Water,Water,NULL,Water,Lichens_and_Mosses
422,Water,Water,NULL,Water,Bareland
423,Water,Water,NULL,Water,Water
424,Water,Water,NULL,Water,Forest
425,Water,Water,Non_Water,Water,Grassland
426,Water,Water,Non_Water,Water,Wetland
427,Water,Water,Non_Water,Water,Water
428,Water,Water,Non_Water,Water,Forest
429,Water,Water,Water,Water,Grassland
430,Water,Water,Water,Water,Wetland
431,Water,Water,Water,Water,Lichens_and_Mosses
432,Water,Water,Water,Water,Bareland
433,Water,Water,Water,Water,Water
434,Water,Water,Water,Water,Forest
435,Water,Forest,NULL,Non_Wetland,NULL
436,Water,Forest,NULL,Non_Wetland,Grassland
437,Water,Forest,NULL,Non_Wetland,Wetland
438,Water,Forest,NULL,Non_Wetland,Lichens_and_Mosses
439,Water,Forest,NULL,Non_Wetland,Bareland
440,Water,Forest,NULL,Non_Wetland,Water
441,Water,Forest,NULL,Non_Wetland,Forest
442,Water,Forest,Non_Water,Non_Wetland,Grassland
443,Water,Forest,Non_Water,Non_Wetland,Wetland
444,Water,Forest,Non_Water,Non_Wetland,Water
445,Water,Forest,Non_Water,Non_Wetland,Forest
446,Water,Forest,Water,Non_Wetland,Grassland
447,Water,Forest,Water,Non_Wetland,Wetland
448,Water,Forest,Water,Non_Wetland,Lichens_and_Mosses
449,Water,Forest,Water,Non_Wetland,Bareland
450,Water,Forest,Water,Non_Wetland,Water
451,Water,Forest,Water,Non_Wetland,Forest
452,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,NULL
453,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Grassland
454,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Wetland
455,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Bareland
456,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Water
457,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Forest
458,Permanent_ice_and_snow,NULL,Non_Water,Non_Wetland,Grassland
459,Permanent_ice_and_snow,NULL,Non_Water,Non_Wetland,Forest
460,Permanent_ice_and_snow,NULL,Water,Non_Wetland,Wetland
461,Permanent_ice_and_snow,NULL,Water,Non_Wetland,Forest
462,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,NULL
463,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Grassland
464,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Wetland
465,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Water
466,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Forest
467,Permanent_ice_and_snow,Shrubland,Non_Water,Non_Wetland,Wetland
468,Permanent_ice_and_snow,Shrubland,Non_Water,Non_Wetland,Water
469,Permanent_ice_and_snow,Shrubland,Non_Water,Non_Wetland,Forest
470,Permanent_ice_and_snow,Shrubland,Water,Non_Wetland,Grassland
471,Permanent_ice_and_snow,Shrubland,Water,Non_Wetland,Wetland
472,Permanent_ice_and_snow,Shrubland,Water,Non_Wetland,Water
473,Permanent_ice_and_snow,Shrubland,Water,Non_Wetland,Forest
474,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Grassland
475,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Wetland
476,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
477,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Forest
478,Permanent_ice_and_snow,Grassland,Water,Non_Wetland,Grassland
479,Permanent_ice_and_snow,Cropland,NULL,Non_Wetland,Grassland
480,Permanent_ice_and_snow,Wetland,NULL,Wetland,NULL
481,Permanent_ice_and_snow,Wetland,NULL,Wetland,Grassland
482,Permanent_ice_and_snow,Wetland,NULL,Wetland,Wetland
483,Permanent_ice_and_snow,Wetland,NULL,Wetland,Lichens_and_Mosses
484,Permanent_ice_and_snow,Wetland,NULL,Wetland,Water
485,Permanent_ice_and_snow,Wetland,NULL,Wetland,Forest
486,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Grassland
487,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Wetland
488,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Water
489,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Forest
490,Permanent_ice_and_snow,Wetland,Water,Wetland,Grassland
