Value,SIBERIA_2024_ESRI_Annual_LULC_2024_45WWP_M_R,SIBERIA_2024_GLC_FCS30D_2022_45WWP_M_R,SIBERIA_2024_GSW_Yearly_2021_45WWP_M_R,SIBERIA_2024_GWL_FCS30D_2022_45WWP_M_R,SIBERIA_2024_WorldCover_2021_45WWP_M_R
173,Cropland,Grassland,NULL,Non_Wetland,Forest
174,Cropland,Wetland,NULL,Wetland,Grassland
175,Cropland,Wetland,NULL,Wetland,Wetland
176,Cropland,Wetland,NULL,Wetland,Forest
177,Cropland,Wetland,Non_Water,Wetland,Grassland
178,Cropland,Wetland,Non_Water,Wetland,Wetland
179,Cropland,Wetland,Non_Water,Wetland,Bareland
180,Cropland,Wetland,Non_Water,Wetland,Water
181,Cropland,Wetland,Water,Wetland,Grassland
182,Cropland,Wetland,Water,Wetland,Wetland
183,Cropland,Wetland,Water,Wetland,Bareland
184,Cropland,Wetland,Water,Wetland,Water
185,Cropland,Wetland,Water,Wetland,Forest
186,Cropland,Bareland,NULL,Non_Wetland,Grassland
187,Cropland,Bareland,NULL,Non_Wetland,Bareland
188,Cropland,Bareland,NULL,Non_Wetland,Built-up
189,Cropland,Bareland,NULL,Non_Wetland,Forest
190,Cropland,Bareland,Water,Non_Wetland,Bareland
191,Cropland,Bareland,Water,Non_Wetland,Water
192,Cropland,Built-up,NULL,Non_Wetland,Grassland
193,Cropland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
194,Cropland,Built-up,NULL,Non_Wetland,Bareland
195,Cropland,Built-up,NULL,Non_Wetland,Built-up
196,Cropland,Built-up,NULL,Non_Wetland,Forest
197,Cropland,Built-up,Water,Non_Wetland,Bareland
198,Cropland,Water,Water,Water,Wetland
199,Cropland,Forest,NULL,Non_Wetland,Grassland
200,Cropland,Forest,NULL,Non_Wetland,Wetland
201,Cropland,Forest,NULL,Non_Wetland,Bareland
202,Cropland,Forest,NULL,Non_Wetland,Built-up
203,Cropland,Forest,NULL,Non_Wetland,Forest
204,Cropland,Forest,Non_Water,Non_Wetland,Grassland
205,Cropland,Forest,Water,Non_Wetland,Grassland
206,Cropland,Forest,Water,Non_Wetland,Wetland
207,Wetland,NULL,NULL,Non_Wetland,Grassland
208,Wetland,NULL,NULL,Non_Wetland,Wetland
209,Wetland,NULL,NULL,Non_Wetland,Lichens_and_Mosses
210,Wetland,NULL,NULL,Non_Wetland,Bareland
211,Wetland,NULL,NULL,Non_Wetland,Water
212,Wetland,NULL,NULL,Non_Wetland,Forest
213,Wetland,NULL,Non_Water,Non_Wetland,Grassland
214,Wetland,NULL,Non_Water,Non_Wetland,Wetland
215,Wetland,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
216,Wetland,NULL,Non_Water,Non_Wetland,Water
217,Wetland,NULL,Non_Water,Non_Wetland,Forest
218,Wetland,NULL,Water,Non_Wetland,Grassland
219,Wetland,NULL,Water,Non_Wetland,Wetland
220,Wetland,NULL,Water,Non_Wetland,Water
221,Wetland,NULL,Water,Non_Wetland,Forest
222,Wetland,Shrubland,NULL,Non_Wetland,Grassland
223,Wetland,Shrubland,NULL,Non_Wetland,Wetland
224,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
225,Wetland,Shrubland,NULL,Non_Wetland,Bareland
226,Wetland,Shrubland,NULL,Non_Wetland,Water
227,Wetland,Shrubland,NULL,Non_Wetland,Forest
228,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
229,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
230,Wetland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
231,Wetland,Shrubland,Non_Water,Non_Wetland,Water
232,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
233,Wetland,Shrubland,Water,Non_Wetland,Grassland
234,Wetland,Shrubland,Water,Non_Wetland,Wetland
235,Wetland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
236,Wetland,Shrubland,Water,Non_Wetland,Bareland
237,Wetland,Shrubland,Water,Non_Wetland,Water
238,Wetland,Shrubland,Water,Non_Wetland,Forest
239,Wetland,Grassland,NULL,Non_Wetland,Grassland
240,Wetland,Grassland,NULL,Non_Wetland,Wetland
241,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
242,Wetland,Grassland,NULL,Non_Wetland,Bareland
243,Wetland,Grassland,NULL,Non_Wetland,Water
244,Wetland,Grassland,NULL,Non_Wetland,Forest
245,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
246,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
247,Wetland,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
248,Wetland,Grassland,Non_Water,Non_Wetland,Forest
249,Wetland,Grassland,Water,Non_Wetland,Grassland
250,Wetland,Grassland,Water,Non_Wetland,Wetland
251,Wetland,Grassland,Water,Non_Wetland,Lichens_and_Mosses
252,Wetland,Grassland,Water,Non_Wetland,Water
253,Wetland,Grassland,Water,Non_Wetland,Forest
254,Wetland,Wetland,NULL,Wetland,Grassland
255,Wetland,Wetland,NULL,Wetland,Wetland
256,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
257,Wetland,Wetland,NULL,Wetland,Bareland
258,Wetland,Wetland,NULL,Wetland,Water
259,Wetland,Wetland,NULL,Wetland,Forest
260,Wetland,Wetland,Non_Water,Wetland,Grassland
261,Wetland,Wetland,Non_Water,Wetland,Wetland
262,Wetland,Wetland,Non_Water,Wetland,Bareland
263,Wetland,Wetland,Non_Water,Wetland,Water
264,Wetland,Wetland,Non_Water,Wetland,Forest
265,Wetland,Wetland,Water,Wetland,Grassland
266,Wetland,Wetland,Water,Wetland,Wetland
267,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
268,Wetland,Wetland,Water,Wetland,Bareland
269,Wetland,Wetland,Water,Wetland,Water
270,Wetland,Wetland,Water,Wetland,Forest
271,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
272,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
273,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
274,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
275,Wetland,Bareland,NULL,Non_Wetland,Grassland
276,Wetland,Bareland,NULL,Non_Wetland,Wetland
277,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
278,Wetland,Bareland,NULL,Non_Wetland,Bareland
279,Wetland,Bareland,NULL,Non_Wetland,Water
280,Wetland,Bareland,NULL,Non_Wetland,Forest
281,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
282,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
283,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
284,Wetland,Bareland,Non_Water,Non_Wetland,Water
285,Wetland,Bareland,Non_Water,Non_Wetland,Forest
286,Wetland,Bareland,Water,Non_Wetland,Grassland
287,Wetland,Bareland,Water,Non_Wetland,Wetland
288,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
289,Wetland,Bareland,Water,Non_Wetland,Bareland
290,Wetland,Bareland,Water,Non_Wetland,Water
291,Wetland,Bareland,Water,Non_Wetland,Forest
292,Wetland,Built-up,NULL,Non_Wetland,Grassland
293,Wetland,Built-up,NULL,Non_Wetland,Wetland
294,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
295,Wetland,Built-up,NULL,Non_Wetland,Water
296,Wetland,Built-up,NULL,Non_Wetland,Forest
297,Wetland,Built-up,Non_Water,Non_Wetland,Grassland
298,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
299,Wetland,Built-up,Non_Water,Non_Wetland,Water
300,Wetland,Built-up,Non_Water,Non_Wetland,Forest
301,Wetland,Built-up,Water,Non_Wetland,Wetland
302,Wetland,Built-up,Water,Non_Wetland,Water
303,Wetland,Built-up,Water,Non_Wetland,Forest
304,Wetland,Water,NULL,Water,Grassland
305,Wetland,Water,NULL,Water,Wetland
306,Wetland,Water,NULL,Water,Lichens_and_Mosses
307,Wetland,Water,NULL,Water,Water
308,Wetland,Water,NULL,Water,Forest
309,Wetland,Water,Non_Water,Water,Grassland
310,Wetland,Water,Non_Water,Water,Wetland
311,Wetland,Water,Non_Water,Water,Lichens_and_Mosses
312,Wetland,Water,Non_Water,Water,Water
313,Wetland,Water,Non_Water,Water,Forest
314,Wetland,Water,Water,Water,Grassland
315,Wetland,Water,Water,Water,Wetland
316,Wetland,Water,Water,Water,Lichens_and_Mosses
317,Wetland,Water,Water,Water,Bareland
318,Wetland,Water,Water,Water,Water
319,Wetland,Water,Water,Water,Forest
320,Wetland,Forest,NULL,Non_Wetland,Grassland
321,Wetland,Forest,NULL,Non_Wetland,Wetland
322,Wetland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
323,Wetland,Forest,NULL,Non_Wetland,Bareland
324,Wetland,Forest,NULL,Non_Wetland,Water
325,Wetland,Forest,NULL,Non_Wetland,Forest
326,Wetland,Forest,Non_Water,Non_Wetland,Grassland
327,Wetland,Forest,Non_Water,Non_Wetland,Wetland
328,Wetland,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
329,Wetland,Forest,Non_Water,Non_Wetland,Water
330,Wetland,Forest,Non_Water,Non_Wetland,Forest
331,Wetland,Forest,Water,Non_Wetland,Grassland
332,Wetland,Forest,Water,Non_Wetland,Wetland
333,Wetland,Forest,Water,Non_Wetland,Lichens_and_Mosses
334,Wetland,Forest,Water,Non_Wetland,Bareland
335,Wetland,Forest,Water,Non_Wetland,Water
336,Wetland,Forest,Water,Non_Wetland,Forest
337,Bareland,NULL,NULL,Non_Wetland,Wetland
338,Bareland,NULL,NULL,Non_Wetland,Bareland
339,Bareland,NULL,NULL,Non_Wetland,Water
340,Bareland,NULL,NULL,Non_Wetland,Forest
341,Bareland,NULL,Water,Non_Wetland,Water
342,Bareland,Shrubland,NULL,Non_Wetland,Grassland
343,Bareland,Shrubland,NULL,Non_Wetland,Wetland
344,Bareland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
345,Bareland,Shrubland,NULL,Non_Wetland,Bareland
346,Bareland,Shrubland,NULL,Non_Wetland,Water
347,Bareland,Shrubland,NULL,Non_Wetland,Forest
348,Bareland,Shrubland,Water,Non_Wetland,Wetland
349,Bareland,Shrubland,Water,Non_Wetland,Bareland
350,Bareland,Shrubland,Water,Non_Wetland,Water
351,Bareland,Grassland,NULL,Non_Wetland,Grassland
352,Bareland,Grassland,NULL,Non_Wetland,Bareland
353,Bareland,Grassland,NULL,Non_Wetland,Forest
354,Bareland,Grassland,Water,Non_Wetland,Bareland
355,Bareland,Grassland,Water,Non_Wetland,Forest
356,Bareland,Wetland,NULL,Wetland,Grassland
357,Bareland,Wetland,NULL,Wetland,Wetland
358,Bareland,Wetland,NULL,Wetland,Lichens_and_Mosses
359,Bareland,Wetland,NULL,Wetland,Bareland
360,Bareland,Wetland,NULL,Wetland,Water
361,Bareland,Wetland,NULL,Wetland,Forest
362,Bareland,Wetland,Non_Water,Wetland,Wetland
363,Bareland,Wetland,Non_Water,Wetland,Bareland
364,Bareland,Wetland,Non_Water,Wetland,Water
365,Bareland,Wetland,Water,Wetland,Grassland
366,Bareland,Wetland,Water,Wetland,Wetland
367,Bareland,Wetland,Water,Wetland,Lichens_and_Mosses
368,Bareland,Wetland,Water,Wetland,Bareland
369,Bareland,Wetland,Water,Wetland,Water
370,Bareland,Wetland,Water,Wetland,Forest
371,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
372,Bareland,Bareland,NULL,Non_Wetland,Grassland
373,Bareland,Bareland,NULL,Non_Wetland,Wetland
374,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
375,Bareland,Bareland,NULL,Non_Wetland,Bareland
376,Bareland,Bareland,NULL,Non_Wetland,Built-up
377,Bareland,Bareland,NULL,Non_Wetland,Water
378,Bareland,Bareland,NULL,Non_Wetland,Forest
379,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
380,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
381,Bareland,Bareland,Non_Water,Non_Wetland,Water
382,Bareland,Bareland,Water,Non_Wetland,Grassland
383,Bareland,Bareland,Water,Non_Wetland,Wetland
384,Bareland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
385,Bareland,Bareland,Water,Non_Wetland,Bareland
386,Bareland,Bareland,Water,Non_Wetland,Water
387,Bareland,Bareland,Water,Non_Wetland,Forest
388,Bareland,Built-up,NULL,Non_Wetland,Grassland
389,Bareland,Built-up,NULL,Non_Wetland,Wetland
390,Bareland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
391,Bareland,Built-up,NULL,Non_Wetland,Bareland
392,Bareland,Built-up,NULL,Non_Wetland,Built-up
393,Bareland,Built-up,NULL,Non_Wetland,Water
394,Bareland,Built-up,NULL,Non_Wetland,Forest
395,Bareland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
396,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
397,Bareland,Built-up,Non_Water,Non_Wetland,Water
398,Bareland,Built-up,Non_Water,Non_Wetland,Forest
399,Bareland,Built-up,Water,Non_Wetland,Grassland
400,Bareland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
401,Bareland,Built-up,Water,Non_Wetland,Bareland
402,Bareland,Built-up,Water,Non_Wetland,Water
403,Bareland,Built-up,Water,Non_Wetland,Forest
404,Bareland,Water,NULL,Water,Grassland
405,Bareland,Water,NULL,Water,Wetland
406,Bareland,Water,NULL,Water,Lichens_and_Mosses
407,Bareland,Water,NULL,Water,Bareland
408,Bareland,Water,NULL,Water,Water
409,Bareland,Water,NULL,Water,Forest
410,Bareland,Water,Non_Water,Water,Bareland
411,Bareland,Water,Non_Water,Water,Water
412,Bareland,Water,Water,Water,Wetland
413,Bareland,Water,Water,Water,Lichens_and_Mosses
414,Bareland,Water,Water,Water,Bareland
415,Bareland,Water,Water,Water,Water
416,Bareland,Water,Water,Water,Forest
417,Bareland,Forest,NULL,Non_Wetland,Grassland
418,Bareland,Forest,NULL,Non_Wetland,Wetland
419,Bareland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
420,Bareland,Forest,NULL,Non_Wetland,Bareland
421,Bareland,Forest,NULL,Non_Wetland,Water
422,Bareland,Forest,NULL,Non_Wetland,Forest
423,Bareland,Forest,Non_Water,Non_Wetland,Water
424,Bareland,Forest,Water,Non_Wetland,Wetland
425,Bareland,Forest,Water,Non_Wetland,Lichens_and_Mosses
426,Bareland,Forest,Water,Non_Wetland,Bareland
427,Bareland,Forest,Water,Non_Wetland,Water
428,Bareland,Forest,Water,Non_Wetland,Forest
429,Built-up,NULL,NULL,Non_Wetland,Grassland
430,Built-up,NULL,NULL,Non_Wetland,Bareland
431,Built-up,NULL,NULL,Non_Wetland,Built-up
432,Built-up,NULL,NULL,Non_Wetland,Forest
433,Built-up,NULL,Non_Water,Non_Wetland,Forest
434,Built-up,Shrubland,NULL,Non_Wetland,Grassland
435,Built-up,Shrubland,NULL,Non_Wetland,Bareland
436,Built-up,Shrubland,NULL,Non_Wetland,Built-up
437,Built-up,Shrubland,NULL,Non_Wetland,Forest
438,Built-up,Shrubland,Water,Non_Wetland,Forest
439,Built-up,Grassland,NULL,Non_Wetland,Grassland
440,Built-up,Grassland,NULL,Non_Wetland,Wetland
441,Built-up,Grassland,NULL,Non_Wetland,Bareland
442,Built-up,Grassland,NULL,Non_Wetland,Built-up
443,Built-up,Grassland,NULL,Non_Wetland,Forest
444,Built-up,Wetland,NULL,Wetland,Grassland
445,Built-up,Wetland,NULL,Wetland,Wetland
446,Built-up,Wetland,NULL,Wetland,Forest
447,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
448,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Forest
449,Built-up,Bareland,NULL,Non_Wetland,Grassland
450,Built-up,Bareland,NULL,Non_Wetland,Bareland
451,Built-up,Bareland,NULL,Non_Wetland,Built-up
452,Built-up,Bareland,NULL,Non_Wetland,Permanent_ice_and_snow
453,Built-up,Bareland,NULL,Non_Wetland,Forest
454,Built-up,Bareland,Non_Water,Non_Wetland,Bareland
455,Built-up,Bareland,Non_Water,Non_Wetland,Built-up
456,Built-up,Bareland,Non_Water,Non_Wetland,Forest
457,Built-up,Bareland,Water,Non_Wetland,Bareland
458,Built-up,Bareland,Water,Non_Wetland,Forest
459,Built-up,Built-up,NULL,Non_Wetland,Grassland
460,Built-up,Built-up,NULL,Non_Wetland,Bareland
461,Built-up,Built-up,NULL,Non_Wetland,Built-up
462,Built-up,Built-up,NULL,Non_Wetland,Water
463,Built-up,Built-up,NULL,Non_Wetland,Forest
464,Built-up,Built-up,Non_Water,Non_Wetland,Bareland
465,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
466,Built-up,Built-up,Non_Water,Non_Wetland,Forest
467,Built-up,Built-up,Water,Non_Wetland,Grassland
468,Built-up,Built-up,Water,Non_Wetland,Bareland
469,Built-up,Built-up,Water,Non_Wetland,Built-up
470,Built-up,Built-up,Water,Non_Wetland,Forest
471,Built-up,Forest,NULL,Non_Wetland,Grassland
472,Built-up,Forest,NULL,Non_Wetland,Wetland
473,Built-up,Forest,NULL,Non_Wetland,Bareland
474,Built-up,Forest,NULL,Non_Wetland,Built-up
475,Built-up,Forest,NULL,Non_Wetland,Forest
476,Built-up,Forest,Non_Water,Non_Wetland,Bareland
477,Built-up,Forest,Non_Water,Non_Wetland,Forest
478,Built-up,Forest,Water,Non_Wetland,Forest
479,Water,NULL,NULL,Non_Wetland,Grassland
480,Water,NULL,NULL,Non_Wetland,Wetland
481,Water,NULL,NULL,Non_Wetland,Lichens_and_Mosses
482,Water,NULL,NULL,Non_Wetland,Bareland
483,Water,NULL,NULL,Non_Wetland,Water
