Value,SIBERIA_2024_ESA_CALU_2024_41WNS_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_41WNS_M_R,SIBERIA_2024_GLC_FCS30D_2022_41WNS_M_R,SIBERIA_2024_GSW_Yearly_2021_41WNS_M_R,SIBERIA_2024_GWL_FCS30D_2022_41WNS_M_R,SIBERIA_2024_WorldCover_2021_41WNS_M_R
114,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
115,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
116,NULL,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
117,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
118,NULL,NULL,Bareland,Water,Non_Wetland,Water
119,NULL,NULL,Bareland,Water,Non_Wetland,Forest
120,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
121,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
122,NULL,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
123,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
124,NULL,NULL,Built-up,NULL,Non_Wetland,Water
125,NULL,NULL,Built-up,NULL,Non_Wetland,Permanent_ice_and_snow
126,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
127,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
128,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland
129,NULL,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
130,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
131,NULL,NULL,Built-up,Non_Water,Non_Wetland,Water
132,NULL,NULL,Built-up,Non_Water,Non_Wetland,Forest
133,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
134,NULL,NULL,Built-up,Water,Non_Wetland,Wetland
135,NULL,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
136,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
137,NULL,NULL,Built-up,Water,Non_Wetland,Water
138,NULL,NULL,Water,NULL,NULL,Water
139,NULL,NULL,Water,NULL,Water,NULL
140,NULL,NULL,Water,NULL,Water,Grassland
141,NULL,NULL,Water,NULL,Water,Wetland
142,NULL,NULL,Water,NULL,Water,Lichens_and_Mosses
143,NULL,NULL,Water,NULL,Water,Bareland
144,NULL,NULL,Water,NULL,Water,Water
145,NULL,NULL,Water,NULL,Water,Forest
146,NULL,NULL,Water,Non_Water,Water,NULL
147,NULL,NULL,Water,Non_Water,Water,Grassland
148,NULL,NULL,Water,Non_Water,Water,Wetland
149,NULL,NULL,Water,Non_Water,Water,Lichens_and_Mosses
150,NULL,NULL,Water,Non_Water,Water,Bareland
151,NULL,NULL,Water,Non_Water,Water,Water
152,NULL,NULL,Water,Non_Water,Water,Forest
153,NULL,NULL,Water,Water,NULL,Water
154,NULL,NULL,Water,Water,Water,Grassland
155,NULL,NULL,Water,Water,Water,Wetland
156,NULL,NULL,Water,Water,Water,Lichens_and_Mosses
157,NULL,NULL,Water,Water,Water,Bareland
158,NULL,NULL,Water,Water,Water,Water
159,NULL,NULL,Water,Water,Water,Forest
160,NULL,NULL,Forest,NULL,Non_Wetland,NULL
161,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
162,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
163,NULL,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
164,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
165,NULL,NULL,Forest,NULL,Non_Wetland,Water
166,NULL,NULL,Forest,NULL,Non_Wetland,Forest
167,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
168,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
169,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
170,NULL,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
171,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland
172,NULL,NULL,Forest,Non_Water,Non_Wetland,Water
173,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
174,NULL,NULL,Forest,Water,Non_Wetland,Grassland
175,NULL,NULL,Forest,Water,Non_Wetland,Wetland
176,NULL,NULL,Forest,Water,Non_Wetland,Lichens_and_Mosses
177,NULL,NULL,Forest,Water,Non_Wetland,Bareland
178,NULL,NULL,Forest,Water,Non_Wetland,Water
179,NULL,NULL,Forest,Water,Non_Wetland,Forest
180,NULL,Wetland,NULL,NULL,Non_Wetland,NULL
181,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland
182,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland
183,NULL,Wetland,NULL,NULL,Non_Wetland,Lichens_and_Mosses
184,NULL,Wetland,NULL,NULL,Non_Wetland,Bareland
185,NULL,Wetland,NULL,NULL,Non_Wetland,Water
186,NULL,Wetland,NULL,NULL,Non_Wetland,Forest
187,NULL,Wetland,NULL,Non_Water,Non_Wetland,Grassland
188,NULL,Wetland,NULL,Non_Water,Non_Wetland,Wetland
189,NULL,Wetland,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
190,NULL,Wetland,NULL,Non_Water,Non_Wetland,Water
191,NULL,Wetland,NULL,Non_Water,Non_Wetland,Forest
192,NULL,Wetland,NULL,Water,Non_Wetland,Grassland
193,NULL,Wetland,NULL,Water,Non_Wetland,Wetland
194,NULL,Wetland,NULL,Water,Non_Wetland,Lichens_and_Mosses
195,NULL,Wetland,NULL,Water,Non_Wetland,Bareland
196,NULL,Wetland,NULL,Water,Non_Wetland,Water
197,NULL,Wetland,NULL,Water,Non_Wetland,Forest
198,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
199,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
200,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
201,NULL,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
202,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland
203,NULL,Wetland,Shrubland,NULL,Non_Wetland,Water
204,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
205,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
206,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
207,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
208,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
209,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland
210,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Water
211,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
212,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL
213,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland
214,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland
215,NULL,Wetland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
216,NULL,Wetland,Shrubland,Water,Non_Wetland,Bareland
217,NULL,Wetland,Shrubland,Water,Non_Wetland,Water
218,NULL,Wetland,Shrubland,Water,Non_Wetland,Forest
219,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL
220,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
221,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland
222,NULL,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
223,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland
224,NULL,Wetland,Grassland,NULL,Non_Wetland,Water
225,NULL,Wetland,Grassland,NULL,Non_Wetland,Forest
226,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
227,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
228,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
229,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Water
230,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Forest
231,NULL,Wetland,Grassland,Water,Non_Wetland,Grassland
232,NULL,Wetland,Grassland,Water,Non_Wetland,Wetland
233,NULL,Wetland,Grassland,Water,Non_Wetland,Lichens_and_Mosses
234,NULL,Wetland,Grassland,Water,Non_Wetland,Water
235,NULL,Wetland,Grassland,Water,Non_Wetland,Forest
236,NULL,Wetland,Wetland,NULL,NULL,Wetland
237,NULL,Wetland,Wetland,NULL,NULL,Water
238,NULL,Wetland,Wetland,NULL,Wetland,NULL
239,NULL,Wetland,Wetland,NULL,Wetland,Grassland
240,NULL,Wetland,Wetland,NULL,Wetland,Wetland
241,NULL,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
242,NULL,Wetland,Wetland,NULL,Wetland,Bareland
243,NULL,Wetland,Wetland,NULL,Wetland,Water
244,NULL,Wetland,Wetland,NULL,Wetland,Forest
245,NULL,Wetland,Wetland,Non_Water,Wetland,NULL
246,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland
247,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland
248,NULL,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
249,NULL,Wetland,Wetland,Non_Water,Wetland,Bareland
250,NULL,Wetland,Wetland,Non_Water,Wetland,Water
251,NULL,Wetland,Wetland,Non_Water,Wetland,Forest
252,NULL,Wetland,Wetland,Water,NULL,Wetland
253,NULL,Wetland,Wetland,Water,NULL,Water
254,NULL,Wetland,Wetland,Water,Wetland,NULL
255,NULL,Wetland,Wetland,Water,Wetland,Grassland
256,NULL,Wetland,Wetland,Water,Wetland,Wetland
257,NULL,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
258,NULL,Wetland,Wetland,Water,Wetland,Bareland
259,NULL,Wetland,Wetland,Water,Wetland,Water
260,NULL,Wetland,Wetland,Water,Wetland,Forest
261,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
262,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
263,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
264,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
265,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
266,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
267,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
268,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
269,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
270,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
271,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
272,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
273,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
274,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
275,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
276,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
277,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
278,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Forest
279,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL
280,NULL,Wetland,Bareland,NULL,Non_Wetland,Grassland
281,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland
282,NULL,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
283,NULL,Wetland,Bareland,NULL,Non_Wetland,Bareland
284,NULL,Wetland,Bareland,NULL,Non_Wetland,Water
285,NULL,Wetland,Bareland,NULL,Non_Wetland,Forest
286,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
287,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
288,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
289,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
290,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Water
291,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Forest
292,NULL,Wetland,Bareland,Water,Non_Wetland,NULL
293,NULL,Wetland,Bareland,Water,Non_Wetland,Grassland
294,NULL,Wetland,Bareland,Water,Non_Wetland,Wetland
295,NULL,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
296,NULL,Wetland,Bareland,Water,Non_Wetland,Bareland
297,NULL,Wetland,Bareland,Water,Non_Wetland,Water
298,NULL,Wetland,Bareland,Water,Non_Wetland,Forest
299,NULL,Wetland,Built-up,NULL,Non_Wetland,Grassland
300,NULL,Wetland,Built-up,NULL,Non_Wetland,Wetland
301,NULL,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
302,NULL,Wetland,Built-up,NULL,Non_Wetland,Bareland
303,NULL,Wetland,Built-up,NULL,Non_Wetland,Water
304,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Grassland
305,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
306,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
307,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Water
308,NULL,Wetland,Built-up,Water,Non_Wetland,Grassland
309,NULL,Wetland,Built-up,Water,Non_Wetland,Wetland
310,NULL,Wetland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
311,NULL,Wetland,Built-up,Water,Non_Wetland,Bareland
312,NULL,Wetland,Built-up,Water,Non_Wetland,Water
313,NULL,Wetland,Built-up,Water,Non_Wetland,Forest
314,NULL,Wetland,Water,NULL,NULL,Wetland
315,NULL,Wetland,Water,NULL,NULL,Water
316,NULL,Wetland,Water,NULL,Water,NULL
317,NULL,Wetland,Water,NULL,Water,Grassland
318,NULL,Wetland,Water,NULL,Water,Wetland
319,NULL,Wetland,Water,NULL,Water,Lichens_and_Mosses
320,NULL,Wetland,Water,NULL,Water,Bareland
321,NULL,Wetland,Water,NULL,Water,Water
322,NULL,Wetland,Water,NULL,Water,Forest
323,NULL,Wetland,Water,Non_Water,Water,Grassland
324,NULL,Wetland,Water,Non_Water,Water,Wetland
325,NULL,Wetland,Water,Non_Water,Water,Lichens_and_Mosses
326,NULL,Wetland,Water,Non_Water,Water,Bareland
327,NULL,Wetland,Water,Non_Water,Water,Water
328,NULL,Wetland,Water,Non_Water,Water,Forest
329,NULL,Wetland,Water,Water,NULL,Wetland
330,NULL,Wetland,Water,Water,NULL,Water
331,NULL,Wetland,Water,Water,Water,NULL
332,NULL,Wetland,Water,Water,Water,Grassland
333,NULL,Wetland,Water,Water,Water,Wetland
334,NULL,Wetland,Water,Water,Water,Lichens_and_Mosses
335,NULL,Wetland,Water,Water,Water,Bareland
336,NULL,Wetland,Water,Water,Water,Water
337,NULL,Wetland,Water,Water,Water,Forest
338,NULL,Wetland,Forest,NULL,Non_Wetland,NULL
339,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
340,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
341,NULL,Wetland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
342,NULL,Wetland,Forest,NULL,Non_Wetland,Bareland
343,NULL,Wetland,Forest,NULL,Non_Wetland,Water
344,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
345,NULL,Wetland,Forest,Non_Water,Non_Wetland,Grassland
346,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland
347,NULL,Wetland,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
348,NULL,Wetland,Forest,Non_Water,Non_Wetland,Bareland
349,NULL,Wetland,Forest,Non_Water,Non_Wetland,Water
350,NULL,Wetland,Forest,Non_Water,Non_Wetland,Forest
351,NULL,Wetland,Forest,Water,Non_Wetland,NULL
352,NULL,Wetland,Forest,Water,Non_Wetland,Grassland
353,NULL,Wetland,Forest,Water,Non_Wetland,Wetland
354,NULL,Wetland,Forest,Water,Non_Wetland,Lichens_and_Mosses
355,NULL,Wetland,Forest,Water,Non_Wetland,Bareland
356,NULL,Wetland,Forest,Water,Non_Wetland,Water
357,NULL,Wetland,Forest,Water,Non_Wetland,Forest
358,NULL,Bareland,NULL,NULL,Non_Wetland,Water
359,NULL,Bareland,NULL,Non_Water,Non_Wetland,Water
360,NULL,Bareland,NULL,Water,Non_Wetland,Grassland
361,NULL,Bareland,NULL,Water,Non_Wetland,Water
362,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
363,NULL,Bareland,Shrubland,NULL,Non_Wetland,Wetland
364,NULL,Bareland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
365,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
366,NULL,Bareland,Shrubland,NULL,Non_Wetland,Water
367,NULL,Bareland,Shrubland,NULL,Non_Wetland,Forest
368,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Wetland
369,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Water
370,NULL,Bareland,Shrubland,Water,Non_Wetland,Grassland
371,NULL,Bareland,Shrubland,Water,Non_Wetland,Wetland
372,NULL,Bareland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
373,NULL,Bareland,Shrubland,Water,Non_Wetland,Bareland
374,NULL,Bareland,Shrubland,Water,Non_Wetland,Water
375,NULL,Bareland,Wetland,NULL,Wetland,Grassland
376,NULL,Bareland,Wetland,NULL,Wetland,Wetland
377,NULL,Bareland,Wetland,NULL,Wetland,Lichens_and_Mosses
378,NULL,Bareland,Wetland,NULL,Wetland,Bareland
379,NULL,Bareland,Wetland,NULL,Wetland,Water
380,NULL,Bareland,Wetland,NULL,Wetland,Forest
381,NULL,Bareland,Wetland,Non_Water,Wetland,Wetland
382,NULL,Bareland,Wetland,Non_Water,Wetland,Bareland
383,NULL,Bareland,Wetland,Non_Water,Wetland,Water
384,NULL,Bareland,Wetland,Water,NULL,Bareland
385,NULL,Bareland,Wetland,Water,NULL,Water
386,NULL,Bareland,Wetland,Water,Wetland,Grassland
387,NULL,Bareland,Wetland,Water,Wetland,Wetland
388,NULL,Bareland,Wetland,Water,Wetland,Lichens_and_Mosses
389,NULL,Bareland,Wetland,Water,Wetland,Bareland
390,NULL,Bareland,Wetland,Water,Wetland,Water
391,NULL,Bareland,Wetland,Water,Wetland,Forest
392,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
393,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
394,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
395,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Water
396,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
397,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
398,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
399,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
400,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Water
401,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
402,NULL,Bareland,Bareland,NULL,Non_Wetland,Wetland
403,NULL,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
404,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
405,NULL,Bareland,Bareland,NULL,Non_Wetland,Water
406,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Wetland
407,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
408,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
409,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Water
410,NULL,Bareland,Bareland,Water,Non_Wetland,Grassland
411,NULL,Bareland,Bareland,Water,Non_Wetland,Wetland
412,NULL,Bareland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
413,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland
