Value,SIBERIA_2024_ESRI_Annual_LULC_2024_42VWQ_M_R,SIBERIA_2024_GLC_FCS30D_2022_42VWQ_M_R,SIBERIA_2024_GSW_Yearly_2021_42VWQ_M_R,SIBERIA_2024_GWL_FCS30D_2022_42VWQ_M_R,SIBERIA_2024_WorldCover_2021_42VWQ_M_R
257,Wetland,Cropland,Water,Non_Wetland,Wetland
258,Wetland,Cropland,Water,Non_Wetland,Forest
259,Wetland,Wetland,NULL,Wetland,NULL
260,Wetland,Wetland,NULL,Wetland,Grassland
261,Wetland,Wetland,NULL,Wetland,Wetland
262,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
263,Wetland,Wetland,NULL,Wetland,Bareland
264,Wetland,Wetland,NULL,Wetland,Built-up
265,Wetland,Wetland,NULL,Wetland,Water
266,Wetland,Wetland,NULL,Wetland,Permanent_ice_and_snow
267,Wetland,Wetland,NULL,Wetland,Forest
268,Wetland,Wetland,Non_Water,Wetland,NULL
269,Wetland,Wetland,Non_Water,Wetland,Grassland
270,Wetland,Wetland,Non_Water,Wetland,Wetland
271,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
272,Wetland,Wetland,Non_Water,Wetland,Bareland
273,Wetland,Wetland,Non_Water,Wetland,Built-up
274,Wetland,Wetland,Non_Water,Wetland,Water
275,Wetland,Wetland,Non_Water,Wetland,Permanent_ice_and_snow
276,Wetland,Wetland,Non_Water,Wetland,Forest
277,Wetland,Wetland,Water,Wetland,NULL
278,Wetland,Wetland,Water,Wetland,Grassland
279,Wetland,Wetland,Water,Wetland,Wetland
280,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
281,Wetland,Wetland,Water,Wetland,Bareland
282,Wetland,Wetland,Water,Wetland,Water
283,Wetland,Wetland,Water,Wetland,Forest
284,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
285,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
286,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
287,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
288,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
289,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
290,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
291,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
292,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
293,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
294,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
295,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
296,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
297,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
298,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
299,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
300,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
301,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Forest
302,Wetland,Bareland,NULL,Non_Wetland,NULL
303,Wetland,Bareland,NULL,Non_Wetland,Grassland
304,Wetland,Bareland,NULL,Non_Wetland,Cropland
305,Wetland,Bareland,NULL,Non_Wetland,Wetland
306,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
307,Wetland,Bareland,NULL,Non_Wetland,Bareland
308,Wetland,Bareland,NULL,Non_Wetland,Built-up
309,Wetland,Bareland,NULL,Non_Wetland,Water
310,Wetland,Bareland,NULL,Non_Wetland,Permanent_ice_and_snow
311,Wetland,Bareland,NULL,Non_Wetland,Forest
312,Wetland,Bareland,Non_Water,Non_Wetland,NULL
313,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
314,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
315,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
316,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
317,Wetland,Bareland,Non_Water,Non_Wetland,Built-up
318,Wetland,Bareland,Non_Water,Non_Wetland,Water
319,Wetland,Bareland,Non_Water,Non_Wetland,Permanent_ice_and_snow
320,Wetland,Bareland,Non_Water,Non_Wetland,Forest
321,Wetland,Bareland,Water,Non_Wetland,NULL
322,Wetland,Bareland,Water,Non_Wetland,Grassland
323,Wetland,Bareland,Water,Non_Wetland,Wetland
324,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
325,Wetland,Bareland,Water,Non_Wetland,Bareland
326,Wetland,Bareland,Water,Non_Wetland,Built-up
327,Wetland,Bareland,Water,Non_Wetland,Water
328,Wetland,Bareland,Water,Non_Wetland,Forest
329,Wetland,Built-up,NULL,Non_Wetland,NULL
330,Wetland,Built-up,NULL,Non_Wetland,Grassland
331,Wetland,Built-up,NULL,Non_Wetland,Wetland
332,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
333,Wetland,Built-up,NULL,Non_Wetland,Bareland
334,Wetland,Built-up,NULL,Non_Wetland,Built-up
335,Wetland,Built-up,NULL,Non_Wetland,Water
336,Wetland,Built-up,NULL,Non_Wetland,Permanent_ice_and_snow
337,Wetland,Built-up,NULL,Non_Wetland,Forest
338,Wetland,Built-up,Non_Water,Non_Wetland,Grassland
339,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
340,Wetland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
341,Wetland,Built-up,Non_Water,Non_Wetland,Bareland
342,Wetland,Built-up,Non_Water,Non_Wetland,Built-up
343,Wetland,Built-up,Non_Water,Non_Wetland,Water
344,Wetland,Built-up,Non_Water,Non_Wetland,Forest
345,Wetland,Built-up,Water,Non_Wetland,Grassland
346,Wetland,Built-up,Water,Non_Wetland,Wetland
347,Wetland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
348,Wetland,Built-up,Water,Non_Wetland,Bareland
349,Wetland,Built-up,Water,Non_Wetland,Built-up
350,Wetland,Built-up,Water,Non_Wetland,Water
351,Wetland,Built-up,Water,Non_Wetland,Forest
352,Wetland,Water,NULL,Water,NULL
353,Wetland,Water,NULL,Water,Grassland
354,Wetland,Water,NULL,Water,Wetland
355,Wetland,Water,NULL,Water,Lichens_and_Mosses
356,Wetland,Water,NULL,Water,Bareland
357,Wetland,Water,NULL,Water,Built-up
358,Wetland,Water,NULL,Water,Water
359,Wetland,Water,NULL,Water,Forest
360,Wetland,Water,Non_Water,Water,NULL
361,Wetland,Water,Non_Water,Water,Grassland
362,Wetland,Water,Non_Water,Water,Wetland
363,Wetland,Water,Non_Water,Water,Lichens_and_Mosses
364,Wetland,Water,Non_Water,Water,Bareland
365,Wetland,Water,Non_Water,Water,Built-up
366,Wetland,Water,Non_Water,Water,Water
367,Wetland,Water,Non_Water,Water,Permanent_ice_and_snow
368,Wetland,Water,Non_Water,Water,Forest
369,Wetland,Water,Water,Water,NULL
370,Wetland,Water,Water,Water,Grassland
371,Wetland,Water,Water,Water,Wetland
372,Wetland,Water,Water,Water,Lichens_and_Mosses
373,Wetland,Water,Water,Water,Bareland
374,Wetland,Water,Water,Water,Built-up
375,Wetland,Water,Water,Water,Water
376,Wetland,Water,Water,Water,Permanent_ice_and_snow
377,Wetland,Water,Water,Water,Forest
378,Wetland,Forest,NULL,Non_Wetland,NULL
379,Wetland,Forest,NULL,Non_Wetland,Grassland
380,Wetland,Forest,NULL,Non_Wetland,Wetland
381,Wetland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
382,Wetland,Forest,NULL,Non_Wetland,Bareland
383,Wetland,Forest,NULL,Non_Wetland,Built-up
384,Wetland,Forest,NULL,Non_Wetland,Water
385,Wetland,Forest,NULL,Non_Wetland,Permanent_ice_and_snow
386,Wetland,Forest,NULL,Non_Wetland,Forest
387,Wetland,Forest,Non_Water,Non_Wetland,NULL
388,Wetland,Forest,Non_Water,Non_Wetland,Grassland
389,Wetland,Forest,Non_Water,Non_Wetland,Wetland
390,Wetland,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
391,Wetland,Forest,Non_Water,Non_Wetland,Bareland
392,Wetland,Forest,Non_Water,Non_Wetland,Built-up
393,Wetland,Forest,Non_Water,Non_Wetland,Water
394,Wetland,Forest,Non_Water,Non_Wetland,Forest
395,Wetland,Forest,Water,Non_Wetland,NULL
396,Wetland,Forest,Water,Non_Wetland,Grassland
397,Wetland,Forest,Water,Non_Wetland,Wetland
398,Wetland,Forest,Water,Non_Wetland,Lichens_and_Mosses
399,Wetland,Forest,Water,Non_Wetland,Bareland
400,Wetland,Forest,Water,Non_Wetland,Water
401,Wetland,Forest,Water,Non_Wetland,Forest
402,Bareland,NULL,NULL,Non_Wetland,Water
403,Bareland,NULL,NULL,Non_Wetland,Forest
404,Bareland,NULL,Water,Non_Wetland,Forest
405,Bareland,Shrubland,NULL,Non_Wetland,Grassland
406,Bareland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
407,Bareland,Shrubland,NULL,Non_Wetland,Bareland
408,Bareland,Shrubland,NULL,Non_Wetland,Forest
409,Bareland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
410,Bareland,Shrubland,Non_Water,Non_Wetland,Bareland
411,Bareland,Shrubland,Non_Water,Non_Wetland,Water
412,Bareland,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
413,Bareland,Cropland,NULL,Non_Wetland,Bareland
414,Bareland,Wetland,NULL,Wetland,Wetland
415,Bareland,Wetland,NULL,Wetland,Water
416,Bareland,Wetland,NULL,Wetland,Forest
417,Bareland,Wetland,Non_Water,Wetland,Grassland
418,Bareland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
419,Bareland,Wetland,Non_Water,Wetland,Bareland
420,Bareland,Wetland,Non_Water,Wetland,Water
421,Bareland,Wetland,Water,Wetland,Bareland
422,Bareland,Wetland,Water,Wetland,Water
423,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
424,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
425,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
426,Bareland,Bareland,NULL,Non_Wetland,NULL
427,Bareland,Bareland,NULL,Non_Wetland,Grassland
428,Bareland,Bareland,NULL,Non_Wetland,Wetland
429,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
430,Bareland,Bareland,NULL,Non_Wetland,Bareland
431,Bareland,Bareland,NULL,Non_Wetland,Built-up
432,Bareland,Bareland,NULL,Non_Wetland,Water
433,Bareland,Bareland,NULL,Non_Wetland,Forest
434,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
435,Bareland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
436,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
437,Bareland,Bareland,Non_Water,Non_Wetland,Water
438,Bareland,Bareland,Water,Non_Wetland,Grassland
439,Bareland,Bareland,Water,Non_Wetland,Bareland
440,Bareland,Bareland,Water,Non_Wetland,Water
441,Bareland,Bareland,Water,Non_Wetland,Forest
442,Bareland,Built-up,NULL,Non_Wetland,Grassland
443,Bareland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
444,Bareland,Built-up,NULL,Non_Wetland,Bareland
445,Bareland,Built-up,NULL,Non_Wetland,Built-up
446,Bareland,Built-up,NULL,Non_Wetland,Water
447,Bareland,Built-up,NULL,Non_Wetland,Forest
448,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
449,Bareland,Built-up,Water,Non_Wetland,Water
450,Bareland,Water,NULL,Water,Wetland
451,Bareland,Water,NULL,Water,Lichens_and_Mosses
452,Bareland,Water,NULL,Water,Bareland
453,Bareland,Water,NULL,Water,Water
454,Bareland,Water,NULL,Water,Forest
455,Bareland,Water,Non_Water,Water,Grassland
456,Bareland,Water,Non_Water,Water,Bareland
457,Bareland,Water,Non_Water,Water,Water
458,Bareland,Water,Water,Water,Water
459,Bareland,Water,Water,Water,Forest
460,Bareland,Forest,NULL,Non_Wetland,Bareland
461,Bareland,Forest,NULL,Non_Wetland,Water
462,Bareland,Forest,NULL,Non_Wetland,Forest
463,Bareland,Forest,Non_Water,Non_Wetland,Bareland
464,Bareland,Forest,Non_Water,Non_Wetland,Forest
465,Bareland,Forest,Water,Non_Wetland,Water
466,Bareland,Forest,Water,Non_Wetland,Forest
467,Built-up,NULL,NULL,Non_Wetland,Grassland
468,Built-up,NULL,NULL,Non_Wetland,Water
469,Built-up,NULL,NULL,Non_Wetland,Forest
470,Built-up,Shrubland,NULL,Non_Wetland,Grassland
471,Built-up,Shrubland,NULL,Non_Wetland,Wetland
472,Built-up,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
