Value,SIBERIA_2024_ESA_CALU_2024_43WEQ_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_43WEQ_M_R,SIBERIA_2024_GLC_FCS30D_2022_43WEQ_M_R,SIBERIA_2024_GSW_Yearly_2021_43WEQ_M_R,SIBERIA_2024_GWL_FCS30D_2022_43WEQ_M_R,SIBERIA_2024_WorldCover_2021_43WEQ_M_R
107,NULL,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
108,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
109,NULL,NULL,Built-up,Non_Water,Non_Wetland,Water
110,NULL,NULL,Built-up,Water,Non_Wetland,Wetland
111,NULL,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
112,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
113,NULL,NULL,Built-up,Water,Non_Wetland,Built-up
114,NULL,NULL,Built-up,Water,Non_Wetland,Water
115,NULL,NULL,Water,NULL,Water,Grassland
116,NULL,NULL,Water,NULL,Water,Wetland
117,NULL,NULL,Water,NULL,Water,Lichens_and_Mosses
118,NULL,NULL,Water,NULL,Water,Bareland
119,NULL,NULL,Water,NULL,Water,Water
120,NULL,NULL,Water,NULL,Water,Forest
121,NULL,NULL,Water,Non_Water,Water,Grassland
122,NULL,NULL,Water,Non_Water,Water,Wetland
123,NULL,NULL,Water,Non_Water,Water,Lichens_and_Mosses
124,NULL,NULL,Water,Non_Water,Water,Bareland
125,NULL,NULL,Water,Non_Water,Water,Water
126,NULL,NULL,Water,Water,Water,Grassland
127,NULL,NULL,Water,Water,Water,Wetland
128,NULL,NULL,Water,Water,Water,Lichens_and_Mosses
129,NULL,NULL,Water,Water,Water,Bareland
130,NULL,NULL,Water,Water,Water,Water
131,NULL,NULL,Water,Water,Water,Forest
132,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
133,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
134,NULL,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
135,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
136,NULL,NULL,Forest,NULL,Non_Wetland,Water
137,NULL,NULL,Forest,NULL,Non_Wetland,Forest
138,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
139,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
140,NULL,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
141,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland
142,NULL,NULL,Forest,Non_Water,Non_Wetland,Water
143,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
144,NULL,NULL,Forest,Water,Non_Wetland,Grassland
145,NULL,NULL,Forest,Water,Non_Wetland,Wetland
146,NULL,NULL,Forest,Water,Non_Wetland,Lichens_and_Mosses
147,NULL,NULL,Forest,Water,Non_Wetland,Bareland
148,NULL,NULL,Forest,Water,Non_Wetland,Water
149,NULL,NULL,Forest,Water,Non_Wetland,Forest
150,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland
151,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland
152,NULL,Wetland,NULL,NULL,Non_Wetland,Bareland
153,NULL,Wetland,NULL,NULL,Non_Wetland,Water
154,NULL,Wetland,NULL,NULL,Non_Wetland,Forest
155,NULL,Wetland,NULL,Non_Water,Non_Wetland,Grassland
156,NULL,Wetland,NULL,Non_Water,Non_Wetland,Wetland
157,NULL,Wetland,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
158,NULL,Wetland,NULL,Non_Water,Non_Wetland,Bareland
159,NULL,Wetland,NULL,Non_Water,Non_Wetland,Water
160,NULL,Wetland,NULL,Non_Water,Non_Wetland,Forest
161,NULL,Wetland,NULL,Water,Non_Wetland,Grassland
162,NULL,Wetland,NULL,Water,Non_Wetland,Wetland
163,NULL,Wetland,NULL,Water,Non_Wetland,Water
164,NULL,Wetland,NULL,Water,Non_Wetland,Forest
165,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
166,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
167,NULL,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
168,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland
169,NULL,Wetland,Shrubland,NULL,Non_Wetland,Water
170,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
171,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
172,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
173,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
174,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland
175,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Water
176,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
177,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland
178,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland
179,NULL,Wetland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
180,NULL,Wetland,Shrubland,Water,Non_Wetland,Bareland
181,NULL,Wetland,Shrubland,Water,Non_Wetland,Water
182,NULL,Wetland,Shrubland,Water,Non_Wetland,Forest
183,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
184,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland
185,NULL,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
186,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland
187,NULL,Wetland,Grassland,NULL,Non_Wetland,Water
188,NULL,Wetland,Grassland,NULL,Non_Wetland,Forest
189,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
190,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
191,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
192,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Bareland
193,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Water
194,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Forest
195,NULL,Wetland,Grassland,Water,Non_Wetland,Grassland
196,NULL,Wetland,Grassland,Water,Non_Wetland,Wetland
197,NULL,Wetland,Grassland,Water,Non_Wetland,Lichens_and_Mosses
198,NULL,Wetland,Grassland,Water,Non_Wetland,Bareland
199,NULL,Wetland,Grassland,Water,Non_Wetland,Water
200,NULL,Wetland,Grassland,Water,Non_Wetland,Forest
201,NULL,Wetland,Wetland,NULL,Wetland,Grassland
202,NULL,Wetland,Wetland,NULL,Wetland,Wetland
203,NULL,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
204,NULL,Wetland,Wetland,NULL,Wetland,Bareland
205,NULL,Wetland,Wetland,NULL,Wetland,Water
206,NULL,Wetland,Wetland,NULL,Wetland,Forest
207,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland
208,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland
209,NULL,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
210,NULL,Wetland,Wetland,Non_Water,Wetland,Bareland
211,NULL,Wetland,Wetland,Non_Water,Wetland,Water
212,NULL,Wetland,Wetland,Non_Water,Wetland,Forest
213,NULL,Wetland,Wetland,Water,Wetland,Grassland
214,NULL,Wetland,Wetland,Water,Wetland,Wetland
215,NULL,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
216,NULL,Wetland,Wetland,Water,Wetland,Bareland
217,NULL,Wetland,Wetland,Water,Wetland,Water
218,NULL,Wetland,Wetland,Water,Wetland,Forest
219,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
220,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
221,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
222,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
223,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
224,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
225,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
226,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
227,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
228,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
229,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
230,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
231,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
232,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
233,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
234,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
235,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
236,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Forest
237,NULL,Wetland,Bareland,NULL,Non_Wetland,Grassland
238,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland
239,NULL,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
240,NULL,Wetland,Bareland,NULL,Non_Wetland,Bareland
241,NULL,Wetland,Bareland,NULL,Non_Wetland,Built-up
242,NULL,Wetland,Bareland,NULL,Non_Wetland,Water
243,NULL,Wetland,Bareland,NULL,Non_Wetland,Forest
244,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
245,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
246,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
247,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
248,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Built-up
249,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Water
250,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Forest
251,NULL,Wetland,Bareland,Water,Non_Wetland,Grassland
252,NULL,Wetland,Bareland,Water,Non_Wetland,Wetland
253,NULL,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
254,NULL,Wetland,Bareland,Water,Non_Wetland,Bareland
255,NULL,Wetland,Bareland,Water,Non_Wetland,Water
256,NULL,Wetland,Bareland,Water,Non_Wetland,Forest
257,NULL,Wetland,Built-up,NULL,Non_Wetland,Grassland
258,NULL,Wetland,Built-up,NULL,Non_Wetland,Wetland
259,NULL,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
260,NULL,Wetland,Built-up,NULL,Non_Wetland,Bareland
261,NULL,Wetland,Built-up,NULL,Non_Wetland,Built-up
262,NULL,Wetland,Built-up,NULL,Non_Wetland,Water
263,NULL,Wetland,Built-up,NULL,Non_Wetland,Forest
264,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Grassland
265,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
266,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
267,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Bareland
268,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Water
269,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Forest
270,NULL,Wetland,Built-up,Water,Non_Wetland,Grassland
271,NULL,Wetland,Built-up,Water,Non_Wetland,Wetland
272,NULL,Wetland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
273,NULL,Wetland,Built-up,Water,Non_Wetland,Bareland
274,NULL,Wetland,Built-up,Water,Non_Wetland,Built-up
275,NULL,Wetland,Built-up,Water,Non_Wetland,Water
276,NULL,Wetland,Built-up,Water,Non_Wetland,Forest
277,NULL,Wetland,Water,NULL,Water,Grassland
278,NULL,Wetland,Water,NULL,Water,Wetland
279,NULL,Wetland,Water,NULL,Water,Lichens_and_Mosses
280,NULL,Wetland,Water,NULL,Water,Bareland
281,NULL,Wetland,Water,NULL,Water,Water
282,NULL,Wetland,Water,NULL,Water,Forest
283,NULL,Wetland,Water,Non_Water,Water,Grassland
284,NULL,Wetland,Water,Non_Water,Water,Wetland
285,NULL,Wetland,Water,Non_Water,Water,Lichens_and_Mosses
286,NULL,Wetland,Water,Non_Water,Water,Bareland
287,NULL,Wetland,Water,Non_Water,Water,Water
288,NULL,Wetland,Water,Non_Water,Water,Forest
289,NULL,Wetland,Water,Water,Water,NULL
290,NULL,Wetland,Water,Water,Water,Grassland
291,NULL,Wetland,Water,Water,Water,Wetland
292,NULL,Wetland,Water,Water,Water,Lichens_and_Mosses
293,NULL,Wetland,Water,Water,Water,Bareland
294,NULL,Wetland,Water,Water,Water,Water
295,NULL,Wetland,Water,Water,Water,Forest
296,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
297,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
298,NULL,Wetland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
299,NULL,Wetland,Forest,NULL,Non_Wetland,Bareland
300,NULL,Wetland,Forest,NULL,Non_Wetland,Water
301,NULL,Wetland,Forest,NULL,Non_Wetland,Permanent_ice_and_snow
302,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
303,NULL,Wetland,Forest,Non_Water,Non_Wetland,Grassland
304,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland
305,NULL,Wetland,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
306,NULL,Wetland,Forest,Non_Water,Non_Wetland,Bareland
307,NULL,Wetland,Forest,Non_Water,Non_Wetland,Water
308,NULL,Wetland,Forest,Non_Water,Non_Wetland,Forest
309,NULL,Wetland,Forest,Water,Non_Wetland,NULL
310,NULL,Wetland,Forest,Water,Non_Wetland,Grassland
311,NULL,Wetland,Forest,Water,Non_Wetland,Wetland
312,NULL,Wetland,Forest,Water,Non_Wetland,Lichens_and_Mosses
313,NULL,Wetland,Forest,Water,Non_Wetland,Bareland
314,NULL,Wetland,Forest,Water,Non_Wetland,Water
315,NULL,Wetland,Forest,Water,Non_Wetland,Forest
316,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
317,NULL,Bareland,Shrubland,NULL,Non_Wetland,Wetland
318,NULL,Bareland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
319,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
320,NULL,Bareland,Shrubland,NULL,Non_Wetland,Water
321,NULL,Bareland,Shrubland,NULL,Non_Wetland,Forest
322,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
323,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Bareland
324,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Water
325,NULL,Bareland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
326,NULL,Bareland,Shrubland,Water,Non_Wetland,Bareland
327,NULL,Bareland,Shrubland,Water,Non_Wetland,Water
328,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
329,NULL,Bareland,Grassland,NULL,Non_Wetland,Wetland
330,NULL,Bareland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
331,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
332,NULL,Bareland,Grassland,NULL,Non_Wetland,Water
333,NULL,Bareland,Grassland,NULL,Non_Wetland,Forest
334,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Grassland
335,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
336,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Bareland
337,NULL,Bareland,Grassland,Water,Non_Wetland,Lichens_and_Mosses
338,NULL,Bareland,Grassland,Water,Non_Wetland,Bareland
339,NULL,Bareland,Grassland,Water,Non_Wetland,Water
340,NULL,Bareland,Wetland,NULL,Wetland,Grassland
341,NULL,Bareland,Wetland,NULL,Wetland,Wetland
342,NULL,Bareland,Wetland,NULL,Wetland,Lichens_and_Mosses
343,NULL,Bareland,Wetland,NULL,Wetland,Bareland
344,NULL,Bareland,Wetland,NULL,Wetland,Water
345,NULL,Bareland,Wetland,NULL,Wetland,Forest
346,NULL,Bareland,Wetland,Non_Water,Wetland,Grassland
347,NULL,Bareland,Wetland,Non_Water,Wetland,Wetland
348,NULL,Bareland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
349,NULL,Bareland,Wetland,Non_Water,Wetland,Bareland
350,NULL,Bareland,Wetland,Non_Water,Wetland,Water
351,NULL,Bareland,Wetland,Water,Wetland,Grassland
352,NULL,Bareland,Wetland,Water,Wetland,Wetland
353,NULL,Bareland,Wetland,Water,Wetland,Lichens_and_Mosses
354,NULL,Bareland,Wetland,Water,Wetland,Bareland
355,NULL,Bareland,Wetland,Water,Wetland,Water
356,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
357,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
358,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
359,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
360,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Water
361,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
362,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
363,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
364,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
365,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
366,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
367,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
368,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
369,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
370,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
371,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Water
372,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
373,NULL,Bareland,Bareland,NULL,Non_Wetland,Wetland
374,NULL,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
375,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
376,NULL,Bareland,Bareland,NULL,Non_Wetland,Built-up
377,NULL,Bareland,Bareland,NULL,Non_Wetland,Water
378,NULL,Bareland,Bareland,NULL,Non_Wetland,Forest
379,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
380,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Wetland
381,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
382,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
383,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Water
384,NULL,Bareland,Bareland,Water,Non_Wetland,Grassland
385,NULL,Bareland,Bareland,Water,Non_Wetland,Wetland
386,NULL,Bareland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
387,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland
388,NULL,Bareland,Bareland,Water,Non_Wetland,Built-up
389,NULL,Bareland,Bareland,Water,Non_Wetland,Water
390,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland
391,NULL,Bareland,Built-up,NULL,Non_Wetland,Wetland
392,NULL,Bareland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
393,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
394,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up
395,NULL,Bareland,Built-up,NULL,Non_Wetland,Water
396,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Grassland
397,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Wetland
398,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
399,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
400,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Built-up
401,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Water
402,NULL,Bareland,Built-up,Water,Non_Wetland,Wetland
403,NULL,Bareland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
404,NULL,Bareland,Built-up,Water,Non_Wetland,Bareland
