Value,SIBERIA_2024_ESRI_Annual_LULC_2024_44VMN_M_R,SIBERIA_2024_GLC_FCS30D_2022_44VMN_M_R,SIBERIA_2024_GSW_Yearly_2021_44VMN_M_R,SIBERIA_2024_GWL_FCS30D_2022_44VMN_M_R,SIBERIA_2024_WorldCover_2021_44VMN_M_R
265,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
266,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
267,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
268,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
269,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
270,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
271,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
272,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
273,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
274,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Forest
275,Wetland,Bareland,NULL,Non_Wetland,NULL
276,Wetland,Bareland,NULL,Non_Wetland,Grassland
277,Wetland,Bareland,NULL,Non_Wetland,Cropland
278,Wetland,Bareland,NULL,Non_Wetland,Wetland
279,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
280,Wetland,Bareland,NULL,Non_Wetland,Bareland
281,Wetland,Bareland,NULL,Non_Wetland,Built-up
282,Wetland,Bareland,NULL,Non_Wetland,Water
283,Wetland,Bareland,NULL,Non_Wetland,Forest
284,Wetland,Bareland,Non_Water,Non_Wetland,NULL
285,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
286,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
287,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
288,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
289,Wetland,Bareland,Non_Water,Non_Wetland,Built-up
290,Wetland,Bareland,Non_Water,Non_Wetland,Water
291,Wetland,Bareland,Non_Water,Non_Wetland,Forest
292,Wetland,Bareland,Water,Non_Wetland,NULL
293,Wetland,Bareland,Water,Non_Wetland,Grassland
294,Wetland,Bareland,Water,Non_Wetland,Cropland
295,Wetland,Bareland,Water,Non_Wetland,Wetland
296,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
297,Wetland,Bareland,Water,Non_Wetland,Bareland
298,Wetland,Bareland,Water,Non_Wetland,Built-up
299,Wetland,Bareland,Water,Non_Wetland,Water
300,Wetland,Bareland,Water,Non_Wetland,Forest
301,Wetland,Built-up,NULL,Non_Wetland,NULL
302,Wetland,Built-up,NULL,Non_Wetland,Grassland
303,Wetland,Built-up,NULL,Non_Wetland,Cropland
304,Wetland,Built-up,NULL,Non_Wetland,Wetland
305,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
306,Wetland,Built-up,NULL,Non_Wetland,Bareland
307,Wetland,Built-up,NULL,Non_Wetland,Built-up
308,Wetland,Built-up,NULL,Non_Wetland,Water
309,Wetland,Built-up,NULL,Non_Wetland,Forest
310,Wetland,Built-up,Non_Water,Non_Wetland,Grassland
311,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
312,Wetland,Built-up,Non_Water,Non_Wetland,Built-up
313,Wetland,Built-up,Non_Water,Non_Wetland,Water
314,Wetland,Built-up,Non_Water,Non_Wetland,Forest
315,Wetland,Built-up,Water,Non_Wetland,Grassland
316,Wetland,Built-up,Water,Non_Wetland,Wetland
317,Wetland,Built-up,Water,Non_Wetland,Bareland
318,Wetland,Built-up,Water,Non_Wetland,Built-up
319,Wetland,Built-up,Water,Non_Wetland,Water
320,Wetland,Built-up,Water,Non_Wetland,Forest
321,Wetland,Water,NULL,Water,NULL
322,Wetland,Water,NULL,Water,Grassland
323,Wetland,Water,NULL,Water,Wetland
324,Wetland,Water,NULL,Water,Bareland
325,Wetland,Water,NULL,Water,Water
326,Wetland,Water,NULL,Water,Forest
327,Wetland,Water,Non_Water,Water,NULL
328,Wetland,Water,Non_Water,Water,Grassland
329,Wetland,Water,Non_Water,Water,Wetland
330,Wetland,Water,Non_Water,Water,Lichens_and_Mosses
331,Wetland,Water,Non_Water,Water,Bareland
332,Wetland,Water,Non_Water,Water,Water
333,Wetland,Water,Non_Water,Water,Forest
334,Wetland,Water,Water,Water,NULL
335,Wetland,Water,Water,Water,Grassland
336,Wetland,Water,Water,Water,Cropland
337,Wetland,Water,Water,Water,Wetland
338,Wetland,Water,Water,Water,Lichens_and_Mosses
339,Wetland,Water,Water,Water,Bareland
340,Wetland,Water,Water,Water,Built-up
341,Wetland,Water,Water,Water,Water
342,Wetland,Water,Water,Water,Forest
343,Wetland,Forest,NULL,Non_Wetland,NULL
344,Wetland,Forest,NULL,Non_Wetland,Grassland
345,Wetland,Forest,NULL,Non_Wetland,Wetland
346,Wetland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
347,Wetland,Forest,NULL,Non_Wetland,Bareland
348,Wetland,Forest,NULL,Non_Wetland,Built-up
349,Wetland,Forest,NULL,Non_Wetland,Water
350,Wetland,Forest,NULL,Non_Wetland,Forest
351,Wetland,Forest,Non_Water,Non_Wetland,NULL
352,Wetland,Forest,Non_Water,Non_Wetland,Grassland
353,Wetland,Forest,Non_Water,Non_Wetland,Cropland
354,Wetland,Forest,Non_Water,Non_Wetland,Wetland
355,Wetland,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
356,Wetland,Forest,Non_Water,Non_Wetland,Water
357,Wetland,Forest,Non_Water,Non_Wetland,Forest
358,Wetland,Forest,Water,Non_Wetland,NULL
359,Wetland,Forest,Water,Non_Wetland,Grassland
360,Wetland,Forest,Water,Non_Wetland,Cropland
361,Wetland,Forest,Water,Non_Wetland,Wetland
362,Wetland,Forest,Water,Non_Wetland,Lichens_and_Mosses
363,Wetland,Forest,Water,Non_Wetland,Bareland
364,Wetland,Forest,Water,Non_Wetland,Water
365,Wetland,Forest,Water,Non_Wetland,Forest
366,Bareland,NULL,NULL,Non_Wetland,Water
367,Bareland,NULL,NULL,Non_Wetland,Forest
368,Bareland,NULL,Water,Non_Wetland,Grassland
369,Bareland,NULL,Water,Non_Wetland,Water
370,Bareland,NULL,Water,Non_Wetland,Forest
371,Bareland,Shrubland,NULL,Non_Wetland,Bareland
372,Bareland,Shrubland,NULL,Non_Wetland,Forest
373,Bareland,Grassland,NULL,Non_Wetland,Bareland
374,Bareland,Grassland,NULL,Non_Wetland,Forest
375,Bareland,Wetland,NULL,Wetland,Grassland
376,Bareland,Wetland,NULL,Wetland,Bareland
377,Bareland,Wetland,NULL,Wetland,Water
378,Bareland,Wetland,NULL,Wetland,Forest
379,Bareland,Wetland,Non_Water,Wetland,Water
380,Bareland,Wetland,Water,Wetland,Grassland
381,Bareland,Wetland,Water,Wetland,Wetland
382,Bareland,Wetland,Water,Wetland,Lichens_and_Mosses
383,Bareland,Wetland,Water,Wetland,Bareland
384,Bareland,Wetland,Water,Wetland,Water
385,Bareland,Wetland,Water,Wetland,Forest
386,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
387,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Water
388,Bareland,Bareland,NULL,Non_Wetland,Grassland
389,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
390,Bareland,Bareland,NULL,Non_Wetland,Bareland
391,Bareland,Bareland,NULL,Non_Wetland,Built-up
392,Bareland,Bareland,NULL,Non_Wetland,Water
393,Bareland,Bareland,NULL,Non_Wetland,Forest
394,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
395,Bareland,Bareland,Water,Non_Wetland,Grassland
396,Bareland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
397,Bareland,Bareland,Water,Non_Wetland,Bareland
398,Bareland,Bareland,Water,Non_Wetland,Water
399,Bareland,Built-up,NULL,Non_Wetland,Grassland
400,Bareland,Built-up,NULL,Non_Wetland,Bareland
401,Bareland,Built-up,NULL,Non_Wetland,Built-up
402,Bareland,Built-up,Water,Non_Wetland,Water
403,Bareland,Water,NULL,Water,Bareland
404,Bareland,Water,NULL,Water,Water
405,Bareland,Water,NULL,Water,Forest
406,Bareland,Water,Non_Water,Water,Bareland
407,Bareland,Water,Non_Water,Water,Water
408,Bareland,Water,Water,Water,Grassland
409,Bareland,Water,Water,Water,Wetland
410,Bareland,Water,Water,Water,Lichens_and_Mosses
411,Bareland,Water,Water,Water,Bareland
412,Bareland,Water,Water,Water,Water
413,Bareland,Water,Water,Water,Forest
414,Bareland,Forest,NULL,Non_Wetland,Grassland
415,Bareland,Forest,NULL,Non_Wetland,Bareland
416,Bareland,Forest,NULL,Non_Wetland,Water
417,Bareland,Forest,NULL,Non_Wetland,Forest
418,Bareland,Forest,Water,Non_Wetland,Grassland
419,Bareland,Forest,Water,Non_Wetland,Water
420,Bareland,Forest,Water,Non_Wetland,Forest
421,Built-up,NULL,NULL,Non_Wetland,Grassland
422,Built-up,NULL,NULL,Non_Wetland,Forest
423,Built-up,Shrubland,NULL,Non_Wetland,NULL
424,Built-up,Shrubland,NULL,Non_Wetland,Grassland
425,Built-up,Shrubland,NULL,Non_Wetland,Bareland
426,Built-up,Shrubland,NULL,Non_Wetland,Built-up
427,Built-up,Shrubland,NULL,Non_Wetland,Forest
428,Built-up,Grassland,NULL,Non_Wetland,Grassland
429,Built-up,Grassland,NULL,Non_Wetland,Cropland
430,Built-up,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
431,Built-up,Grassland,NULL,Non_Wetland,Built-up
432,Built-up,Grassland,NULL,Non_Wetland,Forest
433,Built-up,Grassland,Water,Non_Wetland,Forest
434,Built-up,Cropland,NULL,Non_Wetland,Grassland
435,Built-up,Cropland,NULL,Non_Wetland,Forest
436,Built-up,Wetland,NULL,Wetland,NULL
437,Built-up,Wetland,NULL,Wetland,Grassland
438,Built-up,Wetland,NULL,Wetland,Wetland
439,Built-up,Wetland,NULL,Wetland,Built-up
440,Built-up,Wetland,NULL,Wetland,Forest
441,Built-up,Wetland,Non_Water,Wetland,Forest
442,Built-up,Wetland,Water,Wetland,Grassland
443,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
444,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
445,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Forest
446,Built-up,Bareland,NULL,Non_Wetland,NULL
447,Built-up,Bareland,NULL,Non_Wetland,Grassland
448,Built-up,Bareland,NULL,Non_Wetland,Wetland
449,Built-up,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
450,Built-up,Bareland,NULL,Non_Wetland,Bareland
451,Built-up,Bareland,NULL,Non_Wetland,Built-up
452,Built-up,Bareland,NULL,Non_Wetland,Water
453,Built-up,Bareland,NULL,Non_Wetland,Forest
454,Built-up,Bareland,Non_Water,Non_Wetland,Grassland
455,Built-up,Bareland,Non_Water,Non_Wetland,Bareland
456,Built-up,Bareland,Non_Water,Non_Wetland,Built-up
457,Built-up,Bareland,Non_Water,Non_Wetland,Forest
458,Built-up,Bareland,Water,Non_Wetland,Bareland
459,Built-up,Bareland,Water,Non_Wetland,Built-up
460,Built-up,Bareland,Water,Non_Wetland,Forest
461,Built-up,Built-up,NULL,Non_Wetland,Grassland
462,Built-up,Built-up,NULL,Non_Wetland,Cropland
463,Built-up,Built-up,NULL,Non_Wetland,Wetland
464,Built-up,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
465,Built-up,Built-up,NULL,Non_Wetland,Bareland
466,Built-up,Built-up,NULL,Non_Wetland,Built-up
467,Built-up,Built-up,NULL,Non_Wetland,Forest
468,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
469,Built-up,Built-up,Non_Water,Non_Wetland,Forest
470,Built-up,Built-up,Water,Non_Wetland,Grassland
471,Built-up,Built-up,Water,Non_Wetland,Bareland
472,Built-up,Water,NULL,Water,Forest
473,Built-up,Forest,NULL,Non_Wetland,NULL
474,Built-up,Forest,NULL,Non_Wetland,Grassland
475,Built-up,Forest,NULL,Non_Wetland,Cropland
476,Built-up,Forest,NULL,Non_Wetland,Wetland
477,Built-up,Forest,NULL,Non_Wetland,Bareland
478,Built-up,Forest,NULL,Non_Wetland,Built-up
479,Built-up,Forest,NULL,Non_Wetland,Forest
480,Built-up,Forest,Non_Water,Non_Wetland,Grassland
481,Built-up,Forest,Non_Water,Non_Wetland,Built-up
482,Built-up,Forest,Non_Water,Non_Wetland,Forest
483,Built-up,Forest,Water,Non_Wetland,Forest
484,Water,NULL,NULL,Non_Wetland,Grassland
485,Water,NULL,NULL,Non_Wetland,Wetland
486,Water,NULL,NULL,Non_Wetland,Water
487,Water,NULL,NULL,Non_Wetland,Forest
