Value,SIBERIA_2024_ESRI_Annual_LULC_2024_43WEM_M_R,SIBERIA_2024_GLC_FCS30D_2022_43WEM_M_R,SIBERIA_2024_GSW_Yearly_2021_43WEM_M_R,SIBERIA_2024_GWL_FCS30D_2022_43WEM_M_R,SIBERIA_2024_WorldCover_2021_43WEM_M_R
261,Wetland,Wetland,Non_Water,Wetland,Wetland
262,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
263,Wetland,Wetland,Non_Water,Wetland,Bareland
264,Wetland,Wetland,Non_Water,Wetland,Water
265,Wetland,Wetland,Non_Water,Wetland,Forest
266,Wetland,Wetland,Water,Wetland,Grassland
267,Wetland,Wetland,Water,Wetland,Wetland
268,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
269,Wetland,Wetland,Water,Wetland,Bareland
270,Wetland,Wetland,Water,Wetland,Built-up
271,Wetland,Wetland,Water,Wetland,Water
272,Wetland,Wetland,Water,Wetland,Forest
273,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
274,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
275,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
276,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
277,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
278,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
279,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
280,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
281,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
282,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
283,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
284,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
285,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
286,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
287,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
288,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
289,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
290,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
291,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Forest
292,Wetland,Bareland,NULL,Non_Wetland,NULL
293,Wetland,Bareland,NULL,Non_Wetland,Grassland
294,Wetland,Bareland,NULL,Non_Wetland,Wetland
295,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
296,Wetland,Bareland,NULL,Non_Wetland,Bareland
297,Wetland,Bareland,NULL,Non_Wetland,Built-up
298,Wetland,Bareland,NULL,Non_Wetland,Water
299,Wetland,Bareland,NULL,Non_Wetland,Permanent_ice_and_snow
300,Wetland,Bareland,NULL,Non_Wetland,Forest
301,Wetland,Bareland,Non_Water,Non_Wetland,NULL
302,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
303,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
304,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
305,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
306,Wetland,Bareland,Non_Water,Non_Wetland,Built-up
307,Wetland,Bareland,Non_Water,Non_Wetland,Water
308,Wetland,Bareland,Non_Water,Non_Wetland,Forest
309,Wetland,Bareland,Water,Non_Wetland,Grassland
310,Wetland,Bareland,Water,Non_Wetland,Wetland
311,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
312,Wetland,Bareland,Water,Non_Wetland,Bareland
313,Wetland,Bareland,Water,Non_Wetland,Built-up
314,Wetland,Bareland,Water,Non_Wetland,Water
315,Wetland,Bareland,Water,Non_Wetland,Forest
316,Wetland,Built-up,NULL,Non_Wetland,Grassland
317,Wetland,Built-up,NULL,Non_Wetland,Wetland
318,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
319,Wetland,Built-up,NULL,Non_Wetland,Bareland
320,Wetland,Built-up,NULL,Non_Wetland,Built-up
321,Wetland,Built-up,NULL,Non_Wetland,Water
322,Wetland,Built-up,NULL,Non_Wetland,Forest
323,Wetland,Built-up,Non_Water,Non_Wetland,Grassland
324,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
325,Wetland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
326,Wetland,Built-up,Non_Water,Non_Wetland,Bareland
327,Wetland,Built-up,Non_Water,Non_Wetland,Built-up
328,Wetland,Built-up,Non_Water,Non_Wetland,Water
329,Wetland,Built-up,Non_Water,Non_Wetland,Forest
330,Wetland,Built-up,Water,Non_Wetland,Wetland
331,Wetland,Built-up,Water,Non_Wetland,Bareland
332,Wetland,Built-up,Water,Non_Wetland,Built-up
333,Wetland,Built-up,Water,Non_Wetland,Water
334,Wetland,Built-up,Water,Non_Wetland,Forest
335,Wetland,Water,NULL,Water,Grassland
336,Wetland,Water,NULL,Water,Wetland
337,Wetland,Water,NULL,Water,Lichens_and_Mosses
338,Wetland,Water,NULL,Water,Bareland
339,Wetland,Water,NULL,Water,Built-up
340,Wetland,Water,NULL,Water,Water
341,Wetland,Water,NULL,Water,Forest
342,Wetland,Water,Non_Water,Water,Grassland
343,Wetland,Water,Non_Water,Water,Wetland
344,Wetland,Water,Non_Water,Water,Lichens_and_Mosses
345,Wetland,Water,Non_Water,Water,Bareland
346,Wetland,Water,Non_Water,Water,Water
347,Wetland,Water,Non_Water,Water,Forest
348,Wetland,Water,Water,Water,Grassland
349,Wetland,Water,Water,Water,Wetland
350,Wetland,Water,Water,Water,Lichens_and_Mosses
351,Wetland,Water,Water,Water,Bareland
352,Wetland,Water,Water,Water,Built-up
353,Wetland,Water,Water,Water,Water
354,Wetland,Water,Water,Water,Permanent_ice_and_snow
355,Wetland,Water,Water,Water,Forest
356,Wetland,Forest,NULL,Non_Wetland,NULL
357,Wetland,Forest,NULL,Non_Wetland,Grassland
358,Wetland,Forest,NULL,Non_Wetland,Wetland
359,Wetland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
360,Wetland,Forest,NULL,Non_Wetland,Bareland
361,Wetland,Forest,NULL,Non_Wetland,Built-up
362,Wetland,Forest,NULL,Non_Wetland,Water
363,Wetland,Forest,NULL,Non_Wetland,Forest
364,Wetland,Forest,Non_Water,Non_Wetland,NULL
365,Wetland,Forest,Non_Water,Non_Wetland,Grassland
366,Wetland,Forest,Non_Water,Non_Wetland,Wetland
367,Wetland,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
368,Wetland,Forest,Non_Water,Non_Wetland,Bareland
369,Wetland,Forest,Non_Water,Non_Wetland,Built-up
370,Wetland,Forest,Non_Water,Non_Wetland,Water
371,Wetland,Forest,Non_Water,Non_Wetland,Forest
372,Wetland,Forest,Water,Non_Wetland,Grassland
373,Wetland,Forest,Water,Non_Wetland,Wetland
374,Wetland,Forest,Water,Non_Wetland,Lichens_and_Mosses
375,Wetland,Forest,Water,Non_Wetland,Bareland
376,Wetland,Forest,Water,Non_Wetland,Water
377,Wetland,Forest,Water,Non_Wetland,Forest
378,Bareland,NULL,NULL,Non_Wetland,Grassland
379,Bareland,NULL,NULL,Non_Wetland,Wetland
380,Bareland,NULL,NULL,Non_Wetland,Water
381,Bareland,NULL,NULL,Non_Wetland,Forest
382,Bareland,NULL,Water,Non_Wetland,Forest
383,Bareland,Shrubland,NULL,Non_Wetland,Grassland
384,Bareland,Shrubland,NULL,Non_Wetland,Wetland
385,Bareland,Shrubland,NULL,Non_Wetland,Bareland
386,Bareland,Shrubland,NULL,Non_Wetland,Water
387,Bareland,Shrubland,NULL,Non_Wetland,Forest
388,Bareland,Shrubland,Non_Water,Non_Wetland,Grassland
389,Bareland,Shrubland,Water,Non_Wetland,Grassland
390,Bareland,Shrubland,Water,Non_Wetland,Wetland
391,Bareland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
392,Bareland,Shrubland,Water,Non_Wetland,Bareland
393,Bareland,Grassland,NULL,Non_Wetland,Grassland
394,Bareland,Grassland,NULL,Non_Wetland,Bareland
395,Bareland,Grassland,Non_Water,Non_Wetland,Grassland
396,Bareland,Grassland,Water,Non_Wetland,Grassland
397,Bareland,Grassland,Water,Non_Wetland,Wetland
398,Bareland,Grassland,Water,Non_Wetland,Water
399,Bareland,Wetland,NULL,Wetland,Grassland
400,Bareland,Wetland,NULL,Wetland,Wetland
401,Bareland,Wetland,NULL,Wetland,Lichens_and_Mosses
402,Bareland,Wetland,NULL,Wetland,Bareland
403,Bareland,Wetland,NULL,Wetland,Water
404,Bareland,Wetland,NULL,Wetland,Forest
405,Bareland,Wetland,Non_Water,Wetland,Grassland
406,Bareland,Wetland,Non_Water,Wetland,Wetland
407,Bareland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
408,Bareland,Wetland,Non_Water,Wetland,Bareland
409,Bareland,Wetland,Non_Water,Wetland,Water
410,Bareland,Wetland,Non_Water,Wetland,Forest
411,Bareland,Wetland,Water,Wetland,Grassland
412,Bareland,Wetland,Water,Wetland,Wetland
413,Bareland,Wetland,Water,Wetland,Lichens_and_Mosses
414,Bareland,Wetland,Water,Wetland,Bareland
415,Bareland,Wetland,Water,Wetland,Water
416,Bareland,Wetland,Water,Wetland,Forest
417,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
418,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
419,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Water
420,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
421,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
422,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
423,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
424,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
425,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
426,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
427,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Water
428,Bareland,Bareland,NULL,Non_Wetland,NULL
429,Bareland,Bareland,NULL,Non_Wetland,Grassland
430,Bareland,Bareland,NULL,Non_Wetland,Wetland
431,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
432,Bareland,Bareland,NULL,Non_Wetland,Bareland
433,Bareland,Bareland,NULL,Non_Wetland,Built-up
434,Bareland,Bareland,NULL,Non_Wetland,Water
435,Bareland,Bareland,NULL,Non_Wetland,Forest
436,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
437,Bareland,Bareland,Non_Water,Non_Wetland,Wetland
438,Bareland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
439,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
440,Bareland,Bareland,Non_Water,Non_Wetland,Built-up
441,Bareland,Bareland,Non_Water,Non_Wetland,Water
442,Bareland,Bareland,Non_Water,Non_Wetland,Forest
443,Bareland,Bareland,Water,Non_Wetland,Grassland
444,Bareland,Bareland,Water,Non_Wetland,Wetland
445,Bareland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
446,Bareland,Bareland,Water,Non_Wetland,Bareland
447,Bareland,Bareland,Water,Non_Wetland,Water
448,Bareland,Bareland,Water,Non_Wetland,Forest
449,Bareland,Built-up,NULL,Non_Wetland,Grassland
450,Bareland,Built-up,NULL,Non_Wetland,Wetland
451,Bareland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
452,Bareland,Built-up,NULL,Non_Wetland,Bareland
453,Bareland,Built-up,NULL,Non_Wetland,Built-up
454,Bareland,Built-up,NULL,Non_Wetland,Water
455,Bareland,Built-up,NULL,Non_Wetland,Forest
456,Bareland,Built-up,Non_Water,Non_Wetland,Grassland
457,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
458,Bareland,Built-up,Non_Water,Non_Wetland,Built-up
459,Bareland,Built-up,Non_Water,Non_Wetland,Water
460,Bareland,Built-up,Water,Non_Wetland,Grassland
461,Bareland,Built-up,Water,Non_Wetland,Bareland
462,Bareland,Built-up,Water,Non_Wetland,Water
463,Bareland,Water,NULL,Water,Grassland
464,Bareland,Water,NULL,Water,Wetland
465,Bareland,Water,NULL,Water,Lichens_and_Mosses
466,Bareland,Water,NULL,Water,Bareland
467,Bareland,Water,NULL,Water,Water
468,Bareland,Water,NULL,Water,Forest
469,Bareland,Water,Non_Water,Water,Grassland
470,Bareland,Water,Non_Water,Water,Wetland
471,Bareland,Water,Non_Water,Water,Lichens_and_Mosses
472,Bareland,Water,Non_Water,Water,Bareland
473,Bareland,Water,Non_Water,Water,Water
474,Bareland,Water,Non_Water,Water,Forest
