Value,SIBERIA_2024_ESA_CALU_2024_44XPF_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_44XPF_M_R,SIBERIA_2024_GLC_FCS30D_2022_44XPF_M_R,SIBERIA_2024_GSW_Yearly_2021_44XPF_M_R,SIBERIA_2024_GWL_FCS30D_2022_44XPF_M_R,SIBERIA_2024_WorldCover_2021_44XPF_M_R
108,NULL,NULL,Water,Non_Water,Water,Grassland
109,NULL,NULL,Water,Non_Water,Water,Wetland
110,NULL,NULL,Water,Non_Water,Water,Lichens_and_Mosses
111,NULL,NULL,Water,Non_Water,Water,Water
112,NULL,NULL,Water,Water,Water,Grassland
113,NULL,NULL,Water,Water,Water,Wetland
114,NULL,NULL,Water,Water,Water,Lichens_and_Mosses
115,NULL,NULL,Water,Water,Water,Bareland
116,NULL,NULL,Water,Water,Water,Water
117,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
118,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
119,NULL,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
120,NULL,NULL,Forest,NULL,Non_Wetland,Water
121,NULL,NULL,Forest,NULL,Non_Wetland,Forest
122,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
123,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
124,NULL,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
125,NULL,NULL,Forest,Non_Water,Non_Wetland,Water
126,NULL,NULL,Forest,Water,Non_Wetland,Grassland
127,NULL,NULL,Forest,Water,Non_Wetland,Wetland
128,NULL,NULL,Forest,Water,Non_Wetland,Lichens_and_Mosses
129,NULL,NULL,Forest,Water,Non_Wetland,Water
130,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland
131,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland
132,NULL,Wetland,NULL,NULL,Non_Wetland,Lichens_and_Mosses
133,NULL,Wetland,NULL,NULL,Non_Wetland,Water
134,NULL,Wetland,NULL,Non_Water,Non_Wetland,Grassland
135,NULL,Wetland,NULL,Non_Water,Non_Wetland,Wetland
136,NULL,Wetland,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
137,NULL,Wetland,NULL,Non_Water,Non_Wetland,Water
138,NULL,Wetland,NULL,Water,Non_Wetland,Grassland
139,NULL,Wetland,NULL,Water,Non_Wetland,Wetland
140,NULL,Wetland,NULL,Water,Non_Wetland,Lichens_and_Mosses
141,NULL,Wetland,NULL,Water,Non_Wetland,Water
142,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
143,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
144,NULL,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
145,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland
146,NULL,Wetland,Shrubland,NULL,Non_Wetland,Water
147,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
148,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
149,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
150,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
151,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland
152,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Water
153,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
154,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland
155,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland
156,NULL,Wetland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
157,NULL,Wetland,Shrubland,Water,Non_Wetland,Bareland
158,NULL,Wetland,Shrubland,Water,Non_Wetland,Water
159,NULL,Wetland,Shrubland,Water,Non_Wetland,Forest
160,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
161,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland
162,NULL,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
163,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland
164,NULL,Wetland,Grassland,NULL,Non_Wetland,Water
165,NULL,Wetland,Grassland,NULL,Non_Wetland,Forest
166,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
167,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
168,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
169,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Water
170,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Forest
171,NULL,Wetland,Grassland,Water,Non_Wetland,Grassland
172,NULL,Wetland,Grassland,Water,Non_Wetland,Wetland
173,NULL,Wetland,Grassland,Water,Non_Wetland,Lichens_and_Mosses
174,NULL,Wetland,Grassland,Water,Non_Wetland,Bareland
175,NULL,Wetland,Grassland,Water,Non_Wetland,Water
176,NULL,Wetland,Wetland,NULL,Wetland,Grassland
177,NULL,Wetland,Wetland,NULL,Wetland,Wetland
178,NULL,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
179,NULL,Wetland,Wetland,NULL,Wetland,Bareland
180,NULL,Wetland,Wetland,NULL,Wetland,Water
181,NULL,Wetland,Wetland,NULL,Wetland,Forest
182,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland
183,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland
184,NULL,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
185,NULL,Wetland,Wetland,Non_Water,Wetland,Bareland
186,NULL,Wetland,Wetland,Non_Water,Wetland,Water
187,NULL,Wetland,Wetland,Water,Wetland,Grassland
188,NULL,Wetland,Wetland,Water,Wetland,Wetland
189,NULL,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
190,NULL,Wetland,Wetland,Water,Wetland,Bareland
191,NULL,Wetland,Wetland,Water,Wetland,Water
192,NULL,Wetland,Wetland,Water,Wetland,Forest
193,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
194,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
195,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
196,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
197,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
198,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
199,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
200,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
201,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
202,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
203,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
204,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
205,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
206,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
207,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
208,NULL,Wetland,Bareland,NULL,Non_Wetland,Grassland
209,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland
210,NULL,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
211,NULL,Wetland,Bareland,NULL,Non_Wetland,Bareland
212,NULL,Wetland,Bareland,NULL,Non_Wetland,Water
213,NULL,Wetland,Bareland,NULL,Non_Wetland,Forest
214,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
215,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
216,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
217,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
218,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Water
219,NULL,Wetland,Bareland,Water,Non_Wetland,Grassland
220,NULL,Wetland,Bareland,Water,Non_Wetland,Wetland
221,NULL,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
222,NULL,Wetland,Bareland,Water,Non_Wetland,Bareland
223,NULL,Wetland,Bareland,Water,Non_Wetland,Water
224,NULL,Wetland,Built-up,NULL,Non_Wetland,Grassland
225,NULL,Wetland,Built-up,NULL,Non_Wetland,Wetland
226,NULL,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
227,NULL,Wetland,Built-up,NULL,Non_Wetland,Bareland
228,NULL,Wetland,Built-up,NULL,Non_Wetland,Water
229,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Grassland
230,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
231,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
232,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Bareland
233,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Water
234,NULL,Wetland,Built-up,Water,Non_Wetland,Grassland
235,NULL,Wetland,Built-up,Water,Non_Wetland,Wetland
236,NULL,Wetland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
237,NULL,Wetland,Built-up,Water,Non_Wetland,Bareland
238,NULL,Wetland,Built-up,Water,Non_Wetland,Water
239,NULL,Wetland,Water,NULL,Water,Grassland
240,NULL,Wetland,Water,NULL,Water,Wetland
241,NULL,Wetland,Water,NULL,Water,Lichens_and_Mosses
242,NULL,Wetland,Water,NULL,Water,Water
243,NULL,Wetland,Water,Non_Water,Water,Grassland
244,NULL,Wetland,Water,Non_Water,Water,Wetland
245,NULL,Wetland,Water,Non_Water,Water,Lichens_and_Mosses
246,NULL,Wetland,Water,Non_Water,Water,Bareland
247,NULL,Wetland,Water,Non_Water,Water,Water
248,NULL,Wetland,Water,Water,Water,Grassland
249,NULL,Wetland,Water,Water,Water,Wetland
250,NULL,Wetland,Water,Water,Water,Lichens_and_Mosses
251,NULL,Wetland,Water,Water,Water,Bareland
252,NULL,Wetland,Water,Water,Water,Water
253,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
254,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
255,NULL,Wetland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
256,NULL,Wetland,Forest,NULL,Non_Wetland,Water
257,NULL,Wetland,Forest,Non_Water,Non_Wetland,Grassland
258,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland
259,NULL,Wetland,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
260,NULL,Wetland,Forest,Non_Water,Non_Wetland,Water
261,NULL,Wetland,Forest,Water,Non_Wetland,Grassland
262,NULL,Wetland,Forest,Water,Non_Wetland,Wetland
263,NULL,Wetland,Forest,Water,Non_Wetland,Lichens_and_Mosses
264,NULL,Wetland,Forest,Water,Non_Wetland,Water
265,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
266,NULL,Bareland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
267,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
268,NULL,Bareland,Shrubland,NULL,Non_Wetland,Water
269,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
270,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Water
271,NULL,Bareland,Shrubland,Water,Non_Wetland,Wetland
272,NULL,Bareland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
273,NULL,Bareland,Shrubland,Water,Non_Wetland,Bareland
274,NULL,Bareland,Shrubland,Water,Non_Wetland,Water
275,NULL,Bareland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
276,NULL,Bareland,Grassland,NULL,Non_Wetland,Water
277,NULL,Bareland,Wetland,NULL,Wetland,Lichens_and_Mosses
278,NULL,Bareland,Wetland,NULL,Wetland,Bareland
279,NULL,Bareland,Wetland,NULL,Wetland,Water
280,NULL,Bareland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
281,NULL,Bareland,Wetland,Non_Water,Wetland,Water
282,NULL,Bareland,Wetland,Water,Wetland,Wetland
283,NULL,Bareland,Wetland,Water,Wetland,Lichens_and_Mosses
284,NULL,Bareland,Wetland,Water,Wetland,Bareland
285,NULL,Bareland,Wetland,Water,Wetland,Water
286,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
287,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Water
288,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
289,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
290,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
291,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
292,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
293,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Water
294,NULL,Bareland,Bareland,NULL,Non_Wetland,Wetland
295,NULL,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
296,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
297,NULL,Bareland,Bareland,NULL,Non_Wetland,Water
298,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
299,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
300,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Water
301,NULL,Bareland,Bareland,Water,Non_Wetland,Wetland
302,NULL,Bareland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
303,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland
304,NULL,Bareland,Bareland,Water,Non_Wetland,Water
305,NULL,Bareland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
306,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
307,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
308,NULL,Bareland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
309,NULL,Bareland,Built-up,Water,Non_Wetland,Bareland
310,NULL,Bareland,Built-up,Water,Non_Wetland,Water
311,NULL,Bareland,Water,NULL,Water,Water
312,NULL,Bareland,Water,Water,Water,Lichens_and_Mosses
313,NULL,Bareland,Water,Water,Water,Bareland
314,NULL,Bareland,Water,Water,Water,Water
315,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
316,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
317,NULL,Built-up,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
318,NULL,Water,NULL,NULL,Non_Wetland,Grassland
319,NULL,Water,NULL,NULL,Non_Wetland,Wetland
320,NULL,Water,NULL,NULL,Non_Wetland,Lichens_and_Mosses
321,NULL,Water,NULL,NULL,Non_Wetland,Water
322,NULL,Water,NULL,Non_Water,Non_Wetland,Grassland
323,NULL,Water,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
324,NULL,Water,NULL,Non_Water,Non_Wetland,Water
325,NULL,Water,NULL,Water,Non_Wetland,Grassland
326,NULL,Water,NULL,Water,Non_Wetland,Lichens_and_Mosses
327,NULL,Water,NULL,Water,Non_Wetland,Water
328,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
329,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland
330,NULL,Water,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
331,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
332,NULL,Water,Shrubland,NULL,Non_Wetland,Water
333,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
334,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland
335,NULL,Water,Shrubland,Non_Water,Non_Wetland,Wetland
336,NULL,Water,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
337,NULL,Water,Shrubland,Non_Water,Non_Wetland,Bareland
338,NULL,Water,Shrubland,Non_Water,Non_Wetland,Water
339,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
340,NULL,Water,Shrubland,Water,Non_Wetland,Wetland
341,NULL,Water,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
342,NULL,Water,Shrubland,Water,Non_Wetland,Bareland
343,NULL,Water,Shrubland,Water,Non_Wetland,Water
344,NULL,Water,Shrubland,Water,Non_Wetland,Forest
345,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
346,NULL,Water,Grassland,NULL,Non_Wetland,Wetland
347,NULL,Water,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
348,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
349,NULL,Water,Grassland,NULL,Non_Wetland,Water
350,NULL,Water,Grassland,Non_Water,Non_Wetland,Grassland
351,NULL,Water,Grassland,Non_Water,Non_Wetland,Wetland
352,NULL,Water,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
353,NULL,Water,Grassland,Non_Water,Non_Wetland,Water
354,NULL,Water,Grassland,Water,Non_Wetland,Grassland
355,NULL,Water,Grassland,Water,Non_Wetland,Wetland
356,NULL,Water,Grassland,Water,Non_Wetland,Lichens_and_Mosses
357,NULL,Water,Grassland,Water,Non_Wetland,Bareland
358,NULL,Water,Grassland,Water,Non_Wetland,Water
359,NULL,Water,Wetland,NULL,Wetland,Grassland
360,NULL,Water,Wetland,NULL,Wetland,Wetland
361,NULL,Water,Wetland,NULL,Wetland,Lichens_and_Mosses
362,NULL,Water,Wetland,NULL,Wetland,Bareland
363,NULL,Water,Wetland,NULL,Wetland,Water
364,NULL,Water,Wetland,Non_Water,Wetland,Grassland
365,NULL,Water,Wetland,Non_Water,Wetland,Wetland
366,NULL,Water,Wetland,Non_Water,Wetland,Lichens_and_Mosses
367,NULL,Water,Wetland,Non_Water,Wetland,Bareland
368,NULL,Water,Wetland,Non_Water,Wetland,Water
369,NULL,Water,Wetland,Water,Wetland,Grassland
370,NULL,Water,Wetland,Water,Wetland,Wetland
371,NULL,Water,Wetland,Water,Wetland,Lichens_and_Mosses
372,NULL,Water,Wetland,Water,Wetland,Bareland
373,NULL,Water,Wetland,Water,Wetland,Water
374,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
375,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
376,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
377,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
378,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Water
379,NULL,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
380,NULL,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
381,NULL,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
382,NULL,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
383,NULL,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
384,NULL,Water,Lichens_and_Mosses,Water,Non_Wetland,Grassland
385,NULL,Water,Lichens_and_Mosses,Water,Non_Wetland,Wetland
386,NULL,Water,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
387,NULL,Water,Lichens_and_Mosses,Water,Non_Wetland,Bareland
388,NULL,Water,Lichens_and_Mosses,Water,Non_Wetland,Water
389,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
390,NULL,Water,Bareland,NULL,Non_Wetland,Wetland
391,NULL,Water,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
392,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
393,NULL,Water,Bareland,NULL,Non_Wetland,Water
394,NULL,Water,Bareland,Non_Water,Non_Wetland,Grassland
395,NULL,Water,Bareland,Non_Water,Non_Wetland,Wetland
396,NULL,Water,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
397,NULL,Water,Bareland,Non_Water,Non_Wetland,Bareland
398,NULL,Water,Bareland,Non_Water,Non_Wetland,Water
399,NULL,Water,Bareland,Water,Non_Wetland,Grassland
400,NULL,Water,Bareland,Water,Non_Wetland,Wetland
401,NULL,Water,Bareland,Water,Non_Wetland,Lichens_and_Mosses
402,NULL,Water,Bareland,Water,Non_Wetland,Bareland
403,NULL,Water,Bareland,Water,Non_Wetland,Water
404,NULL,Water,Built-up,NULL,Non_Wetland,Grassland
