Value,SIBERIA_2024_ESRI_Annual_LULC_2024_42VXR_M_R,SIBERIA_2024_GLC_FCS30D_2022_42VXR_M_R,SIBERIA_2024_GSW_Yearly_2021_42VXR_M_R,SIBERIA_2024_GWL_FCS30D_2022_42VXR_M_R,SIBERIA_2024_WorldCover_2021_42VXR_M_R
258,Wetland,Cropland,Non_Water,Non_Wetland,Wetland
259,Wetland,Cropland,Water,Non_Wetland,Wetland
260,Wetland,Wetland,NULL,Wetland,NULL
261,Wetland,Wetland,NULL,Wetland,Grassland
262,Wetland,Wetland,NULL,Wetland,Wetland
263,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
264,Wetland,Wetland,NULL,Wetland,Bareland
265,Wetland,Wetland,NULL,Wetland,Built-up
266,Wetland,Wetland,NULL,Wetland,Water
267,Wetland,Wetland,NULL,Wetland,Forest
268,Wetland,Wetland,Non_Water,Wetland,NULL
269,Wetland,Wetland,Non_Water,Wetland,Grassland
270,Wetland,Wetland,Non_Water,Wetland,Wetland
271,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
272,Wetland,Wetland,Non_Water,Wetland,Bareland
273,Wetland,Wetland,Non_Water,Wetland,Water
274,Wetland,Wetland,Non_Water,Wetland,Forest
275,Wetland,Wetland,Water,Wetland,NULL
276,Wetland,Wetland,Water,Wetland,Grassland
277,Wetland,Wetland,Water,Wetland,Wetland
278,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
279,Wetland,Wetland,Water,Wetland,Bareland
280,Wetland,Wetland,Water,Wetland,Water
281,Wetland,Wetland,Water,Wetland,Forest
282,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
283,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
284,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
285,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
286,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
287,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
288,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
289,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
290,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
291,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
292,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
293,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
294,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
295,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
296,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
297,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
298,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Forest
299,Wetland,Bareland,NULL,Non_Wetland,NULL
300,Wetland,Bareland,NULL,Non_Wetland,Grassland
301,Wetland,Bareland,NULL,Non_Wetland,Wetland
302,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
303,Wetland,Bareland,NULL,Non_Wetland,Bareland
304,Wetland,Bareland,NULL,Non_Wetland,Built-up
305,Wetland,Bareland,NULL,Non_Wetland,Water
306,Wetland,Bareland,NULL,Non_Wetland,Permanent_ice_and_snow
307,Wetland,Bareland,NULL,Non_Wetland,Forest
308,Wetland,Bareland,Non_Water,Non_Wetland,NULL
309,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
310,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
311,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
312,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
313,Wetland,Bareland,Non_Water,Non_Wetland,Water
314,Wetland,Bareland,Non_Water,Non_Wetland,Permanent_ice_and_snow
315,Wetland,Bareland,Non_Water,Non_Wetland,Forest
316,Wetland,Bareland,Water,Non_Wetland,NULL
317,Wetland,Bareland,Water,Non_Wetland,Grassland
318,Wetland,Bareland,Water,Non_Wetland,Wetland
319,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
320,Wetland,Bareland,Water,Non_Wetland,Bareland
321,Wetland,Bareland,Water,Non_Wetland,Water
322,Wetland,Bareland,Water,Non_Wetland,Forest
323,Wetland,Built-up,NULL,Non_Wetland,Grassland
324,Wetland,Built-up,NULL,Non_Wetland,Wetland
325,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
326,Wetland,Built-up,NULL,Non_Wetland,Bareland
327,Wetland,Built-up,NULL,Non_Wetland,Built-up
328,Wetland,Built-up,NULL,Non_Wetland,Water
329,Wetland,Built-up,NULL,Non_Wetland,Forest
330,Wetland,Built-up,Non_Water,Non_Wetland,Grassland
331,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
332,Wetland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
333,Wetland,Built-up,Non_Water,Non_Wetland,Bareland
334,Wetland,Built-up,Non_Water,Non_Wetland,Built-up
335,Wetland,Built-up,Non_Water,Non_Wetland,Water
336,Wetland,Built-up,Non_Water,Non_Wetland,Forest
337,Wetland,Built-up,Water,Non_Wetland,Grassland
338,Wetland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
339,Wetland,Built-up,Water,Non_Wetland,Bareland
340,Wetland,Built-up,Water,Non_Wetland,Built-up
341,Wetland,Built-up,Water,Non_Wetland,Water
342,Wetland,Built-up,Water,Non_Wetland,Forest
343,Wetland,Water,NULL,Water,NULL
344,Wetland,Water,NULL,Water,Grassland
345,Wetland,Water,NULL,Water,Wetland
346,Wetland,Water,NULL,Water,Lichens_and_Mosses
347,Wetland,Water,NULL,Water,Bareland
348,Wetland,Water,NULL,Water,Water
349,Wetland,Water,NULL,Water,Forest
350,Wetland,Water,Non_Water,Water,Grassland
351,Wetland,Water,Non_Water,Water,Wetland
352,Wetland,Water,Non_Water,Water,Lichens_and_Mosses
353,Wetland,Water,Non_Water,Water,Bareland
354,Wetland,Water,Non_Water,Water,Water
355,Wetland,Water,Non_Water,Water,Forest
356,Wetland,Water,Water,Water,NULL
357,Wetland,Water,Water,Water,Grassland
358,Wetland,Water,Water,Water,Wetland
359,Wetland,Water,Water,Water,Lichens_and_Mosses
360,Wetland,Water,Water,Water,Bareland
361,Wetland,Water,Water,Water,Water
362,Wetland,Water,Water,Water,Forest
363,Wetland,Forest,NULL,Non_Wetland,NULL
364,Wetland,Forest,NULL,Non_Wetland,Grassland
365,Wetland,Forest,NULL,Non_Wetland,Wetland
366,Wetland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
367,Wetland,Forest,NULL,Non_Wetland,Bareland
368,Wetland,Forest,NULL,Non_Wetland,Built-up
369,Wetland,Forest,NULL,Non_Wetland,Water
370,Wetland,Forest,NULL,Non_Wetland,Forest
371,Wetland,Forest,Non_Water,Non_Wetland,NULL
372,Wetland,Forest,Non_Water,Non_Wetland,Grassland
373,Wetland,Forest,Non_Water,Non_Wetland,Wetland
374,Wetland,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
375,Wetland,Forest,Non_Water,Non_Wetland,Bareland
376,Wetland,Forest,Non_Water,Non_Wetland,Water
377,Wetland,Forest,Non_Water,Non_Wetland,Forest
378,Wetland,Forest,Water,Non_Wetland,NULL
379,Wetland,Forest,Water,Non_Wetland,Grassland
380,Wetland,Forest,Water,Non_Wetland,Wetland
381,Wetland,Forest,Water,Non_Wetland,Lichens_and_Mosses
382,Wetland,Forest,Water,Non_Wetland,Water
383,Wetland,Forest,Water,Non_Wetland,Forest
384,Bareland,NULL,NULL,Non_Wetland,Grassland
385,Bareland,NULL,NULL,Non_Wetland,Lichens_and_Mosses
386,Bareland,NULL,NULL,Non_Wetland,Bareland
387,Bareland,NULL,NULL,Non_Wetland,Water
388,Bareland,NULL,NULL,Non_Wetland,Forest
389,Bareland,Shrubland,NULL,Non_Wetland,Grassland
390,Bareland,Shrubland,NULL,Non_Wetland,Wetland
391,Bareland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
392,Bareland,Shrubland,NULL,Non_Wetland,Bareland
393,Bareland,Shrubland,Non_Water,Non_Wetland,Bareland
394,Bareland,Cropland,NULL,Non_Wetland,Bareland
395,Bareland,Wetland,NULL,Wetland,NULL
396,Bareland,Wetland,NULL,Wetland,Grassland
397,Bareland,Wetland,NULL,Wetland,Wetland
398,Bareland,Wetland,NULL,Wetland,Bareland
399,Bareland,Wetland,NULL,Wetland,Water
400,Bareland,Wetland,NULL,Wetland,Forest
401,Bareland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
402,Bareland,Wetland,Non_Water,Wetland,Bareland
403,Bareland,Wetland,Non_Water,Wetland,Water
404,Bareland,Wetland,Water,Wetland,Lichens_and_Mosses
405,Bareland,Wetland,Water,Wetland,Bareland
406,Bareland,Wetland,Water,Wetland,Water
407,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
408,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
409,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
410,Bareland,Bareland,NULL,Non_Wetland,NULL
411,Bareland,Bareland,NULL,Non_Wetland,Grassland
412,Bareland,Bareland,NULL,Non_Wetland,Wetland
413,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
414,Bareland,Bareland,NULL,Non_Wetland,Bareland
415,Bareland,Bareland,NULL,Non_Wetland,Built-up
416,Bareland,Bareland,NULL,Non_Wetland,Water
417,Bareland,Bareland,NULL,Non_Wetland,Forest
418,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
419,Bareland,Bareland,Non_Water,Non_Wetland,Wetland
420,Bareland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
421,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
422,Bareland,Bareland,Non_Water,Non_Wetland,Water
423,Bareland,Bareland,Water,Non_Wetland,Grassland
424,Bareland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
425,Bareland,Bareland,Water,Non_Wetland,Bareland
426,Bareland,Bareland,Water,Non_Wetland,Water
427,Bareland,Built-up,NULL,Non_Wetland,Grassland
428,Bareland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
429,Bareland,Built-up,NULL,Non_Wetland,Bareland
430,Bareland,Built-up,NULL,Non_Wetland,Built-up
431,Bareland,Built-up,NULL,Non_Wetland,Water
432,Bareland,Built-up,NULL,Non_Wetland,Forest
433,Bareland,Built-up,Water,Non_Wetland,Bareland
434,Bareland,Built-up,Water,Non_Wetland,Water
435,Bareland,Water,NULL,Water,Grassland
436,Bareland,Water,NULL,Water,Bareland
437,Bareland,Water,NULL,Water,Water
438,Bareland,Water,NULL,Water,Forest
439,Bareland,Water,Water,Water,Wetland
440,Bareland,Water,Water,Water,Bareland
441,Bareland,Water,Water,Water,Water
442,Bareland,Water,Water,Water,Forest
443,Bareland,Forest,NULL,Non_Wetland,Grassland
444,Bareland,Forest,NULL,Non_Wetland,Wetland
445,Bareland,Forest,NULL,Non_Wetland,Bareland
446,Bareland,Forest,NULL,Non_Wetland,Built-up
447,Bareland,Forest,NULL,Non_Wetland,Water
448,Bareland,Forest,NULL,Non_Wetland,Forest
449,Bareland,Forest,Non_Water,Non_Wetland,Bareland
450,Bareland,Forest,Water,Non_Wetland,Bareland
451,Built-up,NULL,NULL,Non_Wetland,Wetland
452,Built-up,NULL,NULL,Non_Wetland,Forest
453,Built-up,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
454,Built-up,Shrubland,NULL,Non_Wetland,Grassland
455,Built-up,Shrubland,NULL,Non_Wetland,Wetland
456,Built-up,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
457,Built-up,Shrubland,NULL,Non_Wetland,Bareland
458,Built-up,Shrubland,NULL,Non_Wetland,Built-up
459,Built-up,Shrubland,NULL,Non_Wetland,Water
460,Built-up,Shrubland,NULL,Non_Wetland,Forest
461,Built-up,Shrubland,Water,Non_Wetland,Bareland
462,Built-up,Shrubland,Water,Non_Wetland,Water
463,Built-up,Grassland,NULL,Non_Wetland,Grassland
464,Built-up,Grassland,NULL,Non_Wetland,Wetland
465,Built-up,Grassland,NULL,Non_Wetland,Bareland
466,Built-up,Grassland,NULL,Non_Wetland,Built-up
467,Built-up,Grassland,NULL,Non_Wetland,Forest
468,Built-up,Cropland,NULL,Non_Wetland,Grassland
469,Built-up,Cropland,NULL,Non_Wetland,Bareland
470,Built-up,Cropland,NULL,Non_Wetland,Forest
471,Built-up,Wetland,NULL,Wetland,NULL
472,Built-up,Wetland,NULL,Wetland,Grassland
473,Built-up,Wetland,NULL,Wetland,Wetland
