Value,SIBERIA_2024_ESRI_Annual_LULC_2024_44VNR_M_R,SIBERIA_2024_GLC_FCS30D_2022_44VNR_M_R,SIBERIA_2024_GSW_Yearly_2021_44VNR_M_R,SIBERIA_2024_GWL_FCS30D_2022_44VNR_M_R,SIBERIA_2024_WorldCover_2021_44VNR_M_R
263,Wetland,Bareland,Water,Non_Wetland,Water
264,Wetland,Bareland,Water,Non_Wetland,Forest
265,Wetland,Built-up,NULL,Non_Wetland,Grassland
266,Wetland,Built-up,NULL,Non_Wetland,Wetland
267,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
268,Wetland,Built-up,NULL,Non_Wetland,Built-up
269,Wetland,Built-up,NULL,Non_Wetland,Water
270,Wetland,Built-up,NULL,Non_Wetland,Forest
271,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
272,Wetland,Built-up,Non_Water,Non_Wetland,Forest
273,Wetland,Built-up,Water,Non_Wetland,Grassland
274,Wetland,Built-up,Water,Non_Wetland,Wetland
275,Wetland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
276,Wetland,Built-up,Water,Non_Wetland,Bareland
277,Wetland,Built-up,Water,Non_Wetland,Water
278,Wetland,Water,NULL,Water,Grassland
279,Wetland,Water,NULL,Water,Wetland
280,Wetland,Water,NULL,Water,Water
281,Wetland,Water,NULL,Water,Forest
282,Wetland,Water,Non_Water,Water,Grassland
283,Wetland,Water,Non_Water,Water,Wetland
284,Wetland,Water,Non_Water,Water,Water
285,Wetland,Water,Non_Water,Water,Forest
286,Wetland,Water,Water,Water,Grassland
287,Wetland,Water,Water,Water,Wetland
288,Wetland,Water,Water,Water,Lichens_and_Mosses
289,Wetland,Water,Water,Water,Water
290,Wetland,Water,Water,Water,Forest
291,Wetland,Forest,NULL,Non_Wetland,NULL
292,Wetland,Forest,NULL,Non_Wetland,Grassland
293,Wetland,Forest,NULL,Non_Wetland,Wetland
294,Wetland,Forest,NULL,Non_Wetland,Built-up
295,Wetland,Forest,NULL,Non_Wetland,Water
296,Wetland,Forest,NULL,Non_Wetland,Forest
297,Wetland,Forest,Non_Water,Non_Wetland,Grassland
298,Wetland,Forest,Non_Water,Non_Wetland,Wetland
299,Wetland,Forest,Non_Water,Non_Wetland,Water
300,Wetland,Forest,Non_Water,Non_Wetland,Forest
301,Wetland,Forest,Water,Non_Wetland,Grassland
302,Wetland,Forest,Water,Non_Wetland,Wetland
303,Wetland,Forest,Water,Non_Wetland,Bareland
304,Wetland,Forest,Water,Non_Wetland,Water
305,Wetland,Forest,Water,Non_Wetland,Forest
306,Bareland,NULL,NULL,Non_Wetland,Water
307,Bareland,NULL,NULL,Non_Wetland,Forest
308,Bareland,Shrubland,NULL,Non_Wetland,Grassland
309,Bareland,Shrubland,NULL,Non_Wetland,Wetland
310,Bareland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
311,Bareland,Shrubland,NULL,Non_Wetland,Water
312,Bareland,Shrubland,Non_Water,Non_Wetland,Grassland
313,Bareland,Shrubland,Non_Water,Non_Wetland,Bareland
314,Bareland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
315,Bareland,Shrubland,Water,Non_Wetland,Bareland
316,Bareland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
317,Bareland,Grassland,NULL,Non_Wetland,Bareland
318,Bareland,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
319,Bareland,Grassland,Water,Non_Wetland,Lichens_and_Mosses
320,Bareland,Grassland,Water,Non_Wetland,Bareland
321,Bareland,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
322,Bareland,Wetland,NULL,Wetland,Grassland
323,Bareland,Wetland,NULL,Wetland,Wetland
324,Bareland,Wetland,NULL,Wetland,Lichens_and_Mosses
325,Bareland,Wetland,NULL,Wetland,Bareland
326,Bareland,Wetland,NULL,Wetland,Water
327,Bareland,Wetland,NULL,Wetland,Forest
328,Bareland,Wetland,Non_Water,Wetland,Grassland
329,Bareland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
330,Bareland,Wetland,Non_Water,Wetland,Bareland
331,Bareland,Wetland,Non_Water,Wetland,Water
332,Bareland,Wetland,Water,Wetland,NULL
333,Bareland,Wetland,Water,Wetland,Grassland
334,Bareland,Wetland,Water,Wetland,Wetland
335,Bareland,Wetland,Water,Wetland,Lichens_and_Mosses
336,Bareland,Wetland,Water,Wetland,Bareland
337,Bareland,Wetland,Water,Wetland,Water
338,Bareland,Wetland,Water,Wetland,Forest
339,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
340,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
341,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
342,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
343,Bareland,Bareland,NULL,Non_Wetland,Grassland
344,Bareland,Bareland,NULL,Non_Wetland,Wetland
345,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
346,Bareland,Bareland,NULL,Non_Wetland,Bareland
347,Bareland,Bareland,NULL,Non_Wetland,Built-up
348,Bareland,Bareland,NULL,Non_Wetland,Water
349,Bareland,Bareland,NULL,Non_Wetland,Forest
350,Bareland,Bareland,Non_Water,Non_Wetland,NULL
351,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
352,Bareland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
353,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
354,Bareland,Bareland,Non_Water,Non_Wetland,Water
355,Bareland,Bareland,Non_Water,Non_Wetland,Forest
356,Bareland,Bareland,Water,Non_Wetland,Grassland
357,Bareland,Bareland,Water,Non_Wetland,Wetland
358,Bareland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
359,Bareland,Bareland,Water,Non_Wetland,Bareland
360,Bareland,Bareland,Water,Non_Wetland,Water
361,Bareland,Bareland,Water,Non_Wetland,Forest
362,Bareland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
363,Bareland,Built-up,NULL,Non_Wetland,Bareland
364,Bareland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
365,Bareland,Built-up,Water,Non_Wetland,Grassland
366,Bareland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
367,Bareland,Built-up,Water,Non_Wetland,Bareland
368,Bareland,Water,NULL,Water,Grassland
369,Bareland,Water,NULL,Water,Lichens_and_Mosses
370,Bareland,Water,NULL,Water,Bareland
371,Bareland,Water,NULL,Water,Water
372,Bareland,Water,NULL,Water,Forest
373,Bareland,Water,Non_Water,Water,Bareland
374,Bareland,Water,Water,Water,Grassland
375,Bareland,Water,Water,Water,Lichens_and_Mosses
376,Bareland,Water,Water,Water,Bareland
377,Bareland,Water,Water,Water,Water
378,Bareland,Forest,NULL,Non_Wetland,Wetland
379,Bareland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
380,Bareland,Forest,NULL,Non_Wetland,Water
381,Bareland,Forest,NULL,Non_Wetland,Forest
382,Bareland,Forest,Non_Water,Non_Wetland,Forest
383,Bareland,Forest,Water,Non_Wetland,Wetland
384,Bareland,Forest,Water,Non_Wetland,Forest
385,Built-up,NULL,NULL,Non_Wetland,Grassland
386,Built-up,NULL,NULL,Non_Wetland,Forest
387,Built-up,Shrubland,NULL,Non_Wetland,Grassland
388,Built-up,Shrubland,NULL,Non_Wetland,Wetland
389,Built-up,Shrubland,NULL,Non_Wetland,Bareland
390,Built-up,Shrubland,NULL,Non_Wetland,Forest
391,Built-up,Grassland,NULL,Non_Wetland,Grassland
392,Built-up,Grassland,NULL,Non_Wetland,Built-up
393,Built-up,Grassland,NULL,Non_Wetland,Forest
394,Built-up,Cropland,NULL,Non_Wetland,Bareland
395,Built-up,Wetland,NULL,Wetland,Grassland
396,Built-up,Wetland,NULL,Wetland,Wetland
397,Built-up,Wetland,NULL,Wetland,Forest
398,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
399,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Forest
400,Built-up,Bareland,NULL,Non_Wetland,Grassland
401,Built-up,Bareland,NULL,Non_Wetland,Wetland
402,Built-up,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
403,Built-up,Bareland,NULL,Non_Wetland,Bareland
404,Built-up,Bareland,NULL,Non_Wetland,Built-up
405,Built-up,Bareland,NULL,Non_Wetland,Water
406,Built-up,Bareland,NULL,Non_Wetland,Forest
407,Built-up,Bareland,Non_Water,Non_Wetland,Forest
408,Built-up,Bareland,Water,Non_Wetland,Wetland
409,Built-up,Bareland,Water,Non_Wetland,Bareland
410,Built-up,Bareland,Water,Non_Wetland,Forest
411,Built-up,Built-up,NULL,Non_Wetland,Grassland
412,Built-up,Built-up,NULL,Non_Wetland,Wetland
413,Built-up,Built-up,NULL,Non_Wetland,Bareland
414,Built-up,Built-up,NULL,Non_Wetland,Built-up
415,Built-up,Built-up,NULL,Non_Wetland,Forest
416,Built-up,Water,NULL,Water,Water
417,Built-up,Water,NULL,Water,Forest
418,Built-up,Water,Water,Water,Forest
419,Built-up,Forest,NULL,Non_Wetland,Grassland
420,Built-up,Forest,NULL,Non_Wetland,Wetland
421,Built-up,Forest,NULL,Non_Wetland,Built-up
422,Built-up,Forest,NULL,Non_Wetland,Forest
423,Water,NULL,NULL,Non_Wetland,Grassland
424,Water,NULL,NULL,Non_Wetland,Wetland
425,Water,NULL,NULL,Non_Wetland,Lichens_and_Mosses
426,Water,NULL,NULL,Non_Wetland,Bareland
427,Water,NULL,NULL,Non_Wetland,Water
428,Water,NULL,NULL,Non_Wetland,Forest
429,Water,NULL,Non_Water,Non_Wetland,Grassland
430,Water,NULL,Non_Water,Non_Wetland,Wetland
431,Water,NULL,Non_Water,Non_Wetland,Water
432,Water,NULL,Non_Water,Non_Wetland,Forest
433,Water,NULL,Water,Non_Wetland,Grassland
434,Water,NULL,Water,Non_Wetland,Wetland
435,Water,NULL,Water,Non_Wetland,Water
436,Water,NULL,Water,Non_Wetland,Forest
437,Water,Shrubland,NULL,Non_Wetland,Grassland
438,Water,Shrubland,NULL,Non_Wetland,Wetland
439,Water,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
440,Water,Shrubland,NULL,Non_Wetland,Water
441,Water,Shrubland,NULL,Non_Wetland,Forest
442,Water,Shrubland,Non_Water,Non_Wetland,Grassland
443,Water,Shrubland,Non_Water,Non_Wetland,Water
444,Water,Shrubland,Non_Water,Non_Wetland,Forest
445,Water,Shrubland,Water,Non_Wetland,Grassland
446,Water,Shrubland,Water,Non_Wetland,Wetland
447,Water,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
448,Water,Shrubland,Water,Non_Wetland,Bareland
449,Water,Shrubland,Water,Non_Wetland,Water
450,Water,Shrubland,Water,Non_Wetland,Forest
451,Water,Grassland,NULL,Non_Wetland,Grassland
452,Water,Grassland,NULL,Non_Wetland,Water
453,Water,Grassland,NULL,Non_Wetland,Forest
454,Water,Grassland,Non_Water,Non_Wetland,Forest
455,Water,Grassland,Water,Non_Wetland,Grassland
456,Water,Grassland,Water,Non_Wetland,Lichens_and_Mosses
457,Water,Grassland,Water,Non_Wetland,Bareland
458,Water,Grassland,Water,Non_Wetland,Water
459,Water,Grassland,Water,Non_Wetland,Forest
460,Water,Cropland,NULL,Non_Wetland,Grassland
461,Water,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
462,Water,Cropland,NULL,Non_Wetland,Water
463,Water,Cropland,NULL,Non_Wetland,Forest
464,Water,Cropland,Non_Water,Non_Wetland,Grassland
465,Water,Cropland,Non_Water,Non_Wetland,Water
466,Water,Cropland,Non_Water,Non_Wetland,Forest
467,Water,Cropland,Water,Non_Wetland,Lichens_and_Mosses
468,Water,Cropland,Water,Non_Wetland,Bareland
469,Water,Cropland,Water,Non_Wetland,Water
470,Water,Cropland,Water,Non_Wetland,Forest
471,Water,Wetland,NULL,Wetland,Grassland
472,Water,Wetland,NULL,Wetland,Wetland
473,Water,Wetland,NULL,Wetland,Lichens_and_Mosses
474,Water,Wetland,NULL,Wetland,Bareland
475,Water,Wetland,NULL,Wetland,Water
476,Water,Wetland,NULL,Wetland,Forest
477,Water,Wetland,Non_Water,Wetland,Grassland
478,Water,Wetland,Non_Water,Wetland,Wetland
479,Water,Wetland,Non_Water,Wetland,Lichens_and_Mosses
480,Water,Wetland,Non_Water,Wetland,Bareland
481,Water,Wetland,Non_Water,Wetland,Water
482,Water,Wetland,Non_Water,Wetland,Forest
483,Water,Wetland,Water,Wetland,Grassland
484,Water,Wetland,Water,Wetland,Wetland
485,Water,Wetland,Water,Wetland,Lichens_and_Mosses
486,Water,Wetland,Water,Wetland,Bareland
487,Water,Wetland,Water,Wetland,Water
