Value,SIBERIA_2024_ESRI_Annual_LULC_2024_44VLQ_M_R,SIBERIA_2024_GLC_FCS30D_2022_44VLQ_M_R,SIBERIA_2024_GSW_Yearly_2021_44VLQ_M_R,SIBERIA_2024_GWL_FCS30D_2022_44VLQ_M_R,SIBERIA_2024_WorldCover_2021_44VLQ_M_R
264,Wetland,Wetland,Water,Wetland,NULL
265,Wetland,Wetland,Water,Wetland,Grassland
266,Wetland,Wetland,Water,Wetland,Wetland
267,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
268,Wetland,Wetland,Water,Wetland,Bareland
269,Wetland,Wetland,Water,Wetland,Built-up
270,Wetland,Wetland,Water,Wetland,Water
271,Wetland,Wetland,Water,Wetland,Forest
272,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
273,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
274,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
275,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
276,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
277,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
278,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
279,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
280,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
281,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
282,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
283,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
284,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Forest
285,Wetland,Bareland,NULL,Non_Wetland,NULL
286,Wetland,Bareland,NULL,Non_Wetland,Grassland
287,Wetland,Bareland,NULL,Non_Wetland,Wetland
288,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
289,Wetland,Bareland,NULL,Non_Wetland,Bareland
290,Wetland,Bareland,NULL,Non_Wetland,Built-up
291,Wetland,Bareland,NULL,Non_Wetland,Water
292,Wetland,Bareland,NULL,Non_Wetland,Permanent_ice_and_snow
293,Wetland,Bareland,NULL,Non_Wetland,Forest
294,Wetland,Bareland,Non_Water,Non_Wetland,NULL
295,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
296,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
297,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
298,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
299,Wetland,Bareland,Non_Water,Non_Wetland,Built-up
300,Wetland,Bareland,Non_Water,Non_Wetland,Water
301,Wetland,Bareland,Non_Water,Non_Wetland,Permanent_ice_and_snow
302,Wetland,Bareland,Non_Water,Non_Wetland,Forest
303,Wetland,Bareland,Water,Non_Wetland,NULL
304,Wetland,Bareland,Water,Non_Wetland,Grassland
305,Wetland,Bareland,Water,Non_Wetland,Wetland
306,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
307,Wetland,Bareland,Water,Non_Wetland,Bareland
308,Wetland,Bareland,Water,Non_Wetland,Built-up
309,Wetland,Bareland,Water,Non_Wetland,Water
310,Wetland,Bareland,Water,Non_Wetland,Forest
311,Wetland,Built-up,NULL,Non_Wetland,NULL
312,Wetland,Built-up,NULL,Non_Wetland,Grassland
313,Wetland,Built-up,NULL,Non_Wetland,Wetland
314,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
315,Wetland,Built-up,NULL,Non_Wetland,Bareland
316,Wetland,Built-up,NULL,Non_Wetland,Built-up
317,Wetland,Built-up,NULL,Non_Wetland,Water
318,Wetland,Built-up,NULL,Non_Wetland,Forest
319,Wetland,Built-up,Non_Water,Non_Wetland,Grassland
320,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
321,Wetland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
322,Wetland,Built-up,Non_Water,Non_Wetland,Bareland
323,Wetland,Built-up,Non_Water,Non_Wetland,Built-up
324,Wetland,Built-up,Non_Water,Non_Wetland,Water
325,Wetland,Built-up,Non_Water,Non_Wetland,Forest
326,Wetland,Built-up,Water,Non_Wetland,Grassland
327,Wetland,Built-up,Water,Non_Wetland,Wetland
328,Wetland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
329,Wetland,Built-up,Water,Non_Wetland,Bareland
330,Wetland,Built-up,Water,Non_Wetland,Built-up
331,Wetland,Built-up,Water,Non_Wetland,Water
332,Wetland,Built-up,Water,Non_Wetland,Forest
333,Wetland,Water,NULL,Water,NULL
334,Wetland,Water,NULL,Water,Grassland
335,Wetland,Water,NULL,Water,Wetland
336,Wetland,Water,NULL,Water,Lichens_and_Mosses
337,Wetland,Water,NULL,Water,Bareland
338,Wetland,Water,NULL,Water,Built-up
339,Wetland,Water,NULL,Water,Water
340,Wetland,Water,NULL,Water,Forest
341,Wetland,Water,Non_Water,Water,NULL
342,Wetland,Water,Non_Water,Water,Grassland
343,Wetland,Water,Non_Water,Water,Wetland
344,Wetland,Water,Non_Water,Water,Lichens_and_Mosses
345,Wetland,Water,Non_Water,Water,Bareland
346,Wetland,Water,Non_Water,Water,Built-up
347,Wetland,Water,Non_Water,Water,Water
348,Wetland,Water,Non_Water,Water,Forest
349,Wetland,Water,Water,Water,NULL
350,Wetland,Water,Water,Water,Grassland
351,Wetland,Water,Water,Water,Wetland
352,Wetland,Water,Water,Water,Lichens_and_Mosses
353,Wetland,Water,Water,Water,Bareland
354,Wetland,Water,Water,Water,Built-up
355,Wetland,Water,Water,Water,Water
356,Wetland,Water,Water,Water,Permanent_ice_and_snow
357,Wetland,Water,Water,Water,Forest
358,Wetland,Forest,NULL,Non_Wetland,NULL
359,Wetland,Forest,NULL,Non_Wetland,Grassland
360,Wetland,Forest,NULL,Non_Wetland,Wetland
361,Wetland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
362,Wetland,Forest,NULL,Non_Wetland,Bareland
363,Wetland,Forest,NULL,Non_Wetland,Built-up
364,Wetland,Forest,NULL,Non_Wetland,Water
365,Wetland,Forest,NULL,Non_Wetland,Forest
366,Wetland,Forest,Non_Water,Non_Wetland,NULL
367,Wetland,Forest,Non_Water,Non_Wetland,Grassland
368,Wetland,Forest,Non_Water,Non_Wetland,Wetland
369,Wetland,Forest,Non_Water,Non_Wetland,Bareland
370,Wetland,Forest,Non_Water,Non_Wetland,Water
371,Wetland,Forest,Non_Water,Non_Wetland,Forest
372,Wetland,Forest,Water,Non_Wetland,NULL
373,Wetland,Forest,Water,Non_Wetland,Grassland
374,Wetland,Forest,Water,Non_Wetland,Wetland
375,Wetland,Forest,Water,Non_Wetland,Lichens_and_Mosses
376,Wetland,Forest,Water,Non_Wetland,Water
377,Wetland,Forest,Water,Non_Wetland,Forest
378,Bareland,NULL,NULL,Non_Wetland,Water
379,Bareland,Shrubland,NULL,Non_Wetland,Bareland
380,Bareland,Shrubland,NULL,Non_Wetland,Built-up
381,Bareland,Shrubland,NULL,Non_Wetland,Forest
382,Bareland,Grassland,NULL,Non_Wetland,Grassland
383,Bareland,Grassland,NULL,Non_Wetland,Bareland
384,Bareland,Grassland,NULL,Non_Wetland,Forest
385,Bareland,Wetland,NULL,Wetland,Grassland
386,Bareland,Wetland,NULL,Wetland,Wetland
387,Bareland,Wetland,NULL,Wetland,Bareland
388,Bareland,Wetland,NULL,Wetland,Water
389,Bareland,Wetland,NULL,Wetland,Forest
390,Bareland,Wetland,Non_Water,Wetland,Water
391,Bareland,Wetland,Water,Wetland,Bareland
392,Bareland,Wetland,Water,Wetland,Water
393,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
394,Bareland,Bareland,NULL,Non_Wetland,NULL
395,Bareland,Bareland,NULL,Non_Wetland,Grassland
396,Bareland,Bareland,NULL,Non_Wetland,Wetland
397,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
398,Bareland,Bareland,NULL,Non_Wetland,Bareland
399,Bareland,Bareland,NULL,Non_Wetland,Built-up
400,Bareland,Bareland,NULL,Non_Wetland,Water
401,Bareland,Bareland,NULL,Non_Wetland,Forest
402,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
403,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
404,Bareland,Bareland,Non_Water,Non_Wetland,Water
405,Bareland,Bareland,Non_Water,Non_Wetland,Permanent_ice_and_snow
406,Bareland,Bareland,Non_Water,Non_Wetland,Forest
407,Bareland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
408,Bareland,Bareland,Water,Non_Wetland,Bareland
409,Bareland,Bareland,Water,Non_Wetland,Water
410,Bareland,Bareland,Water,Non_Wetland,Permanent_ice_and_snow
411,Bareland,Bareland,Water,Non_Wetland,Forest
412,Bareland,Built-up,NULL,Non_Wetland,Grassland
413,Bareland,Built-up,NULL,Non_Wetland,Wetland
414,Bareland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
415,Bareland,Built-up,NULL,Non_Wetland,Bareland
416,Bareland,Built-up,NULL,Non_Wetland,Built-up
417,Bareland,Built-up,NULL,Non_Wetland,Water
418,Bareland,Built-up,NULL,Non_Wetland,Forest
419,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
420,Bareland,Built-up,Water,Non_Wetland,Bareland
421,Bareland,Built-up,Water,Non_Wetland,Water
422,Bareland,Water,NULL,Water,Wetland
423,Bareland,Water,NULL,Water,Bareland
424,Bareland,Water,NULL,Water,Water
425,Bareland,Water,NULL,Water,Forest
426,Bareland,Water,Non_Water,Water,Water
427,Bareland,Water,Water,Water,Grassland
428,Bareland,Water,Water,Water,Bareland
429,Bareland,Water,Water,Water,Water
430,Bareland,Water,Water,Water,Forest
431,Bareland,Forest,NULL,Non_Wetland,NULL
432,Bareland,Forest,NULL,Non_Wetland,Grassland
433,Bareland,Forest,NULL,Non_Wetland,Wetland
434,Bareland,Forest,NULL,Non_Wetland,Bareland
435,Bareland,Forest,NULL,Non_Wetland,Built-up
436,Bareland,Forest,NULL,Non_Wetland,Water
437,Bareland,Forest,NULL,Non_Wetland,Forest
438,Bareland,Forest,Water,Non_Wetland,Wetland
439,Bareland,Forest,Water,Non_Wetland,Forest
440,Built-up,NULL,NULL,Non_Wetland,Built-up
441,Built-up,NULL,NULL,Non_Wetland,Forest
442,Built-up,Shrubland,NULL,Non_Wetland,Grassland
443,Built-up,Shrubland,NULL,Non_Wetland,Wetland
444,Built-up,Shrubland,NULL,Non_Wetland,Bareland
445,Built-up,Shrubland,NULL,Non_Wetland,Built-up
446,Built-up,Shrubland,NULL,Non_Wetland,Water
447,Built-up,Shrubland,NULL,Non_Wetland,Forest
448,Built-up,Shrubland,Non_Water,Non_Wetland,Built-up
449,Built-up,Shrubland,Non_Water,Non_Wetland,Forest
450,Built-up,Shrubland,Water,Non_Wetland,Grassland
451,Built-up,Shrubland,Water,Non_Wetland,Forest
452,Built-up,Grassland,NULL,Non_Wetland,Grassland
453,Built-up,Grassland,NULL,Non_Wetland,Built-up
454,Built-up,Grassland,NULL,Non_Wetland,Forest
455,Built-up,Wetland,NULL,Wetland,NULL
456,Built-up,Wetland,NULL,Wetland,Grassland
457,Built-up,Wetland,NULL,Wetland,Wetland
458,Built-up,Wetland,NULL,Wetland,Lichens_and_Mosses
459,Built-up,Wetland,NULL,Wetland,Bareland
460,Built-up,Wetland,NULL,Wetland,Built-up
461,Built-up,Wetland,NULL,Wetland,Forest
462,Built-up,Wetland,Water,Wetland,Bareland
463,Built-up,Wetland,Water,Wetland,Built-up
464,Built-up,Wetland,Water,Wetland,Water
465,Built-up,Wetland,Water,Wetland,Forest
466,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Forest
467,Built-up,Bareland,NULL,Non_Wetland,NULL
468,Built-up,Bareland,NULL,Non_Wetland,Grassland
469,Built-up,Bareland,NULL,Non_Wetland,Cropland
470,Built-up,Bareland,NULL,Non_Wetland,Wetland
471,Built-up,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
472,Built-up,Bareland,NULL,Non_Wetland,Bareland
473,Built-up,Bareland,NULL,Non_Wetland,Built-up
474,Built-up,Bareland,NULL,Non_Wetland,Water
475,Built-up,Bareland,NULL,Non_Wetland,Forest
476,Built-up,Bareland,Non_Water,Non_Wetland,Grassland
477,Built-up,Bareland,Non_Water,Non_Wetland,Wetland
478,Built-up,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
479,Built-up,Bareland,Non_Water,Non_Wetland,Bareland
480,Built-up,Bareland,Non_Water,Non_Wetland,Built-up
481,Built-up,Bareland,Non_Water,Non_Wetland,Water
482,Built-up,Bareland,Non_Water,Non_Wetland,Forest
483,Built-up,Bareland,Water,Non_Wetland,Grassland
