Value,SIBERIA_2024_ESRI_Annual_LULC_2024_42VUL_M_R,SIBERIA_2024_GLC_FCS30D_2022_42VUL_M_R,SIBERIA_2024_GSW_Yearly_2021_42VUL_M_R,SIBERIA_2024_GWL_FCS30D_2022_42VUL_M_R,SIBERIA_2024_WorldCover_2021_42VUL_M_R
275,Wetland,Forest,Non_Water,Non_Wetland,Wetland
276,Wetland,Forest,Non_Water,Non_Wetland,Water
277,Wetland,Forest,Non_Water,Non_Wetland,Forest
278,Wetland,Forest,Water,Non_Wetland,NULL
279,Wetland,Forest,Water,Non_Wetland,Grassland
280,Wetland,Forest,Water,Non_Wetland,Cropland
281,Wetland,Forest,Water,Non_Wetland,Wetland
282,Wetland,Forest,Water,Non_Wetland,Water
283,Wetland,Forest,Water,Non_Wetland,Forest
284,Bareland,Shrubland,NULL,Non_Wetland,Forest
285,Bareland,Wetland,Water,Wetland,Water
286,Bareland,Bareland,NULL,Non_Wetland,Grassland
287,Bareland,Bareland,NULL,Non_Wetland,Bareland
288,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
289,Bareland,Built-up,NULL,Non_Wetland,Bareland
290,Bareland,Built-up,NULL,Non_Wetland,Forest
291,Built-up,NULL,NULL,Non_Wetland,Grassland
292,Built-up,NULL,NULL,Non_Wetland,Cropland
293,Built-up,NULL,NULL,Non_Wetland,Wetland
294,Built-up,NULL,NULL,Non_Wetland,Built-up
295,Built-up,NULL,NULL,Non_Wetland,Forest
296,Built-up,Shrubland,NULL,Non_Wetland,Grassland
297,Built-up,Shrubland,NULL,Non_Wetland,Cropland
298,Built-up,Shrubland,NULL,Non_Wetland,Built-up
299,Built-up,Shrubland,NULL,Non_Wetland,Forest
300,Built-up,Grassland,NULL,Non_Wetland,Bareland
301,Built-up,Grassland,NULL,Non_Wetland,Built-up
302,Built-up,Cropland,NULL,Non_Wetland,Grassland
303,Built-up,Cropland,NULL,Non_Wetland,Cropland
304,Built-up,Cropland,NULL,Non_Wetland,Wetland
305,Built-up,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
306,Built-up,Cropland,NULL,Non_Wetland,Bareland
307,Built-up,Cropland,NULL,Non_Wetland,Built-up
308,Built-up,Cropland,NULL,Non_Wetland,Water
309,Built-up,Cropland,NULL,Non_Wetland,Forest
310,Built-up,Cropland,Non_Water,Non_Wetland,Forest
311,Built-up,Cropland,Water,Non_Wetland,Water
312,Built-up,Cropland,Water,Non_Wetland,Forest
313,Built-up,Wetland,NULL,Wetland,Grassland
314,Built-up,Wetland,NULL,Wetland,Wetland
315,Built-up,Wetland,NULL,Wetland,Forest
316,Built-up,Wetland,Non_Water,Wetland,Wetland
317,Built-up,Wetland,Water,Wetland,Forest
318,Built-up,Bareland,NULL,Non_Wetland,Grassland
319,Built-up,Bareland,NULL,Non_Wetland,Cropland
320,Built-up,Bareland,NULL,Non_Wetland,Wetland
321,Built-up,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
322,Built-up,Bareland,NULL,Non_Wetland,Bareland
323,Built-up,Bareland,NULL,Non_Wetland,Built-up
324,Built-up,Bareland,NULL,Non_Wetland,Water
325,Built-up,Bareland,NULL,Non_Wetland,Forest
326,Built-up,Bareland,Non_Water,Non_Wetland,Grassland
327,Built-up,Bareland,Non_Water,Non_Wetland,Wetland
328,Built-up,Bareland,Non_Water,Non_Wetland,Forest
329,Built-up,Built-up,NULL,Non_Wetland,Grassland
330,Built-up,Built-up,NULL,Non_Wetland,Cropland
331,Built-up,Built-up,NULL,Non_Wetland,Wetland
332,Built-up,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
333,Built-up,Built-up,NULL,Non_Wetland,Bareland
334,Built-up,Built-up,NULL,Non_Wetland,Built-up
335,Built-up,Built-up,NULL,Non_Wetland,Water
336,Built-up,Built-up,NULL,Non_Wetland,Forest
337,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
338,Built-up,Built-up,Water,Non_Wetland,Grassland
339,Built-up,Built-up,Water,Non_Wetland,Water
340,Built-up,Water,NULL,Water,Bareland
341,Built-up,Water,NULL,Water,Forest
342,Built-up,Water,Water,Water,Bareland
343,Built-up,Forest,NULL,Non_Wetland,Grassland
344,Built-up,Forest,NULL,Non_Wetland,Cropland
345,Built-up,Forest,NULL,Non_Wetland,Wetland
346,Built-up,Forest,NULL,Non_Wetland,Built-up
347,Built-up,Forest,NULL,Non_Wetland,Water
348,Built-up,Forest,NULL,Non_Wetland,Forest
349,Built-up,Forest,Non_Water,Non_Wetland,Grassland
350,Water,NULL,NULL,Non_Wetland,Grassland
351,Water,NULL,NULL,Non_Wetland,Wetland
352,Water,NULL,NULL,Non_Wetland,Water
353,Water,NULL,NULL,Non_Wetland,Forest
354,Water,NULL,Non_Water,Non_Wetland,Grassland
355,Water,NULL,Non_Water,Non_Wetland,Wetland
356,Water,NULL,Non_Water,Non_Wetland,Water
357,Water,NULL,Non_Water,Non_Wetland,Forest
358,Water,NULL,Water,Non_Wetland,Grassland
359,Water,NULL,Water,Non_Wetland,Wetland
360,Water,NULL,Water,Non_Wetland,Water
361,Water,NULL,Water,Non_Wetland,Forest
362,Water,Shrubland,NULL,Non_Wetland,Grassland
363,Water,Shrubland,NULL,Non_Wetland,Wetland
364,Water,Shrubland,NULL,Non_Wetland,Water
365,Water,Shrubland,NULL,Non_Wetland,Forest
366,Water,Shrubland,Non_Water,Non_Wetland,Grassland
367,Water,Shrubland,Non_Water,Non_Wetland,Wetland
368,Water,Shrubland,Non_Water,Non_Wetland,Water
369,Water,Shrubland,Non_Water,Non_Wetland,Forest
370,Water,Shrubland,Water,Non_Wetland,Grassland
371,Water,Shrubland,Water,Non_Wetland,Wetland
372,Water,Shrubland,Water,Non_Wetland,Water
373,Water,Shrubland,Water,Non_Wetland,Forest
374,Water,Cropland,NULL,Non_Wetland,Grassland
375,Water,Cropland,NULL,Non_Wetland,Wetland
376,Water,Cropland,NULL,Non_Wetland,Built-up
377,Water,Cropland,NULL,Non_Wetland,Water
378,Water,Cropland,NULL,Non_Wetland,Forest
379,Water,Cropland,Non_Water,Non_Wetland,Grassland
380,Water,Cropland,Non_Water,Non_Wetland,Wetland
381,Water,Cropland,Non_Water,Non_Wetland,Water
382,Water,Cropland,Non_Water,Non_Wetland,Forest
383,Water,Cropland,Water,Non_Wetland,Grassland
384,Water,Cropland,Water,Non_Wetland,Wetland
385,Water,Cropland,Water,Non_Wetland,Water
386,Water,Cropland,Water,Non_Wetland,Forest
387,Water,Wetland,NULL,Wetland,NULL
388,Water,Wetland,NULL,Wetland,Grassland
389,Water,Wetland,NULL,Wetland,Wetland
390,Water,Wetland,NULL,Wetland,Water
391,Water,Wetland,NULL,Wetland,Forest
392,Water,Wetland,Non_Water,Wetland,NULL
393,Water,Wetland,Non_Water,Wetland,Grassland
394,Water,Wetland,Non_Water,Wetland,Wetland
395,Water,Wetland,Non_Water,Wetland,Water
396,Water,Wetland,Non_Water,Wetland,Forest
397,Water,Wetland,Water,Wetland,NULL
398,Water,Wetland,Water,Wetland,Grassland
399,Water,Wetland,Water,Wetland,Cropland
400,Water,Wetland,Water,Wetland,Wetland
401,Water,Wetland,Water,Wetland,Water
402,Water,Wetland,Water,Wetland,Forest
403,Water,Bareland,NULL,Non_Wetland,Grassland
404,Water,Bareland,NULL,Non_Wetland,Wetland
405,Water,Bareland,NULL,Non_Wetland,Bareland
406,Water,Bareland,NULL,Non_Wetland,Water
407,Water,Bareland,NULL,Non_Wetland,Forest
408,Water,Bareland,Non_Water,Non_Wetland,Grassland
409,Water,Bareland,Non_Water,Non_Wetland,Wetland
410,Water,Bareland,Non_Water,Non_Wetland,Water
411,Water,Bareland,Non_Water,Non_Wetland,Forest
412,Water,Bareland,Water,Non_Wetland,Grassland
413,Water,Bareland,Water,Non_Wetland,Wetland
414,Water,Bareland,Water,Non_Wetland,Water
415,Water,Bareland,Water,Non_Wetland,Forest
416,Water,Built-up,NULL,Non_Wetland,Grassland
417,Water,Built-up,NULL,Non_Wetland,Wetland
418,Water,Built-up,NULL,Non_Wetland,Water
419,Water,Built-up,NULL,Non_Wetland,Forest
420,Water,Built-up,Non_Water,Non_Wetland,Grassland
421,Water,Built-up,Non_Water,Non_Wetland,Wetland
422,Water,Built-up,Water,Non_Wetland,Grassland
423,Water,Built-up,Water,Non_Wetland,Wetland
424,Water,Built-up,Water,Non_Wetland,Water
425,Water,Built-up,Water,Non_Wetland,Forest
426,Water,Water,NULL,Water,NULL
427,Water,Water,NULL,Water,Grassland
428,Water,Water,NULL,Water,Wetland
429,Water,Water,NULL,Water,Bareland
430,Water,Water,NULL,Water,Built-up
431,Water,Water,NULL,Water,Water
432,Water,Water,NULL,Water,Forest
433,Water,Water,Non_Water,Water,Grassland
434,Water,Water,Non_Water,Water,Wetland
435,Water,Water,Non_Water,Water,Water
436,Water,Water,Non_Water,Water,Forest
437,Water,Water,Water,Water,NULL
438,Water,Water,Water,Water,Grassland
439,Water,Water,Water,Water,Wetland
440,Water,Water,Water,Water,Bareland
441,Water,Water,Water,Water,Water
442,Water,Water,Water,Water,Forest
443,Water,Forest,NULL,Non_Wetland,NULL
444,Water,Forest,NULL,Non_Wetland,Grassland
445,Water,Forest,NULL,Non_Wetland,Wetland
446,Water,Forest,NULL,Non_Wetland,Water
447,Water,Forest,NULL,Non_Wetland,Forest
448,Water,Forest,Non_Water,Non_Wetland,Grassland
449,Water,Forest,Non_Water,Non_Wetland,Wetland
450,Water,Forest,Non_Water,Non_Wetland,Water
451,Water,Forest,Non_Water,Non_Wetland,Forest
452,Water,Forest,Water,Non_Wetland,NULL
453,Water,Forest,Water,Non_Wetland,Grassland
454,Water,Forest,Water,Non_Wetland,Wetland
455,Water,Forest,Water,Non_Wetland,Water
456,Water,Forest,Water,Non_Wetland,Forest
457,Permanent_ice_and_snow,Cropland,NULL,Non_Wetland,Forest
458,Permanent_ice_and_snow,Cropland,Non_Water,Non_Wetland,Forest
459,Permanent_ice_and_snow,Wetland,NULL,Wetland,NULL
460,Permanent_ice_and_snow,Wetland,NULL,Wetland,Grassland
461,Permanent_ice_and_snow,Wetland,NULL,Wetland,Wetland
462,Permanent_ice_and_snow,Wetland,NULL,Wetland,Water
463,Permanent_ice_and_snow,Wetland,NULL,Wetland,Forest
464,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,NULL
465,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Grassland
466,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Forest
467,Forest,NULL,NULL,Non_Wetland,NULL
468,Forest,NULL,NULL,Non_Wetland,Grassland
469,Forest,NULL,NULL,Non_Wetland,Cropland
470,Forest,NULL,NULL,Non_Wetland,Wetland
471,Forest,NULL,NULL,Non_Wetland,Built-up
472,Forest,NULL,NULL,Non_Wetland,Water
473,Forest,NULL,NULL,Non_Wetland,Forest
474,Forest,NULL,Non_Water,Non_Wetland,Grassland
475,Forest,NULL,Non_Water,Non_Wetland,Wetland
476,Forest,NULL,Non_Water,Non_Wetland,Water
477,Forest,NULL,Non_Water,Non_Wetland,Forest
478,Forest,NULL,Water,Non_Wetland,Grassland
479,Forest,NULL,Water,Non_Wetland,Wetland
480,Forest,NULL,Water,Non_Wetland,Water
481,Forest,NULL,Water,Non_Wetland,Forest
482,Forest,Shrubland,NULL,Non_Wetland,NULL
483,Forest,Shrubland,NULL,Non_Wetland,Grassland
484,Forest,Shrubland,NULL,Non_Wetland,Cropland
485,Forest,Shrubland,NULL,Non_Wetland,Wetland
486,Forest,Shrubland,NULL,Non_Wetland,Built-up
487,Forest,Shrubland,NULL,Non_Wetland,Forest
488,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
489,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
490,Forest,Shrubland,Non_Water,Non_Wetland,Forest
491,Forest,Shrubland,Water,Non_Wetland,Grassland
492,Forest,Shrubland,Water,Non_Wetland,Wetland
493,Forest,Shrubland,Water,Non_Wetland,Forest
494,Forest,Grassland,NULL,Non_Wetland,Grassland
495,Forest,Grassland,NULL,Non_Wetland,Forest
496,Forest,Cropland,NULL,Non_Wetland,NULL
497,Forest,Cropland,NULL,Non_Wetland,Grassland
498,Forest,Cropland,NULL,Non_Wetland,Cropland
499,Forest,Cropland,NULL,Non_Wetland,Wetland
500,Forest,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
501,Forest,Cropland,NULL,Non_Wetland,Bareland
502,Forest,Cropland,NULL,Non_Wetland,Built-up
503,Forest,Cropland,NULL,Non_Wetland,Water
504,Forest,Cropland,NULL,Non_Wetland,Forest
505,Forest,Cropland,Non_Water,Non_Wetland,Grassland
506,Forest,Cropland,Non_Water,Non_Wetland,Wetland
507,Forest,Cropland,Non_Water,Non_Wetland,Forest
