Value,SIBERIA_2024_ESRI_Annual_LULC_2024_45VWK_M_R,SIBERIA_2024_GLC_FCS30D_2022_45VWK_M_R,SIBERIA_2024_GSW_Yearly_2021_45VWK_M_R,SIBERIA_2024_GWL_FCS30D_2022_45VWK_M_R,SIBERIA_2024_WorldCover_2021_45VWK_M_R
269,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
270,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
271,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
272,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
273,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Water
274,Bareland,Bareland,NULL,Non_Wetland,Grassland
275,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
276,Bareland,Bareland,NULL,Non_Wetland,Bareland
277,Bareland,Bareland,NULL,Non_Wetland,Water
278,Bareland,Bareland,NULL,Non_Wetland,Forest
279,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
280,Bareland,Bareland,Water,Non_Wetland,Grassland
281,Bareland,Bareland,Water,Non_Wetland,Wetland
282,Bareland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
283,Bareland,Bareland,Water,Non_Wetland,Bareland
284,Bareland,Bareland,Water,Non_Wetland,Water
285,Bareland,Bareland,Water,Non_Wetland,Forest
286,Bareland,Built-up,NULL,Non_Wetland,Forest
287,Bareland,Built-up,Water,Non_Wetland,Grassland
288,Bareland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
289,Bareland,Built-up,Water,Non_Wetland,Bareland
290,Bareland,Built-up,Water,Non_Wetland,Water
291,Bareland,Water,NULL,Water,Grassland
292,Bareland,Water,NULL,Water,Lichens_and_Mosses
293,Bareland,Water,NULL,Water,Bareland
294,Bareland,Water,NULL,Water,Water
295,Bareland,Water,NULL,Water,Forest
296,Bareland,Water,Non_Water,Water,Water
297,Bareland,Water,Water,Water,Grassland
298,Bareland,Water,Water,Water,Wetland
299,Bareland,Water,Water,Water,Lichens_and_Mosses
300,Bareland,Water,Water,Water,Bareland
301,Bareland,Water,Water,Water,Water
302,Bareland,Water,Water,Water,Forest
303,Bareland,Forest,NULL,Non_Wetland,Grassland
304,Bareland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
305,Bareland,Forest,NULL,Non_Wetland,Bareland
306,Bareland,Forest,NULL,Non_Wetland,Water
307,Bareland,Forest,NULL,Non_Wetland,Forest
308,Bareland,Forest,Water,Non_Wetland,Bareland
309,Bareland,Forest,Water,Non_Wetland,Water
310,Built-up,NULL,NULL,Non_Wetland,Forest
311,Built-up,Shrubland,NULL,Non_Wetland,Grassland
312,Built-up,Shrubland,NULL,Non_Wetland,Built-up
313,Built-up,Shrubland,NULL,Non_Wetland,Forest
314,Built-up,Grassland,NULL,Non_Wetland,Grassland
315,Built-up,Grassland,NULL,Non_Wetland,Built-up
316,Built-up,Grassland,NULL,Non_Wetland,Forest
317,Built-up,Wetland,NULL,Wetland,Forest
318,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Forest
319,Built-up,Bareland,NULL,Non_Wetland,Grassland
320,Built-up,Bareland,NULL,Non_Wetland,Built-up
321,Built-up,Bareland,NULL,Non_Wetland,Forest
322,Built-up,Built-up,NULL,Non_Wetland,Grassland
323,Built-up,Built-up,NULL,Non_Wetland,Built-up
324,Built-up,Built-up,NULL,Non_Wetland,Forest
325,Built-up,Forest,NULL,Non_Wetland,Grassland
326,Built-up,Forest,NULL,Non_Wetland,Built-up
327,Built-up,Forest,NULL,Non_Wetland,Forest
328,Water,NULL,NULL,Non_Wetland,Grassland
329,Water,NULL,NULL,Non_Wetland,Wetland
330,Water,NULL,NULL,Non_Wetland,Lichens_and_Mosses
331,Water,NULL,NULL,Non_Wetland,Bareland
332,Water,NULL,NULL,Non_Wetland,Water
333,Water,NULL,NULL,Non_Wetland,Forest
334,Water,NULL,Non_Water,Non_Wetland,Grassland
335,Water,NULL,Non_Water,Non_Wetland,Wetland
336,Water,NULL,Non_Water,Non_Wetland,Forest
337,Water,NULL,Water,Non_Wetland,Grassland
338,Water,NULL,Water,Non_Wetland,Wetland
339,Water,NULL,Water,Non_Wetland,Lichens_and_Mosses
340,Water,NULL,Water,Non_Wetland,Bareland
341,Water,NULL,Water,Non_Wetland,Water
342,Water,NULL,Water,Non_Wetland,Forest
343,Water,Shrubland,NULL,Non_Wetland,Grassland
344,Water,Shrubland,NULL,Non_Wetland,Wetland
345,Water,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
346,Water,Shrubland,NULL,Non_Wetland,Bareland
347,Water,Shrubland,NULL,Non_Wetland,Built-up
348,Water,Shrubland,NULL,Non_Wetland,Water
349,Water,Shrubland,NULL,Non_Wetland,Forest
350,Water,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
351,Water,Shrubland,Non_Water,Non_Wetland,Water
352,Water,Shrubland,Non_Water,Non_Wetland,Forest
353,Water,Shrubland,Water,Non_Wetland,Grassland
354,Water,Shrubland,Water,Non_Wetland,Wetland
355,Water,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
356,Water,Shrubland,Water,Non_Wetland,Bareland
357,Water,Shrubland,Water,Non_Wetland,Water
358,Water,Shrubland,Water,Non_Wetland,Forest
359,Water,Grassland,NULL,Non_Wetland,Grassland
360,Water,Grassland,NULL,Non_Wetland,Wetland
361,Water,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
362,Water,Grassland,NULL,Non_Wetland,Bareland
363,Water,Grassland,NULL,Non_Wetland,Water
364,Water,Grassland,NULL,Non_Wetland,Forest
365,Water,Grassland,Non_Water,Non_Wetland,Grassland
366,Water,Grassland,Water,Non_Wetland,Grassland
367,Water,Grassland,Water,Non_Wetland,Wetland
368,Water,Grassland,Water,Non_Wetland,Lichens_and_Mosses
369,Water,Grassland,Water,Non_Wetland,Bareland
370,Water,Grassland,Water,Non_Wetland,Water
371,Water,Grassland,Water,Non_Wetland,Forest
372,Water,Wetland,NULL,Wetland,NULL
373,Water,Wetland,NULL,Wetland,Grassland
374,Water,Wetland,NULL,Wetland,Wetland
375,Water,Wetland,NULL,Wetland,Lichens_and_Mosses
376,Water,Wetland,NULL,Wetland,Bareland
377,Water,Wetland,NULL,Wetland,Water
378,Water,Wetland,NULL,Wetland,Forest
379,Water,Wetland,Non_Water,Wetland,Grassland
380,Water,Wetland,Non_Water,Wetland,Wetland
381,Water,Wetland,Non_Water,Wetland,Water
382,Water,Wetland,Non_Water,Wetland,Forest
383,Water,Wetland,Water,Wetland,Grassland
384,Water,Wetland,Water,Wetland,Wetland
385,Water,Wetland,Water,Wetland,Lichens_and_Mosses
386,Water,Wetland,Water,Wetland,Bareland
387,Water,Wetland,Water,Wetland,Water
388,Water,Wetland,Water,Wetland,Forest
389,Water,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
390,Water,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
391,Water,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
392,Water,Lichens_and_Mosses,NULL,Non_Wetland,Water
393,Water,Lichens_and_Mosses,NULL,Non_Wetland,Forest
394,Water,Lichens_and_Mosses,Water,Non_Wetland,Grassland
395,Water,Lichens_and_Mosses,Water,Non_Wetland,Wetland
396,Water,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
397,Water,Lichens_and_Mosses,Water,Non_Wetland,Bareland
398,Water,Lichens_and_Mosses,Water,Non_Wetland,Water
399,Water,Lichens_and_Mosses,Water,Non_Wetland,Forest
400,Water,Bareland,NULL,Non_Wetland,Grassland
401,Water,Bareland,NULL,Non_Wetland,Wetland
402,Water,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
403,Water,Bareland,NULL,Non_Wetland,Bareland
404,Water,Bareland,NULL,Non_Wetland,Water
405,Water,Bareland,NULL,Non_Wetland,Forest
406,Water,Bareland,Non_Water,Non_Wetland,Grassland
407,Water,Bareland,Non_Water,Non_Wetland,Wetland
408,Water,Bareland,Non_Water,Non_Wetland,Bareland
409,Water,Bareland,Non_Water,Non_Wetland,Water
410,Water,Bareland,Non_Water,Non_Wetland,Forest
411,Water,Bareland,Water,Non_Wetland,Grassland
412,Water,Bareland,Water,Non_Wetland,Wetland
413,Water,Bareland,Water,Non_Wetland,Lichens_and_Mosses
414,Water,Bareland,Water,Non_Wetland,Bareland
415,Water,Bareland,Water,Non_Wetland,Built-up
416,Water,Bareland,Water,Non_Wetland,Water
417,Water,Bareland,Water,Non_Wetland,Forest
418,Water,Built-up,NULL,Non_Wetland,Grassland
419,Water,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
420,Water,Built-up,NULL,Non_Wetland,Bareland
421,Water,Built-up,NULL,Non_Wetland,Water
422,Water,Built-up,NULL,Non_Wetland,Forest
423,Water,Built-up,Non_Water,Non_Wetland,Wetland
424,Water,Built-up,Non_Water,Non_Wetland,Forest
425,Water,Built-up,Water,Non_Wetland,Grassland
426,Water,Built-up,Water,Non_Wetland,Wetland
427,Water,Built-up,Water,Non_Wetland,Lichens_and_Mosses
428,Water,Built-up,Water,Non_Wetland,Bareland
429,Water,Built-up,Water,Non_Wetland,Water
430,Water,Built-up,Water,Non_Wetland,Forest
431,Water,Water,NULL,Water,Grassland
432,Water,Water,NULL,Water,Wetland
433,Water,Water,NULL,Water,Lichens_and_Mosses
434,Water,Water,NULL,Water,Bareland
435,Water,Water,NULL,Water,Water
436,Water,Water,NULL,Water,Forest
437,Water,Water,Non_Water,Water,Grassland
438,Water,Water,Non_Water,Water,Wetland
439,Water,Water,Non_Water,Water,Bareland
440,Water,Water,Non_Water,Water,Water
441,Water,Water,Non_Water,Water,Forest
442,Water,Water,Water,Water,Grassland
443,Water,Water,Water,Water,Wetland
444,Water,Water,Water,Water,Lichens_and_Mosses
445,Water,Water,Water,Water,Bareland
446,Water,Water,Water,Water,Water
447,Water,Water,Water,Water,Forest
448,Water,Forest,NULL,Non_Wetland,NULL
449,Water,Forest,NULL,Non_Wetland,Grassland
450,Water,Forest,NULL,Non_Wetland,Wetland
451,Water,Forest,NULL,Non_Wetland,Lichens_and_Mosses
452,Water,Forest,NULL,Non_Wetland,Bareland
453,Water,Forest,NULL,Non_Wetland,Water
454,Water,Forest,NULL,Non_Wetland,Forest
455,Water,Forest,Non_Water,Non_Wetland,Grassland
456,Water,Forest,Non_Water,Non_Wetland,Wetland
457,Water,Forest,Non_Water,Non_Wetland,Water
458,Water,Forest,Non_Water,Non_Wetland,Forest
459,Water,Forest,Water,Non_Wetland,Grassland
460,Water,Forest,Water,Non_Wetland,Wetland
461,Water,Forest,Water,Non_Wetland,Lichens_and_Mosses
462,Water,Forest,Water,Non_Wetland,Bareland
463,Water,Forest,Water,Non_Wetland,Water
464,Water,Forest,Water,Non_Wetland,Forest
465,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,NULL
466,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Grassland
467,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Wetland
468,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Lichens_and_Mosses
469,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Water
470,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Forest
471,Permanent_ice_and_snow,NULL,Water,Non_Wetland,Grassland
472,Permanent_ice_and_snow,NULL,Water,Non_Wetland,Wetland
473,Permanent_ice_and_snow,NULL,Water,Non_Wetland,Lichens_and_Mosses
474,Permanent_ice_and_snow,NULL,Water,Non_Wetland,Water
475,Permanent_ice_and_snow,NULL,Water,Non_Wetland,Forest
476,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,NULL
477,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Grassland
478,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Wetland
479,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
480,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Bareland
481,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Forest
482,Permanent_ice_and_snow,Shrubland,Water,Non_Wetland,Grassland
483,Permanent_ice_and_snow,Shrubland,Water,Non_Wetland,Wetland
484,Permanent_ice_and_snow,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
485,Permanent_ice_and_snow,Shrubland,Water,Non_Wetland,Bareland
486,Permanent_ice_and_snow,Shrubland,Water,Non_Wetland,Water
487,Permanent_ice_and_snow,Shrubland,Water,Non_Wetland,Forest
488,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Grassland
489,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Wetland
