Value,SIBERIA_2024_ESRI_Annual_LULC_2024_45VVH_M_R,SIBERIA_2024_GLC_FCS30D_2022_45VVH_M_R,SIBERIA_2024_GSW_Yearly_2021_45VVH_M_R,SIBERIA_2024_GWL_FCS30D_2022_45VVH_M_R,SIBERIA_2024_WorldCover_2021_45VVH_M_R
270,Bareland,Water,Water,Water,Lichens_and_Mosses
271,Bareland,Water,Water,Water,Bareland
272,Bareland,Water,Water,Water,Water
273,Bareland,Water,Water,Water,Forest
274,Bareland,Forest,NULL,Non_Wetland,Grassland
275,Bareland,Forest,NULL,Non_Wetland,Water
276,Bareland,Forest,NULL,Non_Wetland,Forest
277,Bareland,Forest,Water,Non_Wetland,Forest
278,Built-up,NULL,NULL,Non_Wetland,Grassland
279,Built-up,NULL,NULL,Non_Wetland,Built-up
280,Built-up,NULL,NULL,Non_Wetland,Forest
281,Built-up,Shrubland,NULL,Non_Wetland,Grassland
282,Built-up,Grassland,NULL,Non_Wetland,Grassland
283,Built-up,Grassland,NULL,Non_Wetland,Forest
284,Built-up,Bareland,NULL,Non_Wetland,Grassland
285,Built-up,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
286,Built-up,Bareland,NULL,Non_Wetland,Bareland
287,Built-up,Bareland,NULL,Non_Wetland,Built-up
288,Built-up,Bareland,NULL,Non_Wetland,Forest
289,Built-up,Bareland,Water,Non_Wetland,Water
290,Built-up,Built-up,NULL,Non_Wetland,Forest
291,Built-up,Forest,NULL,Non_Wetland,Forest
292,Water,NULL,NULL,Non_Wetland,Grassland
293,Water,NULL,NULL,Non_Wetland,Wetland
294,Water,NULL,NULL,Non_Wetland,Bareland
295,Water,NULL,NULL,Non_Wetland,Water
296,Water,NULL,NULL,Non_Wetland,Forest
297,Water,NULL,Non_Water,Non_Wetland,Grassland
298,Water,NULL,Non_Water,Non_Wetland,Water
299,Water,NULL,Non_Water,Non_Wetland,Forest
300,Water,NULL,Water,Non_Wetland,Grassland
301,Water,NULL,Water,Non_Wetland,Wetland
302,Water,NULL,Water,Non_Wetland,Lichens_and_Mosses
303,Water,NULL,Water,Non_Wetland,Bareland
304,Water,NULL,Water,Non_Wetland,Water
305,Water,NULL,Water,Non_Wetland,Forest
306,Water,Shrubland,NULL,Non_Wetland,Grassland
307,Water,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
308,Water,Shrubland,NULL,Non_Wetland,Bareland
309,Water,Shrubland,NULL,Non_Wetland,Water
310,Water,Shrubland,NULL,Non_Wetland,Forest
311,Water,Shrubland,Non_Water,Non_Wetland,Water
312,Water,Shrubland,Non_Water,Non_Wetland,Forest
313,Water,Shrubland,Water,Non_Wetland,Grassland
314,Water,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
315,Water,Shrubland,Water,Non_Wetland,Bareland
316,Water,Shrubland,Water,Non_Wetland,Water
317,Water,Shrubland,Water,Non_Wetland,Forest
318,Water,Grassland,NULL,Non_Wetland,Grassland
319,Water,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
320,Water,Grassland,NULL,Non_Wetland,Bareland
321,Water,Grassland,NULL,Non_Wetland,Water
322,Water,Grassland,NULL,Non_Wetland,Forest
323,Water,Grassland,Water,Non_Wetland,Grassland
324,Water,Grassland,Water,Non_Wetland,Wetland
325,Water,Grassland,Water,Non_Wetland,Lichens_and_Mosses
326,Water,Grassland,Water,Non_Wetland,Bareland
327,Water,Grassland,Water,Non_Wetland,Water
328,Water,Grassland,Water,Non_Wetland,Forest
329,Water,Wetland,NULL,Wetland,NULL
330,Water,Wetland,NULL,Wetland,Grassland
331,Water,Wetland,NULL,Wetland,Wetland
332,Water,Wetland,NULL,Wetland,Lichens_and_Mosses
333,Water,Wetland,NULL,Wetland,Bareland
334,Water,Wetland,NULL,Wetland,Water
335,Water,Wetland,NULL,Wetland,Forest
336,Water,Wetland,Non_Water,Wetland,Grassland
337,Water,Wetland,Non_Water,Wetland,Wetland
338,Water,Wetland,Non_Water,Wetland,Water
339,Water,Wetland,Non_Water,Wetland,Forest
340,Water,Wetland,Water,Wetland,Grassland
341,Water,Wetland,Water,Wetland,Wetland
342,Water,Wetland,Water,Wetland,Lichens_and_Mosses
343,Water,Wetland,Water,Wetland,Bareland
344,Water,Wetland,Water,Wetland,Water
345,Water,Wetland,Water,Wetland,Forest
346,Water,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
347,Water,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
348,Water,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
349,Water,Lichens_and_Mosses,NULL,Non_Wetland,Water
350,Water,Lichens_and_Mosses,NULL,Non_Wetland,Forest
351,Water,Lichens_and_Mosses,Water,Non_Wetland,Grassland
352,Water,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
353,Water,Lichens_and_Mosses,Water,Non_Wetland,Bareland
354,Water,Lichens_and_Mosses,Water,Non_Wetland,Water
355,Water,Lichens_and_Mosses,Water,Non_Wetland,Forest
356,Water,Bareland,NULL,Non_Wetland,Grassland
357,Water,Bareland,NULL,Non_Wetland,Wetland
358,Water,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
359,Water,Bareland,NULL,Non_Wetland,Bareland
360,Water,Bareland,NULL,Non_Wetland,Water
361,Water,Bareland,NULL,Non_Wetland,Forest
362,Water,Bareland,Non_Water,Non_Wetland,Grassland
363,Water,Bareland,Non_Water,Non_Wetland,Wetland
364,Water,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
365,Water,Bareland,Non_Water,Non_Wetland,Bareland
366,Water,Bareland,Non_Water,Non_Wetland,Water
367,Water,Bareland,Non_Water,Non_Wetland,Forest
368,Water,Bareland,Water,Non_Wetland,Grassland
369,Water,Bareland,Water,Non_Wetland,Wetland
370,Water,Bareland,Water,Non_Wetland,Lichens_and_Mosses
371,Water,Bareland,Water,Non_Wetland,Bareland
372,Water,Bareland,Water,Non_Wetland,Water
373,Water,Bareland,Water,Non_Wetland,Forest
374,Water,Built-up,NULL,Non_Wetland,Grassland
375,Water,Built-up,NULL,Non_Wetland,Wetland
376,Water,Built-up,NULL,Non_Wetland,Bareland
377,Water,Built-up,NULL,Non_Wetland,Water
378,Water,Built-up,NULL,Non_Wetland,Forest
379,Water,Built-up,Non_Water,Non_Wetland,Water
380,Water,Built-up,Water,Non_Wetland,Grassland
381,Water,Built-up,Water,Non_Wetland,Lichens_and_Mosses
382,Water,Built-up,Water,Non_Wetland,Bareland
383,Water,Built-up,Water,Non_Wetland,Water
384,Water,Built-up,Water,Non_Wetland,Forest
385,Water,Water,NULL,Water,NULL
386,Water,Water,NULL,Water,Grassland
387,Water,Water,NULL,Water,Wetland
388,Water,Water,NULL,Water,Lichens_and_Mosses
389,Water,Water,NULL,Water,Bareland
390,Water,Water,NULL,Water,Water
391,Water,Water,NULL,Water,Forest
392,Water,Water,Non_Water,Water,Grassland
393,Water,Water,Non_Water,Water,Wetland
394,Water,Water,Non_Water,Water,Bareland
395,Water,Water,Non_Water,Water,Water
396,Water,Water,Non_Water,Water,Forest
397,Water,Water,Water,Water,NULL
398,Water,Water,Water,Water,Grassland
399,Water,Water,Water,Water,Wetland
400,Water,Water,Water,Water,Lichens_and_Mosses
401,Water,Water,Water,Water,Bareland
402,Water,Water,Water,Water,Water
403,Water,Water,Water,Water,Forest
404,Water,Forest,NULL,Non_Wetland,Grassland
405,Water,Forest,NULL,Non_Wetland,Wetland
406,Water,Forest,NULL,Non_Wetland,Lichens_and_Mosses
407,Water,Forest,NULL,Non_Wetland,Bareland
408,Water,Forest,NULL,Non_Wetland,Water
409,Water,Forest,NULL,Non_Wetland,Forest
410,Water,Forest,Non_Water,Non_Wetland,Wetland
411,Water,Forest,Non_Water,Non_Wetland,Water
412,Water,Forest,Non_Water,Non_Wetland,Forest
413,Water,Forest,Water,Non_Wetland,Grassland
414,Water,Forest,Water,Non_Wetland,Wetland
415,Water,Forest,Water,Non_Wetland,Lichens_and_Mosses
416,Water,Forest,Water,Non_Wetland,Bareland
417,Water,Forest,Water,Non_Wetland,Water
418,Water,Forest,Water,Non_Wetland,Forest
419,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Grassland
420,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Wetland
421,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Water
422,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Forest
423,Permanent_ice_and_snow,NULL,Non_Water,Non_Wetland,Forest
424,Permanent_ice_and_snow,NULL,Water,Non_Wetland,Wetland
425,Permanent_ice_and_snow,NULL,Water,Non_Wetland,Water
426,Permanent_ice_and_snow,NULL,Water,Non_Wetland,Forest
427,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,NULL
428,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Grassland
429,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Wetland
430,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
431,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Water
432,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Forest
433,Permanent_ice_and_snow,Shrubland,Non_Water,Non_Wetland,Grassland
434,Permanent_ice_and_snow,Shrubland,Non_Water,Non_Wetland,Wetland
435,Permanent_ice_and_snow,Shrubland,Water,Non_Wetland,Grassland
436,Permanent_ice_and_snow,Shrubland,Water,Non_Wetland,Wetland
437,Permanent_ice_and_snow,Shrubland,Water,Non_Wetland,Water
438,Permanent_ice_and_snow,Shrubland,Water,Non_Wetland,Forest
439,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,NULL
440,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Grassland
441,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
442,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Bareland
443,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Forest
444,Permanent_ice_and_snow,Grassland,Water,Non_Wetland,Grassland
445,Permanent_ice_and_snow,Grassland,Water,Non_Wetland,Forest
446,Permanent_ice_and_snow,Wetland,NULL,Wetland,NULL
447,Permanent_ice_and_snow,Wetland,NULL,Wetland,Grassland
448,Permanent_ice_and_snow,Wetland,NULL,Wetland,Wetland
449,Permanent_ice_and_snow,Wetland,NULL,Wetland,Water
450,Permanent_ice_and_snow,Wetland,NULL,Wetland,Forest
451,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Grassland
452,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Wetland
453,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Water
454,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Forest
455,Permanent_ice_and_snow,Wetland,Water,Wetland,Grassland
456,Permanent_ice_and_snow,Wetland,Water,Wetland,Wetland
457,Permanent_ice_and_snow,Wetland,Water,Wetland,Water
458,Permanent_ice_and_snow,Wetland,Water,Wetland,Forest
459,Permanent_ice_and_snow,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
460,Permanent_ice_and_snow,Lichens_and_Mosses,NULL,Non_Wetland,Forest
461,Permanent_ice_and_snow,Lichens_and_Mosses,Water,Non_Wetland,Grassland
462,Permanent_ice_and_snow,Lichens_and_Mosses,Water,Non_Wetland,Bareland
463,Permanent_ice_and_snow,Lichens_and_Mosses,Water,Non_Wetland,Forest
464,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,NULL
465,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Grassland
466,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Wetland
467,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
468,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Bareland
469,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Water
470,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Forest
471,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Grassland
472,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Wetland
473,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Water
474,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Forest
475,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Grassland
476,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Wetland
477,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Lichens_and_Mosses
478,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Bareland
479,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Water
480,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Forest
481,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Wetland
