Value,SIBERIA_2024_ESRI_Annual_LULC_2024_43VDH_M_R,SIBERIA_2024_GLC_FCS30D_2022_43VDH_M_R,SIBERIA_2024_GSW_Yearly_2021_43VDH_M_R,SIBERIA_2024_GWL_FCS30D_2022_43VDH_M_R,SIBERIA_2024_WorldCover_2021_43VDH_M_R
263,Cropland,Forest,Non_Water,Non_Wetland,Forest
264,Cropland,Forest,Water,Non_Wetland,Wetland
265,Cropland,Forest,Water,Non_Wetland,Forest
266,Wetland,NULL,NULL,Non_Wetland,NULL
267,Wetland,NULL,NULL,Non_Wetland,Grassland
268,Wetland,NULL,NULL,Non_Wetland,Wetland
269,Wetland,NULL,NULL,Non_Wetland,Lichens_and_Mosses
270,Wetland,NULL,NULL,Non_Wetland,Bareland
271,Wetland,NULL,NULL,Non_Wetland,Built-up
272,Wetland,NULL,NULL,Non_Wetland,Water
273,Wetland,NULL,NULL,Non_Wetland,Forest
274,Wetland,NULL,Non_Water,Non_Wetland,NULL
275,Wetland,NULL,Non_Water,Non_Wetland,Grassland
276,Wetland,NULL,Non_Water,Non_Wetland,Wetland
277,Wetland,NULL,Non_Water,Non_Wetland,Bareland
278,Wetland,NULL,Non_Water,Non_Wetland,Built-up
279,Wetland,NULL,Non_Water,Non_Wetland,Water
280,Wetland,NULL,Non_Water,Non_Wetland,Forest
281,Wetland,NULL,Water,Non_Wetland,Grassland
282,Wetland,NULL,Water,Non_Wetland,Wetland
283,Wetland,NULL,Water,Non_Wetland,Built-up
284,Wetland,NULL,Water,Non_Wetland,Water
285,Wetland,NULL,Water,Non_Wetland,Forest
286,Wetland,Shrubland,NULL,Non_Wetland,NULL
287,Wetland,Shrubland,NULL,Non_Wetland,Grassland
288,Wetland,Shrubland,NULL,Non_Wetland,Wetland
289,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
290,Wetland,Shrubland,NULL,Non_Wetland,Bareland
291,Wetland,Shrubland,NULL,Non_Wetland,Built-up
292,Wetland,Shrubland,NULL,Non_Wetland,Water
293,Wetland,Shrubland,NULL,Non_Wetland,Forest
294,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
295,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
296,Wetland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
297,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland
298,Wetland,Shrubland,Non_Water,Non_Wetland,Built-up
299,Wetland,Shrubland,Non_Water,Non_Wetland,Water
300,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
301,Wetland,Shrubland,Water,Non_Wetland,NULL
302,Wetland,Shrubland,Water,Non_Wetland,Grassland
303,Wetland,Shrubland,Water,Non_Wetland,Wetland
304,Wetland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
305,Wetland,Shrubland,Water,Non_Wetland,Bareland
306,Wetland,Shrubland,Water,Non_Wetland,Built-up
307,Wetland,Shrubland,Water,Non_Wetland,Water
308,Wetland,Shrubland,Water,Non_Wetland,Forest
309,Wetland,Grassland,NULL,Non_Wetland,NULL
310,Wetland,Grassland,NULL,Non_Wetland,Grassland
311,Wetland,Grassland,NULL,Non_Wetland,Wetland
312,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
313,Wetland,Grassland,NULL,Non_Wetland,Bareland
314,Wetland,Grassland,NULL,Non_Wetland,Built-up
315,Wetland,Grassland,NULL,Non_Wetland,Water
316,Wetland,Grassland,NULL,Non_Wetland,Forest
317,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
318,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
319,Wetland,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
320,Wetland,Grassland,Non_Water,Non_Wetland,Built-up
321,Wetland,Grassland,Non_Water,Non_Wetland,Water
322,Wetland,Grassland,Non_Water,Non_Wetland,Forest
323,Wetland,Grassland,Water,Non_Wetland,Grassland
324,Wetland,Grassland,Water,Non_Wetland,Wetland
325,Wetland,Grassland,Water,Non_Wetland,Water
326,Wetland,Grassland,Water,Non_Wetland,Forest
327,Wetland,Cropland,NULL,Non_Wetland,NULL
328,Wetland,Cropland,NULL,Non_Wetland,Grassland
329,Wetland,Cropland,NULL,Non_Wetland,Wetland
330,Wetland,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
331,Wetland,Cropland,NULL,Non_Wetland,Bareland
332,Wetland,Cropland,NULL,Non_Wetland,Built-up
333,Wetland,Cropland,NULL,Non_Wetland,Water
334,Wetland,Cropland,NULL,Non_Wetland,Forest
335,Wetland,Cropland,Non_Water,Non_Wetland,Grassland
336,Wetland,Cropland,Non_Water,Non_Wetland,Wetland
337,Wetland,Cropland,Non_Water,Non_Wetland,Lichens_and_Mosses
338,Wetland,Cropland,Non_Water,Non_Wetland,Bareland
339,Wetland,Cropland,Non_Water,Non_Wetland,Built-up
340,Wetland,Cropland,Non_Water,Non_Wetland,Water
341,Wetland,Cropland,Non_Water,Non_Wetland,Forest
342,Wetland,Cropland,Water,Non_Wetland,Grassland
343,Wetland,Cropland,Water,Non_Wetland,Wetland
344,Wetland,Cropland,Water,Non_Wetland,Forest
345,Wetland,Wetland,NULL,Wetland,NULL
346,Wetland,Wetland,NULL,Wetland,Grassland
347,Wetland,Wetland,NULL,Wetland,Wetland
348,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
349,Wetland,Wetland,NULL,Wetland,Bareland
350,Wetland,Wetland,NULL,Wetland,Built-up
351,Wetland,Wetland,NULL,Wetland,Water
352,Wetland,Wetland,NULL,Wetland,Forest
353,Wetland,Wetland,Non_Water,Wetland,NULL
354,Wetland,Wetland,Non_Water,Wetland,Grassland
355,Wetland,Wetland,Non_Water,Wetland,Wetland
356,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
357,Wetland,Wetland,Non_Water,Wetland,Bareland
358,Wetland,Wetland,Non_Water,Wetland,Built-up
359,Wetland,Wetland,Non_Water,Wetland,Water
360,Wetland,Wetland,Non_Water,Wetland,Forest
361,Wetland,Wetland,Water,Wetland,NULL
362,Wetland,Wetland,Water,Wetland,Grassland
363,Wetland,Wetland,Water,Wetland,Wetland
364,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
365,Wetland,Wetland,Water,Wetland,Bareland
366,Wetland,Wetland,Water,Wetland,Built-up
367,Wetland,Wetland,Water,Wetland,Water
368,Wetland,Wetland,Water,Wetland,Forest
369,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
370,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
371,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
372,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
373,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
374,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
375,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
376,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
377,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
378,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
379,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
380,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
381,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Built-up
382,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
383,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
384,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
385,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
386,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
387,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
388,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Built-up
389,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
390,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Forest
391,Wetland,Bareland,NULL,Non_Wetland,NULL
392,Wetland,Bareland,NULL,Non_Wetland,Grassland
393,Wetland,Bareland,NULL,Non_Wetland,Wetland
394,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
395,Wetland,Bareland,NULL,Non_Wetland,Bareland
396,Wetland,Bareland,NULL,Non_Wetland,Built-up
397,Wetland,Bareland,NULL,Non_Wetland,Water
398,Wetland,Bareland,NULL,Non_Wetland,Forest
399,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
400,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
401,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
402,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
403,Wetland,Bareland,Non_Water,Non_Wetland,Built-up
404,Wetland,Bareland,Non_Water,Non_Wetland,Water
405,Wetland,Bareland,Non_Water,Non_Wetland,Forest
406,Wetland,Bareland,Water,Non_Wetland,Grassland
407,Wetland,Bareland,Water,Non_Wetland,Wetland
408,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
409,Wetland,Bareland,Water,Non_Wetland,Bareland
410,Wetland,Bareland,Water,Non_Wetland,Built-up
411,Wetland,Bareland,Water,Non_Wetland,Water
412,Wetland,Bareland,Water,Non_Wetland,Forest
413,Wetland,Built-up,NULL,Non_Wetland,NULL
414,Wetland,Built-up,NULL,Non_Wetland,Grassland
415,Wetland,Built-up,NULL,Non_Wetland,Wetland
416,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
417,Wetland,Built-up,NULL,Non_Wetland,Bareland
418,Wetland,Built-up,NULL,Non_Wetland,Built-up
419,Wetland,Built-up,NULL,Non_Wetland,Water
420,Wetland,Built-up,NULL,Non_Wetland,Forest
421,Wetland,Built-up,Non_Water,Non_Wetland,Grassland
422,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
423,Wetland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
424,Wetland,Built-up,Non_Water,Non_Wetland,Bareland
425,Wetland,Built-up,Non_Water,Non_Wetland,Built-up
426,Wetland,Built-up,Non_Water,Non_Wetland,Water
427,Wetland,Built-up,Non_Water,Non_Wetland,Forest
428,Wetland,Built-up,Water,Non_Wetland,Grassland
429,Wetland,Built-up,Water,Non_Wetland,Wetland
430,Wetland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
431,Wetland,Built-up,Water,Non_Wetland,Bareland
432,Wetland,Built-up,Water,Non_Wetland,Built-up
433,Wetland,Built-up,Water,Non_Wetland,Water
434,Wetland,Built-up,Water,Non_Wetland,Forest
435,Wetland,Water,NULL,Water,NULL
436,Wetland,Water,NULL,Water,Grassland
437,Wetland,Water,NULL,Water,Wetland
438,Wetland,Water,NULL,Water,Lichens_and_Mosses
439,Wetland,Water,NULL,Water,Bareland
440,Wetland,Water,NULL,Water,Built-up
441,Wetland,Water,NULL,Water,Water
442,Wetland,Water,NULL,Water,Forest
443,Wetland,Water,Non_Water,Water,NULL
444,Wetland,Water,Non_Water,Water,Grassland
445,Wetland,Water,Non_Water,Water,Wetland
446,Wetland,Water,Non_Water,Water,Lichens_and_Mosses
447,Wetland,Water,Non_Water,Water,Bareland
448,Wetland,Water,Non_Water,Water,Built-up
449,Wetland,Water,Non_Water,Water,Water
450,Wetland,Water,Non_Water,Water,Forest
451,Wetland,Water,Water,Water,NULL
452,Wetland,Water,Water,Water,Grassland
453,Wetland,Water,Water,Water,Wetland
454,Wetland,Water,Water,Water,Lichens_and_Mosses
455,Wetland,Water,Water,Water,Bareland
456,Wetland,Water,Water,Water,Water
457,Wetland,Water,Water,Water,Forest
458,Wetland,Forest,NULL,Non_Wetland,NULL
459,Wetland,Forest,NULL,Non_Wetland,Grassland
460,Wetland,Forest,NULL,Non_Wetland,Wetland
461,Wetland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
462,Wetland,Forest,NULL,Non_Wetland,Bareland
463,Wetland,Forest,NULL,Non_Wetland,Built-up
464,Wetland,Forest,NULL,Non_Wetland,Water
465,Wetland,Forest,NULL,Non_Wetland,Forest
466,Wetland,Forest,Non_Water,Non_Wetland,NULL
467,Wetland,Forest,Non_Water,Non_Wetland,Grassland
468,Wetland,Forest,Non_Water,Non_Wetland,Wetland
469,Wetland,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
470,Wetland,Forest,Non_Water,Non_Wetland,Bareland
471,Wetland,Forest,Non_Water,Non_Wetland,Built-up
472,Wetland,Forest,Non_Water,Non_Wetland,Water
473,Wetland,Forest,Non_Water,Non_Wetland,Forest
474,Wetland,Forest,Water,Non_Wetland,NULL
475,Wetland,Forest,Water,Non_Wetland,Grassland
476,Wetland,Forest,Water,Non_Wetland,Wetland
