Value,SIBERIA_2024_ESRI_Annual_LULC_2024_44VNN_M_R,SIBERIA_2024_GLC_FCS30D_2022_44VNN_M_R,SIBERIA_2024_GSW_Yearly_2021_44VNN_M_R,SIBERIA_2024_GWL_FCS30D_2022_44VNN_M_R,SIBERIA_2024_WorldCover_2021_44VNN_M_R
272,Bareland,Wetland,Non_Water,Wetland,Water
273,Bareland,Wetland,Water,Wetland,Grassland
274,Bareland,Wetland,Water,Wetland,Lichens_and_Mosses
275,Bareland,Wetland,Water,Wetland,Bareland
276,Bareland,Wetland,Water,Wetland,Water
277,Bareland,Wetland,Water,Wetland,Forest
278,Bareland,Bareland,NULL,Non_Wetland,Grassland
279,Bareland,Bareland,NULL,Non_Wetland,Bareland
280,Bareland,Bareland,NULL,Non_Wetland,Water
281,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
282,Bareland,Bareland,Non_Water,Non_Wetland,Water
283,Bareland,Bareland,Water,Non_Wetland,Grassland
284,Bareland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
285,Bareland,Bareland,Water,Non_Wetland,Bareland
286,Bareland,Bareland,Water,Non_Wetland,Water
287,Bareland,Water,NULL,Water,Bareland
288,Bareland,Water,NULL,Water,Water
289,Bareland,Water,NULL,Water,Forest
290,Bareland,Water,Non_Water,Water,Bareland
291,Bareland,Water,Water,Water,Grassland
292,Bareland,Water,Water,Water,Lichens_and_Mosses
293,Bareland,Water,Water,Water,Bareland
294,Bareland,Water,Water,Water,Water
295,Bareland,Water,Water,Water,Forest
296,Bareland,Forest,NULL,Non_Wetland,Water
297,Bareland,Forest,NULL,Non_Wetland,Forest
298,Bareland,Forest,Non_Water,Non_Wetland,Water
299,Bareland,Forest,Non_Water,Non_Wetland,Forest
300,Bareland,Forest,Water,Non_Wetland,Grassland
301,Bareland,Forest,Water,Non_Wetland,Water
302,Bareland,Forest,Water,Non_Wetland,Forest
303,Water,NULL,NULL,Non_Wetland,Grassland
304,Water,NULL,NULL,Non_Wetland,Wetland
305,Water,NULL,NULL,Non_Wetland,Water
306,Water,NULL,NULL,Non_Wetland,Forest
307,Water,NULL,Non_Water,Non_Wetland,Water
308,Water,NULL,Non_Water,Non_Wetland,Forest
309,Water,NULL,Water,Non_Wetland,Wetland
310,Water,NULL,Water,Non_Wetland,Water
311,Water,NULL,Water,Non_Wetland,Forest
312,Water,Shrubland,NULL,Non_Wetland,Grassland
313,Water,Shrubland,NULL,Non_Wetland,Water
314,Water,Shrubland,NULL,Non_Wetland,Forest
315,Water,Shrubland,Water,Non_Wetland,Grassland
316,Water,Shrubland,Water,Non_Wetland,Wetland
317,Water,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
318,Water,Shrubland,Water,Non_Wetland,Bareland
319,Water,Shrubland,Water,Non_Wetland,Water
320,Water,Shrubland,Water,Non_Wetland,Forest
321,Water,Grassland,Water,Non_Wetland,Water
322,Water,Cropland,NULL,Non_Wetland,Forest
323,Water,Wetland,NULL,Wetland,NULL
324,Water,Wetland,NULL,Wetland,Grassland
325,Water,Wetland,NULL,Wetland,Wetland
326,Water,Wetland,NULL,Wetland,Lichens_and_Mosses
327,Water,Wetland,NULL,Wetland,Water
328,Water,Wetland,NULL,Wetland,Forest
329,Water,Wetland,Non_Water,Wetland,Grassland
330,Water,Wetland,Non_Water,Wetland,Wetland
331,Water,Wetland,Non_Water,Wetland,Lichens_and_Mosses
332,Water,Wetland,Non_Water,Wetland,Water
333,Water,Wetland,Non_Water,Wetland,Forest
334,Water,Wetland,Water,Wetland,Grassland
335,Water,Wetland,Water,Wetland,Wetland
336,Water,Wetland,Water,Wetland,Lichens_and_Mosses
337,Water,Wetland,Water,Wetland,Bareland
338,Water,Wetland,Water,Wetland,Water
339,Water,Wetland,Water,Wetland,Forest
340,Water,Lichens_and_Mosses,Water,Non_Wetland,Forest
341,Water,Bareland,NULL,Non_Wetland,Wetland
342,Water,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
343,Water,Bareland,NULL,Non_Wetland,Bareland
344,Water,Bareland,NULL,Non_Wetland,Water
345,Water,Bareland,NULL,Non_Wetland,Forest
346,Water,Bareland,Non_Water,Non_Wetland,Wetland
347,Water,Bareland,Non_Water,Non_Wetland,Water
348,Water,Bareland,Non_Water,Non_Wetland,Forest
349,Water,Bareland,Water,Non_Wetland,Grassland
350,Water,Bareland,Water,Non_Wetland,Lichens_and_Mosses
351,Water,Bareland,Water,Non_Wetland,Bareland
352,Water,Bareland,Water,Non_Wetland,Water
353,Water,Bareland,Water,Non_Wetland,Forest
354,Water,Built-up,NULL,Non_Wetland,Water
355,Water,Built-up,NULL,Non_Wetland,Forest
356,Water,Built-up,Water,Non_Wetland,Bareland
357,Water,Built-up,Water,Non_Wetland,Water
358,Water,Water,NULL,Water,Grassland
359,Water,Water,NULL,Water,Wetland
360,Water,Water,NULL,Water,Lichens_and_Mosses
361,Water,Water,NULL,Water,Water
362,Water,Water,NULL,Water,Forest
363,Water,Water,Non_Water,Water,Grassland
364,Water,Water,Non_Water,Water,Wetland
365,Water,Water,Non_Water,Water,Lichens_and_Mosses
366,Water,Water,Non_Water,Water,Water
367,Water,Water,Non_Water,Water,Forest
368,Water,Water,Water,Water,NULL
369,Water,Water,Water,Water,Grassland
370,Water,Water,Water,Water,Wetland
371,Water,Water,Water,Water,Lichens_and_Mosses
372,Water,Water,Water,Water,Bareland
373,Water,Water,Water,Water,Water
374,Water,Water,Water,Water,Forest
375,Water,Forest,NULL,Non_Wetland,Grassland
376,Water,Forest,NULL,Non_Wetland,Wetland
377,Water,Forest,NULL,Non_Wetland,Water
378,Water,Forest,NULL,Non_Wetland,Forest
379,Water,Forest,Non_Water,Non_Wetland,Grassland
380,Water,Forest,Non_Water,Non_Wetland,Wetland
381,Water,Forest,Non_Water,Non_Wetland,Bareland
382,Water,Forest,Non_Water,Non_Wetland,Water
383,Water,Forest,Non_Water,Non_Wetland,Forest
384,Water,Forest,Water,Non_Wetland,Grassland
385,Water,Forest,Water,Non_Wetland,Wetland
386,Water,Forest,Water,Non_Wetland,Bareland
387,Water,Forest,Water,Non_Wetland,Water
388,Water,Forest,Water,Non_Wetland,Forest
389,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,NULL
390,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Grassland
391,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Wetland
392,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Water
393,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Forest
394,Permanent_ice_and_snow,NULL,Non_Water,Non_Wetland,Water
395,Permanent_ice_and_snow,NULL,Non_Water,Non_Wetland,Forest
396,Permanent_ice_and_snow,NULL,Water,Non_Wetland,Grassland
397,Permanent_ice_and_snow,NULL,Water,Non_Wetland,Wetland
398,Permanent_ice_and_snow,NULL,Water,Non_Wetland,Water
399,Permanent_ice_and_snow,NULL,Water,Non_Wetland,Forest
400,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,NULL
401,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Grassland
402,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Wetland
403,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Water
404,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Forest
405,Permanent_ice_and_snow,Shrubland,Non_Water,Non_Wetland,Wetland
406,Permanent_ice_and_snow,Shrubland,Non_Water,Non_Wetland,Forest
407,Permanent_ice_and_snow,Shrubland,Water,Non_Wetland,Grassland
408,Permanent_ice_and_snow,Shrubland,Water,Non_Wetland,Wetland
409,Permanent_ice_and_snow,Shrubland,Water,Non_Wetland,Forest
410,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,NULL
411,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Grassland
412,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Forest
413,Permanent_ice_and_snow,Grassland,Water,Non_Wetland,Grassland
414,Permanent_ice_and_snow,Grassland,Water,Non_Wetland,Forest
415,Permanent_ice_and_snow,Wetland,NULL,Wetland,NULL
416,Permanent_ice_and_snow,Wetland,NULL,Wetland,Grassland
417,Permanent_ice_and_snow,Wetland,NULL,Wetland,Wetland
418,Permanent_ice_and_snow,Wetland,NULL,Wetland,Lichens_and_Mosses
419,Permanent_ice_and_snow,Wetland,NULL,Wetland,Water
420,Permanent_ice_and_snow,Wetland,NULL,Wetland,Forest
421,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,NULL
422,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Grassland
423,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Wetland
424,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Bareland
425,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Water
426,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Forest
427,Permanent_ice_and_snow,Wetland,Water,Wetland,NULL
428,Permanent_ice_and_snow,Wetland,Water,Wetland,Grassland
429,Permanent_ice_and_snow,Wetland,Water,Wetland,Wetland
430,Permanent_ice_and_snow,Wetland,Water,Wetland,Lichens_and_Mosses
431,Permanent_ice_and_snow,Wetland,Water,Wetland,Bareland
432,Permanent_ice_and_snow,Wetland,Water,Wetland,Water
433,Permanent_ice_and_snow,Wetland,Water,Wetland,Forest
434,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,NULL
435,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Grassland
436,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Wetland
437,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
438,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Bareland
439,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Water
440,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Forest
441,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Grassland
442,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Wetland
443,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Water
444,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Forest
445,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Grassland
446,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Wetland
447,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Lichens_and_Mosses
448,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Bareland
449,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Water
450,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Forest
451,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Water
452,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Forest
453,Permanent_ice_and_snow,Built-up,Non_Water,Non_Wetland,Wetland
454,Permanent_ice_and_snow,Built-up,Non_Water,Non_Wetland,Forest
455,Permanent_ice_and_snow,Built-up,Water,Non_Wetland,Grassland
456,Permanent_ice_and_snow,Built-up,Water,Non_Wetland,Forest
457,Permanent_ice_and_snow,Water,NULL,Water,Grassland
458,Permanent_ice_and_snow,Water,NULL,Water,Wetland
459,Permanent_ice_and_snow,Water,NULL,Water,Water
460,Permanent_ice_and_snow,Water,NULL,Water,Forest
461,Permanent_ice_and_snow,Water,Non_Water,Water,Wetland
462,Permanent_ice_and_snow,Water,Non_Water,Water,Water
463,Permanent_ice_and_snow,Water,Non_Water,Water,Forest
464,Permanent_ice_and_snow,Water,Water,Water,NULL
465,Permanent_ice_and_snow,Water,Water,Water,Grassland
466,Permanent_ice_and_snow,Water,Water,Water,Wetland
467,Permanent_ice_and_snow,Water,Water,Water,Bareland
468,Permanent_ice_and_snow,Water,Water,Water,Water
469,Permanent_ice_and_snow,Water,Water,Water,Forest
470,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,NULL
471,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Grassland
472,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Wetland
473,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Water
474,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Forest
475,Permanent_ice_and_snow,Forest,Non_Water,Non_Wetland,Grassland
476,Permanent_ice_and_snow,Forest,Non_Water,Non_Wetland,Wetland
477,Permanent_ice_and_snow,Forest,Non_Water,Non_Wetland,Water
478,Permanent_ice_and_snow,Forest,Non_Water,Non_Wetland,Forest
479,Permanent_ice_and_snow,Forest,Water,Non_Wetland,Grassland
480,Permanent_ice_and_snow,Forest,Water,Non_Wetland,Wetland
481,Permanent_ice_and_snow,Forest,Water,Non_Wetland,Water
482,Permanent_ice_and_snow,Forest,Water,Non_Wetland,Forest
483,Forest,NULL,NULL,Non_Wetland,NULL
