Value,SIBERIA_2024_ESA_CALU_2024_44XMF_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_44XMF_M_R,SIBERIA_2024_GLC_FCS30D_2022_44XMF_M_R,SIBERIA_2024_GSW_Yearly_2021_44XMF_M_R,SIBERIA_2024_GWL_FCS30D_2022_44XMF_M_R,SIBERIA_2024_WorldCover_2021_44XMF_M_R
115,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
116,NULL,NULL,Built-up,Water,Non_Wetland,Water
117,NULL,NULL,Water,NULL,NULL,NULL
118,NULL,NULL,Water,NULL,NULL,Grassland
119,NULL,NULL,Water,NULL,NULL,Wetland
120,NULL,NULL,Water,NULL,NULL,Water
121,NULL,NULL,Water,NULL,Water,Grassland
122,NULL,NULL,Water,NULL,Water,Wetland
123,NULL,NULL,Water,NULL,Water,Lichens_and_Mosses
124,NULL,NULL,Water,NULL,Water,Bareland
125,NULL,NULL,Water,NULL,Water,Water
126,NULL,NULL,Water,Non_Water,NULL,Grassland
127,NULL,NULL,Water,Non_Water,NULL,Wetland
128,NULL,NULL,Water,Non_Water,NULL,Water
129,NULL,NULL,Water,Non_Water,Water,Grassland
130,NULL,NULL,Water,Non_Water,Water,Wetland
131,NULL,NULL,Water,Non_Water,Water,Lichens_and_Mosses
132,NULL,NULL,Water,Non_Water,Water,Water
133,NULL,NULL,Water,Water,NULL,NULL
134,NULL,NULL,Water,Water,NULL,Wetland
135,NULL,NULL,Water,Water,NULL,Lichens_and_Mosses
136,NULL,NULL,Water,Water,NULL,Bareland
137,NULL,NULL,Water,Water,NULL,Water
138,NULL,NULL,Water,Water,Water,Grassland
139,NULL,NULL,Water,Water,Water,Wetland
140,NULL,NULL,Water,Water,Water,Lichens_and_Mosses
141,NULL,NULL,Water,Water,Water,Bareland
142,NULL,NULL,Water,Water,Water,Water
143,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
144,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
145,NULL,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
146,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
147,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
148,NULL,NULL,Forest,Water,Non_Wetland,Grassland
149,NULL,NULL,Forest,Water,Non_Wetland,Wetland
150,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland
151,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland
152,NULL,Wetland,NULL,Non_Water,Non_Wetland,Wetland
153,NULL,Wetland,NULL,Water,Non_Wetland,Wetland
154,NULL,Wetland,NULL,Water,Non_Wetland,Water
155,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
156,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
157,NULL,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
158,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland
159,NULL,Wetland,Shrubland,NULL,Non_Wetland,Water
160,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
161,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
162,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
163,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland
164,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Water
165,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland
166,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland
167,NULL,Wetland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
168,NULL,Wetland,Shrubland,Water,Non_Wetland,Bareland
169,NULL,Wetland,Shrubland,Water,Non_Wetland,Water
170,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
171,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland
172,NULL,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
173,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland
174,NULL,Wetland,Grassland,NULL,Non_Wetland,Water
175,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
176,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
177,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
178,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Water
179,NULL,Wetland,Grassland,Water,Non_Wetland,Grassland
180,NULL,Wetland,Grassland,Water,Non_Wetland,Wetland
181,NULL,Wetland,Grassland,Water,Non_Wetland,Lichens_and_Mosses
182,NULL,Wetland,Grassland,Water,Non_Wetland,Water
183,NULL,Wetland,Wetland,NULL,NULL,Grassland
184,NULL,Wetland,Wetland,NULL,NULL,Wetland
185,NULL,Wetland,Wetland,NULL,NULL,Lichens_and_Mosses
186,NULL,Wetland,Wetland,NULL,NULL,Water
187,NULL,Wetland,Wetland,NULL,Wetland,Grassland
188,NULL,Wetland,Wetland,NULL,Wetland,Wetland
189,NULL,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
190,NULL,Wetland,Wetland,NULL,Wetland,Bareland
191,NULL,Wetland,Wetland,NULL,Wetland,Water
192,NULL,Wetland,Wetland,Non_Water,NULL,Grassland
193,NULL,Wetland,Wetland,Non_Water,NULL,Wetland
194,NULL,Wetland,Wetland,Non_Water,NULL,Lichens_and_Mosses
195,NULL,Wetland,Wetland,Non_Water,NULL,Water
196,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland
197,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland
198,NULL,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
199,NULL,Wetland,Wetland,Non_Water,Wetland,Bareland
200,NULL,Wetland,Wetland,Non_Water,Wetland,Water
201,NULL,Wetland,Wetland,Water,NULL,Grassland
202,NULL,Wetland,Wetland,Water,NULL,Wetland
203,NULL,Wetland,Wetland,Water,NULL,Lichens_and_Mosses
204,NULL,Wetland,Wetland,Water,NULL,Bareland
205,NULL,Wetland,Wetland,Water,NULL,Water
206,NULL,Wetland,Wetland,Water,Wetland,Grassland
207,NULL,Wetland,Wetland,Water,Wetland,Wetland
208,NULL,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
209,NULL,Wetland,Wetland,Water,Wetland,Bareland
210,NULL,Wetland,Wetland,Water,Wetland,Water
211,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
212,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
213,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
214,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
215,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
216,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
217,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
218,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
219,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
220,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
221,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
222,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
223,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
224,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
225,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
226,NULL,Wetland,Bareland,NULL,Non_Wetland,Grassland
227,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland
228,NULL,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
229,NULL,Wetland,Bareland,NULL,Non_Wetland,Bareland
230,NULL,Wetland,Bareland,NULL,Non_Wetland,Water
231,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
232,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
233,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
234,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
235,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Water
236,NULL,Wetland,Bareland,Water,Non_Wetland,Grassland
237,NULL,Wetland,Bareland,Water,Non_Wetland,Wetland
238,NULL,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
239,NULL,Wetland,Bareland,Water,Non_Wetland,Bareland
240,NULL,Wetland,Bareland,Water,Non_Wetland,Water
241,NULL,Wetland,Built-up,NULL,Non_Wetland,Grassland
242,NULL,Wetland,Built-up,NULL,Non_Wetland,Wetland
243,NULL,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
244,NULL,Wetland,Built-up,NULL,Non_Wetland,Bareland
245,NULL,Wetland,Built-up,NULL,Non_Wetland,Water
246,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Grassland
247,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
248,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
249,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Bareland
250,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Water
251,NULL,Wetland,Built-up,Water,Non_Wetland,Grassland
252,NULL,Wetland,Built-up,Water,Non_Wetland,Wetland
253,NULL,Wetland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
254,NULL,Wetland,Built-up,Water,Non_Wetland,Bareland
255,NULL,Wetland,Built-up,Water,Non_Wetland,Water
256,NULL,Wetland,Water,NULL,NULL,Wetland
257,NULL,Wetland,Water,NULL,NULL,Water
258,NULL,Wetland,Water,NULL,Water,Grassland
259,NULL,Wetland,Water,NULL,Water,Wetland
260,NULL,Wetland,Water,NULL,Water,Lichens_and_Mosses
261,NULL,Wetland,Water,NULL,Water,Bareland
262,NULL,Wetland,Water,NULL,Water,Water
263,NULL,Wetland,Water,Non_Water,NULL,Wetland
264,NULL,Wetland,Water,Non_Water,Water,Grassland
265,NULL,Wetland,Water,Non_Water,Water,Wetland
266,NULL,Wetland,Water,Non_Water,Water,Lichens_and_Mosses
267,NULL,Wetland,Water,Non_Water,Water,Bareland
268,NULL,Wetland,Water,Non_Water,Water,Water
269,NULL,Wetland,Water,Water,NULL,Grassland
270,NULL,Wetland,Water,Water,NULL,Wetland
271,NULL,Wetland,Water,Water,NULL,Lichens_and_Mosses
272,NULL,Wetland,Water,Water,NULL,Bareland
273,NULL,Wetland,Water,Water,NULL,Water
274,NULL,Wetland,Water,Water,Water,Grassland
275,NULL,Wetland,Water,Water,Water,Wetland
276,NULL,Wetland,Water,Water,Water,Lichens_and_Mosses
277,NULL,Wetland,Water,Water,Water,Bareland
278,NULL,Wetland,Water,Water,Water,Water
279,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
280,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
281,NULL,Wetland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
282,NULL,Wetland,Forest,NULL,Non_Wetland,Water
283,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland
284,NULL,Wetland,Forest,Non_Water,Non_Wetland,Water
285,NULL,Wetland,Forest,Water,Non_Wetland,Grassland
286,NULL,Wetland,Forest,Water,Non_Wetland,Wetland
287,NULL,Wetland,Forest,Water,Non_Wetland,Water
288,NULL,Bareland,Shrubland,NULL,Non_Wetland,Wetland
289,NULL,Bareland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
290,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
291,NULL,Bareland,Shrubland,NULL,Non_Wetland,Water
292,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Wetland
293,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Water
294,NULL,Bareland,Shrubland,Water,Non_Wetland,Wetland
295,NULL,Bareland,Shrubland,Water,Non_Wetland,Water
296,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
297,NULL,Bareland,Grassland,NULL,Non_Wetland,Wetland
298,NULL,Bareland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
299,NULL,Bareland,Wetland,NULL,NULL,Wetland
300,NULL,Bareland,Wetland,NULL,NULL,Lichens_and_Mosses
301,NULL,Bareland,Wetland,NULL,NULL,Bareland
302,NULL,Bareland,Wetland,NULL,NULL,Water
303,NULL,Bareland,Wetland,NULL,Wetland,Grassland
304,NULL,Bareland,Wetland,NULL,Wetland,Wetland
305,NULL,Bareland,Wetland,NULL,Wetland,Lichens_and_Mosses
306,NULL,Bareland,Wetland,NULL,Wetland,Bareland
307,NULL,Bareland,Wetland,NULL,Wetland,Water
308,NULL,Bareland,Wetland,Non_Water,NULL,Lichens_and_Mosses
309,NULL,Bareland,Wetland,Non_Water,NULL,Bareland
310,NULL,Bareland,Wetland,Non_Water,NULL,Water
311,NULL,Bareland,Wetland,Non_Water,Wetland,Wetland
312,NULL,Bareland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
313,NULL,Bareland,Wetland,Non_Water,Wetland,Bareland
314,NULL,Bareland,Wetland,Non_Water,Wetland,Water
315,NULL,Bareland,Wetland,Water,NULL,Grassland
316,NULL,Bareland,Wetland,Water,NULL,Wetland
317,NULL,Bareland,Wetland,Water,NULL,Bareland
318,NULL,Bareland,Wetland,Water,NULL,Water
319,NULL,Bareland,Wetland,Water,Wetland,Wetland
320,NULL,Bareland,Wetland,Water,Wetland,Lichens_and_Mosses
321,NULL,Bareland,Wetland,Water,Wetland,Bareland
322,NULL,Bareland,Wetland,Water,Wetland,Water
323,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
324,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
325,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
326,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Water
327,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
328,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
329,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
330,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
331,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
332,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
333,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Water
334,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
335,NULL,Bareland,Bareland,NULL,Non_Wetland,Wetland
336,NULL,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
337,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
338,NULL,Bareland,Bareland,NULL,Non_Wetland,Water
339,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Wetland
340,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
341,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Water
342,NULL,Bareland,Bareland,Water,Non_Wetland,Wetland
343,NULL,Bareland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
344,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland
345,NULL,Bareland,Bareland,Water,Non_Wetland,Water
346,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland
347,NULL,Bareland,Built-up,NULL,Non_Wetland,Wetland
348,NULL,Bareland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
349,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
350,NULL,Bareland,Built-up,NULL,Non_Wetland,Water
351,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Wetland
352,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
353,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
354,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Water
355,NULL,Bareland,Built-up,Water,Non_Wetland,Wetland
356,NULL,Bareland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
357,NULL,Bareland,Built-up,Water,Non_Wetland,Bareland
358,NULL,Bareland,Built-up,Water,Non_Wetland,Water
359,NULL,Bareland,Water,NULL,NULL,Bareland
360,NULL,Bareland,Water,NULL,NULL,Water
361,NULL,Bareland,Water,NULL,Water,Wetland
362,NULL,Bareland,Water,NULL,Water,Lichens_and_Mosses
363,NULL,Bareland,Water,NULL,Water,Bareland
364,NULL,Bareland,Water,NULL,Water,Water
365,NULL,Bareland,Water,Non_Water,NULL,Water
366,NULL,Bareland,Water,Non_Water,Water,Wetland
367,NULL,Bareland,Water,Non_Water,Water,Bareland
368,NULL,Bareland,Water,Non_Water,Water,Water
369,NULL,Bareland,Water,Water,NULL,Water
370,NULL,Bareland,Water,Water,Water,Grassland
371,NULL,Bareland,Water,Water,Water,Wetland
372,NULL,Bareland,Water,Water,Water,Bareland
373,NULL,Bareland,Water,Water,Water,Water
374,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
375,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
376,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland
377,NULL,Built-up,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
378,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
379,NULL,Built-up,Wetland,NULL,Wetland,Grassland
380,NULL,Built-up,Wetland,NULL,Wetland,Bareland
381,NULL,Built-up,Wetland,NULL,Wetland,Forest
382,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
383,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
384,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland
385,NULL,Built-up,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
386,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
387,NULL,Built-up,Bareland,NULL,Non_Wetland,Water
388,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
389,NULL,Water,NULL,NULL,Non_Wetland,Wetland
390,NULL,Water,NULL,Water,Non_Wetland,Water
391,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
392,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland
393,NULL,Water,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
394,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
395,NULL,Water,Shrubland,NULL,Non_Wetland,Water
396,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland
397,NULL,Water,Shrubland,Non_Water,Non_Wetland,Wetland
398,NULL,Water,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
399,NULL,Water,Shrubland,Non_Water,Non_Wetland,Water
400,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
401,NULL,Water,Shrubland,Water,Non_Wetland,Wetland
402,NULL,Water,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
403,NULL,Water,Shrubland,Water,Non_Wetland,Bareland
404,NULL,Water,Shrubland,Water,Non_Wetland,Water
405,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
406,NULL,Water,Grassland,NULL,Non_Wetland,Wetland
407,NULL,Water,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
408,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
409,NULL,Water,Grassland,NULL,Non_Wetland,Water
410,NULL,Water,Grassland,Non_Water,Non_Wetland,Grassland
411,NULL,Water,Grassland,Non_Water,Non_Wetland,Wetland
412,NULL,Water,Grassland,Non_Water,Non_Wetland,Water
413,NULL,Water,Grassland,Water,Non_Wetland,Grassland
414,NULL,Water,Grassland,Water,Non_Wetland,Wetland
415,NULL,Water,Grassland,Water,Non_Wetland,Water
416,NULL,Water,Wetland,NULL,NULL,Grassland
417,NULL,Water,Wetland,NULL,NULL,Wetland
