Value,SIBERIA_2024_ESRI_Annual_LULC_2024_42VWN_M_R,SIBERIA_2024_GLC_FCS30D_2022_42VWN_M_R,SIBERIA_2024_GSW_Yearly_2021_42VWN_M_R,SIBERIA_2024_GWL_FCS30D_2022_42VWN_M_R,SIBERIA_2024_WorldCover_2021_42VWN_M_R
262,Cropland,Wetland,Water,Wetland,Grassland
263,Cropland,Wetland,Water,Wetland,Wetland
264,Cropland,Wetland,Water,Wetland,Lichens_and_Mosses
265,Cropland,Wetland,Water,Wetland,Water
266,Cropland,Wetland,Water,Wetland,Forest
267,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
268,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
269,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
270,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
271,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
272,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
273,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
274,Cropland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
275,Cropland,Bareland,NULL,Non_Wetland,NULL
276,Cropland,Bareland,NULL,Non_Wetland,Grassland
277,Cropland,Bareland,NULL,Non_Wetland,Cropland
278,Cropland,Bareland,NULL,Non_Wetland,Wetland
279,Cropland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
280,Cropland,Bareland,NULL,Non_Wetland,Bareland
281,Cropland,Bareland,NULL,Non_Wetland,Built-up
282,Cropland,Bareland,NULL,Non_Wetland,Water
283,Cropland,Bareland,NULL,Non_Wetland,Forest
284,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
285,Cropland,Bareland,Non_Water,Non_Wetland,Cropland
286,Cropland,Bareland,Non_Water,Non_Wetland,Wetland
287,Cropland,Bareland,Non_Water,Non_Wetland,Bareland
288,Cropland,Bareland,Non_Water,Non_Wetland,Built-up
289,Cropland,Bareland,Non_Water,Non_Wetland,Forest
290,Cropland,Bareland,Water,Non_Wetland,Grassland
291,Cropland,Bareland,Water,Non_Wetland,Wetland
292,Cropland,Bareland,Water,Non_Wetland,Bareland
293,Cropland,Bareland,Water,Non_Wetland,Water
294,Cropland,Bareland,Water,Non_Wetland,Forest
295,Cropland,Built-up,NULL,Non_Wetland,NULL
296,Cropland,Built-up,NULL,Non_Wetland,Grassland
297,Cropland,Built-up,NULL,Non_Wetland,Wetland
298,Cropland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
299,Cropland,Built-up,NULL,Non_Wetland,Bareland
300,Cropland,Built-up,NULL,Non_Wetland,Built-up
301,Cropland,Built-up,NULL,Non_Wetland,Forest
302,Cropland,Built-up,Non_Water,Non_Wetland,Grassland
303,Cropland,Built-up,Non_Water,Non_Wetland,Bareland
304,Cropland,Water,NULL,Water,Grassland
305,Cropland,Water,Non_Water,Water,Bareland
306,Cropland,Water,Water,Water,Grassland
307,Cropland,Water,Water,Water,Wetland
308,Cropland,Forest,NULL,Non_Wetland,NULL
309,Cropland,Forest,NULL,Non_Wetland,Grassland
310,Cropland,Forest,NULL,Non_Wetland,Cropland
311,Cropland,Forest,NULL,Non_Wetland,Wetland
312,Cropland,Forest,NULL,Non_Wetland,Bareland
313,Cropland,Forest,NULL,Non_Wetland,Built-up
314,Cropland,Forest,NULL,Non_Wetland,Forest
315,Cropland,Forest,Non_Water,Non_Wetland,Grassland
316,Cropland,Forest,Non_Water,Non_Wetland,Wetland
317,Cropland,Forest,Non_Water,Non_Wetland,Bareland
318,Cropland,Forest,Water,Non_Wetland,Grassland
319,Cropland,Forest,Water,Non_Wetland,Wetland
320,Cropland,Forest,Water,Non_Wetland,Forest
321,Wetland,NULL,NULL,Non_Wetland,NULL
322,Wetland,NULL,NULL,Non_Wetland,Grassland
323,Wetland,NULL,NULL,Non_Wetland,Cropland
324,Wetland,NULL,NULL,Non_Wetland,Wetland
325,Wetland,NULL,NULL,Non_Wetland,Bareland
326,Wetland,NULL,NULL,Non_Wetland,Built-up
327,Wetland,NULL,NULL,Non_Wetland,Water
328,Wetland,NULL,NULL,Non_Wetland,Forest
329,Wetland,NULL,Non_Water,Non_Wetland,Grassland
330,Wetland,NULL,Non_Water,Non_Wetland,Wetland
331,Wetland,NULL,Non_Water,Non_Wetland,Bareland
332,Wetland,NULL,Non_Water,Non_Wetland,Built-up
333,Wetland,NULL,Non_Water,Non_Wetland,Water
334,Wetland,NULL,Non_Water,Non_Wetland,Forest
335,Wetland,NULL,Water,Non_Wetland,Grassland
336,Wetland,NULL,Water,Non_Wetland,Wetland
337,Wetland,NULL,Water,Non_Wetland,Bareland
338,Wetland,NULL,Water,Non_Wetland,Water
339,Wetland,NULL,Water,Non_Wetland,Forest
340,Wetland,Shrubland,NULL,Non_Wetland,NULL
341,Wetland,Shrubland,NULL,Non_Wetland,Grassland
342,Wetland,Shrubland,NULL,Non_Wetland,Cropland
343,Wetland,Shrubland,NULL,Non_Wetland,Wetland
344,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
345,Wetland,Shrubland,NULL,Non_Wetland,Bareland
346,Wetland,Shrubland,NULL,Non_Wetland,Built-up
347,Wetland,Shrubland,NULL,Non_Wetland,Water
348,Wetland,Shrubland,NULL,Non_Wetland,Forest
349,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
350,Wetland,Shrubland,Non_Water,Non_Wetland,Cropland
351,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
352,Wetland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
353,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland
354,Wetland,Shrubland,Non_Water,Non_Wetland,Built-up
355,Wetland,Shrubland,Non_Water,Non_Wetland,Water
356,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
357,Wetland,Shrubland,Water,Non_Wetland,Grassland
358,Wetland,Shrubland,Water,Non_Wetland,Wetland
359,Wetland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
360,Wetland,Shrubland,Water,Non_Wetland,Bareland
361,Wetland,Shrubland,Water,Non_Wetland,Built-up
362,Wetland,Shrubland,Water,Non_Wetland,Water
363,Wetland,Shrubland,Water,Non_Wetland,Forest
364,Wetland,Grassland,NULL,Non_Wetland,NULL
365,Wetland,Grassland,NULL,Non_Wetland,Grassland
366,Wetland,Grassland,NULL,Non_Wetland,Cropland
367,Wetland,Grassland,NULL,Non_Wetland,Wetland
368,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
369,Wetland,Grassland,NULL,Non_Wetland,Bareland
370,Wetland,Grassland,NULL,Non_Wetland,Built-up
371,Wetland,Grassland,NULL,Non_Wetland,Water
372,Wetland,Grassland,NULL,Non_Wetland,Forest
373,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
374,Wetland,Grassland,Non_Water,Non_Wetland,Cropland
375,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
376,Wetland,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
377,Wetland,Grassland,Non_Water,Non_Wetland,Bareland
378,Wetland,Grassland,Non_Water,Non_Wetland,Built-up
379,Wetland,Grassland,Non_Water,Non_Wetland,Water
380,Wetland,Grassland,Non_Water,Non_Wetland,Forest
381,Wetland,Grassland,Water,Non_Wetland,Grassland
382,Wetland,Grassland,Water,Non_Wetland,Wetland
383,Wetland,Grassland,Water,Non_Wetland,Bareland
384,Wetland,Grassland,Water,Non_Wetland,Built-up
385,Wetland,Grassland,Water,Non_Wetland,Water
386,Wetland,Grassland,Water,Non_Wetland,Forest
387,Wetland,Cropland,NULL,Non_Wetland,NULL
388,Wetland,Cropland,NULL,Non_Wetland,Grassland
389,Wetland,Cropland,NULL,Non_Wetland,Cropland
390,Wetland,Cropland,NULL,Non_Wetland,Wetland
391,Wetland,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
392,Wetland,Cropland,NULL,Non_Wetland,Bareland
393,Wetland,Cropland,NULL,Non_Wetland,Built-up
394,Wetland,Cropland,NULL,Non_Wetland,Water
395,Wetland,Cropland,NULL,Non_Wetland,Forest
396,Wetland,Cropland,Non_Water,Non_Wetland,Grassland
397,Wetland,Cropland,Non_Water,Non_Wetland,Cropland
398,Wetland,Cropland,Non_Water,Non_Wetland,Wetland
399,Wetland,Cropland,Non_Water,Non_Wetland,Lichens_and_Mosses
400,Wetland,Cropland,Non_Water,Non_Wetland,Bareland
401,Wetland,Cropland,Non_Water,Non_Wetland,Built-up
402,Wetland,Cropland,Non_Water,Non_Wetland,Water
403,Wetland,Cropland,Non_Water,Non_Wetland,Forest
404,Wetland,Cropland,Water,Non_Wetland,Grassland
405,Wetland,Cropland,Water,Non_Wetland,Cropland
406,Wetland,Cropland,Water,Non_Wetland,Wetland
407,Wetland,Cropland,Water,Non_Wetland,Lichens_and_Mosses
408,Wetland,Cropland,Water,Non_Wetland,Bareland
409,Wetland,Cropland,Water,Non_Wetland,Water
410,Wetland,Cropland,Water,Non_Wetland,Forest
411,Wetland,Wetland,NULL,Wetland,NULL
412,Wetland,Wetland,NULL,Wetland,Grassland
413,Wetland,Wetland,NULL,Wetland,Cropland
414,Wetland,Wetland,NULL,Wetland,Wetland
415,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
416,Wetland,Wetland,NULL,Wetland,Bareland
417,Wetland,Wetland,NULL,Wetland,Built-up
418,Wetland,Wetland,NULL,Wetland,Water
419,Wetland,Wetland,NULL,Wetland,Forest
420,Wetland,Wetland,Non_Water,Wetland,NULL
421,Wetland,Wetland,Non_Water,Wetland,Grassland
422,Wetland,Wetland,Non_Water,Wetland,Cropland
423,Wetland,Wetland,Non_Water,Wetland,Wetland
424,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
425,Wetland,Wetland,Non_Water,Wetland,Bareland
426,Wetland,Wetland,Non_Water,Wetland,Built-up
427,Wetland,Wetland,Non_Water,Wetland,Water
428,Wetland,Wetland,Non_Water,Wetland,Forest
429,Wetland,Wetland,Water,Wetland,NULL
430,Wetland,Wetland,Water,Wetland,Grassland
431,Wetland,Wetland,Water,Wetland,Cropland
432,Wetland,Wetland,Water,Wetland,Wetland
433,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
434,Wetland,Wetland,Water,Wetland,Bareland
435,Wetland,Wetland,Water,Wetland,Built-up
436,Wetland,Wetland,Water,Wetland,Water
437,Wetland,Wetland,Water,Wetland,Forest
438,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
439,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
440,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
441,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
442,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
443,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
444,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
445,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
446,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
447,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
448,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Cropland
449,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
450,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
451,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
452,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Built-up
453,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
454,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
455,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
456,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
457,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
458,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
459,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Built-up
460,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
461,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Forest
462,Wetland,Bareland,NULL,Non_Wetland,NULL
463,Wetland,Bareland,NULL,Non_Wetland,Grassland
464,Wetland,Bareland,NULL,Non_Wetland,Cropland
465,Wetland,Bareland,NULL,Non_Wetland,Wetland
466,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
467,Wetland,Bareland,NULL,Non_Wetland,Bareland
468,Wetland,Bareland,NULL,Non_Wetland,Built-up
469,Wetland,Bareland,NULL,Non_Wetland,Water
