Value,SIBERIA_2024_ESRI_Annual_LULC_2024_43VCG_M_R,SIBERIA_2024_GLC_FCS30D_2022_43VCG_M_R,SIBERIA_2024_GSW_Yearly_2021_43VCG_M_R,SIBERIA_2024_GWL_FCS30D_2022_43VCG_M_R,SIBERIA_2024_WorldCover_2021_43VCG_M_R
264,Wetland,Grassland,Non_Water,Non_Wetland,Water
265,Wetland,Grassland,Water,Non_Wetland,Grassland
266,Wetland,Grassland,Water,Non_Wetland,Bareland
267,Wetland,Grassland,Water,Non_Wetland,Water
268,Wetland,Grassland,Water,Non_Wetland,Forest
269,Wetland,Cropland,NULL,Non_Wetland,NULL
270,Wetland,Cropland,NULL,Non_Wetland,Grassland
271,Wetland,Cropland,NULL,Non_Wetland,Wetland
272,Wetland,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
273,Wetland,Cropland,NULL,Non_Wetland,Bareland
274,Wetland,Cropland,NULL,Non_Wetland,Built-up
275,Wetland,Cropland,NULL,Non_Wetland,Water
276,Wetland,Cropland,NULL,Non_Wetland,Forest
277,Wetland,Cropland,Water,Non_Wetland,Grassland
278,Wetland,Cropland,Water,Non_Wetland,Bareland
279,Wetland,Cropland,Water,Non_Wetland,Water
280,Wetland,Cropland,Water,Non_Wetland,Forest
281,Wetland,Wetland,NULL,Wetland,NULL
282,Wetland,Wetland,NULL,Wetland,Grassland
283,Wetland,Wetland,NULL,Wetland,Wetland
284,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
285,Wetland,Wetland,NULL,Wetland,Bareland
286,Wetland,Wetland,NULL,Wetland,Built-up
287,Wetland,Wetland,NULL,Wetland,Water
288,Wetland,Wetland,NULL,Wetland,Forest
289,Wetland,Wetland,Non_Water,Wetland,NULL
290,Wetland,Wetland,Non_Water,Wetland,Grassland
291,Wetland,Wetland,Non_Water,Wetland,Wetland
292,Wetland,Wetland,Non_Water,Wetland,Built-up
293,Wetland,Wetland,Non_Water,Wetland,Water
294,Wetland,Wetland,Non_Water,Wetland,Forest
295,Wetland,Wetland,Water,Wetland,NULL
296,Wetland,Wetland,Water,Wetland,Grassland
297,Wetland,Wetland,Water,Wetland,Wetland
298,Wetland,Wetland,Water,Wetland,Water
299,Wetland,Wetland,Water,Wetland,Forest
300,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
301,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
302,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
303,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
304,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
305,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
306,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Forest
307,Wetland,Bareland,NULL,Non_Wetland,NULL
308,Wetland,Bareland,NULL,Non_Wetland,Grassland
309,Wetland,Bareland,NULL,Non_Wetland,Cropland
310,Wetland,Bareland,NULL,Non_Wetland,Wetland
311,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
312,Wetland,Bareland,NULL,Non_Wetland,Bareland
313,Wetland,Bareland,NULL,Non_Wetland,Built-up
314,Wetland,Bareland,NULL,Non_Wetland,Water
315,Wetland,Bareland,NULL,Non_Wetland,Forest
316,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
317,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
318,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
319,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
320,Wetland,Bareland,Non_Water,Non_Wetland,Built-up
321,Wetland,Bareland,Non_Water,Non_Wetland,Water
322,Wetland,Bareland,Non_Water,Non_Wetland,Forest
323,Wetland,Bareland,Water,Non_Wetland,Grassland
324,Wetland,Bareland,Water,Non_Wetland,Wetland
325,Wetland,Bareland,Water,Non_Wetland,Bareland
326,Wetland,Bareland,Water,Non_Wetland,Built-up
327,Wetland,Bareland,Water,Non_Wetland,Water
328,Wetland,Bareland,Water,Non_Wetland,Forest
329,Wetland,Built-up,NULL,Non_Wetland,NULL
330,Wetland,Built-up,NULL,Non_Wetland,Grassland
331,Wetland,Built-up,NULL,Non_Wetland,Wetland
332,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
333,Wetland,Built-up,NULL,Non_Wetland,Bareland
334,Wetland,Built-up,NULL,Non_Wetland,Built-up
335,Wetland,Built-up,NULL,Non_Wetland,Water
336,Wetland,Built-up,NULL,Non_Wetland,Forest
337,Wetland,Built-up,Non_Water,Non_Wetland,Grassland
338,Wetland,Built-up,Non_Water,Non_Wetland,Bareland
339,Wetland,Built-up,Non_Water,Non_Wetland,Built-up
340,Wetland,Built-up,Non_Water,Non_Wetland,Forest
341,Wetland,Built-up,Water,Non_Wetland,Water
342,Wetland,Water,NULL,Water,NULL
343,Wetland,Water,NULL,Water,Grassland
344,Wetland,Water,NULL,Water,Wetland
345,Wetland,Water,NULL,Water,Bareland
346,Wetland,Water,NULL,Water,Water
347,Wetland,Water,NULL,Water,Forest
348,Wetland,Water,Non_Water,Water,Grassland
349,Wetland,Water,Non_Water,Water,Wetland
350,Wetland,Water,Non_Water,Water,Water
351,Wetland,Water,Non_Water,Water,Forest
352,Wetland,Water,Water,Water,NULL
353,Wetland,Water,Water,Water,Grassland
354,Wetland,Water,Water,Water,Wetland
355,Wetland,Water,Water,Water,Bareland
356,Wetland,Water,Water,Water,Water
357,Wetland,Water,Water,Water,Forest
358,Wetland,Forest,NULL,Non_Wetland,NULL
359,Wetland,Forest,NULL,Non_Wetland,Grassland
360,Wetland,Forest,NULL,Non_Wetland,Wetland
361,Wetland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
362,Wetland,Forest,NULL,Non_Wetland,Bareland
363,Wetland,Forest,NULL,Non_Wetland,Built-up
364,Wetland,Forest,NULL,Non_Wetland,Water
365,Wetland,Forest,NULL,Non_Wetland,Forest
366,Wetland,Forest,Non_Water,Non_Wetland,NULL
367,Wetland,Forest,Non_Water,Non_Wetland,Grassland
368,Wetland,Forest,Non_Water,Non_Wetland,Wetland
369,Wetland,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
370,Wetland,Forest,Non_Water,Non_Wetland,Water
371,Wetland,Forest,Non_Water,Non_Wetland,Forest
372,Wetland,Forest,Water,Non_Wetland,NULL
373,Wetland,Forest,Water,Non_Wetland,Grassland
374,Wetland,Forest,Water,Non_Wetland,Wetland
375,Wetland,Forest,Water,Non_Wetland,Water
376,Wetland,Forest,Water,Non_Wetland,Forest
377,Bareland,NULL,NULL,Non_Wetland,Grassland
378,Bareland,NULL,NULL,Non_Wetland,Bareland
379,Bareland,NULL,NULL,Non_Wetland,Water
380,Bareland,NULL,NULL,Non_Wetland,Forest
381,Bareland,NULL,Water,Non_Wetland,Water
382,Bareland,NULL,Water,Non_Wetland,Forest
383,Bareland,Shrubland,NULL,Non_Wetland,Grassland
384,Bareland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
385,Bareland,Shrubland,NULL,Non_Wetland,Bareland
386,Bareland,Shrubland,NULL,Non_Wetland,Built-up
387,Bareland,Shrubland,NULL,Non_Wetland,Forest
388,Bareland,Grassland,NULL,Non_Wetland,Grassland
389,Bareland,Grassland,NULL,Non_Wetland,Wetland
390,Bareland,Grassland,NULL,Non_Wetland,Bareland
391,Bareland,Grassland,NULL,Non_Wetland,Built-up
392,Bareland,Grassland,NULL,Non_Wetland,Water
393,Bareland,Grassland,NULL,Non_Wetland,Forest
394,Bareland,Grassland,Non_Water,Non_Wetland,Bareland
395,Bareland,Grassland,Water,Non_Wetland,Bareland
396,Bareland,Cropland,NULL,Non_Wetland,NULL
397,Bareland,Cropland,NULL,Non_Wetland,Grassland
398,Bareland,Cropland,NULL,Non_Wetland,Wetland
399,Bareland,Cropland,NULL,Non_Wetland,Bareland
400,Bareland,Cropland,NULL,Non_Wetland,Water
401,Bareland,Cropland,NULL,Non_Wetland,Forest
402,Bareland,Cropland,Water,Non_Wetland,Water
403,Bareland,Wetland,NULL,Wetland,NULL
404,Bareland,Wetland,NULL,Wetland,Grassland
405,Bareland,Wetland,NULL,Wetland,Wetland
406,Bareland,Wetland,NULL,Wetland,Bareland
407,Bareland,Wetland,NULL,Wetland,Water
408,Bareland,Wetland,NULL,Wetland,Forest
409,Bareland,Wetland,Non_Water,Wetland,Bareland
410,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
411,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
412,Bareland,Bareland,NULL,Non_Wetland,Grassland
413,Bareland,Bareland,NULL,Non_Wetland,Cropland
414,Bareland,Bareland,NULL,Non_Wetland,Wetland
415,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
416,Bareland,Bareland,NULL,Non_Wetland,Bareland
417,Bareland,Bareland,NULL,Non_Wetland,Built-up
418,Bareland,Bareland,NULL,Non_Wetland,Water
419,Bareland,Bareland,NULL,Non_Wetland,Forest
420,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
421,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
422,Bareland,Bareland,Non_Water,Non_Wetland,Built-up
423,Bareland,Bareland,Water,Non_Wetland,Grassland
424,Bareland,Bareland,Water,Non_Wetland,Bareland
425,Bareland,Bareland,Water,Non_Wetland,Built-up
426,Bareland,Built-up,NULL,Non_Wetland,Grassland
427,Bareland,Built-up,NULL,Non_Wetland,Wetland
428,Bareland,Built-up,NULL,Non_Wetland,Bareland
429,Bareland,Built-up,NULL,Non_Wetland,Built-up
430,Bareland,Built-up,NULL,Non_Wetland,Water
431,Bareland,Built-up,NULL,Non_Wetland,Forest
432,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
433,Bareland,Built-up,Non_Water,Non_Wetland,Built-up
434,Bareland,Built-up,Water,Non_Wetland,Bareland
435,Bareland,Built-up,Water,Non_Wetland,Built-up
436,Bareland,Water,NULL,Water,NULL
437,Bareland,Water,NULL,Water,Wetland
438,Bareland,Water,NULL,Water,Water
439,Bareland,Water,NULL,Water,Forest
440,Bareland,Water,Water,Water,Bareland
441,Bareland,Water,Water,Water,Water
442,Bareland,Water,Water,Water,Forest
443,Bareland,Forest,NULL,Non_Wetland,NULL
444,Bareland,Forest,NULL,Non_Wetland,Grassland
445,Bareland,Forest,NULL,Non_Wetland,Wetland
446,Bareland,Forest,NULL,Non_Wetland,Bareland
447,Bareland,Forest,NULL,Non_Wetland,Built-up
448,Bareland,Forest,NULL,Non_Wetland,Water
449,Bareland,Forest,NULL,Non_Wetland,Forest
450,Bareland,Forest,Non_Water,Non_Wetland,Bareland
451,Bareland,Forest,Water,Non_Wetland,Water
452,Bareland,Forest,Water,Non_Wetland,Forest
453,Built-up,NULL,NULL,Non_Wetland,Grassland
454,Built-up,NULL,NULL,Non_Wetland,Wetland
455,Built-up,NULL,NULL,Non_Wetland,Bareland
456,Built-up,NULL,NULL,Non_Wetland,Built-up
457,Built-up,NULL,NULL,Non_Wetland,Forest
458,Built-up,Shrubland,NULL,Non_Wetland,Grassland
459,Built-up,Shrubland,NULL,Non_Wetland,Cropland
460,Built-up,Shrubland,NULL,Non_Wetland,Wetland
461,Built-up,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
462,Built-up,Shrubland,NULL,Non_Wetland,Bareland
463,Built-up,Shrubland,NULL,Non_Wetland,Built-up
464,Built-up,Shrubland,NULL,Non_Wetland,Forest
465,Built-up,Grassland,NULL,Non_Wetland,Grassland
466,Built-up,Grassland,NULL,Non_Wetland,Wetland
467,Built-up,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
468,Built-up,Grassland,NULL,Non_Wetland,Bareland
469,Built-up,Grassland,NULL,Non_Wetland,Built-up
470,Built-up,Grassland,NULL,Non_Wetland,Water
471,Built-up,Grassland,NULL,Non_Wetland,Forest
472,Built-up,Grassland,Non_Water,Non_Wetland,Bareland
473,Built-up,Grassland,Water,Non_Wetland,Grassland
474,Built-up,Grassland,Water,Non_Wetland,Bareland
475,Built-up,Cropland,NULL,Non_Wetland,Grassland
476,Built-up,Cropland,NULL,Non_Wetland,Cropland
477,Built-up,Cropland,NULL,Non_Wetland,Wetland
478,Built-up,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
479,Built-up,Cropland,NULL,Non_Wetland,Bareland
480,Built-up,Cropland,NULL,Non_Wetland,Built-up
481,Built-up,Cropland,NULL,Non_Wetland,Water
482,Built-up,Cropland,NULL,Non_Wetland,Forest
483,Built-up,Cropland,Non_Water,Non_Wetland,Water
484,Built-up,Cropland,Water,Non_Wetland,Grassland
485,Built-up,Cropland,Water,Non_Wetland,Bareland
486,Built-up,Cropland,Water,Non_Wetland,Water
