Value,SIBERIA_2024_ESA_CALU_2024_43WEP_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_43WEP_M_R,SIBERIA_2024_GLC_FCS30D_2022_43WEP_M_R,SIBERIA_2024_GSW_Yearly_2021_43WEP_M_R,SIBERIA_2024_GWL_FCS30D_2022_43WEP_M_R,SIBERIA_2024_WorldCover_2021_43WEP_M_R
110,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
111,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
112,NULL,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
113,NULL,NULL,Forest,Non_Water,Non_Wetland,Water
114,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
115,NULL,NULL,Forest,Water,Non_Wetland,Grassland
116,NULL,NULL,Forest,Water,Non_Wetland,Wetland
117,NULL,NULL,Forest,Water,Non_Wetland,Lichens_and_Mosses
118,NULL,NULL,Forest,Water,Non_Wetland,Water
119,NULL,NULL,Forest,Water,Non_Wetland,Forest
120,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland
121,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland
122,NULL,Wetland,NULL,NULL,Non_Wetland,Forest
123,NULL,Wetland,NULL,Non_Water,Non_Wetland,Wetland
124,NULL,Wetland,NULL,Water,Non_Wetland,Wetland
125,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
126,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
127,NULL,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
128,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland
129,NULL,Wetland,Shrubland,NULL,Non_Wetland,Water
130,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
131,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
132,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
133,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
134,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Water
135,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
136,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland
137,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland
138,NULL,Wetland,Shrubland,Water,Non_Wetland,Water
139,NULL,Wetland,Shrubland,Water,Non_Wetland,Forest
140,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
141,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland
142,NULL,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
143,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland
144,NULL,Wetland,Grassland,NULL,Non_Wetland,Built-up
145,NULL,Wetland,Grassland,NULL,Non_Wetland,Water
146,NULL,Wetland,Grassland,NULL,Non_Wetland,Forest
147,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
148,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
149,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
150,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Water
151,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Forest
152,NULL,Wetland,Grassland,Water,Non_Wetland,Grassland
153,NULL,Wetland,Grassland,Water,Non_Wetland,Wetland
154,NULL,Wetland,Grassland,Water,Non_Wetland,Lichens_and_Mosses
155,NULL,Wetland,Grassland,Water,Non_Wetland,Water
156,NULL,Wetland,Grassland,Water,Non_Wetland,Forest
157,NULL,Wetland,Wetland,NULL,Wetland,Grassland
158,NULL,Wetland,Wetland,NULL,Wetland,Wetland
159,NULL,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
160,NULL,Wetland,Wetland,NULL,Wetland,Bareland
161,NULL,Wetland,Wetland,NULL,Wetland,Water
162,NULL,Wetland,Wetland,NULL,Wetland,Forest
163,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland
164,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland
165,NULL,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
166,NULL,Wetland,Wetland,Non_Water,Wetland,Bareland
167,NULL,Wetland,Wetland,Non_Water,Wetland,Water
168,NULL,Wetland,Wetland,Non_Water,Wetland,Forest
169,NULL,Wetland,Wetland,Water,Wetland,Grassland
170,NULL,Wetland,Wetland,Water,Wetland,Wetland
171,NULL,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
172,NULL,Wetland,Wetland,Water,Wetland,Bareland
173,NULL,Wetland,Wetland,Water,Wetland,Water
174,NULL,Wetland,Wetland,Water,Wetland,Forest
175,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
176,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
177,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
178,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
179,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
180,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
181,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
182,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
183,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
184,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
185,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
186,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
187,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
188,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
189,NULL,Wetland,Bareland,NULL,Non_Wetland,Grassland
190,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland
191,NULL,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
192,NULL,Wetland,Bareland,NULL,Non_Wetland,Bareland
193,NULL,Wetland,Bareland,NULL,Non_Wetland,Built-up
194,NULL,Wetland,Bareland,NULL,Non_Wetland,Water
195,NULL,Wetland,Bareland,NULL,Non_Wetland,Forest
196,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
197,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
198,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
199,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Water
200,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Forest
201,NULL,Wetland,Bareland,Water,Non_Wetland,Grassland
202,NULL,Wetland,Bareland,Water,Non_Wetland,Wetland
203,NULL,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
204,NULL,Wetland,Bareland,Water,Non_Wetland,Bareland
205,NULL,Wetland,Bareland,Water,Non_Wetland,Water
206,NULL,Wetland,Bareland,Water,Non_Wetland,Forest
207,NULL,Wetland,Built-up,NULL,Non_Wetland,Grassland
208,NULL,Wetland,Built-up,NULL,Non_Wetland,Wetland
209,NULL,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
210,NULL,Wetland,Built-up,NULL,Non_Wetland,Bareland
211,NULL,Wetland,Built-up,NULL,Non_Wetland,Built-up
212,NULL,Wetland,Built-up,NULL,Non_Wetland,Forest
213,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
214,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
215,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Bareland
216,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Water
217,NULL,Wetland,Built-up,Water,Non_Wetland,Grassland
218,NULL,Wetland,Built-up,Water,Non_Wetland,Wetland
219,NULL,Wetland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
220,NULL,Wetland,Built-up,Water,Non_Wetland,Water
221,NULL,Wetland,Built-up,Water,Non_Wetland,Forest
222,NULL,Wetland,Water,NULL,Water,Grassland
223,NULL,Wetland,Water,NULL,Water,Wetland
224,NULL,Wetland,Water,NULL,Water,Lichens_and_Mosses
225,NULL,Wetland,Water,NULL,Water,Water
226,NULL,Wetland,Water,NULL,Water,Forest
227,NULL,Wetland,Water,Non_Water,Water,Grassland
228,NULL,Wetland,Water,Non_Water,Water,Wetland
229,NULL,Wetland,Water,Non_Water,Water,Lichens_and_Mosses
230,NULL,Wetland,Water,Non_Water,Water,Water
231,NULL,Wetland,Water,Non_Water,Water,Forest
232,NULL,Wetland,Water,Water,Water,Grassland
233,NULL,Wetland,Water,Water,Water,Wetland
234,NULL,Wetland,Water,Water,Water,Lichens_and_Mosses
235,NULL,Wetland,Water,Water,Water,Bareland
236,NULL,Wetland,Water,Water,Water,Water
237,NULL,Wetland,Water,Water,Water,Forest
238,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
239,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
240,NULL,Wetland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
241,NULL,Wetland,Forest,NULL,Non_Wetland,Bareland
242,NULL,Wetland,Forest,NULL,Non_Wetland,Water
243,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
244,NULL,Wetland,Forest,Non_Water,Non_Wetland,Grassland
245,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland
246,NULL,Wetland,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
247,NULL,Wetland,Forest,Non_Water,Non_Wetland,Bareland
248,NULL,Wetland,Forest,Non_Water,Non_Wetland,Water
249,NULL,Wetland,Forest,Non_Water,Non_Wetland,Forest
250,NULL,Wetland,Forest,Water,Non_Wetland,Grassland
251,NULL,Wetland,Forest,Water,Non_Wetland,Wetland
252,NULL,Wetland,Forest,Water,Non_Wetland,Lichens_and_Mosses
253,NULL,Wetland,Forest,Water,Non_Wetland,Water
254,NULL,Wetland,Forest,Water,Non_Wetland,Forest
255,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
256,NULL,Bareland,Shrubland,Water,Non_Wetland,Bareland
257,NULL,Bareland,Shrubland,Water,Non_Wetland,Water
258,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
259,NULL,Bareland,Grassland,NULL,Non_Wetland,Wetland
260,NULL,Bareland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
261,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
262,NULL,Bareland,Grassland,NULL,Non_Wetland,Water
263,NULL,Bareland,Grassland,NULL,Non_Wetland,Forest
264,NULL,Bareland,Grassland,Water,Non_Wetland,Bareland
265,NULL,Bareland,Grassland,Water,Non_Wetland,Water
266,NULL,Bareland,Wetland,NULL,Wetland,Bareland
267,NULL,Bareland,Wetland,NULL,Wetland,Water
268,NULL,Bareland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
269,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
270,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
271,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Water
272,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
273,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
274,NULL,Bareland,Bareland,NULL,Non_Wetland,Wetland
275,NULL,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
276,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
277,NULL,Bareland,Bareland,NULL,Non_Wetland,Water
278,NULL,Bareland,Bareland,NULL,Non_Wetland,Permanent_ice_and_snow
279,NULL,Bareland,Bareland,NULL,Non_Wetland,Forest
280,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
281,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
282,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Water
283,NULL,Bareland,Bareland,Water,Non_Wetland,Wetland
284,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland
285,NULL,Bareland,Bareland,Water,Non_Wetland,Water
286,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland
287,NULL,Bareland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
288,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
289,NULL,Bareland,Built-up,NULL,Non_Wetland,Water
290,NULL,Bareland,Built-up,NULL,Non_Wetland,Permanent_ice_and_snow
291,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
292,NULL,Bareland,Built-up,Water,Non_Wetland,Built-up
293,NULL,Bareland,Built-up,Water,Non_Wetland,Water
294,NULL,Bareland,Water,NULL,Water,Bareland
295,NULL,Bareland,Water,NULL,Water,Water
296,NULL,Bareland,Water,Water,Water,Grassland
297,NULL,Bareland,Water,Water,Water,Lichens_and_Mosses
298,NULL,Bareland,Water,Water,Water,Bareland
299,NULL,Bareland,Water,Water,Water,Water
300,NULL,Bareland,Water,Water,Water,Forest
301,NULL,Bareland,Forest,NULL,Non_Wetland,Wetland
302,NULL,Bareland,Forest,NULL,Non_Wetland,Bareland
303,NULL,Bareland,Forest,NULL,Non_Wetland,Water
304,NULL,Bareland,Forest,Water,Non_Wetland,Bareland
305,NULL,Bareland,Forest,Water,Non_Wetland,Water
306,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
307,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
308,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland
309,NULL,Built-up,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
310,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
311,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
312,NULL,Built-up,Wetland,Non_Water,Wetland,Built-up
313,NULL,Built-up,Wetland,Water,Wetland,Bareland
314,NULL,Built-up,Wetland,Water,Wetland,Built-up
315,NULL,Built-up,Wetland,Water,Wetland,Water
316,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
317,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Water
318,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
319,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland
320,NULL,Built-up,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
321,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
322,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
323,NULL,Built-up,Bareland,NULL,Non_Wetland,Water
324,NULL,Built-up,Bareland,NULL,Non_Wetland,Permanent_ice_and_snow
325,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
326,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Wetland
327,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
328,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Bareland
329,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Built-up
330,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Water
331,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Forest
332,NULL,Built-up,Bareland,Water,Non_Wetland,Bareland
333,NULL,Built-up,Bareland,Water,Non_Wetland,Built-up
334,NULL,Built-up,Bareland,Water,Non_Wetland,Water
335,NULL,Built-up,Bareland,Water,Non_Wetland,Forest
336,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
337,NULL,Built-up,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
338,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
339,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
340,NULL,Built-up,Built-up,NULL,Non_Wetland,Water
341,NULL,Built-up,Built-up,NULL,Non_Wetland,Permanent_ice_and_snow
342,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
343,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland
344,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
345,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Water
346,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Forest
347,NULL,Built-up,Built-up,Water,Non_Wetland,Grassland
348,NULL,Built-up,Built-up,Water,Non_Wetland,Bareland
349,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up
350,NULL,Built-up,Built-up,Water,Non_Wetland,Water
351,NULL,Built-up,Built-up,Water,Non_Wetland,Forest
352,NULL,Built-up,Water,NULL,Water,Bareland
353,NULL,Built-up,Water,NULL,Water,Built-up
354,NULL,Built-up,Water,NULL,Water,Forest
355,NULL,Built-up,Water,Non_Water,Water,Bareland
356,NULL,Built-up,Water,Water,Water,Bareland
357,NULL,Built-up,Water,Water,Water,Built-up
358,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
359,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland
360,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
361,NULL,Water,NULL,NULL,Non_Wetland,Water
362,NULL,Water,NULL,Water,Non_Wetland,Water
363,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
364,NULL,Water,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
365,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
366,NULL,Water,Shrubland,NULL,Non_Wetland,Water
367,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
368,NULL,Water,Shrubland,Water,Non_Wetland,Water
369,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
370,NULL,Water,Grassland,NULL,Non_Wetland,Wetland
371,NULL,Water,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
372,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
373,NULL,Water,Grassland,NULL,Non_Wetland,Water
374,NULL,Water,Grassland,Water,Non_Wetland,Wetland
375,NULL,Water,Grassland,Water,Non_Wetland,Lichens_and_Mosses
376,NULL,Water,Grassland,Water,Non_Wetland,Bareland
377,NULL,Water,Grassland,Water,Non_Wetland,Water
378,NULL,Water,Grassland,Water,Non_Wetland,Forest
379,NULL,Water,Wetland,NULL,Wetland,Grassland
380,NULL,Water,Wetland,NULL,Wetland,Wetland
381,NULL,Water,Wetland,NULL,Wetland,Lichens_and_Mosses
382,NULL,Water,Wetland,NULL,Wetland,Bareland
383,NULL,Water,Wetland,NULL,Wetland,Water
384,NULL,Water,Wetland,NULL,Wetland,Forest
385,NULL,Water,Wetland,Non_Water,Wetland,Grassland
386,NULL,Water,Wetland,Non_Water,Wetland,Wetland
387,NULL,Water,Wetland,Non_Water,Wetland,Lichens_and_Mosses
388,NULL,Water,Wetland,Non_Water,Wetland,Bareland
389,NULL,Water,Wetland,Non_Water,Wetland,Water
390,NULL,Water,Wetland,Non_Water,Wetland,Forest
391,NULL,Water,Wetland,Water,Wetland,Grassland
392,NULL,Water,Wetland,Water,Wetland,Wetland
393,NULL,Water,Wetland,Water,Wetland,Lichens_and_Mosses
394,NULL,Water,Wetland,Water,Wetland,Bareland
395,NULL,Water,Wetland,Water,Wetland,Water
396,NULL,Water,Wetland,Water,Wetland,Forest
397,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
398,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
399,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
400,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Water
401,NULL,Water,Lichens_and_Mosses,Water,Non_Wetland,Grassland
402,NULL,Water,Lichens_and_Mosses,Water,Non_Wetland,Water
403,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
404,NULL,Water,Bareland,NULL,Non_Wetland,Wetland
405,NULL,Water,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
406,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
407,NULL,Water,Bareland,NULL,Non_Wetland,Water
408,NULL,Water,Bareland,NULL,Non_Wetland,Forest
409,NULL,Water,Bareland,Non_Water,Non_Wetland,Grassland
410,NULL,Water,Bareland,Non_Water,Non_Wetland,Wetland
411,NULL,Water,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
412,NULL,Water,Bareland,Non_Water,Non_Wetland,Bareland
413,NULL,Water,Bareland,Non_Water,Non_Wetland,Water
