Value,SIBERIA_2024_ESA_CALU_2024_43WDV_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_43WDV_M_R,SIBERIA_2024_GLC_FCS30D_2022_43WDV_M_R,SIBERIA_2024_GSW_Yearly_2021_43WDV_M_R,SIBERIA_2024_GWL_FCS30D_2022_43WDV_M_R,SIBERIA_2024_WorldCover_2021_43WDV_M_R
95,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
96,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
97,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
98,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
99,NULL,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
100,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
101,NULL,NULL,Bareland,Water,Non_Wetland,Water
102,NULL,NULL,Bareland,Water,Non_Wetland,Permanent_ice_and_snow
103,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
104,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
105,NULL,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
106,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
107,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
108,NULL,NULL,Built-up,NULL,Non_Wetland,Water
109,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
110,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
111,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland
112,NULL,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
113,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
114,NULL,NULL,Built-up,Non_Water,Non_Wetland,Built-up
115,NULL,NULL,Built-up,Non_Water,Non_Wetland,Water
116,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
117,NULL,NULL,Built-up,Water,Non_Wetland,Wetland
118,NULL,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
119,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
120,NULL,NULL,Built-up,Water,Non_Wetland,Water
121,NULL,NULL,Water,NULL,NULL,NULL
122,NULL,NULL,Water,NULL,NULL,Lichens_and_Mosses
123,NULL,NULL,Water,NULL,NULL,Bareland
124,NULL,NULL,Water,NULL,NULL,Water
125,NULL,NULL,Water,NULL,Water,Grassland
126,NULL,NULL,Water,NULL,Water,Wetland
127,NULL,NULL,Water,NULL,Water,Lichens_and_Mosses
128,NULL,NULL,Water,NULL,Water,Bareland
129,NULL,NULL,Water,NULL,Water,Water
130,NULL,NULL,Water,Non_Water,NULL,Water
131,NULL,NULL,Water,Non_Water,Water,Grassland
132,NULL,NULL,Water,Non_Water,Water,Wetland
133,NULL,NULL,Water,Non_Water,Water,Lichens_and_Mosses
134,NULL,NULL,Water,Non_Water,Water,Bareland
135,NULL,NULL,Water,Non_Water,Water,Water
136,NULL,NULL,Water,Water,NULL,Wetland
137,NULL,NULL,Water,Water,NULL,Lichens_and_Mosses
138,NULL,NULL,Water,Water,NULL,Bareland
139,NULL,NULL,Water,Water,NULL,Water
140,NULL,NULL,Water,Water,Water,Grassland
141,NULL,NULL,Water,Water,Water,Wetland
142,NULL,NULL,Water,Water,Water,Lichens_and_Mosses
143,NULL,NULL,Water,Water,Water,Bareland
144,NULL,NULL,Water,Water,Water,Water
145,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
146,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
147,NULL,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
148,NULL,NULL,Forest,NULL,Non_Wetland,Water
149,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
150,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
151,NULL,NULL,Forest,Water,Non_Wetland,Grassland
152,NULL,NULL,Forest,Water,Non_Wetland,Wetland
153,NULL,NULL,Forest,Water,Non_Wetland,Water
154,Shrubland,NULL,NULL,NULL,Non_Wetland,Wetland
155,Shrubland,NULL,Shrubland,NULL,Non_Wetland,Grassland
156,Shrubland,NULL,Shrubland,NULL,Non_Wetland,Wetland
157,Shrubland,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
158,Shrubland,NULL,Shrubland,NULL,Non_Wetland,Bareland
159,Shrubland,NULL,Shrubland,NULL,Non_Wetland,Water
160,Shrubland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
161,Shrubland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
162,Shrubland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
163,Shrubland,NULL,Shrubland,Non_Water,Non_Wetland,Water
164,Shrubland,NULL,Shrubland,Water,Non_Wetland,Grassland
165,Shrubland,NULL,Shrubland,Water,Non_Wetland,Wetland
166,Shrubland,NULL,Shrubland,Water,Non_Wetland,Water
167,Shrubland,NULL,Grassland,NULL,Non_Wetland,Grassland
168,Shrubland,NULL,Grassland,NULL,Non_Wetland,Wetland
169,Shrubland,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
170,Shrubland,NULL,Grassland,NULL,Non_Wetland,Bareland
171,Shrubland,NULL,Grassland,NULL,Non_Wetland,Water
172,Shrubland,NULL,Grassland,NULL,Non_Wetland,Forest
173,Shrubland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
174,Shrubland,NULL,Grassland,Non_Water,Non_Wetland,Wetland
175,Shrubland,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
176,Shrubland,NULL,Grassland,Non_Water,Non_Wetland,Water
177,Shrubland,NULL,Grassland,Water,Non_Wetland,Grassland
178,Shrubland,NULL,Grassland,Water,Non_Wetland,Wetland
179,Shrubland,NULL,Grassland,Water,Non_Wetland,Lichens_and_Mosses
180,Shrubland,NULL,Grassland,Water,Non_Wetland,Bareland
181,Shrubland,NULL,Grassland,Water,Non_Wetland,Water
182,Shrubland,NULL,Wetland,NULL,Wetland,Grassland
183,Shrubland,NULL,Wetland,NULL,Wetland,Wetland
184,Shrubland,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
185,Shrubland,NULL,Wetland,NULL,Wetland,Bareland
186,Shrubland,NULL,Wetland,NULL,Wetland,Water
187,Shrubland,NULL,Wetland,Non_Water,Wetland,Grassland
188,Shrubland,NULL,Wetland,Non_Water,Wetland,Wetland
189,Shrubland,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
190,Shrubland,NULL,Wetland,Non_Water,Wetland,Bareland
191,Shrubland,NULL,Wetland,Non_Water,Wetland,Water
192,Shrubland,NULL,Wetland,Water,Wetland,Grassland
193,Shrubland,NULL,Wetland,Water,Wetland,Wetland
194,Shrubland,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
195,Shrubland,NULL,Wetland,Water,Wetland,Bareland
196,Shrubland,NULL,Wetland,Water,Wetland,Water
197,Shrubland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
198,Shrubland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
199,Shrubland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
200,Shrubland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
201,Shrubland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
202,Shrubland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
203,Shrubland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
204,Shrubland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
205,Shrubland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
206,Shrubland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
207,Shrubland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
208,Shrubland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
209,Shrubland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
210,Shrubland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
211,Shrubland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
212,Shrubland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
213,Shrubland,NULL,Bareland,NULL,Non_Wetland,Grassland
214,Shrubland,NULL,Bareland,NULL,Non_Wetland,Wetland
215,Shrubland,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
216,Shrubland,NULL,Bareland,NULL,Non_Wetland,Bareland
217,Shrubland,NULL,Bareland,NULL,Non_Wetland,Water
218,Shrubland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
219,Shrubland,NULL,Bareland,Non_Water,Non_Wetland,Wetland
220,Shrubland,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
221,Shrubland,NULL,Bareland,Non_Water,Non_Wetland,Bareland
222,Shrubland,NULL,Bareland,Non_Water,Non_Wetland,Water
223,Shrubland,NULL,Bareland,Water,Non_Wetland,Grassland
224,Shrubland,NULL,Bareland,Water,Non_Wetland,Wetland
225,Shrubland,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
226,Shrubland,NULL,Bareland,Water,Non_Wetland,Bareland
227,Shrubland,NULL,Bareland,Water,Non_Wetland,Water
228,Shrubland,NULL,Built-up,NULL,Non_Wetland,Grassland
229,Shrubland,NULL,Built-up,NULL,Non_Wetland,Wetland
230,Shrubland,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
231,Shrubland,NULL,Built-up,NULL,Non_Wetland,Bareland
232,Shrubland,NULL,Built-up,NULL,Non_Wetland,Water
233,Shrubland,NULL,Built-up,Non_Water,Non_Wetland,Wetland
234,Shrubland,NULL,Built-up,Non_Water,Non_Wetland,Bareland
235,Shrubland,NULL,Built-up,Non_Water,Non_Wetland,Water
236,Shrubland,NULL,Built-up,Water,Non_Wetland,Wetland
237,Shrubland,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
238,Shrubland,NULL,Built-up,Water,Non_Wetland,Water
239,Shrubland,NULL,Water,NULL,Water,Grassland
240,Shrubland,NULL,Water,NULL,Water,Wetland
241,Shrubland,NULL,Water,NULL,Water,Lichens_and_Mosses
242,Shrubland,NULL,Water,NULL,Water,Water
243,Shrubland,NULL,Water,Non_Water,Water,Grassland
244,Shrubland,NULL,Water,Non_Water,Water,Wetland
245,Shrubland,NULL,Water,Non_Water,Water,Water
246,Shrubland,NULL,Water,Water,Water,Grassland
247,Shrubland,NULL,Water,Water,Water,Wetland
248,Shrubland,NULL,Water,Water,Water,Lichens_and_Mosses
249,Shrubland,NULL,Water,Water,Water,Bareland
250,Shrubland,NULL,Water,Water,Water,Water
251,Shrubland,NULL,Forest,NULL,Non_Wetland,Grassland
252,Shrubland,NULL,Forest,NULL,Non_Wetland,Wetland
253,Shrubland,NULL,Forest,NULL,Non_Wetland,Water
254,Shrubland,NULL,Forest,Non_Water,Non_Wetland,Wetland
255,Shrubland,NULL,Forest,Water,Non_Wetland,Wetland
256,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland
257,Wetland,NULL,Shrubland,NULL,Non_Wetland,Wetland
258,Wetland,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
259,Wetland,NULL,Shrubland,NULL,Non_Wetland,Water
260,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
261,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
262,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Water
263,Wetland,NULL,Shrubland,Water,Non_Wetland,Grassland
264,Wetland,NULL,Shrubland,Water,Non_Wetland,Wetland
265,Wetland,NULL,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
266,Wetland,NULL,Shrubland,Water,Non_Wetland,Water
267,Wetland,NULL,Grassland,NULL,Non_Wetland,Grassland
268,Wetland,NULL,Grassland,NULL,Non_Wetland,Wetland
269,Wetland,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
270,Wetland,NULL,Grassland,NULL,Non_Wetland,Bareland
271,Wetland,NULL,Grassland,NULL,Non_Wetland,Water
272,Wetland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
273,Wetland,NULL,Grassland,Non_Water,Non_Wetland,Wetland
274,Wetland,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
275,Wetland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
276,Wetland,NULL,Grassland,Non_Water,Non_Wetland,Water
277,Wetland,NULL,Grassland,Water,Non_Wetland,Grassland
278,Wetland,NULL,Grassland,Water,Non_Wetland,Wetland
279,Wetland,NULL,Grassland,Water,Non_Wetland,Lichens_and_Mosses
280,Wetland,NULL,Grassland,Water,Non_Wetland,Water
281,Wetland,NULL,Wetland,NULL,NULL,Wetland
282,Wetland,NULL,Wetland,NULL,Wetland,Grassland
283,Wetland,NULL,Wetland,NULL,Wetland,Wetland
284,Wetland,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
285,Wetland,NULL,Wetland,NULL,Wetland,Bareland
286,Wetland,NULL,Wetland,NULL,Wetland,Water
287,Wetland,NULL,Wetland,Non_Water,Wetland,Grassland
288,Wetland,NULL,Wetland,Non_Water,Wetland,Wetland
289,Wetland,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
290,Wetland,NULL,Wetland,Non_Water,Wetland,Bareland
291,Wetland,NULL,Wetland,Non_Water,Wetland,Water
292,Wetland,NULL,Wetland,Water,NULL,Water
293,Wetland,NULL,Wetland,Water,Wetland,Grassland
294,Wetland,NULL,Wetland,Water,Wetland,Wetland
295,Wetland,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
296,Wetland,NULL,Wetland,Water,Wetland,Bareland
297,Wetland,NULL,Wetland,Water,Wetland,Water
298,Wetland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
299,Wetland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
300,Wetland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
301,Wetland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
302,Wetland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
303,Wetland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
304,Wetland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
305,Wetland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
306,Wetland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
307,Wetland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
308,Wetland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
309,Wetland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
310,Wetland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
311,Wetland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
312,Wetland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
313,Wetland,NULL,Bareland,NULL,Non_Wetland,Grassland
314,Wetland,NULL,Bareland,NULL,Non_Wetland,Wetland
315,Wetland,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
316,Wetland,NULL,Bareland,NULL,Non_Wetland,Bareland
317,Wetland,NULL,Bareland,NULL,Non_Wetland,Water
318,Wetland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
319,Wetland,NULL,Bareland,Non_Water,Non_Wetland,Wetland
320,Wetland,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
321,Wetland,NULL,Bareland,Non_Water,Non_Wetland,Bareland
322,Wetland,NULL,Bareland,Non_Water,Non_Wetland,Water
323,Wetland,NULL,Bareland,Water,Non_Wetland,Grassland
324,Wetland,NULL,Bareland,Water,Non_Wetland,Wetland
325,Wetland,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
326,Wetland,NULL,Bareland,Water,Non_Wetland,Water
327,Wetland,NULL,Built-up,NULL,Non_Wetland,Grassland
328,Wetland,NULL,Built-up,NULL,Non_Wetland,Wetland
329,Wetland,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
330,Wetland,NULL,Built-up,NULL,Non_Wetland,Bareland
331,Wetland,NULL,Built-up,NULL,Non_Wetland,Built-up
332,Wetland,NULL,Built-up,NULL,Non_Wetland,Water
333,Wetland,NULL,Built-up,Non_Water,Non_Wetland,Wetland
334,Wetland,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
335,Wetland,NULL,Built-up,Non_Water,Non_Wetland,Bareland
336,Wetland,NULL,Built-up,Non_Water,Non_Wetland,Water
337,Wetland,NULL,Built-up,Water,Non_Wetland,Wetland
338,Wetland,NULL,Built-up,Water,Non_Wetland,Bareland
339,Wetland,NULL,Built-up,Water,Non_Wetland,Water
340,Wetland,NULL,Water,NULL,Water,Grassland
341,Wetland,NULL,Water,NULL,Water,Wetland
342,Wetland,NULL,Water,NULL,Water,Lichens_and_Mosses
343,Wetland,NULL,Water,NULL,Water,Bareland
344,Wetland,NULL,Water,NULL,Water,Water
345,Wetland,NULL,Water,Non_Water,Water,Grassland
346,Wetland,NULL,Water,Non_Water,Water,Wetland
347,Wetland,NULL,Water,Non_Water,Water,Lichens_and_Mosses
348,Wetland,NULL,Water,Non_Water,Water,Water
349,Wetland,NULL,Water,Water,NULL,Water
350,Wetland,NULL,Water,Water,Water,Grassland
351,Wetland,NULL,Water,Water,Water,Wetland
352,Wetland,NULL,Water,Water,Water,Lichens_and_Mosses
353,Wetland,NULL,Water,Water,Water,Bareland
354,Wetland,NULL,Water,Water,Water,Water
355,Wetland,NULL,Forest,NULL,Non_Wetland,Grassland
356,Wetland,NULL,Forest,NULL,Non_Wetland,Wetland
357,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland
358,Bareland,NULL,Shrubland,NULL,Non_Wetland,Wetland
359,Bareland,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
360,Bareland,NULL,Shrubland,NULL,Non_Wetland,Water
361,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
362,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
363,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
364,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Water
365,Bareland,NULL,Shrubland,Water,Non_Wetland,Grassland
366,Bareland,NULL,Shrubland,Water,Non_Wetland,Wetland
367,Bareland,NULL,Shrubland,Water,Non_Wetland,Water
368,Bareland,NULL,Grassland,NULL,Non_Wetland,Grassland
369,Bareland,NULL,Grassland,NULL,Non_Wetland,Wetland
370,Bareland,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
371,Bareland,NULL,Grassland,NULL,Non_Wetland,Bareland
372,Bareland,NULL,Grassland,NULL,Non_Wetland,Water
373,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
374,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Wetland
375,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
376,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Water
377,Bareland,NULL,Grassland,Water,Non_Wetland,Grassland
378,Bareland,NULL,Grassland,Water,Non_Wetland,Wetland
379,Bareland,NULL,Grassland,Water,Non_Wetland,Lichens_and_Mosses
380,Bareland,NULL,Grassland,Water,Non_Wetland,Water
381,Bareland,NULL,Wetland,NULL,NULL,Bareland
382,Bareland,NULL,Wetland,NULL,NULL,Water
383,Bareland,NULL,Wetland,NULL,Wetland,Grassland
384,Bareland,NULL,Wetland,NULL,Wetland,Wetland
385,Bareland,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
386,Bareland,NULL,Wetland,NULL,Wetland,Bareland
387,Bareland,NULL,Wetland,NULL,Wetland,Built-up
388,Bareland,NULL,Wetland,NULL,Wetland,Water
389,Bareland,NULL,Wetland,Non_Water,Wetland,Grassland
390,Bareland,NULL,Wetland,Non_Water,Wetland,Wetland
391,Bareland,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
392,Bareland,NULL,Wetland,Non_Water,Wetland,Bareland
393,Bareland,NULL,Wetland,Non_Water,Wetland,Built-up
394,Bareland,NULL,Wetland,Non_Water,Wetland,Water
395,Bareland,NULL,Wetland,Water,NULL,Wetland
396,Bareland,NULL,Wetland,Water,Wetland,Grassland
397,Bareland,NULL,Wetland,Water,Wetland,Wetland
398,Bareland,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
399,Bareland,NULL,Wetland,Water,Wetland,Bareland
400,Bareland,NULL,Wetland,Water,Wetland,Water
401,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
402,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
403,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
404,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
405,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
