Value,SIBERIA_2024_ESRI_Annual_LULC_2024_43VFL_M_R,SIBERIA_2024_GLC_FCS30D_2022_43VFL_M_R,SIBERIA_2024_GSW_Yearly_2021_43VFL_M_R,SIBERIA_2024_GWL_FCS30D_2022_43VFL_M_R,SIBERIA_2024_WorldCover_2021_43VFL_M_R
259,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
260,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Forest
261,Wetland,Bareland,NULL,Non_Wetland,NULL
262,Wetland,Bareland,NULL,Non_Wetland,Grassland
263,Wetland,Bareland,NULL,Non_Wetland,Wetland
264,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
265,Wetland,Bareland,NULL,Non_Wetland,Bareland
266,Wetland,Bareland,NULL,Non_Wetland,Built-up
267,Wetland,Bareland,NULL,Non_Wetland,Water
268,Wetland,Bareland,NULL,Non_Wetland,Permanent_ice_and_snow
269,Wetland,Bareland,NULL,Non_Wetland,Forest
270,Wetland,Bareland,Non_Water,Non_Wetland,NULL
271,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
272,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
273,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
274,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
275,Wetland,Bareland,Non_Water,Non_Wetland,Built-up
276,Wetland,Bareland,Non_Water,Non_Wetland,Water
277,Wetland,Bareland,Non_Water,Non_Wetland,Permanent_ice_and_snow
278,Wetland,Bareland,Non_Water,Non_Wetland,Forest
279,Wetland,Bareland,Water,Non_Wetland,Grassland
280,Wetland,Bareland,Water,Non_Wetland,Wetland
281,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
282,Wetland,Bareland,Water,Non_Wetland,Bareland
283,Wetland,Bareland,Water,Non_Wetland,Built-up
284,Wetland,Bareland,Water,Non_Wetland,Water
285,Wetland,Bareland,Water,Non_Wetland,Permanent_ice_and_snow
286,Wetland,Bareland,Water,Non_Wetland,Forest
287,Wetland,Built-up,NULL,Non_Wetland,Grassland
288,Wetland,Built-up,NULL,Non_Wetland,Wetland
289,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
290,Wetland,Built-up,NULL,Non_Wetland,Bareland
291,Wetland,Built-up,NULL,Non_Wetland,Built-up
292,Wetland,Built-up,NULL,Non_Wetland,Water
293,Wetland,Built-up,NULL,Non_Wetland,Forest
294,Wetland,Built-up,Non_Water,Non_Wetland,Grassland
295,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
296,Wetland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
297,Wetland,Built-up,Non_Water,Non_Wetland,Bareland
298,Wetland,Built-up,Non_Water,Non_Wetland,Built-up
299,Wetland,Built-up,Non_Water,Non_Wetland,Water
300,Wetland,Built-up,Non_Water,Non_Wetland,Forest
301,Wetland,Built-up,Water,Non_Wetland,Grassland
302,Wetland,Built-up,Water,Non_Wetland,Wetland
303,Wetland,Built-up,Water,Non_Wetland,Bareland
304,Wetland,Built-up,Water,Non_Wetland,Built-up
305,Wetland,Built-up,Water,Non_Wetland,Water
306,Wetland,Built-up,Water,Non_Wetland,Forest
307,Wetland,Water,NULL,Water,NULL
308,Wetland,Water,NULL,Water,Grassland
309,Wetland,Water,NULL,Water,Wetland
310,Wetland,Water,NULL,Water,Lichens_and_Mosses
311,Wetland,Water,NULL,Water,Bareland
312,Wetland,Water,NULL,Water,Water
313,Wetland,Water,NULL,Water,Permanent_ice_and_snow
314,Wetland,Water,NULL,Water,Forest
315,Wetland,Water,Non_Water,Water,Grassland
316,Wetland,Water,Non_Water,Water,Wetland
317,Wetland,Water,Non_Water,Water,Lichens_and_Mosses
318,Wetland,Water,Non_Water,Water,Bareland
319,Wetland,Water,Non_Water,Water,Water
320,Wetland,Water,Non_Water,Water,Forest
321,Wetland,Water,Water,Water,NULL
322,Wetland,Water,Water,Water,Grassland
323,Wetland,Water,Water,Water,Wetland
324,Wetland,Water,Water,Water,Lichens_and_Mosses
325,Wetland,Water,Water,Water,Bareland
326,Wetland,Water,Water,Water,Water
327,Wetland,Water,Water,Water,Permanent_ice_and_snow
328,Wetland,Water,Water,Water,Forest
329,Wetland,Forest,NULL,Non_Wetland,NULL
330,Wetland,Forest,NULL,Non_Wetland,Grassland
331,Wetland,Forest,NULL,Non_Wetland,Wetland
332,Wetland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
333,Wetland,Forest,NULL,Non_Wetland,Bareland
334,Wetland,Forest,NULL,Non_Wetland,Built-up
335,Wetland,Forest,NULL,Non_Wetland,Water
336,Wetland,Forest,NULL,Non_Wetland,Forest
337,Wetland,Forest,Non_Water,Non_Wetland,NULL
338,Wetland,Forest,Non_Water,Non_Wetland,Grassland
339,Wetland,Forest,Non_Water,Non_Wetland,Wetland
340,Wetland,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
341,Wetland,Forest,Non_Water,Non_Wetland,Bareland
342,Wetland,Forest,Non_Water,Non_Wetland,Water
343,Wetland,Forest,Non_Water,Non_Wetland,Forest
344,Wetland,Forest,Water,Non_Wetland,NULL
345,Wetland,Forest,Water,Non_Wetland,Grassland
346,Wetland,Forest,Water,Non_Wetland,Wetland
347,Wetland,Forest,Water,Non_Wetland,Lichens_and_Mosses
348,Wetland,Forest,Water,Non_Wetland,Bareland
349,Wetland,Forest,Water,Non_Wetland,Water
350,Wetland,Forest,Water,Non_Wetland,Forest
351,Bareland,NULL,NULL,Non_Wetland,Water
352,Bareland,Shrubland,NULL,Non_Wetland,Bareland
353,Bareland,Shrubland,Non_Water,Non_Wetland,Bareland
354,Bareland,Shrubland,Water,Non_Wetland,Forest
355,Bareland,Grassland,NULL,Non_Wetland,Grassland
356,Bareland,Cropland,NULL,Non_Wetland,Bareland
357,Bareland,Wetland,NULL,Wetland,Wetland
358,Bareland,Wetland,NULL,Wetland,Lichens_and_Mosses
359,Bareland,Wetland,NULL,Wetland,Bareland
360,Bareland,Wetland,NULL,Wetland,Water
361,Bareland,Wetland,NULL,Wetland,Forest
362,Bareland,Wetland,Non_Water,Wetland,Grassland
363,Bareland,Wetland,Non_Water,Wetland,Wetland
364,Bareland,Wetland,Non_Water,Wetland,Bareland
365,Bareland,Wetland,Water,Wetland,Grassland
366,Bareland,Wetland,Water,Wetland,Wetland
367,Bareland,Wetland,Water,Wetland,Lichens_and_Mosses
368,Bareland,Wetland,Water,Wetland,Bareland
369,Bareland,Wetland,Water,Wetland,Water
370,Bareland,Wetland,Water,Wetland,Forest
371,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
372,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
373,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Forest
374,Bareland,Bareland,NULL,Non_Wetland,NULL
375,Bareland,Bareland,NULL,Non_Wetland,Grassland
376,Bareland,Bareland,NULL,Non_Wetland,Wetland
377,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
378,Bareland,Bareland,NULL,Non_Wetland,Bareland
379,Bareland,Bareland,NULL,Non_Wetland,Built-up
380,Bareland,Bareland,NULL,Non_Wetland,Water
381,Bareland,Bareland,NULL,Non_Wetland,Forest
382,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
383,Bareland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
384,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
385,Bareland,Bareland,Non_Water,Non_Wetland,Water
386,Bareland,Bareland,Non_Water,Non_Wetland,Forest
387,Bareland,Bareland,Water,Non_Wetland,Grassland
388,Bareland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
389,Bareland,Bareland,Water,Non_Wetland,Bareland
390,Bareland,Bareland,Water,Non_Wetland,Water
391,Bareland,Bareland,Water,Non_Wetland,Forest
392,Bareland,Built-up,NULL,Non_Wetland,Grassland
393,Bareland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
394,Bareland,Built-up,NULL,Non_Wetland,Bareland
395,Bareland,Built-up,NULL,Non_Wetland,Built-up
396,Bareland,Built-up,NULL,Non_Wetland,Water
397,Bareland,Built-up,NULL,Non_Wetland,Forest
398,Bareland,Built-up,Non_Water,Non_Wetland,Grassland
399,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
400,Bareland,Built-up,Water,Non_Wetland,Bareland
401,Bareland,Built-up,Water,Non_Wetland,Water
402,Bareland,Water,NULL,Water,Grassland
403,Bareland,Water,NULL,Water,Bareland
404,Bareland,Water,NULL,Water,Water
405,Bareland,Water,NULL,Water,Forest
406,Bareland,Water,Non_Water,Water,Bareland
407,Bareland,Water,Non_Water,Water,Water
408,Bareland,Water,Water,Water,Grassland
409,Bareland,Water,Water,Water,Wetland
410,Bareland,Water,Water,Water,Lichens_and_Mosses
411,Bareland,Water,Water,Water,Bareland
412,Bareland,Water,Water,Water,Water
413,Bareland,Water,Water,Water,Forest
414,Bareland,Forest,NULL,Non_Wetland,Grassland
415,Bareland,Forest,NULL,Non_Wetland,Wetland
416,Bareland,Forest,NULL,Non_Wetland,Bareland
417,Bareland,Forest,NULL,Non_Wetland,Water
418,Bareland,Forest,NULL,Non_Wetland,Forest
419,Bareland,Forest,Water,Non_Wetland,Water
420,Bareland,Forest,Water,Non_Wetland,Forest
421,Built-up,NULL,NULL,Non_Wetland,Forest
422,Built-up,Shrubland,NULL,Non_Wetland,NULL
423,Built-up,Shrubland,NULL,Non_Wetland,Grassland
424,Built-up,Shrubland,NULL,Non_Wetland,Wetland
425,Built-up,Shrubland,NULL,Non_Wetland,Bareland
426,Built-up,Shrubland,NULL,Non_Wetland,Forest
427,Built-up,Grassland,NULL,Non_Wetland,Forest
428,Built-up,Wetland,NULL,Wetland,Grassland
429,Built-up,Wetland,NULL,Wetland,Wetland
430,Built-up,Wetland,NULL,Wetland,Bareland
431,Built-up,Wetland,NULL,Wetland,Water
432,Built-up,Wetland,NULL,Wetland,Forest
433,Built-up,Wetland,Water,Wetland,Water
434,Built-up,Wetland,Water,Wetland,Forest
435,Built-up,Bareland,NULL,Non_Wetland,NULL
436,Built-up,Bareland,NULL,Non_Wetland,Grassland
437,Built-up,Bareland,NULL,Non_Wetland,Wetland
438,Built-up,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
439,Built-up,Bareland,NULL,Non_Wetland,Bareland
440,Built-up,Bareland,NULL,Non_Wetland,Built-up
441,Built-up,Bareland,NULL,Non_Wetland,Water
442,Built-up,Bareland,NULL,Non_Wetland,Forest
443,Built-up,Bareland,Non_Water,Non_Wetland,Grassland
444,Built-up,Bareland,Non_Water,Non_Wetland,Wetland
445,Built-up,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
446,Built-up,Bareland,Non_Water,Non_Wetland,Bareland
447,Built-up,Bareland,Non_Water,Non_Wetland,Built-up
448,Built-up,Bareland,Non_Water,Non_Wetland,Water
449,Built-up,Bareland,Non_Water,Non_Wetland,Forest
450,Built-up,Bareland,Water,Non_Wetland,Grassland
451,Built-up,Bareland,Water,Non_Wetland,Wetland
452,Built-up,Bareland,Water,Non_Wetland,Lichens_and_Mosses
453,Built-up,Bareland,Water,Non_Wetland,Bareland
454,Built-up,Bareland,Water,Non_Wetland,Water
455,Built-up,Bareland,Water,Non_Wetland,Forest
456,Built-up,Built-up,NULL,Non_Wetland,Grassland
457,Built-up,Built-up,NULL,Non_Wetland,Wetland
458,Built-up,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
459,Built-up,Built-up,NULL,Non_Wetland,Bareland
460,Built-up,Built-up,NULL,Non_Wetland,Built-up
461,Built-up,Built-up,NULL,Non_Wetland,Water
462,Built-up,Built-up,NULL,Non_Wetland,Forest
463,Built-up,Built-up,Non_Water,Non_Wetland,Bareland
464,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
465,Built-up,Built-up,Non_Water,Non_Wetland,Forest
466,Built-up,Built-up,Water,Non_Wetland,Built-up
467,Built-up,Built-up,Water,Non_Wetland,Forest
468,Built-up,Water,NULL,Water,Grassland
469,Built-up,Water,NULL,Water,Wetland
470,Built-up,Water,NULL,Water,Lichens_and_Mosses
471,Built-up,Water,NULL,Water,Water
472,Built-up,Water,Non_Water,Water,Wetland
473,Built-up,Water,Water,Water,Wetland
474,Built-up,Water,Water,Water,Water
475,Built-up,Water,Water,Water,Forest
476,Built-up,Forest,NULL,Non_Wetland,NULL
477,Built-up,Forest,NULL,Non_Wetland,Grassland
478,Built-up,Forest,NULL,Non_Wetland,Wetland
479,Built-up,Forest,NULL,Non_Wetland,Bareland
480,Built-up,Forest,NULL,Non_Wetland,Built-up
481,Built-up,Forest,NULL,Non_Wetland,Forest
