Value,SIBERIA_2024_ESRI_Annual_LULC_2024_43VCH_M_R,SIBERIA_2024_GLC_FCS30D_2022_43VCH_M_R,SIBERIA_2024_GSW_Yearly_2021_43VCH_M_R,SIBERIA_2024_GWL_FCS30D_2022_43VCH_M_R,SIBERIA_2024_WorldCover_2021_43VCH_M_R
262,Cropland,Bareland,Non_Water,Non_Wetland,Bareland
263,Cropland,Bareland,Non_Water,Non_Wetland,Water
264,Cropland,Bareland,Non_Water,Non_Wetland,Forest
265,Cropland,Bareland,Water,Non_Wetland,Grassland
266,Cropland,Bareland,Water,Non_Wetland,Wetland
267,Cropland,Bareland,Water,Non_Wetland,Built-up
268,Cropland,Bareland,Water,Non_Wetland,Water
269,Cropland,Bareland,Water,Non_Wetland,Forest
270,Cropland,Built-up,NULL,Non_Wetland,NULL
271,Cropland,Built-up,NULL,Non_Wetland,Grassland
272,Cropland,Built-up,NULL,Non_Wetland,Wetland
273,Cropland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
274,Cropland,Built-up,NULL,Non_Wetland,Bareland
275,Cropland,Built-up,NULL,Non_Wetland,Built-up
276,Cropland,Built-up,NULL,Non_Wetland,Water
277,Cropland,Built-up,NULL,Non_Wetland,Forest
278,Cropland,Built-up,Non_Water,Non_Wetland,Grassland
279,Cropland,Built-up,Non_Water,Non_Wetland,Built-up
280,Cropland,Built-up,Water,Non_Wetland,Water
281,Cropland,Built-up,Water,Non_Wetland,Forest
282,Cropland,Water,NULL,Water,Wetland
283,Cropland,Water,NULL,Water,Water
284,Cropland,Water,Non_Water,Water,Water
285,Cropland,Water,Water,Water,Water
286,Cropland,Water,Water,Water,Forest
287,Cropland,Forest,NULL,Non_Wetland,NULL
288,Cropland,Forest,NULL,Non_Wetland,Grassland
289,Cropland,Forest,NULL,Non_Wetland,Cropland
290,Cropland,Forest,NULL,Non_Wetland,Wetland
291,Cropland,Forest,NULL,Non_Wetland,Bareland
292,Cropland,Forest,NULL,Non_Wetland,Built-up
293,Cropland,Forest,NULL,Non_Wetland,Water
294,Cropland,Forest,NULL,Non_Wetland,Forest
295,Cropland,Forest,Non_Water,Non_Wetland,Grassland
296,Cropland,Forest,Non_Water,Non_Wetland,Wetland
297,Cropland,Forest,Non_Water,Non_Wetland,Forest
298,Cropland,Forest,Water,Non_Wetland,Grassland
299,Cropland,Forest,Water,Non_Wetland,Wetland
300,Cropland,Forest,Water,Non_Wetland,Forest
301,Wetland,NULL,NULL,Non_Wetland,NULL
302,Wetland,NULL,NULL,Non_Wetland,Grassland
303,Wetland,NULL,NULL,Non_Wetland,Cropland
304,Wetland,NULL,NULL,Non_Wetland,Wetland
305,Wetland,NULL,NULL,Non_Wetland,Bareland
306,Wetland,NULL,NULL,Non_Wetland,Built-up
307,Wetland,NULL,NULL,Non_Wetland,Water
308,Wetland,NULL,NULL,Non_Wetland,Forest
309,Wetland,NULL,Non_Water,Non_Wetland,Grassland
310,Wetland,NULL,Non_Water,Non_Wetland,Cropland
311,Wetland,NULL,Non_Water,Non_Wetland,Wetland
312,Wetland,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
313,Wetland,NULL,Non_Water,Non_Wetland,Bareland
314,Wetland,NULL,Non_Water,Non_Wetland,Built-up
315,Wetland,NULL,Non_Water,Non_Wetland,Water
316,Wetland,NULL,Non_Water,Non_Wetland,Forest
317,Wetland,NULL,Water,Non_Wetland,Grassland
318,Wetland,NULL,Water,Non_Wetland,Wetland
319,Wetland,NULL,Water,Non_Wetland,Water
320,Wetland,NULL,Water,Non_Wetland,Forest
321,Wetland,Shrubland,NULL,Non_Wetland,NULL
322,Wetland,Shrubland,NULL,Non_Wetland,Grassland
323,Wetland,Shrubland,NULL,Non_Wetland,Cropland
324,Wetland,Shrubland,NULL,Non_Wetland,Wetland
325,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
326,Wetland,Shrubland,NULL,Non_Wetland,Bareland
327,Wetland,Shrubland,NULL,Non_Wetland,Built-up
328,Wetland,Shrubland,NULL,Non_Wetland,Water
329,Wetland,Shrubland,NULL,Non_Wetland,Forest
330,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
331,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
332,Wetland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
333,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland
334,Wetland,Shrubland,Non_Water,Non_Wetland,Built-up
335,Wetland,Shrubland,Non_Water,Non_Wetland,Water
336,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
337,Wetland,Shrubland,Water,Non_Wetland,NULL
338,Wetland,Shrubland,Water,Non_Wetland,Grassland
339,Wetland,Shrubland,Water,Non_Wetland,Cropland
340,Wetland,Shrubland,Water,Non_Wetland,Wetland
341,Wetland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
342,Wetland,Shrubland,Water,Non_Wetland,Bareland
343,Wetland,Shrubland,Water,Non_Wetland,Built-up
344,Wetland,Shrubland,Water,Non_Wetland,Water
345,Wetland,Shrubland,Water,Non_Wetland,Forest
346,Wetland,Grassland,NULL,Non_Wetland,NULL
347,Wetland,Grassland,NULL,Non_Wetland,Grassland
348,Wetland,Grassland,NULL,Non_Wetland,Wetland
349,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
350,Wetland,Grassland,NULL,Non_Wetland,Bareland
351,Wetland,Grassland,NULL,Non_Wetland,Built-up
352,Wetland,Grassland,NULL,Non_Wetland,Water
353,Wetland,Grassland,NULL,Non_Wetland,Forest
354,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
355,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
356,Wetland,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
357,Wetland,Grassland,Non_Water,Non_Wetland,Bareland
358,Wetland,Grassland,Non_Water,Non_Wetland,Built-up
359,Wetland,Grassland,Non_Water,Non_Wetland,Water
360,Wetland,Grassland,Non_Water,Non_Wetland,Forest
361,Wetland,Grassland,Water,Non_Wetland,Grassland
362,Wetland,Grassland,Water,Non_Wetland,Wetland
363,Wetland,Grassland,Water,Non_Wetland,Built-up
364,Wetland,Grassland,Water,Non_Wetland,Water
365,Wetland,Grassland,Water,Non_Wetland,Forest
366,Wetland,Cropland,NULL,Non_Wetland,Grassland
367,Wetland,Cropland,NULL,Non_Wetland,Cropland
368,Wetland,Cropland,NULL,Non_Wetland,Wetland
369,Wetland,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
370,Wetland,Cropland,NULL,Non_Wetland,Bareland
371,Wetland,Cropland,NULL,Non_Wetland,Built-up
372,Wetland,Cropland,NULL,Non_Wetland,Water
373,Wetland,Cropland,NULL,Non_Wetland,Forest
374,Wetland,Cropland,Non_Water,Non_Wetland,Grassland
375,Wetland,Cropland,Non_Water,Non_Wetland,Cropland
376,Wetland,Cropland,Non_Water,Non_Wetland,Wetland
377,Wetland,Cropland,Non_Water,Non_Wetland,Bareland
378,Wetland,Cropland,Non_Water,Non_Wetland,Built-up
379,Wetland,Cropland,Non_Water,Non_Wetland,Forest
380,Wetland,Cropland,Water,Non_Wetland,Grassland
381,Wetland,Cropland,Water,Non_Wetland,Wetland
382,Wetland,Cropland,Water,Non_Wetland,Water
383,Wetland,Cropland,Water,Non_Wetland,Forest
384,Wetland,Wetland,NULL,Wetland,NULL
385,Wetland,Wetland,NULL,Wetland,Grassland
386,Wetland,Wetland,NULL,Wetland,Cropland
387,Wetland,Wetland,NULL,Wetland,Wetland
388,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
389,Wetland,Wetland,NULL,Wetland,Bareland
390,Wetland,Wetland,NULL,Wetland,Built-up
391,Wetland,Wetland,NULL,Wetland,Water
392,Wetland,Wetland,NULL,Wetland,Forest
393,Wetland,Wetland,Non_Water,Wetland,NULL
394,Wetland,Wetland,Non_Water,Wetland,Grassland
395,Wetland,Wetland,Non_Water,Wetland,Cropland
396,Wetland,Wetland,Non_Water,Wetland,Wetland
397,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
398,Wetland,Wetland,Non_Water,Wetland,Bareland
399,Wetland,Wetland,Non_Water,Wetland,Built-up
400,Wetland,Wetland,Non_Water,Wetland,Water
401,Wetland,Wetland,Non_Water,Wetland,Forest
402,Wetland,Wetland,Water,Wetland,NULL
403,Wetland,Wetland,Water,Wetland,Grassland
404,Wetland,Wetland,Water,Wetland,Cropland
405,Wetland,Wetland,Water,Wetland,Wetland
406,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
407,Wetland,Wetland,Water,Wetland,Bareland
408,Wetland,Wetland,Water,Wetland,Built-up
409,Wetland,Wetland,Water,Wetland,Water
410,Wetland,Wetland,Water,Wetland,Forest
411,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
412,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
413,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
414,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
415,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
416,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
417,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
418,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
419,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
420,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
421,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
422,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
423,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Built-up
424,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
425,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
426,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
427,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
428,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
429,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
430,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
431,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Forest
432,Wetland,Bareland,NULL,Non_Wetland,NULL
433,Wetland,Bareland,NULL,Non_Wetland,Grassland
434,Wetland,Bareland,NULL,Non_Wetland,Cropland
435,Wetland,Bareland,NULL,Non_Wetland,Wetland
436,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
437,Wetland,Bareland,NULL,Non_Wetland,Bareland
438,Wetland,Bareland,NULL,Non_Wetland,Built-up
439,Wetland,Bareland,NULL,Non_Wetland,Water
440,Wetland,Bareland,NULL,Non_Wetland,Forest
441,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
442,Wetland,Bareland,Non_Water,Non_Wetland,Cropland
443,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
444,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
445,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
446,Wetland,Bareland,Non_Water,Non_Wetland,Built-up
447,Wetland,Bareland,Non_Water,Non_Wetland,Water
448,Wetland,Bareland,Non_Water,Non_Wetland,Forest
449,Wetland,Bareland,Water,Non_Wetland,Grassland
450,Wetland,Bareland,Water,Non_Wetland,Cropland
451,Wetland,Bareland,Water,Non_Wetland,Wetland
452,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
453,Wetland,Bareland,Water,Non_Wetland,Bareland
454,Wetland,Bareland,Water,Non_Wetland,Built-up
455,Wetland,Bareland,Water,Non_Wetland,Water
456,Wetland,Bareland,Water,Non_Wetland,Forest
457,Wetland,Built-up,NULL,Non_Wetland,NULL
458,Wetland,Built-up,NULL,Non_Wetland,Grassland
459,Wetland,Built-up,NULL,Non_Wetland,Cropland
460,Wetland,Built-up,NULL,Non_Wetland,Wetland
461,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
462,Wetland,Built-up,NULL,Non_Wetland,Bareland
463,Wetland,Built-up,NULL,Non_Wetland,Built-up
464,Wetland,Built-up,NULL,Non_Wetland,Water
465,Wetland,Built-up,NULL,Non_Wetland,Forest
466,Wetland,Built-up,Non_Water,Non_Wetland,Grassland
467,Wetland,Built-up,Non_Water,Non_Wetland,Cropland
468,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
469,Wetland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
470,Wetland,Built-up,Non_Water,Non_Wetland,Bareland
471,Wetland,Built-up,Non_Water,Non_Wetland,Built-up
472,Wetland,Built-up,Non_Water,Non_Wetland,Water
