Value,SIBERIA_2024_ESRI_Annual_LULC_2024_43VEF_M_R,SIBERIA_2024_GLC_FCS30D_2022_43VEF_M_R,SIBERIA_2024_GSW_Yearly_2021_43VEF_M_R,SIBERIA_2024_GWL_FCS30D_2022_43VEF_M_R,SIBERIA_2024_WorldCover_2021_43VEF_M_R
272,Bareland,Built-up,NULL,Non_Wetland,Built-up
273,Bareland,Built-up,NULL,Non_Wetland,Forest
274,Bareland,Water,Water,Water,Water
275,Bareland,Water,Water,Water,Forest
276,Bareland,Forest,NULL,Non_Wetland,Grassland
277,Bareland,Forest,NULL,Non_Wetland,Wetland
278,Bareland,Forest,NULL,Non_Wetland,Bareland
279,Bareland,Forest,NULL,Non_Wetland,Built-up
280,Bareland,Forest,NULL,Non_Wetland,Forest
281,Built-up,NULL,NULL,Non_Wetland,Grassland
282,Built-up,NULL,NULL,Non_Wetland,Built-up
283,Built-up,NULL,NULL,Non_Wetland,Forest
284,Built-up,Grassland,NULL,Non_Wetland,Grassland
285,Built-up,Grassland,NULL,Non_Wetland,Cropland
286,Built-up,Grassland,NULL,Non_Wetland,Bareland
287,Built-up,Grassland,NULL,Non_Wetland,Built-up
288,Built-up,Grassland,NULL,Non_Wetland,Forest
289,Built-up,Grassland,Water,Non_Wetland,Bareland
290,Built-up,Cropland,NULL,Non_Wetland,Grassland
291,Built-up,Cropland,NULL,Non_Wetland,Cropland
292,Built-up,Cropland,NULL,Non_Wetland,Wetland
293,Built-up,Cropland,NULL,Non_Wetland,Bareland
294,Built-up,Cropland,NULL,Non_Wetland,Built-up
295,Built-up,Cropland,NULL,Non_Wetland,Forest
296,Built-up,Cropland,Non_Water,Non_Wetland,Built-up
297,Built-up,Cropland,Water,Non_Wetland,Bareland
298,Built-up,Cropland,Water,Non_Wetland,Forest
299,Built-up,Wetland,NULL,Wetland,Grassland
300,Built-up,Wetland,NULL,Wetland,Built-up
301,Built-up,Wetland,NULL,Wetland,Forest
302,Built-up,Wetland,Non_Water,Wetland,Water
303,Built-up,Bareland,NULL,Non_Wetland,Grassland
304,Built-up,Bareland,NULL,Non_Wetland,Cropland
305,Built-up,Bareland,NULL,Non_Wetland,Wetland
306,Built-up,Bareland,NULL,Non_Wetland,Bareland
307,Built-up,Bareland,NULL,Non_Wetland,Built-up
308,Built-up,Bareland,NULL,Non_Wetland,Forest
309,Built-up,Bareland,Non_Water,Non_Wetland,Grassland
310,Built-up,Bareland,Non_Water,Non_Wetland,Built-up
311,Built-up,Built-up,NULL,Non_Wetland,Grassland
312,Built-up,Built-up,NULL,Non_Wetland,Cropland
313,Built-up,Built-up,NULL,Non_Wetland,Bareland
314,Built-up,Built-up,NULL,Non_Wetland,Built-up
315,Built-up,Built-up,NULL,Non_Wetland,Forest
316,Built-up,Built-up,Non_Water,Non_Wetland,Grassland
317,Built-up,Built-up,Non_Water,Non_Wetland,Bareland
318,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
319,Built-up,Built-up,Non_Water,Non_Wetland,Forest
320,Built-up,Water,NULL,Water,Built-up
321,Built-up,Water,NULL,Water,Water
322,Built-up,Forest,NULL,Non_Wetland,Grassland
323,Built-up,Forest,NULL,Non_Wetland,Cropland
324,Built-up,Forest,NULL,Non_Wetland,Wetland
325,Built-up,Forest,NULL,Non_Wetland,Bareland
326,Built-up,Forest,NULL,Non_Wetland,Built-up
327,Built-up,Forest,NULL,Non_Wetland,Forest
328,Built-up,Forest,Non_Water,Non_Wetland,Wetland
329,Built-up,Forest,Non_Water,Non_Wetland,Forest
330,Built-up,Forest,Water,Non_Wetland,Grassland
331,Built-up,Forest,Water,Non_Wetland,Bareland
332,Built-up,Forest,Water,Non_Wetland,Forest
333,Water,NULL,NULL,Non_Wetland,Grassland
334,Water,NULL,NULL,Non_Wetland,Wetland
335,Water,NULL,NULL,Non_Wetland,Water
336,Water,NULL,NULL,Non_Wetland,Forest
337,Water,NULL,Non_Water,Non_Wetland,Grassland
338,Water,NULL,Non_Water,Non_Wetland,Wetland
339,Water,NULL,Non_Water,Non_Wetland,Water
340,Water,NULL,Non_Water,Non_Wetland,Forest
341,Water,NULL,Water,Non_Wetland,Grassland
342,Water,NULL,Water,Non_Wetland,Wetland
343,Water,NULL,Water,Non_Wetland,Water
344,Water,NULL,Water,Non_Wetland,Forest
345,Water,Grassland,NULL,Non_Wetland,Grassland
346,Water,Grassland,NULL,Non_Wetland,Bareland
347,Water,Grassland,NULL,Non_Wetland,Water
348,Water,Grassland,NULL,Non_Wetland,Forest
349,Water,Grassland,Non_Water,Non_Wetland,Water
350,Water,Grassland,Non_Water,Non_Wetland,Forest
351,Water,Grassland,Water,Non_Wetland,Grassland
352,Water,Grassland,Water,Non_Wetland,Bareland
353,Water,Grassland,Water,Non_Wetland,Water
354,Water,Grassland,Water,Non_Wetland,Forest
355,Water,Cropland,NULL,Non_Wetland,Grassland
356,Water,Cropland,NULL,Non_Wetland,Bareland
357,Water,Cropland,NULL,Non_Wetland,Water
358,Water,Cropland,NULL,Non_Wetland,Forest
359,Water,Cropland,Non_Water,Non_Wetland,Grassland
360,Water,Cropland,Non_Water,Non_Wetland,Forest
361,Water,Cropland,Water,Non_Wetland,Grassland
362,Water,Cropland,Water,Non_Wetland,Wetland
363,Water,Cropland,Water,Non_Wetland,Bareland
364,Water,Cropland,Water,Non_Wetland,Water
365,Water,Cropland,Water,Non_Wetland,Forest
366,Water,Wetland,NULL,Wetland,NULL
367,Water,Wetland,NULL,Wetland,Grassland
368,Water,Wetland,NULL,Wetland,Wetland
369,Water,Wetland,NULL,Wetland,Water
370,Water,Wetland,NULL,Wetland,Forest
371,Water,Wetland,Non_Water,Wetland,NULL
372,Water,Wetland,Non_Water,Wetland,Grassland
373,Water,Wetland,Non_Water,Wetland,Wetland
374,Water,Wetland,Non_Water,Wetland,Water
375,Water,Wetland,Non_Water,Wetland,Forest
376,Water,Wetland,Water,Wetland,Grassland
377,Water,Wetland,Water,Wetland,Cropland
378,Water,Wetland,Water,Wetland,Wetland
379,Water,Wetland,Water,Wetland,Bareland
380,Water,Wetland,Water,Wetland,Built-up
381,Water,Wetland,Water,Wetland,Water
382,Water,Wetland,Water,Wetland,Forest
383,Water,Bareland,NULL,Non_Wetland,Grassland
384,Water,Bareland,NULL,Non_Wetland,Wetland
385,Water,Bareland,NULL,Non_Wetland,Bareland
386,Water,Bareland,NULL,Non_Wetland,Built-up
387,Water,Bareland,NULL,Non_Wetland,Water
388,Water,Bareland,NULL,Non_Wetland,Forest
389,Water,Bareland,Non_Water,Non_Wetland,Grassland
390,Water,Bareland,Non_Water,Non_Wetland,Wetland
391,Water,Bareland,Non_Water,Non_Wetland,Water
392,Water,Bareland,Non_Water,Non_Wetland,Forest
393,Water,Bareland,Water,Non_Wetland,Grassland
394,Water,Bareland,Water,Non_Wetland,Wetland
395,Water,Bareland,Water,Non_Wetland,Bareland
396,Water,Bareland,Water,Non_Wetland,Water
397,Water,Bareland,Water,Non_Wetland,Forest
398,Water,Built-up,NULL,Non_Wetland,Grassland
399,Water,Built-up,NULL,Non_Wetland,Built-up
400,Water,Built-up,NULL,Non_Wetland,Water
401,Water,Built-up,NULL,Non_Wetland,Forest
402,Water,Built-up,Non_Water,Non_Wetland,Bareland
403,Water,Built-up,Non_Water,Non_Wetland,Forest
404,Water,Built-up,Water,Non_Wetland,Built-up
405,Water,Built-up,Water,Non_Wetland,Water
406,Water,Built-up,Water,Non_Wetland,Forest
407,Water,Water,NULL,Water,Grassland
408,Water,Water,NULL,Water,Wetland
409,Water,Water,NULL,Water,Bareland
410,Water,Water,NULL,Water,Built-up
411,Water,Water,NULL,Water,Water
412,Water,Water,NULL,Water,Forest
413,Water,Water,Non_Water,Water,Grassland
414,Water,Water,Non_Water,Water,Wetland
415,Water,Water,Non_Water,Water,Water
416,Water,Water,Non_Water,Water,Forest
417,Water,Water,Water,Water,Grassland
418,Water,Water,Water,Water,Wetland
419,Water,Water,Water,Water,Bareland
420,Water,Water,Water,Water,Built-up
421,Water,Water,Water,Water,Water
422,Water,Water,Water,Water,Forest
423,Water,Forest,NULL,Non_Wetland,Grassland
424,Water,Forest,NULL,Non_Wetland,Wetland
425,Water,Forest,NULL,Non_Wetland,Bareland
426,Water,Forest,NULL,Non_Wetland,Water
427,Water,Forest,NULL,Non_Wetland,Forest
428,Water,Forest,Non_Water,Non_Wetland,Grassland
429,Water,Forest,Non_Water,Non_Wetland,Wetland
430,Water,Forest,Non_Water,Non_Wetland,Water
431,Water,Forest,Non_Water,Non_Wetland,Forest
432,Water,Forest,Water,Non_Wetland,Grassland
433,Water,Forest,Water,Non_Wetland,Wetland
434,Water,Forest,Water,Non_Wetland,Bareland
435,Water,Forest,Water,Non_Wetland,Water
436,Water,Forest,Water,Non_Wetland,Forest
437,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Grassland
438,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Water
439,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Forest
440,Permanent_ice_and_snow,NULL,Water,Non_Wetland,Forest
441,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Grassland
442,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Forest
443,Permanent_ice_and_snow,Cropland,NULL,Non_Wetland,Grassland
444,Permanent_ice_and_snow,Cropland,NULL,Non_Wetland,Built-up
445,Permanent_ice_and_snow,Cropland,NULL,Non_Wetland,Forest
446,Permanent_ice_and_snow,Wetland,NULL,Wetland,NULL
447,Permanent_ice_and_snow,Wetland,NULL,Wetland,Grassland
448,Permanent_ice_and_snow,Wetland,NULL,Wetland,Wetland
449,Permanent_ice_and_snow,Wetland,NULL,Wetland,Forest
450,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Forest
451,Permanent_ice_and_snow,Wetland,Water,Wetland,Grassland
452,Permanent_ice_and_snow,Wetland,Water,Wetland,Wetland
453,Permanent_ice_and_snow,Wetland,Water,Wetland,Forest
454,Permanent_ice_and_snow,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
455,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Grassland
456,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Cropland
457,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Wetland
458,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Bareland
459,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Built-up
460,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Water
461,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Forest
462,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Wetland
463,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Grassland
464,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Built-up
465,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Forest
466,Permanent_ice_and_snow,Water,NULL,Water,Grassland
467,Permanent_ice_and_snow,Water,NULL,Water,Bareland
468,Permanent_ice_and_snow,Water,NULL,Water,Forest
469,Permanent_ice_and_snow,Water,Water,Water,Grassland
470,Permanent_ice_and_snow,Water,Water,Water,Forest
471,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Grassland
472,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Wetland
473,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Bareland
474,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Built-up
475,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Water
476,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Forest
477,Permanent_ice_and_snow,Forest,Non_Water,Non_Wetland,Forest
478,Permanent_ice_and_snow,Forest,Water,Non_Wetland,Water
479,Permanent_ice_and_snow,Forest,Water,Non_Wetland,Forest
480,Forest,NULL,NULL,Non_Wetland,NULL
481,Forest,NULL,NULL,Non_Wetland,Grassland
482,Forest,NULL,NULL,Non_Wetland,Wetland
483,Forest,NULL,NULL,Non_Wetland,Built-up
484,Forest,NULL,NULL,Non_Wetland,Water
485,Forest,NULL,NULL,Non_Wetland,Forest
486,Forest,NULL,Non_Water,Non_Wetland,Grassland
487,Forest,NULL,Non_Water,Non_Wetland,Wetland
488,Forest,NULL,Non_Water,Non_Wetland,Water
489,Forest,NULL,Non_Water,Non_Wetland,Forest
490,Forest,NULL,Water,Non_Wetland,Grassland
491,Forest,NULL,Water,Non_Wetland,Wetland
492,Forest,NULL,Water,Non_Wetland,Water
493,Forest,NULL,Water,Non_Wetland,Forest
494,Forest,Shrubland,NULL,Non_Wetland,Grassland
495,Forest,Shrubland,NULL,Non_Wetland,Wetland
496,Forest,Shrubland,NULL,Non_Wetland,Forest
497,Forest,Shrubland,Water,Non_Wetland,Forest
498,Forest,Grassland,NULL,Non_Wetland,Grassland
