Value,SIBERIA_2024_ESRI_Annual_LULC_2024_42VWM_M_R,SIBERIA_2024_GLC_FCS30D_2022_42VWM_M_R,SIBERIA_2024_GSW_Yearly_2021_42VWM_M_R,SIBERIA_2024_GWL_FCS30D_2022_42VWM_M_R,SIBERIA_2024_WorldCover_2021_42VWM_M_R
264,Wetland,NULL,NULL,Non_Wetland,Lichens_and_Mosses
265,Wetland,NULL,NULL,Non_Wetland,Bareland
266,Wetland,NULL,NULL,Non_Wetland,Water
267,Wetland,NULL,NULL,Non_Wetland,Forest
268,Wetland,NULL,Non_Water,Non_Wetland,Grassland
269,Wetland,NULL,Non_Water,Non_Wetland,Cropland
270,Wetland,NULL,Non_Water,Non_Wetland,Wetland
271,Wetland,NULL,Non_Water,Non_Wetland,Bareland
272,Wetland,NULL,Non_Water,Non_Wetland,Water
273,Wetland,NULL,Non_Water,Non_Wetland,Forest
274,Wetland,NULL,Water,Non_Wetland,Grassland
275,Wetland,NULL,Water,Non_Wetland,Wetland
276,Wetland,NULL,Water,Non_Wetland,Water
277,Wetland,NULL,Water,Non_Wetland,Forest
278,Wetland,Shrubland,NULL,Non_Wetland,NULL
279,Wetland,Shrubland,NULL,Non_Wetland,Grassland
280,Wetland,Shrubland,NULL,Non_Wetland,Cropland
281,Wetland,Shrubland,NULL,Non_Wetland,Wetland
282,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
283,Wetland,Shrubland,NULL,Non_Wetland,Bareland
284,Wetland,Shrubland,NULL,Non_Wetland,Water
285,Wetland,Shrubland,NULL,Non_Wetland,Forest
286,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
287,Wetland,Shrubland,Non_Water,Non_Wetland,Cropland
288,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
289,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland
290,Wetland,Shrubland,Non_Water,Non_Wetland,Water
291,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
292,Wetland,Shrubland,Water,Non_Wetland,Grassland
293,Wetland,Shrubland,Water,Non_Wetland,Wetland
294,Wetland,Shrubland,Water,Non_Wetland,Water
295,Wetland,Shrubland,Water,Non_Wetland,Forest
296,Wetland,Grassland,NULL,Non_Wetland,Grassland
297,Wetland,Grassland,NULL,Non_Wetland,Cropland
298,Wetland,Grassland,NULL,Non_Wetland,Wetland
299,Wetland,Grassland,NULL,Non_Wetland,Bareland
300,Wetland,Grassland,NULL,Non_Wetland,Forest
301,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
302,Wetland,Grassland,Non_Water,Non_Wetland,Cropland
303,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
304,Wetland,Grassland,Non_Water,Non_Wetland,Bareland
305,Wetland,Grassland,Non_Water,Non_Wetland,Forest
306,Wetland,Grassland,Water,Non_Wetland,Grassland
307,Wetland,Grassland,Water,Non_Wetland,Wetland
308,Wetland,Cropland,NULL,Non_Wetland,NULL
309,Wetland,Cropland,NULL,Non_Wetland,Grassland
310,Wetland,Cropland,NULL,Non_Wetland,Cropland
311,Wetland,Cropland,NULL,Non_Wetland,Wetland
312,Wetland,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
313,Wetland,Cropland,NULL,Non_Wetland,Bareland
314,Wetland,Cropland,NULL,Non_Wetland,Built-up
315,Wetland,Cropland,NULL,Non_Wetland,Water
316,Wetland,Cropland,NULL,Non_Wetland,Forest
317,Wetland,Cropland,Non_Water,Non_Wetland,Grassland
318,Wetland,Cropland,Non_Water,Non_Wetland,Cropland
319,Wetland,Cropland,Non_Water,Non_Wetland,Wetland
320,Wetland,Cropland,Non_Water,Non_Wetland,Lichens_and_Mosses
321,Wetland,Cropland,Non_Water,Non_Wetland,Bareland
322,Wetland,Cropland,Non_Water,Non_Wetland,Water
323,Wetland,Cropland,Non_Water,Non_Wetland,Forest
324,Wetland,Cropland,Water,Non_Wetland,Grassland
325,Wetland,Cropland,Water,Non_Wetland,Wetland
326,Wetland,Cropland,Water,Non_Wetland,Bareland
327,Wetland,Cropland,Water,Non_Wetland,Water
328,Wetland,Cropland,Water,Non_Wetland,Forest
329,Wetland,Wetland,NULL,Wetland,NULL
330,Wetland,Wetland,NULL,Wetland,Grassland
331,Wetland,Wetland,NULL,Wetland,Cropland
332,Wetland,Wetland,NULL,Wetland,Wetland
333,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
334,Wetland,Wetland,NULL,Wetland,Bareland
335,Wetland,Wetland,NULL,Wetland,Built-up
336,Wetland,Wetland,NULL,Wetland,Water
337,Wetland,Wetland,NULL,Wetland,Forest
338,Wetland,Wetland,Non_Water,Wetland,NULL
339,Wetland,Wetland,Non_Water,Wetland,Grassland
340,Wetland,Wetland,Non_Water,Wetland,Cropland
341,Wetland,Wetland,Non_Water,Wetland,Wetland
342,Wetland,Wetland,Non_Water,Wetland,Bareland
343,Wetland,Wetland,Non_Water,Wetland,Water
344,Wetland,Wetland,Non_Water,Wetland,Forest
345,Wetland,Wetland,Water,Wetland,NULL
346,Wetland,Wetland,Water,Wetland,Grassland
347,Wetland,Wetland,Water,Wetland,Cropland
348,Wetland,Wetland,Water,Wetland,Wetland
349,Wetland,Wetland,Water,Wetland,Bareland
350,Wetland,Wetland,Water,Wetland,Water
351,Wetland,Wetland,Water,Wetland,Forest
352,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
353,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
354,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
355,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
356,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
357,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
358,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
359,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
360,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
361,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
362,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
363,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
364,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
365,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
366,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
367,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
368,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
369,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Forest
370,Wetland,Bareland,NULL,Non_Wetland,NULL
371,Wetland,Bareland,NULL,Non_Wetland,Grassland
372,Wetland,Bareland,NULL,Non_Wetland,Cropland
373,Wetland,Bareland,NULL,Non_Wetland,Wetland
374,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
375,Wetland,Bareland,NULL,Non_Wetland,Bareland
376,Wetland,Bareland,NULL,Non_Wetland,Built-up
377,Wetland,Bareland,NULL,Non_Wetland,Water
378,Wetland,Bareland,NULL,Non_Wetland,Forest
379,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
380,Wetland,Bareland,Non_Water,Non_Wetland,Cropland
381,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
382,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
383,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
384,Wetland,Bareland,Non_Water,Non_Wetland,Built-up
385,Wetland,Bareland,Non_Water,Non_Wetland,Water
386,Wetland,Bareland,Non_Water,Non_Wetland,Forest
387,Wetland,Bareland,Water,Non_Wetland,Grassland
388,Wetland,Bareland,Water,Non_Wetland,Wetland
389,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
390,Wetland,Bareland,Water,Non_Wetland,Bareland
391,Wetland,Bareland,Water,Non_Wetland,Water
392,Wetland,Bareland,Water,Non_Wetland,Forest
393,Wetland,Built-up,NULL,Non_Wetland,NULL
394,Wetland,Built-up,NULL,Non_Wetland,Grassland
395,Wetland,Built-up,NULL,Non_Wetland,Cropland
396,Wetland,Built-up,NULL,Non_Wetland,Wetland
397,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
398,Wetland,Built-up,NULL,Non_Wetland,Bareland
399,Wetland,Built-up,NULL,Non_Wetland,Built-up
400,Wetland,Built-up,NULL,Non_Wetland,Water
401,Wetland,Built-up,NULL,Non_Wetland,Forest
402,Wetland,Built-up,Non_Water,Non_Wetland,Grassland
403,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
404,Wetland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
405,Wetland,Built-up,Non_Water,Non_Wetland,Bareland
406,Wetland,Built-up,Non_Water,Non_Wetland,Built-up
407,Wetland,Built-up,Non_Water,Non_Wetland,Water
408,Wetland,Built-up,Non_Water,Non_Wetland,Forest
409,Wetland,Built-up,Water,Non_Wetland,Grassland
410,Wetland,Built-up,Water,Non_Wetland,Wetland
411,Wetland,Built-up,Water,Non_Wetland,Bareland
412,Wetland,Built-up,Water,Non_Wetland,Built-up
413,Wetland,Built-up,Water,Non_Wetland,Water
414,Wetland,Built-up,Water,Non_Wetland,Forest
415,Wetland,Water,NULL,Water,NULL
416,Wetland,Water,NULL,Water,Grassland
417,Wetland,Water,NULL,Water,Wetland
418,Wetland,Water,NULL,Water,Bareland
419,Wetland,Water,NULL,Water,Water
420,Wetland,Water,NULL,Water,Forest
421,Wetland,Water,Non_Water,Water,Grassland
422,Wetland,Water,Non_Water,Water,Wetland
423,Wetland,Water,Non_Water,Water,Bareland
424,Wetland,Water,Non_Water,Water,Water
425,Wetland,Water,Non_Water,Water,Forest
426,Wetland,Water,Water,Water,NULL
427,Wetland,Water,Water,Water,Grassland
428,Wetland,Water,Water,Water,Wetland
429,Wetland,Water,Water,Water,Bareland
430,Wetland,Water,Water,Water,Water
431,Wetland,Water,Water,Water,Forest
432,Wetland,Forest,NULL,Non_Wetland,NULL
433,Wetland,Forest,NULL,Non_Wetland,Grassland
434,Wetland,Forest,NULL,Non_Wetland,Cropland
435,Wetland,Forest,NULL,Non_Wetland,Wetland
436,Wetland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
437,Wetland,Forest,NULL,Non_Wetland,Bareland
438,Wetland,Forest,NULL,Non_Wetland,Water
439,Wetland,Forest,NULL,Non_Wetland,Forest
440,Wetland,Forest,Non_Water,Non_Wetland,NULL
441,Wetland,Forest,Non_Water,Non_Wetland,Grassland
442,Wetland,Forest,Non_Water,Non_Wetland,Cropland
443,Wetland,Forest,Non_Water,Non_Wetland,Wetland
444,Wetland,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
445,Wetland,Forest,Non_Water,Non_Wetland,Bareland
446,Wetland,Forest,Non_Water,Non_Wetland,Water
447,Wetland,Forest,Non_Water,Non_Wetland,Forest
448,Wetland,Forest,Water,Non_Wetland,Grassland
449,Wetland,Forest,Water,Non_Wetland,Cropland
450,Wetland,Forest,Water,Non_Wetland,Wetland
451,Wetland,Forest,Water,Non_Wetland,Bareland
452,Wetland,Forest,Water,Non_Wetland,Water
453,Wetland,Forest,Water,Non_Wetland,Forest
454,Bareland,NULL,NULL,Non_Wetland,Wetland
455,Bareland,NULL,NULL,Non_Wetland,Forest
456,Bareland,NULL,Water,Non_Wetland,Water
457,Bareland,Shrubland,NULL,Non_Wetland,Grassland
458,Bareland,Shrubland,NULL,Non_Wetland,Bareland
459,Bareland,Shrubland,NULL,Non_Wetland,Built-up
460,Bareland,Shrubland,NULL,Non_Wetland,Forest
461,Bareland,Grassland,NULL,Non_Wetland,Grassland
462,Bareland,Grassland,NULL,Non_Wetland,Cropland
463,Bareland,Grassland,NULL,Non_Wetland,Bareland
464,Bareland,Grassland,NULL,Non_Wetland,Built-up
465,Bareland,Grassland,NULL,Non_Wetland,Forest
466,Bareland,Grassland,Non_Water,Non_Wetland,Bareland
467,Bareland,Grassland,Water,Non_Wetland,Grassland
468,Bareland,Grassland,Water,Non_Wetland,Bareland
469,Bareland,Cropland,NULL,Non_Wetland,Grassland
470,Bareland,Cropland,NULL,Non_Wetland,Wetland
471,Bareland,Cropland,NULL,Non_Wetland,Bareland
472,Bareland,Cropland,NULL,Non_Wetland,Water
473,Bareland,Cropland,NULL,Non_Wetland,Forest
474,Bareland,Cropland,Non_Water,Non_Wetland,Bareland
475,Bareland,Cropland,Water,Non_Wetland,Bareland
476,Bareland,Cropland,Water,Non_Wetland,Water
477,Bareland,Wetland,NULL,Wetland,NULL
478,Bareland,Wetland,NULL,Wetland,Grassland
479,Bareland,Wetland,NULL,Wetland,Wetland
