Value,SIBERIA_2024_ESRI_Annual_LULC_2024_43VEG_M_R,SIBERIA_2024_GLC_FCS30D_2022_43VEG_M_R,SIBERIA_2024_GSW_Yearly_2021_43VEG_M_R,SIBERIA_2024_GWL_FCS30D_2022_43VEG_M_R,SIBERIA_2024_WorldCover_2021_43VEG_M_R
274,Bareland,Grassland,NULL,Non_Wetland,Forest
275,Bareland,Wetland,NULL,Wetland,Grassland
276,Bareland,Wetland,NULL,Wetland,Wetland
277,Bareland,Wetland,NULL,Wetland,Water
278,Bareland,Wetland,NULL,Wetland,Forest
279,Bareland,Wetland,Non_Water,Wetland,Water
280,Bareland,Wetland,Non_Water,Wetland,Forest
281,Bareland,Wetland,Water,Wetland,Wetland
282,Bareland,Wetland,Water,Wetland,Water
283,Bareland,Wetland,Water,Wetland,Forest
284,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
285,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
286,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
287,Bareland,Bareland,NULL,Non_Wetland,Grassland
288,Bareland,Bareland,NULL,Non_Wetland,Bareland
289,Bareland,Bareland,NULL,Non_Wetland,Built-up
290,Bareland,Bareland,NULL,Non_Wetland,Water
291,Bareland,Bareland,NULL,Non_Wetland,Forest
292,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
293,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
294,Bareland,Bareland,Non_Water,Non_Wetland,Forest
295,Bareland,Bareland,Water,Non_Wetland,Bareland
296,Bareland,Bareland,Water,Non_Wetland,Built-up
297,Bareland,Bareland,Water,Non_Wetland,Water
298,Bareland,Bareland,Water,Non_Wetland,Forest
299,Bareland,Built-up,NULL,Non_Wetland,Grassland
300,Bareland,Built-up,NULL,Non_Wetland,Bareland
301,Bareland,Built-up,NULL,Non_Wetland,Built-up
302,Bareland,Built-up,NULL,Non_Wetland,Forest
303,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
304,Bareland,Built-up,Water,Non_Wetland,Built-up
305,Bareland,Water,NULL,Water,Grassland
306,Bareland,Water,NULL,Water,Water
307,Bareland,Water,NULL,Water,Forest
308,Bareland,Water,Non_Water,Water,Water
309,Bareland,Water,Non_Water,Water,Forest
310,Bareland,Water,Water,Water,Grassland
311,Bareland,Water,Water,Water,Water
312,Bareland,Water,Water,Water,Forest
313,Bareland,Forest,NULL,Non_Wetland,Grassland
314,Bareland,Forest,NULL,Non_Wetland,Bareland
315,Bareland,Forest,NULL,Non_Wetland,Built-up
316,Bareland,Forest,NULL,Non_Wetland,Water
317,Bareland,Forest,NULL,Non_Wetland,Forest
318,Bareland,Forest,Non_Water,Non_Wetland,Water
319,Bareland,Forest,Non_Water,Non_Wetland,Forest
320,Bareland,Forest,Water,Non_Wetland,Water
321,Bareland,Forest,Water,Non_Wetland,Forest
322,Built-up,NULL,NULL,Non_Wetland,Forest
323,Built-up,Shrubland,NULL,Non_Wetland,NULL
324,Built-up,Shrubland,NULL,Non_Wetland,Grassland
325,Built-up,Shrubland,NULL,Non_Wetland,Built-up
326,Built-up,Shrubland,NULL,Non_Wetland,Forest
327,Built-up,Grassland,NULL,Non_Wetland,Forest
328,Built-up,Cropland,NULL,Non_Wetland,Grassland
329,Built-up,Cropland,NULL,Non_Wetland,Built-up
330,Built-up,Cropland,NULL,Non_Wetland,Forest
331,Built-up,Cropland,Non_Water,Non_Wetland,Grassland
332,Built-up,Cropland,Non_Water,Non_Wetland,Forest
333,Built-up,Wetland,NULL,Wetland,Grassland
334,Built-up,Wetland,NULL,Wetland,Bareland
335,Built-up,Wetland,NULL,Wetland,Forest
336,Built-up,Bareland,NULL,Non_Wetland,NULL
337,Built-up,Bareland,NULL,Non_Wetland,Grassland
338,Built-up,Bareland,NULL,Non_Wetland,Wetland
339,Built-up,Bareland,NULL,Non_Wetland,Bareland
340,Built-up,Bareland,NULL,Non_Wetland,Built-up
341,Built-up,Bareland,NULL,Non_Wetland,Water
342,Built-up,Bareland,NULL,Non_Wetland,Forest
343,Built-up,Bareland,Non_Water,Non_Wetland,Forest
344,Built-up,Built-up,NULL,Non_Wetland,Grassland
345,Built-up,Built-up,NULL,Non_Wetland,Bareland
346,Built-up,Built-up,NULL,Non_Wetland,Built-up
347,Built-up,Built-up,NULL,Non_Wetland,Water
348,Built-up,Built-up,NULL,Non_Wetland,Forest
349,Built-up,Built-up,Non_Water,Non_Wetland,Bareland
350,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
351,Built-up,Built-up,Non_Water,Non_Wetland,Forest
352,Built-up,Built-up,Water,Non_Wetland,Bareland
353,Built-up,Built-up,Water,Non_Wetland,Built-up
354,Built-up,Forest,NULL,Non_Wetland,NULL
355,Built-up,Forest,NULL,Non_Wetland,Grassland
356,Built-up,Forest,NULL,Non_Wetland,Bareland
357,Built-up,Forest,NULL,Non_Wetland,Built-up
358,Built-up,Forest,NULL,Non_Wetland,Forest
359,Water,NULL,NULL,Non_Wetland,Grassland
360,Water,NULL,NULL,Non_Wetland,Wetland
361,Water,NULL,NULL,Non_Wetland,Water
362,Water,NULL,NULL,Non_Wetland,Forest
363,Water,NULL,Non_Water,Non_Wetland,Wetland
364,Water,NULL,Non_Water,Non_Wetland,Water
365,Water,NULL,Non_Water,Non_Wetland,Forest
366,Water,NULL,Water,Non_Wetland,Grassland
367,Water,NULL,Water,Non_Wetland,Wetland
368,Water,NULL,Water,Non_Wetland,Water
369,Water,NULL,Water,Non_Wetland,Forest
370,Water,Shrubland,NULL,Non_Wetland,Grassland
371,Water,Shrubland,NULL,Non_Wetland,Wetland
372,Water,Shrubland,NULL,Non_Wetland,Water
373,Water,Shrubland,NULL,Non_Wetland,Forest
374,Water,Grassland,NULL,Non_Wetland,Grassland
375,Water,Grassland,NULL,Non_Wetland,Bareland
376,Water,Grassland,NULL,Non_Wetland,Water
377,Water,Grassland,NULL,Non_Wetland,Forest
378,Water,Grassland,Water,Non_Wetland,Water
379,Water,Cropland,NULL,Non_Wetland,Grassland
380,Water,Cropland,NULL,Non_Wetland,Bareland
381,Water,Cropland,NULL,Non_Wetland,Forest
382,Water,Wetland,NULL,Wetland,NULL
383,Water,Wetland,NULL,Wetland,Grassland
384,Water,Wetland,NULL,Wetland,Wetland
385,Water,Wetland,NULL,Wetland,Water
386,Water,Wetland,NULL,Wetland,Forest
387,Water,Wetland,Non_Water,Wetland,Grassland
388,Water,Wetland,Non_Water,Wetland,Wetland
389,Water,Wetland,Non_Water,Wetland,Built-up
390,Water,Wetland,Non_Water,Wetland,Water
391,Water,Wetland,Non_Water,Wetland,Forest
392,Water,Wetland,Water,Wetland,NULL
393,Water,Wetland,Water,Wetland,Grassland
394,Water,Wetland,Water,Wetland,Cropland
395,Water,Wetland,Water,Wetland,Wetland
396,Water,Wetland,Water,Wetland,Water
397,Water,Wetland,Water,Wetland,Forest
398,Water,Bareland,NULL,Non_Wetland,Grassland
399,Water,Bareland,NULL,Non_Wetland,Wetland
400,Water,Bareland,NULL,Non_Wetland,Bareland
401,Water,Bareland,NULL,Non_Wetland,Water
402,Water,Bareland,NULL,Non_Wetland,Forest
403,Water,Bareland,Non_Water,Non_Wetland,Grassland
404,Water,Bareland,Non_Water,Non_Wetland,Bareland
405,Water,Bareland,Non_Water,Non_Wetland,Water
406,Water,Bareland,Non_Water,Non_Wetland,Forest
407,Water,Bareland,Water,Non_Wetland,Grassland
408,Water,Bareland,Water,Non_Wetland,Bareland
409,Water,Bareland,Water,Non_Wetland,Water
410,Water,Bareland,Water,Non_Wetland,Forest
411,Water,Built-up,NULL,Non_Wetland,Grassland
412,Water,Built-up,NULL,Non_Wetland,Bareland
413,Water,Built-up,NULL,Non_Wetland,Built-up
414,Water,Built-up,Water,Non_Wetland,Grassland
415,Water,Built-up,Water,Non_Wetland,Water
416,Water,Water,NULL,Water,Grassland
417,Water,Water,NULL,Water,Wetland
418,Water,Water,NULL,Water,Bareland
419,Water,Water,NULL,Water,Water
420,Water,Water,NULL,Water,Forest
421,Water,Water,Non_Water,Water,Grassland
422,Water,Water,Non_Water,Water,Wetland
423,Water,Water,Non_Water,Water,Water
424,Water,Water,Non_Water,Water,Forest
425,Water,Water,Water,Water,Grassland
426,Water,Water,Water,Water,Wetland
427,Water,Water,Water,Water,Bareland
428,Water,Water,Water,Water,Built-up
429,Water,Water,Water,Water,Water
430,Water,Water,Water,Water,Forest
431,Water,Forest,NULL,Non_Wetland,NULL
432,Water,Forest,NULL,Non_Wetland,Grassland
433,Water,Forest,NULL,Non_Wetland,Wetland
434,Water,Forest,NULL,Non_Wetland,Lichens_and_Mosses
435,Water,Forest,NULL,Non_Wetland,Bareland
436,Water,Forest,NULL,Non_Wetland,Water
437,Water,Forest,NULL,Non_Wetland,Forest
438,Water,Forest,Non_Water,Non_Wetland,NULL
439,Water,Forest,Non_Water,Non_Wetland,Wetland
440,Water,Forest,Non_Water,Non_Wetland,Water
441,Water,Forest,Non_Water,Non_Wetland,Forest
442,Water,Forest,Water,Non_Wetland,NULL
443,Water,Forest,Water,Non_Wetland,Grassland
444,Water,Forest,Water,Non_Wetland,Wetland
445,Water,Forest,Water,Non_Wetland,Bareland
446,Water,Forest,Water,Non_Wetland,Water
447,Water,Forest,Water,Non_Wetland,Forest
448,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Forest
449,Permanent_ice_and_snow,NULL,Non_Water,Non_Wetland,Wetland
450,Permanent_ice_and_snow,NULL,Non_Water,Non_Wetland,Forest
451,Permanent_ice_and_snow,NULL,Water,Non_Wetland,Wetland
452,Permanent_ice_and_snow,NULL,Water,Non_Wetland,Forest
453,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Grassland
454,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Forest
455,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Grassland
456,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Bareland
457,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Forest
458,Permanent_ice_and_snow,Cropland,NULL,Non_Wetland,Grassland
459,Permanent_ice_and_snow,Cropland,NULL,Non_Wetland,Forest
460,Permanent_ice_and_snow,Wetland,NULL,Wetland,NULL
461,Permanent_ice_and_snow,Wetland,NULL,Wetland,Grassland
462,Permanent_ice_and_snow,Wetland,NULL,Wetland,Wetland
463,Permanent_ice_and_snow,Wetland,NULL,Wetland,Water
464,Permanent_ice_and_snow,Wetland,NULL,Wetland,Forest
465,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Wetland
466,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Forest
467,Permanent_ice_and_snow,Wetland,Water,Wetland,Grassland
468,Permanent_ice_and_snow,Wetland,Water,Wetland,Wetland
469,Permanent_ice_and_snow,Wetland,Water,Wetland,Forest
470,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,NULL
471,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Grassland
472,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Wetland
473,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
474,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Bareland
475,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Built-up
476,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Forest
477,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Forest
478,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Grassland
479,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Forest
480,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Grassland
481,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Bareland
482,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Built-up
483,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Forest
484,Permanent_ice_and_snow,Built-up,Non_Water,Non_Wetland,Built-up
485,Permanent_ice_and_snow,Built-up,Water,Non_Wetland,Water
486,Permanent_ice_and_snow,Water,NULL,Water,Forest
487,Permanent_ice_and_snow,Water,Non_Water,Water,Water
488,Permanent_ice_and_snow,Water,Non_Water,Water,Forest
489,Permanent_ice_and_snow,Water,Water,Water,NULL
490,Permanent_ice_and_snow,Water,Water,Water,Wetland
491,Permanent_ice_and_snow,Water,Water,Water,Forest
492,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,NULL
493,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Grassland
494,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Wetland
495,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Bareland
496,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Built-up
