Value,SIBERIA_2024_ESRI_Annual_LULC_2024_41WNR_M_R,SIBERIA_2024_GLC_FCS30D_2022_41WNR_M_R,SIBERIA_2024_GSW_Yearly_2021_41WNR_M_R,SIBERIA_2024_GWL_FCS30D_2022_41WNR_M_R,SIBERIA_2024_WorldCover_2021_41WNR_M_R
254,Wetland,Grassland,Non_Water,Non_Wetland,Forest
255,Wetland,Grassland,Water,Non_Wetland,NULL
256,Wetland,Grassland,Water,Non_Wetland,Grassland
257,Wetland,Grassland,Water,Non_Wetland,Wetland
258,Wetland,Grassland,Water,Non_Wetland,Lichens_and_Mosses
259,Wetland,Grassland,Water,Non_Wetland,Water
260,Wetland,Grassland,Water,Non_Wetland,Forest
261,Wetland,Wetland,NULL,Wetland,NULL
262,Wetland,Wetland,NULL,Wetland,Grassland
263,Wetland,Wetland,NULL,Wetland,Wetland
264,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
265,Wetland,Wetland,NULL,Wetland,Bareland
266,Wetland,Wetland,NULL,Wetland,Water
267,Wetland,Wetland,NULL,Wetland,Forest
268,Wetland,Wetland,Non_Water,Wetland,NULL
269,Wetland,Wetland,Non_Water,Wetland,Grassland
270,Wetland,Wetland,Non_Water,Wetland,Wetland
271,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
272,Wetland,Wetland,Non_Water,Wetland,Bareland
273,Wetland,Wetland,Non_Water,Wetland,Water
274,Wetland,Wetland,Non_Water,Wetland,Forest
275,Wetland,Wetland,Water,Wetland,NULL
276,Wetland,Wetland,Water,Wetland,Grassland
277,Wetland,Wetland,Water,Wetland,Wetland
278,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
279,Wetland,Wetland,Water,Wetland,Bareland
280,Wetland,Wetland,Water,Wetland,Built-up
281,Wetland,Wetland,Water,Wetland,Water
282,Wetland,Wetland,Water,Wetland,Forest
283,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
284,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
285,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
286,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
287,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
288,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
289,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
290,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
291,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
292,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
293,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
294,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
295,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
296,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
297,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
298,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
299,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
300,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
301,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
302,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Forest
303,Wetland,Bareland,NULL,Non_Wetland,NULL
304,Wetland,Bareland,NULL,Non_Wetland,Grassland
305,Wetland,Bareland,NULL,Non_Wetland,Wetland
306,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
307,Wetland,Bareland,NULL,Non_Wetland,Bareland
308,Wetland,Bareland,NULL,Non_Wetland,Built-up
309,Wetland,Bareland,NULL,Non_Wetland,Water
310,Wetland,Bareland,NULL,Non_Wetland,Forest
311,Wetland,Bareland,Non_Water,Non_Wetland,NULL
312,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
313,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
314,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
315,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
316,Wetland,Bareland,Non_Water,Non_Wetland,Water
317,Wetland,Bareland,Non_Water,Non_Wetland,Forest
318,Wetland,Bareland,Water,Non_Wetland,NULL
319,Wetland,Bareland,Water,Non_Wetland,Grassland
320,Wetland,Bareland,Water,Non_Wetland,Wetland
321,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
322,Wetland,Bareland,Water,Non_Wetland,Bareland
323,Wetland,Bareland,Water,Non_Wetland,Water
324,Wetland,Bareland,Water,Non_Wetland,Forest
325,Wetland,Built-up,NULL,Non_Wetland,Grassland
326,Wetland,Built-up,NULL,Non_Wetland,Wetland
327,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
328,Wetland,Built-up,NULL,Non_Wetland,Bareland
329,Wetland,Built-up,NULL,Non_Wetland,Built-up
330,Wetland,Built-up,NULL,Non_Wetland,Water
331,Wetland,Built-up,NULL,Non_Wetland,Forest
332,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
333,Wetland,Built-up,Non_Water,Non_Wetland,Built-up
334,Wetland,Built-up,Non_Water,Non_Wetland,Water
335,Wetland,Built-up,Water,Non_Wetland,Grassland
336,Wetland,Built-up,Water,Non_Wetland,Wetland
337,Wetland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
338,Wetland,Built-up,Water,Non_Wetland,Water
339,Wetland,Built-up,Water,Non_Wetland,Forest
340,Wetland,Water,NULL,Water,NULL
341,Wetland,Water,NULL,Water,Grassland
342,Wetland,Water,NULL,Water,Wetland
343,Wetland,Water,NULL,Water,Lichens_and_Mosses
344,Wetland,Water,NULL,Water,Bareland
345,Wetland,Water,NULL,Water,Water
346,Wetland,Water,NULL,Water,Forest
347,Wetland,Water,Non_Water,Water,NULL
348,Wetland,Water,Non_Water,Water,Grassland
349,Wetland,Water,Non_Water,Water,Wetland
350,Wetland,Water,Non_Water,Water,Lichens_and_Mosses
351,Wetland,Water,Non_Water,Water,Bareland
352,Wetland,Water,Non_Water,Water,Water
353,Wetland,Water,Non_Water,Water,Forest
354,Wetland,Water,Water,Water,NULL
355,Wetland,Water,Water,Water,Grassland
356,Wetland,Water,Water,Water,Wetland
357,Wetland,Water,Water,Water,Lichens_and_Mosses
358,Wetland,Water,Water,Water,Bareland
359,Wetland,Water,Water,Water,Built-up
360,Wetland,Water,Water,Water,Water
361,Wetland,Water,Water,Water,Forest
362,Wetland,Forest,NULL,Non_Wetland,NULL
363,Wetland,Forest,NULL,Non_Wetland,Grassland
364,Wetland,Forest,NULL,Non_Wetland,Wetland
365,Wetland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
366,Wetland,Forest,NULL,Non_Wetland,Bareland
367,Wetland,Forest,NULL,Non_Wetland,Built-up
368,Wetland,Forest,NULL,Non_Wetland,Water
369,Wetland,Forest,NULL,Non_Wetland,Forest
370,Wetland,Forest,Non_Water,Non_Wetland,NULL
371,Wetland,Forest,Non_Water,Non_Wetland,Grassland
372,Wetland,Forest,Non_Water,Non_Wetland,Wetland
373,Wetland,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
374,Wetland,Forest,Non_Water,Non_Wetland,Bareland
375,Wetland,Forest,Non_Water,Non_Wetland,Water
376,Wetland,Forest,Non_Water,Non_Wetland,Forest
377,Wetland,Forest,Water,Non_Wetland,NULL
378,Wetland,Forest,Water,Non_Wetland,Grassland
379,Wetland,Forest,Water,Non_Wetland,Wetland
380,Wetland,Forest,Water,Non_Wetland,Lichens_and_Mosses
381,Wetland,Forest,Water,Non_Wetland,Bareland
382,Wetland,Forest,Water,Non_Wetland,Water
383,Wetland,Forest,Water,Non_Wetland,Forest
384,Bareland,NULL,NULL,Non_Wetland,Bareland
385,Bareland,NULL,NULL,Non_Wetland,Water
386,Bareland,NULL,Water,Non_Wetland,Bareland
387,Bareland,NULL,Water,Non_Wetland,Water
388,Bareland,Shrubland,NULL,Non_Wetland,Grassland
389,Bareland,Shrubland,NULL,Non_Wetland,Wetland
390,Bareland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
391,Bareland,Shrubland,NULL,Non_Wetland,Bareland
392,Bareland,Shrubland,NULL,Non_Wetland,Water
393,Bareland,Shrubland,NULL,Non_Wetland,Forest
394,Bareland,Shrubland,Non_Water,Non_Wetland,Grassland
395,Bareland,Shrubland,Non_Water,Non_Wetland,Wetland
396,Bareland,Shrubland,Non_Water,Non_Wetland,Bareland
397,Bareland,Shrubland,Non_Water,Non_Wetland,Water
398,Bareland,Shrubland,Water,Non_Wetland,Grassland
399,Bareland,Shrubland,Water,Non_Wetland,Wetland
400,Bareland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
401,Bareland,Shrubland,Water,Non_Wetland,Bareland
402,Bareland,Shrubland,Water,Non_Wetland,Water
403,Bareland,Grassland,NULL,Non_Wetland,Grassland
404,Bareland,Grassland,NULL,Non_Wetland,Bareland
405,Bareland,Wetland,NULL,Wetland,Wetland
406,Bareland,Wetland,NULL,Wetland,Bareland
407,Bareland,Wetland,NULL,Wetland,Water
408,Bareland,Wetland,Non_Water,Wetland,Bareland
409,Bareland,Wetland,Non_Water,Wetland,Water
410,Bareland,Wetland,Water,Wetland,Grassland
411,Bareland,Wetland,Water,Wetland,Wetland
412,Bareland,Wetland,Water,Wetland,Lichens_and_Mosses
413,Bareland,Wetland,Water,Wetland,Bareland
414,Bareland,Wetland,Water,Wetland,Water
415,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
416,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
417,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
418,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Water
419,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Permanent_ice_and_snow
420,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
421,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
422,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
423,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
424,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
425,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
426,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Water
427,Bareland,Bareland,NULL,Non_Wetland,Grassland
428,Bareland,Bareland,NULL,Non_Wetland,Wetland
429,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
430,Bareland,Bareland,NULL,Non_Wetland,Bareland
431,Bareland,Bareland,NULL,Non_Wetland,Built-up
432,Bareland,Bareland,NULL,Non_Wetland,Water
433,Bareland,Bareland,NULL,Non_Wetland,Permanent_ice_and_snow
434,Bareland,Bareland,NULL,Non_Wetland,Forest
435,Bareland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
436,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
437,Bareland,Bareland,Non_Water,Non_Wetland,Water
438,Bareland,Bareland,Water,Non_Wetland,Grassland
439,Bareland,Bareland,Water,Non_Wetland,Wetland
440,Bareland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
441,Bareland,Bareland,Water,Non_Wetland,Bareland
442,Bareland,Bareland,Water,Non_Wetland,Built-up
443,Bareland,Bareland,Water,Non_Wetland,Water
444,Bareland,Bareland,Water,Non_Wetland,Permanent_ice_and_snow
445,Bareland,Bareland,Water,Non_Wetland,Forest
446,Bareland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
447,Bareland,Built-up,NULL,Non_Wetland,Bareland
448,Bareland,Built-up,NULL,Non_Wetland,Built-up
449,Bareland,Built-up,NULL,Non_Wetland,Water
450,Bareland,Built-up,NULL,Non_Wetland,Permanent_ice_and_snow
451,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
452,Bareland,Built-up,Non_Water,Non_Wetland,Water
453,Bareland,Built-up,Water,Non_Wetland,Bareland
454,Bareland,Built-up,Water,Non_Wetland,Built-up
455,Bareland,Built-up,Water,Non_Wetland,Water
456,Bareland,Water,NULL,Water,Grassland
457,Bareland,Water,NULL,Water,Lichens_and_Mosses
458,Bareland,Water,NULL,Water,Bareland
459,Bareland,Water,NULL,Water,Built-up
460,Bareland,Water,NULL,Water,Water
461,Bareland,Water,NULL,Water,Permanent_ice_and_snow
462,Bareland,Water,Non_Water,Water,Lichens_and_Mosses
463,Bareland,Water,Non_Water,Water,Bareland
464,Bareland,Water,Non_Water,Water,Water
465,Bareland,Water,Water,Water,Grassland
466,Bareland,Water,Water,Water,Wetland
467,Bareland,Water,Water,Water,Lichens_and_Mosses
