Value,SIBERIA_2024_ESRI_Annual_LULC_2024_44WNC_M_R,SIBERIA_2024_GLC_FCS30D_2022_44WNC_M_R,SIBERIA_2024_GSW_Yearly_2021_44WNC_M_R,SIBERIA_2024_GWL_FCS30D_2022_44WNC_M_R,SIBERIA_2024_WorldCover_2021_44WNC_M_R
172,NULL,Forest,Non_Water,Non_Wetland,Forest
173,NULL,Forest,Water,Non_Wetland,Grassland
174,NULL,Forest,Water,Non_Wetland,Wetland
175,NULL,Forest,Water,Non_Wetland,Lichens_and_Mosses
176,NULL,Forest,Water,Non_Wetland,Bareland
177,NULL,Forest,Water,Non_Wetland,Water
178,NULL,Forest,Water,Non_Wetland,Forest
179,Cropland,Shrubland,NULL,Non_Wetland,Forest
180,Cropland,Wetland,Non_Water,Wetland,Wetland
181,Cropland,Wetland,Water,Wetland,Wetland
182,Cropland,Wetland,Water,Wetland,Water
183,Wetland,NULL,NULL,Non_Wetland,Grassland
184,Wetland,NULL,NULL,Non_Wetland,Wetland
185,Wetland,NULL,NULL,Non_Wetland,Lichens_and_Mosses
186,Wetland,NULL,NULL,Non_Wetland,Bareland
187,Wetland,NULL,NULL,Non_Wetland,Water
188,Wetland,NULL,NULL,Non_Wetland,Forest
189,Wetland,NULL,Non_Water,Non_Wetland,Grassland
190,Wetland,NULL,Non_Water,Non_Wetland,Wetland
191,Wetland,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
192,Wetland,NULL,Non_Water,Non_Wetland,Bareland
193,Wetland,NULL,Non_Water,Non_Wetland,Water
194,Wetland,NULL,Non_Water,Non_Wetland,Forest
195,Wetland,NULL,Water,Non_Wetland,Grassland
196,Wetland,NULL,Water,Non_Wetland,Wetland
197,Wetland,NULL,Water,Non_Wetland,Lichens_and_Mosses
198,Wetland,NULL,Water,Non_Wetland,Bareland
199,Wetland,NULL,Water,Non_Wetland,Water
200,Wetland,NULL,Water,Non_Wetland,Forest
201,Wetland,Shrubland,NULL,Non_Wetland,Grassland
202,Wetland,Shrubland,NULL,Non_Wetland,Wetland
203,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
204,Wetland,Shrubland,NULL,Non_Wetland,Bareland
205,Wetland,Shrubland,NULL,Non_Wetland,Water
206,Wetland,Shrubland,NULL,Non_Wetland,Forest
207,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
208,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
209,Wetland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
210,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland
211,Wetland,Shrubland,Non_Water,Non_Wetland,Water
212,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
213,Wetland,Shrubland,Water,Non_Wetland,Grassland
214,Wetland,Shrubland,Water,Non_Wetland,Wetland
215,Wetland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
216,Wetland,Shrubland,Water,Non_Wetland,Bareland
217,Wetland,Shrubland,Water,Non_Wetland,Water
218,Wetland,Shrubland,Water,Non_Wetland,Forest
219,Wetland,Grassland,NULL,Non_Wetland,Grassland
220,Wetland,Grassland,NULL,Non_Wetland,Wetland
221,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
222,Wetland,Grassland,NULL,Non_Wetland,Bareland
223,Wetland,Grassland,NULL,Non_Wetland,Water
224,Wetland,Grassland,NULL,Non_Wetland,Forest
225,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
226,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
227,Wetland,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
228,Wetland,Grassland,Non_Water,Non_Wetland,Bareland
229,Wetland,Grassland,Non_Water,Non_Wetland,Water
230,Wetland,Grassland,Non_Water,Non_Wetland,Forest
231,Wetland,Grassland,Water,Non_Wetland,Grassland
232,Wetland,Grassland,Water,Non_Wetland,Wetland
233,Wetland,Grassland,Water,Non_Wetland,Lichens_and_Mosses
234,Wetland,Grassland,Water,Non_Wetland,Bareland
235,Wetland,Grassland,Water,Non_Wetland,Water
236,Wetland,Grassland,Water,Non_Wetland,Forest
237,Wetland,Wetland,NULL,NULL,Grassland
238,Wetland,Wetland,NULL,NULL,Wetland
239,Wetland,Wetland,NULL,NULL,Lichens_and_Mosses
240,Wetland,Wetland,NULL,NULL,Bareland
241,Wetland,Wetland,NULL,NULL,Water
242,Wetland,Wetland,NULL,NULL,Forest
243,Wetland,Wetland,NULL,Wetland,Grassland
244,Wetland,Wetland,NULL,Wetland,Wetland
245,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
246,Wetland,Wetland,NULL,Wetland,Bareland
247,Wetland,Wetland,NULL,Wetland,Built-up
248,Wetland,Wetland,NULL,Wetland,Water
249,Wetland,Wetland,NULL,Wetland,Forest
250,Wetland,Wetland,Non_Water,NULL,Grassland
251,Wetland,Wetland,Non_Water,NULL,Wetland
252,Wetland,Wetland,Non_Water,NULL,Lichens_and_Mosses
253,Wetland,Wetland,Non_Water,NULL,Water
254,Wetland,Wetland,Non_Water,Wetland,Grassland
255,Wetland,Wetland,Non_Water,Wetland,Wetland
256,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
257,Wetland,Wetland,Non_Water,Wetland,Bareland
258,Wetland,Wetland,Non_Water,Wetland,Water
259,Wetland,Wetland,Non_Water,Wetland,Forest
260,Wetland,Wetland,Water,NULL,Grassland
261,Wetland,Wetland,Water,NULL,Wetland
262,Wetland,Wetland,Water,NULL,Lichens_and_Mosses
263,Wetland,Wetland,Water,NULL,Bareland
264,Wetland,Wetland,Water,NULL,Water
265,Wetland,Wetland,Water,NULL,Forest
266,Wetland,Wetland,Water,Wetland,Grassland
267,Wetland,Wetland,Water,Wetland,Wetland
268,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
269,Wetland,Wetland,Water,Wetland,Bareland
270,Wetland,Wetland,Water,Wetland,Water
271,Wetland,Wetland,Water,Wetland,Forest
272,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
273,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
274,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
275,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
276,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
277,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
278,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
279,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
280,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
281,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
282,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
283,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
284,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
285,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
286,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
287,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
288,Wetland,Bareland,NULL,Non_Wetland,Grassland
289,Wetland,Bareland,NULL,Non_Wetland,Wetland
290,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
291,Wetland,Bareland,NULL,Non_Wetland,Bareland
292,Wetland,Bareland,NULL,Non_Wetland,Water
293,Wetland,Bareland,NULL,Non_Wetland,Forest
294,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
295,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
296,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
297,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
298,Wetland,Bareland,Non_Water,Non_Wetland,Water
299,Wetland,Bareland,Non_Water,Non_Wetland,Forest
300,Wetland,Bareland,Water,Non_Wetland,Grassland
301,Wetland,Bareland,Water,Non_Wetland,Wetland
302,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
303,Wetland,Bareland,Water,Non_Wetland,Bareland
304,Wetland,Bareland,Water,Non_Wetland,Water
305,Wetland,Bareland,Water,Non_Wetland,Forest
306,Wetland,Built-up,NULL,Non_Wetland,Grassland
307,Wetland,Built-up,NULL,Non_Wetland,Wetland
308,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
309,Wetland,Built-up,NULL,Non_Wetland,Bareland
310,Wetland,Built-up,NULL,Non_Wetland,Water
311,Wetland,Built-up,NULL,Non_Wetland,Forest
312,Wetland,Built-up,Non_Water,Non_Wetland,Grassland
313,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
314,Wetland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
315,Wetland,Built-up,Non_Water,Non_Wetland,Bareland
316,Wetland,Built-up,Non_Water,Non_Wetland,Water
317,Wetland,Built-up,Non_Water,Non_Wetland,Forest
318,Wetland,Built-up,Water,Non_Wetland,Grassland
319,Wetland,Built-up,Water,Non_Wetland,Wetland
320,Wetland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
321,Wetland,Built-up,Water,Non_Wetland,Bareland
322,Wetland,Built-up,Water,Non_Wetland,Water
323,Wetland,Built-up,Water,Non_Wetland,Forest
324,Wetland,Water,NULL,NULL,Grassland
325,Wetland,Water,NULL,NULL,Wetland
326,Wetland,Water,NULL,NULL,Lichens_and_Mosses
327,Wetland,Water,NULL,NULL,Bareland
328,Wetland,Water,NULL,NULL,Water
329,Wetland,Water,NULL,NULL,Forest
330,Wetland,Water,NULL,Water,Grassland
331,Wetland,Water,NULL,Water,Wetland
332,Wetland,Water,NULL,Water,Lichens_and_Mosses
333,Wetland,Water,NULL,Water,Bareland
334,Wetland,Water,NULL,Water,Water
335,Wetland,Water,NULL,Water,Forest
336,Wetland,Water,Non_Water,NULL,Water
337,Wetland,Water,Non_Water,Water,Grassland
338,Wetland,Water,Non_Water,Water,Wetland
339,Wetland,Water,Non_Water,Water,Lichens_and_Mosses
340,Wetland,Water,Non_Water,Water,Bareland
341,Wetland,Water,Non_Water,Water,Water
342,Wetland,Water,Non_Water,Water,Forest
343,Wetland,Water,Water,NULL,Wetland
344,Wetland,Water,Water,NULL,Water
345,Wetland,Water,Water,NULL,Forest
346,Wetland,Water,Water,Water,Grassland
347,Wetland,Water,Water,Water,Wetland
348,Wetland,Water,Water,Water,Lichens_and_Mosses
349,Wetland,Water,Water,Water,Bareland
350,Wetland,Water,Water,Water,Water
351,Wetland,Water,Water,Water,Forest
352,Wetland,Forest,NULL,Non_Wetland,NULL
353,Wetland,Forest,NULL,Non_Wetland,Grassland
354,Wetland,Forest,NULL,Non_Wetland,Wetland
355,Wetland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
356,Wetland,Forest,NULL,Non_Wetland,Bareland
357,Wetland,Forest,NULL,Non_Wetland,Water
358,Wetland,Forest,NULL,Non_Wetland,Forest
359,Wetland,Forest,Non_Water,Non_Wetland,Grassland
360,Wetland,Forest,Non_Water,Non_Wetland,Wetland
361,Wetland,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
362,Wetland,Forest,Non_Water,Non_Wetland,Bareland
363,Wetland,Forest,Non_Water,Non_Wetland,Water
364,Wetland,Forest,Non_Water,Non_Wetland,Forest
365,Wetland,Forest,Water,Non_Wetland,Grassland
366,Wetland,Forest,Water,Non_Wetland,Wetland
367,Wetland,Forest,Water,Non_Wetland,Lichens_and_Mosses
368,Wetland,Forest,Water,Non_Wetland,Bareland
369,Wetland,Forest,Water,Non_Wetland,Water
370,Wetland,Forest,Water,Non_Wetland,Forest
371,Bareland,NULL,NULL,Non_Wetland,Water
372,Bareland,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
373,Bareland,NULL,Non_Water,Non_Wetland,Bareland
374,Bareland,NULL,Non_Water,Non_Wetland,Water
375,Bareland,NULL,Water,Non_Wetland,Wetland
376,Bareland,NULL,Water,Non_Wetland,Lichens_and_Mosses
377,Bareland,NULL,Water,Non_Wetland,Bareland
378,Bareland,NULL,Water,Non_Wetland,Water
379,Bareland,Shrubland,NULL,Non_Wetland,Grassland
380,Bareland,Shrubland,NULL,Non_Wetland,Wetland
381,Bareland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
382,Bareland,Shrubland,NULL,Non_Wetland,Bareland
383,Bareland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
384,Bareland,Shrubland,Non_Water,Non_Wetland,Bareland
385,Bareland,Shrubland,Non_Water,Non_Wetland,Water
386,Bareland,Shrubland,Water,Non_Wetland,Wetland
387,Bareland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
388,Bareland,Shrubland,Water,Non_Wetland,Bareland
389,Bareland,Shrubland,Water,Non_Wetland,Water
390,Bareland,Grassland,NULL,Non_Wetland,Grassland
391,Bareland,Grassland,NULL,Non_Wetland,Wetland
392,Bareland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
393,Bareland,Grassland,NULL,Non_Wetland,Bareland
394,Bareland,Grassland,NULL,Non_Wetland,Forest
395,Bareland,Grassland,Water,Non_Wetland,Lichens_and_Mosses
396,Bareland,Wetland,NULL,NULL,Wetland
397,Bareland,Wetland,NULL,NULL,Lichens_and_Mosses
398,Bareland,Wetland,NULL,NULL,Bareland
399,Bareland,Wetland,NULL,NULL,Water
400,Bareland,Wetland,NULL,Wetland,Grassland
401,Bareland,Wetland,NULL,Wetland,Wetland
402,Bareland,Wetland,NULL,Wetland,Lichens_and_Mosses
403,Bareland,Wetland,NULL,Wetland,Bareland
404,Bareland,Wetland,NULL,Wetland,Water
405,Bareland,Wetland,Non_Water,NULL,Bareland
406,Bareland,Wetland,Non_Water,NULL,Water
407,Bareland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
408,Bareland,Wetland,Non_Water,Wetland,Bareland
409,Bareland,Wetland,Non_Water,Wetland,Water
410,Bareland,Wetland,Water,NULL,Wetland
411,Bareland,Wetland,Water,NULL,Lichens_and_Mosses
412,Bareland,Wetland,Water,NULL,Bareland
413,Bareland,Wetland,Water,NULL,Water
414,Bareland,Wetland,Water,Wetland,Wetland
415,Bareland,Wetland,Water,Wetland,Lichens_and_Mosses
416,Bareland,Wetland,Water,Wetland,Bareland
417,Bareland,Wetland,Water,Wetland,Water
418,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
419,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
420,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
421,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
422,Bareland,Bareland,NULL,Non_Wetland,Grassland
423,Bareland,Bareland,NULL,Non_Wetland,Wetland
424,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
425,Bareland,Bareland,NULL,Non_Wetland,Bareland
426,Bareland,Bareland,NULL,Non_Wetland,Built-up
427,Bareland,Bareland,NULL,Non_Wetland,Water
428,Bareland,Bareland,Non_Water,Non_Wetland,Wetland
429,Bareland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
430,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
431,Bareland,Bareland,Non_Water,Non_Wetland,Water
432,Bareland,Bareland,Water,Non_Wetland,Grassland
433,Bareland,Bareland,Water,Non_Wetland,Wetland
434,Bareland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
435,Bareland,Bareland,Water,Non_Wetland,Bareland
436,Bareland,Bareland,Water,Non_Wetland,Water
437,Bareland,Built-up,NULL,Non_Wetland,Grassland
438,Bareland,Built-up,NULL,Non_Wetland,Wetland
439,Bareland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
440,Bareland,Built-up,NULL,Non_Wetland,Bareland
441,Bareland,Built-up,NULL,Non_Wetland,Water
442,Bareland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
443,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
444,Bareland,Built-up,Non_Water,Non_Wetland,Water
445,Bareland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
446,Bareland,Built-up,Water,Non_Wetland,Bareland
447,Bareland,Built-up,Water,Non_Wetland,Water
448,Bareland,Water,NULL,Water,Lichens_and_Mosses
449,Bareland,Water,NULL,Water,Bareland
450,Bareland,Water,NULL,Water,Water
451,Bareland,Water,Non_Water,Water,Wetland
452,Bareland,Water,Non_Water,Water,Lichens_and_Mosses
453,Bareland,Water,Non_Water,Water,Bareland
454,Bareland,Water,Non_Water,Water,Water
455,Bareland,Water,Water,NULL,Bareland
456,Bareland,Water,Water,Water,Grassland
457,Bareland,Water,Water,Water,Wetland
458,Bareland,Water,Water,Water,Lichens_and_Mosses
459,Bareland,Water,Water,Water,Bareland
460,Bareland,Water,Water,Water,Water
461,Bareland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
462,Bareland,Forest,NULL,Non_Wetland,Forest
463,Bareland,Forest,Water,Non_Wetland,Wetland
464,Bareland,Forest,Water,Non_Wetland,Bareland
465,Bareland,Forest,Water,Non_Wetland,Water
466,Built-up,NULL,NULL,Non_Wetland,Grassland
467,Built-up,NULL,NULL,Non_Wetland,Wetland
468,Built-up,NULL,NULL,Non_Wetland,Lichens_and_Mosses
469,Built-up,NULL,NULL,Non_Wetland,Bareland
470,Built-up,NULL,NULL,Non_Wetland,Built-up
471,Built-up,NULL,NULL,Non_Wetland,Forest
472,Built-up,Shrubland,NULL,Non_Wetland,Grassland
473,Built-up,Shrubland,NULL,Non_Wetland,Wetland
474,Built-up,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
475,Built-up,Shrubland,NULL,Non_Wetland,Bareland
476,Built-up,Shrubland,NULL,Non_Wetland,Built-up
477,Built-up,Shrubland,NULL,Non_Wetland,Forest
