Value,SIBERIA_2024_ESRI_Annual_LULC_2024_41WNQ_M_R,SIBERIA_2024_GLC_FCS30D_2022_41WNQ_M_R,SIBERIA_2024_GSW_Yearly_2021_41WNQ_M_R,SIBERIA_2024_GWL_FCS30D_2022_41WNQ_M_R,SIBERIA_2024_WorldCover_2021_41WNQ_M_R
254,Wetland,NULL,Water,Non_Wetland,Forest
255,Wetland,Shrubland,NULL,Non_Wetland,NULL
256,Wetland,Shrubland,NULL,Non_Wetland,Grassland
257,Wetland,Shrubland,NULL,Non_Wetland,Wetland
258,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
259,Wetland,Shrubland,NULL,Non_Wetland,Bareland
260,Wetland,Shrubland,NULL,Non_Wetland,Built-up
261,Wetland,Shrubland,NULL,Non_Wetland,Water
262,Wetland,Shrubland,NULL,Non_Wetland,Forest
263,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
264,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
265,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
266,Wetland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
267,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland
268,Wetland,Shrubland,Non_Water,Non_Wetland,Built-up
269,Wetland,Shrubland,Non_Water,Non_Wetland,Water
270,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
271,Wetland,Shrubland,Water,Non_Wetland,NULL
272,Wetland,Shrubland,Water,Non_Wetland,Grassland
273,Wetland,Shrubland,Water,Non_Wetland,Wetland
274,Wetland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
275,Wetland,Shrubland,Water,Non_Wetland,Bareland
276,Wetland,Shrubland,Water,Non_Wetland,Water
277,Wetland,Shrubland,Water,Non_Wetland,Forest
278,Wetland,Grassland,NULL,Non_Wetland,NULL
279,Wetland,Grassland,NULL,Non_Wetland,Grassland
280,Wetland,Grassland,NULL,Non_Wetland,Wetland
281,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
282,Wetland,Grassland,NULL,Non_Wetland,Bareland
283,Wetland,Grassland,NULL,Non_Wetland,Built-up
284,Wetland,Grassland,NULL,Non_Wetland,Water
285,Wetland,Grassland,NULL,Non_Wetland,Forest
286,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
287,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
288,Wetland,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
289,Wetland,Grassland,Non_Water,Non_Wetland,Forest
290,Wetland,Grassland,Water,Non_Wetland,Grassland
291,Wetland,Grassland,Water,Non_Wetland,Wetland
292,Wetland,Grassland,Water,Non_Wetland,Lichens_and_Mosses
293,Wetland,Grassland,Water,Non_Wetland,Water
294,Wetland,Grassland,Water,Non_Wetland,Forest
295,Wetland,Wetland,NULL,Wetland,NULL
296,Wetland,Wetland,NULL,Wetland,Grassland
297,Wetland,Wetland,NULL,Wetland,Wetland
298,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
299,Wetland,Wetland,NULL,Wetland,Bareland
300,Wetland,Wetland,NULL,Wetland,Water
301,Wetland,Wetland,NULL,Wetland,Forest
302,Wetland,Wetland,Non_Water,Wetland,NULL
303,Wetland,Wetland,Non_Water,Wetland,Grassland
304,Wetland,Wetland,Non_Water,Wetland,Wetland
305,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
306,Wetland,Wetland,Non_Water,Wetland,Bareland
307,Wetland,Wetland,Non_Water,Wetland,Water
308,Wetland,Wetland,Non_Water,Wetland,Forest
309,Wetland,Wetland,Water,Wetland,NULL
310,Wetland,Wetland,Water,Wetland,Grassland
311,Wetland,Wetland,Water,Wetland,Wetland
312,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
313,Wetland,Wetland,Water,Wetland,Bareland
314,Wetland,Wetland,Water,Wetland,Built-up
315,Wetland,Wetland,Water,Wetland,Water
316,Wetland,Wetland,Water,Wetland,Forest
317,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
318,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
319,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
320,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
321,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
322,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
323,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
324,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
325,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
326,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
327,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
328,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Built-up
329,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
330,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
331,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
332,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
333,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
334,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
335,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
336,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Forest
337,Wetland,Bareland,NULL,Non_Wetland,NULL
338,Wetland,Bareland,NULL,Non_Wetland,Grassland
339,Wetland,Bareland,NULL,Non_Wetland,Wetland
340,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
341,Wetland,Bareland,NULL,Non_Wetland,Bareland
342,Wetland,Bareland,NULL,Non_Wetland,Built-up
343,Wetland,Bareland,NULL,Non_Wetland,Water
344,Wetland,Bareland,NULL,Non_Wetland,Forest
345,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
346,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
347,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
348,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
349,Wetland,Bareland,Non_Water,Non_Wetland,Water
350,Wetland,Bareland,Non_Water,Non_Wetland,Forest
351,Wetland,Bareland,Water,Non_Wetland,NULL
352,Wetland,Bareland,Water,Non_Wetland,Grassland
353,Wetland,Bareland,Water,Non_Wetland,Wetland
354,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
355,Wetland,Bareland,Water,Non_Wetland,Bareland
356,Wetland,Bareland,Water,Non_Wetland,Water
357,Wetland,Bareland,Water,Non_Wetland,Forest
358,Wetland,Built-up,NULL,Non_Wetland,Grassland
359,Wetland,Built-up,NULL,Non_Wetland,Wetland
360,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
361,Wetland,Built-up,NULL,Non_Wetland,Bareland
362,Wetland,Built-up,NULL,Non_Wetland,Built-up
363,Wetland,Built-up,NULL,Non_Wetland,Water
364,Wetland,Built-up,NULL,Non_Wetland,Forest
365,Wetland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
366,Wetland,Built-up,Non_Water,Non_Wetland,Bareland
367,Wetland,Built-up,Non_Water,Non_Wetland,Built-up
368,Wetland,Built-up,Non_Water,Non_Wetland,Water
369,Wetland,Built-up,Water,Non_Wetland,Grassland
370,Wetland,Built-up,Water,Non_Wetland,Wetland
371,Wetland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
372,Wetland,Built-up,Water,Non_Wetland,Bareland
373,Wetland,Built-up,Water,Non_Wetland,Water
374,Wetland,Built-up,Water,Non_Wetland,Forest
375,Wetland,Water,NULL,Water,NULL
376,Wetland,Water,NULL,Water,Grassland
377,Wetland,Water,NULL,Water,Wetland
378,Wetland,Water,NULL,Water,Lichens_and_Mosses
379,Wetland,Water,NULL,Water,Bareland
380,Wetland,Water,NULL,Water,Water
381,Wetland,Water,NULL,Water,Forest
382,Wetland,Water,Non_Water,Water,NULL
383,Wetland,Water,Non_Water,Water,Grassland
384,Wetland,Water,Non_Water,Water,Wetland
385,Wetland,Water,Non_Water,Water,Lichens_and_Mosses
386,Wetland,Water,Non_Water,Water,Bareland
387,Wetland,Water,Non_Water,Water,Water
388,Wetland,Water,Non_Water,Water,Forest
389,Wetland,Water,Water,Water,NULL
390,Wetland,Water,Water,Water,Grassland
391,Wetland,Water,Water,Water,Wetland
392,Wetland,Water,Water,Water,Lichens_and_Mosses
393,Wetland,Water,Water,Water,Bareland
394,Wetland,Water,Water,Water,Built-up
395,Wetland,Water,Water,Water,Water
396,Wetland,Water,Water,Water,Forest
397,Wetland,Forest,NULL,Non_Wetland,NULL
398,Wetland,Forest,NULL,Non_Wetland,Grassland
399,Wetland,Forest,NULL,Non_Wetland,Wetland
400,Wetland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
401,Wetland,Forest,NULL,Non_Wetland,Bareland
402,Wetland,Forest,NULL,Non_Wetland,Built-up
403,Wetland,Forest,NULL,Non_Wetland,Water
404,Wetland,Forest,NULL,Non_Wetland,Forest
405,Wetland,Forest,Non_Water,Non_Wetland,NULL
406,Wetland,Forest,Non_Water,Non_Wetland,Grassland
407,Wetland,Forest,Non_Water,Non_Wetland,Wetland
408,Wetland,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
409,Wetland,Forest,Non_Water,Non_Wetland,Bareland
410,Wetland,Forest,Non_Water,Non_Wetland,Built-up
411,Wetland,Forest,Non_Water,Non_Wetland,Water
412,Wetland,Forest,Non_Water,Non_Wetland,Forest
413,Wetland,Forest,Water,Non_Wetland,NULL
414,Wetland,Forest,Water,Non_Wetland,Grassland
415,Wetland,Forest,Water,Non_Wetland,Wetland
416,Wetland,Forest,Water,Non_Wetland,Lichens_and_Mosses
417,Wetland,Forest,Water,Non_Wetland,Bareland
418,Wetland,Forest,Water,Non_Wetland,Built-up
419,Wetland,Forest,Water,Non_Wetland,Water
420,Wetland,Forest,Water,Non_Wetland,Forest
421,Bareland,NULL,NULL,Non_Wetland,Grassland
422,Bareland,NULL,NULL,Non_Wetland,Lichens_and_Mosses
423,Bareland,NULL,NULL,Non_Wetland,Bareland
424,Bareland,NULL,NULL,Non_Wetland,Built-up
425,Bareland,NULL,NULL,Non_Wetland,Water
426,Bareland,NULL,NULL,Non_Wetland,Forest
427,Bareland,NULL,Non_Water,Non_Wetland,Water
428,Bareland,NULL,Water,Non_Wetland,Lichens_and_Mosses
429,Bareland,NULL,Water,Non_Wetland,Bareland
430,Bareland,NULL,Water,Non_Wetland,Built-up
431,Bareland,NULL,Water,Non_Wetland,Water
432,Bareland,Shrubland,NULL,Non_Wetland,Grassland
433,Bareland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
434,Bareland,Shrubland,NULL,Non_Wetland,Bareland
435,Bareland,Shrubland,NULL,Non_Wetland,Built-up
436,Bareland,Shrubland,NULL,Non_Wetland,Water
437,Bareland,Shrubland,NULL,Non_Wetland,Permanent_ice_and_snow
438,Bareland,Shrubland,NULL,Non_Wetland,Forest
439,Bareland,Shrubland,Non_Water,Non_Wetland,Bareland
440,Bareland,Shrubland,Non_Water,Non_Wetland,Water
441,Bareland,Shrubland,Non_Water,Non_Wetland,Forest
442,Bareland,Shrubland,Water,Non_Wetland,Grassland
443,Bareland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
444,Bareland,Shrubland,Water,Non_Wetland,Bareland
445,Bareland,Shrubland,Water,Non_Wetland,Water
446,Bareland,Grassland,NULL,Non_Wetland,Grassland
447,Bareland,Wetland,NULL,Wetland,Grassland
448,Bareland,Wetland,NULL,Wetland,Lichens_and_Mosses
449,Bareland,Wetland,NULL,Wetland,Bareland
450,Bareland,Wetland,NULL,Wetland,Water
451,Bareland,Wetland,NULL,Wetland,Permanent_ice_and_snow
452,Bareland,Wetland,Non_Water,Wetland,Grassland
453,Bareland,Wetland,Non_Water,Wetland,Bareland
454,Bareland,Wetland,Non_Water,Wetland,Water
455,Bareland,Wetland,Non_Water,Wetland,Permanent_ice_and_snow
456,Bareland,Wetland,Water,Wetland,Grassland
457,Bareland,Wetland,Water,Wetland,Wetland
458,Bareland,Wetland,Water,Wetland,Lichens_and_Mosses
459,Bareland,Wetland,Water,Wetland,Bareland
460,Bareland,Wetland,Water,Wetland,Water
461,Bareland,Wetland,Water,Wetland,Permanent_ice_and_snow
462,Bareland,Wetland,Water,Wetland,Forest
463,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
464,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
465,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
