Value,SIBERIA_2024_ESRI_Annual_LULC_2024_44WMU_M_R,SIBERIA_2024_GLC_FCS30D_2022_44WMU_M_R,SIBERIA_2024_GSW_Yearly_2021_44WMU_M_R,SIBERIA_2024_GWL_FCS30D_2022_44WMU_M_R,SIBERIA_2024_WorldCover_2021_44WMU_M_R
171,Cropland,Grassland,NULL,Non_Wetland,Grassland
172,Cropland,Grassland,NULL,Non_Wetland,Wetland
173,Cropland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
174,Cropland,Grassland,NULL,Non_Wetland,Forest
175,Cropland,Wetland,NULL,Wetland,Grassland
176,Cropland,Wetland,NULL,Wetland,Wetland
177,Cropland,Wetland,NULL,Wetland,Forest
178,Cropland,Wetland,Non_Water,Wetland,Grassland
179,Cropland,Wetland,Non_Water,Wetland,Wetland
180,Cropland,Wetland,Water,Wetland,Grassland
181,Cropland,Wetland,Water,Wetland,Wetland
182,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
183,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
184,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
185,Cropland,Bareland,NULL,Non_Wetland,Grassland
186,Cropland,Bareland,NULL,Non_Wetland,Wetland
187,Cropland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
188,Cropland,Bareland,NULL,Non_Wetland,Forest
189,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
190,Cropland,Built-up,NULL,Non_Wetland,Grassland
191,Cropland,Built-up,NULL,Non_Wetland,Wetland
192,Cropland,Water,Water,Water,Wetland
193,Cropland,Forest,NULL,Non_Wetland,Grassland
194,Cropland,Forest,NULL,Non_Wetland,Wetland
195,Cropland,Forest,NULL,Non_Wetland,Forest
196,Cropland,Forest,Non_Water,Non_Wetland,Grassland
197,Cropland,Forest,Water,Non_Wetland,Grassland
198,Cropland,Forest,Water,Non_Wetland,Wetland
199,Cropland,Forest,Water,Non_Wetland,Forest
200,Wetland,NULL,NULL,Non_Wetland,Grassland
201,Wetland,NULL,NULL,Non_Wetland,Wetland
202,Wetland,NULL,NULL,Non_Wetland,Lichens_and_Mosses
203,Wetland,NULL,NULL,Non_Wetland,Bareland
204,Wetland,NULL,NULL,Non_Wetland,Water
205,Wetland,NULL,NULL,Non_Wetland,Forest
206,Wetland,NULL,Non_Water,Non_Wetland,Grassland
207,Wetland,NULL,Non_Water,Non_Wetland,Wetland
208,Wetland,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
209,Wetland,NULL,Non_Water,Non_Wetland,Water
210,Wetland,NULL,Non_Water,Non_Wetland,Forest
211,Wetland,NULL,Water,Non_Wetland,Grassland
212,Wetland,NULL,Water,Non_Wetland,Wetland
213,Wetland,NULL,Water,Non_Wetland,Lichens_and_Mosses
214,Wetland,NULL,Water,Non_Wetland,Bareland
215,Wetland,NULL,Water,Non_Wetland,Water
216,Wetland,NULL,Water,Non_Wetland,Forest
217,Wetland,Shrubland,NULL,Non_Wetland,Grassland
218,Wetland,Shrubland,NULL,Non_Wetland,Wetland
219,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
220,Wetland,Shrubland,NULL,Non_Wetland,Bareland
221,Wetland,Shrubland,NULL,Non_Wetland,Water
222,Wetland,Shrubland,NULL,Non_Wetland,Forest
223,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
224,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
225,Wetland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
226,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland
227,Wetland,Shrubland,Non_Water,Non_Wetland,Water
228,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
229,Wetland,Shrubland,Water,Non_Wetland,Grassland
230,Wetland,Shrubland,Water,Non_Wetland,Wetland
231,Wetland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
232,Wetland,Shrubland,Water,Non_Wetland,Bareland
233,Wetland,Shrubland,Water,Non_Wetland,Water
234,Wetland,Shrubland,Water,Non_Wetland,Forest
235,Wetland,Grassland,NULL,Non_Wetland,Grassland
236,Wetland,Grassland,NULL,Non_Wetland,Wetland
237,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
238,Wetland,Grassland,NULL,Non_Wetland,Bareland
239,Wetland,Grassland,NULL,Non_Wetland,Built-up
240,Wetland,Grassland,NULL,Non_Wetland,Water
241,Wetland,Grassland,NULL,Non_Wetland,Forest
242,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
243,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
244,Wetland,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
245,Wetland,Grassland,Non_Water,Non_Wetland,Water
246,Wetland,Grassland,Non_Water,Non_Wetland,Forest
247,Wetland,Grassland,Water,Non_Wetland,Grassland
248,Wetland,Grassland,Water,Non_Wetland,Wetland
249,Wetland,Grassland,Water,Non_Wetland,Lichens_and_Mosses
250,Wetland,Grassland,Water,Non_Wetland,Bareland
251,Wetland,Grassland,Water,Non_Wetland,Water
252,Wetland,Grassland,Water,Non_Wetland,Forest
253,Wetland,Wetland,NULL,Wetland,Grassland
254,Wetland,Wetland,NULL,Wetland,Wetland
255,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
256,Wetland,Wetland,NULL,Wetland,Bareland
257,Wetland,Wetland,NULL,Wetland,Water
258,Wetland,Wetland,NULL,Wetland,Forest
259,Wetland,Wetland,Non_Water,Wetland,Grassland
260,Wetland,Wetland,Non_Water,Wetland,Wetland
261,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
262,Wetland,Wetland,Non_Water,Wetland,Bareland
263,Wetland,Wetland,Non_Water,Wetland,Water
264,Wetland,Wetland,Non_Water,Wetland,Forest
265,Wetland,Wetland,Water,Wetland,Grassland
266,Wetland,Wetland,Water,Wetland,Wetland
267,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
268,Wetland,Wetland,Water,Wetland,Bareland
269,Wetland,Wetland,Water,Wetland,Water
270,Wetland,Wetland,Water,Wetland,Forest
271,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
272,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
273,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
274,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
275,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
276,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
277,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
278,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
279,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
280,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
281,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
282,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
283,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
284,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
285,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
286,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
287,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Forest
288,Wetland,Bareland,NULL,Non_Wetland,Grassland
289,Wetland,Bareland,NULL,Non_Wetland,Wetland
290,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
291,Wetland,Bareland,NULL,Non_Wetland,Bareland
292,Wetland,Bareland,NULL,Non_Wetland,Built-up
293,Wetland,Bareland,NULL,Non_Wetland,Water
294,Wetland,Bareland,NULL,Non_Wetland,Permanent_ice_and_snow
295,Wetland,Bareland,NULL,Non_Wetland,Forest
296,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
297,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
298,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
299,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
300,Wetland,Bareland,Non_Water,Non_Wetland,Water
301,Wetland,Bareland,Non_Water,Non_Wetland,Forest
302,Wetland,Bareland,Water,Non_Wetland,Grassland
303,Wetland,Bareland,Water,Non_Wetland,Wetland
304,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
305,Wetland,Bareland,Water,Non_Wetland,Bareland
306,Wetland,Bareland,Water,Non_Wetland,Built-up
307,Wetland,Bareland,Water,Non_Wetland,Water
308,Wetland,Bareland,Water,Non_Wetland,Forest
309,Wetland,Built-up,NULL,Non_Wetland,Grassland
310,Wetland,Built-up,NULL,Non_Wetland,Wetland
311,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
312,Wetland,Built-up,NULL,Non_Wetland,Bareland
313,Wetland,Built-up,NULL,Non_Wetland,Built-up
314,Wetland,Built-up,NULL,Non_Wetland,Water
315,Wetland,Built-up,NULL,Non_Wetland,Permanent_ice_and_snow
316,Wetland,Built-up,NULL,Non_Wetland,Forest
317,Wetland,Built-up,Non_Water,Non_Wetland,Grassland
318,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
319,Wetland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
320,Wetland,Built-up,Non_Water,Non_Wetland,Bareland
321,Wetland,Built-up,Non_Water,Non_Wetland,Water
322,Wetland,Built-up,Non_Water,Non_Wetland,Forest
323,Wetland,Built-up,Water,Non_Wetland,Grassland
324,Wetland,Built-up,Water,Non_Wetland,Wetland
325,Wetland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
326,Wetland,Built-up,Water,Non_Wetland,Bareland
327,Wetland,Built-up,Water,Non_Wetland,Water
328,Wetland,Built-up,Water,Non_Wetland,Forest
329,Wetland,Water,NULL,Water,Grassland
330,Wetland,Water,NULL,Water,Wetland
331,Wetland,Water,NULL,Water,Lichens_and_Mosses
332,Wetland,Water,NULL,Water,Bareland
333,Wetland,Water,NULL,Water,Built-up
334,Wetland,Water,NULL,Water,Water
335,Wetland,Water,NULL,Water,Forest
336,Wetland,Water,Non_Water,Water,Grassland
337,Wetland,Water,Non_Water,Water,Wetland
338,Wetland,Water,Non_Water,Water,Lichens_and_Mosses
339,Wetland,Water,Non_Water,Water,Bareland
340,Wetland,Water,Non_Water,Water,Built-up
341,Wetland,Water,Non_Water,Water,Water
342,Wetland,Water,Non_Water,Water,Forest
343,Wetland,Water,Water,Water,Grassland
344,Wetland,Water,Water,Water,Wetland
345,Wetland,Water,Water,Water,Lichens_and_Mosses
346,Wetland,Water,Water,Water,Bareland
347,Wetland,Water,Water,Water,Built-up
348,Wetland,Water,Water,Water,Water
349,Wetland,Water,Water,Water,Forest
350,Wetland,Forest,NULL,Non_Wetland,Grassland
351,Wetland,Forest,NULL,Non_Wetland,Wetland
352,Wetland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
353,Wetland,Forest,NULL,Non_Wetland,Bareland
354,Wetland,Forest,NULL,Non_Wetland,Water
355,Wetland,Forest,NULL,Non_Wetland,Forest
356,Wetland,Forest,Non_Water,Non_Wetland,Grassland
357,Wetland,Forest,Non_Water,Non_Wetland,Wetland
358,Wetland,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
359,Wetland,Forest,Non_Water,Non_Wetland,Bareland
360,Wetland,Forest,Non_Water,Non_Wetland,Water
361,Wetland,Forest,Non_Water,Non_Wetland,Forest
362,Wetland,Forest,Water,Non_Wetland,Grassland
363,Wetland,Forest,Water,Non_Wetland,Wetland
364,Wetland,Forest,Water,Non_Wetland,Lichens_and_Mosses
365,Wetland,Forest,Water,Non_Wetland,Bareland
366,Wetland,Forest,Water,Non_Wetland,Water
367,Wetland,Forest,Water,Non_Wetland,Forest
368,Bareland,NULL,NULL,Non_Wetland,Grassland
369,Bareland,NULL,NULL,Non_Wetland,Wetland
370,Bareland,NULL,NULL,Non_Wetland,Lichens_and_Mosses
371,Bareland,NULL,NULL,Non_Wetland,Bareland
372,Bareland,NULL,NULL,Non_Wetland,Water
373,Bareland,NULL,NULL,Non_Wetland,Forest
374,Bareland,NULL,Non_Water,Non_Wetland,Water
375,Bareland,Shrubland,NULL,Non_Wetland,Grassland
376,Bareland,Shrubland,NULL,Non_Wetland,Wetland
377,Bareland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
378,Bareland,Shrubland,NULL,Non_Wetland,Bareland
379,Bareland,Shrubland,NULL,Non_Wetland,Water
380,Bareland,Shrubland,NULL,Non_Wetland,Forest
381,Bareland,Shrubland,Water,Non_Wetland,Wetland
382,Bareland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
383,Bareland,Shrubland,Water,Non_Wetland,Bareland
384,Bareland,Shrubland,Water,Non_Wetland,Water
385,Bareland,Grassland,NULL,Non_Wetland,Grassland
386,Bareland,Grassland,NULL,Non_Wetland,Wetland
387,Bareland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
388,Bareland,Grassland,NULL,Non_Wetland,Bareland
389,Bareland,Grassland,NULL,Non_Wetland,Forest
390,Bareland,Grassland,Water,Non_Wetland,Bareland
391,Bareland,Wetland,NULL,Wetland,Grassland
392,Bareland,Wetland,NULL,Wetland,Wetland
393,Bareland,Wetland,NULL,Wetland,Lichens_and_Mosses
394,Bareland,Wetland,NULL,Wetland,Bareland
395,Bareland,Wetland,NULL,Wetland,Water
396,Bareland,Wetland,NULL,Wetland,Forest
397,Bareland,Wetland,Non_Water,Wetland,Grassland
398,Bareland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
399,Bareland,Wetland,Non_Water,Wetland,Bareland
400,Bareland,Wetland,Non_Water,Wetland,Water
401,Bareland,Wetland,Non_Water,Wetland,Forest
402,Bareland,Wetland,Water,Wetland,Grassland
403,Bareland,Wetland,Water,Wetland,Wetland
404,Bareland,Wetland,Water,Wetland,Lichens_and_Mosses
405,Bareland,Wetland,Water,Wetland,Bareland
406,Bareland,Wetland,Water,Wetland,Water
407,Bareland,Wetland,Water,Wetland,Forest
408,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
409,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
410,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
411,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
412,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Water
413,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
414,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
415,Bareland,Bareland,NULL,Non_Wetland,Grassland
416,Bareland,Bareland,NULL,Non_Wetland,Wetland
417,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
418,Bareland,Bareland,NULL,Non_Wetland,Bareland
419,Bareland,Bareland,NULL,Non_Wetland,Built-up
420,Bareland,Bareland,NULL,Non_Wetland,Water
421,Bareland,Bareland,NULL,Non_Wetland,Forest
422,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
423,Bareland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
424,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
425,Bareland,Bareland,Non_Water,Non_Wetland,Water
426,Bareland,Bareland,Non_Water,Non_Wetland,Forest
427,Bareland,Bareland,Water,Non_Wetland,Grassland
428,Bareland,Bareland,Water,Non_Wetland,Wetland
429,Bareland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
430,Bareland,Bareland,Water,Non_Wetland,Bareland
431,Bareland,Bareland,Water,Non_Wetland,Water
432,Bareland,Bareland,Water,Non_Wetland,Forest
433,Bareland,Built-up,NULL,Non_Wetland,Grassland
434,Bareland,Built-up,NULL,Non_Wetland,Wetland
435,Bareland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
436,Bareland,Built-up,NULL,Non_Wetland,Bareland
437,Bareland,Built-up,NULL,Non_Wetland,Built-up
438,Bareland,Built-up,NULL,Non_Wetland,Water
439,Bareland,Built-up,NULL,Non_Wetland,Forest
440,Bareland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
441,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
442,Bareland,Built-up,Non_Water,Non_Wetland,Water
443,Bareland,Built-up,Water,Non_Wetland,Grassland
444,Bareland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
445,Bareland,Built-up,Water,Non_Wetland,Bareland
446,Bareland,Built-up,Water,Non_Wetland,Water
447,Bareland,Water,NULL,Water,Wetland
448,Bareland,Water,NULL,Water,Lichens_and_Mosses
449,Bareland,Water,NULL,Water,Bareland
450,Bareland,Water,NULL,Water,Water
451,Bareland,Water,NULL,Water,Forest
452,Bareland,Water,Non_Water,Water,Bareland
453,Bareland,Water,Non_Water,Water,Water
454,Bareland,Water,Water,Water,Grassland
455,Bareland,Water,Water,Water,Wetland
456,Bareland,Water,Water,Water,Bareland
457,Bareland,Water,Water,Water,Water
458,Bareland,Water,Water,Water,Forest
459,Bareland,Forest,NULL,Non_Wetland,Grassland
460,Bareland,Forest,NULL,Non_Wetland,Wetland
461,Bareland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
462,Bareland,Forest,NULL,Non_Wetland,Bareland
463,Bareland,Forest,NULL,Non_Wetland,Water
464,Bareland,Forest,NULL,Non_Wetland,Forest
465,Built-up,NULL,NULL,Non_Wetland,Grassland
466,Built-up,NULL,NULL,Non_Wetland,Wetland
467,Built-up,NULL,NULL,Non_Wetland,Lichens_and_Mosses
468,Built-up,Shrubland,NULL,Non_Wetland,Grassland
469,Built-up,Shrubland,NULL,Non_Wetland,Wetland
470,Built-up,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
471,Built-up,Shrubland,NULL,Non_Wetland,Bareland
