Value,SIBERIA_2024_ESA_CALU_2024_42WVE_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_42WVE_M_R,SIBERIA_2024_GLC_FCS30D_2022_42WVE_M_R,SIBERIA_2024_GSW_Yearly_2021_42WVE_M_R,SIBERIA_2024_GWL_FCS30D_2022_42WVE_M_R,SIBERIA_2024_WorldCover_2021_42WVE_M_R
186,Shrubland,NULL,Bareland,NULL,Non_Wetland,Grassland
187,Shrubland,NULL,Bareland,NULL,Non_Wetland,Wetland
188,Shrubland,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
189,Shrubland,NULL,Bareland,NULL,Non_Wetland,Bareland
190,Shrubland,NULL,Bareland,NULL,Non_Wetland,Water
191,Shrubland,NULL,Bareland,NULL,Non_Wetland,Forest
192,Shrubland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
193,Shrubland,NULL,Bareland,Non_Water,Non_Wetland,Wetland
194,Shrubland,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
195,Shrubland,NULL,Bareland,Non_Water,Non_Wetland,Bareland
196,Shrubland,NULL,Bareland,Non_Water,Non_Wetland,Water
197,Shrubland,NULL,Bareland,Water,Non_Wetland,Grassland
198,Shrubland,NULL,Bareland,Water,Non_Wetland,Wetland
199,Shrubland,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
200,Shrubland,NULL,Bareland,Water,Non_Wetland,Bareland
201,Shrubland,NULL,Bareland,Water,Non_Wetland,Water
202,Shrubland,NULL,Built-up,NULL,Non_Wetland,Grassland
203,Shrubland,NULL,Built-up,NULL,Non_Wetland,Wetland
204,Shrubland,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
205,Shrubland,NULL,Built-up,NULL,Non_Wetland,Bareland
206,Shrubland,NULL,Built-up,NULL,Non_Wetland,Water
207,Shrubland,NULL,Built-up,Non_Water,Non_Wetland,Grassland
208,Shrubland,NULL,Built-up,Non_Water,Non_Wetland,Wetland
209,Shrubland,NULL,Built-up,Non_Water,Non_Wetland,Water
210,Shrubland,NULL,Built-up,Water,Non_Wetland,Grassland
211,Shrubland,NULL,Built-up,Water,Non_Wetland,Wetland
212,Shrubland,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
213,Shrubland,NULL,Built-up,Water,Non_Wetland,Built-up
214,Shrubland,NULL,Built-up,Water,Non_Wetland,Water
215,Shrubland,NULL,Water,NULL,Water,Grassland
216,Shrubland,NULL,Water,NULL,Water,Wetland
217,Shrubland,NULL,Water,NULL,Water,Lichens_and_Mosses
218,Shrubland,NULL,Water,NULL,Water,Water
219,Shrubland,NULL,Water,Non_Water,Water,Grassland
220,Shrubland,NULL,Water,Non_Water,Water,Wetland
221,Shrubland,NULL,Water,Non_Water,Water,Water
222,Shrubland,NULL,Water,Water,Water,Grassland
223,Shrubland,NULL,Water,Water,Water,Wetland
224,Shrubland,NULL,Water,Water,Water,Lichens_and_Mosses
225,Shrubland,NULL,Water,Water,Water,Bareland
226,Shrubland,NULL,Water,Water,Water,Water
227,Shrubland,NULL,Forest,NULL,Non_Wetland,Wetland
228,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland
229,Wetland,NULL,Shrubland,NULL,Non_Wetland,Wetland
230,Wetland,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
231,Wetland,NULL,Shrubland,NULL,Non_Wetland,Bareland
232,Wetland,NULL,Shrubland,NULL,Non_Wetland,Water
233,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
234,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
235,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Water
236,Wetland,NULL,Shrubland,Water,Non_Wetland,Grassland
237,Wetland,NULL,Shrubland,Water,Non_Wetland,Wetland
238,Wetland,NULL,Shrubland,Water,Non_Wetland,Water
239,Wetland,NULL,Grassland,NULL,Non_Wetland,Grassland
240,Wetland,NULL,Grassland,NULL,Non_Wetland,Wetland
241,Wetland,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
242,Wetland,NULL,Grassland,NULL,Non_Wetland,Bareland
243,Wetland,NULL,Grassland,NULL,Non_Wetland,Water
244,Wetland,NULL,Grassland,NULL,Non_Wetland,Forest
245,Wetland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
246,Wetland,NULL,Grassland,Non_Water,Non_Wetland,Wetland
247,Wetland,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
248,Wetland,NULL,Grassland,Non_Water,Non_Wetland,Water
249,Wetland,NULL,Grassland,Water,Non_Wetland,Grassland
250,Wetland,NULL,Grassland,Water,Non_Wetland,Wetland
251,Wetland,NULL,Grassland,Water,Non_Wetland,Water
252,Wetland,NULL,Wetland,NULL,Wetland,Grassland
253,Wetland,NULL,Wetland,NULL,Wetland,Wetland
254,Wetland,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
255,Wetland,NULL,Wetland,NULL,Wetland,Bareland
256,Wetland,NULL,Wetland,NULL,Wetland,Built-up
257,Wetland,NULL,Wetland,NULL,Wetland,Water
258,Wetland,NULL,Wetland,Non_Water,Wetland,Grassland
259,Wetland,NULL,Wetland,Non_Water,Wetland,Wetland
260,Wetland,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
261,Wetland,NULL,Wetland,Non_Water,Wetland,Built-up
262,Wetland,NULL,Wetland,Non_Water,Wetland,Water
263,Wetland,NULL,Wetland,Water,Wetland,Grassland
264,Wetland,NULL,Wetland,Water,Wetland,Wetland
265,Wetland,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
266,Wetland,NULL,Wetland,Water,Wetland,Bareland
267,Wetland,NULL,Wetland,Water,Wetland,Water
268,Wetland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
269,Wetland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
270,Wetland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
271,Wetland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
272,Wetland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
273,Wetland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
274,Wetland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
275,Wetland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
276,Wetland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
277,Wetland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
278,Wetland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
279,Wetland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
280,Wetland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
281,Wetland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
282,Wetland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
283,Wetland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
284,Wetland,NULL,Bareland,NULL,Non_Wetland,Grassland
285,Wetland,NULL,Bareland,NULL,Non_Wetland,Wetland
286,Wetland,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
287,Wetland,NULL,Bareland,NULL,Non_Wetland,Bareland
288,Wetland,NULL,Bareland,NULL,Non_Wetland,Built-up
289,Wetland,NULL,Bareland,NULL,Non_Wetland,Water
290,Wetland,NULL,Bareland,NULL,Non_Wetland,Forest
291,Wetland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
292,Wetland,NULL,Bareland,Non_Water,Non_Wetland,Wetland
293,Wetland,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
294,Wetland,NULL,Bareland,Non_Water,Non_Wetland,Bareland
295,Wetland,NULL,Bareland,Non_Water,Non_Wetland,Water
296,Wetland,NULL,Bareland,Water,Non_Wetland,Grassland
297,Wetland,NULL,Bareland,Water,Non_Wetland,Wetland
298,Wetland,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
299,Wetland,NULL,Bareland,Water,Non_Wetland,Bareland
300,Wetland,NULL,Bareland,Water,Non_Wetland,Water
301,Wetland,NULL,Built-up,NULL,Non_Wetland,Grassland
302,Wetland,NULL,Built-up,NULL,Non_Wetland,Wetland
303,Wetland,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
304,Wetland,NULL,Built-up,NULL,Non_Wetland,Bareland
305,Wetland,NULL,Built-up,NULL,Non_Wetland,Built-up
306,Wetland,NULL,Built-up,NULL,Non_Wetland,Water
307,Wetland,NULL,Built-up,Non_Water,Non_Wetland,Grassland
308,Wetland,NULL,Built-up,Non_Water,Non_Wetland,Wetland
309,Wetland,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
310,Wetland,NULL,Built-up,Non_Water,Non_Wetland,Bareland
311,Wetland,NULL,Built-up,Non_Water,Non_Wetland,Built-up
312,Wetland,NULL,Built-up,Non_Water,Non_Wetland,Water
313,Wetland,NULL,Built-up,Water,Non_Wetland,Grassland
314,Wetland,NULL,Built-up,Water,Non_Wetland,Wetland
315,Wetland,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
316,Wetland,NULL,Built-up,Water,Non_Wetland,Bareland
317,Wetland,NULL,Built-up,Water,Non_Wetland,Built-up
318,Wetland,NULL,Built-up,Water,Non_Wetland,Water
319,Wetland,NULL,Water,NULL,Water,Grassland
320,Wetland,NULL,Water,NULL,Water,Wetland
321,Wetland,NULL,Water,NULL,Water,Lichens_and_Mosses
322,Wetland,NULL,Water,NULL,Water,Bareland
323,Wetland,NULL,Water,NULL,Water,Water
324,Wetland,NULL,Water,Non_Water,Water,Grassland
325,Wetland,NULL,Water,Non_Water,Water,Wetland
326,Wetland,NULL,Water,Non_Water,Water,Water
327,Wetland,NULL,Water,Water,Water,Grassland
328,Wetland,NULL,Water,Water,Water,Wetland
329,Wetland,NULL,Water,Water,Water,Lichens_and_Mosses
330,Wetland,NULL,Water,Water,Water,Bareland
331,Wetland,NULL,Water,Water,Water,Water
332,Wetland,NULL,Water,Water,Water,Forest
333,Wetland,NULL,Forest,NULL,Non_Wetland,Wetland
334,Wetland,NULL,Forest,Non_Water,Non_Wetland,Wetland
335,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland
336,Bareland,NULL,Shrubland,NULL,Non_Wetland,Wetland
337,Bareland,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
338,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland
339,Bareland,NULL,Shrubland,NULL,Non_Wetland,Water
340,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
341,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
342,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Water
343,Bareland,NULL,Shrubland,Water,Non_Wetland,Grassland
344,Bareland,NULL,Shrubland,Water,Non_Wetland,Wetland
345,Bareland,NULL,Shrubland,Water,Non_Wetland,Water
346,Bareland,NULL,Grassland,NULL,Non_Wetland,Grassland
347,Bareland,NULL,Grassland,NULL,Non_Wetland,Wetland
348,Bareland,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
349,Bareland,NULL,Grassland,NULL,Non_Wetland,Bareland
350,Bareland,NULL,Grassland,NULL,Non_Wetland,Water
351,Bareland,NULL,Grassland,NULL,Non_Wetland,Forest
352,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
353,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Wetland
354,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
355,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Water
356,Bareland,NULL,Grassland,Water,Non_Wetland,Grassland
357,Bareland,NULL,Grassland,Water,Non_Wetland,Wetland
358,Bareland,NULL,Grassland,Water,Non_Wetland,Water
359,Bareland,NULL,Wetland,NULL,Wetland,Grassland
360,Bareland,NULL,Wetland,NULL,Wetland,Wetland
361,Bareland,NULL,Wetland,NULL,Wetland,Lichens_and_Mosses
362,Bareland,NULL,Wetland,NULL,Wetland,Bareland
363,Bareland,NULL,Wetland,NULL,Wetland,Built-up
364,Bareland,NULL,Wetland,NULL,Wetland,Water
365,Bareland,NULL,Wetland,NULL,Wetland,Forest
366,Bareland,NULL,Wetland,Non_Water,Wetland,Grassland
367,Bareland,NULL,Wetland,Non_Water,Wetland,Wetland
368,Bareland,NULL,Wetland,Non_Water,Wetland,Lichens_and_Mosses
369,Bareland,NULL,Wetland,Non_Water,Wetland,Bareland
370,Bareland,NULL,Wetland,Non_Water,Wetland,Built-up
371,Bareland,NULL,Wetland,Non_Water,Wetland,Water
372,Bareland,NULL,Wetland,Non_Water,Wetland,Forest
373,Bareland,NULL,Wetland,Water,Wetland,Grassland
374,Bareland,NULL,Wetland,Water,Wetland,Wetland
375,Bareland,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
376,Bareland,NULL,Wetland,Water,Wetland,Bareland
377,Bareland,NULL,Wetland,Water,Wetland,Built-up
378,Bareland,NULL,Wetland,Water,Wetland,Water
379,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
380,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
381,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
382,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
383,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
384,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
385,Bareland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
386,Bareland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
387,Bareland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
388,Bareland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
389,Bareland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
390,Bareland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
391,Bareland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
392,Bareland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
393,Bareland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Bareland
394,Bareland,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
395,Bareland,NULL,Bareland,NULL,Non_Wetland,Grassland
396,Bareland,NULL,Bareland,NULL,Non_Wetland,Wetland
397,Bareland,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
398,Bareland,NULL,Bareland,NULL,Non_Wetland,Bareland
399,Bareland,NULL,Bareland,NULL,Non_Wetland,Built-up
400,Bareland,NULL,Bareland,NULL,Non_Wetland,Water
401,Bareland,NULL,Bareland,NULL,Non_Wetland,Forest
402,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
403,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Wetland
