Value,SIBERIA_2024_ESA_CALU_2024_42WXB_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_42WXB_M_R,SIBERIA_2024_GLC_FCS30D_2022_42WXB_M_R,SIBERIA_2024_GSW_Yearly_2021_42WXB_M_R,SIBERIA_2024_GWL_FCS30D_2022_42WXB_M_R,SIBERIA_2024_WorldCover_2021_42WXB_M_R
40,NULL,NULL,Wetland,Non_Water,Wetland,Bareland
41,NULL,NULL,Wetland,Non_Water,Wetland,Water
42,NULL,NULL,Wetland,Non_Water,Wetland,Forest
43,NULL,NULL,Wetland,Water,NULL,Water
44,NULL,NULL,Wetland,Water,Wetland,Grassland
45,NULL,NULL,Wetland,Water,Wetland,Wetland
46,NULL,NULL,Wetland,Water,Wetland,Lichens_and_Mosses
47,NULL,NULL,Wetland,Water,Wetland,Bareland
48,NULL,NULL,Wetland,Water,Wetland,Water
49,NULL,NULL,Wetland,Water,Wetland,Forest
50,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
51,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
52,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
53,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
54,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water
55,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
56,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
57,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
58,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
59,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
60,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
61,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Grassland
62,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Wetland
63,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
64,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,Water
65,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
66,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
67,NULL,NULL,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
68,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
69,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
70,NULL,NULL,Bareland,NULL,Non_Wetland,Water
71,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
72,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
73,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
74,NULL,NULL,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
75,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
76,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
77,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
78,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
79,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
80,NULL,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
81,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
82,NULL,NULL,Bareland,Water,Non_Wetland,Water
83,NULL,NULL,Bareland,Water,Non_Wetland,Forest
84,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
85,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
86,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
87,NULL,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
88,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
89,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
90,NULL,NULL,Built-up,NULL,Non_Wetland,Water
91,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
92,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
93,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland
94,NULL,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
95,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
96,NULL,NULL,Built-up,Non_Water,Non_Wetland,Water
97,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
98,NULL,NULL,Built-up,Water,Non_Wetland,Wetland
99,NULL,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
100,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
101,NULL,NULL,Built-up,Water,Non_Wetland,Built-up
102,NULL,NULL,Built-up,Water,Non_Wetland,Water
103,NULL,NULL,Water,NULL,NULL,NULL
104,NULL,NULL,Water,NULL,NULL,Grassland
105,NULL,NULL,Water,NULL,NULL,Water
106,NULL,NULL,Water,NULL,Water,Grassland
107,NULL,NULL,Water,NULL,Water,Wetland
108,NULL,NULL,Water,NULL,Water,Lichens_and_Mosses
109,NULL,NULL,Water,NULL,Water,Bareland
110,NULL,NULL,Water,NULL,Water,Water
111,NULL,NULL,Water,NULL,Water,Forest
112,NULL,NULL,Water,Non_Water,Water,Grassland
113,NULL,NULL,Water,Non_Water,Water,Wetland
114,NULL,NULL,Water,Non_Water,Water,Lichens_and_Mosses
115,NULL,NULL,Water,Non_Water,Water,Bareland
116,NULL,NULL,Water,Non_Water,Water,Water
117,NULL,NULL,Water,Water,NULL,Water
118,NULL,NULL,Water,Water,Water,Grassland
119,NULL,NULL,Water,Water,Water,Wetland
120,NULL,NULL,Water,Water,Water,Lichens_and_Mosses
121,NULL,NULL,Water,Water,Water,Water
122,NULL,NULL,Water,Water,Water,Forest
123,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
124,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
125,NULL,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
126,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
127,NULL,NULL,Forest,NULL,Non_Wetland,Water
128,NULL,NULL,Forest,NULL,Non_Wetland,Forest
129,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
130,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
131,NULL,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
132,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland
133,NULL,NULL,Forest,Non_Water,Non_Wetland,Water
134,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
135,NULL,NULL,Forest,Water,Non_Wetland,Grassland
136,NULL,NULL,Forest,Water,Non_Wetland,Wetland
137,NULL,NULL,Forest,Water,Non_Wetland,Lichens_and_Mosses
138,NULL,NULL,Forest,Water,Non_Wetland,Bareland
139,NULL,NULL,Forest,Water,Non_Wetland,Water
140,NULL,NULL,Forest,Water,Non_Wetland,Forest
141,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland
142,NULL,Wetland,NULL,NULL,Non_Wetland,Water
143,NULL,Wetland,NULL,NULL,Non_Wetland,Forest
144,NULL,Wetland,NULL,Non_Water,Non_Wetland,Wetland
145,NULL,Wetland,NULL,Water,Non_Wetland,Wetland
146,NULL,Wetland,NULL,Water,Non_Wetland,Bareland
147,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
148,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
149,NULL,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
150,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland
151,NULL,Wetland,Shrubland,NULL,Non_Wetland,Water
152,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
153,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
154,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
155,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland
156,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Water
157,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
158,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland
159,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland
160,NULL,Wetland,Shrubland,Water,Non_Wetland,Water
161,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
162,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland
163,NULL,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
164,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland
165,NULL,Wetland,Grassland,NULL,Non_Wetland,Water
166,NULL,Wetland,Grassland,NULL,Non_Wetland,Forest
167,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
168,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
169,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
170,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Bareland
171,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Water
172,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Forest
173,NULL,Wetland,Grassland,Water,Non_Wetland,Grassland
174,NULL,Wetland,Grassland,Water,Non_Wetland,Wetland
175,NULL,Wetland,Grassland,Water,Non_Wetland,Lichens_and_Mosses
176,NULL,Wetland,Grassland,Water,Non_Wetland,Bareland
177,NULL,Wetland,Grassland,Water,Non_Wetland,Water
178,NULL,Wetland,Grassland,Water,Non_Wetland,Forest
179,NULL,Wetland,Wetland,NULL,NULL,Wetland
180,NULL,Wetland,Wetland,NULL,NULL,Bareland
181,NULL,Wetland,Wetland,NULL,NULL,Water
182,NULL,Wetland,Wetland,NULL,NULL,Forest
183,NULL,Wetland,Wetland,NULL,Wetland,Grassland
184,NULL,Wetland,Wetland,NULL,Wetland,Wetland
185,NULL,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
186,NULL,Wetland,Wetland,NULL,Wetland,Bareland
187,NULL,Wetland,Wetland,NULL,Wetland,Built-up
188,NULL,Wetland,Wetland,NULL,Wetland,Water
189,NULL,Wetland,Wetland,NULL,Wetland,Forest
190,NULL,Wetland,Wetland,Non_Water,NULL,Wetland
191,NULL,Wetland,Wetland,Non_Water,NULL,Bareland
192,NULL,Wetland,Wetland,Non_Water,NULL,Water
193,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland
194,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland
195,NULL,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
196,NULL,Wetland,Wetland,Non_Water,Wetland,Bareland
197,NULL,Wetland,Wetland,Non_Water,Wetland,Water
198,NULL,Wetland,Wetland,Non_Water,Wetland,Forest
199,NULL,Wetland,Wetland,Water,NULL,Wetland
200,NULL,Wetland,Wetland,Water,NULL,Water
201,NULL,Wetland,Wetland,Water,Wetland,Grassland
202,NULL,Wetland,Wetland,Water,Wetland,Wetland
203,NULL,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
204,NULL,Wetland,Wetland,Water,Wetland,Bareland
205,NULL,Wetland,Wetland,Water,Wetland,Built-up
206,NULL,Wetland,Wetland,Water,Wetland,Water
207,NULL,Wetland,Wetland,Water,Wetland,Forest
208,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
209,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
210,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
211,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
212,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
213,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
214,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
215,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
216,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
217,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
218,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
219,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
220,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
221,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
222,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
223,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
224,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
225,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Forest
226,NULL,Wetland,Bareland,NULL,Non_Wetland,Grassland
227,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland
228,NULL,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
229,NULL,Wetland,Bareland,NULL,Non_Wetland,Bareland
230,NULL,Wetland,Bareland,NULL,Non_Wetland,Built-up
231,NULL,Wetland,Bareland,NULL,Non_Wetland,Water
232,NULL,Wetland,Bareland,NULL,Non_Wetland,Forest
233,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
234,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
235,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
236,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
237,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Built-up
238,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Water
239,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Forest
240,NULL,Wetland,Bareland,Water,Non_Wetland,Grassland
241,NULL,Wetland,Bareland,Water,Non_Wetland,Wetland
242,NULL,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
243,NULL,Wetland,Bareland,Water,Non_Wetland,Bareland
244,NULL,Wetland,Bareland,Water,Non_Wetland,Water
245,NULL,Wetland,Bareland,Water,Non_Wetland,Forest
246,NULL,Wetland,Built-up,NULL,Non_Wetland,Grassland
247,NULL,Wetland,Built-up,NULL,Non_Wetland,Wetland
248,NULL,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
249,NULL,Wetland,Built-up,NULL,Non_Wetland,Bareland
250,NULL,Wetland,Built-up,NULL,Non_Wetland,Built-up
251,NULL,Wetland,Built-up,NULL,Non_Wetland,Water
252,NULL,Wetland,Built-up,NULL,Non_Wetland,Forest
253,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Grassland
254,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
255,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
256,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Bareland
257,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Built-up
258,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Water
259,NULL,Wetland,Built-up,Water,Non_Wetland,Grassland
260,NULL,Wetland,Built-up,Water,Non_Wetland,Wetland
261,NULL,Wetland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
262,NULL,Wetland,Built-up,Water,Non_Wetland,Bareland
263,NULL,Wetland,Built-up,Water,Non_Wetland,Built-up
264,NULL,Wetland,Built-up,Water,Non_Wetland,Water
265,NULL,Wetland,Water,NULL,NULL,Wetland
266,NULL,Wetland,Water,NULL,NULL,Bareland
267,NULL,Wetland,Water,NULL,NULL,Water
268,NULL,Wetland,Water,NULL,Water,Grassland
269,NULL,Wetland,Water,NULL,Water,Wetland
270,NULL,Wetland,Water,NULL,Water,Lichens_and_Mosses
271,NULL,Wetland,Water,NULL,Water,Bareland
272,NULL,Wetland,Water,NULL,Water,Water
273,NULL,Wetland,Water,NULL,Water,Forest
274,NULL,Wetland,Water,Non_Water,NULL,Wetland
275,NULL,Wetland,Water,Non_Water,NULL,Water
276,NULL,Wetland,Water,Non_Water,Water,Grassland
277,NULL,Wetland,Water,Non_Water,Water,Wetland
278,NULL,Wetland,Water,Non_Water,Water,Lichens_and_Mosses
279,NULL,Wetland,Water,Non_Water,Water,Bareland
280,NULL,Wetland,Water,Non_Water,Water,Water
281,NULL,Wetland,Water,Non_Water,Water,Forest
282,NULL,Wetland,Water,Water,NULL,Wetland
283,NULL,Wetland,Water,Water,NULL,Bareland
284,NULL,Wetland,Water,Water,NULL,Water
285,NULL,Wetland,Water,Water,Water,Grassland
286,NULL,Wetland,Water,Water,Water,Wetland
287,NULL,Wetland,Water,Water,Water,Lichens_and_Mosses
288,NULL,Wetland,Water,Water,Water,Bareland
289,NULL,Wetland,Water,Water,Water,Built-up
290,NULL,Wetland,Water,Water,Water,Water
291,NULL,Wetland,Water,Water,Water,Forest
292,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
293,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
294,NULL,Wetland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
295,NULL,Wetland,Forest,NULL,Non_Wetland,Bareland
296,NULL,Wetland,Forest,NULL,Non_Wetland,Water
297,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
298,NULL,Wetland,Forest,Non_Water,Non_Wetland,Grassland
299,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland
300,NULL,Wetland,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
301,NULL,Wetland,Forest,Non_Water,Non_Wetland,Bareland
302,NULL,Wetland,Forest,Non_Water,Non_Wetland,Water
303,NULL,Wetland,Forest,Non_Water,Non_Wetland,Forest
304,NULL,Wetland,Forest,Water,Non_Wetland,Grassland
305,NULL,Wetland,Forest,Water,Non_Wetland,Wetland
306,NULL,Wetland,Forest,Water,Non_Wetland,Lichens_and_Mosses
307,NULL,Wetland,Forest,Water,Non_Wetland,Bareland
308,NULL,Wetland,Forest,Water,Non_Wetland,Water
309,NULL,Wetland,Forest,Water,Non_Wetland,Forest
310,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
311,NULL,Bareland,Grassland,NULL,Non_Wetland,Wetland
312,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
313,NULL,Bareland,Grassland,NULL,Non_Wetland,Water
314,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Water
315,NULL,Bareland,Wetland,NULL,NULL,Lichens_and_Mosses
316,NULL,Bareland,Wetland,NULL,NULL,Bareland
317,NULL,Bareland,Wetland,NULL,NULL,Water
318,NULL,Bareland,Wetland,NULL,Wetland,Grassland
319,NULL,Bareland,Wetland,NULL,Wetland,Wetland
320,NULL,Bareland,Wetland,NULL,Wetland,Lichens_and_Mosses
321,NULL,Bareland,Wetland,NULL,Wetland,Bareland
322,NULL,Bareland,Wetland,NULL,Wetland,Built-up
323,NULL,Bareland,Wetland,NULL,Wetland,Water
324,NULL,Bareland,Wetland,NULL,Wetland,Forest
325,NULL,Bareland,Wetland,Non_Water,NULL,Lichens_and_Mosses
326,NULL,Bareland,Wetland,Non_Water,NULL,Bareland
327,NULL,Bareland,Wetland,Non_Water,NULL,Water
328,NULL,Bareland,Wetland,Non_Water,Wetland,Grassland
329,NULL,Bareland,Wetland,Non_Water,Wetland,Wetland
330,NULL,Bareland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
331,NULL,Bareland,Wetland,Non_Water,Wetland,Bareland
332,NULL,Bareland,Wetland,Non_Water,Wetland,Water
333,NULL,Bareland,Wetland,Water,NULL,Bareland
334,NULL,Bareland,Wetland,Water,NULL,Water
335,NULL,Bareland,Wetland,Water,Wetland,Grassland
336,NULL,Bareland,Wetland,Water,Wetland,Wetland
337,NULL,Bareland,Wetland,Water,Wetland,Lichens_and_Mosses
338,NULL,Bareland,Wetland,Water,Wetland,Bareland
339,NULL,Bareland,Wetland,Water,Wetland,Built-up
340,NULL,Bareland,Wetland,Water,Wetland,Water
341,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
342,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
343,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
344,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
345,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Water
346,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
347,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
348,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
349,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
350,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
351,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
352,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
353,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
354,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
355,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Water
356,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
357,NULL,Bareland,Bareland,NULL,Non_Wetland,Wetland
358,NULL,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
359,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
360,NULL,Bareland,Bareland,NULL,Non_Wetland,Built-up
361,NULL,Bareland,Bareland,NULL,Non_Wetland,Water
362,NULL,Bareland,Bareland,NULL,Non_Wetland,Forest
363,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
364,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Wetland
365,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
366,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
367,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Water
368,NULL,Bareland,Bareland,Water,Non_Wetland,Grassland
369,NULL,Bareland,Bareland,Water,Non_Wetland,Wetland
370,NULL,Bareland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
371,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland
372,NULL,Bareland,Bareland,Water,Non_Wetland,Water
373,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland
374,NULL,Bareland,Built-up,NULL,Non_Wetland,Wetland
375,NULL,Bareland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
376,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
377,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up
378,NULL,Bareland,Built-up,NULL,Non_Wetland,Water
379,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Wetland
380,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
381,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
382,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Water
383,NULL,Bareland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
384,NULL,Bareland,Built-up,Water,Non_Wetland,Bareland
385,NULL,Bareland,Built-up,Water,Non_Wetland,Built-up
386,NULL,Bareland,Built-up,Water,Non_Wetland,Water
387,NULL,Bareland,Water,NULL,NULL,Bareland
388,NULL,Bareland,Water,NULL,Water,Grassland
389,NULL,Bareland,Water,NULL,Water,Wetland
390,NULL,Bareland,Water,NULL,Water,Lichens_and_Mosses
391,NULL,Bareland,Water,NULL,Water,Bareland
392,NULL,Bareland,Water,NULL,Water,Water
393,NULL,Bareland,Water,Non_Water,NULL,Wetland
394,NULL,Bareland,Water,Non_Water,Water,Grassland
395,NULL,Bareland,Water,Non_Water,Water,Wetland
396,NULL,Bareland,Water,Non_Water,Water,Bareland
397,NULL,Bareland,Water,Non_Water,Water,Water
398,NULL,Bareland,Water,Water,NULL,Bareland
399,NULL,Bareland,Water,Water,NULL,Water
400,NULL,Bareland,Water,Water,Water,Grassland
401,NULL,Bareland,Water,Water,Water,Wetland
402,NULL,Bareland,Water,Water,Water,Lichens_and_Mosses
403,NULL,Bareland,Water,Water,Water,Bareland
404,NULL,Bareland,Water,Water,Water,Water
405,NULL,Bareland,Forest,NULL,Non_Wetland,Grassland
406,NULL,Bareland,Forest,NULL,Non_Wetland,Wetland
407,NULL,Bareland,Forest,NULL,Non_Wetland,Bareland
408,NULL,Bareland,Forest,NULL,Non_Wetland,Water
409,NULL,Bareland,Forest,NULL,Non_Wetland,Forest
410,NULL,Bareland,Forest,Non_Water,Non_Wetland,Grassland
411,NULL,Bareland,Forest,Non_Water,Non_Wetland,Water
412,NULL,Bareland,Forest,Water,Non_Wetland,Grassland
413,NULL,Bareland,Forest,Water,Non_Wetland,Wetland
414,NULL,Bareland,Forest,Water,Non_Wetland,Bareland
415,NULL,Bareland,Forest,Water,Non_Wetland,Water
416,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
417,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland
