Value,SIBERIA_2024_ESRI_Annual_LULC_2024_44WNU_M_R,SIBERIA_2024_GLC_FCS30D_2022_44WNU_M_R,SIBERIA_2024_GSW_Yearly_2021_44WNU_M_R,SIBERIA_2024_GWL_FCS30D_2022_44WNU_M_R,SIBERIA_2024_WorldCover_2021_44WNU_M_R
171,Wetland,NULL,NULL,Non_Wetland,Lichens_and_Mosses
172,Wetland,NULL,NULL,Non_Wetland,Bareland
173,Wetland,NULL,NULL,Non_Wetland,Water
174,Wetland,NULL,NULL,Non_Wetland,Forest
175,Wetland,NULL,Non_Water,Non_Wetland,Grassland
176,Wetland,NULL,Non_Water,Non_Wetland,Wetland
177,Wetland,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
178,Wetland,NULL,Non_Water,Non_Wetland,Water
179,Wetland,NULL,Non_Water,Non_Wetland,Forest
180,Wetland,NULL,Water,Non_Wetland,Grassland
181,Wetland,NULL,Water,Non_Wetland,Wetland
182,Wetland,NULL,Water,Non_Wetland,Lichens_and_Mosses
183,Wetland,NULL,Water,Non_Wetland,Bareland
184,Wetland,NULL,Water,Non_Wetland,Water
185,Wetland,NULL,Water,Non_Wetland,Forest
186,Wetland,Shrubland,NULL,Non_Wetland,Grassland
187,Wetland,Shrubland,NULL,Non_Wetland,Wetland
188,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
189,Wetland,Shrubland,NULL,Non_Wetland,Bareland
190,Wetland,Shrubland,NULL,Non_Wetland,Water
191,Wetland,Shrubland,NULL,Non_Wetland,Forest
192,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
193,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
194,Wetland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
195,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland
196,Wetland,Shrubland,Non_Water,Non_Wetland,Water
197,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
198,Wetland,Shrubland,Water,Non_Wetland,Grassland
199,Wetland,Shrubland,Water,Non_Wetland,Wetland
200,Wetland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
201,Wetland,Shrubland,Water,Non_Wetland,Bareland
202,Wetland,Shrubland,Water,Non_Wetland,Water
203,Wetland,Shrubland,Water,Non_Wetland,Forest
204,Wetland,Grassland,NULL,Non_Wetland,Grassland
205,Wetland,Grassland,NULL,Non_Wetland,Wetland
206,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
207,Wetland,Grassland,NULL,Non_Wetland,Bareland
208,Wetland,Grassland,NULL,Non_Wetland,Water
209,Wetland,Grassland,NULL,Non_Wetland,Forest
210,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
211,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
212,Wetland,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
213,Wetland,Grassland,Non_Water,Non_Wetland,Water
214,Wetland,Grassland,Non_Water,Non_Wetland,Forest
215,Wetland,Grassland,Water,Non_Wetland,Grassland
216,Wetland,Grassland,Water,Non_Wetland,Wetland
217,Wetland,Grassland,Water,Non_Wetland,Lichens_and_Mosses
218,Wetland,Grassland,Water,Non_Wetland,Bareland
219,Wetland,Grassland,Water,Non_Wetland,Water
220,Wetland,Grassland,Water,Non_Wetland,Forest
221,Wetland,Wetland,NULL,Wetland,NULL
222,Wetland,Wetland,NULL,Wetland,Grassland
223,Wetland,Wetland,NULL,Wetland,Wetland
224,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
225,Wetland,Wetland,NULL,Wetland,Bareland
226,Wetland,Wetland,NULL,Wetland,Water
227,Wetland,Wetland,NULL,Wetland,Forest
228,Wetland,Wetland,Non_Water,Wetland,Grassland
229,Wetland,Wetland,Non_Water,Wetland,Wetland
230,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
231,Wetland,Wetland,Non_Water,Wetland,Bareland
232,Wetland,Wetland,Non_Water,Wetland,Water
233,Wetland,Wetland,Non_Water,Wetland,Forest
234,Wetland,Wetland,Water,Wetland,Grassland
235,Wetland,Wetland,Water,Wetland,Wetland
236,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
237,Wetland,Wetland,Water,Wetland,Bareland
238,Wetland,Wetland,Water,Wetland,Water
239,Wetland,Wetland,Water,Wetland,Forest
240,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
241,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
242,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
243,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
244,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
245,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
246,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
247,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
248,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
249,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
250,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
251,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
252,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
253,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Forest
254,Wetland,Bareland,NULL,Non_Wetland,Grassland
255,Wetland,Bareland,NULL,Non_Wetland,Wetland
256,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
257,Wetland,Bareland,NULL,Non_Wetland,Bareland
258,Wetland,Bareland,NULL,Non_Wetland,Water
259,Wetland,Bareland,NULL,Non_Wetland,Forest
260,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
261,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
262,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
263,Wetland,Bareland,Non_Water,Non_Wetland,Water
264,Wetland,Bareland,Non_Water,Non_Wetland,Forest
265,Wetland,Bareland,Water,Non_Wetland,Grassland
266,Wetland,Bareland,Water,Non_Wetland,Wetland
267,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
268,Wetland,Bareland,Water,Non_Wetland,Bareland
269,Wetland,Bareland,Water,Non_Wetland,Water
270,Wetland,Bareland,Water,Non_Wetland,Forest
271,Wetland,Built-up,NULL,Non_Wetland,Grassland
272,Wetland,Built-up,NULL,Non_Wetland,Wetland
273,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
274,Wetland,Built-up,NULL,Non_Wetland,Bareland
275,Wetland,Built-up,NULL,Non_Wetland,Water
276,Wetland,Built-up,NULL,Non_Wetland,Forest
277,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
278,Wetland,Built-up,Non_Water,Non_Wetland,Bareland
279,Wetland,Built-up,Non_Water,Non_Wetland,Water
280,Wetland,Built-up,Water,Non_Wetland,Wetland
281,Wetland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
282,Wetland,Built-up,Water,Non_Wetland,Bareland
283,Wetland,Built-up,Water,Non_Wetland,Water
284,Wetland,Built-up,Water,Non_Wetland,Forest
285,Wetland,Water,NULL,Water,Grassland
286,Wetland,Water,NULL,Water,Wetland
287,Wetland,Water,NULL,Water,Lichens_and_Mosses
288,Wetland,Water,NULL,Water,Bareland
289,Wetland,Water,NULL,Water,Water
290,Wetland,Water,NULL,Water,Forest
291,Wetland,Water,Non_Water,Water,Grassland
292,Wetland,Water,Non_Water,Water,Wetland
293,Wetland,Water,Non_Water,Water,Lichens_and_Mosses
294,Wetland,Water,Non_Water,Water,Water
295,Wetland,Water,Non_Water,Water,Forest
296,Wetland,Water,Water,Water,Grassland
297,Wetland,Water,Water,Water,Wetland
298,Wetland,Water,Water,Water,Lichens_and_Mosses
299,Wetland,Water,Water,Water,Bareland
300,Wetland,Water,Water,Water,Water
301,Wetland,Water,Water,Water,Forest
302,Wetland,Forest,NULL,Non_Wetland,Grassland
303,Wetland,Forest,NULL,Non_Wetland,Wetland
304,Wetland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
305,Wetland,Forest,NULL,Non_Wetland,Bareland
306,Wetland,Forest,NULL,Non_Wetland,Water
307,Wetland,Forest,NULL,Non_Wetland,Forest
308,Wetland,Forest,Non_Water,Non_Wetland,Grassland
309,Wetland,Forest,Non_Water,Non_Wetland,Wetland
310,Wetland,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
311,Wetland,Forest,Non_Water,Non_Wetland,Water
312,Wetland,Forest,Non_Water,Non_Wetland,Forest
313,Wetland,Forest,Water,Non_Wetland,Grassland
314,Wetland,Forest,Water,Non_Wetland,Wetland
315,Wetland,Forest,Water,Non_Wetland,Lichens_and_Mosses
316,Wetland,Forest,Water,Non_Wetland,Bareland
317,Wetland,Forest,Water,Non_Wetland,Water
318,Wetland,Forest,Water,Non_Wetland,Forest
319,Bareland,NULL,NULL,Non_Wetland,Grassland
320,Bareland,NULL,NULL,Non_Wetland,Water
321,Bareland,NULL,NULL,Non_Wetland,Forest
322,Bareland,NULL,Water,Non_Wetland,Wetland
323,Bareland,NULL,Water,Non_Wetland,Bareland
324,Bareland,NULL,Water,Non_Wetland,Water
325,Bareland,NULL,Water,Non_Wetland,Forest
326,Bareland,Shrubland,NULL,Non_Wetland,Grassland
327,Bareland,Shrubland,NULL,Non_Wetland,Wetland
328,Bareland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
329,Bareland,Shrubland,NULL,Non_Wetland,Bareland
330,Bareland,Shrubland,NULL,Non_Wetland,Water
331,Bareland,Shrubland,NULL,Non_Wetland,Forest
332,Bareland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
333,Bareland,Shrubland,Non_Water,Non_Wetland,Bareland
334,Bareland,Shrubland,Water,Non_Wetland,Grassland
335,Bareland,Shrubland,Water,Non_Wetland,Wetland
336,Bareland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
337,Bareland,Shrubland,Water,Non_Wetland,Bareland
338,Bareland,Shrubland,Water,Non_Wetland,Water
339,Bareland,Grassland,NULL,Non_Wetland,Grassland
340,Bareland,Grassland,NULL,Non_Wetland,Forest
341,Bareland,Grassland,Water,Non_Wetland,Forest
342,Bareland,Wetland,NULL,Wetland,Grassland
343,Bareland,Wetland,NULL,Wetland,Wetland
344,Bareland,Wetland,NULL,Wetland,Bareland
345,Bareland,Wetland,NULL,Wetland,Water
346,Bareland,Wetland,NULL,Wetland,Forest
347,Bareland,Wetland,Non_Water,Wetland,Grassland
348,Bareland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
349,Bareland,Wetland,Non_Water,Wetland,Bareland
350,Bareland,Wetland,Non_Water,Wetland,Water
351,Bareland,Wetland,Non_Water,Wetland,Forest
352,Bareland,Wetland,Water,Wetland,Grassland
353,Bareland,Wetland,Water,Wetland,Wetland
354,Bareland,Wetland,Water,Wetland,Lichens_and_Mosses
355,Bareland,Wetland,Water,Wetland,Bareland
356,Bareland,Wetland,Water,Wetland,Water
357,Bareland,Wetland,Water,Wetland,Forest
358,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
359,Bareland,Bareland,NULL,Non_Wetland,Grassland
360,Bareland,Bareland,NULL,Non_Wetland,Wetland
361,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
362,Bareland,Bareland,NULL,Non_Wetland,Bareland
363,Bareland,Bareland,NULL,Non_Wetland,Forest
364,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
365,Bareland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
366,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
367,Bareland,Bareland,Water,Non_Wetland,Wetland
368,Bareland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
369,Bareland,Bareland,Water,Non_Wetland,Bareland
370,Bareland,Bareland,Water,Non_Wetland,Water
371,Bareland,Bareland,Water,Non_Wetland,Forest
372,Bareland,Built-up,NULL,Non_Wetland,Bareland
373,Bareland,Built-up,Water,Non_Wetland,Bareland
374,Bareland,Water,NULL,Water,Grassland
375,Bareland,Water,NULL,Water,Water
376,Bareland,Water,NULL,Water,Forest
377,Bareland,Water,Non_Water,Water,Bareland
378,Bareland,Water,Water,Water,Wetland
379,Bareland,Water,Water,Water,Lichens_and_Mosses
380,Bareland,Water,Water,Water,Bareland
381,Bareland,Water,Water,Water,Water
382,Bareland,Water,Water,Water,Forest
383,Bareland,Forest,NULL,Non_Wetland,Grassland
384,Bareland,Forest,NULL,Non_Wetland,Wetland
385,Bareland,Forest,NULL,Non_Wetland,Bareland
386,Bareland,Forest,NULL,Non_Wetland,Water
387,Bareland,Forest,NULL,Non_Wetland,Forest
388,Bareland,Forest,Water,Non_Wetland,Wetland
389,Bareland,Forest,Water,Non_Wetland,Water
390,Bareland,Forest,Water,Non_Wetland,Forest
391,Built-up,NULL,NULL,Non_Wetland,Wetland
392,Built-up,NULL,NULL,Non_Wetland,Bareland
393,Built-up,NULL,NULL,Non_Wetland,Forest
394,Built-up,Shrubland,NULL,Non_Wetland,Grassland
395,Built-up,Shrubland,NULL,Non_Wetland,Wetland
396,Built-up,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
397,Built-up,Shrubland,NULL,Non_Wetland,Bareland
398,Built-up,Shrubland,NULL,Non_Wetland,Forest
399,Built-up,Shrubland,Water,Non_Wetland,Grassland
400,Built-up,Grassland,NULL,Non_Wetland,Grassland
401,Built-up,Grassland,NULL,Non_Wetland,Wetland
402,Built-up,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
403,Built-up,Grassland,NULL,Non_Wetland,Bareland
404,Built-up,Grassland,NULL,Non_Wetland,Built-up
405,Built-up,Grassland,NULL,Non_Wetland,Water
406,Built-up,Grassland,NULL,Non_Wetland,Forest
407,Built-up,Wetland,NULL,Wetland,Bareland
408,Built-up,Wetland,NULL,Wetland,Forest
409,Built-up,Wetland,Water,Wetland,Bareland
410,Built-up,Wetland,Water,Wetland,Water
411,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
412,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
413,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
414,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Forest
415,Built-up,Bareland,NULL,Non_Wetland,Grassland
416,Built-up,Bareland,NULL,Non_Wetland,Wetland
417,Built-up,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
418,Built-up,Bareland,NULL,Non_Wetland,Bareland
419,Built-up,Bareland,NULL,Non_Wetland,Built-up
420,Built-up,Bareland,NULL,Non_Wetland,Water
421,Built-up,Bareland,NULL,Non_Wetland,Forest
422,Built-up,Bareland,Non_Water,Non_Wetland,Grassland
423,Built-up,Bareland,Non_Water,Non_Wetland,Bareland
424,Built-up,Bareland,Water,Non_Wetland,Grassland
425,Built-up,Bareland,Water,Non_Wetland,Bareland
426,Built-up,Bareland,Water,Non_Wetland,Built-up
427,Built-up,Bareland,Water,Non_Wetland,Water
428,Built-up,Bareland,Water,Non_Wetland,Forest
429,Built-up,Built-up,NULL,Non_Wetland,Grassland
430,Built-up,Built-up,NULL,Non_Wetland,Wetland
431,Built-up,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
432,Built-up,Built-up,NULL,Non_Wetland,Bareland
433,Built-up,Built-up,NULL,Non_Wetland,Built-up
434,Built-up,Built-up,NULL,Non_Wetland,Forest
435,Built-up,Built-up,Water,Non_Wetland,Grassland
436,Built-up,Built-up,Water,Non_Wetland,Bareland
437,Built-up,Built-up,Water,Non_Wetland,Built-up
438,Built-up,Water,NULL,Water,Forest
439,Built-up,Water,Water,Water,Bareland
440,Built-up,Forest,NULL,Non_Wetland,Grassland
441,Built-up,Forest,NULL,Non_Wetland,Bareland
442,Built-up,Forest,NULL,Non_Wetland,Built-up
443,Built-up,Forest,NULL,Non_Wetland,Forest
444,Built-up,Forest,Water,Non_Wetland,Bareland
445,Water,NULL,NULL,Non_Wetland,Grassland
446,Water,NULL,NULL,Non_Wetland,Wetland
447,Water,NULL,NULL,Non_Wetland,Lichens_and_Mosses
448,Water,NULL,NULL,Non_Wetland,Water
449,Water,NULL,NULL,Non_Wetland,Forest
450,Water,NULL,Non_Water,Non_Wetland,Grassland
451,Water,NULL,Non_Water,Non_Wetland,Wetland
452,Water,NULL,Non_Water,Non_Wetland,Water
453,Water,NULL,Non_Water,Non_Wetland,Forest
454,Water,NULL,Water,Non_Wetland,Grassland
455,Water,NULL,Water,Non_Wetland,Wetland
456,Water,NULL,Water,Non_Wetland,Lichens_and_Mosses
457,Water,NULL,Water,Non_Wetland,Bareland
458,Water,NULL,Water,Non_Wetland,Water
459,Water,NULL,Water,Non_Wetland,Forest
460,Water,Shrubland,NULL,Non_Wetland,Grassland
461,Water,Shrubland,NULL,Non_Wetland,Wetland
462,Water,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
463,Water,Shrubland,NULL,Non_Wetland,Bareland
464,Water,Shrubland,NULL,Non_Wetland,Water
465,Water,Shrubland,NULL,Non_Wetland,Forest
466,Water,Shrubland,Non_Water,Non_Wetland,Grassland
467,Water,Shrubland,Non_Water,Non_Wetland,Wetland
468,Water,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
469,Water,Shrubland,Non_Water,Non_Wetland,Bareland
470,Water,Shrubland,Non_Water,Non_Wetland,Water
471,Water,Shrubland,Non_Water,Non_Wetland,Forest
472,Water,Shrubland,Water,Non_Wetland,Grassland
473,Water,Shrubland,Water,Non_Wetland,Wetland
474,Water,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
475,Water,Shrubland,Water,Non_Wetland,Bareland
476,Water,Shrubland,Water,Non_Wetland,Water
477,Water,Shrubland,Water,Non_Wetland,Forest
