Value,SIBERIA_2024_ESRI_Annual_LULC_2024_44VMM_M_R,SIBERIA_2024_GLC_FCS30D_2022_44VMM_M_R,SIBERIA_2024_GSW_Yearly_2021_44VMM_M_R,SIBERIA_2024_GWL_FCS30D_2022_44VMM_M_R,SIBERIA_2024_WorldCover_2021_44VMM_M_R
265,Wetland,Bareland,Water,Non_Wetland,Grassland
266,Wetland,Bareland,Water,Non_Wetland,Wetland
267,Wetland,Bareland,Water,Non_Wetland,Bareland
268,Wetland,Bareland,Water,Non_Wetland,Water
269,Wetland,Bareland,Water,Non_Wetland,Forest
270,Wetland,Built-up,NULL,Non_Wetland,Grassland
271,Wetland,Built-up,NULL,Non_Wetland,Wetland
272,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
273,Wetland,Built-up,NULL,Non_Wetland,Water
274,Wetland,Built-up,NULL,Non_Wetland,Forest
275,Wetland,Built-up,Non_Water,Non_Wetland,NULL
276,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
277,Wetland,Built-up,Non_Water,Non_Wetland,Forest
278,Wetland,Built-up,Water,Non_Wetland,Grassland
279,Wetland,Built-up,Water,Non_Wetland,Wetland
280,Wetland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
281,Wetland,Built-up,Water,Non_Wetland,Forest
282,Wetland,Water,NULL,Water,NULL
283,Wetland,Water,NULL,Water,Grassland
284,Wetland,Water,NULL,Water,Cropland
285,Wetland,Water,NULL,Water,Wetland
286,Wetland,Water,NULL,Water,Water
287,Wetland,Water,NULL,Water,Forest
288,Wetland,Water,Non_Water,Water,Grassland
289,Wetland,Water,Non_Water,Water,Wetland
290,Wetland,Water,Non_Water,Water,Lichens_and_Mosses
291,Wetland,Water,Non_Water,Water,Water
292,Wetland,Water,Non_Water,Water,Forest
293,Wetland,Water,Water,Water,NULL
294,Wetland,Water,Water,Water,Grassland
295,Wetland,Water,Water,Water,Cropland
296,Wetland,Water,Water,Water,Wetland
297,Wetland,Water,Water,Water,Lichens_and_Mosses
298,Wetland,Water,Water,Water,Bareland
299,Wetland,Water,Water,Water,Water
300,Wetland,Water,Water,Water,Forest
301,Wetland,Forest,NULL,Non_Wetland,NULL
302,Wetland,Forest,NULL,Non_Wetland,Grassland
303,Wetland,Forest,NULL,Non_Wetland,Wetland
304,Wetland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
305,Wetland,Forest,NULL,Non_Wetland,Water
306,Wetland,Forest,NULL,Non_Wetland,Forest
307,Wetland,Forest,Non_Water,Non_Wetland,NULL
308,Wetland,Forest,Non_Water,Non_Wetland,Grassland
309,Wetland,Forest,Non_Water,Non_Wetland,Wetland
310,Wetland,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
311,Wetland,Forest,Non_Water,Non_Wetland,Water
312,Wetland,Forest,Non_Water,Non_Wetland,Forest
313,Wetland,Forest,Water,Non_Wetland,NULL
314,Wetland,Forest,Water,Non_Wetland,Grassland
315,Wetland,Forest,Water,Non_Wetland,Cropland
316,Wetland,Forest,Water,Non_Wetland,Wetland
317,Wetland,Forest,Water,Non_Wetland,Lichens_and_Mosses
318,Wetland,Forest,Water,Non_Wetland,Water
319,Wetland,Forest,Water,Non_Wetland,Forest
320,Bareland,NULL,NULL,Non_Wetland,Grassland
321,Bareland,NULL,NULL,Non_Wetland,Water
322,Bareland,NULL,NULL,Non_Wetland,Forest
323,Bareland,NULL,Water,Non_Wetland,Water
324,Bareland,NULL,Water,Non_Wetland,Forest
325,Bareland,Shrubland,NULL,Non_Wetland,Forest
326,Bareland,Grassland,NULL,Non_Wetland,Grassland
327,Bareland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
328,Bareland,Grassland,NULL,Non_Wetland,Bareland
329,Bareland,Cropland,NULL,Non_Wetland,Grassland
330,Bareland,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
331,Bareland,Cropland,NULL,Non_Wetland,Bareland
332,Bareland,Cropland,NULL,Non_Wetland,Water
333,Bareland,Cropland,NULL,Non_Wetland,Forest
334,Bareland,Cropland,Water,Non_Wetland,Grassland
335,Bareland,Cropland,Water,Non_Wetland,Lichens_and_Mosses
336,Bareland,Cropland,Water,Non_Wetland,Water
337,Bareland,Wetland,NULL,Wetland,Grassland
338,Bareland,Wetland,NULL,Wetland,Wetland
339,Bareland,Wetland,NULL,Wetland,Lichens_and_Mosses
340,Bareland,Wetland,NULL,Wetland,Water
341,Bareland,Wetland,NULL,Wetland,Forest
342,Bareland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
343,Bareland,Wetland,Non_Water,Wetland,Forest
344,Bareland,Wetland,Water,Wetland,Wetland
345,Bareland,Wetland,Water,Wetland,Lichens_and_Mosses
346,Bareland,Wetland,Water,Wetland,Bareland
347,Bareland,Wetland,Water,Wetland,Water
348,Bareland,Wetland,Water,Wetland,Forest
349,Bareland,Bareland,NULL,Non_Wetland,Grassland
350,Bareland,Bareland,NULL,Non_Wetland,Bareland
351,Bareland,Bareland,NULL,Non_Wetland,Water
352,Bareland,Bareland,NULL,Non_Wetland,Forest
353,Bareland,Built-up,NULL,Non_Wetland,Grassland
354,Bareland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
355,Bareland,Built-up,NULL,Non_Wetland,Bareland
356,Bareland,Built-up,NULL,Non_Wetland,Built-up
357,Bareland,Built-up,NULL,Non_Wetland,Forest
358,Bareland,Built-up,Water,Non_Wetland,Water
359,Bareland,Water,NULL,Water,Water
360,Bareland,Water,NULL,Water,Forest
361,Bareland,Water,Water,Water,Grassland
362,Bareland,Water,Water,Water,Wetland
363,Bareland,Water,Water,Water,Bareland
364,Bareland,Water,Water,Water,Water
365,Bareland,Water,Water,Water,Forest
366,Bareland,Forest,NULL,Non_Wetland,Grassland
367,Bareland,Forest,NULL,Non_Wetland,Bareland
368,Bareland,Forest,NULL,Non_Wetland,Water
369,Bareland,Forest,NULL,Non_Wetland,Forest
370,Bareland,Forest,Water,Non_Wetland,Water
371,Bareland,Forest,Water,Non_Wetland,Forest
372,Built-up,NULL,NULL,Non_Wetland,Grassland
373,Built-up,NULL,NULL,Non_Wetland,Forest
374,Built-up,NULL,Non_Water,Non_Wetland,Forest
375,Built-up,Shrubland,NULL,Non_Wetland,Forest
376,Built-up,Grassland,NULL,Non_Wetland,Grassland
377,Built-up,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
378,Built-up,Grassland,NULL,Non_Wetland,Bareland
379,Built-up,Grassland,NULL,Non_Wetland,Built-up
380,Built-up,Grassland,NULL,Non_Wetland,Forest
381,Built-up,Cropland,NULL,Non_Wetland,Grassland
382,Built-up,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
383,Built-up,Cropland,NULL,Non_Wetland,Bareland
384,Built-up,Cropland,NULL,Non_Wetland,Built-up
385,Built-up,Cropland,NULL,Non_Wetland,Forest
386,Built-up,Cropland,Non_Water,Non_Wetland,Grassland
387,Built-up,Cropland,Non_Water,Non_Wetland,Forest
388,Built-up,Wetland,NULL,Wetland,Grassland
389,Built-up,Wetland,NULL,Wetland,Wetland
390,Built-up,Wetland,NULL,Wetland,Bareland
391,Built-up,Wetland,NULL,Wetland,Forest
392,Built-up,Bareland,NULL,Non_Wetland,Grassland
393,Built-up,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
394,Built-up,Bareland,NULL,Non_Wetland,Bareland
395,Built-up,Bareland,NULL,Non_Wetland,Built-up
396,Built-up,Bareland,NULL,Non_Wetland,Forest
397,Built-up,Built-up,NULL,Non_Wetland,Grassland
398,Built-up,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
399,Built-up,Built-up,NULL,Non_Wetland,Bareland
400,Built-up,Built-up,NULL,Non_Wetland,Built-up
401,Built-up,Built-up,NULL,Non_Wetland,Forest
402,Built-up,Forest,NULL,Non_Wetland,NULL
403,Built-up,Forest,NULL,Non_Wetland,Grassland
404,Built-up,Forest,NULL,Non_Wetland,Wetland
405,Built-up,Forest,NULL,Non_Wetland,Built-up
406,Built-up,Forest,NULL,Non_Wetland,Forest
407,Built-up,Forest,Non_Water,Non_Wetland,Forest
408,Water,NULL,NULL,Non_Wetland,Grassland
409,Water,NULL,NULL,Non_Wetland,Wetland
410,Water,NULL,NULL,Non_Wetland,Water
411,Water,NULL,NULL,Non_Wetland,Forest
412,Water,NULL,Non_Water,Non_Wetland,Grassland
413,Water,NULL,Non_Water,Non_Wetland,Wetland
414,Water,NULL,Non_Water,Non_Wetland,Water
415,Water,NULL,Non_Water,Non_Wetland,Forest
416,Water,NULL,Water,Non_Wetland,Grassland
417,Water,NULL,Water,Non_Wetland,Wetland
418,Water,NULL,Water,Non_Wetland,Lichens_and_Mosses
419,Water,NULL,Water,Non_Wetland,Bareland
420,Water,NULL,Water,Non_Wetland,Water
421,Water,NULL,Water,Non_Wetland,Forest
422,Water,Shrubland,NULL,Non_Wetland,Grassland
423,Water,Shrubland,NULL,Non_Wetland,Wetland
424,Water,Shrubland,NULL,Non_Wetland,Water
425,Water,Shrubland,NULL,Non_Wetland,Forest
426,Water,Shrubland,Non_Water,Non_Wetland,Water
427,Water,Shrubland,Non_Water,Non_Wetland,Forest
428,Water,Shrubland,Water,Non_Wetland,Grassland
429,Water,Shrubland,Water,Non_Wetland,Wetland
430,Water,Shrubland,Water,Non_Wetland,Forest
431,Water,Grassland,NULL,Non_Wetland,Grassland
432,Water,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
433,Water,Grassland,NULL,Non_Wetland,Bareland
434,Water,Grassland,NULL,Non_Wetland,Water
435,Water,Grassland,NULL,Non_Wetland,Forest
436,Water,Grassland,Non_Water,Non_Wetland,Grassland
437,Water,Grassland,Water,Non_Wetland,Grassland
438,Water,Grassland,Water,Non_Wetland,Water
439,Water,Grassland,Water,Non_Wetland,Forest
440,Water,Cropland,NULL,Non_Wetland,Grassland
441,Water,Cropland,NULL,Non_Wetland,Cropland
442,Water,Cropland,NULL,Non_Wetland,Wetland
443,Water,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
444,Water,Cropland,NULL,Non_Wetland,Bareland
445,Water,Cropland,NULL,Non_Wetland,Built-up
446,Water,Cropland,NULL,Non_Wetland,Water
447,Water,Cropland,NULL,Non_Wetland,Forest
448,Water,Cropland,Non_Water,Non_Wetland,Grassland
449,Water,Cropland,Non_Water,Non_Wetland,Wetland
450,Water,Cropland,Non_Water,Non_Wetland,Water
451,Water,Cropland,Non_Water,Non_Wetland,Forest
452,Water,Cropland,Water,Non_Wetland,Grassland
453,Water,Cropland,Water,Non_Wetland,Cropland
454,Water,Cropland,Water,Non_Wetland,Wetland
455,Water,Cropland,Water,Non_Wetland,Lichens_and_Mosses
456,Water,Cropland,Water,Non_Wetland,Bareland
457,Water,Cropland,Water,Non_Wetland,Water
458,Water,Cropland,Water,Non_Wetland,Forest
459,Water,Wetland,NULL,Wetland,NULL
460,Water,Wetland,NULL,Wetland,Grassland
461,Water,Wetland,NULL,Wetland,Wetland
462,Water,Wetland,NULL,Wetland,Lichens_and_Mosses
463,Water,Wetland,NULL,Wetland,Bareland
464,Water,Wetland,NULL,Wetland,Water
465,Water,Wetland,NULL,Wetland,Forest
466,Water,Wetland,Non_Water,Wetland,Grassland
467,Water,Wetland,Non_Water,Wetland,Wetland
468,Water,Wetland,Non_Water,Wetland,Water
469,Water,Wetland,Non_Water,Wetland,Forest
470,Water,Wetland,Water,Wetland,NULL
471,Water,Wetland,Water,Wetland,Grassland
472,Water,Wetland,Water,Wetland,Wetland
473,Water,Wetland,Water,Wetland,Lichens_and_Mosses
474,Water,Wetland,Water,Wetland,Bareland
475,Water,Wetland,Water,Wetland,Water
476,Water,Wetland,Water,Wetland,Forest
477,Water,Bareland,NULL,Non_Wetland,NULL
478,Water,Bareland,NULL,Non_Wetland,Grassland
479,Water,Bareland,NULL,Non_Wetland,Wetland
480,Water,Bareland,NULL,Non_Wetland,Bareland
481,Water,Bareland,NULL,Non_Wetland,Water
482,Water,Bareland,NULL,Non_Wetland,Forest
483,Water,Bareland,Non_Water,Non_Wetland,Grassland
484,Water,Bareland,Non_Water,Non_Wetland,Wetland
485,Water,Bareland,Non_Water,Non_Wetland,Water
486,Water,Bareland,Non_Water,Non_Wetland,Forest
487,Water,Bareland,Water,Non_Wetland,Grassland
488,Water,Bareland,Water,Non_Wetland,Wetland
489,Water,Bareland,Water,Non_Wetland,Lichens_and_Mosses
490,Water,Bareland,Water,Non_Wetland,Bareland
491,Water,Bareland,Water,Non_Wetland,Water
492,Water,Bareland,Water,Non_Wetland,Forest
493,Water,Built-up,NULL,Non_Wetland,Grassland
494,Water,Built-up,NULL,Non_Wetland,Bareland
495,Water,Built-up,NULL,Non_Wetland,Built-up
496,Water,Built-up,NULL,Non_Wetland,Water
