Value,SIBERIA_2024_ESRI_Annual_LULC_2024_44VPR_M_R,SIBERIA_2024_GLC_FCS30D_2022_44VPR_M_R,SIBERIA_2024_GSW_Yearly_2021_44VPR_M_R,SIBERIA_2024_GWL_FCS30D_2022_44VPR_M_R,SIBERIA_2024_WorldCover_2021_44VPR_M_R
265,Wetland,Forest,Water,Non_Wetland,Wetland
266,Wetland,Forest,Water,Non_Wetland,Bareland
267,Wetland,Forest,Water,Non_Wetland,Water
268,Wetland,Forest,Water,Non_Wetland,Forest
269,Bareland,NULL,NULL,Non_Wetland,Grassland
270,Bareland,NULL,NULL,Non_Wetland,Water
271,Bareland,NULL,NULL,Non_Wetland,Forest
272,Bareland,NULL,Non_Water,Non_Wetland,Water
273,Bareland,NULL,Water,Non_Wetland,Forest
274,Bareland,Shrubland,NULL,Non_Wetland,Wetland
275,Bareland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
276,Bareland,Shrubland,NULL,Non_Wetland,Water
277,Bareland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
278,Bareland,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
279,Bareland,Wetland,NULL,Wetland,Grassland
280,Bareland,Wetland,NULL,Wetland,Wetland
281,Bareland,Wetland,NULL,Wetland,Lichens_and_Mosses
282,Bareland,Wetland,NULL,Wetland,Bareland
283,Bareland,Wetland,NULL,Wetland,Water
284,Bareland,Wetland,NULL,Wetland,Forest
285,Bareland,Wetland,Non_Water,Wetland,Water
286,Bareland,Wetland,Non_Water,Wetland,Forest
287,Bareland,Wetland,Water,Wetland,Grassland
288,Bareland,Wetland,Water,Wetland,Wetland
289,Bareland,Wetland,Water,Wetland,Lichens_and_Mosses
290,Bareland,Wetland,Water,Wetland,Bareland
291,Bareland,Wetland,Water,Wetland,Water
292,Bareland,Wetland,Water,Wetland,Forest
293,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
294,Bareland,Bareland,NULL,Non_Wetland,Grassland
295,Bareland,Bareland,NULL,Non_Wetland,Wetland
296,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
297,Bareland,Bareland,NULL,Non_Wetland,Bareland
298,Bareland,Bareland,NULL,Non_Wetland,Water
299,Bareland,Bareland,NULL,Non_Wetland,Forest
300,Bareland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
301,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
302,Bareland,Bareland,Non_Water,Non_Wetland,Water
303,Bareland,Bareland,Non_Water,Non_Wetland,Forest
304,Bareland,Bareland,Water,Non_Wetland,Grassland
305,Bareland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
306,Bareland,Bareland,Water,Non_Wetland,Bareland
307,Bareland,Bareland,Water,Non_Wetland,Water
308,Bareland,Bareland,Water,Non_Wetland,Forest
309,Bareland,Built-up,Water,Non_Wetland,Bareland
310,Bareland,Built-up,Water,Non_Wetland,Water
311,Bareland,Water,NULL,Water,Water
312,Bareland,Water,NULL,Water,Forest
313,Bareland,Water,Water,Water,Grassland
314,Bareland,Water,Water,Water,Lichens_and_Mosses
315,Bareland,Water,Water,Water,Bareland
316,Bareland,Water,Water,Water,Water
317,Bareland,Water,Water,Water,Forest
318,Bareland,Forest,NULL,Non_Wetland,Wetland
319,Bareland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
320,Bareland,Forest,NULL,Non_Wetland,Water
321,Bareland,Forest,NULL,Non_Wetland,Forest
322,Bareland,Forest,Non_Water,Non_Wetland,Water
323,Bareland,Forest,Non_Water,Non_Wetland,Forest
324,Bareland,Forest,Water,Non_Wetland,Water
325,Bareland,Forest,Water,Non_Wetland,Forest
326,Built-up,NULL,NULL,Non_Wetland,Forest
327,Built-up,Shrubland,NULL,Non_Wetland,Forest
328,Built-up,Grassland,NULL,Non_Wetland,Forest
329,Built-up,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
330,Built-up,Cropland,NULL,Non_Wetland,Forest
331,Built-up,Wetland,NULL,Wetland,Forest
332,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
333,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
334,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Forest
335,Built-up,Bareland,NULL,Non_Wetland,Grassland
336,Built-up,Bareland,NULL,Non_Wetland,Wetland
337,Built-up,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
338,Built-up,Bareland,NULL,Non_Wetland,Bareland
339,Built-up,Bareland,NULL,Non_Wetland,Built-up
340,Built-up,Bareland,NULL,Non_Wetland,Forest
341,Built-up,Bareland,Non_Water,Non_Wetland,Grassland
342,Built-up,Bareland,Non_Water,Non_Wetland,Forest
343,Built-up,Built-up,NULL,Non_Wetland,Grassland
344,Built-up,Built-up,NULL,Non_Wetland,Wetland
345,Built-up,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
346,Built-up,Built-up,NULL,Non_Wetland,Bareland
347,Built-up,Built-up,NULL,Non_Wetland,Built-up
348,Built-up,Built-up,NULL,Non_Wetland,Forest
349,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
350,Built-up,Built-up,Non_Water,Non_Wetland,Forest
351,Built-up,Forest,NULL,Non_Wetland,Built-up
352,Built-up,Forest,NULL,Non_Wetland,Forest
353,Built-up,Forest,Non_Water,Non_Wetland,Forest
354,Water,NULL,NULL,Non_Wetland,Grassland
355,Water,NULL,NULL,Non_Wetland,Wetland
356,Water,NULL,NULL,Non_Wetland,Lichens_and_Mosses
357,Water,NULL,NULL,Non_Wetland,Water
358,Water,NULL,NULL,Non_Wetland,Forest
359,Water,NULL,Non_Water,Non_Wetland,Grassland
360,Water,NULL,Non_Water,Non_Wetland,Wetland
361,Water,NULL,Non_Water,Non_Wetland,Water
362,Water,NULL,Non_Water,Non_Wetland,Forest
363,Water,NULL,Water,Non_Wetland,Grassland
364,Water,NULL,Water,Non_Wetland,Wetland
365,Water,NULL,Water,Non_Wetland,Bareland
366,Water,NULL,Water,Non_Wetland,Water
367,Water,NULL,Water,Non_Wetland,Forest
368,Water,Shrubland,NULL,Non_Wetland,Grassland
369,Water,Shrubland,NULL,Non_Wetland,Wetland
370,Water,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
371,Water,Shrubland,NULL,Non_Wetland,Water
372,Water,Shrubland,NULL,Non_Wetland,Forest
373,Water,Shrubland,Non_Water,Non_Wetland,Grassland
374,Water,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
375,Water,Shrubland,Non_Water,Non_Wetland,Water
376,Water,Shrubland,Non_Water,Non_Wetland,Forest
377,Water,Shrubland,Water,Non_Wetland,Grassland
378,Water,Shrubland,Water,Non_Wetland,Wetland
379,Water,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
380,Water,Shrubland,Water,Non_Wetland,Bareland
381,Water,Shrubland,Water,Non_Wetland,Water
382,Water,Shrubland,Water,Non_Wetland,Forest
383,Water,Grassland,NULL,Non_Wetland,Grassland
384,Water,Grassland,NULL,Non_Wetland,Water
385,Water,Grassland,NULL,Non_Wetland,Forest
386,Water,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
387,Water,Grassland,Non_Water,Non_Wetland,Forest
388,Water,Grassland,Water,Non_Wetland,Grassland
389,Water,Grassland,Water,Non_Wetland,Wetland
390,Water,Grassland,Water,Non_Wetland,Lichens_and_Mosses
391,Water,Grassland,Water,Non_Wetland,Bareland
392,Water,Grassland,Water,Non_Wetland,Water
393,Water,Grassland,Water,Non_Wetland,Forest
394,Water,Cropland,NULL,Non_Wetland,Grassland
395,Water,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
396,Water,Cropland,NULL,Non_Wetland,Water
397,Water,Cropland,NULL,Non_Wetland,Forest
398,Water,Cropland,Non_Water,Non_Wetland,Forest
399,Water,Cropland,Water,Non_Wetland,Grassland
400,Water,Cropland,Water,Non_Wetland,Forest
401,Water,Wetland,NULL,Wetland,Grassland
402,Water,Wetland,NULL,Wetland,Wetland
403,Water,Wetland,NULL,Wetland,Lichens_and_Mosses
404,Water,Wetland,NULL,Wetland,Bareland
405,Water,Wetland,NULL,Wetland,Water
406,Water,Wetland,NULL,Wetland,Forest
407,Water,Wetland,Non_Water,Wetland,Grassland
408,Water,Wetland,Non_Water,Wetland,Wetland
409,Water,Wetland,Non_Water,Wetland,Lichens_and_Mosses
410,Water,Wetland,Non_Water,Wetland,Bareland
411,Water,Wetland,Non_Water,Wetland,Water
412,Water,Wetland,Non_Water,Wetland,Forest
413,Water,Wetland,Water,Wetland,Grassland
414,Water,Wetland,Water,Wetland,Wetland
415,Water,Wetland,Water,Wetland,Lichens_and_Mosses
416,Water,Wetland,Water,Wetland,Bareland
417,Water,Wetland,Water,Wetland,Water
418,Water,Wetland,Water,Wetland,Forest
419,Water,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
420,Water,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
421,Water,Lichens_and_Mosses,NULL,Non_Wetland,Forest
422,Water,Lichens_and_Mosses,Water,Non_Wetland,Grassland
423,Water,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
424,Water,Lichens_and_Mosses,Water,Non_Wetland,Bareland
425,Water,Lichens_and_Mosses,Water,Non_Wetland,Water
426,Water,Lichens_and_Mosses,Water,Non_Wetland,Forest
427,Water,Bareland,NULL,Non_Wetland,Grassland
428,Water,Bareland,NULL,Non_Wetland,Wetland
429,Water,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
430,Water,Bareland,NULL,Non_Wetland,Bareland
431,Water,Bareland,NULL,Non_Wetland,Water
432,Water,Bareland,NULL,Non_Wetland,Forest
433,Water,Bareland,Non_Water,Non_Wetland,Grassland
434,Water,Bareland,Non_Water,Non_Wetland,Wetland
435,Water,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
436,Water,Bareland,Non_Water,Non_Wetland,Bareland
437,Water,Bareland,Non_Water,Non_Wetland,Water
438,Water,Bareland,Non_Water,Non_Wetland,Forest
439,Water,Bareland,Water,Non_Wetland,Grassland
440,Water,Bareland,Water,Non_Wetland,Wetland
441,Water,Bareland,Water,Non_Wetland,Lichens_and_Mosses
442,Water,Bareland,Water,Non_Wetland,Bareland
443,Water,Bareland,Water,Non_Wetland,Water
444,Water,Bareland,Water,Non_Wetland,Forest
445,Water,Built-up,NULL,Non_Wetland,Grassland
446,Water,Built-up,NULL,Non_Wetland,Wetland
447,Water,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
448,Water,Built-up,NULL,Non_Wetland,Bareland
449,Water,Built-up,NULL,Non_Wetland,Water
450,Water,Built-up,NULL,Non_Wetland,Forest
451,Water,Built-up,Non_Water,Non_Wetland,Water
452,Water,Built-up,Non_Water,Non_Wetland,Forest
453,Water,Built-up,Water,Non_Wetland,Grassland
454,Water,Built-up,Water,Non_Wetland,Lichens_and_Mosses
455,Water,Built-up,Water,Non_Wetland,Bareland
456,Water,Built-up,Water,Non_Wetland,Water
457,Water,Built-up,Water,Non_Wetland,Forest
458,Water,Water,NULL,Water,Grassland
459,Water,Water,NULL,Water,Wetland
460,Water,Water,NULL,Water,Lichens_and_Mosses
461,Water,Water,NULL,Water,Bareland
462,Water,Water,NULL,Water,Water
463,Water,Water,NULL,Water,Forest
464,Water,Water,Non_Water,Water,Grassland
465,Water,Water,Non_Water,Water,Wetland
466,Water,Water,Non_Water,Water,Lichens_and_Mosses
467,Water,Water,Non_Water,Water,Water
468,Water,Water,Non_Water,Water,Forest
469,Water,Water,Water,Water,Grassland
470,Water,Water,Water,Water,Wetland
471,Water,Water,Water,Water,Lichens_and_Mosses
472,Water,Water,Water,Water,Bareland
473,Water,Water,Water,Water,Water
474,Water,Water,Water,Water,Forest
475,Water,Forest,NULL,Non_Wetland,Grassland
476,Water,Forest,NULL,Non_Wetland,Wetland
477,Water,Forest,NULL,Non_Wetland,Lichens_and_Mosses
478,Water,Forest,NULL,Non_Wetland,Bareland
479,Water,Forest,NULL,Non_Wetland,Water
480,Water,Forest,NULL,Non_Wetland,Forest
481,Water,Forest,Non_Water,Non_Wetland,Grassland
482,Water,Forest,Non_Water,Non_Wetland,Wetland
483,Water,Forest,Non_Water,Non_Wetland,Water
484,Water,Forest,Non_Water,Non_Wetland,Forest
485,Water,Forest,Water,Non_Wetland,Grassland
486,Water,Forest,Water,Non_Wetland,Wetland
487,Water,Forest,Water,Non_Wetland,Lichens_and_Mosses
488,Water,Forest,Water,Non_Wetland,Bareland
489,Water,Forest,Water,Non_Wetland,Water
490,Water,Forest,Water,Non_Wetland,Forest
491,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Grassland
492,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Wetland
