Value,SIBERIA_2024_ESA_CALU_2024_43WFN_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_43WFN_M_R,SIBERIA_2024_GLC_FCS30D_2022_43WFN_M_R,SIBERIA_2024_GSW_Yearly_2021_43WFN_M_R,SIBERIA_2024_GWL_FCS30D_2022_43WFN_M_R,SIBERIA_2024_WorldCover_2021_43WFN_M_R
115,NULL,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
116,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
117,NULL,NULL,Built-up,Non_Water,Non_Wetland,Built-up
118,NULL,NULL,Built-up,Non_Water,Non_Wetland,Forest
119,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
120,NULL,NULL,Built-up,Water,Non_Wetland,Wetland
121,NULL,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
122,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
123,NULL,NULL,Built-up,Water,Non_Wetland,Water
124,NULL,NULL,Built-up,Water,Non_Wetland,Forest
125,NULL,NULL,Water,NULL,Water,Grassland
126,NULL,NULL,Water,NULL,Water,Wetland
127,NULL,NULL,Water,NULL,Water,Lichens_and_Mosses
128,NULL,NULL,Water,NULL,Water,Bareland
129,NULL,NULL,Water,NULL,Water,Water
130,NULL,NULL,Water,NULL,Water,Forest
131,NULL,NULL,Water,Non_Water,Water,Grassland
132,NULL,NULL,Water,Non_Water,Water,Wetland
133,NULL,NULL,Water,Non_Water,Water,Lichens_and_Mosses
134,NULL,NULL,Water,Non_Water,Water,Bareland
135,NULL,NULL,Water,Non_Water,Water,Water
136,NULL,NULL,Water,Non_Water,Water,Forest
137,NULL,NULL,Water,Water,Water,Grassland
138,NULL,NULL,Water,Water,Water,Wetland
139,NULL,NULL,Water,Water,Water,Lichens_and_Mosses
140,NULL,NULL,Water,Water,Water,Bareland
141,NULL,NULL,Water,Water,Water,Water
142,NULL,NULL,Water,Water,Water,Forest
143,NULL,NULL,Forest,NULL,Non_Wetland,NULL
144,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
145,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
146,NULL,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
147,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
148,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
149,NULL,NULL,Forest,NULL,Non_Wetland,Water
150,NULL,NULL,Forest,NULL,Non_Wetland,Forest
151,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
152,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
153,NULL,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
154,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland
155,NULL,NULL,Forest,Non_Water,Non_Wetland,Water
156,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
157,NULL,NULL,Forest,Water,Non_Wetland,NULL
158,NULL,NULL,Forest,Water,Non_Wetland,Grassland
159,NULL,NULL,Forest,Water,Non_Wetland,Wetland
160,NULL,NULL,Forest,Water,Non_Wetland,Lichens_and_Mosses
161,NULL,NULL,Forest,Water,Non_Wetland,Bareland
162,NULL,NULL,Forest,Water,Non_Wetland,Water
163,NULL,NULL,Forest,Water,Non_Wetland,Forest
164,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
165,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland
166,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
167,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
168,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
169,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
170,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
171,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
172,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
173,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
174,NULL,Cropland,Grassland,NULL,Non_Wetland,Wetland
175,NULL,Cropland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
176,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
177,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Wetland
178,NULL,Cropland,Wetland,NULL,Wetland,Grassland
179,NULL,Cropland,Wetland,NULL,Wetland,Wetland
180,NULL,Cropland,Wetland,NULL,Wetland,Forest
181,NULL,Cropland,Wetland,Non_Water,Wetland,Grassland
182,NULL,Cropland,Wetland,Non_Water,Wetland,Wetland
183,NULL,Cropland,Wetland,Non_Water,Wetland,Forest
184,NULL,Cropland,Wetland,Water,Wetland,Grassland
185,NULL,Cropland,Wetland,Water,Wetland,Wetland
186,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
187,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
188,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
189,NULL,Cropland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
190,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
191,NULL,Cropland,Bareland,NULL,Non_Wetland,Wetland
192,NULL,Cropland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
193,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
194,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
195,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
196,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Wetland
197,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Forest
198,NULL,Cropland,Bareland,Water,Non_Wetland,Grassland
199,NULL,Cropland,Bareland,Water,Non_Wetland,Wetland
200,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
201,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
202,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
203,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
204,NULL,Cropland,Built-up,Non_Water,Non_Wetland,Wetland
205,NULL,Cropland,Water,NULL,Water,Wetland
206,NULL,Cropland,Water,Non_Water,Water,Wetland
207,NULL,Cropland,Water,Water,Water,Wetland
208,NULL,Cropland,Water,Water,Water,Forest
209,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
210,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
211,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
212,NULL,Cropland,Forest,Non_Water,Non_Wetland,Grassland
213,NULL,Cropland,Forest,Non_Water,Non_Wetland,Wetland
214,NULL,Cropland,Forest,Non_Water,Non_Wetland,Forest
215,NULL,Cropland,Forest,Water,Non_Wetland,Grassland
216,NULL,Cropland,Forest,Water,Non_Wetland,Wetland
217,NULL,Cropland,Forest,Water,Non_Wetland,Forest
218,NULL,Wetland,NULL,NULL,Non_Wetland,NULL
219,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland
220,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland
221,NULL,Wetland,NULL,NULL,Non_Wetland,Water
222,NULL,Wetland,NULL,NULL,Non_Wetland,Forest
223,NULL,Wetland,NULL,Non_Water,Non_Wetland,Grassland
224,NULL,Wetland,NULL,Non_Water,Non_Wetland,Wetland
225,NULL,Wetland,NULL,Non_Water,Non_Wetland,Water
226,NULL,Wetland,NULL,Non_Water,Non_Wetland,Forest
227,NULL,Wetland,NULL,Water,Non_Wetland,Grassland
228,NULL,Wetland,NULL,Water,Non_Wetland,Wetland
229,NULL,Wetland,NULL,Water,Non_Wetland,Water
230,NULL,Wetland,NULL,Water,Non_Wetland,Forest
231,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
232,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
233,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
234,NULL,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
235,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland
236,NULL,Wetland,Shrubland,NULL,Non_Wetland,Built-up
237,NULL,Wetland,Shrubland,NULL,Non_Wetland,Water
238,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
239,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
240,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
241,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
242,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland
243,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Water
244,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
245,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland
246,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland
247,NULL,Wetland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
248,NULL,Wetland,Shrubland,Water,Non_Wetland,Bareland
249,NULL,Wetland,Shrubland,Water,Non_Wetland,Water
250,NULL,Wetland,Shrubland,Water,Non_Wetland,Forest
251,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
252,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland
253,NULL,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
254,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland
255,NULL,Wetland,Grassland,NULL,Non_Wetland,Built-up
256,NULL,Wetland,Grassland,NULL,Non_Wetland,Water
257,NULL,Wetland,Grassland,NULL,Non_Wetland,Forest
258,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
259,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
260,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
261,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Bareland
262,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Water
263,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Forest
264,NULL,Wetland,Grassland,Water,Non_Wetland,Grassland
265,NULL,Wetland,Grassland,Water,Non_Wetland,Wetland
266,NULL,Wetland,Grassland,Water,Non_Wetland,Lichens_and_Mosses
267,NULL,Wetland,Grassland,Water,Non_Wetland,Bareland
268,NULL,Wetland,Grassland,Water,Non_Wetland,Water
269,NULL,Wetland,Grassland,Water,Non_Wetland,Forest
270,NULL,Wetland,Wetland,NULL,Wetland,NULL
271,NULL,Wetland,Wetland,NULL,Wetland,Grassland
272,NULL,Wetland,Wetland,NULL,Wetland,Wetland
273,NULL,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
274,NULL,Wetland,Wetland,NULL,Wetland,Bareland
275,NULL,Wetland,Wetland,NULL,Wetland,Built-up
276,NULL,Wetland,Wetland,NULL,Wetland,Water
277,NULL,Wetland,Wetland,NULL,Wetland,Forest
278,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland
279,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland
280,NULL,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
281,NULL,Wetland,Wetland,Non_Water,Wetland,Bareland
282,NULL,Wetland,Wetland,Non_Water,Wetland,Built-up
283,NULL,Wetland,Wetland,Non_Water,Wetland,Water
284,NULL,Wetland,Wetland,Non_Water,Wetland,Forest
285,NULL,Wetland,Wetland,Water,Wetland,Grassland
286,NULL,Wetland,Wetland,Water,Wetland,Wetland
287,NULL,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
288,NULL,Wetland,Wetland,Water,Wetland,Bareland
289,NULL,Wetland,Wetland,Water,Wetland,Built-up
290,NULL,Wetland,Wetland,Water,Wetland,Water
291,NULL,Wetland,Wetland,Water,Wetland,Forest
292,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
293,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
294,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
295,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
296,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
297,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
298,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
299,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
300,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
301,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
302,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
303,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
304,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
305,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
306,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
307,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
308,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
309,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Forest
310,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL
311,NULL,Wetland,Bareland,NULL,Non_Wetland,Grassland
312,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland
313,NULL,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
314,NULL,Wetland,Bareland,NULL,Non_Wetland,Bareland
315,NULL,Wetland,Bareland,NULL,Non_Wetland,Built-up
316,NULL,Wetland,Bareland,NULL,Non_Wetland,Water
317,NULL,Wetland,Bareland,NULL,Non_Wetland,Forest
318,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
319,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
320,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
321,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
322,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Built-up
323,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Water
324,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Forest
325,NULL,Wetland,Bareland,Water,Non_Wetland,Grassland
326,NULL,Wetland,Bareland,Water,Non_Wetland,Wetland
327,NULL,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
328,NULL,Wetland,Bareland,Water,Non_Wetland,Bareland
329,NULL,Wetland,Bareland,Water,Non_Wetland,Built-up
330,NULL,Wetland,Bareland,Water,Non_Wetland,Water
331,NULL,Wetland,Bareland,Water,Non_Wetland,Forest
332,NULL,Wetland,Built-up,NULL,Non_Wetland,Grassland
333,NULL,Wetland,Built-up,NULL,Non_Wetland,Wetland
334,NULL,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
335,NULL,Wetland,Built-up,NULL,Non_Wetland,Bareland
336,NULL,Wetland,Built-up,NULL,Non_Wetland,Built-up
337,NULL,Wetland,Built-up,NULL,Non_Wetland,Water
338,NULL,Wetland,Built-up,NULL,Non_Wetland,Forest
339,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Grassland
340,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
341,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
342,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Bareland
343,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Water
344,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Forest
345,NULL,Wetland,Built-up,Water,Non_Wetland,Grassland
346,NULL,Wetland,Built-up,Water,Non_Wetland,Wetland
347,NULL,Wetland,Built-up,Water,Non_Wetland,Bareland
348,NULL,Wetland,Built-up,Water,Non_Wetland,Water
349,NULL,Wetland,Water,NULL,Water,Grassland
350,NULL,Wetland,Water,NULL,Water,Wetland
351,NULL,Wetland,Water,NULL,Water,Lichens_and_Mosses
352,NULL,Wetland,Water,NULL,Water,Bareland
353,NULL,Wetland,Water,NULL,Water,Water
354,NULL,Wetland,Water,NULL,Water,Forest
355,NULL,Wetland,Water,Non_Water,Water,Grassland
356,NULL,Wetland,Water,Non_Water,Water,Wetland
357,NULL,Wetland,Water,Non_Water,Water,Lichens_and_Mosses
358,NULL,Wetland,Water,Non_Water,Water,Bareland
359,NULL,Wetland,Water,Non_Water,Water,Water
360,NULL,Wetland,Water,Non_Water,Water,Forest
361,NULL,Wetland,Water,Water,Water,Grassland
362,NULL,Wetland,Water,Water,Water,Wetland
363,NULL,Wetland,Water,Water,Water,Lichens_and_Mosses
364,NULL,Wetland,Water,Water,Water,Bareland
365,NULL,Wetland,Water,Water,Water,Water
366,NULL,Wetland,Water,Water,Water,Permanent_ice_and_snow
367,NULL,Wetland,Water,Water,Water,Forest
368,NULL,Wetland,Forest,NULL,Non_Wetland,NULL
369,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
370,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
371,NULL,Wetland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
372,NULL,Wetland,Forest,NULL,Non_Wetland,Bareland
373,NULL,Wetland,Forest,NULL,Non_Wetland,Built-up
374,NULL,Wetland,Forest,NULL,Non_Wetland,Water
375,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
376,NULL,Wetland,Forest,Non_Water,Non_Wetland,Grassland
377,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland
378,NULL,Wetland,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
379,NULL,Wetland,Forest,Non_Water,Non_Wetland,Bareland
380,NULL,Wetland,Forest,Non_Water,Non_Wetland,Built-up
381,NULL,Wetland,Forest,Non_Water,Non_Wetland,Water
382,NULL,Wetland,Forest,Non_Water,Non_Wetland,Forest
383,NULL,Wetland,Forest,Water,Non_Wetland,Grassland
384,NULL,Wetland,Forest,Water,Non_Wetland,Wetland
385,NULL,Wetland,Forest,Water,Non_Wetland,Lichens_and_Mosses
386,NULL,Wetland,Forest,Water,Non_Wetland,Bareland
387,NULL,Wetland,Forest,Water,Non_Wetland,Water
388,NULL,Wetland,Forest,Water,Non_Wetland,Forest
389,NULL,Bareland,NULL,NULL,Non_Wetland,Forest
390,NULL,Bareland,NULL,Water,Non_Wetland,Wetland
391,NULL,Bareland,NULL,Water,Non_Wetland,Water
392,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
393,NULL,Bareland,Shrubland,NULL,Non_Wetland,Wetland
394,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
395,NULL,Bareland,Shrubland,NULL,Non_Wetland,Forest
396,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Wetland
397,NULL,Bareland,Shrubland,Water,Non_Wetland,Grassland
398,NULL,Bareland,Shrubland,Water,Non_Wetland,Wetland
399,NULL,Bareland,Shrubland,Water,Non_Wetland,Bareland
400,NULL,Bareland,Shrubland,Water,Non_Wetland,Water
401,NULL,Bareland,Shrubland,Water,Non_Wetland,Forest
402,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
403,NULL,Bareland,Grassland,NULL,Non_Wetland,Wetland
404,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
405,NULL,Bareland,Grassland,NULL,Non_Wetland,Forest
406,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Forest
407,NULL,Bareland,Grassland,Water,Non_Wetland,Wetland
408,NULL,Bareland,Grassland,Water,Non_Wetland,Bareland
409,NULL,Bareland,Wetland,NULL,Wetland,Grassland
410,NULL,Bareland,Wetland,NULL,Wetland,Wetland
411,NULL,Bareland,Wetland,NULL,Wetland,Lichens_and_Mosses
412,NULL,Bareland,Wetland,NULL,Wetland,Bareland
413,NULL,Bareland,Wetland,NULL,Wetland,Water
414,NULL,Bareland,Wetland,NULL,Wetland,Forest
