Value,SIBERIA_2024_ESRI_Annual_LULC_2024_41VPL_M_R,SIBERIA_2024_GLC_FCS30D_2022_41VPL_M_R,SIBERIA_2024_GSW_Yearly_2021_41VPL_M_R,SIBERIA_2024_GWL_FCS30D_2022_41VPL_M_R,SIBERIA_2024_WorldCover_2021_41VPL_M_R
263,Wetland,Wetland,Non_Water,Wetland,Cropland
264,Wetland,Wetland,Non_Water,Wetland,Wetland
265,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
266,Wetland,Wetland,Non_Water,Wetland,Water
267,Wetland,Wetland,Non_Water,Wetland,Forest
268,Wetland,Wetland,Water,Wetland,NULL
269,Wetland,Wetland,Water,Wetland,Grassland
270,Wetland,Wetland,Water,Wetland,Cropland
271,Wetland,Wetland,Water,Wetland,Wetland
272,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
273,Wetland,Wetland,Water,Wetland,Bareland
274,Wetland,Wetland,Water,Wetland,Water
275,Wetland,Wetland,Water,Wetland,Forest
276,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
277,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
278,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
279,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
280,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
281,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
282,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
283,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
284,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
285,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
286,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
287,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
288,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
289,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
290,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
291,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Forest
292,Wetland,Bareland,NULL,Non_Wetland,NULL
293,Wetland,Bareland,NULL,Non_Wetland,Grassland
294,Wetland,Bareland,NULL,Non_Wetland,Cropland
295,Wetland,Bareland,NULL,Non_Wetland,Wetland
296,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
297,Wetland,Bareland,NULL,Non_Wetland,Bareland
298,Wetland,Bareland,NULL,Non_Wetland,Built-up
299,Wetland,Bareland,NULL,Non_Wetland,Water
300,Wetland,Bareland,NULL,Non_Wetland,Forest
301,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
302,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
303,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
304,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
305,Wetland,Bareland,Non_Water,Non_Wetland,Water
306,Wetland,Bareland,Non_Water,Non_Wetland,Forest
307,Wetland,Bareland,Water,Non_Wetland,Grassland
308,Wetland,Bareland,Water,Non_Wetland,Wetland
309,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
310,Wetland,Bareland,Water,Non_Wetland,Bareland
311,Wetland,Bareland,Water,Non_Wetland,Built-up
312,Wetland,Bareland,Water,Non_Wetland,Water
313,Wetland,Bareland,Water,Non_Wetland,Forest
314,Wetland,Built-up,NULL,Non_Wetland,NULL
315,Wetland,Built-up,NULL,Non_Wetland,Grassland
316,Wetland,Built-up,NULL,Non_Wetland,Wetland
317,Wetland,Built-up,NULL,Non_Wetland,Bareland
318,Wetland,Built-up,NULL,Non_Wetland,Built-up
319,Wetland,Built-up,NULL,Non_Wetland,Water
320,Wetland,Built-up,NULL,Non_Wetland,Forest
321,Wetland,Built-up,Non_Water,Non_Wetland,Grassland
322,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
323,Wetland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
324,Wetland,Built-up,Non_Water,Non_Wetland,Bareland
325,Wetland,Built-up,Non_Water,Non_Wetland,Built-up
326,Wetland,Built-up,Non_Water,Non_Wetland,Forest
327,Wetland,Built-up,Water,Non_Wetland,Grassland
328,Wetland,Built-up,Water,Non_Wetland,Wetland
329,Wetland,Built-up,Water,Non_Wetland,Bareland
330,Wetland,Built-up,Water,Non_Wetland,Water
331,Wetland,Water,NULL,Water,NULL
332,Wetland,Water,NULL,Water,Grassland
333,Wetland,Water,NULL,Water,Wetland
334,Wetland,Water,NULL,Water,Water
335,Wetland,Water,NULL,Water,Forest
336,Wetland,Water,Non_Water,Water,Grassland
337,Wetland,Water,Non_Water,Water,Wetland
338,Wetland,Water,Non_Water,Water,Bareland
339,Wetland,Water,Non_Water,Water,Water
340,Wetland,Water,Non_Water,Water,Forest
341,Wetland,Water,Water,Water,Grassland
342,Wetland,Water,Water,Water,Wetland
343,Wetland,Water,Water,Water,Bareland
344,Wetland,Water,Water,Water,Water
345,Wetland,Water,Water,Water,Forest
346,Wetland,Forest,NULL,Non_Wetland,NULL
347,Wetland,Forest,NULL,Non_Wetland,Grassland
348,Wetland,Forest,NULL,Non_Wetland,Cropland
349,Wetland,Forest,NULL,Non_Wetland,Wetland
350,Wetland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
351,Wetland,Forest,NULL,Non_Wetland,Bareland
352,Wetland,Forest,NULL,Non_Wetland,Built-up
353,Wetland,Forest,NULL,Non_Wetland,Water
354,Wetland,Forest,NULL,Non_Wetland,Forest
355,Wetland,Forest,Non_Water,Non_Wetland,Grassland
356,Wetland,Forest,Non_Water,Non_Wetland,Cropland
357,Wetland,Forest,Non_Water,Non_Wetland,Wetland
358,Wetland,Forest,Non_Water,Non_Wetland,Bareland
359,Wetland,Forest,Non_Water,Non_Wetland,Water
360,Wetland,Forest,Non_Water,Non_Wetland,Forest
361,Wetland,Forest,Water,Non_Wetland,Grassland
362,Wetland,Forest,Water,Non_Wetland,Wetland
363,Wetland,Forest,Water,Non_Wetland,Bareland
364,Wetland,Forest,Water,Non_Wetland,Water
365,Wetland,Forest,Water,Non_Wetland,Forest
366,Bareland,NULL,NULL,Non_Wetland,Water
367,Bareland,NULL,NULL,Non_Wetland,Forest
368,Bareland,NULL,Non_Water,Non_Wetland,Water
369,Bareland,NULL,Water,Non_Wetland,Water
370,Bareland,NULL,Water,Non_Wetland,Forest
371,Bareland,Shrubland,NULL,Non_Wetland,Grassland
372,Bareland,Shrubland,NULL,Non_Wetland,Forest
373,Bareland,Grassland,NULL,Non_Wetland,Forest
374,Bareland,Cropland,NULL,Non_Wetland,Grassland
375,Bareland,Cropland,NULL,Non_Wetland,Bareland
376,Bareland,Cropland,NULL,Non_Wetland,Forest
377,Bareland,Cropland,Water,Non_Wetland,Bareland
378,Bareland,Cropland,Water,Non_Wetland,Water
379,Bareland,Wetland,NULL,Wetland,Grassland
380,Bareland,Wetland,NULL,Wetland,Wetland
381,Bareland,Wetland,NULL,Wetland,Lichens_and_Mosses
382,Bareland,Wetland,NULL,Wetland,Bareland
383,Bareland,Wetland,NULL,Wetland,Water
384,Bareland,Wetland,NULL,Wetland,Forest
385,Bareland,Wetland,Non_Water,Wetland,Grassland
386,Bareland,Wetland,Non_Water,Wetland,Wetland
387,Bareland,Wetland,Non_Water,Wetland,Bareland
388,Bareland,Wetland,Non_Water,Wetland,Water
389,Bareland,Wetland,Water,Wetland,Grassland
390,Bareland,Wetland,Water,Wetland,Wetland
391,Bareland,Wetland,Water,Wetland,Lichens_and_Mosses
392,Bareland,Wetland,Water,Wetland,Bareland
393,Bareland,Wetland,Water,Wetland,Water
394,Bareland,Wetland,Water,Wetland,Forest
395,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
396,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
397,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Water
398,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
399,Bareland,Bareland,NULL,Non_Wetland,Grassland
400,Bareland,Bareland,NULL,Non_Wetland,Wetland
401,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
402,Bareland,Bareland,NULL,Non_Wetland,Bareland
403,Bareland,Bareland,NULL,Non_Wetland,Built-up
404,Bareland,Bareland,NULL,Non_Wetland,Water
405,Bareland,Bareland,NULL,Non_Wetland,Forest
406,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
407,Bareland,Bareland,Non_Water,Non_Wetland,Wetland
408,Bareland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
409,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
410,Bareland,Bareland,Non_Water,Non_Wetland,Water
411,Bareland,Bareland,Non_Water,Non_Wetland,Forest
412,Bareland,Bareland,Water,Non_Wetland,Grassland
413,Bareland,Bareland,Water,Non_Wetland,Wetland
414,Bareland,Bareland,Water,Non_Wetland,Bareland
415,Bareland,Bareland,Water,Non_Wetland,Water
416,Bareland,Bareland,Water,Non_Wetland,Forest
417,Bareland,Built-up,NULL,Non_Wetland,Grassland
418,Bareland,Built-up,NULL,Non_Wetland,Bareland
419,Bareland,Built-up,NULL,Non_Wetland,Built-up
420,Bareland,Built-up,NULL,Non_Wetland,Water
421,Bareland,Built-up,NULL,Non_Wetland,Forest
422,Bareland,Built-up,Non_Water,Non_Wetland,Built-up
423,Bareland,Built-up,Water,Non_Wetland,Bareland
424,Bareland,Built-up,Water,Non_Wetland,Built-up
425,Bareland,Built-up,Water,Non_Wetland,Water
426,Bareland,Water,NULL,Water,Grassland
427,Bareland,Water,NULL,Water,Wetland
428,Bareland,Water,NULL,Water,Water
429,Bareland,Water,NULL,Water,Forest
430,Bareland,Water,Non_Water,Water,Bareland
431,Bareland,Water,Non_Water,Water,Water
432,Bareland,Water,Non_Water,Water,Forest
433,Bareland,Water,Water,Water,Grassland
434,Bareland,Water,Water,Water,Wetland
435,Bareland,Water,Water,Water,Lichens_and_Mosses
436,Bareland,Water,Water,Water,Bareland
437,Bareland,Water,Water,Water,Water
438,Bareland,Water,Water,Water,Forest
439,Bareland,Forest,NULL,Non_Wetland,Grassland
440,Bareland,Forest,NULL,Non_Wetland,Wetland
441,Bareland,Forest,NULL,Non_Wetland,Bareland
442,Bareland,Forest,NULL,Non_Wetland,Built-up
443,Bareland,Forest,NULL,Non_Wetland,Water
444,Bareland,Forest,NULL,Non_Wetland,Forest
445,Bareland,Forest,Non_Water,Non_Wetland,Wetland
446,Bareland,Forest,Non_Water,Non_Wetland,Water
447,Bareland,Forest,Non_Water,Non_Wetland,Forest
448,Bareland,Forest,Water,Non_Wetland,Bareland
449,Bareland,Forest,Water,Non_Wetland,Water
450,Bareland,Forest,Water,Non_Wetland,Forest
451,Built-up,NULL,NULL,Non_Wetland,Grassland
452,Built-up,NULL,NULL,Non_Wetland,Wetland
453,Built-up,NULL,NULL,Non_Wetland,Lichens_and_Mosses
454,Built-up,NULL,NULL,Non_Wetland,Bareland
455,Built-up,NULL,NULL,Non_Wetland,Built-up
456,Built-up,NULL,NULL,Non_Wetland,Forest
457,Built-up,NULL,Water,Non_Wetland,Water
458,Built-up,Shrubland,NULL,Non_Wetland,Grassland
459,Built-up,Shrubland,NULL,Non_Wetland,Wetland
460,Built-up,Shrubland,NULL,Non_Wetland,Bareland
461,Built-up,Shrubland,NULL,Non_Wetland,Built-up
462,Built-up,Shrubland,NULL,Non_Wetland,Water
463,Built-up,Shrubland,NULL,Non_Wetland,Forest
464,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
465,Built-up,Shrubland,Non_Water,Non_Wetland,Forest
466,Built-up,Grassland,NULL,Non_Wetland,Grassland
467,Built-up,Grassland,NULL,Non_Wetland,Wetland
468,Built-up,Grassland,NULL,Non_Wetland,Built-up
469,Built-up,Grassland,NULL,Non_Wetland,Water
470,Built-up,Grassland,NULL,Non_Wetland,Forest
471,Built-up,Grassland,Non_Water,Non_Wetland,Grassland
472,Built-up,Cropland,NULL,Non_Wetland,Grassland
473,Built-up,Cropland,NULL,Non_Wetland,Wetland
474,Built-up,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
475,Built-up,Cropland,NULL,Non_Wetland,Bareland
476,Built-up,Cropland,NULL,Non_Wetland,Built-up
477,Built-up,Cropland,NULL,Non_Wetland,Forest
478,Built-up,Cropland,Non_Water,Non_Wetland,Grassland
479,Built-up,Cropland,Water,Non_Wetland,Grassland
480,Built-up,Cropland,Water,Non_Wetland,Forest
481,Built-up,Wetland,NULL,Wetland,Grassland
482,Built-up,Wetland,NULL,Wetland,Wetland
483,Built-up,Wetland,NULL,Wetland,Built-up
