Value,SIBERIA_2024_ESRI_Annual_LULC_2024_44VMP_M_R,SIBERIA_2024_GLC_FCS30D_2022_44VMP_M_R,SIBERIA_2024_GSW_Yearly_2021_44VMP_M_R,SIBERIA_2024_GWL_FCS30D_2022_44VMP_M_R,SIBERIA_2024_WorldCover_2021_44VMP_M_R
267,Wetland,Wetland,NULL,Wetland,Forest
268,Wetland,Wetland,Non_Water,Wetland,NULL
269,Wetland,Wetland,Non_Water,Wetland,Grassland
270,Wetland,Wetland,Non_Water,Wetland,Wetland
271,Wetland,Wetland,Non_Water,Wetland,Bareland
272,Wetland,Wetland,Non_Water,Wetland,Built-up
273,Wetland,Wetland,Non_Water,Wetland,Water
274,Wetland,Wetland,Non_Water,Wetland,Forest
275,Wetland,Wetland,Water,Wetland,NULL
276,Wetland,Wetland,Water,Wetland,Grassland
277,Wetland,Wetland,Water,Wetland,Cropland
278,Wetland,Wetland,Water,Wetland,Wetland
279,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
280,Wetland,Wetland,Water,Wetland,Bareland
281,Wetland,Wetland,Water,Wetland,Water
282,Wetland,Wetland,Water,Wetland,Forest
283,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
284,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
285,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
286,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
287,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
288,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
289,Wetland,Bareland,NULL,Non_Wetland,NULL
290,Wetland,Bareland,NULL,Non_Wetland,Grassland
291,Wetland,Bareland,NULL,Non_Wetland,Wetland
292,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
293,Wetland,Bareland,NULL,Non_Wetland,Bareland
294,Wetland,Bareland,NULL,Non_Wetland,Built-up
295,Wetland,Bareland,NULL,Non_Wetland,Water
296,Wetland,Bareland,NULL,Non_Wetland,Forest
297,Wetland,Bareland,Non_Water,Non_Wetland,NULL
298,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
299,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
300,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
301,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
302,Wetland,Bareland,Non_Water,Non_Wetland,Built-up
303,Wetland,Bareland,Non_Water,Non_Wetland,Water
304,Wetland,Bareland,Non_Water,Non_Wetland,Forest
305,Wetland,Bareland,Water,Non_Wetland,Grassland
306,Wetland,Bareland,Water,Non_Wetland,Wetland
307,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
308,Wetland,Bareland,Water,Non_Wetland,Bareland
309,Wetland,Bareland,Water,Non_Wetland,Built-up
310,Wetland,Bareland,Water,Non_Wetland,Water
311,Wetland,Bareland,Water,Non_Wetland,Forest
312,Wetland,Built-up,NULL,Non_Wetland,NULL
313,Wetland,Built-up,NULL,Non_Wetland,Grassland
314,Wetland,Built-up,NULL,Non_Wetland,Wetland
315,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
316,Wetland,Built-up,NULL,Non_Wetland,Bareland
317,Wetland,Built-up,NULL,Non_Wetland,Built-up
318,Wetland,Built-up,NULL,Non_Wetland,Water
319,Wetland,Built-up,NULL,Non_Wetland,Forest
320,Wetland,Built-up,Non_Water,Non_Wetland,Grassland
321,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
322,Wetland,Built-up,Non_Water,Non_Wetland,Forest
323,Wetland,Built-up,Water,Non_Wetland,Grassland
324,Wetland,Built-up,Water,Non_Wetland,Wetland
325,Wetland,Built-up,Water,Non_Wetland,Bareland
326,Wetland,Built-up,Water,Non_Wetland,Built-up
327,Wetland,Built-up,Water,Non_Wetland,Water
328,Wetland,Built-up,Water,Non_Wetland,Forest
329,Wetland,Water,NULL,Water,NULL
330,Wetland,Water,NULL,Water,Grassland
331,Wetland,Water,NULL,Water,Wetland
332,Wetland,Water,NULL,Water,Bareland
333,Wetland,Water,NULL,Water,Built-up
334,Wetland,Water,NULL,Water,Water
335,Wetland,Water,NULL,Water,Forest
336,Wetland,Water,Non_Water,Water,NULL
337,Wetland,Water,Non_Water,Water,Grassland
338,Wetland,Water,Non_Water,Water,Wetland
339,Wetland,Water,Non_Water,Water,Bareland
340,Wetland,Water,Non_Water,Water,Water
341,Wetland,Water,Non_Water,Water,Forest
342,Wetland,Water,Water,Water,NULL
343,Wetland,Water,Water,Water,Grassland
344,Wetland,Water,Water,Water,Wetland
345,Wetland,Water,Water,Water,Lichens_and_Mosses
346,Wetland,Water,Water,Water,Bareland
347,Wetland,Water,Water,Water,Built-up
348,Wetland,Water,Water,Water,Water
349,Wetland,Water,Water,Water,Forest
350,Wetland,Forest,NULL,Non_Wetland,NULL
351,Wetland,Forest,NULL,Non_Wetland,Grassland
352,Wetland,Forest,NULL,Non_Wetland,Wetland
353,Wetland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
354,Wetland,Forest,NULL,Non_Wetland,Bareland
355,Wetland,Forest,NULL,Non_Wetland,Built-up
356,Wetland,Forest,NULL,Non_Wetland,Water
357,Wetland,Forest,NULL,Non_Wetland,Forest
358,Wetland,Forest,Non_Water,Non_Wetland,NULL
359,Wetland,Forest,Non_Water,Non_Wetland,Grassland
360,Wetland,Forest,Non_Water,Non_Wetland,Wetland
361,Wetland,Forest,Non_Water,Non_Wetland,Bareland
362,Wetland,Forest,Non_Water,Non_Wetland,Water
363,Wetland,Forest,Non_Water,Non_Wetland,Forest
364,Wetland,Forest,Water,Non_Wetland,NULL
365,Wetland,Forest,Water,Non_Wetland,Grassland
366,Wetland,Forest,Water,Non_Wetland,Wetland
367,Wetland,Forest,Water,Non_Wetland,Lichens_and_Mosses
368,Wetland,Forest,Water,Non_Wetland,Bareland
369,Wetland,Forest,Water,Non_Wetland,Water
370,Wetland,Forest,Water,Non_Wetland,Forest
371,Bareland,NULL,NULL,Non_Wetland,Wetland
372,Bareland,NULL,NULL,Non_Wetland,Water
373,Bareland,NULL,NULL,Non_Wetland,Forest
374,Bareland,NULL,Non_Water,Non_Wetland,Water
375,Bareland,NULL,Non_Water,Non_Wetland,Forest
376,Bareland,NULL,Water,Non_Wetland,Forest
377,Bareland,Shrubland,NULL,Non_Wetland,Grassland
378,Bareland,Shrubland,NULL,Non_Wetland,Bareland
379,Bareland,Shrubland,Non_Water,Non_Wetland,Bareland
380,Bareland,Shrubland,Water,Non_Wetland,Forest
381,Bareland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
382,Bareland,Grassland,NULL,Non_Wetland,Bareland
383,Bareland,Grassland,NULL,Non_Wetland,Forest
384,Bareland,Wetland,NULL,Wetland,NULL
385,Bareland,Wetland,NULL,Wetland,Wetland
386,Bareland,Wetland,NULL,Wetland,Bareland
387,Bareland,Wetland,NULL,Wetland,Water
388,Bareland,Wetland,NULL,Wetland,Forest
389,Bareland,Wetland,Non_Water,Wetland,Bareland
390,Bareland,Wetland,Non_Water,Wetland,Water
391,Bareland,Wetland,Non_Water,Wetland,Forest
392,Bareland,Wetland,Water,Wetland,Grassland
393,Bareland,Wetland,Water,Wetland,Wetland
394,Bareland,Wetland,Water,Wetland,Lichens_and_Mosses
395,Bareland,Wetland,Water,Wetland,Bareland
396,Bareland,Wetland,Water,Wetland,Water
397,Bareland,Wetland,Water,Wetland,Forest
398,Bareland,Bareland,NULL,Non_Wetland,Grassland
399,Bareland,Bareland,NULL,Non_Wetland,Wetland
400,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
401,Bareland,Bareland,NULL,Non_Wetland,Bareland
402,Bareland,Bareland,NULL,Non_Wetland,Built-up
403,Bareland,Bareland,NULL,Non_Wetland,Water
404,Bareland,Bareland,NULL,Non_Wetland,Forest
405,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
406,Bareland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
407,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
408,Bareland,Bareland,Non_Water,Non_Wetland,Water
409,Bareland,Bareland,Water,Non_Wetland,Grassland
410,Bareland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
411,Bareland,Bareland,Water,Non_Wetland,Bareland
412,Bareland,Bareland,Water,Non_Wetland,Water
413,Bareland,Bareland,Water,Non_Wetland,Forest
414,Bareland,Built-up,NULL,Non_Wetland,Grassland
415,Bareland,Built-up,NULL,Non_Wetland,Bareland
416,Bareland,Built-up,NULL,Non_Wetland,Built-up
417,Bareland,Built-up,NULL,Non_Wetland,Forest
418,Bareland,Built-up,Non_Water,Non_Wetland,Water
419,Bareland,Water,NULL,Water,Grassland
420,Bareland,Water,NULL,Water,Wetland
421,Bareland,Water,NULL,Water,Bareland
422,Bareland,Water,NULL,Water,Water
423,Bareland,Water,NULL,Water,Forest
424,Bareland,Water,Non_Water,Water,Bareland
425,Bareland,Water,Water,Water,Grassland
426,Bareland,Water,Water,Water,Wetland
427,Bareland,Water,Water,Water,Lichens_and_Mosses
428,Bareland,Water,Water,Water,Bareland
429,Bareland,Water,Water,Water,Water
430,Bareland,Water,Water,Water,Forest
431,Bareland,Forest,NULL,Non_Wetland,Grassland
432,Bareland,Forest,NULL,Non_Wetland,Wetland
433,Bareland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
434,Bareland,Forest,NULL,Non_Wetland,Bareland
435,Bareland,Forest,NULL,Non_Wetland,Built-up
436,Bareland,Forest,NULL,Non_Wetland,Water
437,Bareland,Forest,NULL,Non_Wetland,Forest
438,Bareland,Forest,Non_Water,Non_Wetland,Wetland
439,Bareland,Forest,Non_Water,Non_Wetland,Forest
440,Bareland,Forest,Water,Non_Wetland,Grassland
441,Bareland,Forest,Water,Non_Wetland,Bareland
442,Bareland,Forest,Water,Non_Wetland,Water
443,Bareland,Forest,Water,Non_Wetland,Forest
444,Built-up,NULL,NULL,Non_Wetland,Built-up
445,Built-up,NULL,NULL,Non_Wetland,Forest
446,Built-up,Shrubland,NULL,Non_Wetland,Grassland
447,Built-up,Shrubland,NULL,Non_Wetland,Wetland
448,Built-up,Shrubland,NULL,Non_Wetland,Bareland
449,Built-up,Shrubland,NULL,Non_Wetland,Built-up
450,Built-up,Shrubland,NULL,Non_Wetland,Forest
451,Built-up,Grassland,NULL,Non_Wetland,Grassland
452,Built-up,Grassland,NULL,Non_Wetland,Wetland
453,Built-up,Grassland,NULL,Non_Wetland,Bareland
454,Built-up,Grassland,NULL,Non_Wetland,Built-up
455,Built-up,Grassland,NULL,Non_Wetland,Forest
456,Built-up,Wetland,NULL,Wetland,NULL
457,Built-up,Wetland,NULL,Wetland,Grassland
458,Built-up,Wetland,NULL,Wetland,Wetland
459,Built-up,Wetland,NULL,Wetland,Built-up
460,Built-up,Wetland,NULL,Wetland,Forest
461,Built-up,Bareland,NULL,Non_Wetland,NULL
462,Built-up,Bareland,NULL,Non_Wetland,Grassland
463,Built-up,Bareland,NULL,Non_Wetland,Wetland
464,Built-up,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
465,Built-up,Bareland,NULL,Non_Wetland,Bareland
466,Built-up,Bareland,NULL,Non_Wetland,Built-up
467,Built-up,Bareland,NULL,Non_Wetland,Water
468,Built-up,Bareland,NULL,Non_Wetland,Forest
469,Built-up,Bareland,Non_Water,Non_Wetland,Grassland
470,Built-up,Bareland,Non_Water,Non_Wetland,Wetland
471,Built-up,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
472,Built-up,Bareland,Non_Water,Non_Wetland,Bareland
473,Built-up,Bareland,Non_Water,Non_Wetland,Built-up
474,Built-up,Bareland,Non_Water,Non_Wetland,Forest
475,Built-up,Bareland,Water,Non_Wetland,Wetland
476,Built-up,Bareland,Water,Non_Wetland,Bareland
477,Built-up,Bareland,Water,Non_Wetland,Built-up
478,Built-up,Bareland,Water,Non_Wetland,Water
479,Built-up,Bareland,Water,Non_Wetland,Forest
480,Built-up,Built-up,NULL,Non_Wetland,Grassland
481,Built-up,Built-up,NULL,Non_Wetland,Wetland
482,Built-up,Built-up,NULL,Non_Wetland,Bareland
483,Built-up,Built-up,NULL,Non_Wetland,Built-up
484,Built-up,Built-up,NULL,Non_Wetland,Water
485,Built-up,Built-up,NULL,Non_Wetland,Forest
486,Built-up,Built-up,Non_Water,Non_Wetland,Forest
487,Built-up,Built-up,Water,Non_Wetland,Built-up
488,Built-up,Water,NULL,Water,Grassland
489,Built-up,Water,NULL,Water,Forest
490,Built-up,Water,Water,Water,Water
491,Built-up,Forest,NULL,Non_Wetland,NULL
492,Built-up,Forest,NULL,Non_Wetland,Grassland
