Value,SIBERIA_2024_ESRI_Annual_LULC_2024_43VCL_M_R,SIBERIA_2024_GLC_FCS30D_2022_43VCL_M_R,SIBERIA_2024_GSW_Yearly_2021_43VCL_M_R,SIBERIA_2024_GWL_FCS30D_2022_43VCL_M_R,SIBERIA_2024_WorldCover_2021_43VCL_M_R
259,Wetland,Grassland,NULL,Non_Wetland,Grassland
260,Wetland,Grassland,NULL,Non_Wetland,Wetland
261,Wetland,Grassland,NULL,Non_Wetland,Water
262,Wetland,Grassland,NULL,Non_Wetland,Forest
263,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
264,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
265,Wetland,Grassland,Non_Water,Non_Wetland,Water
266,Wetland,Grassland,Non_Water,Non_Wetland,Forest
267,Wetland,Grassland,Water,Non_Wetland,Grassland
268,Wetland,Grassland,Water,Non_Wetland,Wetland
269,Wetland,Grassland,Water,Non_Wetland,Forest
270,Wetland,Cropland,NULL,Non_Wetland,Grassland
271,Wetland,Cropland,NULL,Non_Wetland,Wetland
272,Wetland,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
273,Wetland,Cropland,NULL,Non_Wetland,Bareland
274,Wetland,Cropland,NULL,Non_Wetland,Forest
275,Wetland,Cropland,Non_Water,Non_Wetland,Wetland
276,Wetland,Cropland,Water,Non_Wetland,Wetland
277,Wetland,Wetland,NULL,Wetland,NULL
278,Wetland,Wetland,NULL,Wetland,Grassland
279,Wetland,Wetland,NULL,Wetland,Wetland
280,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
281,Wetland,Wetland,NULL,Wetland,Bareland
282,Wetland,Wetland,NULL,Wetland,Built-up
283,Wetland,Wetland,NULL,Wetland,Water
284,Wetland,Wetland,NULL,Wetland,Forest
285,Wetland,Wetland,Non_Water,Wetland,NULL
286,Wetland,Wetland,Non_Water,Wetland,Grassland
287,Wetland,Wetland,Non_Water,Wetland,Wetland
288,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
289,Wetland,Wetland,Non_Water,Wetland,Bareland
290,Wetland,Wetland,Non_Water,Wetland,Water
291,Wetland,Wetland,Non_Water,Wetland,Forest
292,Wetland,Wetland,Water,Wetland,NULL
293,Wetland,Wetland,Water,Wetland,Grassland
294,Wetland,Wetland,Water,Wetland,Wetland
295,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
296,Wetland,Wetland,Water,Wetland,Bareland
297,Wetland,Wetland,Water,Wetland,Water
298,Wetland,Wetland,Water,Wetland,Forest
299,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
300,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
301,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
302,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
303,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
304,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
305,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
306,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
307,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
308,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
309,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
310,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
311,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
312,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
313,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
314,Wetland,Bareland,NULL,Non_Wetland,NULL
315,Wetland,Bareland,NULL,Non_Wetland,Grassland
316,Wetland,Bareland,NULL,Non_Wetland,Wetland
317,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
318,Wetland,Bareland,NULL,Non_Wetland,Bareland
319,Wetland,Bareland,NULL,Non_Wetland,Built-up
320,Wetland,Bareland,NULL,Non_Wetland,Water
321,Wetland,Bareland,NULL,Non_Wetland,Forest
322,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
323,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
324,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
325,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
326,Wetland,Bareland,Non_Water,Non_Wetland,Water
327,Wetland,Bareland,Non_Water,Non_Wetland,Permanent_ice_and_snow
328,Wetland,Bareland,Non_Water,Non_Wetland,Forest
329,Wetland,Bareland,Water,Non_Wetland,NULL
330,Wetland,Bareland,Water,Non_Wetland,Grassland
331,Wetland,Bareland,Water,Non_Wetland,Wetland
332,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
333,Wetland,Bareland,Water,Non_Wetland,Bareland
334,Wetland,Bareland,Water,Non_Wetland,Water
335,Wetland,Bareland,Water,Non_Wetland,Forest
336,Wetland,Built-up,NULL,Non_Wetland,Grassland
337,Wetland,Built-up,NULL,Non_Wetland,Wetland
338,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
339,Wetland,Built-up,NULL,Non_Wetland,Bareland
340,Wetland,Built-up,NULL,Non_Wetland,Built-up
341,Wetland,Built-up,NULL,Non_Wetland,Forest
342,Wetland,Built-up,Non_Water,Non_Wetland,Grassland
343,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
344,Wetland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
345,Wetland,Built-up,Non_Water,Non_Wetland,Bareland
346,Wetland,Built-up,Non_Water,Non_Wetland,Water
347,Wetland,Built-up,Water,Non_Wetland,Grassland
348,Wetland,Built-up,Water,Non_Wetland,Wetland
349,Wetland,Built-up,Water,Non_Wetland,Bareland
350,Wetland,Built-up,Water,Non_Wetland,Water
351,Wetland,Water,NULL,Water,NULL
352,Wetland,Water,NULL,Water,Grassland
353,Wetland,Water,NULL,Water,Wetland
354,Wetland,Water,NULL,Water,Lichens_and_Mosses
355,Wetland,Water,NULL,Water,Bareland
356,Wetland,Water,NULL,Water,Water
357,Wetland,Water,NULL,Water,Forest
358,Wetland,Water,Non_Water,Water,Grassland
359,Wetland,Water,Non_Water,Water,Wetland
360,Wetland,Water,Non_Water,Water,Lichens_and_Mosses
361,Wetland,Water,Non_Water,Water,Bareland
362,Wetland,Water,Non_Water,Water,Water
363,Wetland,Water,Non_Water,Water,Forest
364,Wetland,Water,Water,Water,Grassland
365,Wetland,Water,Water,Water,Wetland
366,Wetland,Water,Water,Water,Lichens_and_Mosses
367,Wetland,Water,Water,Water,Bareland
368,Wetland,Water,Water,Water,Water
369,Wetland,Water,Water,Water,Forest
370,Wetland,Forest,NULL,Non_Wetland,NULL
371,Wetland,Forest,NULL,Non_Wetland,Grassland
372,Wetland,Forest,NULL,Non_Wetland,Wetland
373,Wetland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
374,Wetland,Forest,NULL,Non_Wetland,Bareland
375,Wetland,Forest,NULL,Non_Wetland,Water
376,Wetland,Forest,NULL,Non_Wetland,Forest
377,Wetland,Forest,Non_Water,Non_Wetland,NULL
378,Wetland,Forest,Non_Water,Non_Wetland,Grassland
379,Wetland,Forest,Non_Water,Non_Wetland,Wetland
380,Wetland,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
381,Wetland,Forest,Non_Water,Non_Wetland,Bareland
382,Wetland,Forest,Non_Water,Non_Wetland,Water
383,Wetland,Forest,Non_Water,Non_Wetland,Forest
384,Wetland,Forest,Water,Non_Wetland,NULL
385,Wetland,Forest,Water,Non_Wetland,Grassland
386,Wetland,Forest,Water,Non_Wetland,Wetland
387,Wetland,Forest,Water,Non_Wetland,Lichens_and_Mosses
388,Wetland,Forest,Water,Non_Wetland,Water
389,Wetland,Forest,Water,Non_Wetland,Forest
390,Bareland,Shrubland,NULL,Non_Wetland,Grassland
391,Bareland,Shrubland,NULL,Non_Wetland,Bareland
392,Bareland,Shrubland,NULL,Non_Wetland,Forest
393,Bareland,Cropland,NULL,Non_Wetland,Bareland
394,Bareland,Wetland,NULL,Wetland,Bareland
395,Bareland,Wetland,NULL,Wetland,Water
396,Bareland,Wetland,Water,Wetland,Water
397,Bareland,Bareland,NULL,Non_Wetland,Grassland
398,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
399,Bareland,Bareland,NULL,Non_Wetland,Bareland
400,Bareland,Bareland,NULL,Non_Wetland,Built-up
401,Bareland,Bareland,NULL,Non_Wetland,Forest
402,Bareland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
403,Bareland,Built-up,NULL,Non_Wetland,Bareland
404,Bareland,Water,NULL,Water,Water
405,Bareland,Water,Non_Water,Water,Wetland
406,Bareland,Water,Water,Water,Wetland
407,Bareland,Water,Water,Water,Bareland
408,Bareland,Water,Water,Water,Water
409,Bareland,Forest,NULL,Non_Wetland,Grassland
410,Bareland,Forest,NULL,Non_Wetland,Bareland
411,Bareland,Forest,NULL,Non_Wetland,Forest
412,Built-up,NULL,NULL,Non_Wetland,Forest
413,Built-up,Shrubland,NULL,Non_Wetland,Grassland
414,Built-up,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
415,Built-up,Shrubland,NULL,Non_Wetland,Bareland
416,Built-up,Shrubland,NULL,Non_Wetland,Forest
417,Built-up,Grassland,NULL,Non_Wetland,Grassland
418,Built-up,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
419,Built-up,Grassland,NULL,Non_Wetland,Built-up
420,Built-up,Grassland,NULL,Non_Wetland,Forest
421,Built-up,Cropland,NULL,Non_Wetland,Grassland
422,Built-up,Cropland,NULL,Non_Wetland,Bareland
423,Built-up,Wetland,NULL,Wetland,NULL
424,Built-up,Wetland,NULL,Wetland,Grassland
425,Built-up,Wetland,NULL,Wetland,Wetland
426,Built-up,Wetland,NULL,Wetland,Water
427,Built-up,Wetland,NULL,Wetland,Forest
428,Built-up,Wetland,Water,Wetland,Wetland
429,Built-up,Wetland,Water,Wetland,Water
430,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
431,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
432,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
433,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
434,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Forest
435,Built-up,Bareland,NULL,Non_Wetland,NULL
436,Built-up,Bareland,NULL,Non_Wetland,Grassland
437,Built-up,Bareland,NULL,Non_Wetland,Wetland
438,Built-up,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
439,Built-up,Bareland,NULL,Non_Wetland,Bareland
440,Built-up,Bareland,NULL,Non_Wetland,Built-up
441,Built-up,Bareland,NULL,Non_Wetland,Water
442,Built-up,Bareland,NULL,Non_Wetland,Forest
443,Built-up,Bareland,Water,Non_Wetland,Wetland
444,Built-up,Bareland,Water,Non_Wetland,Lichens_and_Mosses
445,Built-up,Bareland,Water,Non_Wetland,Forest
446,Built-up,Built-up,NULL,Non_Wetland,Grassland
447,Built-up,Built-up,NULL,Non_Wetland,Wetland
448,Built-up,Built-up,NULL,Non_Wetland,Bareland
449,Built-up,Built-up,NULL,Non_Wetland,Built-up
450,Built-up,Built-up,NULL,Non_Wetland,Forest
451,Built-up,Built-up,Water,Non_Wetland,Bareland
452,Built-up,Water,NULL,Water,Wetland
453,Built-up,Water,NULL,Water,Lichens_and_Mosses
454,Built-up,Water,Water,Water,Wetland
455,Built-up,Water,Water,Water,Lichens_and_Mosses
456,Built-up,Water,Water,Water,Water
457,Built-up,Forest,NULL,Non_Wetland,Grassland
458,Built-up,Forest,NULL,Non_Wetland,Wetland
459,Built-up,Forest,NULL,Non_Wetland,Lichens_and_Mosses
460,Built-up,Forest,NULL,Non_Wetland,Bareland
461,Built-up,Forest,NULL,Non_Wetland,Built-up
462,Built-up,Forest,NULL,Non_Wetland,Forest
463,Water,NULL,NULL,Non_Wetland,Grassland
464,Water,NULL,NULL,Non_Wetland,Wetland
465,Water,NULL,NULL,Non_Wetland,Water
466,Water,NULL,NULL,Non_Wetland,Forest
467,Water,NULL,Non_Water,Non_Wetland,Grassland
468,Water,NULL,Non_Water,Non_Wetland,Wetland
469,Water,NULL,Non_Water,Non_Wetland,Water
470,Water,NULL,Non_Water,Non_Wetland,Forest
471,Water,NULL,Water,Non_Wetland,Wetland
472,Water,NULL,Water,Non_Wetland,Water
473,Water,NULL,Water,Non_Wetland,Forest
474,Water,Shrubland,NULL,Non_Wetland,Grassland
475,Water,Shrubland,NULL,Non_Wetland,Wetland
476,Water,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
