Value,SIBERIA_2024_ESRI_Annual_LULC_2024_42VVN_M_R,SIBERIA_2024_GLC_FCS30D_2022_42VVN_M_R,SIBERIA_2024_GSW_Yearly_2021_42VVN_M_R,SIBERIA_2024_GWL_FCS30D_2022_42VVN_M_R,SIBERIA_2024_WorldCover_2021_42VVN_M_R
262,Wetland,NULL,NULL,Non_Wetland,Built-up
263,Wetland,NULL,NULL,Non_Wetland,Water
264,Wetland,NULL,NULL,Non_Wetland,Forest
265,Wetland,NULL,Non_Water,Non_Wetland,Grassland
266,Wetland,NULL,Non_Water,Non_Wetland,Wetland
267,Wetland,NULL,Non_Water,Non_Wetland,Water
268,Wetland,NULL,Non_Water,Non_Wetland,Forest
269,Wetland,NULL,Water,Non_Wetland,Grassland
270,Wetland,NULL,Water,Non_Wetland,Wetland
271,Wetland,NULL,Water,Non_Wetland,Water
272,Wetland,NULL,Water,Non_Wetland,Forest
273,Wetland,Shrubland,NULL,Non_Wetland,NULL
274,Wetland,Shrubland,NULL,Non_Wetland,Grassland
275,Wetland,Shrubland,NULL,Non_Wetland,Cropland
276,Wetland,Shrubland,NULL,Non_Wetland,Wetland
277,Wetland,Shrubland,NULL,Non_Wetland,Bareland
278,Wetland,Shrubland,NULL,Non_Wetland,Built-up
279,Wetland,Shrubland,NULL,Non_Wetland,Water
280,Wetland,Shrubland,NULL,Non_Wetland,Forest
281,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
282,Wetland,Shrubland,Non_Water,Non_Wetland,Cropland
283,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
284,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland
285,Wetland,Shrubland,Non_Water,Non_Wetland,Built-up
286,Wetland,Shrubland,Non_Water,Non_Wetland,Water
287,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
288,Wetland,Shrubland,Water,Non_Wetland,Grassland
289,Wetland,Shrubland,Water,Non_Wetland,Wetland
290,Wetland,Shrubland,Water,Non_Wetland,Water
291,Wetland,Shrubland,Water,Non_Wetland,Forest
292,Wetland,Grassland,NULL,Non_Wetland,Grassland
293,Wetland,Grassland,NULL,Non_Wetland,Cropland
294,Wetland,Grassland,NULL,Non_Wetland,Wetland
295,Wetland,Grassland,NULL,Non_Wetland,Bareland
296,Wetland,Grassland,NULL,Non_Wetland,Built-up
297,Wetland,Grassland,NULL,Non_Wetland,Water
298,Wetland,Grassland,NULL,Non_Wetland,Forest
299,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
300,Wetland,Grassland,Non_Water,Non_Wetland,Cropland
301,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
302,Wetland,Grassland,Non_Water,Non_Wetland,Bareland
303,Wetland,Grassland,Non_Water,Non_Wetland,Built-up
304,Wetland,Grassland,Non_Water,Non_Wetland,Water
305,Wetland,Grassland,Non_Water,Non_Wetland,Forest
306,Wetland,Grassland,Water,Non_Wetland,Grassland
307,Wetland,Grassland,Water,Non_Wetland,Wetland
308,Wetland,Grassland,Water,Non_Wetland,Water
309,Wetland,Cropland,NULL,Non_Wetland,Grassland
310,Wetland,Cropland,NULL,Non_Wetland,Cropland
311,Wetland,Cropland,NULL,Non_Wetland,Wetland
312,Wetland,Cropland,NULL,Non_Wetland,Bareland
313,Wetland,Cropland,NULL,Non_Wetland,Built-up
314,Wetland,Cropland,NULL,Non_Wetland,Water
315,Wetland,Cropland,NULL,Non_Wetland,Forest
316,Wetland,Cropland,Non_Water,Non_Wetland,Grassland
317,Wetland,Cropland,Non_Water,Non_Wetland,Cropland
318,Wetland,Cropland,Non_Water,Non_Wetland,Wetland
319,Wetland,Cropland,Non_Water,Non_Wetland,Lichens_and_Mosses
320,Wetland,Cropland,Non_Water,Non_Wetland,Bareland
321,Wetland,Cropland,Non_Water,Non_Wetland,Water
322,Wetland,Cropland,Non_Water,Non_Wetland,Forest
323,Wetland,Cropland,Water,Non_Wetland,Grassland
324,Wetland,Cropland,Water,Non_Wetland,Wetland
325,Wetland,Cropland,Water,Non_Wetland,Lichens_and_Mosses
326,Wetland,Cropland,Water,Non_Wetland,Water
327,Wetland,Cropland,Water,Non_Wetland,Forest
328,Wetland,Wetland,NULL,Wetland,NULL
329,Wetland,Wetland,NULL,Wetland,Grassland
330,Wetland,Wetland,NULL,Wetland,Cropland
331,Wetland,Wetland,NULL,Wetland,Wetland
332,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
333,Wetland,Wetland,NULL,Wetland,Bareland
334,Wetland,Wetland,NULL,Wetland,Built-up
335,Wetland,Wetland,NULL,Wetland,Water
336,Wetland,Wetland,NULL,Wetland,Forest
337,Wetland,Wetland,Non_Water,Wetland,NULL
338,Wetland,Wetland,Non_Water,Wetland,Grassland
339,Wetland,Wetland,Non_Water,Wetland,Cropland
340,Wetland,Wetland,Non_Water,Wetland,Wetland
341,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
342,Wetland,Wetland,Non_Water,Wetland,Bareland
343,Wetland,Wetland,Non_Water,Wetland,Built-up
344,Wetland,Wetland,Non_Water,Wetland,Water
345,Wetland,Wetland,Non_Water,Wetland,Forest
346,Wetland,Wetland,Water,Wetland,NULL
347,Wetland,Wetland,Water,Wetland,Grassland
348,Wetland,Wetland,Water,Wetland,Cropland
349,Wetland,Wetland,Water,Wetland,Wetland
350,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
351,Wetland,Wetland,Water,Wetland,Bareland
352,Wetland,Wetland,Water,Wetland,Built-up
353,Wetland,Wetland,Water,Wetland,Water
354,Wetland,Wetland,Water,Wetland,Forest
355,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
356,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
357,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
358,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
359,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
360,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
361,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
362,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
363,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
364,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
365,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
366,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
367,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
368,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Built-up
369,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
370,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
371,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
372,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
373,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
374,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Forest
375,Wetland,Bareland,NULL,Non_Wetland,NULL
376,Wetland,Bareland,NULL,Non_Wetland,Grassland
377,Wetland,Bareland,NULL,Non_Wetland,Cropland
378,Wetland,Bareland,NULL,Non_Wetland,Wetland
379,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
380,Wetland,Bareland,NULL,Non_Wetland,Bareland
381,Wetland,Bareland,NULL,Non_Wetland,Built-up
382,Wetland,Bareland,NULL,Non_Wetland,Water
383,Wetland,Bareland,NULL,Non_Wetland,Forest
384,Wetland,Bareland,Non_Water,Non_Wetland,NULL
385,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
386,Wetland,Bareland,Non_Water,Non_Wetland,Cropland
387,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
388,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
389,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
390,Wetland,Bareland,Non_Water,Non_Wetland,Built-up
391,Wetland,Bareland,Non_Water,Non_Wetland,Water
392,Wetland,Bareland,Non_Water,Non_Wetland,Forest
393,Wetland,Bareland,Water,Non_Wetland,Grassland
394,Wetland,Bareland,Water,Non_Wetland,Wetland
395,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
396,Wetland,Bareland,Water,Non_Wetland,Bareland
397,Wetland,Bareland,Water,Non_Wetland,Built-up
398,Wetland,Bareland,Water,Non_Wetland,Water
399,Wetland,Bareland,Water,Non_Wetland,Forest
400,Wetland,Built-up,NULL,Non_Wetland,NULL
401,Wetland,Built-up,NULL,Non_Wetland,Grassland
402,Wetland,Built-up,NULL,Non_Wetland,Wetland
403,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
404,Wetland,Built-up,NULL,Non_Wetland,Bareland
405,Wetland,Built-up,NULL,Non_Wetland,Built-up
406,Wetland,Built-up,NULL,Non_Wetland,Water
407,Wetland,Built-up,NULL,Non_Wetland,Forest
408,Wetland,Built-up,Non_Water,Non_Wetland,Grassland
409,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
410,Wetland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
411,Wetland,Built-up,Non_Water,Non_Wetland,Bareland
412,Wetland,Built-up,Non_Water,Non_Wetland,Built-up
413,Wetland,Built-up,Non_Water,Non_Wetland,Water
414,Wetland,Built-up,Non_Water,Non_Wetland,Forest
415,Wetland,Built-up,Water,Non_Wetland,Grassland
416,Wetland,Built-up,Water,Non_Wetland,Wetland
417,Wetland,Built-up,Water,Non_Wetland,Bareland
418,Wetland,Built-up,Water,Non_Wetland,Built-up
419,Wetland,Built-up,Water,Non_Wetland,Water
420,Wetland,Built-up,Water,Non_Wetland,Forest
421,Wetland,Water,NULL,Water,NULL
422,Wetland,Water,NULL,Water,Grassland
423,Wetland,Water,NULL,Water,Wetland
424,Wetland,Water,NULL,Water,Water
425,Wetland,Water,NULL,Water,Forest
426,Wetland,Water,Non_Water,Water,Grassland
427,Wetland,Water,Non_Water,Water,Cropland
428,Wetland,Water,Non_Water,Water,Wetland
429,Wetland,Water,Non_Water,Water,Bareland
430,Wetland,Water,Non_Water,Water,Water
431,Wetland,Water,Non_Water,Water,Forest
432,Wetland,Water,Water,Water,NULL
433,Wetland,Water,Water,Water,Grassland
434,Wetland,Water,Water,Water,Wetland
435,Wetland,Water,Water,Water,Lichens_and_Mosses
436,Wetland,Water,Water,Water,Bareland
437,Wetland,Water,Water,Water,Built-up
438,Wetland,Water,Water,Water,Water
439,Wetland,Water,Water,Water,Forest
440,Wetland,Forest,NULL,Non_Wetland,NULL
441,Wetland,Forest,NULL,Non_Wetland,Grassland
442,Wetland,Forest,NULL,Non_Wetland,Cropland
443,Wetland,Forest,NULL,Non_Wetland,Wetland
444,Wetland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
445,Wetland,Forest,NULL,Non_Wetland,Bareland
446,Wetland,Forest,NULL,Non_Wetland,Built-up
447,Wetland,Forest,NULL,Non_Wetland,Water
448,Wetland,Forest,NULL,Non_Wetland,Forest
449,Wetland,Forest,Non_Water,Non_Wetland,NULL
450,Wetland,Forest,Non_Water,Non_Wetland,Grassland
451,Wetland,Forest,Non_Water,Non_Wetland,Cropland
452,Wetland,Forest,Non_Water,Non_Wetland,Wetland
453,Wetland,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
454,Wetland,Forest,Non_Water,Non_Wetland,Bareland
455,Wetland,Forest,Non_Water,Non_Wetland,Built-up
456,Wetland,Forest,Non_Water,Non_Wetland,Water
457,Wetland,Forest,Non_Water,Non_Wetland,Forest
458,Wetland,Forest,Water,Non_Wetland,NULL
459,Wetland,Forest,Water,Non_Wetland,Grassland
460,Wetland,Forest,Water,Non_Wetland,Cropland
461,Wetland,Forest,Water,Non_Wetland,Wetland
462,Wetland,Forest,Water,Non_Wetland,Bareland
463,Wetland,Forest,Water,Non_Wetland,Built-up
464,Wetland,Forest,Water,Non_Wetland,Water
465,Wetland,Forest,Water,Non_Wetland,Forest
466,Bareland,NULL,NULL,Non_Wetland,Wetland
467,Bareland,NULL,NULL,Non_Wetland,Water
468,Bareland,NULL,NULL,Non_Wetland,Forest
469,Bareland,Shrubland,NULL,Non_Wetland,Bareland
470,Bareland,Shrubland,Non_Water,Non_Wetland,Grassland
471,Bareland,Shrubland,Non_Water,Non_Wetland,Bareland
472,Bareland,Grassland,Non_Water,Non_Wetland,Grassland
473,Bareland,Grassland,Non_Water,Non_Wetland,Bareland
474,Bareland,Cropland,NULL,Non_Wetland,Grassland
475,Bareland,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
476,Bareland,Cropland,NULL,Non_Wetland,Bareland
