Value,SIBERIA_2024_ESRI_Annual_LULC_2024_42WWV_M_R,SIBERIA_2024_GLC_FCS30D_2022_42WWV_M_R,SIBERIA_2024_GSW_Yearly_2021_42WWV_M_R,SIBERIA_2024_GWL_FCS30D_2022_42WWV_M_R,SIBERIA_2024_WorldCover_2021_42WWV_M_R
170,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
171,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
172,Wetland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
173,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland
174,Wetland,Shrubland,Non_Water,Non_Wetland,Water
175,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
176,Wetland,Shrubland,Water,Non_Wetland,Grassland
177,Wetland,Shrubland,Water,Non_Wetland,Wetland
178,Wetland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
179,Wetland,Shrubland,Water,Non_Wetland,Bareland
180,Wetland,Shrubland,Water,Non_Wetland,Water
181,Wetland,Shrubland,Water,Non_Wetland,Forest
182,Wetland,Grassland,NULL,Non_Wetland,Grassland
183,Wetland,Grassland,NULL,Non_Wetland,Wetland
184,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
185,Wetland,Grassland,NULL,Non_Wetland,Bareland
186,Wetland,Grassland,NULL,Non_Wetland,Built-up
187,Wetland,Grassland,NULL,Non_Wetland,Water
188,Wetland,Grassland,NULL,Non_Wetland,Forest
189,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
190,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
191,Wetland,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
192,Wetland,Grassland,Non_Water,Non_Wetland,Bareland
193,Wetland,Grassland,Non_Water,Non_Wetland,Water
194,Wetland,Grassland,Non_Water,Non_Wetland,Forest
195,Wetland,Grassland,Water,Non_Wetland,Grassland
196,Wetland,Grassland,Water,Non_Wetland,Wetland
197,Wetland,Grassland,Water,Non_Wetland,Lichens_and_Mosses
198,Wetland,Grassland,Water,Non_Wetland,Bareland
199,Wetland,Grassland,Water,Non_Wetland,Water
200,Wetland,Grassland,Water,Non_Wetland,Forest
201,Wetland,Wetland,NULL,NULL,Grassland
202,Wetland,Wetland,NULL,NULL,Wetland
203,Wetland,Wetland,NULL,NULL,Water
204,Wetland,Wetland,NULL,NULL,Forest
205,Wetland,Wetland,NULL,Wetland,NULL
206,Wetland,Wetland,NULL,Wetland,Grassland
207,Wetland,Wetland,NULL,Wetland,Wetland
208,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
209,Wetland,Wetland,NULL,Wetland,Bareland
210,Wetland,Wetland,NULL,Wetland,Water
211,Wetland,Wetland,NULL,Wetland,Forest
212,Wetland,Wetland,Non_Water,NULL,Grassland
213,Wetland,Wetland,Non_Water,NULL,Wetland
214,Wetland,Wetland,Non_Water,NULL,Water
215,Wetland,Wetland,Non_Water,NULL,Forest
216,Wetland,Wetland,Non_Water,Wetland,Grassland
217,Wetland,Wetland,Non_Water,Wetland,Wetland
218,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
219,Wetland,Wetland,Non_Water,Wetland,Bareland
220,Wetland,Wetland,Non_Water,Wetland,Water
221,Wetland,Wetland,Non_Water,Wetland,Forest
222,Wetland,Wetland,Water,NULL,Grassland
223,Wetland,Wetland,Water,NULL,Wetland
224,Wetland,Wetland,Water,NULL,Water
225,Wetland,Wetland,Water,NULL,Forest
226,Wetland,Wetland,Water,Wetland,Grassland
227,Wetland,Wetland,Water,Wetland,Wetland
228,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
229,Wetland,Wetland,Water,Wetland,Bareland
230,Wetland,Wetland,Water,Wetland,Water
231,Wetland,Wetland,Water,Wetland,Forest
232,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
233,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
234,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
235,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
236,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
237,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
238,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
239,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
240,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
241,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
242,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
243,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
244,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
245,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
246,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
247,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
248,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
249,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
250,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Forest
251,Wetland,Bareland,NULL,Non_Wetland,Grassland
252,Wetland,Bareland,NULL,Non_Wetland,Wetland
253,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
254,Wetland,Bareland,NULL,Non_Wetland,Bareland
255,Wetland,Bareland,NULL,Non_Wetland,Built-up
256,Wetland,Bareland,NULL,Non_Wetland,Water
257,Wetland,Bareland,NULL,Non_Wetland,Forest
258,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
259,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
260,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
261,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
262,Wetland,Bareland,Non_Water,Non_Wetland,Water
263,Wetland,Bareland,Non_Water,Non_Wetland,Forest
264,Wetland,Bareland,Water,Non_Wetland,Grassland
265,Wetland,Bareland,Water,Non_Wetland,Wetland
266,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
267,Wetland,Bareland,Water,Non_Wetland,Bareland
268,Wetland,Bareland,Water,Non_Wetland,Water
269,Wetland,Bareland,Water,Non_Wetland,Forest
270,Wetland,Built-up,NULL,Non_Wetland,Grassland
271,Wetland,Built-up,NULL,Non_Wetland,Wetland
272,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
273,Wetland,Built-up,NULL,Non_Wetland,Bareland
274,Wetland,Built-up,NULL,Non_Wetland,Built-up
275,Wetland,Built-up,NULL,Non_Wetland,Water
276,Wetland,Built-up,NULL,Non_Wetland,Forest
277,Wetland,Built-up,Non_Water,Non_Wetland,Grassland
278,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
279,Wetland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
280,Wetland,Built-up,Non_Water,Non_Wetland,Bareland
281,Wetland,Built-up,Non_Water,Non_Wetland,Water
282,Wetland,Built-up,Non_Water,Non_Wetland,Forest
283,Wetland,Built-up,Water,Non_Wetland,Grassland
284,Wetland,Built-up,Water,Non_Wetland,Wetland
285,Wetland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
286,Wetland,Built-up,Water,Non_Wetland,Bareland
287,Wetland,Built-up,Water,Non_Wetland,Water
288,Wetland,Water,NULL,NULL,Grassland
289,Wetland,Water,NULL,NULL,Wetland
290,Wetland,Water,NULL,NULL,Water
291,Wetland,Water,NULL,NULL,Forest
292,Wetland,Water,NULL,Water,Grassland
293,Wetland,Water,NULL,Water,Wetland
294,Wetland,Water,NULL,Water,Lichens_and_Mosses
295,Wetland,Water,NULL,Water,Bareland
296,Wetland,Water,NULL,Water,Water
297,Wetland,Water,NULL,Water,Forest
298,Wetland,Water,Non_Water,NULL,Wetland
299,Wetland,Water,Non_Water,NULL,Water
300,Wetland,Water,Non_Water,Water,Grassland
301,Wetland,Water,Non_Water,Water,Wetland
302,Wetland,Water,Non_Water,Water,Lichens_and_Mosses
303,Wetland,Water,Non_Water,Water,Bareland
304,Wetland,Water,Non_Water,Water,Water
305,Wetland,Water,Non_Water,Water,Forest
306,Wetland,Water,Water,NULL,Grassland
307,Wetland,Water,Water,NULL,Wetland
308,Wetland,Water,Water,NULL,Water
309,Wetland,Water,Water,NULL,Forest
310,Wetland,Water,Water,Water,Grassland
311,Wetland,Water,Water,Water,Wetland
312,Wetland,Water,Water,Water,Lichens_and_Mosses
313,Wetland,Water,Water,Water,Bareland
314,Wetland,Water,Water,Water,Water
315,Wetland,Water,Water,Water,Forest
316,Wetland,Forest,NULL,Non_Wetland,Grassland
317,Wetland,Forest,NULL,Non_Wetland,Wetland
318,Wetland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
319,Wetland,Forest,NULL,Non_Wetland,Bareland
320,Wetland,Forest,NULL,Non_Wetland,Water
321,Wetland,Forest,NULL,Non_Wetland,Forest
322,Wetland,Forest,Non_Water,Non_Wetland,Grassland
323,Wetland,Forest,Non_Water,Non_Wetland,Wetland
324,Wetland,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
325,Wetland,Forest,Non_Water,Non_Wetland,Bareland
326,Wetland,Forest,Non_Water,Non_Wetland,Water
327,Wetland,Forest,Non_Water,Non_Wetland,Forest
328,Wetland,Forest,Water,Non_Wetland,Grassland
329,Wetland,Forest,Water,Non_Wetland,Wetland
330,Wetland,Forest,Water,Non_Wetland,Lichens_and_Mosses
331,Wetland,Forest,Water,Non_Wetland,Bareland
332,Wetland,Forest,Water,Non_Wetland,Water
333,Wetland,Forest,Water,Non_Wetland,Forest
334,Bareland,NULL,NULL,Non_Wetland,Lichens_and_Mosses
335,Bareland,Shrubland,NULL,Non_Wetland,Grassland
336,Bareland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
337,Bareland,Shrubland,NULL,Non_Wetland,Bareland
338,Bareland,Shrubland,NULL,Non_Wetland,Water
339,Bareland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
340,Bareland,Shrubland,Non_Water,Non_Wetland,Bareland
341,Bareland,Shrubland,Non_Water,Non_Wetland,Water
342,Bareland,Shrubland,Water,Non_Wetland,Bareland
343,Bareland,Shrubland,Water,Non_Wetland,Water
344,Bareland,Grassland,NULL,Non_Wetland,Grassland
345,Bareland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
346,Bareland,Grassland,NULL,Non_Wetland,Bareland
347,Bareland,Wetland,NULL,Wetland,Grassland
348,Bareland,Wetland,NULL,Wetland,Wetland
349,Bareland,Wetland,NULL,Wetland,Lichens_and_Mosses
350,Bareland,Wetland,NULL,Wetland,Bareland
351,Bareland,Wetland,NULL,Wetland,Water
352,Bareland,Wetland,NULL,Wetland,Forest
353,Bareland,Wetland,Non_Water,Wetland,Grassland
354,Bareland,Wetland,Non_Water,Wetland,Wetland
355,Bareland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
356,Bareland,Wetland,Non_Water,Wetland,Bareland
357,Bareland,Wetland,Non_Water,Wetland,Water
358,Bareland,Wetland,Water,Wetland,Grassland
359,Bareland,Wetland,Water,Wetland,Wetland
360,Bareland,Wetland,Water,Wetland,Lichens_and_Mosses
361,Bareland,Wetland,Water,Wetland,Bareland
362,Bareland,Wetland,Water,Wetland,Water
363,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
364,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
365,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
366,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Water
367,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
368,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
369,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
370,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
371,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
372,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
373,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
374,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
375,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Water
376,Bareland,Bareland,NULL,Non_Wetland,Grassland
377,Bareland,Bareland,NULL,Non_Wetland,Wetland
378,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
379,Bareland,Bareland,NULL,Non_Wetland,Bareland
380,Bareland,Bareland,NULL,Non_Wetland,Water
381,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
382,Bareland,Bareland,Non_Water,Non_Wetland,Wetland
383,Bareland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
384,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
385,Bareland,Bareland,Non_Water,Non_Wetland,Water
386,Bareland,Bareland,Water,Non_Wetland,Grassland
387,Bareland,Bareland,Water,Non_Wetland,Wetland
388,Bareland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
389,Bareland,Bareland,Water,Non_Wetland,Bareland
390,Bareland,Bareland,Water,Non_Wetland,Water
391,Bareland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
392,Bareland,Built-up,NULL,Non_Wetland,Bareland
393,Bareland,Built-up,NULL,Non_Wetland,Water
394,Bareland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
395,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
396,Bareland,Built-up,Non_Water,Non_Wetland,Water
397,Bareland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
398,Bareland,Built-up,Water,Non_Wetland,Bareland
399,Bareland,Built-up,Water,Non_Wetland,Water
400,Bareland,Water,NULL,NULL,Forest
401,Bareland,Water,NULL,Water,Grassland
402,Bareland,Water,NULL,Water,Wetland
403,Bareland,Water,NULL,Water,Lichens_and_Mosses
404,Bareland,Water,NULL,Water,Bareland
405,Bareland,Water,NULL,Water,Water
406,Bareland,Water,Non_Water,Water,Lichens_and_Mosses
407,Bareland,Water,Non_Water,Water,Bareland
408,Bareland,Water,Non_Water,Water,Water
409,Bareland,Water,Water,Water,Grassland
410,Bareland,Water,Water,Water,Wetland
411,Bareland,Water,Water,Water,Lichens_and_Mosses
412,Bareland,Water,Water,Water,Bareland
413,Bareland,Water,Water,Water,Water
414,Bareland,Water,Water,Water,Forest
415,Bareland,Forest,NULL,Non_Wetland,Wetland
416,Bareland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
417,Bareland,Forest,NULL,Non_Wetland,Bareland
418,Bareland,Forest,NULL,Non_Wetland,Water
419,Bareland,Forest,Non_Water,Non_Wetland,Wetland
420,Bareland,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
421,Bareland,Forest,Non_Water,Non_Wetland,Bareland
422,Bareland,Forest,Non_Water,Non_Wetland,Water
423,Bareland,Forest,Non_Water,Non_Wetland,Forest
424,Bareland,Forest,Water,Non_Wetland,Lichens_and_Mosses
425,Bareland,Forest,Water,Non_Wetland,Bareland
426,Bareland,Forest,Water,Non_Wetland,Water
427,Built-up,NULL,NULL,Non_Wetland,Grassland
428,Built-up,NULL,NULL,Non_Wetland,Forest
429,Built-up,Shrubland,NULL,Non_Wetland,Grassland
430,Built-up,Shrubland,NULL,Non_Wetland,Wetland
431,Built-up,Shrubland,NULL,Non_Wetland,Bareland
432,Built-up,Shrubland,NULL,Non_Wetland,Built-up
433,Built-up,Shrubland,NULL,Non_Wetland,Forest
434,Built-up,Grassland,NULL,Non_Wetland,Grassland
435,Built-up,Grassland,NULL,Non_Wetland,Wetland
436,Built-up,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
437,Built-up,Grassland,NULL,Non_Wetland,Bareland
438,Built-up,Grassland,NULL,Non_Wetland,Built-up
439,Built-up,Grassland,NULL,Non_Wetland,Forest
440,Built-up,Wetland,NULL,NULL,Grassland
441,Built-up,Wetland,NULL,NULL,Lichens_and_Mosses
442,Built-up,Wetland,NULL,NULL,Built-up
443,Built-up,Wetland,NULL,NULL,Forest
444,Built-up,Wetland,NULL,Wetland,Grassland
445,Built-up,Wetland,NULL,Wetland,Wetland
446,Built-up,Wetland,NULL,Wetland,Bareland
447,Built-up,Wetland,NULL,Wetland,Built-up
448,Built-up,Wetland,NULL,Wetland,Water
449,Built-up,Wetland,NULL,Wetland,Forest
450,Built-up,Wetland,Non_Water,Wetland,Grassland
451,Built-up,Wetland,Non_Water,Wetland,Forest
452,Built-up,Wetland,Water,NULL,Forest
453,Built-up,Wetland,Water,Wetland,Grassland
454,Built-up,Wetland,Water,Wetland,Wetland
455,Built-up,Wetland,Water,Wetland,Built-up
456,Built-up,Wetland,Water,Wetland,Water
457,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
458,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
459,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
460,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
461,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
462,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Forest
463,Built-up,Lichens_and_Mosses,Water,Non_Wetland,Built-up
464,Built-up,Lichens_and_Mosses,Water,Non_Wetland,Forest
465,Built-up,Bareland,NULL,Non_Wetland,Grassland
466,Built-up,Bareland,NULL,Non_Wetland,Wetland
467,Built-up,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
468,Built-up,Bareland,NULL,Non_Wetland,Bareland
469,Built-up,Bareland,NULL,Non_Wetland,Built-up
470,Built-up,Bareland,NULL,Non_Wetland,Water
471,Built-up,Bareland,NULL,Non_Wetland,Forest
472,Built-up,Bareland,Non_Water,Non_Wetland,Grassland
