Value,SIBERIA_2024_ESRI_Annual_LULC_2024_43VEJ_M_R,SIBERIA_2024_GLC_FCS30D_2022_43VEJ_M_R,SIBERIA_2024_GSW_Yearly_2021_43VEJ_M_R,SIBERIA_2024_GWL_FCS30D_2022_43VEJ_M_R,SIBERIA_2024_WorldCover_2021_43VEJ_M_R
265,Cropland,Forest,Water,Non_Wetland,Water
266,Cropland,Forest,Water,Non_Wetland,Forest
267,Wetland,NULL,NULL,Non_Wetland,NULL
268,Wetland,NULL,NULL,Non_Wetland,Grassland
269,Wetland,NULL,NULL,Non_Wetland,Wetland
270,Wetland,NULL,NULL,Non_Wetland,Built-up
271,Wetland,NULL,NULL,Non_Wetland,Water
272,Wetland,NULL,NULL,Non_Wetland,Forest
273,Wetland,NULL,Non_Water,Non_Wetland,Grassland
274,Wetland,NULL,Non_Water,Non_Wetland,Wetland
275,Wetland,NULL,Non_Water,Non_Wetland,Water
276,Wetland,NULL,Non_Water,Non_Wetland,Forest
277,Wetland,NULL,Water,Non_Wetland,Grassland
278,Wetland,NULL,Water,Non_Wetland,Wetland
279,Wetland,NULL,Water,Non_Wetland,Water
280,Wetland,NULL,Water,Non_Wetland,Forest
281,Wetland,Shrubland,NULL,Non_Wetland,NULL
282,Wetland,Shrubland,NULL,Non_Wetland,Grassland
283,Wetland,Shrubland,NULL,Non_Wetland,Wetland
284,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
285,Wetland,Shrubland,NULL,Non_Wetland,Bareland
286,Wetland,Shrubland,NULL,Non_Wetland,Built-up
287,Wetland,Shrubland,NULL,Non_Wetland,Water
288,Wetland,Shrubland,NULL,Non_Wetland,Forest
289,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
290,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
291,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
292,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland
293,Wetland,Shrubland,Non_Water,Non_Wetland,Water
294,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
295,Wetland,Shrubland,Water,Non_Wetland,NULL
296,Wetland,Shrubland,Water,Non_Wetland,Grassland
297,Wetland,Shrubland,Water,Non_Wetland,Wetland
298,Wetland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
299,Wetland,Shrubland,Water,Non_Wetland,Built-up
300,Wetland,Shrubland,Water,Non_Wetland,Water
301,Wetland,Shrubland,Water,Non_Wetland,Forest
302,Wetland,Grassland,NULL,Non_Wetland,NULL
303,Wetland,Grassland,NULL,Non_Wetland,Grassland
304,Wetland,Grassland,NULL,Non_Wetland,Cropland
305,Wetland,Grassland,NULL,Non_Wetland,Wetland
306,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
307,Wetland,Grassland,NULL,Non_Wetland,Bareland
308,Wetland,Grassland,NULL,Non_Wetland,Built-up
309,Wetland,Grassland,NULL,Non_Wetland,Forest
310,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
311,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
312,Wetland,Grassland,Non_Water,Non_Wetland,Forest
313,Wetland,Grassland,Water,Non_Wetland,Grassland
314,Wetland,Grassland,Water,Non_Wetland,Wetland
315,Wetland,Grassland,Water,Non_Wetland,Water
316,Wetland,Grassland,Water,Non_Wetland,Forest
317,Wetland,Cropland,NULL,Non_Wetland,Forest
318,Wetland,Wetland,NULL,Wetland,NULL
319,Wetland,Wetland,NULL,Wetland,Grassland
320,Wetland,Wetland,NULL,Wetland,Cropland
321,Wetland,Wetland,NULL,Wetland,Wetland
322,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
323,Wetland,Wetland,NULL,Wetland,Bareland
324,Wetland,Wetland,NULL,Wetland,Built-up
325,Wetland,Wetland,NULL,Wetland,Water
326,Wetland,Wetland,NULL,Wetland,Forest
327,Wetland,Wetland,Non_Water,Wetland,NULL
328,Wetland,Wetland,Non_Water,Wetland,Grassland
329,Wetland,Wetland,Non_Water,Wetland,Wetland
330,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
331,Wetland,Wetland,Non_Water,Wetland,Bareland
332,Wetland,Wetland,Non_Water,Wetland,Built-up
333,Wetland,Wetland,Non_Water,Wetland,Water
334,Wetland,Wetland,Non_Water,Wetland,Forest
335,Wetland,Wetland,Water,Wetland,NULL
336,Wetland,Wetland,Water,Wetland,Grassland
337,Wetland,Wetland,Water,Wetland,Wetland
338,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
339,Wetland,Wetland,Water,Wetland,Bareland
340,Wetland,Wetland,Water,Wetland,Built-up
341,Wetland,Wetland,Water,Wetland,Water
342,Wetland,Wetland,Water,Wetland,Forest
343,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
344,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
345,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
346,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
347,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
348,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
349,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
350,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
351,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
352,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
353,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
354,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
355,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Cropland
356,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
357,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
358,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
359,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
360,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Forest
361,Wetland,Bareland,NULL,Non_Wetland,NULL
362,Wetland,Bareland,NULL,Non_Wetland,Grassland
363,Wetland,Bareland,NULL,Non_Wetland,Cropland
364,Wetland,Bareland,NULL,Non_Wetland,Wetland
365,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
366,Wetland,Bareland,NULL,Non_Wetland,Bareland
367,Wetland,Bareland,NULL,Non_Wetland,Built-up
368,Wetland,Bareland,NULL,Non_Wetland,Water
369,Wetland,Bareland,NULL,Non_Wetland,Permanent_ice_and_snow
370,Wetland,Bareland,NULL,Non_Wetland,Forest
371,Wetland,Bareland,Non_Water,Non_Wetland,NULL
372,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
373,Wetland,Bareland,Non_Water,Non_Wetland,Cropland
374,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
375,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
376,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
377,Wetland,Bareland,Non_Water,Non_Wetland,Built-up
378,Wetland,Bareland,Non_Water,Non_Wetland,Water
379,Wetland,Bareland,Non_Water,Non_Wetland,Forest
380,Wetland,Bareland,Water,Non_Wetland,NULL
381,Wetland,Bareland,Water,Non_Wetland,Grassland
382,Wetland,Bareland,Water,Non_Wetland,Cropland
383,Wetland,Bareland,Water,Non_Wetland,Wetland
384,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
385,Wetland,Bareland,Water,Non_Wetland,Bareland
386,Wetland,Bareland,Water,Non_Wetland,Built-up
387,Wetland,Bareland,Water,Non_Wetland,Water
388,Wetland,Bareland,Water,Non_Wetland,Forest
389,Wetland,Built-up,NULL,Non_Wetland,NULL
390,Wetland,Built-up,NULL,Non_Wetland,Grassland
391,Wetland,Built-up,NULL,Non_Wetland,Wetland
392,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
393,Wetland,Built-up,NULL,Non_Wetland,Bareland
394,Wetland,Built-up,NULL,Non_Wetland,Built-up
395,Wetland,Built-up,NULL,Non_Wetland,Water
396,Wetland,Built-up,NULL,Non_Wetland,Forest
397,Wetland,Built-up,Non_Water,Non_Wetland,Grassland
398,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
399,Wetland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
400,Wetland,Built-up,Non_Water,Non_Wetland,Bareland
401,Wetland,Built-up,Non_Water,Non_Wetland,Built-up
402,Wetland,Built-up,Non_Water,Non_Wetland,Water
403,Wetland,Built-up,Non_Water,Non_Wetland,Forest
404,Wetland,Built-up,Water,Non_Wetland,Grassland
405,Wetland,Built-up,Water,Non_Wetland,Cropland
406,Wetland,Built-up,Water,Non_Wetland,Wetland
407,Wetland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
408,Wetland,Built-up,Water,Non_Wetland,Bareland
409,Wetland,Built-up,Water,Non_Wetland,Built-up
410,Wetland,Built-up,Water,Non_Wetland,Water
411,Wetland,Built-up,Water,Non_Wetland,Forest
412,Wetland,Water,NULL,Water,NULL
413,Wetland,Water,NULL,Water,Grassland
414,Wetland,Water,NULL,Water,Wetland
415,Wetland,Water,NULL,Water,Lichens_and_Mosses
416,Wetland,Water,NULL,Water,Bareland
417,Wetland,Water,NULL,Water,Water
418,Wetland,Water,NULL,Water,Forest
419,Wetland,Water,Non_Water,Water,NULL
420,Wetland,Water,Non_Water,Water,Grassland
421,Wetland,Water,Non_Water,Water,Wetland
422,Wetland,Water,Non_Water,Water,Lichens_and_Mosses
423,Wetland,Water,Non_Water,Water,Bareland
424,Wetland,Water,Non_Water,Water,Built-up
425,Wetland,Water,Non_Water,Water,Water
426,Wetland,Water,Non_Water,Water,Forest
427,Wetland,Water,Water,Water,NULL
428,Wetland,Water,Water,Water,Grassland
429,Wetland,Water,Water,Water,Cropland
430,Wetland,Water,Water,Water,Wetland
431,Wetland,Water,Water,Water,Lichens_and_Mosses
432,Wetland,Water,Water,Water,Bareland
433,Wetland,Water,Water,Water,Built-up
434,Wetland,Water,Water,Water,Water
435,Wetland,Water,Water,Water,Forest
436,Wetland,Forest,NULL,Non_Wetland,NULL
437,Wetland,Forest,NULL,Non_Wetland,Grassland
438,Wetland,Forest,NULL,Non_Wetland,Wetland
439,Wetland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
440,Wetland,Forest,NULL,Non_Wetland,Bareland
441,Wetland,Forest,NULL,Non_Wetland,Built-up
442,Wetland,Forest,NULL,Non_Wetland,Water
443,Wetland,Forest,NULL,Non_Wetland,Forest
444,Wetland,Forest,Non_Water,Non_Wetland,NULL
445,Wetland,Forest,Non_Water,Non_Wetland,Grassland
446,Wetland,Forest,Non_Water,Non_Wetland,Wetland
447,Wetland,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
448,Wetland,Forest,Non_Water,Non_Wetland,Bareland
449,Wetland,Forest,Non_Water,Non_Wetland,Built-up
450,Wetland,Forest,Non_Water,Non_Wetland,Water
451,Wetland,Forest,Non_Water,Non_Wetland,Forest
452,Wetland,Forest,Water,Non_Wetland,NULL
453,Wetland,Forest,Water,Non_Wetland,Grassland
454,Wetland,Forest,Water,Non_Wetland,Wetland
455,Wetland,Forest,Water,Non_Wetland,Lichens_and_Mosses
456,Wetland,Forest,Water,Non_Wetland,Bareland
457,Wetland,Forest,Water,Non_Wetland,Built-up
458,Wetland,Forest,Water,Non_Wetland,Water
459,Wetland,Forest,Water,Non_Wetland,Forest
460,Bareland,NULL,NULL,Non_Wetland,Wetland
461,Bareland,NULL,NULL,Non_Wetland,Bareland
462,Bareland,NULL,NULL,Non_Wetland,Forest
463,Bareland,Shrubland,NULL,Non_Wetland,Grassland
464,Bareland,Shrubland,NULL,Non_Wetland,Wetland
465,Bareland,Shrubland,NULL,Non_Wetland,Bareland
466,Bareland,Shrubland,NULL,Non_Wetland,Built-up
467,Bareland,Shrubland,NULL,Non_Wetland,Forest
468,Bareland,Shrubland,Non_Water,Non_Wetland,Forest
469,Bareland,Grassland,NULL,Non_Wetland,Grassland
470,Bareland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
471,Bareland,Grassland,NULL,Non_Wetland,Bareland
472,Bareland,Grassland,NULL,Non_Wetland,Built-up
473,Bareland,Grassland,NULL,Non_Wetland,Forest
474,Bareland,Wetland,NULL,Wetland,NULL
475,Bareland,Wetland,NULL,Wetland,Grassland
476,Bareland,Wetland,NULL,Wetland,Wetland
477,Bareland,Wetland,NULL,Wetland,Bareland
478,Bareland,Wetland,NULL,Wetland,Built-up
479,Bareland,Wetland,NULL,Wetland,Water
480,Bareland,Wetland,NULL,Wetland,Forest
481,Bareland,Wetland,Non_Water,Wetland,Grassland
