Value,SIBERIA_2024_ESRI_Annual_LULC_2024_42VUM_M_R,SIBERIA_2024_GLC_FCS30D_2022_42VUM_M_R,SIBERIA_2024_GSW_Yearly_2021_42VUM_M_R,SIBERIA_2024_GWL_FCS30D_2022_42VUM_M_R,SIBERIA_2024_WorldCover_2021_42VUM_M_R
264,Cropland,Forest,NULL,Non_Wetland,Wetland
265,Cropland,Forest,NULL,Non_Wetland,Built-up
266,Cropland,Forest,NULL,Non_Wetland,Forest
267,Cropland,Forest,Non_Water,Non_Wetland,Grassland
268,Cropland,Forest,Non_Water,Non_Wetland,Wetland
269,Cropland,Forest,Water,Non_Wetland,Grassland
270,Cropland,Forest,Water,Non_Wetland,Wetland
271,Wetland,NULL,NULL,Non_Wetland,NULL
272,Wetland,NULL,NULL,Non_Wetland,Grassland
273,Wetland,NULL,NULL,Non_Wetland,Cropland
274,Wetland,NULL,NULL,Non_Wetland,Wetland
275,Wetland,NULL,NULL,Non_Wetland,Lichens_and_Mosses
276,Wetland,NULL,NULL,Non_Wetland,Water
277,Wetland,NULL,NULL,Non_Wetland,Forest
278,Wetland,NULL,Non_Water,Non_Wetland,Grassland
279,Wetland,NULL,Non_Water,Non_Wetland,Cropland
280,Wetland,NULL,Non_Water,Non_Wetland,Wetland
281,Wetland,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
282,Wetland,NULL,Non_Water,Non_Wetland,Water
283,Wetland,NULL,Non_Water,Non_Wetland,Forest
284,Wetland,NULL,Water,Non_Wetland,Grassland
285,Wetland,NULL,Water,Non_Wetland,Cropland
286,Wetland,NULL,Water,Non_Wetland,Wetland
287,Wetland,NULL,Water,Non_Wetland,Lichens_and_Mosses
288,Wetland,NULL,Water,Non_Wetland,Water
289,Wetland,NULL,Water,Non_Wetland,Forest
290,Wetland,Shrubland,NULL,Non_Wetland,NULL
291,Wetland,Shrubland,NULL,Non_Wetland,Grassland
292,Wetland,Shrubland,NULL,Non_Wetland,Cropland
293,Wetland,Shrubland,NULL,Non_Wetland,Wetland
294,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
295,Wetland,Shrubland,NULL,Non_Wetland,Built-up
296,Wetland,Shrubland,NULL,Non_Wetland,Water
297,Wetland,Shrubland,NULL,Non_Wetland,Forest
298,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
299,Wetland,Shrubland,Non_Water,Non_Wetland,Cropland
300,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
301,Wetland,Shrubland,Non_Water,Non_Wetland,Water
302,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
303,Wetland,Shrubland,Water,Non_Wetland,Grassland
304,Wetland,Shrubland,Water,Non_Wetland,Cropland
305,Wetland,Shrubland,Water,Non_Wetland,Wetland
306,Wetland,Shrubland,Water,Non_Wetland,Water
307,Wetland,Shrubland,Water,Non_Wetland,Forest
308,Wetland,Grassland,NULL,Non_Wetland,Grassland
309,Wetland,Grassland,NULL,Non_Wetland,Wetland
310,Wetland,Grassland,NULL,Non_Wetland,Forest
311,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
312,Wetland,Grassland,Non_Water,Non_Wetland,Cropland
313,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
314,Wetland,Grassland,Water,Non_Wetland,Grassland
315,Wetland,Grassland,Water,Non_Wetland,Wetland
316,Wetland,Cropland,NULL,Non_Wetland,NULL
317,Wetland,Cropland,NULL,Non_Wetland,Grassland
318,Wetland,Cropland,NULL,Non_Wetland,Cropland
319,Wetland,Cropland,NULL,Non_Wetland,Wetland
320,Wetland,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
321,Wetland,Cropland,NULL,Non_Wetland,Bareland
322,Wetland,Cropland,NULL,Non_Wetland,Built-up
323,Wetland,Cropland,NULL,Non_Wetland,Water
324,Wetland,Cropland,NULL,Non_Wetland,Forest
325,Wetland,Cropland,Non_Water,Non_Wetland,Grassland
326,Wetland,Cropland,Non_Water,Non_Wetland,Cropland
327,Wetland,Cropland,Non_Water,Non_Wetland,Wetland
328,Wetland,Cropland,Non_Water,Non_Wetland,Lichens_and_Mosses
329,Wetland,Cropland,Non_Water,Non_Wetland,Water
330,Wetland,Cropland,Non_Water,Non_Wetland,Forest
331,Wetland,Cropland,Water,Non_Wetland,Grassland
332,Wetland,Cropland,Water,Non_Wetland,Cropland
333,Wetland,Cropland,Water,Non_Wetland,Wetland
334,Wetland,Cropland,Water,Non_Wetland,Lichens_and_Mosses
335,Wetland,Cropland,Water,Non_Wetland,Bareland
336,Wetland,Cropland,Water,Non_Wetland,Water
337,Wetland,Cropland,Water,Non_Wetland,Forest
338,Wetland,Wetland,NULL,Wetland,NULL
339,Wetland,Wetland,NULL,Wetland,Grassland
340,Wetland,Wetland,NULL,Wetland,Cropland
341,Wetland,Wetland,NULL,Wetland,Wetland
342,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
343,Wetland,Wetland,NULL,Wetland,Bareland
344,Wetland,Wetland,NULL,Wetland,Water
345,Wetland,Wetland,NULL,Wetland,Forest
346,Wetland,Wetland,Non_Water,Wetland,NULL
347,Wetland,Wetland,Non_Water,Wetland,Grassland
348,Wetland,Wetland,Non_Water,Wetland,Cropland
349,Wetland,Wetland,Non_Water,Wetland,Wetland
350,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
351,Wetland,Wetland,Non_Water,Wetland,Bareland
352,Wetland,Wetland,Non_Water,Wetland,Water
353,Wetland,Wetland,Non_Water,Wetland,Forest
354,Wetland,Wetland,Water,Wetland,NULL
355,Wetland,Wetland,Water,Wetland,Grassland
356,Wetland,Wetland,Water,Wetland,Cropland
357,Wetland,Wetland,Water,Wetland,Wetland
358,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
359,Wetland,Wetland,Water,Wetland,Bareland
360,Wetland,Wetland,Water,Wetland,Water
361,Wetland,Wetland,Water,Wetland,Forest
362,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
363,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
364,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
365,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
366,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
367,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
368,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
369,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Forest
370,Wetland,Bareland,NULL,Non_Wetland,NULL
371,Wetland,Bareland,NULL,Non_Wetland,Grassland
372,Wetland,Bareland,NULL,Non_Wetland,Cropland
373,Wetland,Bareland,NULL,Non_Wetland,Wetland
374,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
375,Wetland,Bareland,NULL,Non_Wetland,Built-up
376,Wetland,Bareland,NULL,Non_Wetland,Water
377,Wetland,Bareland,NULL,Non_Wetland,Forest
378,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
379,Wetland,Bareland,Non_Water,Non_Wetland,Cropland
380,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
381,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
382,Wetland,Bareland,Non_Water,Non_Wetland,Water
383,Wetland,Bareland,Non_Water,Non_Wetland,Forest
384,Wetland,Bareland,Water,Non_Wetland,Grassland
385,Wetland,Bareland,Water,Non_Wetland,Cropland
386,Wetland,Bareland,Water,Non_Wetland,Wetland
387,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
388,Wetland,Bareland,Water,Non_Wetland,Water
389,Wetland,Bareland,Water,Non_Wetland,Forest
390,Wetland,Built-up,NULL,Non_Wetland,Grassland
391,Wetland,Built-up,NULL,Non_Wetland,Cropland
392,Wetland,Built-up,NULL,Non_Wetland,Wetland
393,Wetland,Built-up,NULL,Non_Wetland,Bareland
394,Wetland,Built-up,NULL,Non_Wetland,Built-up
395,Wetland,Built-up,NULL,Non_Wetland,Water
396,Wetland,Built-up,NULL,Non_Wetland,Forest
397,Wetland,Built-up,Non_Water,Non_Wetland,Grassland
398,Wetland,Built-up,Non_Water,Non_Wetland,Cropland
399,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
400,Wetland,Built-up,Non_Water,Non_Wetland,Built-up
401,Wetland,Built-up,Non_Water,Non_Wetland,Water
402,Wetland,Built-up,Non_Water,Non_Wetland,Forest
403,Wetland,Built-up,Water,Non_Wetland,Grassland
404,Wetland,Built-up,Water,Non_Wetland,Cropland
405,Wetland,Built-up,Water,Non_Wetland,Wetland
406,Wetland,Built-up,Water,Non_Wetland,Bareland
407,Wetland,Built-up,Water,Non_Wetland,Water
408,Wetland,Built-up,Water,Non_Wetland,Forest
409,Wetland,Water,NULL,Water,NULL
410,Wetland,Water,NULL,Water,Grassland
411,Wetland,Water,NULL,Water,Cropland
412,Wetland,Water,NULL,Water,Wetland
413,Wetland,Water,NULL,Water,Lichens_and_Mosses
414,Wetland,Water,NULL,Water,Built-up
415,Wetland,Water,NULL,Water,Water
416,Wetland,Water,NULL,Water,Forest
417,Wetland,Water,Non_Water,Water,Grassland
418,Wetland,Water,Non_Water,Water,Cropland
419,Wetland,Water,Non_Water,Water,Wetland
420,Wetland,Water,Non_Water,Water,Lichens_and_Mosses
421,Wetland,Water,Non_Water,Water,Bareland
422,Wetland,Water,Non_Water,Water,Water
423,Wetland,Water,Non_Water,Water,Forest
424,Wetland,Water,Water,Water,NULL
425,Wetland,Water,Water,Water,Grassland
426,Wetland,Water,Water,Water,Cropland
427,Wetland,Water,Water,Water,Wetland
428,Wetland,Water,Water,Water,Lichens_and_Mosses
429,Wetland,Water,Water,Water,Bareland
430,Wetland,Water,Water,Water,Water
431,Wetland,Water,Water,Water,Forest
432,Wetland,Forest,NULL,Non_Wetland,NULL
433,Wetland,Forest,NULL,Non_Wetland,Grassland
434,Wetland,Forest,NULL,Non_Wetland,Cropland
435,Wetland,Forest,NULL,Non_Wetland,Wetland
436,Wetland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
437,Wetland,Forest,NULL,Non_Wetland,Water
438,Wetland,Forest,NULL,Non_Wetland,Forest
439,Wetland,Forest,Non_Water,Non_Wetland,NULL
440,Wetland,Forest,Non_Water,Non_Wetland,Grassland
441,Wetland,Forest,Non_Water,Non_Wetland,Cropland
442,Wetland,Forest,Non_Water,Non_Wetland,Wetland
443,Wetland,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
444,Wetland,Forest,Non_Water,Non_Wetland,Water
445,Wetland,Forest,Non_Water,Non_Wetland,Forest
446,Wetland,Forest,Water,Non_Wetland,Grassland
447,Wetland,Forest,Water,Non_Wetland,Cropland
448,Wetland,Forest,Water,Non_Wetland,Wetland
449,Wetland,Forest,Water,Non_Wetland,Lichens_and_Mosses
450,Wetland,Forest,Water,Non_Wetland,Bareland
451,Wetland,Forest,Water,Non_Wetland,Water
452,Wetland,Forest,Water,Non_Wetland,Forest
453,Bareland,NULL,NULL,Non_Wetland,Forest
454,Bareland,NULL,Non_Water,Non_Wetland,Grassland
455,Bareland,NULL,Water,Non_Wetland,Forest
456,Bareland,Cropland,NULL,Non_Wetland,Grassland
457,Bareland,Cropland,NULL,Non_Wetland,Cropland
458,Bareland,Cropland,NULL,Non_Wetland,Bareland
459,Bareland,Cropland,NULL,Non_Wetland,Built-up
460,Bareland,Cropland,NULL,Non_Wetland,Forest
461,Bareland,Cropland,Non_Water,Non_Wetland,Grassland
462,Bareland,Cropland,Non_Water,Non_Wetland,Water
463,Bareland,Wetland,NULL,Wetland,Grassland
464,Bareland,Wetland,NULL,Wetland,Wetland
465,Bareland,Wetland,NULL,Wetland,Bareland
466,Bareland,Wetland,NULL,Wetland,Water
467,Bareland,Wetland,NULL,Wetland,Forest
468,Bareland,Wetland,Non_Water,Wetland,NULL
469,Bareland,Wetland,Non_Water,Wetland,Grassland
470,Bareland,Wetland,Non_Water,Wetland,Wetland
471,Bareland,Wetland,Non_Water,Wetland,Water
472,Bareland,Wetland,Non_Water,Wetland,Forest
473,Bareland,Wetland,Water,Wetland,Grassland
474,Bareland,Wetland,Water,Wetland,Wetland
475,Bareland,Wetland,Water,Wetland,Bareland
476,Bareland,Wetland,Water,Wetland,Water
477,Bareland,Wetland,Water,Wetland,Forest
478,Bareland,Bareland,NULL,Non_Wetland,Grassland
479,Bareland,Bareland,NULL,Non_Wetland,Wetland
480,Bareland,Bareland,NULL,Non_Wetland,Bareland
481,Bareland,Bareland,NULL,Non_Wetland,Built-up
482,Bareland,Bareland,NULL,Non_Wetland,Forest
483,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
484,Bareland,Bareland,Water,Non_Wetland,Water
