Value,SIBERIA_2024_ESRI_Annual_LULC_2024_45WWQ_M_R,SIBERIA_2024_GLC_FCS30D_2022_45WWQ_M_R,SIBERIA_2024_GSW_Yearly_2021_45WWQ_M_R,SIBERIA_2024_GWL_FCS30D_2022_45WWQ_M_R,SIBERIA_2024_WorldCover_2021_45WWQ_M_R
257,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
258,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
259,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
260,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
261,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
262,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
263,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
264,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
265,Wetland,Bareland,NULL,Non_Wetland,Grassland
266,Wetland,Bareland,NULL,Non_Wetland,Wetland
267,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
268,Wetland,Bareland,NULL,Non_Wetland,Bareland
269,Wetland,Bareland,NULL,Non_Wetland,Water
270,Wetland,Bareland,NULL,Non_Wetland,Forest
271,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
272,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
273,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
274,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
275,Wetland,Bareland,Non_Water,Non_Wetland,Water
276,Wetland,Bareland,Non_Water,Non_Wetland,Forest
277,Wetland,Bareland,Water,Non_Wetland,Grassland
278,Wetland,Bareland,Water,Non_Wetland,Wetland
279,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
280,Wetland,Bareland,Water,Non_Wetland,Bareland
281,Wetland,Bareland,Water,Non_Wetland,Water
282,Wetland,Bareland,Water,Non_Wetland,Forest
283,Wetland,Built-up,NULL,Non_Wetland,Grassland
284,Wetland,Built-up,NULL,Non_Wetland,Wetland
285,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
286,Wetland,Built-up,NULL,Non_Wetland,Bareland
287,Wetland,Built-up,NULL,Non_Wetland,Water
288,Wetland,Built-up,NULL,Non_Wetland,Forest
289,Wetland,Built-up,Non_Water,Non_Wetland,Grassland
290,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
291,Wetland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
292,Wetland,Built-up,Non_Water,Non_Wetland,Bareland
293,Wetland,Built-up,Non_Water,Non_Wetland,Water
294,Wetland,Built-up,Non_Water,Non_Wetland,Forest
295,Wetland,Built-up,Water,Non_Wetland,Wetland
296,Wetland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
297,Wetland,Built-up,Water,Non_Wetland,Bareland
298,Wetland,Built-up,Water,Non_Wetland,Water
299,Wetland,Built-up,Water,Non_Wetland,Forest
300,Wetland,Water,NULL,Water,Grassland
301,Wetland,Water,NULL,Water,Wetland
302,Wetland,Water,NULL,Water,Lichens_and_Mosses
303,Wetland,Water,NULL,Water,Bareland
304,Wetland,Water,NULL,Water,Water
305,Wetland,Water,NULL,Water,Forest
306,Wetland,Water,Non_Water,Water,Grassland
307,Wetland,Water,Non_Water,Water,Wetland
308,Wetland,Water,Non_Water,Water,Lichens_and_Mosses
309,Wetland,Water,Non_Water,Water,Water
310,Wetland,Water,Non_Water,Water,Forest
311,Wetland,Water,Water,Water,Grassland
312,Wetland,Water,Water,Water,Wetland
313,Wetland,Water,Water,Water,Lichens_and_Mosses
314,Wetland,Water,Water,Water,Bareland
315,Wetland,Water,Water,Water,Water
316,Wetland,Water,Water,Water,Forest
317,Wetland,Forest,NULL,Non_Wetland,NULL
318,Wetland,Forest,NULL,Non_Wetland,Grassland
319,Wetland,Forest,NULL,Non_Wetland,Wetland
320,Wetland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
321,Wetland,Forest,NULL,Non_Wetland,Bareland
322,Wetland,Forest,NULL,Non_Wetland,Water
323,Wetland,Forest,NULL,Non_Wetland,Forest
324,Wetland,Forest,Non_Water,Non_Wetland,Grassland
325,Wetland,Forest,Non_Water,Non_Wetland,Wetland
326,Wetland,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
327,Wetland,Forest,Non_Water,Non_Wetland,Bareland
328,Wetland,Forest,Non_Water,Non_Wetland,Water
329,Wetland,Forest,Non_Water,Non_Wetland,Forest
330,Wetland,Forest,Water,Non_Wetland,Grassland
331,Wetland,Forest,Water,Non_Wetland,Wetland
332,Wetland,Forest,Water,Non_Wetland,Lichens_and_Mosses
333,Wetland,Forest,Water,Non_Wetland,Bareland
334,Wetland,Forest,Water,Non_Wetland,Water
335,Wetland,Forest,Water,Non_Wetland,Forest
336,Bareland,NULL,NULL,Non_Wetland,Grassland
337,Bareland,NULL,NULL,Non_Wetland,Wetland
338,Bareland,NULL,NULL,Non_Wetland,Bareland
339,Bareland,NULL,NULL,Non_Wetland,Water
340,Bareland,NULL,NULL,Non_Wetland,Forest
341,Bareland,NULL,Water,Non_Wetland,Forest
342,Bareland,Shrubland,NULL,Non_Wetland,Wetland
343,Bareland,Shrubland,NULL,Non_Wetland,Bareland
344,Bareland,Shrubland,NULL,Non_Wetland,Water
345,Bareland,Shrubland,NULL,Non_Wetland,Forest
346,Bareland,Shrubland,Non_Water,Non_Wetland,Water
347,Bareland,Shrubland,Water,Non_Wetland,Wetland
348,Bareland,Shrubland,Water,Non_Wetland,Bareland
349,Bareland,Shrubland,Water,Non_Wetland,Water
350,Bareland,Grassland,NULL,Non_Wetland,Grassland
351,Bareland,Grassland,NULL,Non_Wetland,Forest
352,Bareland,Grassland,Water,Non_Wetland,Forest
353,Bareland,Wetland,NULL,Wetland,Grassland
354,Bareland,Wetland,NULL,Wetland,Wetland
355,Bareland,Wetland,NULL,Wetland,Water
356,Bareland,Wetland,NULL,Wetland,Forest
357,Bareland,Wetland,Non_Water,Wetland,Bareland
358,Bareland,Wetland,Non_Water,Wetland,Water
359,Bareland,Wetland,Water,Wetland,Wetland
360,Bareland,Wetland,Water,Wetland,Bareland
361,Bareland,Wetland,Water,Wetland,Water
362,Bareland,Wetland,Water,Wetland,Forest
363,Bareland,Bareland,NULL,Non_Wetland,Grassland
364,Bareland,Bareland,NULL,Non_Wetland,Wetland
365,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
366,Bareland,Bareland,NULL,Non_Wetland,Bareland
367,Bareland,Bareland,NULL,Non_Wetland,Water
368,Bareland,Bareland,NULL,Non_Wetland,Forest
369,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
370,Bareland,Bareland,Non_Water,Non_Wetland,Water
371,Bareland,Bareland,Non_Water,Non_Wetland,Forest
372,Bareland,Bareland,Water,Non_Wetland,Wetland
373,Bareland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
374,Bareland,Bareland,Water,Non_Wetland,Bareland
375,Bareland,Bareland,Water,Non_Wetland,Water
376,Bareland,Built-up,NULL,Non_Wetland,Wetland
377,Bareland,Built-up,NULL,Non_Wetland,Bareland
378,Bareland,Built-up,NULL,Non_Wetland,Water
379,Bareland,Built-up,Water,Non_Wetland,Bareland
380,Bareland,Built-up,Water,Non_Wetland,Built-up
381,Bareland,Built-up,Water,Non_Wetland,Water
382,Bareland,Built-up,Water,Non_Wetland,Forest
383,Bareland,Water,NULL,Water,Wetland
384,Bareland,Water,NULL,Water,Bareland
385,Bareland,Water,NULL,Water,Water
386,Bareland,Water,NULL,Water,Forest
387,Bareland,Water,Non_Water,Water,Water
388,Bareland,Water,Non_Water,Water,Forest
389,Bareland,Water,Water,Water,Wetland
390,Bareland,Water,Water,Water,Bareland
391,Bareland,Water,Water,Water,Built-up
392,Bareland,Water,Water,Water,Water
393,Bareland,Water,Water,Water,Forest
394,Bareland,Forest,NULL,Non_Wetland,Grassland
395,Bareland,Forest,NULL,Non_Wetland,Wetland
396,Bareland,Forest,NULL,Non_Wetland,Bareland
397,Bareland,Forest,NULL,Non_Wetland,Water
398,Bareland,Forest,NULL,Non_Wetland,Forest
399,Bareland,Forest,Non_Water,Non_Wetland,Water
400,Bareland,Forest,Water,Non_Wetland,Wetland
401,Bareland,Forest,Water,Non_Wetland,Water
402,Bareland,Forest,Water,Non_Wetland,Forest
403,Built-up,NULL,NULL,Non_Wetland,Grassland
404,Built-up,NULL,NULL,Non_Wetland,Bareland
405,Built-up,NULL,NULL,Non_Wetland,Built-up
406,Built-up,NULL,NULL,Non_Wetland,Forest
407,Built-up,NULL,Non_Water,Non_Wetland,Bareland
408,Built-up,NULL,Non_Water,Non_Wetland,Forest
409,Built-up,Shrubland,NULL,Non_Wetland,Grassland
410,Built-up,Shrubland,NULL,Non_Wetland,Bareland
411,Built-up,Shrubland,NULL,Non_Wetland,Built-up
412,Built-up,Shrubland,NULL,Non_Wetland,Forest
413,Built-up,Grassland,NULL,Non_Wetland,Grassland
414,Built-up,Grassland,NULL,Non_Wetland,Bareland
415,Built-up,Grassland,NULL,Non_Wetland,Built-up
416,Built-up,Grassland,NULL,Non_Wetland,Forest
417,Built-up,Grassland,Non_Water,Non_Wetland,Forest
418,Built-up,Wetland,NULL,Wetland,Forest
419,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Forest
420,Built-up,Bareland,NULL,Non_Wetland,Grassland
421,Built-up,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
422,Built-up,Bareland,NULL,Non_Wetland,Bareland
423,Built-up,Bareland,NULL,Non_Wetland,Built-up
424,Built-up,Bareland,NULL,Non_Wetland,Forest
425,Built-up,Bareland,Non_Water,Non_Wetland,Bareland
426,Built-up,Bareland,Non_Water,Non_Wetland,Built-up
427,Built-up,Bareland,Non_Water,Non_Wetland,Forest
428,Built-up,Bareland,Water,Non_Wetland,Bareland
429,Built-up,Bareland,Water,Non_Wetland,Built-up
430,Built-up,Bareland,Water,Non_Wetland,Forest
431,Built-up,Built-up,NULL,Non_Wetland,Grassland
432,Built-up,Built-up,NULL,Non_Wetland,Bareland
433,Built-up,Built-up,NULL,Non_Wetland,Built-up
434,Built-up,Built-up,NULL,Non_Wetland,Water
435,Built-up,Built-up,NULL,Non_Wetland,Forest
436,Built-up,Built-up,Non_Water,Non_Wetland,Bareland
437,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
438,Built-up,Built-up,Non_Water,Non_Wetland,Forest
439,Built-up,Built-up,Water,Non_Wetland,Bareland
440,Built-up,Built-up,Water,Non_Wetland,Built-up
441,Built-up,Built-up,Water,Non_Wetland,Forest
442,Built-up,Forest,NULL,Non_Wetland,Grassland
443,Built-up,Forest,NULL,Non_Wetland,Bareland
444,Built-up,Forest,NULL,Non_Wetland,Built-up
445,Built-up,Forest,NULL,Non_Wetland,Forest
446,Built-up,Forest,Non_Water,Non_Wetland,Bareland
447,Built-up,Forest,Non_Water,Non_Wetland,Forest
448,Built-up,Forest,Water,Non_Wetland,Forest
449,Water,NULL,NULL,Non_Wetland,Grassland
450,Water,NULL,NULL,Non_Wetland,Wetland
451,Water,NULL,NULL,Non_Wetland,Lichens_and_Mosses
452,Water,NULL,NULL,Non_Wetland,Bareland
453,Water,NULL,NULL,Non_Wetland,Water
454,Water,NULL,NULL,Non_Wetland,Forest
455,Water,NULL,Non_Water,Non_Wetland,Grassland
456,Water,NULL,Non_Water,Non_Wetland,Wetland
457,Water,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
458,Water,NULL,Non_Water,Non_Wetland,Bareland
459,Water,NULL,Non_Water,Non_Wetland,Water
460,Water,NULL,Non_Water,Non_Wetland,Forest
461,Water,NULL,Water,Non_Wetland,Grassland
462,Water,NULL,Water,Non_Wetland,Wetland
463,Water,NULL,Water,Non_Wetland,Lichens_and_Mosses
464,Water,NULL,Water,Non_Wetland,Bareland
465,Water,NULL,Water,Non_Wetland,Water
466,Water,NULL,Water,Non_Wetland,Forest
467,Water,Shrubland,NULL,Non_Wetland,Grassland
468,Water,Shrubland,NULL,Non_Wetland,Wetland
469,Water,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
470,Water,Shrubland,NULL,Non_Wetland,Bareland
471,Water,Shrubland,NULL,Non_Wetland,Water
472,Water,Shrubland,NULL,Non_Wetland,Forest
473,Water,Shrubland,Non_Water,Non_Wetland,Grassland
474,Water,Shrubland,Non_Water,Non_Wetland,Wetland
475,Water,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
476,Water,Shrubland,Non_Water,Non_Wetland,Bareland
477,Water,Shrubland,Non_Water,Non_Wetland,Water
