Value,SIBERIA_2024_ESA_CALU_2024_41WPU_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_41WPU_M_R,SIBERIA_2024_GLC_FCS30D_2022_41WPU_M_R,SIBERIA_2024_GSW_Yearly_2021_41WPU_M_R,SIBERIA_2024_GWL_FCS30D_2022_41WPU_M_R,SIBERIA_2024_WorldCover_2021_41WPU_M_R
413,Wetland,Built-up,Bareland,Water,Non_Wetland,NULL
414,Wetland,Built-up,Built-up,NULL,Non_Wetland,NULL
415,Wetland,Built-up,Built-up,Non_Water,Non_Wetland,NULL
416,Wetland,Built-up,Built-up,Water,Non_Wetland,NULL
417,Wetland,Built-up,Water,NULL,Water,NULL
418,Wetland,Built-up,Water,Non_Water,Water,NULL
419,Wetland,Built-up,Water,Water,Water,NULL
420,Wetland,Water,Shrubland,NULL,Non_Wetland,NULL
421,Wetland,Water,Shrubland,Non_Water,Non_Wetland,NULL
422,Wetland,Water,Shrubland,Water,Non_Wetland,NULL
423,Wetland,Water,Grassland,NULL,Non_Wetland,NULL
424,Wetland,Water,Grassland,Non_Water,Non_Wetland,NULL
425,Wetland,Water,Grassland,Water,Non_Wetland,NULL
426,Wetland,Water,Wetland,NULL,NULL,NULL
427,Wetland,Water,Wetland,NULL,Wetland,NULL
428,Wetland,Water,Wetland,Non_Water,Wetland,NULL
429,Wetland,Water,Wetland,Water,NULL,NULL
430,Wetland,Water,Wetland,Water,Wetland,NULL
431,Wetland,Water,Lichens_and_Mosses,NULL,Non_Wetland,NULL
432,Wetland,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL
433,Wetland,Water,Lichens_and_Mosses,Water,Non_Wetland,NULL
434,Wetland,Water,Bareland,NULL,Non_Wetland,NULL
435,Wetland,Water,Bareland,Non_Water,Non_Wetland,NULL
436,Wetland,Water,Bareland,Water,Non_Wetland,NULL
437,Wetland,Water,Built-up,NULL,Non_Wetland,NULL
438,Wetland,Water,Built-up,Non_Water,Non_Wetland,NULL
439,Wetland,Water,Built-up,Water,Non_Wetland,NULL
440,Wetland,Water,Water,NULL,NULL,NULL
441,Wetland,Water,Water,NULL,Water,NULL
442,Wetland,Water,Water,Non_Water,Water,NULL
443,Wetland,Water,Water,Water,NULL,NULL
444,Wetland,Water,Water,Water,Water,NULL
445,Wetland,Water,Forest,Water,Non_Wetland,NULL
446,Wetland,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,NULL
447,Wetland,Permanent_ice_and_snow,Shrubland,Non_Water,Non_Wetland,NULL
448,Wetland,Permanent_ice_and_snow,Shrubland,Water,Non_Wetland,NULL
449,Wetland,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,NULL
450,Wetland,Permanent_ice_and_snow,Grassland,Water,Non_Wetland,NULL
451,Wetland,Permanent_ice_and_snow,Wetland,NULL,Wetland,NULL
452,Wetland,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,NULL
453,Wetland,Permanent_ice_and_snow,Wetland,Water,Wetland,NULL
454,Wetland,Permanent_ice_and_snow,Lichens_and_Mosses,NULL,Non_Wetland,NULL
455,Wetland,Permanent_ice_and_snow,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL
456,Wetland,Permanent_ice_and_snow,Lichens_and_Mosses,Water,Non_Wetland,NULL
457,Wetland,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,NULL
458,Wetland,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,NULL
459,Wetland,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,NULL
460,Wetland,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,NULL
461,Wetland,Permanent_ice_and_snow,Built-up,Non_Water,Non_Wetland,NULL
462,Wetland,Permanent_ice_and_snow,Built-up,Water,Non_Wetland,NULL
463,Wetland,Permanent_ice_and_snow,Water,NULL,Water,NULL
464,Wetland,Permanent_ice_and_snow,Water,Water,Water,NULL
465,Wetland,Forest,Shrubland,NULL,Non_Wetland,NULL
466,Wetland,Forest,Shrubland,Non_Water,Non_Wetland,NULL
467,Wetland,Forest,Shrubland,Water,Non_Wetland,NULL
468,Wetland,Forest,Grassland,NULL,Non_Wetland,NULL
469,Wetland,Forest,Wetland,NULL,Wetland,NULL
470,Wetland,Forest,Wetland,Non_Water,Wetland,NULL
471,Wetland,Forest,Wetland,Water,Wetland,NULL
472,Wetland,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL
473,Wetland,Forest,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL
474,Wetland,Forest,Lichens_and_Mosses,Water,Non_Wetland,NULL
475,Wetland,Forest,Bareland,NULL,Non_Wetland,NULL
476,Wetland,Forest,Bareland,Non_Water,Non_Wetland,NULL
477,Wetland,Forest,Bareland,Water,Non_Wetland,NULL
478,Wetland,Forest,Built-up,NULL,Non_Wetland,NULL
479,Wetland,Forest,Built-up,Non_Water,Non_Wetland,NULL
480,Wetland,Forest,Built-up,Water,Non_Wetland,NULL
481,Wetland,Forest,Water,NULL,Water,NULL
482,Wetland,Forest,Water,Non_Water,Water,NULL
483,Wetland,Forest,Water,Water,Water,NULL
484,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL
485,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
486,Bareland,NULL,Shrubland,Water,Non_Wetland,NULL
487,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL
488,Bareland,NULL,Grassland,Non_Water,Non_Wetland,NULL
489,Bareland,NULL,Grassland,Water,Non_Wetland,NULL
490,Bareland,NULL,Wetland,NULL,NULL,NULL
491,Bareland,NULL,Wetland,NULL,Wetland,NULL
492,Bareland,NULL,Wetland,Non_Water,NULL,NULL
493,Bareland,NULL,Wetland,Non_Water,Wetland,NULL
494,Bareland,NULL,Wetland,Water,NULL,NULL
495,Bareland,NULL,Wetland,Water,Wetland,NULL
496,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
497,Bareland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL
498,Bareland,NULL,Lichens_and_Mosses,Water,Non_Wetland,NULL
499,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL
500,Bareland,NULL,Bareland,Non_Water,Non_Wetland,NULL
501,Bareland,NULL,Bareland,Water,Non_Wetland,NULL
502,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL
503,Bareland,NULL,Built-up,Non_Water,Non_Wetland,NULL
504,Bareland,NULL,Built-up,Water,Non_Wetland,NULL
505,Bareland,NULL,Water,NULL,NULL,NULL
506,Bareland,NULL,Water,NULL,Water,NULL
507,Bareland,NULL,Water,Non_Water,Water,NULL
508,Bareland,NULL,Water,Water,NULL,NULL
509,Bareland,NULL,Water,Water,Water,NULL
510,Bareland,NULL,Forest,NULL,Non_Wetland,NULL
511,Bareland,Cropland,Grassland,NULL,Non_Wetland,NULL
512,Bareland,Cropland,Wetland,NULL,Wetland,NULL
513,Bareland,Cropland,Wetland,Water,Wetland,NULL
514,Bareland,Cropland,Bareland,NULL,Non_Wetland,NULL
515,Bareland,Cropland,Built-up,NULL,Non_Wetland,NULL
516,Bareland,Cropland,Water,Water,Water,NULL
517,Bareland,Wetland,Shrubland,NULL,Non_Wetland,NULL
518,Bareland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
519,Bareland,Wetland,Shrubland,Water,Non_Wetland,NULL
520,Bareland,Wetland,Grassland,NULL,Non_Wetland,NULL
521,Bareland,Wetland,Grassland,Non_Water,Non_Wetland,NULL
522,Bareland,Wetland,Grassland,Water,Non_Wetland,NULL
523,Bareland,Wetland,Wetland,NULL,NULL,NULL
524,Bareland,Wetland,Wetland,NULL,Wetland,NULL
525,Bareland,Wetland,Wetland,Non_Water,NULL,NULL
526,Bareland,Wetland,Wetland,Non_Water,Wetland,NULL
527,Bareland,Wetland,Wetland,Water,NULL,NULL
528,Bareland,Wetland,Wetland,Water,Wetland,NULL
529,Bareland,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
530,Bareland,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL
531,Bareland,Wetland,Lichens_and_Mosses,Water,Non_Wetland,NULL
532,Bareland,Wetland,Bareland,NULL,Non_Wetland,NULL
533,Bareland,Wetland,Bareland,Non_Water,Non_Wetland,NULL
534,Bareland,Wetland,Bareland,Water,Non_Wetland,NULL
535,Bareland,Wetland,Built-up,NULL,Non_Wetland,NULL
536,Bareland,Wetland,Built-up,Non_Water,Non_Wetland,NULL
537,Bareland,Wetland,Built-up,Water,Non_Wetland,NULL
538,Bareland,Wetland,Water,NULL,NULL,NULL
539,Bareland,Wetland,Water,NULL,Water,NULL
540,Bareland,Wetland,Water,Non_Water,NULL,NULL
541,Bareland,Wetland,Water,Non_Water,Water,NULL
542,Bareland,Wetland,Water,Water,NULL,NULL
543,Bareland,Wetland,Water,Water,Water,NULL
544,Bareland,Wetland,Forest,NULL,Non_Wetland,NULL
545,Bareland,Wetland,Forest,Non_Water,Non_Wetland,NULL
546,Bareland,Wetland,Forest,Water,Non_Wetland,NULL
547,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL
548,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,NULL
549,Bareland,Bareland,Shrubland,Water,Non_Wetland,NULL
550,Bareland,Bareland,Grassland,NULL,Non_Wetland,NULL
551,Bareland,Bareland,Grassland,Non_Water,Non_Wetland,NULL
552,Bareland,Bareland,Grassland,Water,Non_Wetland,NULL
553,Bareland,Bareland,Wetland,NULL,NULL,NULL
554,Bareland,Bareland,Wetland,NULL,Wetland,NULL
555,Bareland,Bareland,Wetland,Non_Water,NULL,NULL
556,Bareland,Bareland,Wetland,Non_Water,Wetland,NULL
557,Bareland,Bareland,Wetland,Water,NULL,NULL
558,Bareland,Bareland,Wetland,Water,Wetland,NULL
559,Bareland,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
560,Bareland,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL
561,Bareland,Bareland,Lichens_and_Mosses,Water,Non_Wetland,NULL
562,Bareland,Bareland,Bareland,NULL,Non_Wetland,NULL
563,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,NULL
564,Bareland,Bareland,Bareland,Water,Non_Wetland,NULL
565,Bareland,Bareland,Built-up,NULL,Non_Wetland,NULL
566,Bareland,Bareland,Built-up,Non_Water,Non_Wetland,NULL
567,Bareland,Bareland,Built-up,Water,Non_Wetland,NULL
568,Bareland,Bareland,Water,NULL,NULL,NULL
569,Bareland,Bareland,Water,NULL,Water,NULL
570,Bareland,Bareland,Water,Non_Water,NULL,NULL
571,Bareland,Bareland,Water,Non_Water,Water,NULL
572,Bareland,Bareland,Water,Water,NULL,NULL
573,Bareland,Bareland,Water,Water,Water,NULL
574,Bareland,Built-up,Shrubland,NULL,Non_Wetland,NULL
575,Bareland,Built-up,Shrubland,Non_Water,Non_Wetland,NULL
576,Bareland,Built-up,Shrubland,Water,Non_Wetland,NULL
577,Bareland,Built-up,Grassland,NULL,Non_Wetland,NULL
578,Bareland,Built-up,Grassland,Non_Water,Non_Wetland,NULL
579,Bareland,Built-up,Grassland,Water,Non_Wetland,NULL
580,Bareland,Built-up,Wetland,NULL,NULL,NULL
581,Bareland,Built-up,Wetland,NULL,Wetland,NULL
582,Bareland,Built-up,Wetland,Non_Water,NULL,NULL
583,Bareland,Built-up,Wetland,Non_Water,Wetland,NULL
584,Bareland,Built-up,Wetland,Water,NULL,NULL
585,Bareland,Built-up,Wetland,Water,Wetland,NULL
586,Bareland,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL
587,Bareland,Built-up,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL
588,Bareland,Built-up,Lichens_and_Mosses,Water,Non_Wetland,NULL
589,Bareland,Built-up,Bareland,NULL,Non_Wetland,NULL
590,Bareland,Built-up,Bareland,Non_Water,Non_Wetland,NULL
591,Bareland,Built-up,Bareland,Water,Non_Wetland,NULL
592,Bareland,Built-up,Built-up,NULL,Non_Wetland,NULL
593,Bareland,Built-up,Built-up,Non_Water,Non_Wetland,NULL
594,Bareland,Built-up,Built-up,Water,Non_Wetland,NULL
595,Bareland,Built-up,Water,NULL,Water,NULL
596,Bareland,Built-up,Water,Non_Water,Water,NULL
597,Bareland,Built-up,Water,Water,NULL,NULL
598,Bareland,Built-up,Water,Water,Water,NULL
599,Bareland,Built-up,Forest,Non_Water,Non_Wetland,NULL
600,Bareland,Water,Shrubland,NULL,Non_Wetland,NULL
601,Bareland,Water,Shrubland,Non_Water,Non_Wetland,NULL
602,Bareland,Water,Shrubland,Water,Non_Wetland,NULL
603,Bareland,Water,Grassland,NULL,Non_Wetland,NULL
604,Bareland,Water,Grassland,Non_Water,Non_Wetland,NULL
605,Bareland,Water,Grassland,Water,Non_Wetland,NULL
606,Bareland,Water,Wetland,NULL,NULL,NULL
607,Bareland,Water,Wetland,NULL,Wetland,NULL
608,Bareland,Water,Wetland,Non_Water,NULL,NULL
609,Bareland,Water,Wetland,Non_Water,Wetland,NULL
610,Bareland,Water,Wetland,Water,NULL,NULL
611,Bareland,Water,Wetland,Water,Wetland,NULL
612,Bareland,Water,Lichens_and_Mosses,NULL,Non_Wetland,NULL
613,Bareland,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL
614,Bareland,Water,Lichens_and_Mosses,Water,Non_Wetland,NULL
615,Bareland,Water,Bareland,NULL,Non_Wetland,NULL
616,Bareland,Water,Bareland,Non_Water,Non_Wetland,NULL
617,Bareland,Water,Bareland,Water,Non_Wetland,NULL
618,Bareland,Water,Built-up,NULL,Non_Wetland,NULL
619,Bareland,Water,Built-up,Non_Water,Non_Wetland,NULL
620,Bareland,Water,Built-up,Water,Non_Wetland,NULL
621,Bareland,Water,Water,NULL,NULL,NULL
622,Bareland,Water,Water,NULL,Water,NULL
623,Bareland,Water,Water,Non_Water,NULL,NULL
624,Bareland,Water,Water,Non_Water,Water,NULL
625,Bareland,Water,Water,Water,NULL,NULL
626,Bareland,Water,Water,Water,Water,NULL
627,Bareland,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,NULL
628,Bareland,Permanent_ice_and_snow,Shrubland,Non_Water,Non_Wetland,NULL
629,Bareland,Permanent_ice_and_snow,Shrubland,Water,Non_Wetland,NULL
630,Bareland,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,NULL
631,Bareland,Permanent_ice_and_snow,Grassland,Non_Water,Non_Wetland,NULL
632,Bareland,Permanent_ice_and_snow,Grassland,Water,Non_Wetland,NULL
633,Bareland,Permanent_ice_and_snow,Wetland,NULL,Wetland,NULL
634,Bareland,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,NULL
635,Bareland,Permanent_ice_and_snow,Wetland,Water,NULL,NULL
636,Bareland,Permanent_ice_and_snow,Wetland,Water,Wetland,NULL
637,Bareland,Permanent_ice_and_snow,Lichens_and_Mosses,NULL,Non_Wetland,NULL
638,Bareland,Permanent_ice_and_snow,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL
639,Bareland,Permanent_ice_and_snow,Lichens_and_Mosses,Water,Non_Wetland,NULL
640,Bareland,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,NULL
641,Bareland,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,NULL
642,Bareland,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,NULL
643,Bareland,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,NULL
644,Bareland,Permanent_ice_and_snow,Built-up,Non_Water,Non_Wetland,NULL
645,Bareland,Permanent_ice_and_snow,Built-up,Water,Non_Wetland,NULL
646,Bareland,Permanent_ice_and_snow,Water,NULL,Water,NULL
647,Bareland,Permanent_ice_and_snow,Water,Non_Water,Water,NULL
648,Bareland,Permanent_ice_and_snow,Water,Water,NULL,NULL
649,Bareland,Permanent_ice_and_snow,Water,Water,Water,NULL
650,Bareland,Forest,Shrubland,NULL,Non_Wetland,NULL
651,Bareland,Forest,Shrubland,Water,Non_Wetland,NULL
652,Bareland,Forest,Grassland,NULL,Non_Wetland,NULL
653,Bareland,Forest,Wetland,Non_Water,Wetland,NULL
654,Bareland,Forest,Wetland,Water,Wetland,NULL
655,Bareland,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL
656,Bareland,Forest,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL
657,Bareland,Forest,Lichens_and_Mosses,Water,Non_Wetland,NULL
658,Bareland,Forest,Bareland,NULL,Non_Wetland,NULL
659,Bareland,Forest,Bareland,Non_Water,Non_Wetland,NULL
660,Bareland,Forest,Bareland,Water,Non_Wetland,NULL
661,Bareland,Forest,Built-up,NULL,Non_Wetland,NULL
662,Bareland,Forest,Built-up,Non_Water,Non_Wetland,NULL
663,Water,NULL,Wetland,Water,Wetland,NULL
664,Water,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
665,Water,NULL,Bareland,NULL,Non_Wetland,NULL
666,Water,NULL,Water,Water,Water,NULL
667,Water,Wetland,Shrubland,NULL,Non_Wetland,NULL
668,Water,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
669,Water,Wetland,Shrubland,Water,Non_Wetland,NULL
670,Water,Wetland,Grassland,NULL,Non_Wetland,NULL
671,Water,Wetland,Wetland,NULL,Wetland,NULL
672,Water,Wetland,Wetland,Non_Water,Wetland,NULL
673,Water,Wetland,Wetland,Water,Wetland,NULL
674,Water,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
675,Water,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL
676,Water,Wetland,Lichens_and_Mosses,Water,Non_Wetland,NULL
677,Water,Wetland,Bareland,NULL,Non_Wetland,NULL
678,Water,Wetland,Bareland,Non_Water,Non_Wetland,NULL
679,Water,Wetland,Bareland,Water,Non_Wetland,NULL
680,Water,Wetland,Built-up,NULL,Non_Wetland,NULL
681,Water,Wetland,Built-up,Water,Non_Wetland,NULL
682,Water,Wetland,Water,NULL,Water,NULL
683,Water,Wetland,Water,Non_Water,Water,NULL
684,Water,Wetland,Water,Water,NULL,NULL
685,Water,Wetland,Water,Water,Water,NULL
686,Water,Wetland,Forest,NULL,Non_Wetland,NULL
687,Water,Bareland,Wetland,Water,NULL,NULL
688,Water,Bareland,Wetland,Water,Wetland,NULL
689,Water,Bareland,Lichens_and_Mosses,Water,Non_Wetland,NULL
690,Water,Bareland,Bareland,NULL,Non_Wetland,NULL
691,Water,Bareland,Bareland,Water,Non_Wetland,NULL
692,Water,Bareland,Water,Water,NULL,NULL
693,Water,Bareland,Water,Water,Water,NULL
694,Water,Built-up,Shrubland,NULL,Non_Wetland,NULL
695,Water,Built-up,Wetland,Water,Wetland,NULL
696,Water,Built-up,Bareland,NULL,Non_Wetland,NULL
697,Water,Built-up,Built-up,Water,Non_Wetland,NULL
698,Water,Built-up,Water,Water,Water,NULL
699,Water,Water,Shrubland,NULL,Non_Wetland,NULL
700,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL
701,Water,Water,Shrubland,Water,Non_Wetland,NULL
702,Water,Water,Grassland,NULL,Non_Wetland,NULL
703,Water,Water,Grassland,Water,Non_Wetland,NULL
704,Water,Water,Wetland,NULL,NULL,NULL
705,Water,Water,Wetland,NULL,Wetland,NULL
706,Water,Water,Wetland,Non_Water,Wetland,NULL
707,Water,Water,Wetland,Water,NULL,NULL
708,Water,Water,Wetland,Water,Wetland,NULL
709,Water,Water,Lichens_and_Mosses,NULL,Non_Wetland,NULL
710,Water,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL
711,Water,Water,Lichens_and_Mosses,Water,Non_Wetland,NULL
712,Water,Water,Bareland,NULL,Non_Wetland,NULL
713,Water,Water,Bareland,Non_Water,Non_Wetland,NULL
714,Water,Water,Bareland,Water,Non_Wetland,NULL
715,Water,Water,Built-up,NULL,Non_Wetland,NULL
716,Water,Water,Built-up,Water,Non_Wetland,NULL
717,Water,Water,Water,NULL,Water,NULL
718,Water,Water,Water,Non_Water,NULL,NULL
719,Water,Water,Water,Non_Water,Water,NULL
720,Water,Water,Water,Water,NULL,NULL
721,Water,Water,Water,Water,Water,NULL
722,Water,Permanent_ice_and_snow,Wetland,Water,Wetland,NULL
723,Water,Permanent_ice_and_snow,Water,Water,Water,NULL
724,Permanent_ice_and_snow,Wetland,Wetland,Water,Wetland,NULL
725,Permanent_ice_and_snow,Wetland,Bareland,Water,Non_Wetland,NULL
726,Permanent_ice_and_snow,Wetland,Water,Water,Water,NULL
727,Permanent_ice_and_snow,Water,Grassland,Water,Non_Wetland,NULL
728,Permanent_ice_and_snow,Water,Wetland,Non_Water,Wetland,NULL
729,Permanent_ice_and_snow,Water,Wetland,Water,NULL,NULL
730,Permanent_ice_and_snow,Water,Wetland,Water,Wetland,NULL
731,Permanent_ice_and_snow,Water,Lichens_and_Mosses,NULL,Non_Wetland,NULL
732,Permanent_ice_and_snow,Water,Lichens_and_Mosses,Water,Non_Wetland,NULL
733,Permanent_ice_and_snow,Water,Bareland,NULL,Non_Wetland,NULL
734,Permanent_ice_and_snow,Water,Bareland,Non_Water,Non_Wetland,NULL
735,Permanent_ice_and_snow,Water,Bareland,Water,Non_Wetland,NULL
736,Permanent_ice_and_snow,Water,Built-up,NULL,Non_Wetland,NULL
737,Permanent_ice_and_snow,Water,Built-up,Water,Non_Wetland,NULL
738,Permanent_ice_and_snow,Water,Water,NULL,Water,NULL
739,Permanent_ice_and_snow,Water,Water,Non_Water,Water,NULL
740,Permanent_ice_and_snow,Water,Water,Water,Water,NULL
741,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL
742,Forest,NULL,Shrubland,Non_Water,Non_Wetland,NULL
743,Forest,NULL,Shrubland,Water,Non_Wetland,NULL
744,Forest,NULL,Grassland,NULL,Non_Wetland,NULL
745,Forest,NULL,Grassland,Non_Water,Non_Wetland,NULL
746,Forest,NULL,Grassland,Water,Non_Wetland,NULL
747,Forest,NULL,Wetland,NULL,Wetland,NULL
748,Forest,NULL,Wetland,Non_Water,Wetland,NULL
749,Forest,NULL,Wetland,Water,Wetland,NULL
750,Forest,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
751,Forest,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL
752,Forest,NULL,Lichens_and_Mosses,Water,Non_Wetland,NULL
753,Forest,NULL,Bareland,NULL,Non_Wetland,NULL
754,Forest,NULL,Bareland,Non_Water,Non_Wetland,NULL
755,Forest,NULL,Bareland,Water,Non_Wetland,NULL
756,Forest,NULL,Built-up,NULL,Non_Wetland,NULL
757,Forest,NULL,Built-up,Non_Water,Non_Wetland,NULL
758,Forest,NULL,Built-up,Water,Non_Wetland,NULL
759,Forest,NULL,Water,NULL,Water,NULL
760,Forest,NULL,Water,Non_Water,Water,NULL
761,Forest,NULL,Water,Water,Water,NULL
762,Forest,NULL,Forest,NULL,Non_Wetland,NULL
763,Forest,NULL,Forest,Non_Water,Non_Wetland,NULL
764,Forest,NULL,Forest,Water,Non_Wetland,NULL
765,Forest,Wetland,Shrubland,NULL,Non_Wetland,NULL
766,Forest,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
767,Forest,Wetland,Shrubland,Water,Non_Wetland,NULL
768,Forest,Wetland,Grassland,NULL,Non_Wetland,NULL
769,Forest,Wetland,Grassland,Non_Water,Non_Wetland,NULL
770,Forest,Wetland,Grassland,Water,Non_Wetland,NULL
771,Forest,Wetland,Wetland,NULL,Wetland,NULL
772,Forest,Wetland,Wetland,Non_Water,Wetland,NULL
773,Forest,Wetland,Wetland,Water,Wetland,NULL
774,Forest,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
775,Forest,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL
776,Forest,Wetland,Lichens_and_Mosses,Water,Non_Wetland,NULL
777,Forest,Wetland,Bareland,NULL,Non_Wetland,NULL
778,Forest,Wetland,Bareland,Non_Water,Non_Wetland,NULL
779,Forest,Wetland,Bareland,Water,Non_Wetland,NULL
780,Forest,Wetland,Built-up,NULL,Non_Wetland,NULL
781,Forest,Wetland,Built-up,Non_Water,Non_Wetland,NULL
782,Forest,Wetland,Built-up,Water,Non_Wetland,NULL
783,Forest,Wetland,Water,NULL,Water,NULL
784,Forest,Wetland,Water,Non_Water,Water,NULL
785,Forest,Wetland,Water,Water,Water,NULL
786,Forest,Wetland,Forest,NULL,Non_Wetland,NULL
787,Forest,Wetland,Forest,Non_Water,Non_Wetland,NULL
788,Forest,Wetland,Forest,Water,Non_Wetland,NULL
789,Forest,Bareland,Water,Water,Water,NULL
790,Forest,Built-up,Shrubland,NULL,Non_Wetland,NULL
791,Forest,Built-up,Grassland,NULL,Non_Wetland,NULL
792,Forest,Built-up,Wetland,Non_Water,Wetland,NULL
793,Forest,Built-up,Wetland,Water,Wetland,NULL
794,Forest,Built-up,Bareland,NULL,Non_Wetland,NULL
795,Forest,Built-up,Bareland,Non_Water,Non_Wetland,NULL
796,Forest,Built-up,Built-up,NULL,Non_Wetland,NULL
797,Forest,Water,Shrubland,NULL,Non_Wetland,NULL
798,Forest,Water,Shrubland,Non_Water,Non_Wetland,NULL
799,Forest,Water,Shrubland,Water,Non_Wetland,NULL
800,Forest,Water,Grassland,NULL,Non_Wetland,NULL
801,Forest,Water,Grassland,Water,Non_Wetland,NULL
802,Forest,Water,Wetland,NULL,Wetland,NULL
803,Forest,Water,Wetland,Non_Water,Wetland,NULL
804,Forest,Water,Wetland,Water,Wetland,NULL
805,Forest,Water,Lichens_and_Mosses,NULL,Non_Wetland,NULL
806,Forest,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL
807,Forest,Water,Lichens_and_Mosses,Water,Non_Wetland,NULL
808,Forest,Water,Bareland,NULL,Non_Wetland,NULL
809,Forest,Water,Bareland,Non_Water,Non_Wetland,NULL
810,Forest,Water,Bareland,Water,Non_Wetland,NULL
811,Forest,Water,Built-up,NULL,Non_Wetland,NULL
812,Forest,Water,Water,NULL,Water,NULL
813,Forest,Water,Water,Non_Water,Water,NULL
814,Forest,Water,Water,Water,Water,NULL
815,Forest,Water,Forest,Water,Non_Wetland,NULL
816,Forest,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,NULL
817,Forest,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,NULL
818,Forest,Permanent_ice_and_snow,Grassland,Non_Water,Non_Wetland,NULL
819,Forest,Permanent_ice_and_snow,Lichens_and_Mosses,NULL,Non_Wetland,NULL
820,Forest,Permanent_ice_and_snow,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL
821,Forest,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,NULL
822,Forest,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,NULL
823,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL
824,Forest,Forest,Shrubland,Non_Water,Non_Wetland,NULL
825,Forest,Forest,Shrubland,Water,Non_Wetland,NULL
826,Forest,Forest,Grassland,NULL,Non_Wetland,NULL
827,Forest,Forest,Wetland,Water,Wetland,NULL
828,Forest,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL
829,Forest,Forest,Lichens_and_Mosses,Water,Non_Wetland,NULL
830,Forest,Forest,Bareland,NULL,Non_Wetland,NULL
831,Forest,Forest,Bareland,Non_Water,Non_Wetland,NULL
832,Forest,Forest,Bareland,Water,Non_Wetland,NULL
833,Forest,Forest,Water,Water,Water,NULL
