Value,SIBERIA_2024_ESA_CALU_2024_42WWD_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_42WWD_M_R,SIBERIA_2024_GLC_FCS30D_2022_42WWD_M_R,SIBERIA_2024_GSW_Yearly_2021_42WWD_M_R,SIBERIA_2024_GWL_FCS30D_2022_42WWD_M_R,SIBERIA_2024_WorldCover_2021_42WWD_M_R
108,NULL,NULL,Water,Non_Water,Water,Lichens_and_Mosses
109,NULL,NULL,Water,Non_Water,Water,Water
110,NULL,NULL,Water,Water,Water,Grassland
111,NULL,NULL,Water,Water,Water,Wetland
112,NULL,NULL,Water,Water,Water,Lichens_and_Mosses
113,NULL,NULL,Water,Water,Water,Bareland
114,NULL,NULL,Water,Water,Water,Water
115,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
116,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
117,NULL,NULL,Forest,NULL,Non_Wetland,Forest
118,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
119,NULL,NULL,Forest,Water,Non_Wetland,Wetland
120,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland
121,NULL,Wetland,NULL,NULL,Non_Wetland,Water
122,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
123,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
124,NULL,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
125,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland
126,NULL,Wetland,Shrubland,NULL,Non_Wetland,Water
127,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
128,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
129,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
130,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
131,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland
132,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Water
133,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland
134,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland
135,NULL,Wetland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
136,NULL,Wetland,Shrubland,Water,Non_Wetland,Bareland
137,NULL,Wetland,Shrubland,Water,Non_Wetland,Water
138,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
139,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland
140,NULL,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
141,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland
142,NULL,Wetland,Grassland,NULL,Non_Wetland,Water
143,NULL,Wetland,Grassland,NULL,Non_Wetland,Forest
144,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
145,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
146,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
147,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Bareland
148,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Water
149,NULL,Wetland,Grassland,Water,Non_Wetland,Grassland
150,NULL,Wetland,Grassland,Water,Non_Wetland,Wetland
151,NULL,Wetland,Grassland,Water,Non_Wetland,Lichens_and_Mosses
152,NULL,Wetland,Grassland,Water,Non_Wetland,Bareland
153,NULL,Wetland,Grassland,Water,Non_Wetland,Water
154,NULL,Wetland,Wetland,NULL,Wetland,Grassland
155,NULL,Wetland,Wetland,NULL,Wetland,Wetland
156,NULL,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
157,NULL,Wetland,Wetland,NULL,Wetland,Bareland
158,NULL,Wetland,Wetland,NULL,Wetland,Water
159,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland
160,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland
161,NULL,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
162,NULL,Wetland,Wetland,Non_Water,Wetland,Bareland
163,NULL,Wetland,Wetland,Non_Water,Wetland,Water
164,NULL,Wetland,Wetland,Water,Wetland,Grassland
165,NULL,Wetland,Wetland,Water,Wetland,Wetland
166,NULL,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
167,NULL,Wetland,Wetland,Water,Wetland,Bareland
168,NULL,Wetland,Wetland,Water,Wetland,Water
169,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
170,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
171,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
172,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
173,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
174,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
175,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
176,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
177,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
178,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
179,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
180,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
181,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
182,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
183,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
184,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
185,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Forest
186,NULL,Wetland,Bareland,NULL,Non_Wetland,Grassland
187,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland
188,NULL,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
189,NULL,Wetland,Bareland,NULL,Non_Wetland,Bareland
190,NULL,Wetland,Bareland,NULL,Non_Wetland,Water
191,NULL,Wetland,Bareland,NULL,Non_Wetland,Forest
192,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
193,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
194,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
195,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
196,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Water
197,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Forest
198,NULL,Wetland,Bareland,Water,Non_Wetland,Grassland
199,NULL,Wetland,Bareland,Water,Non_Wetland,Wetland
200,NULL,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
201,NULL,Wetland,Bareland,Water,Non_Wetland,Bareland
202,NULL,Wetland,Bareland,Water,Non_Wetland,Water
203,NULL,Wetland,Bareland,Water,Non_Wetland,Forest
204,NULL,Wetland,Built-up,NULL,Non_Wetland,Grassland
205,NULL,Wetland,Built-up,NULL,Non_Wetland,Wetland
206,NULL,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
207,NULL,Wetland,Built-up,NULL,Non_Wetland,Bareland
208,NULL,Wetland,Built-up,NULL,Non_Wetland,Water
209,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Grassland
210,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
211,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
212,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Bareland
213,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Water
214,NULL,Wetland,Built-up,Water,Non_Wetland,Grassland
215,NULL,Wetland,Built-up,Water,Non_Wetland,Wetland
216,NULL,Wetland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
217,NULL,Wetland,Built-up,Water,Non_Wetland,Bareland
218,NULL,Wetland,Built-up,Water,Non_Wetland,Water
219,NULL,Wetland,Water,NULL,Water,Grassland
220,NULL,Wetland,Water,NULL,Water,Wetland
221,NULL,Wetland,Water,NULL,Water,Lichens_and_Mosses
222,NULL,Wetland,Water,NULL,Water,Bareland
223,NULL,Wetland,Water,NULL,Water,Water
224,NULL,Wetland,Water,Non_Water,Water,Grassland
225,NULL,Wetland,Water,Non_Water,Water,Wetland
226,NULL,Wetland,Water,Non_Water,Water,Lichens_and_Mosses
227,NULL,Wetland,Water,Non_Water,Water,Bareland
228,NULL,Wetland,Water,Non_Water,Water,Water
229,NULL,Wetland,Water,Water,Water,Grassland
230,NULL,Wetland,Water,Water,Water,Wetland
231,NULL,Wetland,Water,Water,Water,Lichens_and_Mosses
232,NULL,Wetland,Water,Water,Water,Bareland
233,NULL,Wetland,Water,Water,Water,Water
234,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
235,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
236,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland
237,NULL,Wetland,Forest,Water,Non_Wetland,Wetland
238,NULL,Bareland,Shrubland,Water,Non_Wetland,Wetland
239,NULL,Bareland,Shrubland,Water,Non_Wetland,Bareland
240,NULL,Bareland,Grassland,Water,Non_Wetland,Lichens_and_Mosses
241,NULL,Bareland,Wetland,NULL,Wetland,Lichens_and_Mosses
242,NULL,Bareland,Wetland,NULL,Wetland,Bareland
243,NULL,Bareland,Wetland,NULL,Wetland,Water
244,NULL,Bareland,Wetland,Non_Water,Wetland,Wetland
245,NULL,Bareland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
246,NULL,Bareland,Wetland,Non_Water,Wetland,Bareland
247,NULL,Bareland,Wetland,Non_Water,Wetland,Water
248,NULL,Bareland,Wetland,Water,Wetland,Wetland
249,NULL,Bareland,Wetland,Water,Wetland,Lichens_and_Mosses
250,NULL,Bareland,Wetland,Water,Wetland,Bareland
251,NULL,Bareland,Wetland,Water,Wetland,Water
252,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
253,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
254,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
255,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Water
256,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
257,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
258,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
259,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
260,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
261,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
262,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
263,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Water
264,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
265,NULL,Bareland,Bareland,NULL,Non_Wetland,Wetland
266,NULL,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
267,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
268,NULL,Bareland,Bareland,NULL,Non_Wetland,Water
269,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Wetland
270,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
271,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
272,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Water
273,NULL,Bareland,Bareland,Water,Non_Wetland,Wetland
274,NULL,Bareland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
275,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland
276,NULL,Bareland,Bareland,Water,Non_Wetland,Water
277,NULL,Bareland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
278,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
279,NULL,Bareland,Built-up,NULL,Non_Wetland,Water
280,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Wetland
281,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
282,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
283,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Water
284,NULL,Bareland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
285,NULL,Bareland,Built-up,Water,Non_Wetland,Bareland
286,NULL,Bareland,Built-up,Water,Non_Wetland,Water
287,NULL,Bareland,Water,NULL,Water,Lichens_and_Mosses
288,NULL,Bareland,Water,NULL,Water,Bareland
289,NULL,Bareland,Water,NULL,Water,Water
290,NULL,Bareland,Water,Non_Water,Water,Lichens_and_Mosses
291,NULL,Bareland,Water,Non_Water,Water,Bareland
292,NULL,Bareland,Water,Non_Water,Water,Water
293,NULL,Bareland,Water,Water,Water,Lichens_and_Mosses
294,NULL,Bareland,Water,Water,Water,Bareland
295,NULL,Bareland,Water,Water,Water,Water
296,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
297,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
298,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
299,NULL,Built-up,Lichens_and_Mosses,Water,Non_Wetland,Wetland
300,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland
301,NULL,Built-up,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
302,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
303,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Wetland
304,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
305,NULL,Built-up,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
306,NULL,Water,NULL,NULL,Non_Wetland,Grassland
307,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
308,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland
309,NULL,Water,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
310,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
311,NULL,Water,Shrubland,NULL,Non_Wetland,Water
312,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland
313,NULL,Water,Shrubland,Non_Water,Non_Wetland,Wetland
314,NULL,Water,Shrubland,Non_Water,Non_Wetland,Bareland
315,NULL,Water,Shrubland,Non_Water,Non_Wetland,Water
316,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
317,NULL,Water,Shrubland,Water,Non_Wetland,Wetland
318,NULL,Water,Shrubland,Water,Non_Wetland,Bareland
319,NULL,Water,Shrubland,Water,Non_Wetland,Water
320,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
321,NULL,Water,Grassland,NULL,Non_Wetland,Wetland
322,NULL,Water,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
323,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
324,NULL,Water,Grassland,NULL,Non_Wetland,Water
325,NULL,Water,Grassland,Non_Water,Non_Wetland,Grassland
326,NULL,Water,Grassland,Non_Water,Non_Wetland,Wetland
327,NULL,Water,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
328,NULL,Water,Grassland,Non_Water,Non_Wetland,Bareland
329,NULL,Water,Grassland,Non_Water,Non_Wetland,Water
330,NULL,Water,Grassland,Water,Non_Wetland,Grassland
331,NULL,Water,Grassland,Water,Non_Wetland,Wetland
332,NULL,Water,Grassland,Water,Non_Wetland,Lichens_and_Mosses
333,NULL,Water,Grassland,Water,Non_Wetland,Water
334,NULL,Water,Wetland,NULL,Wetland,Grassland
335,NULL,Water,Wetland,NULL,Wetland,Wetland
336,NULL,Water,Wetland,NULL,Wetland,Lichens_and_Mosses
337,NULL,Water,Wetland,NULL,Wetland,Bareland
338,NULL,Water,Wetland,NULL,Wetland,Water
339,NULL,Water,Wetland,Non_Water,Wetland,Grassland
340,NULL,Water,Wetland,Non_Water,Wetland,Wetland
341,NULL,Water,Wetland,Non_Water,Wetland,Lichens_and_Mosses
342,NULL,Water,Wetland,Non_Water,Wetland,Bareland
343,NULL,Water,Wetland,Non_Water,Wetland,Water
344,NULL,Water,Wetland,Water,Wetland,Grassland
345,NULL,Water,Wetland,Water,Wetland,Wetland
346,NULL,Water,Wetland,Water,Wetland,Lichens_and_Mosses
347,NULL,Water,Wetland,Water,Wetland,Bareland
348,NULL,Water,Wetland,Water,Wetland,Water
349,NULL,Water,Wetland,Water,Wetland,Forest
350,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
351,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
352,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
353,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
354,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Water
355,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Forest
356,NULL,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
357,NULL,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
358,NULL,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
359,NULL,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
360,NULL,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
361,NULL,Water,Lichens_and_Mosses,Water,Non_Wetland,Grassland
362,NULL,Water,Lichens_and_Mosses,Water,Non_Wetland,Wetland
363,NULL,Water,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
364,NULL,Water,Lichens_and_Mosses,Water,Non_Wetland,Bareland
365,NULL,Water,Lichens_and_Mosses,Water,Non_Wetland,Water
366,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
367,NULL,Water,Bareland,NULL,Non_Wetland,Wetland
368,NULL,Water,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
369,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
370,NULL,Water,Bareland,NULL,Non_Wetland,Water
371,NULL,Water,Bareland,Non_Water,Non_Wetland,Grassland
372,NULL,Water,Bareland,Non_Water,Non_Wetland,Wetland
373,NULL,Water,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
374,NULL,Water,Bareland,Non_Water,Non_Wetland,Bareland
375,NULL,Water,Bareland,Non_Water,Non_Wetland,Water
376,NULL,Water,Bareland,Water,Non_Wetland,Grassland
377,NULL,Water,Bareland,Water,Non_Wetland,Wetland
378,NULL,Water,Bareland,Water,Non_Wetland,Lichens_and_Mosses
379,NULL,Water,Bareland,Water,Non_Wetland,Bareland
380,NULL,Water,Bareland,Water,Non_Wetland,Water
381,NULL,Water,Built-up,NULL,Non_Wetland,Grassland
382,NULL,Water,Built-up,NULL,Non_Wetland,Wetland
383,NULL,Water,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
384,NULL,Water,Built-up,NULL,Non_Wetland,Bareland
385,NULL,Water,Built-up,NULL,Non_Wetland,Water
386,NULL,Water,Built-up,Non_Water,Non_Wetland,Grassland
387,NULL,Water,Built-up,Non_Water,Non_Wetland,Wetland
388,NULL,Water,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
389,NULL,Water,Built-up,Non_Water,Non_Wetland,Bareland
390,NULL,Water,Built-up,Non_Water,Non_Wetland,Water
391,NULL,Water,Built-up,Water,Non_Wetland,Grassland
392,NULL,Water,Built-up,Water,Non_Wetland,Wetland
393,NULL,Water,Built-up,Water,Non_Wetland,Lichens_and_Mosses
394,NULL,Water,Built-up,Water,Non_Wetland,Bareland
395,NULL,Water,Built-up,Water,Non_Wetland,Water
396,NULL,Water,Water,NULL,Water,Grassland
397,NULL,Water,Water,NULL,Water,Wetland
398,NULL,Water,Water,NULL,Water,Lichens_and_Mosses
399,NULL,Water,Water,NULL,Water,Bareland
400,NULL,Water,Water,NULL,Water,Water
401,NULL,Water,Water,NULL,Water,Forest
402,NULL,Water,Water,Non_Water,Water,Grassland
403,NULL,Water,Water,Non_Water,Water,Wetland
404,NULL,Water,Water,Non_Water,Water,Lichens_and_Mosses
405,NULL,Water,Water,Non_Water,Water,Bareland
406,NULL,Water,Water,Non_Water,Water,Water
