Value,SIBERIA_2024_ESA_CALU_2024_43WET_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_43WET_M_R,SIBERIA_2024_GLC_FCS30D_2022_43WET_M_R,SIBERIA_2024_GSW_Yearly_2021_43WET_M_R,SIBERIA_2024_GWL_FCS30D_2022_43WET_M_R,SIBERIA_2024_WorldCover_2021_43WET_M_R
107,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
108,NULL,NULL,Built-up,NULL,Non_Wetland,Water
109,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
110,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
111,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland
112,NULL,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
113,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
114,NULL,NULL,Built-up,Non_Water,Non_Wetland,Water
115,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
116,NULL,NULL,Built-up,Water,Non_Wetland,Wetland
117,NULL,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
118,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
119,NULL,NULL,Built-up,Water,Non_Wetland,Water
120,NULL,NULL,Water,NULL,Water,Grassland
121,NULL,NULL,Water,NULL,Water,Wetland
122,NULL,NULL,Water,NULL,Water,Lichens_and_Mosses
123,NULL,NULL,Water,NULL,Water,Bareland
124,NULL,NULL,Water,NULL,Water,Water
125,NULL,NULL,Water,NULL,Water,Forest
126,NULL,NULL,Water,Non_Water,Water,Grassland
127,NULL,NULL,Water,Non_Water,Water,Wetland
128,NULL,NULL,Water,Non_Water,Water,Lichens_and_Mosses
129,NULL,NULL,Water,Non_Water,Water,Water
130,NULL,NULL,Water,Non_Water,Water,Forest
131,NULL,NULL,Water,Water,Water,Grassland
132,NULL,NULL,Water,Water,Water,Wetland
133,NULL,NULL,Water,Water,Water,Lichens_and_Mosses
134,NULL,NULL,Water,Water,Water,Bareland
135,NULL,NULL,Water,Water,Water,Water
136,NULL,NULL,Water,Water,Water,Forest
137,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
138,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
139,NULL,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
140,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
141,NULL,NULL,Forest,NULL,Non_Wetland,Water
142,NULL,NULL,Forest,NULL,Non_Wetland,Forest
143,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
144,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
145,NULL,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
146,NULL,NULL,Forest,Non_Water,Non_Wetland,Water
147,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
148,NULL,NULL,Forest,Water,Non_Wetland,Grassland
149,NULL,NULL,Forest,Water,Non_Wetland,Wetland
150,NULL,NULL,Forest,Water,Non_Wetland,Lichens_and_Mosses
151,NULL,NULL,Forest,Water,Non_Wetland,Bareland
152,NULL,NULL,Forest,Water,Non_Wetland,Water
153,NULL,NULL,Forest,Water,Non_Wetland,Forest
154,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland
155,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland
156,NULL,Wetland,NULL,NULL,Non_Wetland,Lichens_and_Mosses
157,NULL,Wetland,NULL,NULL,Non_Wetland,Water
158,NULL,Wetland,NULL,NULL,Non_Wetland,Forest
159,NULL,Wetland,NULL,Non_Water,Non_Wetland,Grassland
160,NULL,Wetland,NULL,Non_Water,Non_Wetland,Wetland
161,NULL,Wetland,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
162,NULL,Wetland,NULL,Non_Water,Non_Wetland,Water
163,NULL,Wetland,NULL,Water,Non_Wetland,Grassland
164,NULL,Wetland,NULL,Water,Non_Wetland,Wetland
165,NULL,Wetland,NULL,Water,Non_Wetland,Lichens_and_Mosses
166,NULL,Wetland,NULL,Water,Non_Wetland,Water
167,NULL,Wetland,NULL,Water,Non_Wetland,Forest
168,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
169,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
170,NULL,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
171,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland
172,NULL,Wetland,Shrubland,NULL,Non_Wetland,Water
173,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
174,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
175,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
176,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
177,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland
178,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Water
179,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
180,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland
181,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland
182,NULL,Wetland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
183,NULL,Wetland,Shrubland,Water,Non_Wetland,Bareland
184,NULL,Wetland,Shrubland,Water,Non_Wetland,Water
185,NULL,Wetland,Shrubland,Water,Non_Wetland,Forest
186,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
187,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland
188,NULL,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
189,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland
190,NULL,Wetland,Grassland,NULL,Non_Wetland,Water
191,NULL,Wetland,Grassland,NULL,Non_Wetland,Forest
192,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
193,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
194,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
195,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Bareland
196,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Water
197,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Forest
198,NULL,Wetland,Grassland,Water,Non_Wetland,Grassland
199,NULL,Wetland,Grassland,Water,Non_Wetland,Wetland
200,NULL,Wetland,Grassland,Water,Non_Wetland,Lichens_and_Mosses
201,NULL,Wetland,Grassland,Water,Non_Wetland,Bareland
202,NULL,Wetland,Grassland,Water,Non_Wetland,Water
203,NULL,Wetland,Grassland,Water,Non_Wetland,Forest
204,NULL,Wetland,Wetland,NULL,Wetland,Grassland
205,NULL,Wetland,Wetland,NULL,Wetland,Wetland
206,NULL,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
207,NULL,Wetland,Wetland,NULL,Wetland,Bareland
208,NULL,Wetland,Wetland,NULL,Wetland,Water
209,NULL,Wetland,Wetland,NULL,Wetland,Forest
210,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland
211,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland
212,NULL,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
213,NULL,Wetland,Wetland,Non_Water,Wetland,Bareland
214,NULL,Wetland,Wetland,Non_Water,Wetland,Water
215,NULL,Wetland,Wetland,Non_Water,Wetland,Forest
216,NULL,Wetland,Wetland,Water,Wetland,Grassland
217,NULL,Wetland,Wetland,Water,Wetland,Wetland
218,NULL,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
219,NULL,Wetland,Wetland,Water,Wetland,Bareland
220,NULL,Wetland,Wetland,Water,Wetland,Water
221,NULL,Wetland,Wetland,Water,Wetland,Forest
222,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
223,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
224,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
225,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
226,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
227,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
228,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
229,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
230,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
231,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
232,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
233,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
234,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
235,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
236,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
237,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
238,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
239,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Forest
240,NULL,Wetland,Bareland,NULL,Non_Wetland,Grassland
241,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland
242,NULL,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
243,NULL,Wetland,Bareland,NULL,Non_Wetland,Bareland
244,NULL,Wetland,Bareland,NULL,Non_Wetland,Water
245,NULL,Wetland,Bareland,NULL,Non_Wetland,Forest
246,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
247,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
248,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
249,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
250,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Water
251,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Forest
252,NULL,Wetland,Bareland,Water,Non_Wetland,Grassland
253,NULL,Wetland,Bareland,Water,Non_Wetland,Wetland
254,NULL,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
255,NULL,Wetland,Bareland,Water,Non_Wetland,Bareland
256,NULL,Wetland,Bareland,Water,Non_Wetland,Water
257,NULL,Wetland,Bareland,Water,Non_Wetland,Forest
258,NULL,Wetland,Built-up,NULL,Non_Wetland,Grassland
259,NULL,Wetland,Built-up,NULL,Non_Wetland,Wetland
260,NULL,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
261,NULL,Wetland,Built-up,NULL,Non_Wetland,Bareland
262,NULL,Wetland,Built-up,NULL,Non_Wetland,Water
263,NULL,Wetland,Built-up,NULL,Non_Wetland,Forest
264,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Grassland
265,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
266,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
267,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Bareland
268,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Water
269,NULL,Wetland,Built-up,Water,Non_Wetland,Grassland
270,NULL,Wetland,Built-up,Water,Non_Wetland,Wetland
271,NULL,Wetland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
272,NULL,Wetland,Built-up,Water,Non_Wetland,Bareland
273,NULL,Wetland,Built-up,Water,Non_Wetland,Water
274,NULL,Wetland,Built-up,Water,Non_Wetland,Forest
275,NULL,Wetland,Water,NULL,Water,Grassland
276,NULL,Wetland,Water,NULL,Water,Wetland
277,NULL,Wetland,Water,NULL,Water,Lichens_and_Mosses
278,NULL,Wetland,Water,NULL,Water,Bareland
279,NULL,Wetland,Water,NULL,Water,Water
280,NULL,Wetland,Water,NULL,Water,Forest
281,NULL,Wetland,Water,Non_Water,Water,Grassland
282,NULL,Wetland,Water,Non_Water,Water,Wetland
283,NULL,Wetland,Water,Non_Water,Water,Lichens_and_Mosses
284,NULL,Wetland,Water,Non_Water,Water,Bareland
285,NULL,Wetland,Water,Non_Water,Water,Water
286,NULL,Wetland,Water,Non_Water,Water,Forest
287,NULL,Wetland,Water,Water,Water,Grassland
288,NULL,Wetland,Water,Water,Water,Wetland
289,NULL,Wetland,Water,Water,Water,Lichens_and_Mosses
290,NULL,Wetland,Water,Water,Water,Bareland
291,NULL,Wetland,Water,Water,Water,Water
292,NULL,Wetland,Water,Water,Water,Forest
293,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
294,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
295,NULL,Wetland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
296,NULL,Wetland,Forest,NULL,Non_Wetland,Bareland
297,NULL,Wetland,Forest,NULL,Non_Wetland,Water
298,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
299,NULL,Wetland,Forest,Non_Water,Non_Wetland,Grassland
300,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland
301,NULL,Wetland,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
302,NULL,Wetland,Forest,Non_Water,Non_Wetland,Bareland
303,NULL,Wetland,Forest,Non_Water,Non_Wetland,Water
304,NULL,Wetland,Forest,Non_Water,Non_Wetland,Forest
305,NULL,Wetland,Forest,Water,Non_Wetland,Grassland
306,NULL,Wetland,Forest,Water,Non_Wetland,Wetland
307,NULL,Wetland,Forest,Water,Non_Wetland,Lichens_and_Mosses
308,NULL,Wetland,Forest,Water,Non_Wetland,Bareland
309,NULL,Wetland,Forest,Water,Non_Wetland,Water
310,NULL,Wetland,Forest,Water,Non_Wetland,Forest
311,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
312,NULL,Bareland,Shrubland,NULL,Non_Wetland,Wetland
313,NULL,Bareland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
314,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
315,NULL,Bareland,Shrubland,NULL,Non_Wetland,Water
316,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
317,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Bareland
318,NULL,Bareland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
319,NULL,Bareland,Shrubland,Water,Non_Wetland,Bareland
320,NULL,Bareland,Shrubland,Water,Non_Wetland,Water
321,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
322,NULL,Bareland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
323,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
324,NULL,Bareland,Wetland,NULL,Wetland,Grassland
325,NULL,Bareland,Wetland,NULL,Wetland,Lichens_and_Mosses
326,NULL,Bareland,Wetland,NULL,Wetland,Bareland
327,NULL,Bareland,Wetland,NULL,Wetland,Water
328,NULL,Bareland,Wetland,Non_Water,Wetland,Wetland
329,NULL,Bareland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
330,NULL,Bareland,Wetland,Non_Water,Wetland,Bareland
331,NULL,Bareland,Wetland,Non_Water,Wetland,Water
332,NULL,Bareland,Wetland,Water,Wetland,Wetland
333,NULL,Bareland,Wetland,Water,Wetland,Lichens_and_Mosses
334,NULL,Bareland,Wetland,Water,Wetland,Bareland
335,NULL,Bareland,Wetland,Water,Wetland,Water
336,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
337,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
338,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Water
339,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
340,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
341,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
342,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
343,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
344,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
345,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Water
346,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
347,NULL,Bareland,Bareland,NULL,Non_Wetland,Wetland
348,NULL,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
349,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
350,NULL,Bareland,Bareland,NULL,Non_Wetland,Water
351,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
352,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Wetland
353,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
354,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
355,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Water
356,NULL,Bareland,Bareland,Water,Non_Wetland,Wetland
357,NULL,Bareland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
358,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland
359,NULL,Bareland,Bareland,Water,Non_Wetland,Water
360,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland
361,NULL,Bareland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
362,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
363,NULL,Bareland,Built-up,NULL,Non_Wetland,Water
364,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
365,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
366,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Water
367,NULL,Bareland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
368,NULL,Bareland,Built-up,Water,Non_Wetland,Bareland
369,NULL,Bareland,Built-up,Water,Non_Wetland,Water
370,NULL,Bareland,Water,NULL,Water,Wetland
371,NULL,Bareland,Water,NULL,Water,Lichens_and_Mosses
372,NULL,Bareland,Water,NULL,Water,Bareland
373,NULL,Bareland,Water,NULL,Water,Water
374,NULL,Bareland,Water,Non_Water,Water,Lichens_and_Mosses
375,NULL,Bareland,Water,Non_Water,Water,Bareland
376,NULL,Bareland,Water,Non_Water,Water,Water
377,NULL,Bareland,Water,Water,Water,Grassland
378,NULL,Bareland,Water,Water,Water,Wetland
379,NULL,Bareland,Water,Water,Water,Lichens_and_Mosses
380,NULL,Bareland,Water,Water,Water,Bareland
381,NULL,Bareland,Water,Water,Water,Water
382,NULL,Bareland,Forest,NULL,Non_Wetland,Wetland
383,NULL,Bareland,Forest,NULL,Non_Wetland,Bareland
384,NULL,Bareland,Forest,NULL,Non_Wetland,Water
385,NULL,Bareland,Forest,Water,Non_Wetland,Water
386,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
387,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
388,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland
389,NULL,Built-up,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
390,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
391,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
392,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland
393,NULL,Built-up,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
394,NULL,Built-up,Bareland,NULL,Non_Wetland,Water
395,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland
396,NULL,Built-up,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
397,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
398,NULL,Water,NULL,NULL,Non_Wetland,Grassland
399,NULL,Water,NULL,NULL,Non_Wetland,Wetland
400,NULL,Water,NULL,NULL,Non_Wetland,Lichens_and_Mosses
401,NULL,Water,NULL,NULL,Non_Wetland,Bareland
402,NULL,Water,NULL,NULL,Non_Wetland,Water
403,NULL,Water,NULL,Non_Water,Non_Wetland,Grassland
404,NULL,Water,NULL,Non_Water,Non_Wetland,Wetland
405,NULL,Water,NULL,Non_Water,Non_Wetland,Lichens_and_Mosses
406,NULL,Water,NULL,Non_Water,Non_Wetland,Water
407,NULL,Water,NULL,Water,Non_Wetland,Grassland
408,NULL,Water,NULL,Water,Non_Wetland,Wetland
