Value,SIBERIA_2024_ESRI_Annual_LULC_2024_43VFJ_M_R,SIBERIA_2024_GLC_FCS30D_2022_43VFJ_M_R,SIBERIA_2024_GSW_Yearly_2021_43VFJ_M_R,SIBERIA_2024_GWL_FCS30D_2022_43VFJ_M_R,SIBERIA_2024_WorldCover_2021_43VFJ_M_R
268,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
269,Wetland,Bareland,NULL,Non_Wetland,NULL
270,Wetland,Bareland,NULL,Non_Wetland,Grassland
271,Wetland,Bareland,NULL,Non_Wetland,Cropland
272,Wetland,Bareland,NULL,Non_Wetland,Wetland
273,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
274,Wetland,Bareland,NULL,Non_Wetland,Bareland
275,Wetland,Bareland,NULL,Non_Wetland,Built-up
276,Wetland,Bareland,NULL,Non_Wetland,Water
277,Wetland,Bareland,NULL,Non_Wetland,Forest
278,Wetland,Bareland,Non_Water,Non_Wetland,NULL
279,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
280,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
281,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
282,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
283,Wetland,Bareland,Non_Water,Non_Wetland,Built-up
284,Wetland,Bareland,Non_Water,Non_Wetland,Water
285,Wetland,Bareland,Non_Water,Non_Wetland,Forest
286,Wetland,Bareland,Water,Non_Wetland,NULL
287,Wetland,Bareland,Water,Non_Wetland,Grassland
288,Wetland,Bareland,Water,Non_Wetland,Wetland
289,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
290,Wetland,Bareland,Water,Non_Wetland,Bareland
291,Wetland,Bareland,Water,Non_Wetland,Built-up
292,Wetland,Bareland,Water,Non_Wetland,Water
293,Wetland,Bareland,Water,Non_Wetland,Forest
294,Wetland,Built-up,NULL,Non_Wetland,NULL
295,Wetland,Built-up,NULL,Non_Wetland,Grassland
296,Wetland,Built-up,NULL,Non_Wetland,Wetland
297,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
298,Wetland,Built-up,NULL,Non_Wetland,Bareland
299,Wetland,Built-up,NULL,Non_Wetland,Built-up
300,Wetland,Built-up,NULL,Non_Wetland,Water
301,Wetland,Built-up,NULL,Non_Wetland,Forest
302,Wetland,Built-up,Non_Water,Non_Wetland,Grassland
303,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
304,Wetland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
305,Wetland,Built-up,Non_Water,Non_Wetland,Bareland
306,Wetland,Built-up,Non_Water,Non_Wetland,Built-up
307,Wetland,Built-up,Non_Water,Non_Wetland,Water
308,Wetland,Built-up,Non_Water,Non_Wetland,Forest
309,Wetland,Built-up,Water,Non_Wetland,Grassland
310,Wetland,Built-up,Water,Non_Wetland,Wetland
311,Wetland,Built-up,Water,Non_Wetland,Bareland
312,Wetland,Built-up,Water,Non_Wetland,Built-up
313,Wetland,Built-up,Water,Non_Wetland,Water
314,Wetland,Built-up,Water,Non_Wetland,Forest
315,Wetland,Water,NULL,Water,NULL
316,Wetland,Water,NULL,Water,Grassland
317,Wetland,Water,NULL,Water,Wetland
318,Wetland,Water,NULL,Water,Bareland
319,Wetland,Water,NULL,Water,Water
320,Wetland,Water,NULL,Water,Forest
321,Wetland,Water,Non_Water,Water,NULL
322,Wetland,Water,Non_Water,Water,Grassland
323,Wetland,Water,Non_Water,Water,Wetland
324,Wetland,Water,Non_Water,Water,Built-up
325,Wetland,Water,Non_Water,Water,Water
326,Wetland,Water,Non_Water,Water,Forest
327,Wetland,Water,Water,Water,NULL
328,Wetland,Water,Water,Water,Grassland
329,Wetland,Water,Water,Water,Wetland
330,Wetland,Water,Water,Water,Lichens_and_Mosses
331,Wetland,Water,Water,Water,Bareland
332,Wetland,Water,Water,Water,Water
333,Wetland,Water,Water,Water,Forest
334,Wetland,Forest,NULL,Non_Wetland,NULL
335,Wetland,Forest,NULL,Non_Wetland,Grassland
336,Wetland,Forest,NULL,Non_Wetland,Wetland
337,Wetland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
338,Wetland,Forest,NULL,Non_Wetland,Bareland
339,Wetland,Forest,NULL,Non_Wetland,Built-up
340,Wetland,Forest,NULL,Non_Wetland,Water
341,Wetland,Forest,NULL,Non_Wetland,Forest
342,Wetland,Forest,Non_Water,Non_Wetland,NULL
343,Wetland,Forest,Non_Water,Non_Wetland,Grassland
344,Wetland,Forest,Non_Water,Non_Wetland,Wetland
345,Wetland,Forest,Non_Water,Non_Wetland,Water
346,Wetland,Forest,Non_Water,Non_Wetland,Forest
347,Wetland,Forest,Water,Non_Wetland,NULL
348,Wetland,Forest,Water,Non_Wetland,Grassland
349,Wetland,Forest,Water,Non_Wetland,Wetland
350,Wetland,Forest,Water,Non_Wetland,Water
351,Wetland,Forest,Water,Non_Wetland,Forest
352,Bareland,NULL,NULL,Non_Wetland,Water
353,Bareland,NULL,NULL,Non_Wetland,Forest
354,Bareland,Shrubland,NULL,Non_Wetland,Grassland
355,Bareland,Shrubland,NULL,Non_Wetland,Bareland
356,Bareland,Shrubland,NULL,Non_Wetland,Forest
357,Bareland,Grassland,NULL,Non_Wetland,Grassland
358,Bareland,Grassland,NULL,Non_Wetland,Forest
359,Bareland,Wetland,NULL,Wetland,Grassland
360,Bareland,Wetland,NULL,Wetland,Wetland
361,Bareland,Wetland,NULL,Wetland,Bareland
362,Bareland,Wetland,NULL,Wetland,Water
363,Bareland,Wetland,NULL,Wetland,Forest
364,Bareland,Wetland,Non_Water,Wetland,Bareland
365,Bareland,Wetland,Non_Water,Wetland,Water
366,Bareland,Wetland,Water,Wetland,Grassland
367,Bareland,Wetland,Water,Wetland,Wetland
368,Bareland,Wetland,Water,Wetland,Water
369,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
370,Bareland,Bareland,NULL,Non_Wetland,Grassland
371,Bareland,Bareland,NULL,Non_Wetland,Wetland
372,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
373,Bareland,Bareland,NULL,Non_Wetland,Bareland
374,Bareland,Bareland,NULL,Non_Wetland,Built-up
375,Bareland,Bareland,NULL,Non_Wetland,Water
376,Bareland,Bareland,NULL,Non_Wetland,Forest
377,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
378,Bareland,Bareland,Non_Water,Non_Wetland,Wetland
379,Bareland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
380,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
381,Bareland,Bareland,Non_Water,Non_Wetland,Built-up
382,Bareland,Bareland,Non_Water,Non_Wetland,Water
383,Bareland,Bareland,Non_Water,Non_Wetland,Forest
384,Bareland,Bareland,Water,Non_Wetland,Grassland
385,Bareland,Bareland,Water,Non_Wetland,Bareland
386,Bareland,Bareland,Water,Non_Wetland,Water
387,Bareland,Bareland,Water,Non_Wetland,Forest
388,Bareland,Built-up,NULL,Non_Wetland,Grassland
389,Bareland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
390,Bareland,Built-up,NULL,Non_Wetland,Bareland
391,Bareland,Built-up,NULL,Non_Wetland,Built-up
392,Bareland,Built-up,NULL,Non_Wetland,Water
393,Bareland,Built-up,NULL,Non_Wetland,Forest
394,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
395,Bareland,Built-up,Non_Water,Non_Wetland,Water
396,Bareland,Built-up,Water,Non_Wetland,Bareland
397,Bareland,Built-up,Water,Non_Wetland,Built-up
398,Bareland,Built-up,Water,Non_Wetland,Forest
399,Bareland,Water,NULL,Water,Grassland
400,Bareland,Water,NULL,Water,Wetland
401,Bareland,Water,NULL,Water,Bareland
402,Bareland,Water,NULL,Water,Water
403,Bareland,Water,NULL,Water,Forest
404,Bareland,Water,Non_Water,Water,Bareland
405,Bareland,Water,Non_Water,Water,Water
406,Bareland,Water,Water,Water,Wetland
407,Bareland,Water,Water,Water,Bareland
408,Bareland,Water,Water,Water,Water
409,Bareland,Water,Water,Water,Forest
410,Bareland,Forest,NULL,Non_Wetland,NULL
411,Bareland,Forest,NULL,Non_Wetland,Grassland
412,Bareland,Forest,NULL,Non_Wetland,Wetland
413,Bareland,Forest,NULL,Non_Wetland,Bareland
414,Bareland,Forest,NULL,Non_Wetland,Built-up
415,Bareland,Forest,NULL,Non_Wetland,Water
416,Bareland,Forest,NULL,Non_Wetland,Forest
417,Bareland,Forest,Non_Water,Non_Wetland,Water
418,Bareland,Forest,Non_Water,Non_Wetland,Forest
419,Bareland,Forest,Water,Non_Wetland,Water
420,Bareland,Forest,Water,Non_Wetland,Forest
421,Built-up,NULL,NULL,Non_Wetland,Forest
422,Built-up,Shrubland,NULL,Non_Wetland,NULL
423,Built-up,Shrubland,NULL,Non_Wetland,Grassland
424,Built-up,Shrubland,NULL,Non_Wetland,Wetland
425,Built-up,Shrubland,NULL,Non_Wetland,Bareland
426,Built-up,Shrubland,NULL,Non_Wetland,Built-up
427,Built-up,Shrubland,NULL,Non_Wetland,Water
428,Built-up,Shrubland,NULL,Non_Wetland,Forest
429,Built-up,Shrubland,Non_Water,Non_Wetland,Built-up
430,Built-up,Shrubland,Non_Water,Non_Wetland,Forest
431,Built-up,Shrubland,Water,Non_Wetland,Grassland
432,Built-up,Shrubland,Water,Non_Wetland,Wetland
433,Built-up,Shrubland,Water,Non_Wetland,Forest
434,Built-up,Grassland,NULL,Non_Wetland,Grassland
435,Built-up,Grassland,NULL,Non_Wetland,Wetland
436,Built-up,Grassland,NULL,Non_Wetland,Bareland
437,Built-up,Grassland,NULL,Non_Wetland,Built-up
438,Built-up,Grassland,NULL,Non_Wetland,Forest
439,Built-up,Grassland,Non_Water,Non_Wetland,Forest
440,Built-up,Grassland,Water,Non_Wetland,Grassland
441,Built-up,Grassland,Water,Non_Wetland,Wetland
442,Built-up,Grassland,Water,Non_Wetland,Forest
443,Built-up,Wetland,NULL,Wetland,NULL
444,Built-up,Wetland,NULL,Wetland,Grassland
445,Built-up,Wetland,NULL,Wetland,Wetland
446,Built-up,Wetland,NULL,Wetland,Bareland
447,Built-up,Wetland,NULL,Wetland,Built-up
448,Built-up,Wetland,NULL,Wetland,Water
449,Built-up,Wetland,NULL,Wetland,Forest
450,Built-up,Wetland,Non_Water,Wetland,Forest
451,Built-up,Wetland,Water,Wetland,Grassland
452,Built-up,Wetland,Water,Wetland,Wetland
453,Built-up,Wetland,Water,Wetland,Forest
454,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
455,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Forest
456,Built-up,Lichens_and_Mosses,Water,Non_Wetland,Forest
457,Built-up,Bareland,NULL,Non_Wetland,NULL
458,Built-up,Bareland,NULL,Non_Wetland,Grassland
459,Built-up,Bareland,NULL,Non_Wetland,Cropland
460,Built-up,Bareland,NULL,Non_Wetland,Wetland
461,Built-up,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
462,Built-up,Bareland,NULL,Non_Wetland,Bareland
463,Built-up,Bareland,NULL,Non_Wetland,Built-up
464,Built-up,Bareland,NULL,Non_Wetland,Water
465,Built-up,Bareland,NULL,Non_Wetland,Forest
466,Built-up,Bareland,Non_Water,Non_Wetland,Grassland
467,Built-up,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
468,Built-up,Bareland,Non_Water,Non_Wetland,Bareland
469,Built-up,Bareland,Non_Water,Non_Wetland,Built-up
470,Built-up,Bareland,Non_Water,Non_Wetland,Water
471,Built-up,Bareland,Non_Water,Non_Wetland,Forest
472,Built-up,Bareland,Water,Non_Wetland,Grassland
473,Built-up,Bareland,Water,Non_Wetland,Wetland
474,Built-up,Bareland,Water,Non_Wetland,Lichens_and_Mosses
475,Built-up,Bareland,Water,Non_Wetland,Bareland
476,Built-up,Bareland,Water,Non_Wetland,Built-up
477,Built-up,Bareland,Water,Non_Wetland,Water
478,Built-up,Bareland,Water,Non_Wetland,Forest
479,Built-up,Built-up,NULL,Non_Wetland,Grassland
480,Built-up,Built-up,NULL,Non_Wetland,Wetland
481,Built-up,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
482,Built-up,Built-up,NULL,Non_Wetland,Bareland
483,Built-up,Built-up,NULL,Non_Wetland,Built-up
484,Built-up,Built-up,NULL,Non_Wetland,Water
485,Built-up,Built-up,NULL,Non_Wetland,Forest
486,Built-up,Built-up,Non_Water,Non_Wetland,Grassland
487,Built-up,Built-up,Non_Water,Non_Wetland,Bareland
488,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
489,Built-up,Built-up,Non_Water,Non_Wetland,Forest
490,Built-up,Built-up,Water,Non_Wetland,Wetland
491,Built-up,Built-up,Water,Non_Wetland,Bareland
