Value,SIBERIA_2024_ESRI_Annual_LULC_2024_43VFF_M_R,SIBERIA_2024_GLC_FCS30D_2022_43VFF_M_R,SIBERIA_2024_GSW_Yearly_2021_43VFF_M_R,SIBERIA_2024_GWL_FCS30D_2022_43VFF_M_R,SIBERIA_2024_WorldCover_2021_43VFF_M_R
273,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
274,Bareland,Bareland,NULL,Non_Wetland,Bareland
275,Bareland,Bareland,NULL,Non_Wetland,Built-up
276,Bareland,Bareland,NULL,Non_Wetland,Forest
277,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
278,Bareland,Built-up,NULL,Non_Wetland,Grassland
279,Bareland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
280,Bareland,Built-up,NULL,Non_Wetland,Bareland
281,Bareland,Built-up,NULL,Non_Wetland,Built-up
282,Bareland,Built-up,Non_Water,Non_Wetland,Grassland
283,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
284,Bareland,Water,NULL,Water,Water
285,Bareland,Water,NULL,Water,Forest
286,Bareland,Water,Water,Water,Water
287,Bareland,Water,Water,Water,Forest
288,Bareland,Forest,NULL,Non_Wetland,Grassland
289,Bareland,Forest,NULL,Non_Wetland,Water
290,Bareland,Forest,NULL,Non_Wetland,Forest
291,Bareland,Forest,Non_Water,Non_Wetland,Forest
292,Bareland,Forest,Water,Non_Wetland,Water
293,Bareland,Forest,Water,Non_Wetland,Forest
294,Built-up,NULL,NULL,Non_Wetland,Forest
295,Built-up,Grassland,NULL,Non_Wetland,Grassland
296,Built-up,Grassland,NULL,Non_Wetland,Cropland
297,Built-up,Grassland,NULL,Non_Wetland,Bareland
298,Built-up,Grassland,NULL,Non_Wetland,Built-up
299,Built-up,Grassland,NULL,Non_Wetland,Forest
300,Built-up,Cropland,NULL,Non_Wetland,Grassland
301,Built-up,Cropland,NULL,Non_Wetland,Cropland
302,Built-up,Cropland,NULL,Non_Wetland,Built-up
303,Built-up,Cropland,NULL,Non_Wetland,Forest
304,Built-up,Cropland,Water,Non_Wetland,Forest
305,Built-up,Wetland,NULL,Wetland,Grassland
306,Built-up,Wetland,NULL,Wetland,Wetland
307,Built-up,Wetland,NULL,Wetland,Forest
308,Built-up,Wetland,Non_Water,Wetland,Grassland
309,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
310,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Forest
311,Built-up,Bareland,NULL,Non_Wetland,Grassland
312,Built-up,Bareland,NULL,Non_Wetland,Cropland
313,Built-up,Bareland,NULL,Non_Wetland,Wetland
314,Built-up,Bareland,NULL,Non_Wetland,Bareland
315,Built-up,Bareland,NULL,Non_Wetland,Built-up
316,Built-up,Bareland,NULL,Non_Wetland,Forest
317,Built-up,Bareland,Non_Water,Non_Wetland,Grassland
318,Built-up,Bareland,Non_Water,Non_Wetland,Forest
319,Built-up,Bareland,Water,Non_Wetland,Forest
320,Built-up,Built-up,NULL,Non_Wetland,Grassland
321,Built-up,Built-up,NULL,Non_Wetland,Cropland
322,Built-up,Built-up,NULL,Non_Wetland,Wetland
323,Built-up,Built-up,NULL,Non_Wetland,Bareland
324,Built-up,Built-up,NULL,Non_Wetland,Built-up
325,Built-up,Built-up,NULL,Non_Wetland,Forest
326,Built-up,Built-up,Non_Water,Non_Wetland,Grassland
327,Built-up,Built-up,Non_Water,Non_Wetland,Bareland
328,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
329,Built-up,Built-up,Non_Water,Non_Wetland,Forest
330,Built-up,Built-up,Water,Non_Wetland,Forest
331,Built-up,Water,NULL,Water,Forest
332,Built-up,Forest,NULL,Non_Wetland,Grassland
333,Built-up,Forest,NULL,Non_Wetland,Cropland
334,Built-up,Forest,NULL,Non_Wetland,Wetland
335,Built-up,Forest,NULL,Non_Wetland,Bareland
336,Built-up,Forest,NULL,Non_Wetland,Built-up
337,Built-up,Forest,NULL,Non_Wetland,Forest
338,Built-up,Forest,Water,Non_Wetland,Grassland
339,Water,NULL,NULL,Non_Wetland,Grassland
340,Water,NULL,NULL,Non_Wetland,Wetland
341,Water,NULL,NULL,Non_Wetland,Water
342,Water,NULL,NULL,Non_Wetland,Forest
343,Water,NULL,Non_Water,Non_Wetland,Grassland
344,Water,NULL,Non_Water,Non_Wetland,Wetland
345,Water,NULL,Non_Water,Non_Wetland,Water
346,Water,NULL,Non_Water,Non_Wetland,Forest
347,Water,NULL,Water,Non_Wetland,Grassland
348,Water,NULL,Water,Non_Wetland,Wetland
349,Water,NULL,Water,Non_Wetland,Water
350,Water,NULL,Water,Non_Wetland,Forest
351,Water,Shrubland,Water,Non_Wetland,Forest
352,Water,Grassland,NULL,Non_Wetland,Grassland
353,Water,Grassland,NULL,Non_Wetland,Water
354,Water,Grassland,NULL,Non_Wetland,Forest
355,Water,Grassland,Non_Water,Non_Wetland,Grassland
356,Water,Grassland,Water,Non_Wetland,Grassland
357,Water,Grassland,Water,Non_Wetland,Water
358,Water,Grassland,Water,Non_Wetland,Forest
359,Water,Cropland,NULL,Non_Wetland,Grassland
360,Water,Cropland,NULL,Non_Wetland,Wetland
361,Water,Cropland,NULL,Non_Wetland,Bareland
362,Water,Cropland,NULL,Non_Wetland,Water
363,Water,Cropland,NULL,Non_Wetland,Forest
364,Water,Cropland,Non_Water,Non_Wetland,Grassland
365,Water,Cropland,Non_Water,Non_Wetland,Wetland
366,Water,Cropland,Non_Water,Non_Wetland,Forest
367,Water,Cropland,Water,Non_Wetland,Grassland
368,Water,Cropland,Water,Non_Wetland,Wetland
369,Water,Cropland,Water,Non_Wetland,Water
370,Water,Cropland,Water,Non_Wetland,Forest
371,Water,Wetland,NULL,Wetland,NULL
372,Water,Wetland,NULL,Wetland,Grassland
373,Water,Wetland,NULL,Wetland,Cropland
374,Water,Wetland,NULL,Wetland,Wetland
375,Water,Wetland,NULL,Wetland,Water
376,Water,Wetland,NULL,Wetland,Forest
377,Water,Wetland,Non_Water,Wetland,Grassland
378,Water,Wetland,Non_Water,Wetland,Wetland
379,Water,Wetland,Non_Water,Wetland,Water
380,Water,Wetland,Non_Water,Wetland,Forest
381,Water,Wetland,Water,Wetland,Grassland
382,Water,Wetland,Water,Wetland,Cropland
383,Water,Wetland,Water,Wetland,Wetland
384,Water,Wetland,Water,Wetland,Built-up
385,Water,Wetland,Water,Wetland,Water
386,Water,Wetland,Water,Wetland,Forest
387,Water,Lichens_and_Mosses,NULL,Non_Wetland,Forest
388,Water,Bareland,NULL,Non_Wetland,Grassland
389,Water,Bareland,NULL,Non_Wetland,Wetland
390,Water,Bareland,NULL,Non_Wetland,Bareland
391,Water,Bareland,NULL,Non_Wetland,Built-up
392,Water,Bareland,NULL,Non_Wetland,Water
393,Water,Bareland,NULL,Non_Wetland,Forest
394,Water,Bareland,Non_Water,Non_Wetland,Grassland
395,Water,Bareland,Non_Water,Non_Wetland,Wetland
396,Water,Bareland,Non_Water,Non_Wetland,Water
397,Water,Bareland,Non_Water,Non_Wetland,Forest
398,Water,Bareland,Water,Non_Wetland,Grassland
399,Water,Bareland,Water,Non_Wetland,Wetland
400,Water,Bareland,Water,Non_Wetland,Water
401,Water,Bareland,Water,Non_Wetland,Forest
402,Water,Built-up,NULL,Non_Wetland,Grassland
403,Water,Built-up,NULL,Non_Wetland,Bareland
404,Water,Built-up,NULL,Non_Wetland,Built-up
405,Water,Built-up,NULL,Non_Wetland,Water
406,Water,Built-up,NULL,Non_Wetland,Forest
407,Water,Built-up,Non_Water,Non_Wetland,Water
408,Water,Built-up,Water,Non_Wetland,Grassland
409,Water,Built-up,Water,Non_Wetland,Bareland
410,Water,Built-up,Water,Non_Wetland,Built-up
411,Water,Built-up,Water,Non_Wetland,Water
412,Water,Water,NULL,Water,Grassland
413,Water,Water,NULL,Water,Wetland
414,Water,Water,NULL,Water,Bareland
415,Water,Water,NULL,Water,Water
416,Water,Water,NULL,Water,Forest
417,Water,Water,Non_Water,Water,Grassland
418,Water,Water,Non_Water,Water,Wetland
419,Water,Water,Non_Water,Water,Water
420,Water,Water,Non_Water,Water,Forest
421,Water,Water,Water,Water,Grassland
422,Water,Water,Water,Water,Cropland
423,Water,Water,Water,Water,Wetland
424,Water,Water,Water,Water,Bareland
425,Water,Water,Water,Water,Built-up
426,Water,Water,Water,Water,Water
427,Water,Water,Water,Water,Forest
428,Water,Forest,NULL,Non_Wetland,NULL
429,Water,Forest,NULL,Non_Wetland,Grassland
430,Water,Forest,NULL,Non_Wetland,Wetland
431,Water,Forest,NULL,Non_Wetland,Bareland
432,Water,Forest,NULL,Non_Wetland,Water
433,Water,Forest,NULL,Non_Wetland,Forest
434,Water,Forest,Non_Water,Non_Wetland,Grassland
435,Water,Forest,Non_Water,Non_Wetland,Wetland
436,Water,Forest,Non_Water,Non_Wetland,Water
437,Water,Forest,Non_Water,Non_Wetland,Forest
438,Water,Forest,Water,Non_Wetland,Grassland
439,Water,Forest,Water,Non_Wetland,Wetland
440,Water,Forest,Water,Non_Wetland,Water
441,Water,Forest,Water,Non_Wetland,Forest
442,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Forest
443,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Forest
444,Permanent_ice_and_snow,Cropland,NULL,Non_Wetland,Grassland
445,Permanent_ice_and_snow,Cropland,NULL,Non_Wetland,Forest
446,Permanent_ice_and_snow,Cropland,Non_Water,Non_Wetland,Forest
447,Permanent_ice_and_snow,Wetland,NULL,Wetland,NULL
448,Permanent_ice_and_snow,Wetland,NULL,Wetland,Grassland
449,Permanent_ice_and_snow,Wetland,NULL,Wetland,Wetland
450,Permanent_ice_and_snow,Wetland,NULL,Wetland,Water
451,Permanent_ice_and_snow,Wetland,NULL,Wetland,Forest
452,Permanent_ice_and_snow,Wetland,Water,Wetland,Wetland
453,Permanent_ice_and_snow,Wetland,Water,Wetland,Water
454,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Grassland
455,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Wetland
456,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Bareland
457,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Built-up
458,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Water
459,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Forest
460,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Forest
461,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Grassland
462,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Bareland
463,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Built-up
464,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Forest
465,Permanent_ice_and_snow,Built-up,Water,Non_Wetland,Forest
466,Permanent_ice_and_snow,Water,NULL,Water,Water
467,Permanent_ice_and_snow,Water,NULL,Water,Forest
468,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Grassland
469,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Cropland
470,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Built-up
471,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Forest
472,Permanent_ice_and_snow,Forest,Water,Non_Wetland,Forest
473,Forest,NULL,NULL,Non_Wetland,NULL
474,Forest,NULL,NULL,Non_Wetland,Grassland
475,Forest,NULL,NULL,Non_Wetland,Wetland
476,Forest,NULL,NULL,Non_Wetland,Water
477,Forest,NULL,NULL,Non_Wetland,Forest
478,Forest,NULL,Non_Water,Non_Wetland,NULL
479,Forest,NULL,Non_Water,Non_Wetland,Grassland
480,Forest,NULL,Non_Water,Non_Wetland,Wetland
481,Forest,NULL,Non_Water,Non_Wetland,Forest
482,Forest,NULL,Water,Non_Wetland,Grassland
483,Forest,NULL,Water,Non_Wetland,Wetland
484,Forest,NULL,Water,Non_Wetland,Water
485,Forest,NULL,Water,Non_Wetland,Forest
486,Forest,Shrubland,NULL,Non_Wetland,Grassland
487,Forest,Shrubland,NULL,Non_Wetland,Wetland
488,Forest,Shrubland,NULL,Non_Wetland,Forest
489,Forest,Grassland,NULL,Non_Wetland,Grassland
490,Forest,Grassland,NULL,Non_Wetland,Wetland
491,Forest,Grassland,NULL,Non_Wetland,Bareland
492,Forest,Grassland,NULL,Non_Wetland,Built-up
493,Forest,Grassland,NULL,Non_Wetland,Forest
494,Forest,Grassland,Non_Water,Non_Wetland,Forest
495,Forest,Cropland,NULL,Non_Wetland,Grassland
496,Forest,Cropland,NULL,Non_Wetland,Cropland
497,Forest,Cropland,NULL,Non_Wetland,Wetland
498,Forest,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
499,Forest,Cropland,NULL,Non_Wetland,Bareland
