Value,SIBERIA_2024_ESRI_Annual_LULC_2024_45WWN_M_R,SIBERIA_2024_GLC_FCS30D_2022_45WWN_M_R,SIBERIA_2024_GSW_Yearly_2021_45WWN_M_R,SIBERIA_2024_GWL_FCS30D_2022_45WWN_M_R,SIBERIA_2024_WorldCover_2021_45WWN_M_R
259,Wetland,Bareland,NULL,Non_Wetland,NULL
260,Wetland,Bareland,NULL,Non_Wetland,Grassland
261,Wetland,Bareland,NULL,Non_Wetland,Wetland
262,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
263,Wetland,Bareland,NULL,Non_Wetland,Bareland
264,Wetland,Bareland,NULL,Non_Wetland,Water
265,Wetland,Bareland,NULL,Non_Wetland,Forest
266,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
267,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
268,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
269,Wetland,Bareland,Non_Water,Non_Wetland,Water
270,Wetland,Bareland,Non_Water,Non_Wetland,Forest
271,Wetland,Bareland,Water,Non_Wetland,Grassland
272,Wetland,Bareland,Water,Non_Wetland,Wetland
273,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
274,Wetland,Bareland,Water,Non_Wetland,Bareland
275,Wetland,Bareland,Water,Non_Wetland,Water
276,Wetland,Bareland,Water,Non_Wetland,Forest
277,Wetland,Built-up,NULL,Non_Wetland,Grassland
278,Wetland,Built-up,NULL,Non_Wetland,Wetland
279,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
280,Wetland,Built-up,NULL,Non_Wetland,Water
281,Wetland,Built-up,NULL,Non_Wetland,Forest
282,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
283,Wetland,Built-up,Non_Water,Non_Wetland,Forest
284,Wetland,Built-up,Water,Non_Wetland,Grassland
285,Wetland,Built-up,Water,Non_Wetland,Wetland
286,Wetland,Built-up,Water,Non_Wetland,Bareland
287,Wetland,Built-up,Water,Non_Wetland,Water
288,Wetland,Built-up,Water,Non_Wetland,Forest
289,Wetland,Water,NULL,Water,Grassland
290,Wetland,Water,NULL,Water,Wetland
291,Wetland,Water,NULL,Water,Lichens_and_Mosses
292,Wetland,Water,NULL,Water,Bareland
293,Wetland,Water,NULL,Water,Water
294,Wetland,Water,NULL,Water,Forest
295,Wetland,Water,Non_Water,Water,Grassland
296,Wetland,Water,Non_Water,Water,Wetland
297,Wetland,Water,Non_Water,Water,Lichens_and_Mosses
298,Wetland,Water,Non_Water,Water,Water
299,Wetland,Water,Non_Water,Water,Forest
300,Wetland,Water,Water,Water,Grassland
301,Wetland,Water,Water,Water,Wetland
302,Wetland,Water,Water,Water,Lichens_and_Mosses
303,Wetland,Water,Water,Water,Water
304,Wetland,Water,Water,Water,Forest
305,Wetland,Forest,NULL,Non_Wetland,NULL
306,Wetland,Forest,NULL,Non_Wetland,Grassland
307,Wetland,Forest,NULL,Non_Wetland,Wetland
308,Wetland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
309,Wetland,Forest,NULL,Non_Wetland,Bareland
310,Wetland,Forest,NULL,Non_Wetland,Water
311,Wetland,Forest,NULL,Non_Wetland,Forest
312,Wetland,Forest,Non_Water,Non_Wetland,Grassland
313,Wetland,Forest,Non_Water,Non_Wetland,Wetland
314,Wetland,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
315,Wetland,Forest,Non_Water,Non_Wetland,Water
316,Wetland,Forest,Non_Water,Non_Wetland,Forest
317,Wetland,Forest,Water,Non_Wetland,Grassland
318,Wetland,Forest,Water,Non_Wetland,Wetland
319,Wetland,Forest,Water,Non_Wetland,Lichens_and_Mosses
320,Wetland,Forest,Water,Non_Wetland,Water
321,Wetland,Forest,Water,Non_Wetland,Forest
322,Bareland,NULL,NULL,Non_Wetland,Grassland
323,Bareland,NULL,NULL,Non_Wetland,Water
324,Bareland,NULL,NULL,Non_Wetland,Forest
325,Bareland,NULL,Water,Non_Wetland,Water
326,Bareland,Shrubland,NULL,Non_Wetland,Grassland
327,Bareland,Shrubland,NULL,Non_Wetland,Forest
328,Bareland,Shrubland,Water,Non_Wetland,Wetland
329,Bareland,Shrubland,Water,Non_Wetland,Water
330,Bareland,Grassland,NULL,Non_Wetland,Grassland
331,Bareland,Grassland,NULL,Non_Wetland,Wetland
332,Bareland,Grassland,NULL,Non_Wetland,Forest
333,Bareland,Grassland,Water,Non_Wetland,Water
334,Bareland,Wetland,NULL,Wetland,Grassland
335,Bareland,Wetland,NULL,Wetland,Wetland
336,Bareland,Wetland,NULL,Wetland,Bareland
337,Bareland,Wetland,NULL,Wetland,Water
338,Bareland,Wetland,NULL,Wetland,Forest
339,Bareland,Wetland,Non_Water,Wetland,Water
340,Bareland,Wetland,Water,Wetland,Grassland
341,Bareland,Wetland,Water,Wetland,Wetland
342,Bareland,Wetland,Water,Wetland,Bareland
343,Bareland,Wetland,Water,Wetland,Water
344,Bareland,Wetland,Water,Wetland,Forest
345,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
346,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Water
347,Bareland,Bareland,NULL,Non_Wetland,Grassland
348,Bareland,Bareland,NULL,Non_Wetland,Wetland
349,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
350,Bareland,Bareland,NULL,Non_Wetland,Bareland
351,Bareland,Bareland,NULL,Non_Wetland,Built-up
352,Bareland,Bareland,NULL,Non_Wetland,Water
353,Bareland,Bareland,NULL,Non_Wetland,Forest
354,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
355,Bareland,Bareland,Non_Water,Non_Wetland,Water
356,Bareland,Bareland,Water,Non_Wetland,Grassland
357,Bareland,Bareland,Water,Non_Wetland,Wetland
358,Bareland,Bareland,Water,Non_Wetland,Bareland
359,Bareland,Bareland,Water,Non_Wetland,Water
360,Bareland,Bareland,Water,Non_Wetland,Forest
361,Bareland,Built-up,NULL,Non_Wetland,Grassland
362,Bareland,Built-up,NULL,Non_Wetland,Wetland
363,Bareland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
364,Bareland,Built-up,NULL,Non_Wetland,Bareland
365,Bareland,Built-up,NULL,Non_Wetland,Built-up
366,Bareland,Built-up,NULL,Non_Wetland,Water
367,Bareland,Built-up,NULL,Non_Wetland,Forest
368,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
369,Bareland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
370,Bareland,Built-up,Water,Non_Wetland,Bareland
371,Bareland,Built-up,Water,Non_Wetland,Water
372,Bareland,Built-up,Water,Non_Wetland,Forest
373,Bareland,Water,NULL,Water,Grassland
374,Bareland,Water,NULL,Water,Wetland
375,Bareland,Water,NULL,Water,Bareland
376,Bareland,Water,NULL,Water,Water
377,Bareland,Water,NULL,Water,Forest
378,Bareland,Water,Non_Water,Water,Bareland
379,Bareland,Water,Non_Water,Water,Water
380,Bareland,Water,Water,Water,Wetland
381,Bareland,Water,Water,Water,Lichens_and_Mosses
382,Bareland,Water,Water,Water,Bareland
383,Bareland,Water,Water,Water,Water
384,Bareland,Water,Water,Water,Forest
385,Bareland,Forest,NULL,Non_Wetland,Grassland
386,Bareland,Forest,NULL,Non_Wetland,Wetland
387,Bareland,Forest,NULL,Non_Wetland,Bareland
388,Bareland,Forest,NULL,Non_Wetland,Water
389,Bareland,Forest,NULL,Non_Wetland,Forest
390,Bareland,Forest,Non_Water,Non_Wetland,Water
391,Bareland,Forest,Water,Non_Wetland,Wetland
392,Bareland,Forest,Water,Non_Wetland,Water
393,Bareland,Forest,Water,Non_Wetland,Forest
394,Built-up,NULL,NULL,Non_Wetland,Grassland
395,Built-up,NULL,NULL,Non_Wetland,Bareland
396,Built-up,NULL,NULL,Non_Wetland,Built-up
397,Built-up,NULL,NULL,Non_Wetland,Forest
398,Built-up,NULL,Non_Water,Non_Wetland,Forest
399,Built-up,Shrubland,NULL,Non_Wetland,Grassland
400,Built-up,Shrubland,NULL,Non_Wetland,Bareland
401,Built-up,Shrubland,NULL,Non_Wetland,Built-up
402,Built-up,Shrubland,NULL,Non_Wetland,Forest
403,Built-up,Shrubland,Water,Non_Wetland,Forest
404,Built-up,Grassland,NULL,Non_Wetland,Grassland
405,Built-up,Grassland,NULL,Non_Wetland,Bareland
406,Built-up,Grassland,NULL,Non_Wetland,Built-up
407,Built-up,Grassland,NULL,Non_Wetland,Forest
408,Built-up,Wetland,NULL,Wetland,Grassland
409,Built-up,Wetland,NULL,Wetland,Forest
410,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
411,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Forest
412,Built-up,Bareland,NULL,Non_Wetland,Grassland
413,Built-up,Bareland,NULL,Non_Wetland,Bareland
414,Built-up,Bareland,NULL,Non_Wetland,Built-up
415,Built-up,Bareland,NULL,Non_Wetland,Permanent_ice_and_snow
416,Built-up,Bareland,NULL,Non_Wetland,Forest
417,Built-up,Bareland,Non_Water,Non_Wetland,Bareland
418,Built-up,Bareland,Non_Water,Non_Wetland,Built-up
419,Built-up,Bareland,Non_Water,Non_Wetland,Forest
420,Built-up,Bareland,Water,Non_Wetland,Bareland
421,Built-up,Bareland,Water,Non_Wetland,Forest
422,Built-up,Built-up,NULL,Non_Wetland,Grassland
423,Built-up,Built-up,NULL,Non_Wetland,Bareland
424,Built-up,Built-up,NULL,Non_Wetland,Built-up
425,Built-up,Built-up,NULL,Non_Wetland,Water
426,Built-up,Built-up,NULL,Non_Wetland,Forest
427,Built-up,Built-up,Non_Water,Non_Wetland,Bareland
428,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
429,Built-up,Built-up,Non_Water,Non_Wetland,Forest
430,Built-up,Built-up,Water,Non_Wetland,Bareland
431,Built-up,Built-up,Water,Non_Wetland,Built-up
432,Built-up,Built-up,Water,Non_Wetland,Forest
433,Built-up,Forest,NULL,Non_Wetland,Grassland
434,Built-up,Forest,NULL,Non_Wetland,Wetland
435,Built-up,Forest,NULL,Non_Wetland,Bareland
436,Built-up,Forest,NULL,Non_Wetland,Built-up
437,Built-up,Forest,NULL,Non_Wetland,Forest
438,Built-up,Forest,Non_Water,Non_Wetland,Forest
439,Water,NULL,NULL,Non_Wetland,Grassland
440,Water,NULL,NULL,Non_Wetland,Wetland
441,Water,NULL,NULL,Non_Wetland,Lichens_and_Mosses
442,Water,NULL,NULL,Non_Wetland,Bareland
443,Water,NULL,NULL,Non_Wetland,Water
444,Water,NULL,NULL,Non_Wetland,Forest
445,Water,NULL,Non_Water,Non_Wetland,Grassland
446,Water,NULL,Non_Water,Non_Wetland,Wetland
447,Water,NULL,Non_Water,Non_Wetland,Bareland
448,Water,NULL,Non_Water,Non_Wetland,Water
449,Water,NULL,Non_Water,Non_Wetland,Forest
450,Water,NULL,Water,Non_Wetland,Grassland
451,Water,NULL,Water,Non_Wetland,Wetland
452,Water,NULL,Water,Non_Wetland,Lichens_and_Mosses
453,Water,NULL,Water,Non_Wetland,Bareland
454,Water,NULL,Water,Non_Wetland,Water
455,Water,NULL,Water,Non_Wetland,Forest
456,Water,Shrubland,NULL,Non_Wetland,Grassland
457,Water,Shrubland,NULL,Non_Wetland,Wetland
458,Water,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
459,Water,Shrubland,NULL,Non_Wetland,Bareland
460,Water,Shrubland,NULL,Non_Wetland,Built-up
461,Water,Shrubland,NULL,Non_Wetland,Water
462,Water,Shrubland,NULL,Non_Wetland,Forest
463,Water,Shrubland,Non_Water,Non_Wetland,Grassland
464,Water,Shrubland,Non_Water,Non_Wetland,Wetland
465,Water,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
466,Water,Shrubland,Non_Water,Non_Wetland,Bareland
467,Water,Shrubland,Non_Water,Non_Wetland,Water
468,Water,Shrubland,Non_Water,Non_Wetland,Forest
469,Water,Shrubland,Water,Non_Wetland,Grassland
470,Water,Shrubland,Water,Non_Wetland,Wetland
471,Water,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
472,Water,Shrubland,Water,Non_Wetland,Bareland
473,Water,Shrubland,Water,Non_Wetland,Water
474,Water,Shrubland,Water,Non_Wetland,Forest
475,Water,Grassland,NULL,Non_Wetland,Grassland
476,Water,Grassland,NULL,Non_Wetland,Wetland
477,Water,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
478,Water,Grassland,NULL,Non_Wetland,Bareland
479,Water,Grassland,NULL,Non_Wetland,Water
480,Water,Grassland,NULL,Non_Wetland,Forest
481,Water,Grassland,Non_Water,Non_Wetland,Grassland
482,Water,Grassland,Non_Water,Non_Wetland,Wetland
483,Water,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
