Value,SIBERIA_2024_ESA_CALU_2024_43XDB_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_43XDB_M_R,SIBERIA_2024_GLC_FCS30D_2022_43XDB_M_R,SIBERIA_2024_GSW_Yearly_2021_43XDB_M_R,SIBERIA_2024_GWL_FCS30D_2022_43XDB_M_R,SIBERIA_2024_WorldCover_2021_43XDB_M_R
192,NULL,Bareland,Wetland,Water,Wetland,Wetland
193,NULL,Bareland,Wetland,Water,Wetland,Lichens_and_Mosses
194,NULL,Bareland,Wetland,Water,Wetland,Bareland
195,NULL,Bareland,Wetland,Water,Wetland,Water
196,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
197,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
198,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
199,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
200,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Water
201,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
202,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
203,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
204,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
205,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
206,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
207,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
208,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Water
209,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
210,NULL,Bareland,Bareland,NULL,Non_Wetland,Wetland
211,NULL,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
212,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
213,NULL,Bareland,Bareland,NULL,Non_Wetland,Water
214,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Wetland
215,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
216,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Water
217,NULL,Bareland,Bareland,Water,Non_Wetland,Wetland
218,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland
219,NULL,Bareland,Bareland,Water,Non_Wetland,Water
220,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland
221,NULL,Bareland,Built-up,NULL,Non_Wetland,Wetland
222,NULL,Bareland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
223,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
224,NULL,Bareland,Built-up,NULL,Non_Wetland,Water
225,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Wetland
226,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
227,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
228,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Water
229,NULL,Bareland,Built-up,Water,Non_Wetland,Bareland
230,NULL,Bareland,Built-up,Water,Non_Wetland,Water
231,NULL,Bareland,Water,NULL,Water,Wetland
232,NULL,Bareland,Water,NULL,Water,Lichens_and_Mosses
233,NULL,Bareland,Water,NULL,Water,Bareland
234,NULL,Bareland,Water,NULL,Water,Water
235,NULL,Bareland,Water,Non_Water,Water,Wetland
236,NULL,Bareland,Water,Non_Water,Water,Lichens_and_Mosses
237,NULL,Bareland,Water,Non_Water,Water,Bareland
238,NULL,Bareland,Water,Non_Water,Water,Water
239,NULL,Bareland,Water,Water,Water,Wetland
240,NULL,Bareland,Water,Water,Water,Lichens_and_Mosses
241,NULL,Bareland,Water,Water,Water,Bareland
242,NULL,Bareland,Water,Water,Water,Water
243,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland
244,NULL,Water,Shrubland,NULL,Non_Wetland,Water
245,NULL,Water,Shrubland,Non_Water,Non_Wetland,Wetland
246,NULL,Water,Shrubland,Non_Water,Non_Wetland,Water
247,NULL,Water,Shrubland,Water,Non_Wetland,Wetland
248,NULL,Water,Shrubland,Water,Non_Wetland,Water
249,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
250,NULL,Water,Grassland,NULL,Non_Wetland,Wetland
251,NULL,Water,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
252,NULL,Water,Grassland,NULL,Non_Wetland,Water
253,NULL,Water,Wetland,NULL,NULL,Wetland
254,NULL,Water,Wetland,NULL,NULL,Bareland
255,NULL,Water,Wetland,NULL,NULL,Water
256,NULL,Water,Wetland,NULL,Wetland,Wetland
257,NULL,Water,Wetland,NULL,Wetland,Bareland
258,NULL,Water,Wetland,NULL,Wetland,Water
259,NULL,Water,Wetland,Non_Water,NULL,Water
260,NULL,Water,Wetland,Non_Water,Wetland,Wetland
261,NULL,Water,Wetland,Non_Water,Wetland,Bareland
262,NULL,Water,Wetland,Non_Water,Wetland,Water
263,NULL,Water,Wetland,Water,NULL,Wetland
264,NULL,Water,Wetland,Water,NULL,Bareland
265,NULL,Water,Wetland,Water,NULL,Water
266,NULL,Water,Wetland,Water,Wetland,Grassland
267,NULL,Water,Wetland,Water,Wetland,Wetland
268,NULL,Water,Wetland,Water,Wetland,Bareland
269,NULL,Water,Wetland,Water,Wetland,Water
270,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
271,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
272,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Water
273,NULL,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
274,NULL,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
275,NULL,Water,Lichens_and_Mosses,Water,Non_Wetland,Wetland
276,NULL,Water,Lichens_and_Mosses,Water,Non_Wetland,Water
277,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
278,NULL,Water,Bareland,NULL,Non_Wetland,Wetland
279,NULL,Water,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
280,NULL,Water,Bareland,NULL,Non_Wetland,Water
281,NULL,Water,Bareland,Non_Water,Non_Wetland,Wetland
282,NULL,Water,Bareland,Non_Water,Non_Wetland,Water
283,NULL,Water,Bareland,Water,Non_Wetland,Wetland
284,NULL,Water,Bareland,Water,Non_Wetland,Bareland
285,NULL,Water,Bareland,Water,Non_Wetland,Water
286,NULL,Water,Water,NULL,NULL,Water
287,NULL,Water,Water,NULL,Water,Wetland
288,NULL,Water,Water,NULL,Water,Water
289,NULL,Water,Water,Non_Water,NULL,Water
290,NULL,Water,Water,Non_Water,Water,Wetland
291,NULL,Water,Water,Non_Water,Water,Water
292,NULL,Water,Water,Water,NULL,Wetland
293,NULL,Water,Water,Water,NULL,Bareland
294,NULL,Water,Water,Water,NULL,Water
295,NULL,Water,Water,Water,Water,Wetland
296,NULL,Water,Water,Water,Water,Bareland
297,NULL,Water,Water,Water,Water,Water
298,NULL,Water,Forest,NULL,Non_Wetland,Wetland
299,NULL,Water,Forest,NULL,Non_Wetland,Water
300,NULL,Water,Forest,Water,Non_Wetland,Wetland
301,NULL,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Grassland
302,NULL,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Wetland
303,NULL,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Water
304,NULL,Permanent_ice_and_snow,Shrubland,Non_Water,Non_Wetland,Grassland
305,NULL,Permanent_ice_and_snow,Shrubland,Non_Water,Non_Wetland,Wetland
306,NULL,Permanent_ice_and_snow,Shrubland,Non_Water,Non_Wetland,Water
307,NULL,Permanent_ice_and_snow,Shrubland,Water,Non_Wetland,Grassland
308,NULL,Permanent_ice_and_snow,Shrubland,Water,Non_Wetland,Wetland
309,NULL,Permanent_ice_and_snow,Shrubland,Water,Non_Wetland,Water
310,NULL,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Grassland
311,NULL,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Wetland
312,NULL,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Water
313,NULL,Permanent_ice_and_snow,Grassland,Non_Water,Non_Wetland,Grassland
314,NULL,Permanent_ice_and_snow,Grassland,Non_Water,Non_Wetland,Wetland
315,NULL,Permanent_ice_and_snow,Grassland,Non_Water,Non_Wetland,Water
316,NULL,Permanent_ice_and_snow,Grassland,Water,Non_Wetland,Wetland
317,NULL,Permanent_ice_and_snow,Wetland,NULL,NULL,Grassland
318,NULL,Permanent_ice_and_snow,Wetland,NULL,NULL,Wetland
319,NULL,Permanent_ice_and_snow,Wetland,NULL,NULL,Lichens_and_Mosses
320,NULL,Permanent_ice_and_snow,Wetland,NULL,NULL,Bareland
321,NULL,Permanent_ice_and_snow,Wetland,NULL,NULL,Water
322,NULL,Permanent_ice_and_snow,Wetland,NULL,Wetland,Grassland
323,NULL,Permanent_ice_and_snow,Wetland,NULL,Wetland,Wetland
324,NULL,Permanent_ice_and_snow,Wetland,NULL,Wetland,Lichens_and_Mosses
325,NULL,Permanent_ice_and_snow,Wetland,NULL,Wetland,Bareland
326,NULL,Permanent_ice_and_snow,Wetland,NULL,Wetland,Water
327,NULL,Permanent_ice_and_snow,Wetland,Non_Water,NULL,Grassland
328,NULL,Permanent_ice_and_snow,Wetland,Non_Water,NULL,Wetland
329,NULL,Permanent_ice_and_snow,Wetland,Non_Water,NULL,Water
330,NULL,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Grassland
331,NULL,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Wetland
332,NULL,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Bareland
333,NULL,Permanent_ice_and_snow,Wetland,Non_Water,Wetland,Water
334,NULL,Permanent_ice_and_snow,Wetland,Water,NULL,Grassland
335,NULL,Permanent_ice_and_snow,Wetland,Water,NULL,Wetland
336,NULL,Permanent_ice_and_snow,Wetland,Water,NULL,Bareland
337,NULL,Permanent_ice_and_snow,Wetland,Water,NULL,Water
338,NULL,Permanent_ice_and_snow,Wetland,Water,Wetland,Grassland
339,NULL,Permanent_ice_and_snow,Wetland,Water,Wetland,Wetland
340,NULL,Permanent_ice_and_snow,Wetland,Water,Wetland,Lichens_and_Mosses
341,NULL,Permanent_ice_and_snow,Wetland,Water,Wetland,Bareland
342,NULL,Permanent_ice_and_snow,Wetland,Water,Wetland,Water
343,NULL,Permanent_ice_and_snow,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
344,NULL,Permanent_ice_and_snow,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
345,NULL,Permanent_ice_and_snow,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
346,NULL,Permanent_ice_and_snow,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
347,NULL,Permanent_ice_and_snow,Lichens_and_Mosses,NULL,Non_Wetland,Water
348,NULL,Permanent_ice_and_snow,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
349,NULL,Permanent_ice_and_snow,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
350,NULL,Permanent_ice_and_snow,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
351,NULL,Permanent_ice_and_snow,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
352,NULL,Permanent_ice_and_snow,Lichens_and_Mosses,Water,Non_Wetland,Grassland
353,NULL,Permanent_ice_and_snow,Lichens_and_Mosses,Water,Non_Wetland,Wetland
354,NULL,Permanent_ice_and_snow,Lichens_and_Mosses,Water,Non_Wetland,Bareland
355,NULL,Permanent_ice_and_snow,Lichens_and_Mosses,Water,Non_Wetland,Water
356,NULL,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Grassland
357,NULL,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Wetland
358,NULL,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
359,NULL,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Bareland
360,NULL,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Water
361,NULL,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Grassland
362,NULL,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Wetland
363,NULL,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
364,NULL,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Bareland
365,NULL,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Water
366,NULL,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Grassland
367,NULL,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Wetland
368,NULL,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Lichens_and_Mosses
369,NULL,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Bareland
370,NULL,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Water
371,NULL,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Grassland
372,NULL,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Wetland
373,NULL,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
374,NULL,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Bareland
375,NULL,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Water
376,NULL,Permanent_ice_and_snow,Built-up,Non_Water,Non_Wetland,Grassland
377,NULL,Permanent_ice_and_snow,Built-up,Non_Water,Non_Wetland,Wetland
378,NULL,Permanent_ice_and_snow,Built-up,Non_Water,Non_Wetland,Bareland
379,NULL,Permanent_ice_and_snow,Built-up,Non_Water,Non_Wetland,Water
380,NULL,Permanent_ice_and_snow,Built-up,Water,Non_Wetland,Grassland
381,NULL,Permanent_ice_and_snow,Built-up,Water,Non_Wetland,Bareland
382,NULL,Permanent_ice_and_snow,Water,NULL,NULL,Grassland
383,NULL,Permanent_ice_and_snow,Water,NULL,NULL,Bareland
384,NULL,Permanent_ice_and_snow,Water,NULL,NULL,Water
385,NULL,Permanent_ice_and_snow,Water,NULL,Water,Grassland
386,NULL,Permanent_ice_and_snow,Water,NULL,Water,Wetland
387,NULL,Permanent_ice_and_snow,Water,NULL,Water,Lichens_and_Mosses
388,NULL,Permanent_ice_and_snow,Water,NULL,Water,Bareland
389,NULL,Permanent_ice_and_snow,Water,NULL,Water,Water
390,NULL,Permanent_ice_and_snow,Water,Non_Water,Water,Wetland
391,NULL,Permanent_ice_and_snow,Water,Non_Water,Water,Bareland
392,NULL,Permanent_ice_and_snow,Water,Non_Water,Water,Water
393,NULL,Permanent_ice_and_snow,Water,Water,NULL,Water
394,NULL,Permanent_ice_and_snow,Water,Water,Water,Grassland
395,NULL,Permanent_ice_and_snow,Water,Water,Water,Wetland
396,NULL,Permanent_ice_and_snow,Water,Water,Water,Bareland
397,NULL,Permanent_ice_and_snow,Water,Water,Water,Water
398,NULL,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Wetland
