Value,SIBERIA_2024_ESA_CALU_2024_41WPS_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_41WPS_M_R,SIBERIA_2024_GLC_FCS30D_2022_41WPS_M_R,SIBERIA_2024_GSW_Yearly_2021_41WPS_M_R,SIBERIA_2024_GWL_FCS30D_2022_41WPS_M_R,SIBERIA_2024_WorldCover_2021_41WPS_M_R
107,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
108,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
109,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
110,NULL,NULL,Bareland,Water,Non_Wetland,Lichens_and_Mosses
111,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
112,NULL,NULL,Bareland,Water,Non_Wetland,Water
113,NULL,NULL,Bareland,Water,Non_Wetland,Forest
114,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
115,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
116,NULL,NULL,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
117,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
118,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
119,NULL,NULL,Built-up,NULL,Non_Wetland,Water
120,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
121,NULL,NULL,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
122,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
123,NULL,NULL,Built-up,Non_Water,Non_Wetland,Water
124,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
125,NULL,NULL,Built-up,Water,Non_Wetland,Wetland
126,NULL,NULL,Built-up,Water,Non_Wetland,Lichens_and_Mosses
127,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
128,NULL,NULL,Built-up,Water,Non_Wetland,Water
129,NULL,NULL,Water,NULL,NULL,NULL
130,NULL,NULL,Water,NULL,NULL,Water
131,NULL,NULL,Water,NULL,Water,Grassland
132,NULL,NULL,Water,NULL,Water,Wetland
133,NULL,NULL,Water,NULL,Water,Lichens_and_Mosses
134,NULL,NULL,Water,NULL,Water,Bareland
135,NULL,NULL,Water,NULL,Water,Water
136,NULL,NULL,Water,NULL,Water,Forest
137,NULL,NULL,Water,Non_Water,Water,Grassland
138,NULL,NULL,Water,Non_Water,Water,Wetland
139,NULL,NULL,Water,Non_Water,Water,Lichens_and_Mosses
140,NULL,NULL,Water,Non_Water,Water,Bareland
141,NULL,NULL,Water,Non_Water,Water,Water
142,NULL,NULL,Water,Water,NULL,NULL
143,NULL,NULL,Water,Water,NULL,Water
144,NULL,NULL,Water,Water,Water,Grassland
145,NULL,NULL,Water,Water,Water,Wetland
146,NULL,NULL,Water,Water,Water,Lichens_and_Mosses
147,NULL,NULL,Water,Water,Water,Bareland
148,NULL,NULL,Water,Water,Water,Water
149,NULL,NULL,Water,Water,Water,Forest
150,NULL,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,Grassland
151,NULL,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,Lichens_and_Mosses
152,NULL,NULL,Forest,NULL,Non_Wetland,NULL
153,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
154,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
155,NULL,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
156,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
157,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
158,NULL,NULL,Forest,NULL,Non_Wetland,Water
159,NULL,NULL,Forest,NULL,Non_Wetland,Forest
160,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
161,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
162,NULL,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
163,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland
164,NULL,NULL,Forest,Non_Water,Non_Wetland,Water
165,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
166,NULL,NULL,Forest,Water,Non_Wetland,Grassland
167,NULL,NULL,Forest,Water,Non_Wetland,Wetland
168,NULL,NULL,Forest,Water,Non_Wetland,Lichens_and_Mosses
169,NULL,NULL,Forest,Water,Non_Wetland,Bareland
170,NULL,NULL,Forest,Water,Non_Wetland,Water
171,NULL,NULL,Forest,Water,Non_Wetland,Forest
172,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland
173,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland
174,NULL,Wetland,NULL,NULL,Non_Wetland,Lichens_and_Mosses
175,NULL,Wetland,NULL,NULL,Non_Wetland,Water
176,NULL,Wetland,NULL,NULL,Non_Wetland,Forest
177,NULL,Wetland,NULL,Non_Water,Non_Wetland,Grassland
178,NULL,Wetland,NULL,Non_Water,Non_Wetland,Wetland
179,NULL,Wetland,NULL,Non_Water,Non_Wetland,Water
180,NULL,Wetland,NULL,Non_Water,Non_Wetland,Forest
181,NULL,Wetland,NULL,Water,Non_Wetland,Grassland
182,NULL,Wetland,NULL,Water,Non_Wetland,Wetland
183,NULL,Wetland,NULL,Water,Non_Wetland,Water
184,NULL,Wetland,NULL,Water,Non_Wetland,Forest
185,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
186,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
187,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
188,NULL,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
189,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland
190,NULL,Wetland,Shrubland,NULL,Non_Wetland,Built-up
191,NULL,Wetland,Shrubland,NULL,Non_Wetland,Water
192,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
193,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
194,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
195,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
196,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland
197,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Water
198,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
199,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland
200,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland
201,NULL,Wetland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
202,NULL,Wetland,Shrubland,Water,Non_Wetland,Bareland
203,NULL,Wetland,Shrubland,Water,Non_Wetland,Water
204,NULL,Wetland,Shrubland,Water,Non_Wetland,Forest
205,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
206,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland
207,NULL,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
208,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland
209,NULL,Wetland,Grassland,NULL,Non_Wetland,Built-up
210,NULL,Wetland,Grassland,NULL,Non_Wetland,Water
211,NULL,Wetland,Grassland,NULL,Non_Wetland,Forest
212,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
213,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
214,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Water
215,NULL,Wetland,Grassland,Water,Non_Wetland,Grassland
216,NULL,Wetland,Grassland,Water,Non_Wetland,Wetland
217,NULL,Wetland,Grassland,Water,Non_Wetland,Lichens_and_Mosses
218,NULL,Wetland,Grassland,Water,Non_Wetland,Bareland
219,NULL,Wetland,Grassland,Water,Non_Wetland,Water
220,NULL,Wetland,Wetland,NULL,NULL,Wetland
221,NULL,Wetland,Wetland,NULL,NULL,Water
222,NULL,Wetland,Wetland,NULL,Wetland,Grassland
223,NULL,Wetland,Wetland,NULL,Wetland,Wetland
224,NULL,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
225,NULL,Wetland,Wetland,NULL,Wetland,Bareland
226,NULL,Wetland,Wetland,NULL,Wetland,Built-up
227,NULL,Wetland,Wetland,NULL,Wetland,Water
228,NULL,Wetland,Wetland,NULL,Wetland,Forest
229,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland
230,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland
231,NULL,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
232,NULL,Wetland,Wetland,Non_Water,Wetland,Bareland
233,NULL,Wetland,Wetland,Non_Water,Wetland,Water
234,NULL,Wetland,Wetland,Non_Water,Wetland,Forest
235,NULL,Wetland,Wetland,Water,NULL,Wetland
236,NULL,Wetland,Wetland,Water,NULL,Water
237,NULL,Wetland,Wetland,Water,Wetland,Grassland
238,NULL,Wetland,Wetland,Water,Wetland,Wetland
239,NULL,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
240,NULL,Wetland,Wetland,Water,Wetland,Bareland
241,NULL,Wetland,Wetland,Water,Wetland,Water
242,NULL,Wetland,Wetland,Water,Wetland,Permanent_ice_and_snow
243,NULL,Wetland,Wetland,Water,Wetland,Forest
244,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
245,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
246,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
247,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
248,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
249,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
250,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
251,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
252,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
253,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
254,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
255,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
256,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
257,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
258,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
259,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
260,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
261,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Forest
262,NULL,Wetland,Bareland,NULL,Non_Wetland,Grassland
263,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland
264,NULL,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
265,NULL,Wetland,Bareland,NULL,Non_Wetland,Bareland
266,NULL,Wetland,Bareland,NULL,Non_Wetland,Built-up
267,NULL,Wetland,Bareland,NULL,Non_Wetland,Water
268,NULL,Wetland,Bareland,NULL,Non_Wetland,Permanent_ice_and_snow
269,NULL,Wetland,Bareland,NULL,Non_Wetland,Forest
270,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
271,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
272,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
273,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
274,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Built-up
275,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Water
276,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Forest
277,NULL,Wetland,Bareland,Water,Non_Wetland,Grassland
278,NULL,Wetland,Bareland,Water,Non_Wetland,Wetland
279,NULL,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
280,NULL,Wetland,Bareland,Water,Non_Wetland,Bareland
281,NULL,Wetland,Bareland,Water,Non_Wetland,Water
282,NULL,Wetland,Bareland,Water,Non_Wetland,Forest
283,NULL,Wetland,Built-up,NULL,Non_Wetland,Grassland
284,NULL,Wetland,Built-up,NULL,Non_Wetland,Wetland
285,NULL,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
286,NULL,Wetland,Built-up,NULL,Non_Wetland,Bareland
287,NULL,Wetland,Built-up,NULL,Non_Wetland,Built-up
288,NULL,Wetland,Built-up,NULL,Non_Wetland,Water
289,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Grassland
290,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
291,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Bareland
292,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Water
293,NULL,Wetland,Built-up,Water,Non_Wetland,Wetland
294,NULL,Wetland,Built-up,Water,Non_Wetland,Bareland
295,NULL,Wetland,Built-up,Water,Non_Wetland,Water
296,NULL,Wetland,Water,NULL,NULL,Wetland
297,NULL,Wetland,Water,NULL,NULL,Water
298,NULL,Wetland,Water,NULL,Water,Grassland
299,NULL,Wetland,Water,NULL,Water,Wetland
300,NULL,Wetland,Water,NULL,Water,Lichens_and_Mosses
301,NULL,Wetland,Water,NULL,Water,Bareland
302,NULL,Wetland,Water,NULL,Water,Water
303,NULL,Wetland,Water,NULL,Water,Forest
304,NULL,Wetland,Water,Non_Water,NULL,Wetland
305,NULL,Wetland,Water,Non_Water,NULL,Water
306,NULL,Wetland,Water,Non_Water,Water,Grassland
307,NULL,Wetland,Water,Non_Water,Water,Wetland
308,NULL,Wetland,Water,Non_Water,Water,Lichens_and_Mosses
309,NULL,Wetland,Water,Non_Water,Water,Bareland
310,NULL,Wetland,Water,Non_Water,Water,Water
311,NULL,Wetland,Water,Water,NULL,Wetland
312,NULL,Wetland,Water,Water,NULL,Bareland
313,NULL,Wetland,Water,Water,NULL,Water
314,NULL,Wetland,Water,Water,Water,Grassland
315,NULL,Wetland,Water,Water,Water,Wetland
316,NULL,Wetland,Water,Water,Water,Lichens_and_Mosses
317,NULL,Wetland,Water,Water,Water,Bareland
318,NULL,Wetland,Water,Water,Water,Water
319,NULL,Wetland,Water,Water,Water,Permanent_ice_and_snow
320,NULL,Wetland,Water,Water,Water,Forest
321,NULL,Wetland,Forest,NULL,Non_Wetland,NULL
322,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
323,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
324,NULL,Wetland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
325,NULL,Wetland,Forest,NULL,Non_Wetland,Bareland
326,NULL,Wetland,Forest,NULL,Non_Wetland,Built-up
327,NULL,Wetland,Forest,NULL,Non_Wetland,Water
328,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
329,NULL,Wetland,Forest,Non_Water,Non_Wetland,Grassland
330,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland
331,NULL,Wetland,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
332,NULL,Wetland,Forest,Non_Water,Non_Wetland,Bareland
333,NULL,Wetland,Forest,Non_Water,Non_Wetland,Water
334,NULL,Wetland,Forest,Non_Water,Non_Wetland,Forest
335,NULL,Wetland,Forest,Water,Non_Wetland,Grassland
336,NULL,Wetland,Forest,Water,Non_Wetland,Wetland
337,NULL,Wetland,Forest,Water,Non_Wetland,Lichens_and_Mosses
338,NULL,Wetland,Forest,Water,Non_Wetland,Bareland
339,NULL,Wetland,Forest,Water,Non_Wetland,Water
340,NULL,Wetland,Forest,Water,Non_Wetland,Forest
341,NULL,Bareland,NULL,Non_Water,Non_Wetland,Wetland
342,NULL,Bareland,NULL,Non_Water,Non_Wetland,Water
343,NULL,Bareland,NULL,Water,Non_Wetland,Water
344,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
345,NULL,Bareland,Shrubland,NULL,Non_Wetland,Wetland
346,NULL,Bareland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
347,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
348,NULL,Bareland,Shrubland,NULL,Non_Wetland,Water
349,NULL,Bareland,Shrubland,NULL,Non_Wetland,Forest
350,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Wetland
351,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
352,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Bareland
353,NULL,Bareland,Shrubland,Water,Non_Wetland,Grassland
354,NULL,Bareland,Shrubland,Water,Non_Wetland,Wetland
355,NULL,Bareland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
356,NULL,Bareland,Shrubland,Water,Non_Wetland,Bareland
357,NULL,Bareland,Shrubland,Water,Non_Wetland,Water
358,NULL,Bareland,Shrubland,Water,Non_Wetland,Forest
359,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
360,NULL,Bareland,Grassland,NULL,Non_Wetland,Wetland
361,NULL,Bareland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
362,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
363,NULL,Bareland,Grassland,NULL,Non_Wetland,Water
364,NULL,Bareland,Wetland,NULL,NULL,Bareland
365,NULL,Bareland,Wetland,NULL,Wetland,Grassland
366,NULL,Bareland,Wetland,NULL,Wetland,Wetland
367,NULL,Bareland,Wetland,NULL,Wetland,Lichens_and_Mosses
368,NULL,Bareland,Wetland,NULL,Wetland,Bareland
369,NULL,Bareland,Wetland,NULL,Wetland,Water
370,NULL,Bareland,Wetland,NULL,Wetland,Forest
371,NULL,Bareland,Wetland,Non_Water,NULL,Bareland
372,NULL,Bareland,Wetland,Non_Water,Wetland,Grassland
373,NULL,Bareland,Wetland,Non_Water,Wetland,Wetland
374,NULL,Bareland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
375,NULL,Bareland,Wetland,Non_Water,Wetland,Bareland
376,NULL,Bareland,Wetland,Non_Water,Wetland,Water
377,NULL,Bareland,Wetland,Water,NULL,Bareland
378,NULL,Bareland,Wetland,Water,NULL,Water
379,NULL,Bareland,Wetland,Water,Wetland,Grassland
380,NULL,Bareland,Wetland,Water,Wetland,Wetland
381,NULL,Bareland,Wetland,Water,Wetland,Lichens_and_Mosses
382,NULL,Bareland,Wetland,Water,Wetland,Bareland
383,NULL,Bareland,Wetland,Water,Wetland,Water
384,NULL,Bareland,Wetland,Water,Wetland,Forest
385,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
386,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
387,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
388,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
389,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Water
390,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
391,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
392,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
393,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
394,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
395,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
396,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
397,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
398,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Water
399,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
400,NULL,Bareland,Bareland,NULL,Non_Wetland,Wetland
401,NULL,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
402,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
403,NULL,Bareland,Bareland,NULL,Non_Wetland,Built-up
404,NULL,Bareland,Bareland,NULL,Non_Wetland,Water
405,NULL,Bareland,Bareland,NULL,Non_Wetland,Permanent_ice_and_snow
406,NULL,Bareland,Bareland,NULL,Non_Wetland,Forest
407,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
408,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Wetland
409,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
410,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
