Value,SIBERIA_2024_ESA_CALU_2024_44XNG_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_44XNG_M_R,SIBERIA_2024_GLC_FCS30D_2022_44XNG_M_R,SIBERIA_2024_GSW_Yearly_2021_44XNG_M_R,SIBERIA_2024_GWL_FCS30D_2022_44XNG_M_R,SIBERIA_2024_WorldCover_2021_44XNG_M_R
126,NULL,NULL,Water,Non_Water,Water,Water
127,NULL,NULL,Water,Water,NULL,Water
128,NULL,NULL,Water,Water,Water,Grassland
129,NULL,NULL,Water,Water,Water,Wetland
130,NULL,NULL,Water,Water,Water,Lichens_and_Mosses
131,NULL,NULL,Water,Water,Water,Bareland
132,NULL,NULL,Water,Water,Water,Water
133,NULL,NULL,Water,Water,Water,Forest
134,NULL,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,Grassland
135,NULL,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,Lichens_and_Mosses
136,NULL,NULL,Permanent_ice_and_snow,Non_Water,Non_Wetland,Lichens_and_Mosses
137,NULL,NULL,Permanent_ice_and_snow,Non_Water,Non_Wetland,Bareland
138,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
139,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
140,NULL,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
141,NULL,NULL,Forest,NULL,Non_Wetland,Water
142,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
143,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
144,NULL,NULL,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
145,NULL,NULL,Forest,Non_Water,Non_Wetland,Water
146,NULL,NULL,Forest,Water,Non_Wetland,Grassland
147,NULL,NULL,Forest,Water,Non_Wetland,Wetland
148,NULL,NULL,Forest,Water,Non_Wetland,Lichens_and_Mosses
149,NULL,NULL,Forest,Water,Non_Wetland,Water
150,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
151,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
152,NULL,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
153,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland
154,NULL,Wetland,Shrubland,NULL,Non_Wetland,Water
155,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
156,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
157,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
158,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland
159,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Water
160,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland
161,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland
162,NULL,Wetland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
163,NULL,Wetland,Shrubland,Water,Non_Wetland,Bareland
164,NULL,Wetland,Shrubland,Water,Non_Wetland,Water
165,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
166,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland
167,NULL,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
168,NULL,Wetland,Grassland,NULL,Non_Wetland,Water
169,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
170,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
171,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
172,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Water
173,NULL,Wetland,Grassland,Water,Non_Wetland,Grassland
174,NULL,Wetland,Grassland,Water,Non_Wetland,Wetland
175,NULL,Wetland,Grassland,Water,Non_Wetland,Lichens_and_Mosses
176,NULL,Wetland,Grassland,Water,Non_Wetland,Water
177,NULL,Wetland,Wetland,NULL,Wetland,Grassland
178,NULL,Wetland,Wetland,NULL,Wetland,Wetland
179,NULL,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
180,NULL,Wetland,Wetland,NULL,Wetland,Bareland
181,NULL,Wetland,Wetland,NULL,Wetland,Water
182,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland
183,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland
184,NULL,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
185,NULL,Wetland,Wetland,Non_Water,Wetland,Bareland
186,NULL,Wetland,Wetland,Non_Water,Wetland,Water
187,NULL,Wetland,Wetland,Water,Wetland,Grassland
188,NULL,Wetland,Wetland,Water,Wetland,Wetland
189,NULL,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
190,NULL,Wetland,Wetland,Water,Wetland,Bareland
191,NULL,Wetland,Wetland,Water,Wetland,Water
192,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
193,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
194,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
195,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
196,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
197,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
198,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
199,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
200,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
201,NULL,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
202,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
203,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
204,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
205,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
206,NULL,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
207,NULL,Wetland,Bareland,NULL,Non_Wetland,Grassland
208,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland
209,NULL,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
210,NULL,Wetland,Bareland,NULL,Non_Wetland,Bareland
211,NULL,Wetland,Bareland,NULL,Non_Wetland,Water
212,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
213,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
214,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
215,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
216,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Water
217,NULL,Wetland,Bareland,Water,Non_Wetland,Grassland
218,NULL,Wetland,Bareland,Water,Non_Wetland,Wetland
219,NULL,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
220,NULL,Wetland,Bareland,Water,Non_Wetland,Bareland
221,NULL,Wetland,Bareland,Water,Non_Wetland,Water
222,NULL,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
223,NULL,Wetland,Built-up,NULL,Non_Wetland,Bareland
224,NULL,Wetland,Built-up,NULL,Non_Wetland,Water
225,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
226,NULL,Wetland,Built-up,Water,Non_Wetland,Grassland
227,NULL,Wetland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
228,NULL,Wetland,Built-up,Water,Non_Wetland,Bareland
229,NULL,Wetland,Built-up,Water,Non_Wetland,Water
230,NULL,Wetland,Water,NULL,Water,Grassland
231,NULL,Wetland,Water,NULL,Water,Wetland
232,NULL,Wetland,Water,NULL,Water,Lichens_and_Mosses
233,NULL,Wetland,Water,NULL,Water,Bareland
234,NULL,Wetland,Water,NULL,Water,Water
235,NULL,Wetland,Water,Non_Water,Water,Grassland
236,NULL,Wetland,Water,Non_Water,Water,Wetland
237,NULL,Wetland,Water,Non_Water,Water,Lichens_and_Mosses
238,NULL,Wetland,Water,Non_Water,Water,Bareland
239,NULL,Wetland,Water,Non_Water,Water,Water
240,NULL,Wetland,Water,Water,Water,Grassland
241,NULL,Wetland,Water,Water,Water,Wetland
242,NULL,Wetland,Water,Water,Water,Lichens_and_Mosses
243,NULL,Wetland,Water,Water,Water,Bareland
244,NULL,Wetland,Water,Water,Water,Water
245,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
246,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
247,NULL,Wetland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
248,NULL,Wetland,Forest,NULL,Non_Wetland,Water
249,NULL,Wetland,Forest,Non_Water,Non_Wetland,Grassland
250,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland
251,NULL,Wetland,Forest,Non_Water,Non_Wetland,Water
252,NULL,Wetland,Forest,Water,Non_Wetland,Grassland
253,NULL,Wetland,Forest,Water,Non_Wetland,Wetland
254,NULL,Wetland,Forest,Water,Non_Wetland,Lichens_and_Mosses
255,NULL,Wetland,Forest,Water,Non_Wetland,Water
256,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
257,NULL,Bareland,Shrubland,NULL,Non_Wetland,Wetland
258,NULL,Bareland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
259,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
260,NULL,Bareland,Shrubland,NULL,Non_Wetland,Water
261,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
262,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Bareland
263,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Water
264,NULL,Bareland,Shrubland,Water,Non_Wetland,Grassland
265,NULL,Bareland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
266,NULL,Bareland,Shrubland,Water,Non_Wetland,Bareland
267,NULL,Bareland,Shrubland,Water,Non_Wetland,Water
268,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
269,NULL,Bareland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
270,NULL,Bareland,Wetland,NULL,Wetland,Grassland
271,NULL,Bareland,Wetland,NULL,Wetland,Lichens_and_Mosses
272,NULL,Bareland,Wetland,NULL,Wetland,Bareland
273,NULL,Bareland,Wetland,NULL,Wetland,Water
274,NULL,Bareland,Wetland,Non_Water,NULL,Water
275,NULL,Bareland,Wetland,Non_Water,Wetland,Grassland
276,NULL,Bareland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
277,NULL,Bareland,Wetland,Non_Water,Wetland,Bareland
278,NULL,Bareland,Wetland,Non_Water,Wetland,Water
279,NULL,Bareland,Wetland,Water,NULL,Bareland
280,NULL,Bareland,Wetland,Water,NULL,Water
281,NULL,Bareland,Wetland,Water,Wetland,Grassland
282,NULL,Bareland,Wetland,Water,Wetland,Wetland
283,NULL,Bareland,Wetland,Water,Wetland,Lichens_and_Mosses
284,NULL,Bareland,Wetland,Water,Wetland,Bareland
285,NULL,Bareland,Wetland,Water,Wetland,Water
286,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
287,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
288,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
289,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Water
290,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
291,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
292,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
293,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
294,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
295,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Bareland
296,NULL,Bareland,Lichens_and_Mosses,Water,Non_Wetland,Water
297,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
298,NULL,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
299,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
300,NULL,Bareland,Bareland,NULL,Non_Wetland,Water
301,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
302,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
303,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
304,NULL,Bareland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
305,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland
306,NULL,Bareland,Bareland,Water,Non_Wetland,Water
307,NULL,Bareland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
308,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
309,NULL,Bareland,Built-up,NULL,Non_Wetland,Water
310,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
311,NULL,Bareland,Built-up,Water,Non_Wetland,Wetland
312,NULL,Bareland,Built-up,Water,Non_Wetland,Lichens_and_Mosses
313,NULL,Bareland,Built-up,Water,Non_Wetland,Bareland
314,NULL,Bareland,Built-up,Water,Non_Wetland,Water
315,NULL,Bareland,Water,NULL,Water,Lichens_and_Mosses
316,NULL,Bareland,Water,NULL,Water,Bareland
317,NULL,Bareland,Water,NULL,Water,Water
318,NULL,Bareland,Water,Non_Water,Water,Grassland
319,NULL,Bareland,Water,Non_Water,Water,Bareland
320,NULL,Bareland,Water,Non_Water,Water,Water
321,NULL,Bareland,Water,Water,NULL,Water
322,NULL,Bareland,Water,Water,Water,Grassland
323,NULL,Bareland,Water,Water,Water,Wetland
324,NULL,Bareland,Water,Water,Water,Lichens_and_Mosses
325,NULL,Bareland,Water,Water,Water,Bareland
326,NULL,Bareland,Water,Water,Water,Water
327,NULL,Bareland,Permanent_ice_and_snow,NULL,Non_Wetland,Lichens_and_Mosses
328,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
329,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland
330,NULL,Water,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
331,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
332,NULL,Water,Shrubland,NULL,Non_Wetland,Water
333,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
334,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland
335,NULL,Water,Shrubland,Non_Water,Non_Wetland,Wetland
336,NULL,Water,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
337,NULL,Water,Shrubland,Non_Water,Non_Wetland,Bareland
338,NULL,Water,Shrubland,Non_Water,Non_Wetland,Water
339,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
340,NULL,Water,Shrubland,Water,Non_Wetland,Wetland
341,NULL,Water,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
342,NULL,Water,Shrubland,Water,Non_Wetland,Bareland
343,NULL,Water,Shrubland,Water,Non_Wetland,Water
344,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
345,NULL,Water,Grassland,NULL,Non_Wetland,Wetland
346,NULL,Water,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
347,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
348,NULL,Water,Grassland,NULL,Non_Wetland,Water
349,NULL,Water,Grassland,Non_Water,Non_Wetland,Grassland
350,NULL,Water,Grassland,Non_Water,Non_Wetland,Lichens_and_Mosses
351,NULL,Water,Grassland,Non_Water,Non_Wetland,Water
352,NULL,Water,Grassland,Water,Non_Wetland,Grassland
353,NULL,Water,Grassland,Water,Non_Wetland,Wetland
354,NULL,Water,Grassland,Water,Non_Wetland,Lichens_and_Mosses
355,NULL,Water,Grassland,Water,Non_Wetland,Water
356,NULL,Water,Wetland,NULL,NULL,Grassland
357,NULL,Water,Wetland,NULL,NULL,Wetland
358,NULL,Water,Wetland,NULL,NULL,Lichens_and_Mosses
359,NULL,Water,Wetland,NULL,NULL,Bareland
360,NULL,Water,Wetland,NULL,NULL,Water
361,NULL,Water,Wetland,NULL,Wetland,Grassland
362,NULL,Water,Wetland,NULL,Wetland,Wetland
363,NULL,Water,Wetland,NULL,Wetland,Lichens_and_Mosses
364,NULL,Water,Wetland,NULL,Wetland,Bareland
365,NULL,Water,Wetland,NULL,Wetland,Water
366,NULL,Water,Wetland,Non_Water,NULL,Grassland
367,NULL,Water,Wetland,Non_Water,NULL,Lichens_and_Mosses
368,NULL,Water,Wetland,Non_Water,NULL,Bareland
369,NULL,Water,Wetland,Non_Water,NULL,Water
370,NULL,Water,Wetland,Non_Water,Wetland,Grassland
371,NULL,Water,Wetland,Non_Water,Wetland,Wetland
372,NULL,Water,Wetland,Non_Water,Wetland,Lichens_and_Mosses
373,NULL,Water,Wetland,Non_Water,Wetland,Bareland
374,NULL,Water,Wetland,Non_Water,Wetland,Water
375,NULL,Water,Wetland,Water,NULL,Grassland
376,NULL,Water,Wetland,Water,NULL,Wetland
377,NULL,Water,Wetland,Water,NULL,Lichens_and_Mosses
378,NULL,Water,Wetland,Water,NULL,Bareland
379,NULL,Water,Wetland,Water,NULL,Water
380,NULL,Water,Wetland,Water,Wetland,Grassland
381,NULL,Water,Wetland,Water,Wetland,Wetland
382,NULL,Water,Wetland,Water,Wetland,Lichens_and_Mosses
383,NULL,Water,Wetland,Water,Wetland,Bareland
384,NULL,Water,Wetland,Water,Wetland,Water
385,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
386,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
387,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
388,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
389,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Water
390,NULL,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
391,NULL,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
392,NULL,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
393,NULL,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
394,NULL,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
395,NULL,Water,Lichens_and_Mosses,Water,Non_Wetland,Grassland
396,NULL,Water,Lichens_and_Mosses,Water,Non_Wetland,Wetland
397,NULL,Water,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
398,NULL,Water,Lichens_and_Mosses,Water,Non_Wetland,Bareland
399,NULL,Water,Lichens_and_Mosses,Water,Non_Wetland,Water
400,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
401,NULL,Water,Bareland,NULL,Non_Wetland,Wetland
402,NULL,Water,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
403,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
404,NULL,Water,Bareland,NULL,Non_Wetland,Water
405,NULL,Water,Bareland,Non_Water,Non_Wetland,Grassland
406,NULL,Water,Bareland,Non_Water,Non_Wetland,Wetland
407,NULL,Water,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
408,NULL,Water,Bareland,Non_Water,Non_Wetland,Bareland
409,NULL,Water,Bareland,Non_Water,Non_Wetland,Water
