Value,SIBERIA_2024_ESRI_Annual_LULC_2024_43VDJ_M_R,SIBERIA_2024_GLC_FCS30D_2022_43VDJ_M_R,SIBERIA_2024_GSW_Yearly_2021_43VDJ_M_R,SIBERIA_2024_GWL_FCS30D_2022_43VDJ_M_R,SIBERIA_2024_WorldCover_2021_43VDJ_M_R
260,Cropland,Built-up,NULL,Non_Wetland,Grassland
261,Cropland,Built-up,NULL,Non_Wetland,Wetland
262,Cropland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
263,Cropland,Built-up,NULL,Non_Wetland,Bareland
264,Cropland,Built-up,NULL,Non_Wetland,Built-up
265,Cropland,Built-up,NULL,Non_Wetland,Water
266,Cropland,Built-up,NULL,Non_Wetland,Forest
267,Cropland,Built-up,Non_Water,Non_Wetland,Grassland
268,Cropland,Built-up,Non_Water,Non_Wetland,Built-up
269,Cropland,Built-up,Non_Water,Non_Wetland,Forest
270,Cropland,Built-up,Water,Non_Wetland,Grassland
271,Cropland,Built-up,Water,Non_Wetland,Wetland
272,Cropland,Built-up,Water,Non_Wetland,Built-up
273,Cropland,Built-up,Water,Non_Wetland,Water
274,Cropland,Built-up,Water,Non_Wetland,Forest
275,Cropland,Water,NULL,Water,Grassland
276,Cropland,Water,NULL,Water,Wetland
277,Cropland,Water,NULL,Water,Forest
278,Cropland,Water,Non_Water,Water,Wetland
279,Cropland,Water,Water,Water,NULL
280,Cropland,Water,Water,Water,Wetland
281,Cropland,Water,Water,Water,Forest
282,Cropland,Forest,NULL,Non_Wetland,NULL
283,Cropland,Forest,NULL,Non_Wetland,Grassland
284,Cropland,Forest,NULL,Non_Wetland,Wetland
285,Cropland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
286,Cropland,Forest,NULL,Non_Wetland,Bareland
287,Cropland,Forest,NULL,Non_Wetland,Built-up
288,Cropland,Forest,NULL,Non_Wetland,Water
289,Cropland,Forest,NULL,Non_Wetland,Forest
290,Cropland,Forest,Non_Water,Non_Wetland,Grassland
291,Cropland,Forest,Non_Water,Non_Wetland,Wetland
292,Cropland,Forest,Non_Water,Non_Wetland,Forest
293,Cropland,Forest,Water,Non_Wetland,Wetland
294,Cropland,Forest,Water,Non_Wetland,Forest
295,Wetland,NULL,NULL,Non_Wetland,NULL
296,Wetland,NULL,NULL,Non_Wetland,Grassland
297,Wetland,NULL,NULL,Non_Wetland,Wetland
298,Wetland,NULL,NULL,Non_Wetland,Lichens_and_Mosses
299,Wetland,NULL,NULL,Non_Wetland,Bareland
300,Wetland,NULL,NULL,Non_Wetland,Built-up
301,Wetland,NULL,NULL,Non_Wetland,Water
302,Wetland,NULL,NULL,Non_Wetland,Forest
303,Wetland,NULL,Non_Water,Non_Wetland,NULL
304,Wetland,NULL,Non_Water,Non_Wetland,Grassland
305,Wetland,NULL,Non_Water,Non_Wetland,Wetland
306,Wetland,NULL,Non_Water,Non_Wetland,Bareland
307,Wetland,NULL,Non_Water,Non_Wetland,Built-up
308,Wetland,NULL,Non_Water,Non_Wetland,Water
309,Wetland,NULL,Non_Water,Non_Wetland,Forest
310,Wetland,NULL,Water,Non_Wetland,NULL
311,Wetland,NULL,Water,Non_Wetland,Grassland
312,Wetland,NULL,Water,Non_Wetland,Wetland
313,Wetland,NULL,Water,Non_Wetland,Bareland
314,Wetland,NULL,Water,Non_Wetland,Water
315,Wetland,NULL,Water,Non_Wetland,Forest
316,Wetland,Shrubland,NULL,Non_Wetland,NULL
317,Wetland,Shrubland,NULL,Non_Wetland,Grassland
318,Wetland,Shrubland,NULL,Non_Wetland,Cropland
319,Wetland,Shrubland,NULL,Non_Wetland,Wetland
320,Wetland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
321,Wetland,Shrubland,NULL,Non_Wetland,Bareland
322,Wetland,Shrubland,NULL,Non_Wetland,Built-up
323,Wetland,Shrubland,NULL,Non_Wetland,Water
324,Wetland,Shrubland,NULL,Non_Wetland,Forest
325,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
326,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
327,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
328,Wetland,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses
329,Wetland,Shrubland,Non_Water,Non_Wetland,Bareland
330,Wetland,Shrubland,Non_Water,Non_Wetland,Built-up
331,Wetland,Shrubland,Non_Water,Non_Wetland,Water
332,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
333,Wetland,Shrubland,Water,Non_Wetland,Grassland
334,Wetland,Shrubland,Water,Non_Wetland,Cropland
335,Wetland,Shrubland,Water,Non_Wetland,Wetland
336,Wetland,Shrubland,Water,Non_Wetland,Lichens_and_Mosses
337,Wetland,Shrubland,Water,Non_Wetland,Bareland
338,Wetland,Shrubland,Water,Non_Wetland,Built-up
339,Wetland,Shrubland,Water,Non_Wetland,Water
340,Wetland,Shrubland,Water,Non_Wetland,Forest
341,Wetland,Grassland,NULL,Non_Wetland,NULL
342,Wetland,Grassland,NULL,Non_Wetland,Grassland
343,Wetland,Grassland,NULL,Non_Wetland,Cropland
344,Wetland,Grassland,NULL,Non_Wetland,Wetland
345,Wetland,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
346,Wetland,Grassland,NULL,Non_Wetland,Bareland
347,Wetland,Grassland,NULL,Non_Wetland,Built-up
348,Wetland,Grassland,NULL,Non_Wetland,Water
349,Wetland,Grassland,NULL,Non_Wetland,Forest
350,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
351,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
352,Wetland,Grassland,Non_Water,Non_Wetland,Bareland
353,Wetland,Grassland,Non_Water,Non_Wetland,Water
354,Wetland,Grassland,Non_Water,Non_Wetland,Forest
355,Wetland,Grassland,Water,Non_Wetland,NULL
356,Wetland,Grassland,Water,Non_Wetland,Grassland
357,Wetland,Grassland,Water,Non_Wetland,Wetland
358,Wetland,Grassland,Water,Non_Wetland,Water
359,Wetland,Grassland,Water,Non_Wetland,Forest
360,Wetland,Cropland,NULL,Non_Wetland,NULL
361,Wetland,Cropland,NULL,Non_Wetland,Grassland
362,Wetland,Cropland,NULL,Non_Wetland,Cropland
363,Wetland,Cropland,NULL,Non_Wetland,Wetland
364,Wetland,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
365,Wetland,Cropland,NULL,Non_Wetland,Bareland
366,Wetland,Cropland,NULL,Non_Wetland,Built-up
367,Wetland,Cropland,NULL,Non_Wetland,Water
368,Wetland,Cropland,NULL,Non_Wetland,Forest
369,Wetland,Cropland,Non_Water,Non_Wetland,Grassland
370,Wetland,Cropland,Non_Water,Non_Wetland,Wetland
371,Wetland,Cropland,Non_Water,Non_Wetland,Bareland
372,Wetland,Cropland,Non_Water,Non_Wetland,Built-up
373,Wetland,Cropland,Non_Water,Non_Wetland,Forest
374,Wetland,Cropland,Water,Non_Wetland,Grassland
375,Wetland,Cropland,Water,Non_Wetland,Forest
376,Wetland,Wetland,NULL,Wetland,NULL
377,Wetland,Wetland,NULL,Wetland,Grassland
378,Wetland,Wetland,NULL,Wetland,Cropland
379,Wetland,Wetland,NULL,Wetland,Wetland
380,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
381,Wetland,Wetland,NULL,Wetland,Bareland
382,Wetland,Wetland,NULL,Wetland,Built-up
383,Wetland,Wetland,NULL,Wetland,Water
384,Wetland,Wetland,NULL,Wetland,Forest
385,Wetland,Wetland,Non_Water,Wetland,NULL
386,Wetland,Wetland,Non_Water,Wetland,Grassland
387,Wetland,Wetland,Non_Water,Wetland,Cropland
388,Wetland,Wetland,Non_Water,Wetland,Wetland
389,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
390,Wetland,Wetland,Non_Water,Wetland,Bareland
391,Wetland,Wetland,Non_Water,Wetland,Built-up
392,Wetland,Wetland,Non_Water,Wetland,Water
393,Wetland,Wetland,Non_Water,Wetland,Permanent_ice_and_snow
394,Wetland,Wetland,Non_Water,Wetland,Forest
395,Wetland,Wetland,Water,Wetland,NULL
396,Wetland,Wetland,Water,Wetland,Grassland
397,Wetland,Wetland,Water,Wetland,Wetland
398,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
399,Wetland,Wetland,Water,Wetland,Bareland
400,Wetland,Wetland,Water,Wetland,Built-up
401,Wetland,Wetland,Water,Wetland,Water
402,Wetland,Wetland,Water,Wetland,Forest
403,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
404,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
405,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
406,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
407,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
408,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
409,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
410,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
411,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
412,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
413,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
414,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
415,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland
416,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Built-up
417,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
418,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
419,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
420,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
421,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
422,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
423,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Forest
424,Wetland,Bareland,NULL,Non_Wetland,NULL
425,Wetland,Bareland,NULL,Non_Wetland,Grassland
426,Wetland,Bareland,NULL,Non_Wetland,Cropland
427,Wetland,Bareland,NULL,Non_Wetland,Wetland
428,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
429,Wetland,Bareland,NULL,Non_Wetland,Bareland
430,Wetland,Bareland,NULL,Non_Wetland,Built-up
431,Wetland,Bareland,NULL,Non_Wetland,Water
432,Wetland,Bareland,NULL,Non_Wetland,Permanent_ice_and_snow
433,Wetland,Bareland,NULL,Non_Wetland,Forest
434,Wetland,Bareland,Non_Water,Non_Wetland,NULL
435,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
436,Wetland,Bareland,Non_Water,Non_Wetland,Cropland
437,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
438,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
439,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
440,Wetland,Bareland,Non_Water,Non_Wetland,Built-up
441,Wetland,Bareland,Non_Water,Non_Wetland,Water
442,Wetland,Bareland,Non_Water,Non_Wetland,Permanent_ice_and_snow
443,Wetland,Bareland,Non_Water,Non_Wetland,Forest
444,Wetland,Bareland,Water,Non_Wetland,NULL
445,Wetland,Bareland,Water,Non_Wetland,Grassland
446,Wetland,Bareland,Water,Non_Wetland,Cropland
447,Wetland,Bareland,Water,Non_Wetland,Wetland
448,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
449,Wetland,Bareland,Water,Non_Wetland,Bareland
450,Wetland,Bareland,Water,Non_Wetland,Built-up
451,Wetland,Bareland,Water,Non_Wetland,Water
452,Wetland,Bareland,Water,Non_Wetland,Permanent_ice_and_snow
453,Wetland,Bareland,Water,Non_Wetland,Forest
454,Wetland,Built-up,NULL,Non_Wetland,NULL
455,Wetland,Built-up,NULL,Non_Wetland,Grassland
456,Wetland,Built-up,NULL,Non_Wetland,Cropland
457,Wetland,Built-up,NULL,Non_Wetland,Wetland
458,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
459,Wetland,Built-up,NULL,Non_Wetland,Bareland
460,Wetland,Built-up,NULL,Non_Wetland,Built-up
461,Wetland,Built-up,NULL,Non_Wetland,Water
462,Wetland,Built-up,NULL,Non_Wetland,Forest
463,Wetland,Built-up,Non_Water,Non_Wetland,Grassland
464,Wetland,Built-up,Non_Water,Non_Wetland,Cropland
465,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
466,Wetland,Built-up,Non_Water,Non_Wetland,Lichens_and_Mosses
467,Wetland,Built-up,Non_Water,Non_Wetland,Bareland
468,Wetland,Built-up,Non_Water,Non_Wetland,Built-up
469,Wetland,Built-up,Non_Water,Non_Wetland,Water
