Value,SIBERIA_2024_ESRI_Annual_LULC_2024_42VWR_M_R,SIBERIA_2024_GLC_FCS30D_2022_42VWR_M_R,SIBERIA_2024_GSW_Yearly_2021_42VWR_M_R,SIBERIA_2024_GWL_FCS30D_2022_42VWR_M_R,SIBERIA_2024_WorldCover_2021_42VWR_M_R
259,Wetland,Wetland,NULL,Wetland,Grassland
260,Wetland,Wetland,NULL,Wetland,Wetland
261,Wetland,Wetland,NULL,Wetland,Lichens_and_Mosses
262,Wetland,Wetland,NULL,Wetland,Bareland
263,Wetland,Wetland,NULL,Wetland,Built-up
264,Wetland,Wetland,NULL,Wetland,Water
265,Wetland,Wetland,NULL,Wetland,Forest
266,Wetland,Wetland,Non_Water,Wetland,NULL
267,Wetland,Wetland,Non_Water,Wetland,Grassland
268,Wetland,Wetland,Non_Water,Wetland,Wetland
269,Wetland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
270,Wetland,Wetland,Non_Water,Wetland,Bareland
271,Wetland,Wetland,Non_Water,Wetland,Water
272,Wetland,Wetland,Non_Water,Wetland,Forest
273,Wetland,Wetland,Water,Wetland,NULL
274,Wetland,Wetland,Water,Wetland,Grassland
275,Wetland,Wetland,Water,Wetland,Wetland
276,Wetland,Wetland,Water,Wetland,Lichens_and_Mosses
277,Wetland,Wetland,Water,Wetland,Bareland
278,Wetland,Wetland,Water,Wetland,Built-up
279,Wetland,Wetland,Water,Wetland,Water
280,Wetland,Wetland,Water,Wetland,Forest
281,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
282,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
283,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
284,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
285,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
286,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Water
287,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
288,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
289,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland
290,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Lichens_and_Mosses
291,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Water
292,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
293,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Grassland
294,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Wetland
295,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Lichens_and_Mosses
296,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Water
297,Wetland,Lichens_and_Mosses,Water,Non_Wetland,Forest
298,Wetland,Bareland,NULL,Non_Wetland,NULL
299,Wetland,Bareland,NULL,Non_Wetland,Grassland
300,Wetland,Bareland,NULL,Non_Wetland,Wetland
301,Wetland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
302,Wetland,Bareland,NULL,Non_Wetland,Bareland
303,Wetland,Bareland,NULL,Non_Wetland,Built-up
304,Wetland,Bareland,NULL,Non_Wetland,Water
305,Wetland,Bareland,NULL,Non_Wetland,Permanent_ice_and_snow
306,Wetland,Bareland,NULL,Non_Wetland,Forest
307,Wetland,Bareland,Non_Water,Non_Wetland,NULL
308,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
309,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
310,Wetland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
311,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
312,Wetland,Bareland,Non_Water,Non_Wetland,Built-up
313,Wetland,Bareland,Non_Water,Non_Wetland,Water
314,Wetland,Bareland,Non_Water,Non_Wetland,Forest
315,Wetland,Bareland,Water,Non_Wetland,NULL
316,Wetland,Bareland,Water,Non_Wetland,Grassland
317,Wetland,Bareland,Water,Non_Wetland,Wetland
318,Wetland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
319,Wetland,Bareland,Water,Non_Wetland,Bareland
320,Wetland,Bareland,Water,Non_Wetland,Built-up
321,Wetland,Bareland,Water,Non_Wetland,Water
322,Wetland,Bareland,Water,Non_Wetland,Forest
323,Wetland,Built-up,NULL,Non_Wetland,Grassland
324,Wetland,Built-up,NULL,Non_Wetland,Wetland
325,Wetland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
326,Wetland,Built-up,NULL,Non_Wetland,Bareland
327,Wetland,Built-up,NULL,Non_Wetland,Built-up
328,Wetland,Built-up,NULL,Non_Wetland,Water
329,Wetland,Built-up,NULL,Non_Wetland,Forest
330,Wetland,Built-up,Non_Water,Non_Wetland,Grassland
331,Wetland,Built-up,Non_Water,Non_Wetland,Wetland
332,Wetland,Built-up,Non_Water,Non_Wetland,Bareland
333,Wetland,Built-up,Non_Water,Non_Wetland,Built-up
334,Wetland,Built-up,Non_Water,Non_Wetland,Water
335,Wetland,Built-up,Non_Water,Non_Wetland,Forest
336,Wetland,Built-up,Water,Non_Wetland,Grassland
337,Wetland,Built-up,Water,Non_Wetland,Bareland
338,Wetland,Built-up,Water,Non_Wetland,Built-up
339,Wetland,Built-up,Water,Non_Wetland,Water
340,Wetland,Built-up,Water,Non_Wetland,Forest
341,Wetland,Water,NULL,Water,NULL
342,Wetland,Water,NULL,Water,Grassland
343,Wetland,Water,NULL,Water,Wetland
344,Wetland,Water,NULL,Water,Lichens_and_Mosses
345,Wetland,Water,NULL,Water,Bareland
346,Wetland,Water,NULL,Water,Water
347,Wetland,Water,NULL,Water,Forest
348,Wetland,Water,Non_Water,Water,NULL
349,Wetland,Water,Non_Water,Water,Grassland
350,Wetland,Water,Non_Water,Water,Wetland
351,Wetland,Water,Non_Water,Water,Lichens_and_Mosses
352,Wetland,Water,Non_Water,Water,Bareland
353,Wetland,Water,Non_Water,Water,Water
354,Wetland,Water,Non_Water,Water,Forest
355,Wetland,Water,Water,Water,NULL
356,Wetland,Water,Water,Water,Grassland
357,Wetland,Water,Water,Water,Wetland
358,Wetland,Water,Water,Water,Lichens_and_Mosses
359,Wetland,Water,Water,Water,Bareland
360,Wetland,Water,Water,Water,Water
361,Wetland,Water,Water,Water,Forest
362,Wetland,Forest,NULL,Non_Wetland,NULL
363,Wetland,Forest,NULL,Non_Wetland,Grassland
364,Wetland,Forest,NULL,Non_Wetland,Wetland
365,Wetland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
366,Wetland,Forest,NULL,Non_Wetland,Bareland
367,Wetland,Forest,NULL,Non_Wetland,Built-up
368,Wetland,Forest,NULL,Non_Wetland,Water
369,Wetland,Forest,NULL,Non_Wetland,Forest
370,Wetland,Forest,Non_Water,Non_Wetland,NULL
371,Wetland,Forest,Non_Water,Non_Wetland,Grassland
372,Wetland,Forest,Non_Water,Non_Wetland,Wetland
373,Wetland,Forest,Non_Water,Non_Wetland,Lichens_and_Mosses
374,Wetland,Forest,Non_Water,Non_Wetland,Bareland
375,Wetland,Forest,Non_Water,Non_Wetland,Water
376,Wetland,Forest,Non_Water,Non_Wetland,Forest
377,Wetland,Forest,Water,Non_Wetland,NULL
378,Wetland,Forest,Water,Non_Wetland,Grassland
379,Wetland,Forest,Water,Non_Wetland,Wetland
380,Wetland,Forest,Water,Non_Wetland,Lichens_and_Mosses
381,Wetland,Forest,Water,Non_Wetland,Bareland
382,Wetland,Forest,Water,Non_Wetland,Water
383,Wetland,Forest,Water,Non_Wetland,Forest
384,Bareland,NULL,NULL,Non_Wetland,Bareland
385,Bareland,NULL,NULL,Non_Wetland,Water
386,Bareland,NULL,NULL,Non_Wetland,Forest
387,Bareland,Shrubland,NULL,Non_Wetland,Grassland
388,Bareland,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
389,Bareland,Shrubland,NULL,Non_Wetland,Bareland
390,Bareland,Shrubland,NULL,Non_Wetland,Built-up
391,Bareland,Shrubland,NULL,Non_Wetland,Water
392,Bareland,Shrubland,NULL,Non_Wetland,Forest
393,Bareland,Grassland,NULL,Non_Wetland,Bareland
394,Bareland,Cropland,NULL,Non_Wetland,Grassland
395,Bareland,Cropland,NULL,Non_Wetland,Lichens_and_Mosses
396,Bareland,Cropland,NULL,Non_Wetland,Bareland
397,Bareland,Cropland,NULL,Non_Wetland,Forest
398,Bareland,Cropland,Water,Non_Wetland,Bareland
399,Bareland,Wetland,NULL,Wetland,Grassland
400,Bareland,Wetland,NULL,Wetland,Wetland
401,Bareland,Wetland,NULL,Wetland,Lichens_and_Mosses
402,Bareland,Wetland,NULL,Wetland,Bareland
403,Bareland,Wetland,NULL,Wetland,Water
404,Bareland,Wetland,NULL,Wetland,Forest
405,Bareland,Wetland,Non_Water,Wetland,Grassland
406,Bareland,Wetland,Non_Water,Wetland,Lichens_and_Mosses
407,Bareland,Wetland,Non_Water,Wetland,Bareland
408,Bareland,Wetland,Non_Water,Wetland,Water
409,Bareland,Wetland,Non_Water,Wetland,Forest
410,Bareland,Wetland,Water,Wetland,Grassland
411,Bareland,Wetland,Water,Wetland,Lichens_and_Mosses
412,Bareland,Wetland,Water,Wetland,Bareland
413,Bareland,Wetland,Water,Wetland,Water
414,Bareland,Wetland,Water,Wetland,Forest
415,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
416,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
417,Bareland,Bareland,NULL,Non_Wetland,Grassland
418,Bareland,Bareland,NULL,Non_Wetland,Wetland
419,Bareland,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
420,Bareland,Bareland,NULL,Non_Wetland,Bareland
421,Bareland,Bareland,NULL,Non_Wetland,Built-up
422,Bareland,Bareland,NULL,Non_Wetland,Water
423,Bareland,Bareland,NULL,Non_Wetland,Forest
424,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
425,Bareland,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
426,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
427,Bareland,Bareland,Non_Water,Non_Wetland,Water
428,Bareland,Bareland,Non_Water,Non_Wetland,Forest
429,Bareland,Bareland,Water,Non_Wetland,Grassland
430,Bareland,Bareland,Water,Non_Wetland,Wetland
431,Bareland,Bareland,Water,Non_Wetland,Lichens_and_Mosses
432,Bareland,Bareland,Water,Non_Wetland,Bareland
433,Bareland,Bareland,Water,Non_Wetland,Water
434,Bareland,Built-up,NULL,Non_Wetland,Grassland
435,Bareland,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
436,Bareland,Built-up,NULL,Non_Wetland,Bareland
437,Bareland,Built-up,NULL,Non_Wetland,Built-up
438,Bareland,Built-up,NULL,Non_Wetland,Water
439,Bareland,Built-up,NULL,Non_Wetland,Forest
440,Bareland,Built-up,Non_Water,Non_Wetland,Water
441,Bareland,Built-up,Water,Non_Wetland,Bareland
442,Bareland,Built-up,Water,Non_Wetland,Water
443,Bareland,Water,NULL,Water,Bareland
444,Bareland,Water,NULL,Water,Built-up
445,Bareland,Water,NULL,Water,Water
446,Bareland,Water,NULL,Water,Forest
447,Bareland,Water,Non_Water,Water,Bareland
448,Bareland,Water,Non_Water,Water,Forest
449,Bareland,Water,Water,Water,Wetland
450,Bareland,Water,Water,Water,Lichens_and_Mosses
451,Bareland,Water,Water,Water,Bareland
452,Bareland,Water,Water,Water,Water
453,Bareland,Water,Water,Water,Forest
454,Bareland,Forest,NULL,Non_Wetland,Grassland
455,Bareland,Forest,NULL,Non_Wetland,Wetland
456,Bareland,Forest,NULL,Non_Wetland,Lichens_and_Mosses
457,Bareland,Forest,NULL,Non_Wetland,Bareland
458,Bareland,Forest,NULL,Non_Wetland,Built-up
459,Bareland,Forest,NULL,Non_Wetland,Water
460,Bareland,Forest,NULL,Non_Wetland,Forest
461,Bareland,Forest,Non_Water,Non_Wetland,Grassland
462,Bareland,Forest,Non_Water,Non_Wetland,Water
463,Bareland,Forest,Non_Water,Non_Wetland,Forest
464,Bareland,Forest,Water,Non_Wetland,Grassland
465,Bareland,Forest,Water,Non_Wetland,Water
466,Bareland,Forest,Water,Non_Wetland,Forest
467,Built-up,NULL,NULL,Non_Wetland,Grassland
468,Built-up,NULL,NULL,Non_Wetland,Bareland
469,Built-up,NULL,NULL,Non_Wetland,Forest
470,Built-up,Shrubland,NULL,Non_Wetland,NULL
471,Built-up,Shrubland,NULL,Non_Wetland,Grassland
472,Built-up,Shrubland,NULL,Non_Wetland,Wetland
473,Built-up,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
474,Built-up,Shrubland,NULL,Non_Wetland,Bareland
475,Built-up,Shrubland,NULL,Non_Wetland,Built-up
476,Built-up,Shrubland,NULL,Non_Wetland,Forest
